0.00803566+6.245e-17j -0.0165967-0.00466782j -0.0282674-0.0157655j -0.0565728-0.0137836j -0.0248398+0.00228619j 0.0205536+0.0230914j -0.0231103+0.0073629j 0.0487196+0.0345j 0.0372658-0.00986472j 0.0436642-0.00212762j 0.00689269+0.0317754j 0.0557352-0.0186073j -0.000749333-0.04288j 0.114615+0.0424283j -0.0210418+0.00205008j -0.112823+0.014109j -0.026677-0.0133532j 0.165397-0.241162j 0.145516+0.119288j -0.0992167-0.455681j 0.0365043-0.131184j 0.0774957+0.123363j 
0.0557352+0.0186073j 0.0394849+0.0280646j 0.0405048-0.261006j -0.0326298-0.030121j 0.0624251+0.0726885j 0.0156216-0.0248575j -0.201014+0.022291j -0.169122-0.0713861j 0.136485+0.0806224j 0.00862602-0.0885518j -0.0504609+0.00140998j 0.0609941-1.05331e-12j -0.0087877-0.0882419j 0.130126-0.0776214j 0.178418-0.0727977j -0.200985-0.0229236j 0.0153142+0.0262365j 0.0624043-0.0728361j 0.0335683-0.0307432j -0.0403965-0.262032j 0.0390353-0.0279115j 0.0564499-0.0183508j 
-0.000749333+0.04288j 0.0524663+0.107525j 0.118339-0.181524j -0.0012586-0.0455004j 0.279086+0.0442119j -0.0910999-0.0821431j 0.102698+0.136686j -0.106492-0.077339j 0.100938+0.0598786j 0.0630431+0.0231486j -0.107849+0.0179471j -0.0087877+0.0882419j -0.0698315-6.54685e-15j -0.107329-0.0680839j 0.165988-0.0338554j 0.238765+0.00213997j -0.0688656+0.0502453j -0.0276754+0.151624j -0.0252374-0.0430182j 0.0202904+0.105318j -0.03168+0.0593498j -0.0448356+0.00254978j 
0.114615-0.0424283j 0.0283799-0.140687j 0.00692212-0.112526j -0.205282-0.0858845j -0.0169936-0.0886983j -0.150999+0.0120398j 0.0409523+0.0612637j -0.357985+0.0544815j -0.197929-0.270887j -0.085803-0.0502061j 0.0313268-0.00260136j 0.130126+0.0776214j -0.107329+0.0680839j 0.102531-5.13478e-15j -0.267519+0.0370528j 0.047622-0.0304587j -0.101153-0.131855j 0.0218667+0.0859136j 0.0534339-0.0477843j -0.0270136-0.0368784j 0.106851+0.00672729j 0.0394698-0.00809073j 
-0.0210418-0.00205008j -0.104998+0.00953171j -0.0173313-0.0144368j 0.300127+0.0333232j 0.0464232-0.0444807j -0.181631-0.0594176j 0.0273745-0.00655593j 0.0570474+0.331175j 0.343486-0.0811286j -0.12174-0.0816163j -0.164251-0.00438803j 0.178418+0.0727977j 0.165988+0.0338554j -0.267519-0.0370528j -0.00956743+5.21805e-15j -0.0382829-0.0113598j -0.108155-0.0744208j 0.078242-0.0210264j -0.0563576+0.0774712j -0.0627714-0.0172142j -0.0674912-0.0934248j -0.0470609-0.0353468j 
-0.112823-0.014109j 0.000578594+0.0913933j 0.057711-0.134368j -0.127881-0.00824561j -0.00941877-0.0486758j -0.053769+0.0767103j 0.109612-0.597358j -0.0249391+0.00951184j 0.040829+0.0561478j -0.102355-0.13728j 0.244797+0.0457431j -0.200985+0.0229236j 0.238765-0.00213997j 0.047622+0.0304587j -0.0382829+0.0113598j 0.092974-3.76865e-13j -0.0053322+0.0633061j 0.0428799-0.0493531j 0.0477486+0.00263267j -0.0245162+0.124014j -0.027862+0.0136263j -0.0230307+0.00738061j 
-0.026677+0.0133532j -0.0938245+0.349221j -0.238588+0.0403883j -0.315015-0.0762155j 0.0905737+0.0290298j 0.162504-0.197593j -0.0530386+0.0774352j 0.177412+0.0601574j -0.155207+0.0103182j 0.094437+0.0811726j 0.0533898-0.00220605j 0.0153142-0.0262365j -0.0688656-0.0502453j -0.101153+0.131855j -0.108155+0.0744208j -0.0053322-0.0633061j 0.0531966-1.01724e-14j 0.0701997-0.124739j 0.0360156+0.0542149j -0.028915-0.0143976j -0.010185-0.0119546j 0.0207574+0.0231936j 
0.165397+0.241162j -0.00256638+0.0316667j -0.200845+0.054809j 0.0213768+0.0430053j 0.0995223-0.465616j 0.0902896+0.0270417j -0.010319-0.0497124j -0.0486524+0.0403725j -0.0225212-0.0897875j -0.275525-0.0406038j 0.184665+0.0432479j 0.0624043+0.0728361j -0.0276754-0.151624j 0.0218667-0.0859136j 0.078242+0.0210264j 0.0428799+0.0493531j 0.0701997+0.124739j -0.000592857-9.15934e-16j 0.0389021-0.0697678j 0.019047+0.0567812j -0.0376515+0.0429976j -0.025064+0.00232308j 
0.145516-0.119288j -0.184028-0.115915j -0.0455982-0.0751736j 0.120081+0.470886j -0.0222528-0.0454503j 0.314598+0.0778956j 0.12768+0.00888816j 0.307482+0.0348505j 0.192264+0.0813862j -0.00793777-0.0495616j 0.0896649-0.134765j 0.0335683+0.0307432j -0.0252374+0.0430182j 0.0534339+0.0477843j -0.0563576-0.0774712j 0.0477486-0.00263267j 0.0360156-0.0542149j 0.0389021+0.0697678j -0.0858933+1.13798e-15j -0.00120822-0.0177217j 0.172975+0.0306169j 0.0567775+0.0138734j 
-0.0992167+0.455681j -0.299068-0.0762339j 0.0532652+0.299757j -0.0458711-0.0749698j 0.200625-0.0540556j 0.239246-0.0416596j -0.0572455+0.133577j -0.0164248-0.0113725j -0.00321279+0.10768j 0.118018-0.182199j -0.0623014+0.0573897j -0.0403965+0.262032j 0.0202904-0.105318j -0.0270136+0.0368784j -0.0627714+0.0172142j -0.0245162-0.124014j -0.028915+0.0143976j 0.019047-0.0567812j -0.00120822+0.0177217j -0.0201121+4.71845e-16j 0.0296943+0.0146395j 0.0283415+0.0158187j 
0.0365043+0.131184j 0.0130762-0.374416j 0.298917+0.0768081j 0.18464+0.114702j -0.00247387+0.0300941j -0.0937106+0.349398j 0.000766774+0.0914501j 0.103921-0.0163049j 0.0210718-0.141704j -0.0549789-0.102833j -0.0675982+0.034233j 0.0390353+0.0279115j -0.03168-0.0593498j 0.106851-0.00672729j -0.0674912+0.0934248j -0.027862-0.0136263j -0.010185+0.0119546j -0.0376515-0.0429976j 0.172975-0.0306169j 0.0296943-0.0146395j -0.122403-1.66533e-16j -0.0167165-0.00468158j 
0.0774957-0.123363j 0.0366794+0.13076j 0.0991068-0.45597j -0.144622+0.119596j 0.166281+0.240313j -0.0271172+0.0145792j -0.112856-0.0132706j 0.0256461-0.000103543j 0.112445-0.0442086j -0.00202721-0.0422229j 0.00701698-0.0314783j 0.0564499+0.0183508j -0.0448356-0.00254978j 0.0394698+0.00809073j -0.0470609+0.0353468j -0.0230307-0.00738061j 0.0207574-0.0231936j -0.025064-0.00232308j 0.0567775-0.0138734j 0.0283415-0.0158187j -0.0167165+0.00468158j 0.00801429+1.17961e-16j 
