-0.082728-1.94289e-16j 0.0348106+0.0403647j 0.0734505-0.0747955j 0.0236428+0.0414096j 0.00565323+0.0629887j -0.09757-0.0747119j 0.128786-0.0512017j -0.00197193+0.147379j 0.165582+0.329137j 0.0928965+0.0139709j -0.178542-0.107203j -0.040978-0.361799j -0.0451654-0.0771616j -0.0425047-0.0429764j 0.0720847+0.00371985j 0.0277555+0.0131806j -0.0429187-0.0246298j 0.0268399+0.00671941j -0.0654384+0.00813902j -0.0585173-0.00992338j -0.0196741-0.0198344j 0.00309125+0.0622379j -0.131172-0.0687746j 0.0160015+0.215265j -0.0556491+0.129036j -0.101648-0.272858j 
-0.040978+0.361799j 0.0523989+0.371448j 0.246179+0.118338j -0.0296691+0.360289j -0.0473219-0.127702j 0.0363352+0.0961868j 0.00724796+0.0719131j 0.00581364-0.0535879j 0.00135494-0.0491113j 0.0121153-0.0428269j 0.042786-0.0361596j 0.047993+1.66533e-16j 0.0195893+0.136391j -0.0313722-0.174779j 0.0672024-0.0895287j -0.00354849-0.0914712j -0.0154084+0.0360082j 0.00766185-0.0158557j -0.043772+0.0553397j -0.0535283-0.00656462j -0.0521207+0.0146084j -0.0240169-0.0441831j -0.111897+0.0140996j -0.0689752+0.04355j -0.00776664+0.0994967j -0.0129557-0.00124967j 
-0.0451654+0.0771616j 0.152657+0.0374516j -0.070002-0.0890437j -0.126066+0.0530744j -0.00740262-0.0464883j 0.103058-0.00628213j 0.0184069-0.104694j -0.0125219-0.013463j -0.0546171+0.0756234j 0.0732718-0.00414681j 0.0515182+0.0595738j 0.0195893-0.136391j -0.0337227-1.38778e-16j 0.0397403-0.0524614j 0.13316+0.0047783j 0.0744356-0.0875382j 0.0549793+0.00570074j -0.0497784+0.0435366j -0.138046-0.0815455j -0.127256+0.103459j 0.0575757+0.238072j 0.0231838+0.0897802j 0.232536-0.227691j 0.230355+0.0673384j 0.0576084-0.380005j -0.133687+0.0126201j 
-0.0425047+0.0429764j 0.0504973+0.0141052j -0.0212586-0.0196405j -0.017656+0.00858236j 0.000759856+0.00259894j 0.00673731+0.0293582j -0.00828162-0.00759466j -0.0166741-0.0176049j 0.0154751-0.0591888j 0.000608799-0.00855462j 0.0703971+0.0276893j -0.0313722+0.174779j 0.0397403+0.0524614j -0.0213711-3.05311e-16j -0.0860654-0.0433093j 0.0540799+0.0902712j -0.025975-0.0802363j -0.114056-0.259414j 0.0369096-0.0126582j 0.0315917-0.0368614j 0.166103-0.0185408j 0.216925+0.0259037j 0.0133251+0.0303989j 0.00328781+0.30257j -0.310409+0.0715808j -0.0735651-0.428301j 
0.0720847-0.00371985j -0.0970441-0.0198981j 0.0144537+0.0506218j 0.0749284-0.057957j -0.00383524+0.019663j -0.0376549+0.0556724j 0.000337651+0.000419135j 0.00705111-0.00357663j 0.000506825-0.0505004j -0.0346207-0.0756315j -0.0100645+0.0784779j 0.0672024+0.0895287j 0.13316-0.0047783j -0.0860654+0.0433093j -0.059258-1.02696e-15j 0.0251327+0.0451945j -0.146619-0.00717074j -0.0788613+0.0184845j -0.222339+0.0871098j -0.37998+0.0878039j -0.23367-0.034408j -0.125745-0.187181j 0.151159-0.32213j -0.189427+0.0730066j 0.232243+0.0499829j -0.0863956-0.0474236j 
0.0277555-0.0131806j -0.0584502-0.0170378j 0.0115729+0.028971j 0.013577+0.00582041j 0.00615144-0.00676641j -0.00324397-0.00940137j 0.0172549+0.013856j -0.0210102-0.0152593j -0.0451723-0.0506161j -0.00466464-0.00559128j 0.00257937+0.069568j -0.00354849+0.0914712j 0.0744356+0.0875382j 0.0540799-0.0902712j 0.0251327-0.0451945j -0.152258-8.32667e-17j 0.133012-0.119908j 0.197089+0.0450312j -0.242523+0.138024j -0.0949071-0.0364773j 0.0474301-0.0450958j 0.0753925+0.372385j 0.109905-0.0563993j 0.143795+0.0789541j 0.0792238-0.024902j 0.0912332-0.211416j 
-0.0429187+0.0246298j 0.0290445+0.0302622j 0.00623078-0.0227587j -7.06163e-05-0.039113j -0.00131144+0.00530217j -0.00808893+0.00544806j -0.0506525-0.0301179j -0.0139895-0.00230811j -0.0352106+0.0206252j 0.0666396-0.027497j -0.0622498+0.101687j -0.0154084-0.0360082j 0.0549793-0.00570074j -0.025975+0.0802363j -0.146619+0.00717074j 0.133012+0.119908j 0.10268-1.7833e-14j -0.0424915-0.00846808j -0.0851151+0.0360812j 0.0300235-0.079232j 0.0877791+0.143064j 0.0868046-0.0217995j 0.333787-0.125061j 0.118897+0.0249929j -0.0680602-0.231571j -0.0472855-0.016854j 
0.0268399-0.00671941j 0.00245549+0.00636651j -0.0254828+0.0072694j 0.000485146-0.0595579j -0.010062+0.022727j -0.0285503-0.0446027j -0.0035666-0.00332698j -0.0158379-0.0363846j -0.0372548-0.0073934j -0.0608404-0.0432824j 0.030978-0.0365602j 0.00766185+0.0158557j -0.0497784-0.0435366j -0.114056+0.259414j -0.0788613-0.0184845j 0.197089-0.0450312j -0.0424915+0.00846808j 0.363928+1.25178e-14j 0.101453+0.188103j -0.124391-0.255061j -0.0942484+0.0827738j -0.103334+0.103588j -0.165985+0.000296898j 0.0295022-0.00113726j 0.014326+0.12001j 0.0471741+0.0136016j 
-0.0654384-0.00813902j 0.0766008-0.0370331j -0.00447619+0.0286888j -0.0273492+0.0451835j 0.000582119-0.0102377j -0.033882-0.0234887j -0.00864614+0.0515955j -0.0045358+0.0253239j 0.0152293+0.0663336j -0.0170314+0.00128218j -0.0860975-0.102705j -0.043772-0.0553397j -0.138046+0.0815455j 0.0369096+0.0126582j -0.222339-0.0871098j -0.242523-0.138024j -0.0851151-0.0360812j 0.101453-0.188103j -0.260148+2.3731e-15j -0.35332+0.0205621j 0.109046-0.0362952j 0.0803977+0.0208199j 0.152005-0.0325826j -0.0731127-0.183731j -0.00531814+0.0861288j 0.0855285+0.0235333j 
-0.0585173+0.00992338j 0.0269099+0.0172623j -1.20901e-06-0.00755533j -0.0189171+0.00986637j -0.00123905+0.00165971j 0.049453-0.0305425j 0.0360038+0.0283913j 0.0215815-0.0208341j 0.0245575-0.0347218j 0.0585217+0.0204808j -0.0140828-0.0590713j -0.0535283+0.00656462j -0.127256-0.103459j 0.0315917+0.0368614j -0.37998-0.0878039j -0.0949071+0.0364773j 0.0300235+0.079232j -0.124391+0.255061j -0.35332-0.0205621j 0.165099+1.06998e-14j 0.0985153+0.0116157j -0.19199-0.0409094j 0.130172+0.0768662j 0.079564+0.153629j -0.0708561+0.0775249j 0.0215899+0.0746755j 
-0.0196741+0.0198344j -0.039812+0.0687394j 0.0340572-0.0812495j -0.00213833-0.0105325j 0.00118161-0.00288691j -0.0336434-0.000576018j 0.111988-0.0196456j 0.0097299+0.0181361j 0.0236343+0.0552029j 0.0515+0.0616529j -0.0338299+0.0517997j -0.0521207-0.0146084j 0.0575757-0.238072j 0.166103+0.0185408j -0.23367+0.034408j 0.0474301+0.0450958j 0.0877791-0.143064j -0.0942484-0.0827738j 0.109046+0.0362952j 0.0985153-0.0116157j 0.0783855+1.95677e-15j 0.178919-0.105672j 0.0891866+0.0478334j -0.0250724-0.0824143j -0.024694-0.0929771j 0.0175025-0.0061206j 
0.00309125-0.0622379j 0.0666276+0.0447945j -0.0351779-0.0444329j -0.0623728-0.0179097j 0.00606135+0.0227405j 0.00839372+0.0421729j -0.0494761-0.0520526j -0.0544943-0.0309413j -0.0151176-0.0378842j -0.0946742-0.147606j -0.0328441-0.041979j -0.0240169+0.0441831j 0.0231838-0.0897802j 0.216925-0.0259037j -0.125745+0.187181j 0.0753925-0.372385j 0.0868046+0.0217995j -0.103334-0.103588j 0.0803977-0.0208199j -0.19199+0.0409094j 0.178919+0.105672j -0.150717+9.15934e-16j -0.0431559-0.00985618j 0.0776714+0.101237j -0.0160022+0.0493039j -0.0160809+0.02225j 
-0.131172+0.0687746j -0.0248853-0.072285j 0.0467625-0.0160638j -0.031514+0.0636915j -0.00112682-0.00441011j -0.0279615-0.0492458j 0.104924+0.047062j 0.00115888-0.00365339j 0.0309969+0.0187122j -0.10498-0.0247926j -0.21554-0.0773593j -0.111897-0.0140996j 0.232536+0.227691j 0.0133251-0.0303989j 0.151159+0.32213j 0.109905+0.0563993j 0.333787+0.125061j -0.165985-0.000296898j 0.152005+0.0325826j 0.130172-0.0768662j 0.0891866-0.0478334j -0.0431559+0.00985618j 0.154504+2.77556e-17j 0.0138147-0.0493897j 0.0734092+0.0652287j 0.0953158+0.0408652j 
0.0160015-0.215265j -0.124907+0.177684j 0.100866-0.0357998j 0.0412633-0.0560577j -0.0189498-0.0211806j -0.0370773+0.0104337j 0.0298064-0.0662731j 0.0346484-0.0395999j 0.0182331-0.0486112j 0.0347327-0.298988j -0.0333112-0.180804j -0.0689752-0.04355j 0.230355-0.0673384j 0.00328781-0.30257j -0.189427-0.0730066j 0.143795-0.0789541j 0.118897-0.0249929j 0.0295022+0.00113726j -0.0731127+0.183731j 0.079564-0.153629j -0.0250724+0.0824143j 0.0776714-0.101237j 0.0138147+0.0493897j -0.0206125-2.66454e-15j -0.00364323-0.0315561j 0.0149508+0.0122084j 
-0.0556491-0.129036j 0.111087-0.144907j -0.202316-0.0258509j -0.0648754-0.0766593j -0.00409355-0.000632241j 0.0744492-0.0116559j -0.0660915-0.0573823j -0.0111255-0.0215227j -0.0640627-0.0133161j -0.0187618-0.189781j 0.0359215-0.124038j -0.00776664-0.0994967j 0.0576084+0.380005j -0.310409-0.0715808j 0.232243-0.0499829j 0.0792238+0.024902j -0.0680602+0.231571j 0.014326-0.12001j -0.00531814-0.0861288j -0.0708561-0.0775249j -0.024694+0.0929771j -0.0160022-0.0493039j 0.0734092-0.0652287j -0.00364323+0.0315561j -0.151282+8.32667e-17j -0.0553168-0.00928801j 
-0.101648+0.272858j 0.141271-0.0325457j -0.00468476+0.00397629j -0.075069+0.0886659j -0.00186401-0.0159141j 0.0413092-0.0472787j 0.0251916+0.0411505j -0.00187754+0.000387673j -0.0197533+0.0689954j 0.0377831+0.209478j -0.0132462+0.102955j -0.0129557+0.00124967j -0.133687-0.0126201j -0.0735651+0.428301j -0.0863956+0.0474236j 0.0912332+0.211416j -0.0472855+0.016854j 0.0471741-0.0136016j 0.0855285-0.0235333j 0.0215899-0.0746755j 0.0175025+0.0061206j -0.0160809-0.02225j 0.0953158-0.0408652j 0.0149508-0.0122084j -0.0553168+0.00928801j 0.00168245-2.77556e-17j 
