1-6.46235e-27j 0.145662+0.00267511j 0.0301137-0.0299546j 0.05468+0.00918593j -0.0193652+0.0583895j 0.0347239+0.033004j -0.00120531-0.00845902j -0.0161731-0.0120817j 0.00350079-0.0281199j 0.0315438-0.0210662j -0.0365853-0.00493751j -0.0104571-0.0328164j -0.0273173-0.0166833j 0.0148202-0.0287242j 0.000184451-0.0100045j 0.000403975+0.00232692j 0.00871016+0.00390299j 0.000482044+0.00345239j -0.000777168+0.000259151j 0.00211695+0.00206614j -0.0179596+0.011458j -0.00997492-0.0269978j 0.0124582+0.0054368j -0.000727891+0.00170911j -6.00887e-06+0.00227881j -0.00876586-0.00103002j 0.0350067-0.00183411j 0.00901366-0.0216574j 0.0166393-0.00754022j 0.00574632+0.0268448j -0.00165156+0.00136137j -0.002048+0.00279867j -0.00494579-0.0213404j 0.0164016-0.00771917j 0.00906486+0.00947909j -0.00105469-0.00308727j 0.00616234+0.0039491j -0.00701418+0.00490905j -0.00398731-0.00023615j 4.00663e-05-0.000273597j 
-0.0104571+0.0328164j -0.0177098-0.0592809j 0.00861339+0.00193269j -0.00932567-0.0400991j -0.0184724-0.0488378j 0.079213+0.0106647j -0.0133149-0.0646917j -0.182353-0.0534835j 0.0404646+0.114142j -0.0994699-0.434864j -0.100425-0.397358j -0.215375-1.57652e-14j 0.36466-0.0131566j -0.0329894+0.0742614j 0.113362+0.0197113j -0.00679226-0.0180992j 0.0108117+0.0339747j -0.0235491-0.0328099j -0.0236328+0.0417777j -0.0072827+0.00147589j -0.0229755+0.0130274j -0.00694996+0.0262222j -0.0125036-0.0479732j 0.00221633-0.00320983j 0.00248165+0.0329138j 0.0120967+0.0195284j 0.00620535+0.0398178j 0.0159206+0.0964081j 0.00879719-0.0933195j 0.0152136+0.115346j 0.0108838-0.00303205j 0.0127969-0.0134404j 0.0263762+0.0153914j -0.0838843+0.052316j 0.0547273+0.029783j -0.0255653+0.0232584j -0.0286928-0.0552181j -0.0186857+0.0240207j -0.0104768+0.00175462j 0.0373847-0.0188449j 
-0.0273173+0.0166833j -0.00714576+0.0124619j 0.079559+0.0394146j -0.052495+0.0433363j -0.0311007+0.0127526j -0.003666-0.0116559j -0.354248-0.0240552j -0.0314331-0.1144j -0.170677-0.305531j -0.225393-0.127031j -0.0154303-0.0319511j 0.36466+0.0131566j 0.0227005-1.02696e-15j 0.029842+0.0364474j -0.0345824+0.0133734j 0.10655+0.0897034j 0.0639682+0.0224486j -0.020939-0.0345321j 0.102893-0.00343225j -0.0179607-0.00646259j -0.0124429-0.0367005j 0.0184849-0.0343287j -0.0473775+0.0363845j -0.0070713+0.0452169j 0.00949126+0.00936208j 0.0225344+0.012986j 0.0158727-0.00878565j -0.0380163+0.000831028j -0.103117-0.0327143j 0.00423694-0.0382746j 0.0265499+0.0288815j 0.0197113-0.0358273j 0.03546-0.0136802j 0.0743193+0.0025172j 0.0316342+0.0143871j 0.0120919-0.00718967j 0.0417585+0.0370649j 0.0496665-0.00401801j 0.0344782+0.0204596j -0.0417169-0.0307653j 
0.0148202+0.0287242j 0.0181225+0.0102105j -0.0527156-0.00753533j 0.0582207-0.00664566j 0.0737173-0.0202354j -0.0570542-0.0143525j 0.235343+0.0968648j 0.0580508-0.229047j 0.134388-0.508074j -0.196067-0.172463j 0.38244+0.0193028j -0.0329894-0.0742614j 0.029842-0.0364474j 0.0214137-4.44089e-16j -0.0503275+0.00142537j -0.0938639-0.0113278j -0.0219136-0.0249515j 0.030697+0.0375075j -0.0627751-0.0106361j 0.0017365+0.0050254j 0.0390313-0.137075j 0.00145798-0.0504154j 0.0495559+0.0268513j 0.0447233+0.0508222j -0.00273722-0.00742399j -0.00851249+0.0266863j -0.0244992-0.0236277j -0.0780232-0.0409122j 0.07782+0.0360778j 0.049612-0.0350892j 0.0112424+0.0173089j 0.00490976-0.0469557j -0.00152406-0.0201752j 0.01691-0.0243388j -0.0768114+0.0198343j -0.00276427-0.0112166j -0.0270187+0.0388018j 0.0217436-0.0136226j 0.0129776+0.00147494j -0.0213113+0.0157037j 
0.000184451+0.0100045j -0.0145663+0.0465852j -0.0631879+0.0631705j -0.0349185-0.0263527j -0.0282492-0.0219285j 0.0200185+0.00512786j 0.167131-0.589377j 0.385682+0.186453j -0.0922439-0.201763j -0.0536061+0.00854806j -0.0475155+0.0559937j 0.113362-0.0197113j -0.0345824-0.0133734j -0.0503275-0.00142537j 0.0348018-6.10623e-16j -0.0209799+0.119709j -0.0745648+0.138423j 0.0813335-0.0972993j 0.0333958+0.123495j -0.00373289+0.0119106j 0.0701367+0.0615838j -0.0139356+0.0465711j 0.125373-0.0441304j -0.011288-0.0326797j 0.0218283+0.0275035j 0.00971128+0.00533616j -0.0202507+0.0153598j 0.076644-0.00982482j 0.0371842+0.0409088j -0.0461373+0.0467433j -0.00309693-0.0402875j 0.00361738+0.0227416j -0.0401503+0.0109184j -0.0658855-0.00484242j 0.0118521-0.0174159j -0.0238522+0.00951941j -0.0221195-0.0477021j -0.0601171+0.007222j -0.0172798-0.0300027j 0.053458+0.0479412j 
0.000403975-0.00232692j 0.00510221-0.0240082j 0.0267392-0.0165438j -0.0105516+0.0261023j 0.0134017-0.00391817j -0.00697719-0.0542474j -0.0562592+0.031587j -0.0196854-0.0436447j 0.0208176+0.0406098j 0.00952262-0.0531077j -0.027437-0.00746855j -0.00679226+0.0180992j 0.10655-0.0897034j -0.0938639+0.0113278j -0.0209799-0.119709j 0.0429055+6.10623e-16j -0.0209644-0.00854836j -0.0294127-0.0052282j 0.00851134+0.00523059j -0.00444538+0.00198553j -0.0233213-0.000411629j -0.0307513-0.0092316j -0.00794797-0.0117739j -0.00940936-0.0189897j 0.000942112+0.00582953j 0.00440835-0.000820331j 0.00546878+0.0209077j -0.0270424+0.0186776j -0.00136214-0.0259515j -0.0653922+0.0210331j -0.0065186-0.0184657j 0.0157331+0.022435j 0.0215818+0.0513026j -0.108469-0.0258042j 0.139784+0.130735j -0.0499102-0.0199656j -0.060154-0.143283j -0.205269+0.128381j 0.287488-0.181358j 0.213639+0.598549j 
0.00871016-0.00390299j 0.0210566-0.0256278j -0.00587701-0.0110948j -0.00159903+0.001935j 0.00590572-0.0347245j -0.0123475-0.018138j 0.0232199+0.00240118j -0.0178114+0.0392436j -0.0270211-0.00521619j 0.0193104+0.000346677j 0.0226872-0.0480517j 0.0108117-0.0339747j 0.0639682-0.0224486j -0.0219136+0.0249515j -0.0745648-0.138423j -0.0209644+0.00854836j 0.0209903-1.38778e-15j 0.019589+0.00263139j -0.00814274-0.0334214j -0.00736151+0.0122081j -0.0158578+0.00471713j 0.0175941+0.00927297j -0.00473472+0.0180742j 0.0134631+0.055497j -0.00588439-0.0316905j 0.00203977+0.018202j -0.00692847-0.0476794j -0.113263-0.0402963j 0.0057351+0.0272264j -0.0634656+0.0367063j 0.0597148+0.106533j -0.0436908-0.123183j 0.167864-0.0482738j 0.0664274-0.154459j -0.266658+0.0811811j 0.109734-0.0635554j -0.259685+0.00353393j 0.0767288+0.387669j 0.164712+0.435435j 0.215954-0.060455j 
0.000482044-0.00345239j -0.00318421-0.0104404j 0.00622033+0.0169296j -0.0148011-0.0164644j 0.00977241+0.0156057j 0.0348836-0.0139472j -0.00134509+0.0175861j 0.00420243+0.00365967j 0.0233964-0.0481873j -0.0416831+0.0701218j -0.00357432+0.0150986j -0.0235491+0.0328099j -0.020939+0.0345321j 0.030697-0.0375075j 0.0813335+0.0972993j -0.0294127+0.0052282j 0.019589-0.00263139j -0.00530031-5.55112e-17j -0.00108887-0.01421j 0.00225413+0.00271634j 0.0563751+0.00336891j 0.0056085+0.00620233j -0.030393+0.0127263j 0.00323384+0.0204165j 0.00391413-0.0131146j -0.0207614+0.00505035j 0.0604061-0.0311151j 0.0649444+0.0359349j -0.000574014-0.00348917j 0.0881454+0.0504587j 0.0341338+0.0532905j -0.034095-0.071908j 0.269167-0.128097j -0.341581+0.149656j -0.04528+0.0199554j -0.0778004+0.0573396j 0.166428-0.0985079j 0.052778+0.41026j -0.0802008+0.0618304j -0.337449+0.151817j 
-0.000777168-0.000259151j -0.0108895+0.00664565j -0.0293276-0.0127385j 0.0153313+0.0166175j -0.0492851-0.00545404j 0.0421951-0.0531465j -0.00078114-0.0141991j 0.0180117+0.0262627j -0.00463563+0.0325834j 0.00268746-0.0433154j -0.0426472-0.0439266j -0.0236328-0.0417777j 0.102893+0.00343225j -0.0627751+0.0106361j 0.0333958-0.123495j 0.00851134-0.00523059j -0.00814274+0.0334214j -0.00108887+0.01421j 0.00206567-4.44089e-16j 0.00733849+0.00325691j -0.00220325+0.034137j -0.00566906+0.0572442j 0.00129014-0.00857679j -0.00581193+0.00576051j 0.0026503+0.00803377j -0.00641563-0.0180188j 0.00532265-0.0114216j 0.0207988+0.071893j -0.00546072-0.0145706j 0.0128317+0.090078j -0.0258524-0.000480384j -0.0157878-0.0130614j 0.0100158-0.056935j -0.0108661+0.0696394j -0.00638229-0.0654779j -0.00766996+0.0914958j 0.0936527+0.00810044j 0.139018-0.111482j -0.208983+0.0597259j -0.106303-0.19904j 
0.00211695-0.00206614j -0.0168303+0.0130633j -0.0208395+0.0188631j -0.00967183-0.0322043j 0.0372826-0.0324826j 0.0162589-0.0416161j 0.00228739+0.00316339j 0.000576144+0.0128381j -0.00185451+0.000277393j 0.0091754-0.00585492j -0.000626164+0.0224389j -0.0072827-0.00147589j -0.0179607+0.00646259j 0.0017365-0.0050254j -0.00373289-0.0119106j -0.00444538-0.00198553j -0.00736151-0.0122081j 0.00225413-0.00271634j 0.00733849-0.00325691j 0.0771367+3.44169e-15j -0.0167843+0.00670522j 0.01207-0.0178892j -0.0046089+0.000529829j 0.00600433-0.0221647j 0.0214823-0.0286782j -0.0574887-0.209492j -0.0278089-0.0352171j -0.0556629+0.00503922j -0.0476329+0.0258905j -0.02619-0.0129572j -0.311595+0.0574499j -0.25739+0.0433682j 0.00932299+0.010295j -0.0223484-0.144269j 0.0179366+0.180046j 0.0699178+0.686177j -0.00731737+0.0840655j -0.0137649+0.0117819j 0.00824066+0.0117906j 0.0221691+0.017934j 
-0.0179596-0.011458j -0.00278898-0.00555024j -0.00248317-0.0164321j 0.0105474+0.00407547j 0.0174517+0.0175618j -0.00404167-0.0215362j 0.0100084-0.0134918j 0.00926226+0.0278277j -0.0066667+0.00973834j -0.0162513+0.0298438j -0.0243721+0.0463272j -0.0229755-0.0130274j -0.0124429+0.0367005j 0.0390313+0.137075j 0.0701367-0.0615838j -0.0233213+0.000411629j -0.0158578-0.00471713j 0.0563751-0.00336891j -0.00220325-0.034137j -0.0167843-0.00670522j -0.127806+8.24341e-15j 0.000570107-0.0472j 0.0307605+0.0147725j 0.0072055+0.0641298j 0.00363022-0.034672j 0.019894-0.00961715j -0.136193+0.0709256j -0.39263+0.0735972j -0.0426163+0.132908j 0.140717-0.0606606j -0.12012-0.0153885j 0.224161-0.0207191j 0.018727-0.0662811j 0.128458+0.189843j 0.116253+0.2314j -0.0244101-0.068406j 0.0879235+0.0845775j -0.141145+0.0436976j -0.302466+0.145045j 0.0475917+0.0620829j 
-0.00997492+0.0269978j 0.00638249+0.00595184j 0.0030598-0.00879735j -0.00198388+0.0104538j -0.00224017-0.00156355j 0.00441541-0.0337126j 0.0141607+0.0195544j 0.00257792+0.0399117j -0.0182833-0.0381503j 0.0294664+0.0296205j -0.0161478-0.0141759j -0.00694996-0.0262222j 0.0184849+0.0343287j 0.00145798+0.0504154j -0.0139356-0.0465711j -0.0307513+0.0092316j 0.0175941-0.00927297j 0.0056085-0.00620233j -0.00566906-0.0572442j 0.01207+0.0178892j 0.000570107+0.0472j -0.126512+3.4972e-15j -0.0298169+0.0363281j 0.0147214+0.131796j -0.0173109-0.0721522j -0.0894562+0.000636569j 0.357286-0.063565j -0.0616667+0.0883302j 0.0962755+0.146274j 0.072661-0.0032373j 0.0318055-0.0787154j -0.0775831+0.0480883j -0.112254+0.475931j -0.0483136+0.4123j -0.0565892+0.202317j 0.0029236+0.00543818j -0.0359697+0.128468j 0.0824695-0.0553369j 0.0735701+0.0342198j -0.00140817+0.00544574j 
0.0124582-0.0054368j -0.00540542+0.0182843j 0.00802874+0.0132094j -0.00628756-0.00702669j 0.00218431+0.00387128j 0.00326206+0.0278906j -0.0204408+0.0104312j 0.0110096-0.0174815j 0.0371725-0.0241545j -0.02809+0.0474545j 0.00698607+0.0318212j -0.0125036+0.0479732j -0.0473775-0.0363845j 0.0495559-0.0268513j 0.125373+0.0441304j -0.00794797+0.0117739j -0.00473472-0.0180742j -0.030393-0.0127263j 0.00129014+0.00857679j -0.0046089-0.000529829j 0.0307605-0.0147725j -0.0298169-0.0363281j -0.0162525+2.87964e-15j -0.00770369-0.0165748j -0.00946367+0.019428j 0.00246393-0.000743825j 0.0292754+0.00832771j -0.0820585+0.00692308j 0.107868-0.0483857j -0.383381-0.013496j 0.0259625+0.0101141j 0.0206708-0.0400882j -0.218779-0.0459388j 0.118148+0.0655985j 0.0557639-0.155705j 0.0388334+0.0658975j 0.0690277-0.171482j 0.371099-0.141166j -0.158487+0.136155j 0.0121066+0.122388j 
-0.000727891-0.00170911j -0.00621238+0.00891785j 0.0110867+0.000587881j 0.0343711-0.0188582j 0.00100286-0.00938923j 0.0106734-0.00866168j -0.00635777+0.0230682j -0.0216395-0.0341519j 0.0201368-0.0344989j -0.0361499-0.00495854j 0.0432744+0.0204744j 0.00221633+0.00320983j -0.0070713-0.0452169j 0.0447233-0.0508222j -0.011288+0.0326797j -0.00940936+0.0189897j 0.0134631-0.055497j 0.00323384-0.0204165j -0.00581193-0.00576051j 0.00600433+0.0221647j 0.0072055-0.0641298j 0.0147214-0.131796j -0.00770369+0.0165748j -0.0775322+1.35239e-14j -0.202305+0.00702409j 0.0903089-0.00291446j -0.0460999+0.0552477j -0.0957553+0.080361j -0.0183064+0.0145207j 0.0878891+0.00664551j -0.0972207+0.0947594j 0.046074+0.0827727j -0.120578+0.0415439j 0.0670928+0.0760068j 0.110205+0.0194574j -0.203197+0.0354329j 0.0518906+0.0274861j -0.0553543-0.133811j -0.0275761-0.0868802j 0.00432232+0.0433544j 
-6.00887e-06-0.00227881j 0.00967595+0.0140317j -0.00861225-0.0220032j -0.00614652-0.018313j 0.00437967+0.0294691j 0.00845748-1.23414e-05j -0.00379507-0.0109763j 0.00028674+0.0163981j -0.0110471-0.00519765j 0.0298142+0.0165518j -0.02676-0.0109046j 0.00248165-0.0329138j 0.00949126-0.00936208j -0.00273722+0.00742399j 0.0218283-0.0275035j 0.000942112-0.00582953j -0.00588439+0.0316905j 0.00391413+0.0131146j 0.0026503-0.00803377j 0.0214823+0.0286782j 0.00363022+0.034672j -0.0173109+0.0721522j -0.00946367-0.019428j -0.202305-0.00702409j -0.430647+8.18512e-14j 0.173658+0.0329234j 0.0442404-0.00406948j 0.0367687-0.0181808j -0.015432-0.0122355j -0.0160624-0.00184003j -0.0431714+0.219455j -0.102868+0.186138j 0.0239846-0.0270125j 0.049179-0.0310719j -0.154633+0.00213903j -0.331701+0.0674534j -0.0703889-0.00923581j 0.0483214+0.0594759j 0.00171907+0.059093j -0.000921704-0.0127358j 
-0.00876586+0.00103002j -0.0114692+0.00211221j -0.0384223-0.0207341j -0.0853865+0.00945915j 0.0246892+0.0378254j -0.0393314+0.0227236j -3.17073e-05-0.000716511j 0.0188979-0.00798807j 0.000924679-0.0323018j -0.021978-0.0171826j 0.0302455+0.000342685j 0.0120967-0.0195284j 0.0225344-0.012986j -0.00851249-0.0266863j 0.00971128-0.00533616j 0.00440835+0.000820331j 0.00203977-0.018202j -0.0207614-0.00505035j -0.00641563+0.0180188j -0.0574887+0.209492j 0.019894+0.00961715j -0.0894562-0.000636569j 0.00246393+0.000743825j 0.0903089+0.00291446j 0.173658-0.0329234j -0.0915352+7.3708e-14j -0.0947529-0.0152089j -0.0016276-0.0505702j -0.0157718+0.0177414j -0.0293487+0.0336674j -0.13796-0.0376087j -0.137194-0.0038045j 0.0790303-0.00365622j 0.0218868-0.0169239j -8.77069e-05+0.0685882j 0.066007+0.196041j 0.00904816+0.0315082j 0.0230508-0.0189784j -0.0113824-0.0025173j -0.00520599+0.000167707j 
