0.0221124-5.20417e-18j 0.0687923+0.00186897j -0.0180493-0.000288752j 0.0899091+0.00393097j -0.850651-0.015751j 0.0517932+0.00425654j -0.0866681-0.0125282j 0.00385756+0.00378346j 0.0696322+0.00968918j -0.0363409-0.00793751j -0.0777233-0.0122051j 0.133756-0.00241592j -0.0379615-0.0025555j -0.00251973-0.000271731j 0.0424769-0.00761514j -0.00634695+0.000247616j 0.00287923-0.00413515j 0.0190377-0.0133568j -0.00560476-0.0122602j 0.0128254-0.00133756j -0.00566539-0.00490123j -0.0019551-0.000861219j -0.0179312+0.00814292j 0.0151592+0.0151058j -0.0095733-0.00465821j 0.0165394-0.00534944j 0.0286555-0.00476969j 0.0320286+0.00589605j 0.0160617-0.0294872j 0.0140514+0.0367415j 0.034826-0.0183941j -0.0273781+0.115963j 0.0695645-0.104958j -0.113826+0.0519879j 
0.133756+0.00241592j -0.0204238+0.0040929j 0.00237428+0.000108865j -0.0156675+0.00336232j 0.0144622-0.000868983j 0.00592628-0.00804311j 0.0318238+0.00994807j -0.0134685+0.00378687j -0.025755-0.00198522j 0.001585-0.00220423j 0.0250046+0.00108264j -0.0191049-2.995e-15j -0.0443493-0.00557405j -0.00600473+0.0709797j 0.0361374+0.00270947j -0.00862769+0.0500177j 0.0232974-0.0167466j 0.0269951-0.0240519j 0.0339013+0.0123903j 0.0162336-0.0275242j 0.012031+0.0256059j 0.017967+0.0376577j -0.00627862-0.00756095j -0.00502668+0.00607603j 0.00391577-0.00878179j 0.00706942-0.0329826j -0.00719218+0.00874143j -0.00446334+0.0070304j 0.0336171+0.0104375j 0.0141735+0.0118754j -0.000659858+0.0295575j -0.038259-0.00995659j 0.00463974+0.0258516j 0.0293601-0.025555j 
-0.0379615+0.0025555j -0.0440646-0.00178655j 0.0142558+0.000598885j -0.033691-0.00251999j 0.176548+0.0370105j -0.0265476-0.00518432j 0.0222088+0.00280547j 0.000323008-0.00322445j -0.0103356+0.00015462j 0.00663979+0.00386254j 0.00524896-0.00144185j -0.0443493+0.00557405j 0.0126186-3.60753e-14j -0.00487564-0.0043058j -0.00683582+0.00207294j -0.00464271-0.00511865j -0.0016254+0.00123409j -0.000196993+0.00338606j -0.00268796+0.00183852j -0.00189437+0.00251376j -0.00342168-0.00306689j -0.00425021-0.0057761j -0.000537276+0.00044728j 0.00051726-0.00504964j 0.00101023+0.00495083j 0.00136356+0.00804963j 0.0050071+0.00211944j 0.00177836-0.00310691j -0.00478389-0.00661105j -0.000617108-0.0171685j -0.0045238-0.075968j 0.115173-0.125327j -0.055179+0.265013j 0.320494+0.100096j 
-0.00251973+0.000271731j -0.00825295+0.00180878j 0.00386676-6.92315e-06j -0.00927755+0.00320889j 0.0221035-0.0131153j -0.00556262-0.000281162j 0.00778445+0.00283081j 0.00101184+0.00159297j -0.00676973-0.00359914j -0.000523394-0.000834509j 0.00584483+0.00933708j -0.00600473-0.0709797j -0.00487564+0.0043058j 0.00120277+7.63278e-17j 0.00883544-0.00280807j 0.000232237+0.00432361j -0.00104607-0.00100083j 0.00792399-0.0041713j 0.00543645-0.00162074j 0.0048035-0.00111959j 0.00451601+0.0040086j 0.00346995+0.00568507j -4.77255e-05-0.000284711j -0.00157456+0.00425138j 0.00281977-0.00505732j 0.00213855-0.00937748j -0.00741826-0.00324315j 0.00298378+0.000697135j 0.0170001+0.00305512j -0.000653486+0.0072188j 0.0107481+3.60541e-05j 0.19+0.0499867j -0.390923-0.0676493j -0.0813465+0.493582j 
0.0424769+0.00761514j 0.0411038+0.0179735j -0.00295783-0.00178533j 0.0526315+0.0343079j 0.00282572+0.00584596j 0.0256155+0.00645012j -0.016147+0.000581362j 0.000422607+0.00220465j 0.0085141-0.00260591j -0.0013193+0.00548562j -0.055834-0.00951229j 0.0361374-0.00270947j -0.00683582-0.00207294j 0.00883544+0.00280807j 0.00403189+1.38778e-17j 0.00843945+0.00962793j -0.00396097-0.000562855j 0.0106775-0.0044114j 0.00729255-0.00966542j 0.00448129-0.00234306j 0.00344818+0.0110581j 0.0139463+0.0167775j -0.000232699-0.0122531j -0.00256763+0.0141997j 0.00916771-0.0305538j -0.00058693-0.0432212j 0.00853212+0.0242242j 0.0278945+0.023091j 0.0626517+0.0117669j 0.0577804-0.0807629j 0.130023-0.387866j 0.36198+0.124715j 0.201726+0.0667226j -0.0122786-0.0278429j 
-0.00634695-0.000247616j -6.85631e-05+0.000760957j -0.000582538+0.00590302j -0.00930768+0.00662961j -0.0784464-0.00657189j -0.00327401-0.00102401j 0.00376613+0.00951521j -0.00348807+0.0012072j -0.00277492-0.0165182j 0.0144395+0.00323416j -0.0152791+0.0727911j -0.00862769-0.0500177j -0.00464271+0.00511865j 0.000232237-0.00432361j 0.00843945-0.00962793j 0.00480775+1.38778e-17j 0.0011184-0.00075307j 0.00714407-0.0111233j 0.00228427-0.00526907j 0.00553121-0.00500215j 0.00366599+0.00514573j 0.0105848+5.99262e-05j -0.0142599+0.00438475j -0.00014976-0.000310616j -0.00782479-0.00668196j -0.00857229-0.0107013j 0.0397208-0.0630436j 0.028059-0.0533364j 0.0178276-0.0294839j -0.142993-0.0722691j -0.40796-0.123616j 0.111457-0.40022j 0.0763175-0.239571j -0.03853+0.00383468j 
0.00287923+0.00413515j 0.00854448+0.0120187j -0.0229983-0.0360157j 0.000231754+0.0215573j -0.00276129+0.0476205j 0.00158928+8.07413e-05j 0.00216839+0.000207088j 0.0151636-0.00276304j -0.00282766-0.00271654j -0.0665761-0.0151968j 0.0448219+0.0186204j 0.0232974+0.0167466j -0.0016254-0.00123409j -0.00104607+0.00100083j -0.00396097+0.000562855j 0.0011184+0.00075307j 0.000594031+6.10623e-16j -0.00354965-0.00817355j -0.00356081+0.0043035j 0.000388663+0.00113987j 0.0159198-0.00253548j -0.00534462+0.00813037j 0.00519665+0.0210641j -0.0181348+0.00337489j -0.0287633-0.0100843j -0.0026905-0.0125467j -0.180246+0.343146j -0.124599+0.227859j -0.000531375+0.0193288j 0.405378+0.214044j -0.155646-0.0731805j 0.0226473-0.095225j 0.0111533-0.049565j -0.00345965-0.000432451j 
0.0190377+0.0133568j 0.00259107+0.0106572j -0.0279747-0.0465328j -0.00757914+0.00529127j 0.0164879+0.0289875j 0.012274+0.00525895j -0.0111942-0.00349161j 0.0355706+0.0051596j 0.0308911+0.0214248j -0.00275558-0.0040954j -0.0222203-0.0057706j 0.0269951+0.0240519j -0.000196993-0.00338606j 0.00792399+0.0041713j 0.0106775+0.0044114j 0.00714407+0.0111233j -0.00354965+0.00817355j 0.020352+1.83187e-15j 0.00355777-0.00748238j 0.0207582-0.0119171j 0.00895957+0.0189315j 0.0292717+0.0220847j -0.038875-0.0196993j 0.0252121-0.0187509j 0.00706988-0.0775453j -0.339546+0.342815j -0.0977539-0.080381j 0.117894+0.123276j -0.321313-0.312569j -0.0150284+0.0311295j 0.000166685-0.00381767j 0.0119929+0.00391614j -0.00294738+0.00507995j 0.00492488+0.00154431j 
-0.00560476+0.0122602j -0.0181604+0.0209635j 0.0360395+0.00970315j -0.0481716-0.00447233j -0.0300684+0.00652743j -0.00308598+0.0019029j -0.00765521-0.00127736j -0.0158214-0.0193982j 0.0253946+0.0116531j -0.0287897+0.0557089j -0.0134614-0.0406791j 0.0339013-0.0123903j -0.00268796-0.00183852j 0.00543645+0.00162074j 0.00729255+0.00966542j 0.00228427+0.00526907j -0.00356081-0.0043035j 0.00355777+0.00748238j 0.0155291+2.92301e-15j 0.00695205+0.0113592j 0.000285341-0.00372342j 0.00589992+0.00952737j -0.00012799-0.0422711j 0.0836267-0.0279683j -0.201662+0.199569j -0.0131534+0.0656294j 0.371652+0.262696j 0.0504173-0.0449371j -0.0841558-0.0880608j 0.171295-0.334933j -0.0380711+0.0854598j -0.0255208-2.10154e-05j -0.0224501+0.0024918j 0.00267969+0.00673694j 
0.0128254+0.00133756j 0.0261055+0.0100306j 0.0077639+0.0405981j 0.0165695-0.0117953j 0.0384504-0.00823007j 0.00959838+0.000910376j -0.0152055-0.00264561j -0.0236919-0.000607842j 0.0299456+0.0188103j -0.00779311-0.0448661j -0.0260369+0.0223821j 0.0162336+0.0275242j -0.00189437-0.00251376j 0.0048035+0.00111959j 0.00448129+0.00234306j 0.00553121+0.00500215j 0.000388663-0.00113987j 0.0207582+0.0119171j 0.00695205-0.0113592j 0.00332004-4.81559e-15j -0.00361172+0.0281626j 0.00149072+0.000130295j -0.0474085-0.0429645j 0.10884-0.0770798j -0.285083+0.227615j 0.00601743+0.0199466j -0.0530142+0.0598733j -0.334113-0.309051j -0.08374-0.132955j -0.136844+0.260087j 0.0334005-0.0627743j 0.0306772+0.00835767j 0.00737987+0.00452635j 0.00421486+0.000872232j 
-0.00566539+0.00490123j 0.00207617+0.00185072j 0.0439412-0.0323376j 0.0169612+0.00680766j -0.0325967-0.00210694j -0.00290045-0.000560519j -0.00338755+0.0115849j 0.000788574-0.0431029j 0.0147708-0.027306j 0.00498369+0.00225666j -0.00842161+0.0243955j 0.012031-0.0256059j -0.00342168+0.00306689j 0.00451601-0.0040086j 0.00344818-0.0110581j 0.00366599-0.00514573j 0.0159198+0.00253548j 0.00895957-0.0189315j 0.000285341+0.00372342j -0.00361172-0.0281626j 0.00837908+9.35363e-15j 0.00956771-0.0186817j -0.0437918+0.0197199j -0.00384714-0.0318154j -0.0915781-0.102315j 0.321373+0.329302j -0.125793+0.083664j 0.183745-0.157891j -0.258313+0.313122j -0.00506821+0.0104134j 0.00960923-0.0178145j 0.0187722-0.00329009j 0.0124489-0.00268805j -0.00407978-0.00132439j 
-0.0019551+0.000861219j -0.00564735+0.00824773j -0.0431064+0.0149589j 0.0414438+0.0119844j -0.0146821-0.0113879j -0.000590893-0.00051483j 0.00104225+0.0188595j -0.0151041+0.0145964j 0.0339841-0.0320527j 0.0114336+0.0345435j -0.0044215+0.0416723j 0.017967-0.0376577j -0.00425021+0.0057761j 0.00346995-0.00568507j 0.0139463-0.0167775j 0.0105848-5.99262e-05j -0.00534462-0.00813037j 0.0292717-0.0220847j 0.00589992-0.00952737j 0.00149072-0.000130295j 0.00956771+0.0186817j -0.0583854+2.91434e-15j -0.211769+0.0154313j -0.0604154-0.29558j 0.262505+0.26737j 0.0752281+0.0571523j 0.149155-0.143306j -0.217162+0.2147j -0.189465+0.135385j 0.0239741+0.0179373j 0.00769621-0.0194789j 0.017727-0.000353952j 0.0101568+0.00178743j -0.00332865-0.00182086j 
-0.0179312-0.00814292j -0.02577-0.0224309j 0.00354617-0.00498859j 0.00869925+0.0294156j 0.00212933-0.0122195j -0.00893587-0.00127541j 0.00188077+0.00068557j -0.027511-0.0284384j 0.0329173+0.0499715j 0.0422787+0.0246905j 0.0115063+0.00688745j -0.00627862+0.00756095j -0.000537276-0.00044728j -4.77255e-05+0.000284711j -0.000232699+0.0122531j -0.0142599-0.00438475j 0.00519665-0.0210641j -0.038875+0.0196993j -0.00012799+0.0422711j -0.0474085+0.0429645j -0.0437918-0.0197199j -0.211769-0.0154313j -0.376438+9.60343e-15j 0.00160213-0.388012j -0.0965118-0.260875j -0.0530297-0.095015j -0.0644052+0.0884557j 0.111954-0.074388j 0.134169-0.081968j 0.0203371-0.0296758j -0.000663132+0.0176645j -0.0129641+0.00669678j -0.00930388-0.000161817j 1.81868e-05+0.00385972j 
0.0151592-0.0151058j 0.0292324-0.0207449j 0.0209762+0.0117353j -0.0166539+0.0382198j 0.00670845-0.0128263j 0.00463786-0.000277452j 0.00804298+0.00118481j -0.0286846+0.0271649j 0.0222563-0.0565256j 0.0290584-0.0538089j 0.0255704+0.000265694j -0.00502668-0.00607603j 0.00051726+0.00504964j -0.00157456-0.00425138j -0.00256763-0.0141997j -0.00014976+0.000310616j -0.0181348-0.00337489j 0.0252121+0.0187509j 0.0836267+0.0279683j 0.10884+0.0770798j -0.00384714+0.0318154j -0.0604154+0.29558j 0.00160213+0.388012j -0.441502+3.26128e-14j -0.13934+0.0146969j -0.035939+0.0134213j 0.0347571+0.0151867j -0.0130938-0.0307023j -0.0245478-0.0258988j -0.0117738-0.0174172j 0.0134117-0.00293498j 0.0050504+0.00878083j 0.00308868+0.00560122j 0.000802016-0.000576443j 
-0.0095733+0.00465821j 0.00804408-0.00174315j -0.0358213-0.0196645j -0.0398548-0.0109641j 0.0115428+0.00361324j 0.00080767+0.00431226j -0.0124727-0.0157443j 0.0135755+0.0317232j 0.0318319+0.0471572j 0.0230097+0.0514417j -0.00785392-0.0354411j 0.00391577+0.00878179j 0.00101023-0.00495083j 0.00281977+0.00505732j 0.00916771+0.0305538j -0.00782479+0.00668196j -0.0287633+0.0100843j 0.00706988+0.0775453j -0.201662-0.199569j -0.285083-0.227615j -0.0915781+0.102315j 0.262505-0.26737j -0.0965118+0.260875j -0.13934-0.0146969j -0.0405119+1.03528e-14j 0.000816425-0.0181112j 0.0084566+0.0212789j -0.0105699-0.00882088j 0.0146963-0.0248008j 0.00662758-0.0103795j -0.00826035+0.00586951j -0.0091925+0.00154199j -0.00999067+0.00240226j 0.00363694+0.00232437j 
0.0165394+0.00534944j -0.0249025-0.00582127j 0.0460371+0.0288736j -0.0243154-0.00500129j 0.0198573+0.0160021j 0.0110604+0.00453021j -0.0152138-0.0240724j -0.00213271+0.012372j 0.0202977+0.075024j -0.0220827-0.0624663j -0.00704626-0.031059j 0.00706942+0.0329826j 0.00136356-0.00804963j 0.00213855+0.00937748j -0.00058693+0.0432212j -0.00857229+0.0107013j -0.0026905+0.0125467j -0.339546-0.342815j -0.0131534-0.0656294j 0.00601743-0.0199466j 0.321373-0.329302j 0.0752281-0.0571523j -0.0530297+0.095015j -0.035939-0.0134213j 0.000816425+0.0181112j 0.00797008+7.43849e-15j 0.0114932-0.0109062j -0.00641174-0.012719j -0.000720091-0.0164408j -0.0175572+8.86725e-05j -0.00696582-0.00215215j 0.000926586-0.00162134j -0.00649119+0.000180265j 0.00536841+0.00270173j 
0.0286555+0.00476969j -0.0143055-0.0166214j 0.0202506+0.047896j -0.00810398+0.000956601j -0.00454157+0.00183684j 0.00938442+0.00721964j 0.0401049+0.0250113j 0.0136814+0.128552j -0.0304683+0.0112516j -0.0479154-0.00601966j 0.0208103-0.00336521j -0.00719218-0.00874143j 0.0050071-0.00211944j -0.00741826+0.00324315j 0.00853212-0.0242242j 0.0397208+0.0630436j -0.180246-0.343146j -0.0977539+0.080381j 0.371652-0.262696j -0.0530142-0.0598733j -0.125793-0.083664j 0.149155+0.143306j -0.0644052-0.0884557j 0.0347571-0.0151867j 0.0084566-0.0212789j 0.0114932+0.0109062j -0.0120904+4.92835e-15j 0.010612-0.00746445j 0.00470245+0.0158997j -3.60559e-05+0.000464351j 0.00178774+0.000211567j -0.00218297-0.00295933j 0.00198387+0.0004936j 0.000653132-0.00218505j 
0.0320286-0.00589605j -0.00976456+0.0141312j 0.0534627-0.0349663j 0.00547942-0.0131274j -0.000706352+0.000495575j 0.0142112+0.00598397j 0.0163366+0.0276599j 0.0326167+0.0785025j 0.0208215-0.00983885j 0.0577883-0.0413595j -0.0129501+0.00802186j -0.00446334-0.0070304j 0.00177836+0.00310691j 0.00298378-0.000697135j 0.0278945-0.023091j 0.028059+0.0533364j -0.124599-0.227859j 0.117894-0.123276j 0.0504173+0.0449371j -0.334113+0.309051j 0.183745+0.157891j -0.217162-0.2147j 0.111954+0.074388j -0.0130938+0.0307023j -0.0105699+0.00882088j -0.00641174+0.012719j 0.010612+0.00746445j -0.00151644+9.29812e-16j -0.0257309-0.00787486j -0.00475589-0.00630519j 0.00108919+0.00109582j 0.00389864+0.00493467j 0.00412197+0.00406235j 0.000631379-0.00230579j 
0.0160617+0.0294872j 0.00979224+0.0150402j -0.00991471+0.0266155j 0.00966972-0.0117875j -0.00228063+0.00843442j 0.0116486+0.00338955j -0.0211878+0.0336529j 0.01883+0.00387509j 0.0918459-0.0390448j -0.0395509+0.00622495j -0.0394159+0.0195524j 0.0336171-0.0104375j -0.00478389+0.00661105j 0.0170001-0.00305512j 0.0626517-0.0117669j 0.0178276+0.0294839j -0.000531375-0.0193288j -0.321313+0.312569j -0.0841558+0.0880608j -0.08374+0.132955j -0.258313-0.313122j -0.189465-0.135385j 0.134169+0.081968j -0.0245478+0.0258988j 0.0146963+0.0248008j -0.000720091+0.0164408j 0.00470245-0.0158997j -0.0257309+0.00787486j -0.0533873+9.99201e-16j -0.00794663+0.0169251j -0.0054086-0.00355695j 0.00970262-0.00337471j 0.00037259+0.00137777j 0.00101051-0.000483982j 
0.0140514-0.0367415j 0.00312749+0.0611629j 0.00691991-0.0321554j -0.00511802+0.022132j 0.00412994-0.00983093j -0.00870687-0.00681714j -0.0314369+0.0728492j -0.148877+0.0374548j -0.000337643-0.0106102j 0.0268281-0.00668709j -0.00337254+0.0149751j 0.0141735-0.0118754j -0.000617108+0.0171685j -0.000653486-0.0072188j 0.0577804+0.0807629j -0.142993+0.0722691j 0.405378-0.214044j -0.0150284-0.0311295j 0.171295+0.334933j -0.136844-0.260087j -0.00506821-0.0104134j 0.0239741-0.0179373j 0.0203371+0.0296758j -0.0117738+0.0174172j 0.00662758+0.0103795j -0.0175572-8.86725e-05j -3.60559e-05-0.000464351j -0.00475589+0.00630519j -0.00794663-0.0169251j 0.00484612+1.94289e-16j 0.00141146-0.000764767j 0.0022751+0.00310695j -0.000473216+0.00234977j 0.000813978+0.00134482j 
