-0.13389-7.63278e-17j 0.0483986-0.0293739j 0.00238284-0.0288604j -0.0387513-0.0883512j -0.0204408-0.0193036j -0.0169049-0.0136844j 0.0103809-0.0226667j 0.0206971+0.00938626j 0.0260202-0.0220968j 0.0191391+0.0101777j -0.00791715-0.00383597j 0.0308486-0.0177136j -0.00597706+0.0109333j 0.0241377-0.0219812j 0.0114841+0.0167467j -0.0287426-0.00452495j 0.00464654-0.0169417j 0.011781-0.0105205j 0.011126-0.0231557j 0.0219471+0.0162762j -0.0557627+0.036674j 0.0530364+0.0299768j -0.012708+0.0732048j -0.0372101-0.0543196j 0.0211138-0.0325066j -0.0118974-0.0288782j 0.00359651+0.0227067j 0.0613604+0.0693536j 0.0191396-0.0129427j 0.0272815-0.00182934j 0.0513785-0.0253041j -0.0107497+0.0244055j -0.0111193-0.031659j -0.00581705-0.0174877j -0.00262679-0.0146328j 0.0178958-0.00246036j 0.0143695-0.0379954j 0.0203123+0.013515j 0.0131131-0.0105597j 0.0270781-0.0257556j 0.0324053-0.0430133j 0.00218105+0.017478j 0.00202713+0.0300574j -0.00231047+0.012057j -0.00878684+0.00380196j -0.000403673-0.0150503j -0.0162844-0.0322085j -0.0258472-0.031496j 0.00141201+0.00347123j -0.0456787-0.0440869j 0.00670753+0.0104801j 0.0258857-0.00436941j 0.0343006+0.057772j 0.0123693+0.0730647j -0.042148-0.0227657j -0.0147245+0.0333305j 0.000148168+0.00651884j -0.000452669+0.00960937j 0.020315-0.0579487j -0.0237019+0.0948364j 0.0149487-0.0430486j 0.06416-0.0148562j 0.0491994+0.0811533j 0.0667985-0.0175172j -0.00925912-0.0335173j 0.138775-0.0548567j 0.0646908+0.0159579j 0.0400197+0.0578579j -0.0298511+0.0161503j -0.0526416+0.0417848j -0.0213852-0.0111503j 0.0179597-0.0463838j -0.0092511-0.0572063j -0.0209737+0.08513j 0.00137721+0.0442692j 0.00295146-0.02378j -0.00304958-0.0108231j 0.0429542+0.0254287j -0.0238442-0.0120722j -0.013156-0.0527971j -0.0225471-0.0519658j 0.0319651-0.0385634j -0.00739346-0.00938655j -0.15021+9.84089e-05j 0.165638+0.171732j 0.137285+0.0135443j -0.113233+0.266208j 0.123139+0.15225j 0.0188352+0.0935154j -0.153761-0.0529674j -0.134563-0.0140622j -0.0968068-0.0173378j 
0.0211138+0.0325066j 0.0486241+0.00238794j 0.015478+0.100546j -0.000600448+0.0383244j -0.0173488-0.0271955j -0.017555+0.000451649j 0.0621693+0.0956008j 0.0578437-0.0136074j -0.00875283-0.236816j -0.0798753-0.0473556j 0.0897646-0.00301837j 0.0574605+0.062486j 0.00342533+0.0932934j 0.00461666+0.0497095j 0.034069-0.0201405j 0.129843+0.171579j -0.0689117-0.0873292j -0.0626345+0.115529j 0.0115452+0.0748454j -0.0227658-0.0907271j -0.00313883+0.032806j -0.00575331-0.0276606j 0.00567147-0.0823026j 0.0461004-0.0864627j -0.112487-3.56659e-15j 0.0125551+0.0604851j 0.0345711-0.0699446j -0.0337593+0.0257247j -0.0462679+0.056809j -0.00147198+0.0547694j -0.00168118-0.00990695j 0.0503756+0.109212j -0.0036945-0.0341834j 0.0414798+0.0766334j -0.0329504+0.0914854j -0.0032999-0.0394972j -0.0322773+0.0818699j -0.0142198-0.102634j -0.0651013-0.108963j 0.0548826+0.0892592j 0.0205569-0.0257731j -0.0896615+0.177196j 0.0532949+0.019346j 0.0682551-0.0166112j 0.00315212+0.0537342j 0.031832+0.0167304j 0.0519692-0.0107002j 0.020906-0.0383772j -0.0144798-0.0165324j -0.0451432+0.0153628j -0.026886-0.0833095j -0.0146153+0.0514873j 0.0689052+0.000299855j -0.00133747+0.0125339j 0.0482035+0.0078217j 0.0410908-0.0391573j -0.0400555-0.00121878j 0.0670703-0.00408632j -0.0142535-0.0222983j 0.0580348+0.0729364j -8.13943e-05+0.059246j 0.0319868+0.0062392j 0.00429746-0.0854362j -0.03288-0.052554j 0.0426163+0.0285104j 0.00629742+0.0813733j -0.0224747+0.019319j 0.00683161-0.0095176j -0.00685841+0.00636781j 0.040418+0.0231306j 0.0550762+0.0319896j -0.00637169+0.00966229j 0.0556662-0.00648259j 0.0413604+0.0400751j 0.0176104-0.0619907j 0.118519-0.00884704j -0.0356712+0.0122457j -0.041002+0.0309171j -0.0119174-0.0659456j 0.0243503-0.0434398j -0.0573188+0.014449j -0.0399312+0.00938927j 0.0213492-0.0346616j -0.0195248-0.0306505j 0.0610455-0.00777918j 0.0112326-0.0111746j -0.0353021-0.0221403j -0.0102222-0.0205058j -0.0614513+0.0173333j 0.00229992-0.0552756j 0.0153082-0.0251284j -0.0722086-0.0256828j 
-0.0118974+0.0288782j 0.00778173-0.0366853j 0.0437212-0.00185521j 0.0298081-0.0649221j -0.0751937+0.0294878j 0.0484974-0.0315587j -0.0624354+0.135699j -0.00420242+0.0758027j 0.0265764+0.0551481j 0.0226481+0.0666056j 0.0022397+0.102484j -0.0976477-0.067977j -0.0294554-0.0336644j -0.0907033+0.058397j 0.0117756+0.0519072j 0.0201185+0.0212819j 0.0199504+0.0183426j -0.0325363+0.00303311j 0.044902+0.133722j 0.0828636-0.0546033j -0.0175725+0.100205j -0.0985357+0.0525297j 0.00839487+0.122774j 0.0518656+0.0408231j 0.0125551-0.0604851j 0.0343346+2.27596e-15j 0.0298694+0.0180271j -0.0720479+0.0215528j 0.00175783-0.00469319j -0.0547494+0.0434847j 0.0324265-0.0125515j 0.0668562+0.0255115j 0.0239095-0.0166674j -0.05371+0.00827075j 0.0452942-0.0164347j 0.0301875-0.122117j 0.0302354+0.044291j 0.031494+0.0492634j 0.0271409+0.00735512j 0.0511493+0.0488145j 0.0249224+0.0284832j -0.0763786+0.0129948j -0.0295006+0.0145523j -0.0339095-0.0267936j -0.0429327-0.000523218j -0.0395823+0.0217731j 0.0264903-0.00295842j 0.067837+0.0197622j -0.0679234-0.0951849j -0.127188+0.0751388j -0.0293459+0.0766991j -0.0117412-0.0136466j 0.00367312-0.0567239j 0.00899499-0.0279657j 0.00895829+0.0797826j -0.0372973+0.0272213j -0.127573+0.00444344j 0.0220918+0.0285016j -0.0780299+0.0797461j 0.0769814-0.0128696j -0.0258984-0.0148568j 0.0988013+0.0299624j -0.0259914+0.0602005j -0.00492476+0.0520894j -0.0984659-0.117316j 0.0201765-0.00440845j 0.0191722-0.0270286j 0.059574-0.00169636j 0.0339466-0.00952505j 0.0511294+0.00915203j 0.0263553-0.0681922j 0.0715639+0.0230599j -0.0144089-0.0514041j 0.00715916+0.0330802j 0.0419522-0.0193324j 0.0448975-0.0171338j -0.0261378+0.078555j -0.0113256-0.0772356j -0.0152354-0.0279832j 0.101696-0.0638624j -0.00563526+0.0349694j 0.0611314+0.0522503j -0.0199448+0.018887j 0.0663242-0.0611002j 0.0491393-0.0729009j 0.00891606-0.0199372j -0.0734067-0.0178857j 0.0164089+0.041038j -0.0440962+0.04145j -0.0298078+0.0304996j -0.192746-0.1335j -0.167804+0.0843647j 
0.00359651-0.0227067j 0.0441536-0.0794447j -0.113383-0.149044j -0.0115513+0.0620926j 0.0648599+0.0185171j -0.0181851+0.106764j 0.0162069-0.142058j -0.0362934-0.0929036j -0.07851-0.119672j -0.0094671-0.089378j -0.0347023-0.0931873j -0.00262289+0.0341041j 0.0788609-0.0128547j -0.0179847+0.0324839j -0.0657574-0.0412508j 0.0437909-0.0185609j -0.0774617-0.0566485j -0.0440068-0.032404j -0.00150753+0.0812527j -0.0390017+0.0621609j 0.0336367-0.0547432j -0.0383129-0.0668415j -0.0228157-0.112417j 0.0348617-0.08587j 0.0345711+0.0699446j 0.0298694-0.0180271j 0.0763071+3.05311e-16j -0.0146654+0.0136636j 0.0707194-0.0540221j -0.0188218-0.102416j 0.0880185+0.0291778j 0.0652769+0.0620903j 0.0284345-0.0539323j -0.00960836-0.002376j -0.00834478-0.0527616j 0.0106125+0.0667933j 0.0463204-0.107335j 0.0348243+0.0953625j -0.0135478+0.0150594j 0.056497-0.0499321j 0.0132041-0.0088667j 0.00148849-0.0760256j 0.0756762+0.00179501j 0.0345044+0.0537764j -0.0696326-0.0558156j 0.0206329-0.0138501j 0.037204-0.0391958j 0.0227998-0.0765919j -0.0320525-0.0729911j -0.0229073+0.0132577j 0.024681-0.0712935j 0.0383176-0.0460851j -0.0688065+0.00078371j 0.0200043-0.0537467j 0.0767974+0.0604219j 0.0331006+0.0537044j 0.00261397+0.0142335j 0.107755+0.0174263j -0.103897+0.0254365j 0.073085+0.018225j -0.036851+0.0114624j 0.0325154+0.0413534j -0.0310142-0.0152513j -0.0574902+0.0464569j 0.000334722+0.022914j -0.0292539-0.0130035j -0.0249304+0.0379899j 0.0284261+0.0403484j 0.00416254-0.00120477j 0.0427234-0.0316509j 0.0304114-0.019429j 0.0595888+0.0236323j -0.0291085+0.119438j 0.00296495+0.0160804j -0.0991077-0.0993893j 0.0118472+0.00556784j -0.00476879+0.114994j -0.070362+0.0504531j -0.0494405-0.00580554j 0.10463-0.0845468j -0.0376102+0.0081217j -0.0638784+0.0107837j -0.0440768+0.012477j -0.0266818-0.0155179j -0.0714658-0.00227846j 0.0365398+0.026929j -0.0272145+0.0264696j 0.0201386+0.0377931j 0.0142518+0.0327145j 0.00526222+0.0445165j -0.00815484+0.00758425j -0.0915825+0.00951316j 
0.0613604-0.0693536j -0.00369088-0.00703619j -0.0708174+0.0105073j -0.000324101+0.0313528j 0.0406865-0.0497527j -0.0381832+0.0227474j -0.0178464-0.0483243j -0.00467486-0.00253353j -0.0481159-0.0216997j -0.0186118-0.00736531j 0.0746556-0.0462115j -0.0070928+0.0188249j -0.0349748+0.041197j -0.00255674-0.0410102j -0.0219938-0.0705897j 0.00497548-0.0316898j 0.04589-0.0400192j -0.0579964+0.0332765j -0.0661188+0.0708915j -0.00892759+0.0475669j -0.040662+0.0208199j 0.0112722-0.0213701j 0.0754873-0.0406798j -0.0135836+6.60247e-06j -0.0337593-0.0257247j -0.0720479-0.0215528j -0.0146654-0.0136636j -0.0598518+1.82215e-14j -0.0149568-0.0207137j -0.0538327+0.106118j 0.0338161-0.0599j 0.0455513-0.010664j 0.0110416-0.0366735j -0.010253-0.0467656j 0.0120467-0.0278059j 0.0279193+0.0424941j 0.0517103-0.111967j -0.0552993+0.0185626j 0.0141087+0.0476273j 0.016393-0.0206528j 0.018977-0.0963932j 0.00621532-0.0514537j 0.0631433-0.0314774j 0.0269013+0.049085j -0.0584323-0.071105j 0.00945046+0.135248j -0.00255151-0.0333629j 0.063344-0.00872013j -0.0082385+0.00639147j 0.0243498-0.0624028j -0.00794391+0.084426j -0.0373509+0.0303523j -0.0123249-0.105759j 0.022418-0.0125151j 0.0324909+0.00130919j 0.0549155-0.0664365j -0.0438747-0.000365468j -0.0452563+0.0906331j 0.125717-0.0127497j 0.018252+0.0485448j -0.036144-0.0117957j 0.0382754-0.0462626j 0.0181537+0.0192577j 0.00397494-0.0347313j 0.00556066-0.0457314j 0.045809-0.0586497j 0.0351928-0.0327417j -0.0342785-0.02677j -0.0154762+0.0567114j 0.114429-0.026116j 0.0402743+0.144663j -0.0024102+0.180683j 0.0411833+0.0664831j 0.0880753-0.0166904j 0.0169466-0.0375984j 0.0294993-0.0104007j -0.136943-0.016543j 0.0316455+0.0275256j -0.04774+0.00690288j -0.0188781+0.177706j -0.000960178+0.0638396j 0.173494-0.148816j -0.043094+0.00661977j -0.188676+0.160557j -0.0155343+0.0166637j -0.0741148+0.0387771j -0.093469-0.0902504j 0.0319251-0.120116j -0.102401-0.0770152j 0.0338638-0.0572777j -0.0337473-0.0614211j -0.0137661+6.02865e-05j 
0.0191396+0.0129427j 0.0132838-0.00514623j -0.058008-0.0277259j -0.0239104-0.00213484j -0.0134338-0.0522154j 0.0145653+0.0385041j -0.0740328+0.0883924j 0.0152085-0.0398813j -0.00433414-0.0240251j -0.0563312-0.013151j 0.0395925+0.00241492j 0.0194048-0.110362j -0.0383848-0.0577875j -0.0239626-0.0140455j 0.02775+0.0373982j -0.073154+0.00984154j -0.00340934-0.0999519j 0.0460104-0.00286344j 0.00216475+0.0742279j -0.0571227-0.0751096j -0.00215862-0.0200794j 0.0646066-0.00723917j 0.0375759-0.0389327j -0.0213863-0.0299805j -0.0462679-0.056809j 0.00175783+0.00469319j 0.0707194+0.0540221j -0.0149568+0.0207137j 0.0666992-2.498e-16j 0.0555326-0.0371727j -0.0818142+0.0229467j 0.012581+0.0135677j 0.0370559-0.0168908j -0.0985588+0.00573672j 0.00168842+0.0689868j -0.0211755-0.00959294j -0.0744756+0.0692477j -0.0168066-0.0356403j 0.0624859+0.036861j -0.000758821-0.0143177j -0.00968392-0.00156051j 0.0278406+0.0626777j 0.0958534+0.0614169j -0.0531163-0.0341117j -0.00436338+0.105658j 0.0174009+0.0459807j -0.0250858-0.00449145j -0.0538369+0.00592829j -0.00209587-0.0507341j 0.00838597-0.0138066j -0.0184525-0.0268858j 0.100493+0.139876j 0.0832265+0.0299397j 0.0788171+0.000433635j -0.0254311-0.0331502j -0.00648007+0.0402499j -0.0266572+0.0072792j 0.0642218-0.0787973j 0.0977205-0.0753789j 0.00673497+0.103196j 0.106411+0.03276j 0.0205231-0.0353283j -0.00584207-0.0650304j 0.0221245+0.0150688j 0.106295+0.0594204j -0.023764-0.109909j 0.0448951-0.07641j -0.0287285+0.00633417j -0.0111455+0.00470454j -0.0027884+0.0513296j -0.0122263+0.0448687j 0.0687453-0.040858j 0.0399965+0.00904031j -0.0373831+0.00575052j 0.00945903-0.0107161j 0.0255223+0.0186802j 0.0412076-0.00198963j -0.0773965-0.0786584j 0.0138991-0.06366j 0.041448+0.0166737j -0.0168649-0.0300105j 0.0418931+0.0680201j -0.0462315+0.0547804j 0.0490177+0.045465j -0.0300075+0.0112783j 0.136981-0.121965j -0.0426149-0.148706j -0.109011-0.0149269j -0.0425552+0.191445j -0.0836138-0.00763105j -0.0329354+0.0508667j 0.0869458-0.0689843j 
0.0272815+0.00182934j 0.00528892-0.0380337j 0.0123042-0.0107319j 0.0502617-0.00133105j -0.0157296-0.00389647j -0.0268557-0.041856j -0.0134193-0.0289381j -0.0682728-0.00205945j -0.006676+0.021377j -0.0125052-0.0314092j 0.00787398+0.0351473j 0.0102901+0.0352669j -0.050141+0.0780407j -0.00431597+0.0213436j -0.00600755+0.0256176j -0.0569878+0.0267615j 0.0664698+0.0750071j 0.00548728-0.0760523j 0.0170872+0.0639233j 0.0557297+0.0183255j -0.0107663-0.0350475j 0.0723916+0.00636816j 0.0713753-0.0640157j -0.0469337-0.0773835j -0.00147198-0.0547694j -0.0547494-0.0434847j -0.0188218+0.102416j -0.0538327-0.106118j 0.0555326+0.0371727j 0.0485928-9.71445e-17j 0.0642596+0.0638869j 0.0213619+0.0272168j -0.0666629-0.020741j 0.00344586-0.0472505j 0.0497209+0.111091j 0.00619379+0.00917486j 0.0385896+0.0163784j -0.00611797-0.0535272j 0.0778936+0.103132j -0.0989413+0.0616061j 0.00992427+0.0421282j 0.0105184-0.0618324j -0.0467824-0.039823j 0.0559565-0.00160668j 0.0290313-0.0806555j 0.0553586-0.030622j 0.00446427-0.0700083j 0.0298875-0.0947431j 0.0524104+0.0244755j -0.0443489+0.0196476j -0.0453345-0.0422305j -0.0533878-0.0239683j -0.0201502+0.131347j 0.0750174+0.0932752j -0.0033892+0.0535729j -0.0138207+0.0362176j 0.0154807-0.0762589j -0.0747434+0.0218807j -0.0362133-0.0155941j -0.00582607+0.00915187j 0.0665442+0.0560193j 0.0286642+0.0829576j 0.00534578+0.00952825j -0.0831054-0.10738j 0.0720347-0.0435812j -0.00702846+0.0822498j 0.0249455+0.00217869j -0.0240131-0.0457272j -0.00749356-0.0952641j -0.0489368-0.118826j 0.0104844-0.0390554j 0.0320322+0.0436325j -0.0216299+0.030546j 0.0387994+0.0310774j -0.0526356-0.0180893j -0.00596614-0.0717633j -0.121757-0.0608514j 0.0236728+0.0219841j -0.0936745+0.0141184j 0.0268563-0.0585519j 0.0527817+0.00373656j -0.135515+0.0212811j 0.0375327-0.0742221j 0.00863633+0.0740912j 0.0673171-0.0330414j 0.00736823+0.0853738j 0.0344672-0.0584206j 0.0051391+0.06033j 0.100425-0.158595j 0.0185842+0.169978j -0.105634+0.0397964j 0.102499+0.0322758j 
0.0513785+0.0253041j 0.0186803-0.0228983j -0.0205891+0.0187487j 0.0198803-0.0434184j -0.0114064-0.0173169j -0.0194356+0.0976467j 0.0285816-0.00138713j 0.0136324+0.0524893j -0.0272397+0.0340768j 0.0159469-0.0416733j -0.0100198-0.0437486j 0.0433771-0.0606692j 0.00760074+0.0228494j 0.00134812+0.0163187j 0.0335702+0.0315542j -0.0150566-0.111013j -0.012798-0.0591757j -0.024861+0.0610049j -0.00663178+0.0304846j 0.0333543+0.0557526j -0.0271888+0.0587724j -0.0164546-0.0114381j 0.00181773+0.000558959j 0.0167832-0.0472779j -0.00168118+0.00990695j 0.0324265+0.0125515j 0.0880185-0.0291778j 0.0338161+0.0599j -0.0818142-0.0229467j 0.0642596-0.0638869j -0.0156604-1.17267e-15j 0.0225287+0.108945j -0.0245238-0.0791239j -0.0529602+0.0117439j 0.034943+0.0188931j 0.124587-0.0253368j -0.015908-0.0131818j 0.067322+0.00184373j -0.0302116-0.0664568j 0.00933733-0.124726j -0.0516661-0.0478266j 0.0414852+0.00531169j -0.0267727+0.069084j 0.0433076-0.126682j -0.0412376-0.012646j -0.0875634-0.0162534j 0.0580954-0.00706999j 0.00808051-0.0402617j -0.0204298-0.0438983j -0.0476342+0.000123023j 0.084947+0.0053353j 0.00497161+0.0616784j -0.0586516+0.0103218j 0.00682706+0.0280842j 0.0313722+0.08823j 0.0509296+0.00613963j 0.140893-0.0256439j -0.0509661+0.0289991j 0.0407857+0.0381926j 0.000572794+0.0802455j 0.080466-0.00144277j -0.0402332+0.0204773j -0.0838337+0.0978662j 0.0845074-0.0617024j -0.0492935-0.087046j 0.0952252+0.0135465j -0.0499593+0.0576059j -0.0362571-0.01737j 0.00739217+0.0869661j -0.102432+0.0565611j -0.0237895-0.0355183j 0.0315943-0.0694607j 0.00967438-0.0301681j -0.0176854-0.0256256j 0.0341204+0.0418657j 0.0277597-0.0672275j -0.00986068-0.0640951j 0.0356018+0.00332355j 0.0108081+0.128048j -0.0585539+0.0119755j 0.0365658-0.0697339j 0.188379-0.044019j -0.139735-0.0338883j -0.0412013+0.105733j -0.0494897-0.0494513j 0.116136-0.021277j 0.0573665-0.0259509j -0.00951454+0.117654j 0.0620825+0.101203j 0.0428836+0.0692747j -0.00494941-0.105644j -0.0406786+0.000491264j 
-0.0107497-0.0244055j -0.000763263-0.0668047j -0.0440949-0.0702528j 0.0127893+0.0289934j 0.0465772+0.0550934j 0.0118672-0.000505356j -0.00909239-0.0480349j -0.0168926+0.0413044j 0.0390852-0.0293463j -0.0457773-0.0205178j 0.0453184+0.0950819j -0.013448-0.0195662j -0.00406762+0.143329j -0.0302531-0.00436181j -0.00321271-0.0525015j 0.00711123-0.00466223j 0.0701544+0.03818j -0.0374533-0.0542719j 0.0771004+0.0846628j 0.00325396-0.0544199j 0.00524863-0.044582j 0.147786+0.065284j -0.012029-0.00917694j 0.0178569+0.0127366j 0.0503756-0.109212j 0.0668562-0.0255115j 0.0652769-0.0620903j 0.0455513+0.010664j 0.012581-0.0135677j 0.0213619-0.0272168j 0.0225287-0.108945j -0.0117251-3.87537e-15j 0.0276635+0.0457661j 0.0933513-0.0710168j -0.0490257-0.0446374j 0.0516069+0.0446202j 0.0553279+0.0186814j 0.00389803+0.0566277j -0.100897-0.0269651j -0.0276507-0.0390005j 0.0468748+0.0539418j 0.0887948-0.0269203j 0.0396231-0.0565413j -0.0118829+0.010302j -0.0721899+0.061793j 0.0113364+0.0289824j 0.0593967+0.093483j 0.0160836+0.0754145j -0.0421741+0.0118385j -0.0650381-0.00246164j -0.0458846+0.0458042j 0.0243601+0.0738501j -0.101902-0.0663192j 0.0386643+0.0283027j -0.0243722+0.0674873j -0.150788-0.0510423j -0.00467112-0.0419559j -0.0374418+0.0372059j 0.0694664-0.0589859j -0.00790793+0.11348j 0.01421-0.114676j -0.0184357+0.0997494j -0.011162+0.0290699j -0.13244+0.000476449j 0.0440012+0.085075j 0.071277-0.0420927j 0.00383529-0.00916134j 0.0082212-0.00584439j 0.0141766+0.0334889j -0.0154121+0.0735182j -0.0945724-0.0677706j -0.0052201+0.000182837j -0.00450875+0.0520247j 0.0649249-0.0392958j 0.0577766+0.0206608j -0.0324721+0.0110507j 0.00714052+0.0443135j 0.114442-0.022768j -0.0306701+0.0171136j 0.0508795-0.119702j -0.0151093+0.0519156j -0.104619+0.0200604j 0.02549-0.168743j 0.0170739-0.120915j 0.0081301-0.0324212j -0.000378611-0.00176056j 0.0677773+0.040449j -0.0344674-0.0273615j 0.0483699+0.0155462j -0.0589606-0.00604948j 0.0266906+0.00289472j -0.0182546-0.0159284j 
-0.0111193+0.031659j -0.00922627-0.0174105j -0.025422+0.0413971j -0.0190432-0.00295571j -0.0088452+0.0533239j -0.0246235+0.0203126j -0.0172817+0.010818j -0.012076-0.0192944j -0.015963+0.0385121j 0.0285632-0.000573411j -0.059892-0.0402472j 0.0196701-0.0708685j -0.0291727-0.0420687j 0.00405734+0.00844026j 0.0205641-0.00728822j 0.0530035-0.0427933j -0.00675356+0.0318577j 0.0376196-0.0443272j 0.00603019-0.00721236j 0.0495663+0.00950422j 0.0140096-0.0191426j 0.0282907+0.00944791j 0.0326629+0.0206785j 0.0391438-0.0104025j -0.0036945+0.0341834j 0.0239095+0.0166674j 0.0284345+0.0539323j 0.0110416+0.0366735j 0.0370559+0.0168908j -0.0666629+0.020741j -0.0245238+0.0791239j 0.0276635-0.0457661j -0.032135+4.85723e-16j -0.0151736-0.00175024j 0.0585912-0.0818674j 0.0304488+0.0505454j -0.0407922+0.0100722j -0.0216522-0.07902j 0.0246883-0.041664j -0.0365999-0.0358166j -0.0188392+0.0369206j -0.0135391+0.0186031j -0.0415389+0.0578521j -0.0102211+0.0205945j 0.0191134+0.00133686j -0.0604545-0.00568495j -0.0390687+0.0694128j 0.00837713-0.0251126j 0.0497578-0.060176j -0.0499423+0.0230997j -0.0262604+0.0551422j 0.00623442+0.12444j 0.0311882+0.0269521j 0.0449971-0.104128j -0.0134545-0.0652688j 0.0625817-0.0398138j 0.0900956-0.0731009j -0.0330314+0.0132271j 0.0211019-0.063948j 0.0727092+0.1324j 0.00143648+0.0705925j 0.135809+0.0695719j -0.11257-0.00822994j 0.0571983-0.0367899j 0.0591877-0.0540845j 0.0758005+0.0294337j -0.0209669-0.051824j 0.0275666+0.0914152j -0.146923+0.0742513j -0.0100774+0.000174238j -0.0219461+0.0742343j 0.0566056+0.00590115j 0.0521619-0.0907595j -0.0638367+0.046446j 0.0199287-0.00545576j -0.000258466-0.00946651j -0.0505868-0.0405286j 0.0478547-0.00329738j 0.00262862-0.0361648j 0.0462439-0.0998001j 0.0312072-0.0788761j -0.0119514-0.014647j 0.0278569+0.070928j -0.0975904+0.13018j -0.0443042+0.0169299j 0.0646864+0.172936j 0.100624+0.0263505j 0.0359661+0.0119603j -0.0541102-0.0273922j 0.00100383+0.00996431j -0.0161719+0.056243j -0.0277633+0.0491534j 
-0.00581705+0.0174877j -0.0432746+0.0207878j 0.0587363+0.0724703j -0.0381262-0.0297042j -0.00290934-0.0739301j 0.0165897+0.029224j 0.0256399+0.0760539j 0.065141+0.0388347j -0.0114381+0.0356511j 0.0443193-0.0335371j -0.0586592-0.000358789j 5.50858e-05+0.0644072j 0.000196987+0.0510016j -0.0251106+0.0473234j -0.0694613-0.0724021j 0.092863-0.00927038j 0.0464848+0.0204053j -0.00285437-0.0347529j 0.00467666+0.0893652j 0.0317059-0.0654314j -0.020623+0.0128734j 0.00270313+0.0912997j 0.0774375-0.0726455j 0.0684804-0.0219767j 0.0414798-0.0766334j -0.05371-0.00827075j -0.00960836+0.002376j -0.010253+0.0467656j -0.0985588-0.00573672j 0.00344586+0.0472505j -0.0529602-0.0117439j 0.0933513+0.0710168j -0.0151736+0.00175024j 0.109629-1.93595e-15j -0.00955321+0.00117271j 0.0700705-0.097831j -0.0273267-0.0307085j 0.0910928-0.0432177j -0.0393195-0.0385683j -0.0526449+0.0376373j 0.0109306-0.0449749j 0.00435457+0.0345497j 0.077227+0.06983j 0.0576586+0.0640759j 0.0397425+0.0256057j -0.0855392-0.0691982j -0.0443145-0.0257387j 0.0428092-0.00587567j 0.0723371+0.0463872j -0.0459269+0.0130138j -0.0349639-0.0127923j 0.0618981-0.0131029j -0.141518+0.0278777j -0.0549066-0.0675644j 0.0124547-0.0413126j -0.0136529+0.0337412j -0.03646+0.0933352j -0.00532821-0.0321002j 0.0595627-0.0106845j -0.0962894-0.0697822j -0.00140956+0.044942j 0.0493033+0.08382j -0.102729-0.0832592j -0.100879-0.0405659j -0.0698693-0.00636456j -0.0505724-0.0296709j 0.0811267-0.0528263j 0.053308-0.065415j 0.0428854-0.0284856j 0.0266294-0.0511341j 0.0641906-0.0326238j 0.00574178-0.0547592j -0.0307654-0.0766737j -0.0307757+0.00409757j -0.0424267-0.0252841j 0.00972673-0.0158512j 0.02409+0.068144j 0.0486651+0.0589595j 0.0106866-0.0409272j -0.022554-0.0143681j 0.026922-0.157525j 0.100738-0.0774771j -0.0455097+0.0261273j 0.0314888-0.0512496j -0.0901303+0.0985764j -0.0509967-0.0559378j 0.0352109+0.0688699j 0.0420506-0.0785546j 0.00745559+0.00751751j 0.0739407-0.0317137j 0.0717591+0.0309134j -0.0060074+0.0310987j 
