0.509179+5.55112e-17j -0.0147269-0.514664j 0.00762478+0.0449404j -0.0423637+0.0348692j -0.0264444-0.00763581j 0.0164411+0.00608254j -0.0239552-0.00260461j 0.0165981+0.0251983j 0.00253075-0.02833j -0.050682+0.0201873j 0.00409996+0.0156094j -0.0418795+0.0214221j -0.0259091+0.00330233j 0.0184094-0.0469962j -0.0100231-0.0304867j -0.00642002-0.0072166j -0.0172005+0.00403034j -0.00143224+0.00291948j 0.0242098+0.000592965j 0.00779941-0.0112043j -0.000499399-0.00806476j 0.0127324-0.00255735j 0.0119468-0.0104038j 0.000706257+0.0309723j 0.0189499-0.0319743j -0.0186763+0.00126684j 0.0163361-0.00350763j -0.000460197-0.0291221j -0.00263847+0.00269751j -0.0114803+0.00102958j -0.00440028-0.006189j -0.0121755+0.0137009j -0.0344202+0.00683805j 0.00367674+0.0110563j 0.0146754-0.0179707j -0.00232663+0.00358989j 
-0.0418795-0.0214221j -0.0451669+0.0154626j -0.0355249+0.0378678j -0.0821319-0.0418007j 0.0182438-0.0846508j 0.0896466-0.151066j 0.081265+0.136494j 0.162267-0.0418733j -0.110419+0.00462084j -0.0963549+0.00829658j 0.0937775+0.0593751j -0.00887236+4.14113e-14j -0.04422+0.00719591j -0.0363558-0.151823j -0.00585708+0.0434083j 0.0446458+0.0145419j -0.0101426+0.0237901j -0.0144352-0.0372058j 0.00779407-0.00451233j -0.0032229+0.0274236j -0.0282224-0.000781907j 0.0171088-0.0173751j 0.00678855-0.0190493j -0.00292476+0.0195768j 0.00658353+0.00745263j 0.000918837-0.0200376j -0.00781384-0.0129403j 0.0041545+0.00938025j 0.0273081+0.00369062j -0.011992+0.0154591j -0.00453533-0.00515599j -0.0346097+0.012077j -0.0051739-0.0325682j 0.0333826-0.0142796j -0.0260713-0.0356739j -0.0276101-0.0264135j 
-0.0259091-0.00330233j 0.0269614-0.0225778j -0.00593845-0.0125256j 0.00764244+0.0436525j 0.0770884+0.0202298j 0.264626-0.0636181j -0.269171-0.174163j 0.0885023-0.116322j 0.147048+0.209943j -0.150576+0.0362769j 0.497012-0.00124054j -0.04422-0.00719591j -0.128921-2.77556e-15j 0.0867563-0.0106991j -0.0829163+0.0585754j -0.0150018-0.114965j -0.0161209+0.00742817j -0.018477+0.0343046j 0.00964142-0.00881523j -0.077294+0.0136653j -0.0363687+0.0414846j -0.00189739-0.0797001j 0.0571704-0.0210137j -0.0678107-0.0204923j -0.0341798-0.0385269j -0.0211642-0.0524713j 0.0486308+0.0304219j -0.0203888-0.00392647j 0.0682693-0.00207896j -0.0440849+0.0397227j 0.0394644+0.012945j -0.107409+0.0243079j 0.0175976-0.0196814j 0.128667-0.0312204j -0.0279015-0.0245937j -0.0495023-0.0343855j 
0.0184094+0.0469962j -0.0271712-0.00605204j -0.0204673+0.0585183j -0.0682926+0.0174084j -0.0171541+0.0219227j 0.0486704+0.0915415j -0.0849279+0.464241j 0.0381956-0.5244j -0.370985-0.170367j -0.047126+0.0911817j 0.064587+0.0503539j -0.0363558+0.151823j 0.0867563+0.0106991j 0.0726938-2.16493e-15j 0.0333451-0.00431418j -0.00262857+0.0481358j 0.0248328-0.0518238j 0.0168649-0.0186321j 0.0311676-0.138041j -0.00732999+0.0018207j 0.00118439+0.0736101j 0.0332669-0.0247527j 0.0813349+0.0580204j 0.0105636+0.00860124j 0.00629497+0.0384806j -0.0250128-0.000965591j -0.0201117-0.0439805j -0.0346038-0.0894834j 0.050932-0.0389193j 0.0265567-0.0859203j -0.00103632-0.0040869j -0.0519196+0.0206972j 0.0140829-0.0133673j -0.0507162+0.0268935j -0.0493919-0.000418361j 0.00972982-0.00537448j 
-0.0100231+0.0304867j -0.00421786-0.0130266j 0.0202477-0.0882661j 0.128302-0.0104397j 0.0543798-0.0345069j 0.0208877-0.591767j 0.151577+0.283089j 0.227229+0.0824847j -0.0997957-0.0283433j -0.0109676+0.16581j -0.15374-0.0332049j -0.00585708-0.0434083j -0.0829163-0.0585754j 0.0333451+0.00431418j -0.0405972-1.11022e-16j 0.0473408-0.0598345j -0.0199256+0.119955j 0.0121372-0.132593j 0.0145072+0.0518583j 0.0752373+0.170332j -0.0327304-0.0163687j 0.0683088-0.0748665j -0.0338249-0.0847021j -0.00740215+0.0505139j -0.0515459-0.0342537j 0.0674201-0.0835623j 0.0463947+0.0125856j 0.0247204+0.0367704j 0.0160787+0.0449951j -0.0673702+0.0895944j 0.0426413+0.0469731j -0.0653109-0.00913604j 0.0316831-0.0106348j 0.172722-0.0403172j 0.042907-0.0213783j -0.0368422-0.123079j 
-0.00642002+0.0072166j 0.00598914-0.00859095j -0.0272317-0.0324029j -0.0123213-0.0146091j 0.0106093+0.0150483j 0.11909-0.14133j 0.136449+0.0610092j 0.113435+0.0416475j 0.0275528+0.0191415j -0.053352+0.0122651j 0.00570929+0.0909827j 0.0446458-0.0145419j -0.0150018+0.114965j -0.00262857-0.0481358j 0.0473408+0.0598345j 0.0619206+2.77556e-17j -0.0140408+0.0280418j 0.0157691-0.0212241j -0.00312314+0.00785118j -0.0328788+0.0268875j 0.0112798+0.00866678j 0.0372181-0.0183073j 0.0523547-0.0218458j -0.00236763+0.0353664j 0.0226355+0.00512943j 0.040144-0.0136377j -0.0371736-0.0342111j -0.052112+0.0867154j -0.00446541+0.0122751j -0.101008-0.0366001j -0.0872242-0.290123j -0.0612794-0.0128511j 0.0270954-0.0244908j -0.222384+0.155016j -0.120646-0.0892259j -0.00228143+0.525263j 
-0.0172005-0.00403034j 0.0230067-0.006145j -0.00100796+0.00898452j -0.00683921+0.029074j -0.000661629+0.0407676j -0.0312585+0.0128992j -0.0339126-0.0202067j -0.0762602-0.000309614j 0.0193849+0.00476292j 0.0333894+0.0238856j -0.0266029-0.0948221j -0.0101426-0.0237901j -0.0161209-0.00742817j 0.0248328+0.0518238j -0.0199256-0.119955j -0.0140408-0.0280418j 0.0421021-1.11022e-16j -0.0453228+0.00860505j 0.0526538-0.00592317j 0.0267153+0.0215475j 0.0261533+0.0153632j -0.0475873-0.0384436j 0.0560475+0.06832j 0.0667016-0.0702327j -0.0338604-0.0801017j -0.0771804-0.0660876j 0.0186462+0.214553j -0.0588426-0.144731j -0.0229765-0.0629262j 0.0275163-0.102139j -0.0742747-0.127269j -0.280536+0.140361j 0.154531+0.0607012j 0.041469+0.0655362j -0.0794587-0.574568j 0.0881343-0.0981399j 
-0.00143224-0.00291948j 0.00247016+6.92552e-06j 0.0320436-0.00592838j -0.00268715-0.0182286j -0.032163-0.000849688j -0.0912557+0.0178801j -0.0468227-0.0529109j -0.00738105-0.0416138j 0.0169014-0.0480848j 0.0302929-0.0152564j -0.0167628-0.0369729j -0.0144352+0.0372058j -0.018477-0.0343046j 0.0168649+0.0186321j 0.0121372+0.132593j 0.0157691+0.0212241j -0.0453228-0.00860505j -0.0364503-5.27356e-16j -0.0477851-0.00779287j 0.0341052+0.0110314j -0.00802993-0.012822j -0.0204645-0.00209339j -0.0137041-0.0489621j 0.0304327-0.0292044j -0.0283394-0.0296033j 0.0265389-0.0136794j 0.0652236+0.0979396j 0.0969362+0.0147323j -0.101375+0.0118358j -0.434038+0.133721j 0.287434-0.0491645j 0.0383539+0.161104j -0.000294969-0.0198737j -0.040518+0.425756j 0.13299-0.0731463j -0.236247+0.0303658j 
0.0242098-0.000592965j -0.0356128+0.0170711j 0.00198727-0.00771578j -0.00771806+0.0058515j -0.00988512+0.0387774j -0.00154789-0.00270691j -0.0147368-0.008817j -0.0253447+0.0024095j 0.0272476-0.0109347j 0.0160914+0.0323202j -0.035334-0.0482414j 0.00779407+0.00451233j 0.00964142+0.00881523j 0.0311676+0.138041j 0.0145072-0.0518583j -0.00312314-0.00785118j 0.0526538+0.00592317j -0.0477851+0.00779287j -0.0648361+8.88178e-16j -0.00827198+0.0209556j 0.0803644+0.0317037j -0.0501493-0.0678134j -0.0152442+0.0994837j -0.0339716-0.199036j 0.0328825-0.133311j -0.0494148+0.13454j -0.0579769-0.117573j 0.00494591+0.0955394j 0.322624-0.0764284j -0.0783703+0.0196356j 0.0282174-0.0286324j -0.00810737-0.158418j -0.0382176-0.629765j 0.0115207+0.00386798j 0.091404-0.102965j 0.0206617-0.0301258j 
0.00779941+0.0112043j 0.0105105+0.00307299j 0.0067072+0.0208209j 0.0122001-0.00565716j -0.0202776+0.0480376j -0.0149923+0.00579382j -0.0168246+0.00607523j 0.018514-0.0021808j -0.00817198-0.00553601j -0.00280962+0.0140887j -0.0206262+0.0037701j -0.0032229-0.0274236j -0.077294-0.0136653j -0.00732999-0.0018207j 0.0752373-0.170332j -0.0328788-0.0268875j 0.0267153-0.0215475j 0.0341052-0.0110314j -0.00827198-0.0209556j -0.0101729+6.80012e-16j 0.0486432-0.0511147j -0.0230775+0.0170919j 0.0616329-0.0756863j 0.0727167-0.0423284j -0.0195989+0.0398821j -0.105604+0.0296197j 0.0118255-0.0040833j 0.19036-0.0491017j 0.00280268+0.0433719j -0.0259162+0.0405557j 0.162708+0.139715j 0.131319+0.100879j -0.109283+0.0281144j 0.259783-0.0856362j 0.185877+0.129082j -0.0314925-0.269845j 
-0.000499399+0.00806476j -0.00155119+0.0103126j 0.00825073+0.0297676j 0.00374308+0.010635j -0.00898862-0.00563189j -0.0848234+0.0182321j -0.0389071-0.0471331j -0.0391446-0.0432674j -0.00810966+0.00195441j 0.0360812-0.0173493j -0.0311109-0.0624367j -0.0282224+0.000781907j -0.0363687-0.0414846j 0.00118439-0.0736101j -0.0327304+0.0163687j 0.0112798-0.00866678j 0.0261533-0.0153632j -0.00802993+0.012822j 0.0803644-0.0317037j 0.0486432+0.0511147j 0.0525146-1.38778e-16j 0.0805121-0.041998j -0.0779756-0.00693197j -0.0245231-0.00958918j -0.0918474-0.080656j 0.381263-0.0733811j 0.226922-0.0694354j -0.194013-0.00703276j -0.0202684-0.148987j -0.06646+0.00122407j -0.00238041+0.0825128j 0.0660329-0.419723j 0.121218-0.0405917j 0.0493947+0.0872888j -0.191712+0.112399j -0.0872842-0.11691j 
0.0127324+0.00255735j -0.0102482+0.00673073j -0.00412016-0.0187715j 0.00141666-0.00164511j -0.00267867-0.0249677j -0.0306523+0.000210246j 0.00558568+0.000500205j 0.0167894+0.0247426j 0.0234739+0.0109345j 0.00662081-0.008112j -0.00703098+0.00503734j 0.0171088+0.0173751j -0.00189739+0.0797001j 0.0332669+0.0247527j 0.0683088+0.0748665j 0.0372181+0.0183073j -0.0475873+0.0384436j -0.0204645+0.00209339j -0.0501493+0.0678134j -0.0230775-0.0170919j 0.0805121+0.041998j 0.00691663-4.36456e-15j 0.326019+0.0483702j 0.228719+0.046261j -0.0256534-0.0197398j 0.198864-0.0451269j 0.0866607+0.0194949j 0.00788648+0.0170935j 0.14743-0.0830451j 0.303571-0.053516j 0.0368336-0.0473692j 0.256226-0.121983j -0.0299092+0.060866j 0.247139-0.038308j -0.0242829-0.0889691j 0.0192821+0.0783885j 
0.0119468+0.0104038j 0.00295065+0.00594544j 0.000846526+0.0168862j -0.0122833+0.0111467j 0.0217655-0.0135883j -0.0312681+0.00209175j -0.011531-0.0360451j -0.0417026-0.0345736j 0.0172153-0.00641004j 0.0276988-0.0149036j -0.00213457-0.0552614j 0.00678855+0.0190493j 0.0571704+0.0210137j 0.0813349-0.0580204j -0.0338249+0.0847021j 0.0523547+0.0218458j 0.0560475-0.06832j -0.0137041+0.0489621j -0.0152442-0.0994837j 0.0616329+0.0756863j -0.0779756+0.00693197j 0.326019-0.0483702j 0.293183-3.98015e-14j -0.119679-0.0999228j -0.109377+0.019281j -0.0447912+0.0327123j -0.0579436-0.0794309j 0.160174-0.0786586j 0.00768705+0.33769j -0.0243846-0.0852286j 0.0352982-0.0226605j 0.108575-0.0893229j -0.3185-0.0301304j 0.00969805+0.0437086j -0.0385078+0.0703597j -0.0285831+0.0542696j 
0.000706257-0.0309723j -0.00493524-0.0331743j -0.0253505-0.00312292j 0.0127019+0.0154179j -0.0112514-0.0152402j -0.040435+0.0121389j -0.00473194-0.00322259j -0.0259324+0.0111137j 0.0292519+0.051426j 0.0265046+0.00465963j -0.0597905-0.0524526j -0.00292476-0.0195768j -0.0678107+0.0204923j 0.0105636-0.00860124j -0.00740215-0.0505139j -0.00236763-0.0353664j 0.0667016+0.0702327j 0.0304327+0.0292044j -0.0339716+0.199036j 0.0727167+0.0423284j -0.0245231+0.00958918j 0.228719-0.046261j -0.119679+0.0999228j -0.185637+2.79152e-14j -0.12991+0.0135456j 0.00245678+0.00310344j -0.0146447+0.0857439j -0.11455+0.00541298j -0.183338+0.227709j 0.0897762-0.0833279j -0.0953372+0.035325j -0.21818-0.0250409j -0.060555+0.124473j -0.0118252+0.00137995j -0.096038-0.0941773j 0.00674597-0.0764758j 
0.0189499+0.0319743j 0.0163331-0.0116879j -0.0334404-0.00634315j 0.0190419-0.0157037j -0.015924-0.0134776j 0.0466794-0.00211218j 0.0210715+0.028664j 0.017562+0.040622j 0.0284757+0.0395436j -0.0152771-0.009345j 0.0276845+0.0258108j 0.00658353-0.00745263j -0.0341798+0.0385269j 0.00629497-0.0384806j -0.0515459+0.0342537j 0.0226355-0.00512943j -0.0338604+0.0801017j -0.0283394+0.0296033j 0.0328825+0.133311j -0.0195989-0.0398821j -0.0918474+0.080656j -0.0256534+0.0197398j -0.109377-0.019281j -0.12991-0.0135456j 0.101135-1.07726e-13j -0.0589597+0.0433773j -0.102744-0.0630266j -0.0200659+0.117912j 0.120929-0.00148224j 0.0489669+0.0304351j -0.0913551+0.0356357j 0.0806512-0.0825752j -0.0415402-0.153392j -0.123927-0.121476j -0.00766309+0.173034j 0.0314571+0.07922j 
-0.0186763-0.00126684j 0.0193887-0.00601184j 0.00652575-0.0149256j -0.0104517-0.0142264j -0.0114288-0.0183355j -0.0388212+0.00702665j -0.00610707+0.00800223j 0.0190155+0.0207939j -0.0111448+0.00157597j -0.00390349-0.0190634j 0.00308521+0.0466748j 0.000918837+0.0200376j -0.0211642+0.0524713j -0.0250128+0.000965591j 0.0674201+0.0835623j 0.040144+0.0136377j -0.0771804+0.0660876j 0.0265389+0.0136794j -0.0494148-0.13454j -0.105604-0.0296197j 0.381263+0.0733811j 0.198864+0.0451269j -0.0447912-0.0327123j 0.00245678-0.00310344j -0.0589597-0.0433773j -0.32525+6.93889e-18j 0.0538746-0.0362653j 0.0246127-0.019447j -0.272984+0.0468472j 0.158604-0.00730918j 0.0506839-0.018156j -0.163687+0.00123911j 0.0348664-0.0903211j 0.151615-0.0249273j 0.0363064+0.02433j 0.00114313+0.0542791j 
0.0163361+0.00350763j 0.0195211-0.030116j 0.0234826+0.00713648j -0.024314+0.0153275j 0.0086775+0.00860281j -0.0424085-0.00094942j -0.0220588-0.0410924j -0.0172327-0.055825j -0.0113176-0.0359887j 0.0100611+0.00561327j -0.00045977-0.027074j -0.00781384+0.0129403j 0.0486308-0.0304219j -0.0201117+0.0439805j 0.0463947-0.0125856j -0.0371736+0.0342111j 0.0186462-0.214553j 0.0652236-0.0979396j -0.0579769+0.117573j 0.0118255+0.0040833j 0.226922+0.0694354j 0.0866607-0.0194949j -0.0579436+0.0794309j -0.0146447-0.0857439j -0.102744+0.0630266j 0.0538746+0.0362653j 0.0897325+2.02199e-14j -0.0820958+0.0097731j 0.0350415-0.045102j -0.0425019-0.0139733j 0.0467118-0.00754093j -0.0803318-0.0936593j 0.0518874-0.096047j 0.0731002+0.0859827j 0.00502766-0.0797989j -0.0192658-0.0468255j 
-0.000460197+0.0291221j -0.00316917+0.0297j 0.0123309-0.0125583j -0.00639173+0.0161385j 0.0170531+0.00833198j -0.0291862+0.00043499j 0.0133721+0.0169944j -0.0330867+0.0305508j 0.0190429+0.0200523j 0.0191743+0.0233051j -0.0964391-0.0244871j 0.0041545-0.00938025j -0.0203888+0.00392647j -0.0346038+0.0894834j 0.0247204-0.0367704j -0.052112-0.0867154j -0.0588426+0.144731j 0.0969362-0.0147323j 0.00494591-0.0955394j 0.19036+0.0491017j -0.194013+0.00703276j 0.00788648-0.0170935j 0.160174+0.0786586j -0.11455-0.00541298j -0.0200659-0.117912j 0.0246127+0.019447j -0.0820958-0.0097731j -0.0502391+4.53804e-15j 0.248932+0.087168j -0.00746718-0.03475j -0.0313315+0.00251757j -0.102912-0.0467061j -0.0204617-0.193215j 0.00498319+0.0108426j 0.0059954-0.118834j 0.00208666-0.0560077j 
-0.00263847-0.00269751j 0.000456923-0.000149636j 0.00805396-0.0256822j 0.00107335+0.00107817j 0.00670032+0.00612242j 0.0266409+0.00488437j 0.0412855+0.00227252j -0.0227107-0.00373992j 0.0286921-0.0166555j 0.0111641+0.0159915j -0.0400288-0.0319784j 0.0273081-0.00369062j 0.0682693+0.00207896j 0.050932+0.0389193j 0.0160787-0.0449951j -0.00446541-0.0122751j -0.0229765+0.0629262j -0.101375-0.0118358j 0.322624+0.0764284j 0.00280268-0.0433719j -0.0202684+0.148987j 0.14743+0.0830451j 0.00768705-0.33769j -0.183338-0.227709j 0.120929+0.00148224j -0.272984-0.0468472j 0.0350415+0.045102j 0.248932-0.087168j -0.0146592-1.33227e-15j -0.238761-0.00664538j 0.00755323-0.0748673j 0.134564-0.0601547j -0.00355751-0.00968468j 0.012247-0.0314793j -0.0713997-0.065149j 0.0337556-0.00858057j 
