-0.00474367-0j -0.00068469-0j -0.00388882-0j -0.000687452-0j -5.72877e-05-0j -0.00236649-0j -0.00239101-0j -0.000394415-0j -0.000241529-0j -0.000398502-0j -4.93018e-05-0j -0.000244032-0j -4.98127e-05-0j -2.90514e-06-0j -2.93524e-06-0j -0.00171741-0j -0.00212519-0j -0.00123969-0j -0.000277146-0j -0.000226289-0j -0.000342951-0j -3.2662e-05-0j -0.000200055-0j -2.82861e-05-0j -0.000280018-0j -3.33355e-06-0j -4.04172e-05-0j -0.000163344-0j -3.50023e-05-0j -1.52155e-07-0j -2.35767e-05-0j -2.0418e-05-0j -4.12506e-06-0j -1.88282e-07-0j -2.40629e-06-0j -1.09831e-07-0j -0.00134923-0j -0.0015741-0j -0.000963937-0j -0.000213332-0j -0.00137734-0j -0.000568124-0j -0.000168654-0j -0.000248887-0j -0.000112436-0j -2.43431e-05-0j -0.000152412-0j -0.000217776-0j -0.000196763-0j -2.8109e-05-0j -8.98282e-05-0j -0.000131175-0j -9.93802e-06-0j -0.000120492-0j -2.84003e-05-0j -2.34241e-06-0j -8.03281e-05-0j -1.73915e-05-0j -0.000172167-0j -2.48451e-06-0j -0.000114778-0j -3.27938e-05-0j -2.48502e-05-0j -7.10154e-05-0j -2.07042e-07-0j -2.0082e-05-0j -1.15944e-05-0j -4.73436e-05-0j -2.73282e-06-0j -1.02502e-05-0j -7.716e-09-0j -7.10007e-06-0j -1.6735e-06-0j -2.89859e-06-0j -2.86946e-05-0j -1.77502e-06-0j -1.01451e-05-0j -2.41549e-07-0j -1.18359e-05-0j -2.39121e-06-0j -2.53627e-06-0j -1.47918e-07-0j -4.18463e-06-0j -9.002e-09-0j -9.86326e-07-0j -2.11355e-07-0j -5.51258e-09-0j -1.04616e-06-0j -7.87675e-09-0j -8.71797e-08-0j -3.249e-09-0j 
-0.000920655-0j 0.00617931-0j 7.84444e-06-0j 0.0127558-0j 0.00158432-0j 4.77363e-06-0j 4.8231e-06-0j -7.60639e-05-0j -9.42394e-05-0j -7.68521e-05-0j -0.0428102-0j -9.5216e-05-0j -0.0432539-0j 0.000161813-0j 0.000163489-0j -0.00085451-0j -0.0010574-0j -0.000616818-0j -5.34484e-05-0j -4.39184e-05-0j -6.6139e-05-0j 0.000294774-0j -3.85811e-05-0j 0.00105516-0j -5.43462e-05-0j -0.00887008-0j 0.000364764-0j -3.1702e-05-0j 0.00130569-0j 1.4174e-05-0j 0.000212779-0j 0.000761655-0j -0.0109762-0j 1.75394e-05-0j -0.00640276-0j 1.02313e-05-0j 2.72164e-06-0j 3.17525e-06-0j 1.94443e-06-0j 0.010148-0j 2.77834e-06-0j 1.14601e-06-0j -3.27325e-05-0j 0.0118393-0j 2.26803e-07-0j 0.000219696-0j 0.00725006-0j 0.0103594-0j -3.81879e-05-0j 0.000521565-0j 0.00427303-0j 2.64604e-07-0j -5.82643e-06-0j -2.33852e-05-0j 0.000256312-0j 6.47807e-05-0j 1.62036e-07-0j 0.000156958-0j -3.34144e-05-0j -0.00433716-0j 2.31528e-07-0j 0.000608493-0j 0.000224273-0j -1.37827e-05-0j -0.00110954-0j 0.000372624-0j -6.7975e-06-0j 9.55006e-08-0j 7.55775e-05-0j 9.25078e-05-0j 1.08042e-06-0j -4.1626e-06-0j 4.62816e-05-0j -0.00506002-0j 0.000532431-0j -0.00309862-0j -5.94782e-06-0j -0.00129446-0j 0.000219617-0j 6.61303e-05-0j -0.00442752-0j -0.000792693-0j -2.45335e-06-0j 1.26049e-06-0j 2.72773e-05-0j -0.00113265-0j 7.7189e-07-0j -0.00182626-0j 1.10293e-06-0j -0.000467196-0j 4.54935e-07-0j 
0.00582273-0j -8.73511e-06-0j 0.00723054-0j 0.00084383-0j -7.30862e-07-0j 0.00591403-0j 0.00597532-0j 0.000733342-0j 0.000596022-0j 0.000740941-0j 6.05168e-05-0j 0.000602199-0j 6.11439e-05-0j -3.70631e-08-0j -3.74471e-08-0j -2.19103e-05-0j -2.71127e-05-0j -1.58157e-05-0j 0.00069261-0j -0.0404814-0j 0.000857061-0j 6.0729e-05-0j 0.000499952-0j 6.98019e-05-0j -0.0500931-0j 4.09185e-06-0j 7.51484e-05-0j -0.029221-0j 8.63755e-05-0j -1.94116e-09-0j 4.38365e-05-0j 5.03857e-05-0j 5.06341e-06-0j -2.40206e-09-0j 2.95366e-06-0j -1.4012e-09-0j -1.72132e-05-0j -2.0082e-05-0j -1.22977e-05-0j -2.72164e-06-0j -1.75718e-05-0j -7.24798e-06-0j -0.0405521-0j -3.17525e-06-0j 0.000419542-0j 6.08352e-05-0j -1.94443e-06-0j -2.77834e-06-0j -0.0473108-0j -0.00502848-0j -1.14601e-06-0j 0.000489466-0j 3.68496e-05-0j -0.0289718-0j 7.09744e-05-0j 4.35529e-06-0j 0.000299735-0j 4.34627e-05-0j -0.041397-0j 6.13103e-06-0j 0.000428283-0j -0.00586656-0j 6.21026e-05-0j -0.0170754-0j 2.54139e-07-0j -0.00359252-0j 4.29912e-05-0j 0.000176658-0j 5.08117e-06-0j 2.5616e-05-0j -9.84389e-11-0j 2.63266e-05-0j 3.11157e-06-0j 7.15287e-06-0j -0.00513324-0j 4.38022e-06-0j 3.76173e-05-0j 2.96495e-07-0j -0.00211735-0j 4.44603e-06-0j 6.25876e-06-0j 1.81566e-07-0j 1.55163e-05-0j -1.14845e-10-0j 1.83389e-06-0j 2.59434e-07-0j -7.03282e-11-0j 2.58161e-06-0j -1.0049e-10-0j 1.07011e-07-0j -4.14499e-11-0j 
-5.63849e-07-0j -0.00224721-0j -4.62238e-07-0j 1.5706e-05-0j 0.0178495-0j -2.81289e-07-0j -2.84204e-07-0j 9.01109e-06-0j -2.87089e-08-0j 9.10448e-06-0j -0.000161813-0j -2.90064e-08-0j -0.000163489-0j -0.0414353-0j -0.0418647-0j 5.03525e-05-0j 6.2308e-05-0j 3.63463e-05-0j 6.3319e-06-0j -2.68975e-08-0j 7.83532e-06-0j -0.000107199-0j 4.5706e-06-0j 6.46246e-07-0j -3.3284e-08-0j 0.00103866-0j -0.000132652-0j -1.94156e-08-0j 7.99689e-07-0j -0.0113299-0j -7.73806e-05-0j 4.66485e-07-0j 0.00128527-0j -0.01402-0j 0.000749742-0j -0.00817832-0j -1.60374e-07-0j -1.87103e-07-0j -1.14577e-07-0j -0.00120221-0j -1.63715e-07-0j -6.75291e-08-0j -2.00468e-08-0j -0.00140257-0j -1.33645e-08-0j -7.9896e-05-0j -0.000858897-0j -0.00122725-0j -2.33879e-08-0j 6.42199e-07-0j -0.000506215-0j -1.55919e-08-0j -1.18127e-09-0j -1.43221e-08-0j -9.3212e-05-0j 0.000729841-0j -9.54807e-09-0j -5.70804e-05-0j -2.04644e-08-0j -8.15435e-06-0j -1.36429e-08-0j 7.49232e-07-0j -8.15605e-05-0j -8.44114e-09-0j -0.00295299-0j 4.58809e-07-0j -1.37814e-09-0j -5.62742e-09-0j 0.000851481-0j -3.3642e-05-0j -0.00174808-0j -8.43938e-10-0j 0.000521424-0j -9.51341e-06-0j 6.55578e-07-0j -5.82575e-06-0j -1.20588e-09-0j -0.00344516-0j 2.70412e-07-0j 0.000745046-0j -8.32423e-06-0j -0.00210972-0j -4.97399e-10-0j -0.00203943-0j 0.000307316-0j -0.00301451-0j -0.00124889-0j -3.43357e-06-0j -0.0017845-0j -0.00124342-0j -0.000736069-0j 
-2.32936e-05-0j -3.36214e-06-0j 0.0083873-0j -3.37571e-06-0j -2.81309e-07-0j -1.16206e-05-0j -1.1741e-05-0j 0.000850664-0j -1.18602e-06-0j 0.000859479-0j -2.42095e-07-0j -1.19831e-06-0j -2.44604e-07-0j -1.42656e-08-0j -1.44134e-08-0j -8.4333e-06-0j -1.04357e-05-0j -6.08748e-06-0j -1.36092e-06-0j 0.000488055-0j -1.68405e-06-0j 7.04446e-05-0j -9.82362e-07-0j -1.38898e-07-0j 0.000603937-0j -1.63693e-08-0j 8.71708e-05-0j 0.000352297-0j -1.71878e-07-0j -7.47153e-10-0j 5.08496e-05-0j -1.00262e-07-0j -2.0256e-08-0j -9.24554e-10-0j -1.1816e-08-0j -5.39323e-10-0j -6.62535e-06-0j -7.72957e-06-0j -4.73338e-06-0j -1.04756e-06-0j -6.76338e-06-0j -2.78975e-06-0j -8.28168e-07-0j -1.22215e-06-0j -0.0708451-0j -1.19536e-07-0j -7.48413e-07-0j -1.06938e-06-0j -9.66197e-07-0j 6.06247e-05-0j -4.41098e-07-0j -0.0826526-0j -4.88003e-08-0j -5.91672e-07-0j -1.39458e-07-0j 5.05206e-06-0j -0.0506142-0j -8.54005e-08-0j -8.45422e-07-0j -1.22001e-08-0j -0.072321-0j 7.07288e-05-0j -1.22026e-07-0j -3.48719e-07-0j -1.01667e-09-0j 4.33124e-05-0j -5.69337e-08-0j -0.0298309-0j 5.89407e-06-0j -5.03332e-08-0j -3.78892e-11-0j -3.48646e-08-0j 3.60937e-06-0j -1.42334e-08-0j 6.18877e-05-0j -8.71615e-09-0j -4.9817e-08-0j -1.18612e-09-0j 2.55274e-05-0j 5.15731e-06-0j -1.24542e-08-0j -7.26346e-10-0j -2.05485e-08-0j -4.4204e-11-0j 2.12728e-06-0j -1.03785e-09-0j -2.70693e-11-0j -5.13711e-09-0j -3.86785e-11-0j -4.28093e-10-0j -1.59541e-11-0j 
8.73511e-06-0j 0.00564091-0j -0.00104364-0j -0.000121026-0j 0.00144628-0j -0.000853617-0j -0.000862463-0j 0.0101197-0j 4.44757e-07-0j 0.0102246-0j 0.00040618-0j 4.49366e-07-0j 0.000410389-0j 0.000147714-0j 0.000149245-0j 3.16249e-06-0j 3.91338e-06-0j 2.2828e-06-0j 0.0095576-0j -6.0729e-05-0j 0.0118269-0j -0.0392173-0j 0.00689904-0j -4.97976e-06-0j -7.51484e-05-0j 8.41586e-05-0j -0.0485289-0j -4.38365e-05-0j -6.16214e-06-0j 1.2939e-05-0j -0.0283085-0j -3.59458e-06-0j 0.000104141-0j 1.60112e-05-0j 6.07489e-05-0j 9.33987e-06-0j 2.48451e-06-0j 2.89859e-06-0j 1.77502e-06-0j -3.7557e-05-0j 2.53627e-06-0j 1.04616e-06-0j -6.08352e-05-0j -4.38165e-05-0j -6.05557e-05-0j -0.0392858-0j -2.6832e-05-0j -3.83394e-05-0j -7.09744e-05-0j 0.000721205-0j -1.58142e-05-0j -7.06483e-05-0j 1.83001e-08-0j -4.34627e-05-0j -0.0458335-0j -0.00861854-0j -4.32631e-05-0j -0.0280672-0j -6.21026e-05-0j 2.0469e-05-0j -6.18173e-05-0j 0.000841406-0j -0.0401043-0j -2.5616e-05-0j 1.05272e-05-0j 0.000515254-0j 2.13501e-08-0j -2.54983e-05-0j -0.010055-0j -0.0165422-0j 9.86285e-07-0j 1.30742e-08-0j -0.00615738-0j 2.38804e-05-0j 0.00073623-0j 1.46237e-05-0j 1.86814e-08-0j 1.22818e-05-0j 0.000303679-0j -0.0087981-0j 2.08954e-05-0j 7.52101e-06-0j 7.70567e-09-0j 1.15067e-06-0j -0.00362903-0j 1.07465e-05-0j 7.04636e-07-0j 8.61891e-06-0j 1.00683e-06-0j 4.43272e-06-0j 4.15297e-07-0j 
-0.00146325-0j -0.00010439-0j 6.20157e-06-0j 0.0100307-0j -1.31471e-05-0j -0.000739254-0j -0.000746915-0j -2.97524e-05-0j 0.00713076-0j -3.00607e-05-0j 0.00145394-0j 0.00720466-0j 0.00146901-0j -8.90487e-07-0j -8.99715e-07-0j 2.73879e-06-0j 3.38908e-06-0j 1.97697e-06-0j 0.00409527-0j -6.98019e-05-0j 0.00506764-0j -4.97976e-06-0j 0.00295613-0j -0.0395026-0j -8.63755e-05-0j 0.000147977-0j -6.16214e-06-0j -5.03857e-05-0j -0.048882-0j -5.83592e-08-0j -3.59458e-06-0j -0.0285145-0j 0.000183112-0j -7.22158e-08-0j 0.000106816-0j -4.21259e-08-0j 2.15164e-06-0j 2.51025e-06-0j 1.53721e-06-0j -1.60926e-05-0j 2.19647e-06-0j 9.05998e-07-0j 0.0101907-0j -1.87746e-05-0j 1.79304e-07-0j 0.000727019-0j -1.14971e-05-0j -1.64278e-05-0j 0.0118892-0j 0.000410141-0j -6.77613e-06-0j 2.09188e-07-0j 0.000889427-0j 0.0072806-0j 0.000848189-0j -5.37566e-07-0j 1.28101e-07-0j 0.000519407-0j 0.010403-0j -0.00701275-0j 1.83039e-07-0j 0.000478498-0j 0.000742165-0j 0.00429103-0j 1.22755e-05-0j 0.000293019-0j 0.00103766-0j 7.54998e-08-0j -6.2716e-07-0j 0.000306128-0j -3.55383e-09-0j 0.000635437-0j -3.84056e-07-0j -0.00818154-0j 0.000418686-0j -0.00501015-0j 0.000907957-0j 1.43214e-05-0j 0.000172699-0j -5.48765e-07-0j -0.00715885-0j 8.77003e-06-0j 0.000374513-0j -4.14614e-09-0j -2.26354e-07-0j 1.25312e-05-0j -2.53898e-09-0j -0.00295287-0j -3.62787e-09-0j 5.16887e-06-0j -1.49642e-09-0j 
-0.000686216-0j -9.84199e-05-0j -0.0017101-0j 0.00470406-0j -1.23952e-05-0j 3.55805e-06-0j 3.59493e-06-0j 0.00820431-0j -7.02419e-05-0j 0.00828933-0j 0.000681852-0j -7.09698e-05-0j 0.000688918-0j -8.39559e-07-0j -8.4826e-07-0j 2.58216e-06-0j 3.19526e-06-0j 1.8639e-06-0j -1.97107e-05-0j 0.00957429-0j -2.43907e-05-0j 0.00137318-0j -1.42279e-05-0j 0.000389122-0j 0.0118476-0j 6.93965e-05-0j 0.00169923-0j 0.00691109-0j 0.000481514-0j -5.50216e-08-0j 0.000991216-0j 0.000280883-0j 8.58738e-05-0j -6.80857e-08-0j 5.0093e-05-0j -3.97167e-08-0j 2.02859e-06-0j 2.36669e-06-0j 1.44929e-06-0j -1.51722e-05-0j 2.07085e-06-0j 8.54183e-07-0j -2.43973e-05-0j -1.77009e-05-0j 0.0071811-0j -3.49917e-06-0j -1.08395e-05-0j -1.54883e-05-0j -2.84636e-05-0j -0.0562564-0j -6.3886e-06-0j 0.00837795-0j -4.34277e-06-0j -1.74303e-05-0j -4.08236e-06-0j 0.000148235-0j 0.00513042-0j -2.49993e-06-0j -2.49056e-05-0j 6.90794e-05-0j 0.0073307-0j -0.0656325-0j -3.57207e-06-0j -1.0273e-05-0j 5.7568e-06-0j -0.0401915-0j -5.06656e-06-0j 0.00302376-0j 0.000172941-0j -1.4734e-06-0j -3.35059e-09-0j -3.10262e-06-0j 0.000105905-0j 8.05926e-05-0j -0.0574284-0j 4.93527e-05-0j -4.43324e-06-0j 6.71627e-06-0j -0.023688-0j 0.000151324-0j 7.05185e-05-0j 4.11286e-06-0j -1.82862e-06-0j -3.90902e-09-0j 6.24178e-05-0j 5.87674e-06-0j -2.39377e-09-0j 2.90874e-05-0j -3.42039e-09-0j 2.42403e-06-0j -1.41084e-09-0j 
8.5777e-05-0j -0.00176421-0j -7.30862e-07-0j -0.00178889-0j 0.00683266-0j 8.71219e-05-0j 8.80247e-05-0j 1.06673e-05-0j 8.78023e-06-0j 1.07779e-05-0j 0.0122224-0j 8.87122e-06-0j 0.0123491-0j 0.0014312-0j 0.00144604-0j -3.2277e-07-0j -3.99407e-07-0j -2.32988e-07-0j -0.0014683-0j 4.09185e-06-0j -0.00181693-0j -8.41586e-05-0j -0.00105988-0j -0.000147977-0j 5.06341e-06-0j -0.0382538-0j -0.000104141-0j 2.95366e-06-0j -0.000183112-0j 0.000189377-0j -6.07489e-05-0j -0.000106816-0j -0.0473367-0j 0.000234343-0j -0.027613-0j 0.0001367-0j -2.53574e-07-0j -2.95836e-07-0j -1.81162e-07-0j 5.76977e-06-0j -2.58857e-07-0j -1.06773e-07-0j -0.000597389-0j 6.73139e-06-0j -2.11311e-08-0j 0.0122867-0j 4.12212e-06-0j 5.88997e-06-0j -0.000696954-0j -7.31451e-05-0j 2.42949e-06-0j -2.4653e-08-0j 5.42846e-07-0j -0.000426795-0j 0.0143345-0j 0.000279378-0j -1.50968e-08-0j 0.00877806-0j -0.000609835-0j 0.00123827-0j -2.15714e-08-0j -8.53359e-05-0j 0.0125427-0j -0.000251544-0j -0.00981367-0j -5.22574e-05-0j 6.3332e-07-0j -8.89774e-09-0j 0.000325941-0j 0.0051736-0j 1.93078e-05-0j 3.87828e-07-0j 0.000199597-0j 0.00144465-0j -7.46689e-05-0j 0.000884662-0j 5.54155e-07-0j -0.0114493-0j -3.07994e-05-0j 0.000285199-0j 0.00126407-0j -0.00701123-0j 2.28577e-07-0j 2.25258e-05-0j 0.000117638-0j -0.0100181-0j 1.37942e-05-0j 0.0005214-0j 1.97101e-05-0j -0.00413227-0j 8.13e-06-0j 
-0.00103646-0j 5.14721e-07-0j -0.000426064-0j -0.000150203-0j 4.30665e-08-0j 1.77903e-06-0j 1.79746e-06-0j -4.32126e-05-0j 0.01019-0j -4.36604e-05-0j -1.07721e-05-0j 0.0102956-0j -1.08837e-05-0j 2.18396e-09-0j 2.20659e-09-0j 1.29108e-06-0j 1.59763e-06-0j 9.31951e-07-0j 2.08347e-07-0j 0.00720575-0j 2.57816e-07-0j -3.57849e-06-0j 1.50393e-07-0j 0.00119338-0j 0.00891666-0j -7.28356e-07-0j -4.42816e-06-0j 0.00520138-0j 0.00147673-0j 1.14384e-10-0j -2.58309e-06-0j 0.000861425-0j -9.01295e-07-0j 1.41543e-10-0j -5.25755e-07-0j 8.25667e-11-0j 1.0143e-06-0j 1.18334e-06-0j 7.24647e-07-0j 1.60374e-07-0j 1.03543e-06-0j 4.27092e-07-0j -3.68496e-05-0j 1.87103e-07-0j -2.47218e-05-0j 1.83001e-08-0j 1.14577e-07-0j 1.63715e-07-0j -4.29912e-05-0j 0.000895077-0j 6.75291e-08-0j -2.88421e-05-0j -0.0399184-0j -2.63266e-05-0j 2.13501e-08-0j -2.56638e-07-0j -1.76621e-05-0j 1.30742e-08-0j -3.76173e-05-0j 0.00010482-0j -2.52368e-05-0j 0.00104426-0j 1.86814e-08-0j -1.55163e-05-0j -4.52371e-08-0j 0.000639474-0j -0.0465715-0j -1.04096e-05-0j -2.99411e-07-0j 7.70567e-09-0j 5.80057e-12-0j -0.0285191-0j -1.83351e-07-0j 0.00012229-0j 0.000913724-0j 7.4887e-05-0j -0.04075-0j -5.27767e-08-0j 0.000376892-0j -2.61985e-07-0j 0.000107004-0j -3.2319e-08-0j -0.0168085-0j 6.76733e-12-0j -1.08063e-07-0j -4.61796e-08-0j 4.14413e-12-0j 4.41368e-05-0j 5.92141e-12-0j -1.90481e-08-0j 2.44246e-12-0j 
-5.94349e-07-0j -0.00117614-0j 0.000142508-0j 1.23952e-05-0j 0.00455511-0j -2.96504e-07-0j -2.99577e-07-0j -0.00207998-0j -3.02619e-08-0j -0.00210154-0j -8.46891e-05-0j -3.05755e-08-0j -8.55667e-05-0j 0.000954136-0j 0.000964024-0j -2.1518e-07-0j -2.66272e-07-0j -1.55325e-07-0j 4.99712e-06-0j 8.29253e-06-0j 6.18362e-06-0j 0.0164098-0j 3.60711e-06-0j 5.10017e-07-0j 1.02615e-05-0j 0.000265061-0j 0.0203061-0j 5.98586e-06-0j 6.31113e-07-0j 0.000126252-0j 0.0118452-0j 3.6815e-07-0j 0.000327996-0j 0.000156228-0j 0.000191331-0j 9.11332e-05-0j -1.69049e-07-0j -1.97224e-07-0j -1.20775e-07-0j 3.84651e-06-0j -1.72571e-07-0j -7.11819e-08-0j -2.11311e-08-0j 4.4876e-06-0j -0.000598425-0j -4.18157e-05-0j 2.74808e-06-0j 3.92665e-06-0j -2.4653e-08-0j -0.000148235-0j 1.61966e-06-0j -0.000698162-0j -1.24516e-09-0j -1.50968e-08-0j -4.8785e-05-0j -0.0544751-0j -0.000427535-0j -2.98746e-05-0j -2.15714e-08-0j -4.2678e-06-0j -0.000610892-0j -0.000172941-0j -4.26869e-05-0j -8.89774e-09-0j 6.79989e-05-0j -0.000105905-0j -1.45269e-09-0j -0.00025198-0j -0.0635542-0j -1.76075e-05-0j 1.28719e-05-0j -8.89589e-10-0j -0.0389189-0j -4.9791e-06-0j -0.000151324-0j -3.04906e-06-0j -1.27111e-09-0j 7.93321e-05-0j -6.24178e-05-0j -0.05561-0j -4.35671e-06-0j 4.85808e-05-0j -5.24304e-10-0j 1.50172e-05-0j -0.0229379-0j 6.94156e-05-0j 9.19613e-06-0j -1.79705e-06-0j 1.31401e-05-0j 2.86325e-05-0j 5.42e-06-0j 
4.06923e-08-0j 0.000271239-0j 3.33591e-08-0j -1.41833e-06-0j -0.00325448-0j -3.97655e-06-0j -4.01776e-06-0j -8.13746e-07-0j 2.07189e-09-0j -8.22178e-07-0j 1.95308e-05-0j 2.09336e-09-0j 1.97332e-05-0j 0.0156118-0j 0.0157736-0j 1.47324e-08-0j 1.82304e-08-0j 1.06344e-08-0j 0.000112008-0j 1.94116e-09-0j 0.000138603-0j 1.2939e-05-0j 8.08518e-05-0j -5.83592e-08-0j 2.40206e-09-0j -0.000189377-0j 1.60112e-05-0j 1.4012e-09-0j -7.22158e-08-0j -0.0370074-0j 9.33987e-06-0j -4.21259e-08-0j -0.000234343-0j -0.0457943-0j -0.0001367-0j -0.0267134-0j 1.1574e-08-0j 1.3503e-08-0j 8.26887e-09-0j -4.40141e-07-0j 1.18151e-08-0j 4.87349e-09-0j -2.83399e-07-0j -5.13498e-07-0j 9.645e-10-0j -0.00188903-0j -3.14452e-07-0j -4.49311e-07-0j -3.30632e-07-0j -5.79937e-08-0j -1.85331e-07-0j 1.12525e-09-0j 8.52506e-11-0j -2.0247e-07-0j -0.00220387-0j -0.000133071-0j 6.89072e-10-0j -0.00134959-0j -2.89303e-07-0j 9.84233e-07-0j 9.84594e-10-0j -6.76593e-08-0j -0.00192838-0j -1.19332e-07-0j 0.00111262-0j -4.14327e-08-0j 9.9459e-11-0j 4.06124e-10-0j -0.00015525-0j -0.000795417-0j -0.011891-0j 6.0906e-11-0j -9.50707e-05-0j 1.14827e-06-0j -5.92019e-08-0j 7.0317e-07-0j 8.70267e-11-0j 0.00129805-0j -2.44195e-08-0j -0.000135844-0j 1.00474e-06-0j 0.000794892-0j 3.58967e-11-0j -0.0138728-0j -5.60326e-05-0j 0.0011358-0j -0.00849532-0j 4.14433e-07-0j -0.0121387-0j 0.000468492-0j -0.00500696-0j 
0.000172445-0j -0.000575723-0j 0.000106516-0j -0.00238925-0j -0.00014761-0j -4.44757e-07-0j -4.49366e-07-0j -0.00103284-0j -0.000840368-0j -0.00104354-0j 0.00801867-0j -0.000849077-0j 0.00810177-0j -1.5076e-05-0j -1.52322e-05-0j -3.2277e-07-0j -3.99407e-07-0j -2.32988e-07-0j 4.97976e-06-0j -0.00119889-0j 6.16214e-06-0j 0.0040026-0j 3.59458e-06-0j 0.00940927-0j -0.00148355-0j 0.00166143-0j 0.00495296-0j -0.000865406-0j 0.0116434-0j -1.32058e-06-0j 0.00288923-0j 0.00679197-0j 0.00205592-0j -1.63414e-06-0j 0.00119928-0j -9.53246e-07-0j -2.53574e-07-0j -2.95836e-07-0j -1.81162e-07-0j 3.83315e-06-0j -2.58857e-07-0j -1.06773e-07-0j 6.13103e-06-0j 4.472e-06-0j 6.18044e-06-0j -2.0469e-05-0j 2.73853e-06-0j 3.913e-06-0j 7.15287e-06-0j 0.0142378-0j 1.61403e-06-0j 7.21051e-06-0j -0.00010482-0j 4.38022e-06-0j -2.38804e-05-0j 0.000879626-0j 4.41552e-06-0j -1.46237e-05-0j 6.25876e-06-0j -0.0386761-0j 6.3092e-06-0j 0.0166107-0j -2.08954e-05-0j 2.58161e-06-0j 0.000207825-0j 0.010172-0j -0.00012229-0j 2.60241e-06-0j 0.00102623-0j -8.61891e-06-0j -1.00662e-07-0j -7.4887e-05-0j 0.000628435-0j -0.0451221-0j 0.0145344-0j -0.0276316-0j -0.000107004-0j 0.000242462-0j 0.00599514-0j 0.000897952-0j -0.0394819-0j 0.000148477-0j -4.41368e-05-0j -1.17439e-07-0j 0.000370386-0j 0.000212154-0j -7.19166e-08-0j -0.0162854-0j -1.02759e-07-0j 8.75092e-05-0j -4.23861e-08-0j 
0.000122253-0j 4.34959e-06-0j -2.58399e-07-0j -0.000838051-0j 5.47795e-07-0j -1.57245e-07-0j -1.58875e-07-0j 1.23968e-06-0j -0.00180757-0j 1.25253e-06-0j -0.000121475-0j -0.00182631-0j -0.000122734-0j 3.71036e-08-0j 3.74881e-08-0j -1.14116e-07-0j -1.41212e-07-0j -8.23736e-08-0j 8.71098e-07-0j 5.83186e-06-0j 1.07793e-06-0j 2.0749e-07-0j 6.28792e-07-0j 0.0100135-0j 7.21656e-06-0j -1.23633e-05-0j 2.56756e-07-0j 4.20966e-06-0j 0.0123911-0j 2.43163e-09-0j 1.49774e-07-0j 0.00722812-0j -1.52988e-05-0j 3.00899e-09-0j -8.92431e-06-0j 1.75525e-09-0j -8.96519e-08-0j -1.04594e-07-0j -6.40504e-08-0j 6.70523e-07-0j -9.15196e-08-0j -3.77499e-08-0j 4.3465e-06-0j 7.82277e-07-0j -7.47099e-09-0j 1.54643e-07-0j 4.79045e-07-0j 6.84492e-07-0j 5.07092e-06-0j -3.42668e-05-0j 2.82339e-07-0j -8.71615e-09-0j 0.0143364-0j 3.10529e-06-0j 1.80417e-07-0j 2.23986e-08-0j -5.33753e-09-0j 1.10482e-07-0j 4.43705e-06-0j 0.00177766-0j -7.62663e-09-0j -3.99779e-05-0j 1.57865e-07-0j 1.83019e-06-0j -1.0256e-06-0j -2.44814e-05-0j 0.0167258-0j -3.14583e-09-0j 2.61317e-08-0j 6.51158e-08-0j 1.48076e-10-0j 0.0102424-0j 1.60023e-08-0j 0.00207393-0j -3.49806e-05-0j 0.00127002-0j 0.0146351-0j -1.19654e-06-0j -1.44288e-05-0j 2.28652e-08-0j 0.00181469-0j -7.32725e-07-0j 0.00603667-0j 1.72756e-10-0j 9.43142e-09-0j -1.04697e-06-0j 1.05791e-10-0j 0.000748522-0j 1.51161e-10-0j -4.31852e-07-0j 6.23508e-11-0j 
