-0.00365142-0j -0.000645485-0j -5.37904e-05-0j -0.00317498-0j -0.000529163-0j -0.000324045-0j -6.61453e-05-0j -3.89765e-06-0j -0.00199545-0j -0.00201613-0j -0.000322015-0j -0.000325352-0j -0.000262924-0j -3.79498e-05-0j -0.000265649-0j -3.28655e-05-0j -3.83431e-05-0j -3.87324e-06-0j -3.32061e-05-0j -1.76788e-07-0j -3.91338e-06-0j -1.7862e-07-0j -0.00147801-0j -0.00182894-0j -0.00106688-0j -0.000233694-0j -0.000289181-0j -0.000184751-0j -0.000168689-0j -0.000123167-0j -2.66665e-05-0j -0.000228618-0j -3.07918e-05-0j -0.000152412-0j -3.29981e-05-0j -0.00013336-0j -1.08866e-05-0j -8.89069e-05-0j -2.56599e-06-0j -1.92489e-05-0j -2.72164e-06-0j -3.81029e-05-0j -1.34714e-05-0j -2.26803e-07-0j -2.22267e-05-0j -3.17525e-06-0j -3.36786e-06-0j -7.85833e-06-0j -8.45246e-09-0j -1.85223e-06-0j -1.96458e-06-0j -2.80655e-07-0j -1.63715e-07-0j -1.04594e-08-0j -6.10131e-09-0j 
-5.37904e-05-0j 0.000449795-0j 0.000114034-0j 0.00916198-0j 0.000368738-0j -4.77363e-06-0j 9.31588e-05-0j 1.10363e-05-0j 0.00725076-0j 0.0073259-0j -0.0439551-0j -0.0444106-0j -3.87324e-06-0j 5.34484e-05-0j -3.91338e-06-0j 2.29018e-05-0j 5.40023e-05-0j 8.21111e-06-0j 2.31391e-05-0j 6.26377e-07-0j 8.2962e-06-0j 6.32868e-07-0j -2.17731e-05-0j -2.69429e-05-0j -1.57167e-05-0j -0.0401673-0j -0.0497045-0j 0.000533133-0j -0.0289943-0j -1.81443e-06-0j -0.00735692-0j 0.000659718-0j 2.14567e-05-0j -2.24524e-06-0j -0.00910372-0j 0.000384836-0j -1.60374e-07-0j -1.30972e-06-0j 5.43979e-06-0j -0.0053105-0j 3.83315e-06-0j 2.65514e-05-0j -1.98453e-07-0j 6.42199e-07-0j 1.54883e-05-0j 6.73139e-06-0j 4.74328e-06-0j -1.15764e-07-0j 3.59623e-08-0j 3.92665e-06-0j 2.76691e-06-0j 7.9468e-07-0j 4.63564e-07-0j 4.4501e-08-0j 2.59589e-08-0j 
7.08751e-06-0j 0.0115249-0j 0.00143145-0j 6.16273e-06-0j -9.8198e-05-0j -0.000121662-0j -0.0552678-0j 0.000208899-0j 3.87324e-06-0j 3.91338e-06-0j -5.97571e-05-0j -6.03764e-05-0j -4.91022e-05-0j 0.000329567-0j -4.96111e-05-0j 0.0011797-0j 0.000332983-0j -0.00991705-0j 0.00119193-0j 1.5847e-05-0j -0.0100198-0j 1.60112e-05-0j -0.000855105-0j -0.00105814-0j -0.000617248-0j -4.33671e-05-0j -5.3664e-05-0j -3.45031e-05-0j -3.1304e-05-0j 2.39072e-07-0j 0.00023158-0j -4.26953e-05-0j 0.000549778-0j 2.95836e-07-0j 0.000286565-0j -2.49056e-05-0j -6.1416e-06-0j 1.72571e-07-0j 6.82848e-05-0j 0.000167163-0j -0.00457177-0j 0.000680315-0j -7.59984e-06-0j -0.00116956-0j 0.000396851-0j 8.44982e-05-0j -0.00565728-0j -4.43324e-06-0j 1.13886e-06-0j 4.92906e-05-0j -0.00330008-0j -0.00144725-0j -0.00084423-0j 1.40927e-06-0j 8.22075e-07-0j 
-4.17636e-07-0j 1.41905e-05-0j 0.0161272-0j -3.63142e-07-0j 1.16333e-05-0j -3.70631e-08-0j -0.000208899-0j -0.0534927-0j -2.28233e-07-0j -2.30598e-07-0j 7.07928e-06-0j 7.15264e-06-0j -3.00723e-08-0j -0.000119853-0j -3.0384e-08-0j 7.22526e-07-0j -0.000121095-0j 0.00116125-0j 7.30013e-07-0j -0.0126672-0j 0.00117329-0j -0.0127984-0j 5.03876e-05-0j 6.23514e-05-0j 3.63717e-05-0j 5.13759e-06-0j 6.35744e-06-0j -2.11311e-08-0j 3.70851e-06-0j -1.40874e-08-0j -8.42177e-05-0j -2.61485e-08-0j 6.76937e-07-0j -1.74323e-08-0j -0.000104214-0j -1.52533e-08-0j -1.24516e-09-0j -1.01688e-08-0j 0.00076932-0j -6.07916e-05-0j -8.59544e-06-0j 8.37667e-07-0j -1.54081e-09-0j -0.00311273-0j 4.88639e-07-0j 0.000951985-0j -1.06363e-05-0j -8.98807e-10-0j -0.00184264-0j 0.000555325-0j -6.20451e-06-0j -0.0038518-0j -0.00224689-0j -0.00228015-0j -0.00133009-0j 
0.00640086-0j 0.000747003-0j -6.46998e-07-0j -3.8189e-05-0j 0.000927612-0j 0.000753915-0j 7.65483e-05-0j -4.68815e-08-0j 0.00592022-0j 0.00598157-0j -3.87324e-06-0j -3.91338e-06-0j -0.0443451-0j 6.65253e-05-0j -0.0448047-0j 7.64642e-05-0j 6.72147e-05-0j 4.4824e-06-0j 7.72566e-05-0j -2.12643e-09-0j 4.52885e-06-0j -2.14847e-09-0j -1.77777e-05-0j -2.19987e-05-0j -1.28326e-05-0j 0.000693334-0j 0.000857958-0j 0.000213808-0j 0.000500475-0j 0.000433301-0j -3.20748e-07-0j 0.000264573-0j -0.00519339-0j 0.000536183-0j -3.96906e-07-0j 0.000154334-0j 3.80581e-05-0j 0.000312773-0j 4.49812e-06-0j -2.31528e-07-0j 6.3321e-06-0j -0.00642649-0j 4.70945e-05-0j 2.62474e-07-0j -0.00374879-0j 5.56614e-06-0j 7.83558e-06-0j 2.74718e-05-0j -1.01667e-10-0j 3.24692e-06-0j 4.57075e-06-0j 3.24795e-07-0j 1.89463e-07-0j -1.25807e-10-0j -7.33873e-11-0j 
-3.00698e-05-0j 0.000511438-0j -4.42969e-07-0j 0.0102695-0j -4.35771e-06-0j 0.00051617-0j 5.2409e-05-0j -3.20975e-08-0j -1.64328e-05-0j -1.66031e-05-0j 0.00104157-0j 0.00105236-0j 0.000208323-0j -3.12521e-07-0j 0.000210482-0j 5.23514e-05-0j -3.15759e-07-0j 3.06889e-06-0j 5.2894e-05-0j -1.45587e-09-0j 3.10069e-06-0j -1.47096e-09-0j -1.21715e-05-0j -1.50615e-05-0j -8.78588e-06-0j -1.92449e-06-0j -2.38143e-06-0j -0.0574957-0j -1.38917e-06-0j -1.0143e-06-0j 8.62535e-05-0j -0.0711474-0j 2.43973e-05-0j -1.25513e-06-0j 0.000106733-0j -0.0415026-0j 2.60566e-05-0j -7.32157e-07-0j -2.11311e-08-0j 6.22611e-05-0j 4.33529e-06-0j 3.01902e-05-0j 3.22434e-05-0j 1.79703e-07-0j 1.76109e-05-0j -2.61485e-08-0j 5.36465e-06-0j 1.88086e-05-0j -6.96068e-11-0j -1.52533e-08-0j 3.12938e-06-0j 2.22372e-07-0j 1.29717e-07-0j -8.61341e-11-0j -5.02449e-11-0j 
-0.000923885-0j -0.000107138-0j 0.00128032-0j 5.51211e-06-0j 0.0128005-0j 5.62578e-07-0j 0.000513782-0j 0.000186845-0j -0.00085451-0j -0.000863365-0j -5.34484e-05-0j -5.40023e-05-0j -6.65253e-05-0j -0.0429604-0j -6.72147e-05-0j -5.45505e-06-0j -0.0434056-0j 9.21911e-05-0j -5.51158e-06-0j 1.4174e-05-0j 9.31465e-05-0j 1.43209e-05-0j 2.56599e-06-0j 3.17525e-06-0j 1.85223e-06-0j 0.0095676-0j 0.0118393-0j 3.20748e-07-0j 0.00690626-0j -6.25417e-05-0j 0.000207131-0j 3.96906e-07-0j 0.000744857-0j -7.73914e-05-0j 0.000256312-0j 2.31528e-07-0j 1.89003e-08-0j -4.5145e-05-0j -0.00890119-0j 0.000149515-0j 2.11402e-05-0j 0.000921714-0j 2.33879e-08-0j 1.08725e-05-0j 0.000537666-0j -0.0110147-0j 2.61597e-05-0j 1.36429e-08-0j 1.01863e-06-0j -0.00642522-0j 1.52598e-05-0j 1.3454e-05-0j 7.84816e-06-0j 1.26049e-06-0j 7.35286e-07-0j 
0.00829183-0j -5.01163e-06-0j -4.17636e-07-0j 0.00482878-0j 0.00120165-0j -2.51592e-06-0j -5.13561e-07-0j -3.02619e-08-0j -1.5493e-05-0j -1.56535e-05-0j 0.000489749-0j 0.000494824-0j 0.000597062-0j 8.61785e-05-0j 0.000603249-0j -2.55172e-07-0j 8.70715e-05-0j -3.00723e-08-0j -2.57816e-07-0j -1.37261e-09-0j -3.0384e-08-0j -1.38683e-09-0j -1.14754e-05-0j -1.42001e-05-0j -8.28341e-06-0j -1.81443e-06-0j -2.24524e-06-0j 0.000280986-0j -1.30972e-06-0j -0.0406224-0j 4.05568e-05-0j 0.000347702-0j 6.99237e-05-0j -0.0502677-0j 5.01865e-05-0j 0.000202826-0j -8.45246e-08-0j -0.0293228-0j 5.82698e-06-0j 2.92754e-05-0j -2.11311e-08-0j 8.65262e-05-0j -1.04594e-07-0j -1.76093e-09-0j 5.04736e-05-0j 7.21051e-06-0j -2.61485e-08-0j -6.10131e-08-0j -6.56259e-11-0j 4.20613e-06-0j -1.52533e-08-0j -2.17904e-09-0j -1.27111e-09-0j -8.1208e-11-0j -4.73713e-11-0j 
4.3402e-06-0j -7.33526e-05-0j 0.000876578-0j -0.00148228-0j -6.01338e-05-0j 3.85171e-07-0j 0.000351762-0j 0.000127924-0j 2.37186e-06-0j 2.39644e-06-0j 0.014373-0j 0.0145219-0j 3.12521e-07-0j 0.000201818-0j 3.15759e-07-0j -3.73482e-06-0j 0.000203909-0j 6.3119e-05-0j -3.77352e-06-0j 9.70426e-06-0j 6.37731e-05-0j 9.80482e-06-0j 1.75681e-06-0j 2.17394e-06-0j 1.26813e-06-0j -2.65568e-05-0j -3.28624e-05-0j -8.62535e-05-0j -1.91697e-05-0j 1.46401e-07-0j -0.0557004-0j -0.000106733-0j -3.49917e-06-0j 1.81162e-07-0j -0.0689257-0j -6.22611e-05-0j 1.29401e-08-0j 1.05678e-07-0j 4.18157e-05-0j -0.0402067-0j 1.44737e-05-0j -4.33e-06-0j 1.60126e-08-0j 7.44387e-06-0j -2.52583e-06-0j 5.17443e-05-0j 1.79103e-05-0j 9.34068e-09-0j 6.97409e-07-0j 3.01842e-05-0j 1.04477e-05-0j 9.21132e-06-0j 5.37327e-06-0j 8.62999e-07-0j 5.03416e-07-0j 
5.48996e-06-0j 0.0088797-0j -1.16385e-05-0j 4.77363e-06-0j -3.76341e-05-0j 0.00901978-0j 0.00183911-0j -1.12639e-06-0j -0.000740027-0j -0.000747696-0j -2.29018e-05-0j -2.31391e-05-0j -7.64642e-05-0j -5.45505e-06-0j -7.72566e-05-0j -0.0432729-0j -5.51158e-06-0j 0.000162101-0j -0.0437213-0j -6.39293e-08-0j 0.000163781-0j -6.45918e-08-0j 2.22221e-06-0j 2.74984e-06-0j 1.60408e-06-0j 0.00409956-0j 0.00507295-0j -5.37297e-05-0j 0.00295922-0j 1.85184e-07-0j -3.83315e-06-0j -6.64871e-05-0j 0.000423592-0j 2.29154e-07-0j -4.74328e-06-0j -3.87841e-05-0j 0.000918596-0j 1.33673e-07-0j -5.55196e-07-0j -2.76691e-06-0j -0.00724274-0j 0.000524168-0j 0.0011367-0j 1.26781e-05-0j 0.000305765-0j -6.8702e-07-0j -0.00896243-0j 0.000663078-0j -3.67038e-09-0j -4.00762e-07-0j -0.00522808-0j 1.56883e-05-0j 9.15151e-06-0j -4.54187e-09-0j -2.64942e-09-0j 
-6.46998e-07-0j -0.00158362-0j 0.00604864-0j -5.62578e-07-0j 1.34932e-05-0j 1.11062e-05-0j 0.0154603-0j 0.00181035-0j 8.72131e-05-0j 8.81169e-05-0j 8.21111e-06-0j 8.2962e-06-0j 4.4824e-06-0j -9.21911e-05-0j 4.52885e-06-0j -0.000162101-0j -9.31465e-05-0j -0.0419049-0j -0.000163781-0j 0.000207453-0j -0.0423392-0j 0.000209602-0j -2.6189e-07-0j -3.24072e-07-0j -1.89042e-07-0j -0.00146984-0j -0.00181884-0j 3.14968e-06-0j -0.00106099-0j -2.18242e-08-0j -6.47807e-05-0j 3.89753e-06-0j -7.55439e-05-0j -2.7006e-08-0j -8.0162e-05-0j 2.27356e-06-0j 5.60649e-07-0j -1.57535e-08-0j 0.000288541-0j -4.67612e-05-0j 0.00127888-0j -9.34808e-05-0j 6.93767e-07-0j -0.0101355-0j -5.45305e-05-0j 0.000357051-0j 0.00158253-0j 4.04698e-07-0j 1.99411e-05-0j 0.00020828-0j 0.000923143-0j -0.0125421-0j -0.0073162-0j 2.46758e-05-0j 1.43942e-05-0j 
-0.00103293-0j 0.00570219-0j -1.50252e-05-0j -0.0012072-0j 0.00708085-0j -0.000121662-0j 0.001181-0j -1.45416e-06-0j 3.87324e-06-0j 3.91338e-06-0j 0.00579159-0j 0.00585161-0j 0.00715616-0j 0.00102637-0j 0.00723032-0j 0.000583683-0j 0.001037-0j 0.000104095-0j 0.000589731-0j -8.25324e-08-0j 0.000105173-0j -8.33876e-08-0j 2.86886e-06-0j 3.55003e-06-0j 2.07085e-06-0j -2.14567e-05-0j -2.65514e-05-0j 0.00675869-0j -1.54883e-05-0j -6.99237e-05-0j 0.000969359-0j 0.00836345-0j -0.0396433-0j -8.65262e-05-0j 0.00119952-0j 0.00487868-0j -6.1416e-06-0j -5.04736e-05-0j 0.00010446-0j 0.00069972-0j 9.7693e-05-0j -0.0490561-0j -7.59984e-06-0j 8.14135e-06-0j -0.028616-0j 0.000129263-0j 0.000120889-0j -4.43324e-06-0j -4.73844e-09-0j 7.54031e-05-0j 7.05185e-05-0j 1.00744e-05-0j 5.87674e-06-0j -5.86352e-09-0j -3.42039e-09-0j 
2.95313e-08-0j -1.25558e-06-0j -0.00288104-0j 2.5678e-08-0j -1.02932e-06-0j 2.62075e-09-0j 2.47048e-05-0j 0.0197476-0j -3.98071e-06-0j -4.02197e-06-0j -6.26377e-07-0j -6.32868e-07-0j 2.12643e-09-0j 1.4174e-05-0j 2.14847e-09-0j -6.39293e-08-0j 1.43209e-05-0j -0.000207453-0j -6.45918e-08-0j -0.0405396-0j -0.000209602-0j -0.0409597-0j 1.19536e-08-0j 1.47918e-08-0j 8.62855e-09-0j 0.000112125-0j 0.000138748-0j 1.4942e-09-0j 8.09364e-05-0j 9.96132e-10-0j 9.95974e-06-0j 1.84898e-09-0j -5.98956e-08-0j 1.23265e-09-0j 1.23245e-05-0j 1.07857e-09-0j 8.80464e-11-0j 7.19046e-10-0j -0.000137435-0j 7.18932e-06-0j 1.01651e-06-0j -7.4117e-08-0j 1.08952e-10-0j 0.00114911-0j -4.32349e-08-0j -0.000170068-0j 1.25787e-06-0j 6.35553e-11-0j -0.0122809-0j -9.92061e-05-0j 7.33757e-07-0j 0.00142195-0j 0.000829469-0j -0.0151969-0j -0.00886485-0j 
