0.173695-0.0669169j -0.0394057-0.153851j 0.163926+0.301019j -0.140932+0.0940363j -0.370454+0.0965261j -0.186491-0.0236396j -0.000529845+0.148501j -0.0921789-0.0540187j 0.032342+0.0152411j -0.075224-0.334063j -0.0260646-0.0477956j -0.199633+0.0144928j 0.048463+0.101832j -0.0469326-0.265415j 0.30498-0.136354j 0.091018-0.282206j 0.22689+0.0793049j 0.140376-0.0342357j 0.0110396+0.149562j -0.0524313-0.024486j 0.042139+0.0606177j -0.042996+0.0319807j 0.0454944+0.0348381j 0.00259368-0.0208025j -0.00277306-0.0301994j 0.0469902-0.0186047j -0.0106202+0.0253905j 0.0342924-0.0255289j 0.0236533-0.0109285j -0.0536002-0.00397901j -0.0140135+0.0132561j -0.0249355-0.0145291j 0.0206195-0.00532206j -0.0023024-0.034941j -0.0194284-0.0318069j -0.0334117+0.00555207j -0.0188406+0.0474163j -0.0282447-0.0481302j 0.0621466+0.00152348j -0.0201096+0.0449277j -0.0431897-0.0236817j -0.00244138-0.00391983j 0.00252919-0.00126258j -0.0415948+0.0517014j 0.0119742-0.0232786j 0.0446931+0.0339127j 0.0147758-0.0124447j 0.0395101+0.00918003j -0.000944641-0.0108994j 0.0150959-0.0124032j 0.00124487+0.0124011j 0.0209422+0.0148001j 0.00655099-0.0167922j 0.0062562+0.00606606j 0.00844701+0.0139538j -0.00562435+0.00996333j 0.0155992+0.0191514j -0.0086551-0.0113584j 0.00656933-0.0205703j 0.00100627-0.0221579j -0.00203582+0.0227925j -0.0230469-0.0163898j 0.00590115-0.0156158j 0.0125764-0.0176136j 0.0087789+0.00784803j 0.0080147+0.0047364j -0.0102921-0.000710739j 0.0189436+0.0106089j 0.00824617+0.00403788j -0.0181362-0.00415808j -0.0155775+0.0153415j 0.009422+0.000678544j 0.0134012+0.00411021j -0.0025848+0.0127338j -0.025887-0.00289172j 0.0109765+0.00168415j 0.0150613-0.0132721j -0.00346912-0.00212467j -0.00793917+0.0043361j -0.00031777+0.0185983j 0.000826679+0.00263866j 0.00604374-0.0012888j -0.0040615-0.00447487j 0.0146018-0.0087262j 0.0108459-0.00826434j 0.0102898-0.0180969j -0.0234397-0.018915j -0.00624623-0.0132083j -0.0192278+0.00409292j -0.0049205+0.00907464j -0.0151013-0.0282478j -0.0185131-0.00851869j 0.00472412-0.018246j -0.0127293-0.000959402j 0.0143037+0.0277267j -0.0164265+0.01712j 0.0171347+0.0202933j 
-0.00211551+0.00171066j 0.00167553+0.00440464j -0.00016359-0.00339267j 0.00136773-0.00359097j -0.0024802-0.00422191j 0.000486716+0.000677907j 0.00300425+0.000428555j -0.00187492+0.00290537j 0.00273186+0.00311672j 0.00098915-0.00407369j -0.00350955-0.00217479j 0.00664397+0.00435568j -0.00235961-0.00702729j 0.00404084+0.00861947j -0.000457449-0.00556562j 0.00326407+0.0121262j 0.0154-0.00556374j 0.00736551+0.00316701j 0.0033288+0.00972273j -0.0020454-0.0108655j 0.0123156+0.00405248j 0.0205367-0.0237833j -0.0165338+0.00417709j -0.0071915+0.00336228j -0.00672401+0.000930295j -0.0135254-0.00305371j -0.0319945+0.00744813j 0.0022456+0.00417729j 0.000235016+0.00679872j 0.0182888+0.00882521j -0.010823+0.00256804j -0.0070049+0.00737543j 0.00680399+0.0152597j 0.0113932-0.00178549j -0.00570611+0.0124173j 0.00481549-0.00845978j 0.000927827-0.00729407j -0.0170113+0.00651457j 0.00323006+0.0103275j -0.00265968+0.00099685j -0.00176668+0.00556785j -0.00211192-0.0157438j 0.00508433-0.00898495j 0.00895599+0.019029j 0.00111131+0.0230727j 0.0100089+0.00377808j -0.00534261-0.00174812j -0.0201257+0.0253928j -0.0122174-0.00643483j -0.0170872-0.0199443j -0.00103607-0.0161685j 0.0025802-0.00180551j 0.00838683+0.00957766j 0.014043-0.0169799j 0.00975029+0.0103005j -0.00217004-0.0112445j 0.00939086-0.014225j -0.00972495-0.0258592j 0.0125688-6.86374e-05j -0.00181853+0.0138589j -0.000329722+0.00654772j -0.00275432+0.0183123j 0.0091522+0.00218656j 0.0131346-0.0217078j 0.0106928-0.022989j 0.00886643-0.010722j -0.017555+0.0132067j -0.0142199-0.00457016j -0.0214371-0.0219961j 0.0186572-0.0160517j 0.00202612-0.0225203j -0.000586944+0.0195059j -0.0043021-0.00466525j -0.0197863-0.0123197j 0.00619931-0.0100418j -0.00422976+0.00427086j -0.00167276-0.0142279j -0.0162353-0.00332412j 0.00344983-0.0106667j -0.0178651+0.00569743j -0.0108958-0.0113464j -0.000275276+0.00196251j 0.0118332-0.0054953j -0.00327009+0.0218266j -0.00352146+0.013661j -0.0140764+0.00689265j 0.000432247+0.00507406j -0.00381605-0.0161817j 0.00635024+0.0165503j -0.00584237-0.0119096j 0.0122784-0.00426222j -0.00336353-0.00643907j -0.00686345-0.0049845j -0.00564978+0.0248701j -0.0204091+0.00243933j 0.00192573+0.0179317j -0.00301549-0.00175454j 
0.00832066-0.00690967j -0.00113768-0.00422118j 0.00274588+0.00124782j -0.00462746+0.00634647j 0.003127+0.00483025j -0.00236722-0.00360063j 0.00212229-0.00363791j -0.0041497-0.000378112j -0.00115587-0.00292544j 0.000502714-0.000199615j -0.000158297-0.00477229j -0.00532618-0.000209254j -0.000484589+0.00503678j -0.00308599+0.00531115j 0.00303035-0.00633898j 0.0135743-0.00479077j -0.00742301-0.00582236j -0.0116645+0.0191459j -0.00282095-0.00917592j 0.00297887+0.00478882j 0.00599167+0.00740421j -0.00902146+0.00391849j 0.0229143-0.00093408j 0.00194146+0.00627219j 0.0125595+0.00413984j -9.19497e-05-0.0157192j -0.0135785-0.00670648j 0.00955533+0.00904077j -0.0161301+0.00119847j 0.00761141+0.0192679j -0.0182915+0.00475733j -0.00112527-0.022192j 0.00955072+0.0203441j 0.00834092+0.00204493j -0.0158556-0.00822628j 0.0181092+0.00894983j 0.0102323+0.0100117j 0.0114208-0.000120923j 0.0289307-0.0140343j 0.00222542-0.00800036j -0.00649118-0.0100955j 0.00491511+0.00300262j 0.00341245+0.00490191j 0.00454953-0.00640542j 0.00947338+0.00404354j 0.003764-0.000470775j 0.0209815+0.00721116j 0.0165545+0.0130264j 0.000630456-0.00108301j 0.0146101+0.0246422j -0.00658611+0.0173124j -0.000479617-0.00795019j 0.00458128-0.0115526j 0.00982542-0.0169865j 0.00176151-0.00457917j 0.00292314+0.00510813j -0.0151388+0.0134789j -0.00243526+0.0247777j -0.00521547-0.0230451j -0.000534878-0.00821253j 0.00142011+0.00290976j 0.00257334-0.0127713j 0.0202336-0.00299994j -0.00204432+0.00771906j 0.00338433+0.0132772j -0.0199341+0.0018706j 0.0161877-0.00788912j 0.0167835-0.0370456j 0.0141563-0.0226257j 0.00236841+0.0291808j 0.00728847+0.00351482j 0.0216994-0.00155743j 0.0231357+0.00608353j -0.0152786-0.01172j 0.0162543-0.00482831j -0.015057+0.0208199j 0.0322251-0.00735742j 0.010258-0.00996553j -0.00174617-0.00439813j 0.0215053+0.0135318j -0.0021917-0.0166288j 0.017577+0.0102353j -0.0127473-0.00562415j -0.00390667-0.0093453j 0.0167404-0.000946718j 0.0215478-0.020224j -0.00279497-0.00955978j -0.0163974+0.00128589j -0.0101328+0.0114954j 0.00333767+0.00485968j -0.0385813-0.00666521j -0.0085753-0.00602094j -0.0036357+0.00445675j 0.00757024-0.000348456j 0.0149985+0.0439391j -0.000199881-0.0114573j -0.00119295+0.0423413j 
-0.00264136-0.00111716j 0.00212904-0.00377563j -0.00367151+0.00179862j 0.00518672+0.00707321j 0.00216003+0.00176853j 0.000129991-0.00377526j 0.00160635-0.00461675j 0.00194108+0.000511535j 0.00421871-0.00428835j -0.000410155+0.00400312j 0.00174246+0.00282458j -0.00178003-0.0076069j -0.00313163+0.000276923j 0.000747378-0.00505644j -0.000316633+0.00414194j -0.000160857-0.000786162j -0.00476386+0.00439242j 0.016028+0.014278j 0.00403342-0.013579j 0.0110858+0.0157372j -0.00199175-0.00475514j -0.0117969+0.0152838j 0.0102644-0.00544217j 0.00294133+0.00187234j 0.013878+0.0120368j 0.0064327-0.00448174j 0.0120477-0.0113808j 0.000828134-0.000646716j 0.00424413-0.0157394j -0.0078202+0.00648733j 0.00368537+0.00185436j 0.0188396+0.00100202j -0.00487054+0.00842649j 0.00413355+0.00183948j -0.00257523+0.00887937j -0.00989592+0.00936155j 0.0187341-0.00886945j -0.0121444-0.0138669j -0.00387565+0.00375186j -0.0174227+0.00214325j 0.00511059+0.0180186j -0.00184605+0.00286942j -0.000262107-0.0160492j 0.00930228+0.00709589j 0.026845+0.0146854j -0.00777406-0.022367j 0.0177416-0.013677j 0.00316422+0.0324924j -0.00958556+0.00148194j 0.0270704-0.00553657j -0.00517669+0.00170928j 0.00060083+0.00941452j -0.00565421-0.00629538j 0.00813071-0.0319528j 0.00536495-0.0109528j -0.00298578+0.000218561j -0.0100338-0.0190623j 0.0138633+0.0156105j -0.013823-0.0166j -0.0127922+0.0111178j -0.0100053+0.0157608j 0.00465558+0.00223165j -0.00494481-0.0106562j -0.00698622+0.00827865j 0.0113416+0.00214416j 0.0311931-0.00334817j 0.0096829+0.0204708j 0.0109392-0.0110523j 0.0277852+0.0134687j -0.00558837+0.00622824j 0.00195859+0.0185695j -0.0150687-0.0199087j -0.00264762+0.00988617j -0.0117014+0.00351422j 0.0170664-0.000442891j -0.0174538+0.00270261j 0.0106003+0.021698j 0.00773349-0.00781943j 0.000487295+0.0127298j 0.00563204+0.0221343j -0.0264167-0.0117909j 0.0178148+0.0305483j -0.00169725-0.0311531j -0.0224685+0.00879423j 0.00814979-0.0135814j -0.0140638-0.0357877j 0.00742489+0.0125181j -0.000878917+0.0288634j 0.000521087+0.001515j 0.00772382-0.0277076j -0.00119294-0.00266653j 0.00707379-0.00851885j 0.00695619+0.0106255j 0.00611874-0.0215267j 0.010098+0.0498048j -0.00924556-0.0235802j -0.00431777+0.00504869j 
0.00692523-0.0167018j -0.0152558-0.00784679j 0.00677166+0.00529396j -0.00422429+0.0203362j 0.00238501+0.0063421j -0.00084855-0.0041498j -0.00428886-0.00393983j 0.000802175-0.00269298j -0.0085413-0.00128535j -2.36665e-05-0.00282855j 0.00791368-0.000398992j -0.0112185-0.00185259j 0.0101105+0.00366185j -0.00927135-0.00130605j 0.00157106+0.00231247j 0.00574331-0.00694066j 0.00162706+0.00864757j -0.0113545+0.0372557j -0.00993557-0.00508915j 0.00506465+0.0236106j 0.0169481+0.00417021j -0.00270452+0.0251038j 0.00191119+0.00864504j 0.00309181-0.0121462j -0.0060919+0.0018601j 0.00193606-0.00959827j -0.00683053-0.0160798j -0.00371835+0.00228561j -0.00585815+0.0222493j 0.00311279+0.00839546j -0.00858621+0.000828176j -0.0238525-0.00425414j 0.00807898-0.0102918j -0.0130098-0.00579125j -0.0130451-0.0224405j 0.0145577-0.00948099j 0.0066088+0.00396937j 0.00355236+0.00741302j 0.00337944-0.00353195j -0.00103526+0.00212694j -0.00355356-0.00256331j -0.00111039-0.00975207j -0.022166-0.0158197j 0.00523009+0.0153957j 0.0101171+0.0361072j 0.0112974-0.012425j 0.0444049-0.000552594j -0.00449202+0.0402073j -0.00224714+0.0048956j 0.00214637+0.0143192j -0.0187215-0.00342304j -0.00239846+0.00481655j -0.000309775-0.0193699j 0.0136088-0.0273281j 0.00144468-0.0140017j 0.00285754+0.0153591j 0.0118209+0.0214652j 0.0178517-0.000446853j -0.0215081+0.0112187j -0.00700794+0.0318759j 0.0189424-0.0108536j -0.0234273-0.0172117j -0.0178272-0.00803448j 0.00999099-0.024437j 0.0141147-0.0147261j -0.00978393-0.010653j 6.24569e-05-0.0341283j -0.0215428+0.000379006j -0.0115186-0.0198994j 0.00402428+0.00937356j -0.0092763+0.0020817j 0.00437268+0.00395178j 0.0343505-0.00624112j -0.00712113+0.0198476j -0.0159566+0.0042041j -0.00638285+0.013808j 0.0133951-0.00753637j -0.0262233-0.0183464j 0.0125548+0.0376477j -0.0116357+0.00117904j 0.00592485+0.000431251j 0.0204359-0.0126848j -0.0176277-0.0138236j 0.0193002-0.0187938j -0.0137317+0.0172058j 0.0212618+0.00625135j 0.0177615-0.0263044j -0.019535+0.00927217j -0.0161893+0.0122412j -0.053347-0.0264138j 0.00777476-0.0455872j 0.00969594-0.00635701j 0.00388879-0.0126052j -0.0144539+0.0268523j -0.0379462+0.0549069j -0.0176207+0.0323338j 0.0107891+0.0292254j 
-0.00233026+0.00113541j -0.00530671-0.00695299j 0.00264566+0.00563252j -0.00373049+0.0104594j 0.00180682+0.00504309j -0.000932862-0.000571015j -0.00497103+0.00555872j 0.00231894-0.00782832j -0.00883284-0.0069863j 0.00127553+0.00252128j 0.00463428+0.00399321j -0.0177737+0.00637981j 0.00412729+0.00372092j -0.0103315-0.0143277j 0.0135705+0.00816498j -0.0051689-0.00898549j 0.00208891+0.0139542j -0.0137154+0.0110759j -0.00800522+0.00269076j 0.00447569+0.0145402j -0.000517887+0.012191j -0.000879204+0.00344197j 0.0125825-0.00715392j 0.00325447+0.000940984j 0.00601176+0.00517048j 0.00533325-0.000266001j -0.00331479-0.00978927j -7.39138e-05-0.00736789j -0.0058357-0.00531037j -0.00208753+0.00721736j -0.00396663-0.0013543j 0.00870999-0.00691205j -0.00693171+0.00801232j 0.00348361+0.00620577j -0.00629646-0.000517719j 0.0106589+0.00801864j 0.0182049+0.000969503j 0.00417018-0.00775927j 0.0136409+0.00978783j 0.00595586-0.00504253j -0.00599142+0.00358986j 0.0121218-0.020896j 0.0102183-0.0156985j -0.0019792+0.0106883j 0.00507264+0.0209572j -0.00328061-0.00527812j -0.00756903-0.00757037j 0.0025528+0.0133757j -0.00209313+0.00834407j -0.0027725-0.0201075j -0.00165858+0.0108391j 0.00183713+0.00587128j 0.00841825+0.0058525j 0.00681162-0.00683374j -0.00619365-0.00676902j -1.51183e-05+0.00338628j 0.0151235-0.0123948j -0.0212487+0.00411898j 0.00191315-0.00359268j -0.00375382-0.00351196j -0.0192452+0.0255737j 0.0160906-0.0149835j -0.00664407+0.0146942j 0.0160997+0.0109981j 0.00621398+0.00584597j -0.000332085-0.0153287j -0.0148403-0.00295136j 0.00268446-0.0259192j -0.000151911-0.0221959j -0.00501937+0.00695183j 0.0146825-0.00091932j -0.00541536+0.00117303j 0.0115958-0.00342111j -0.00786176+0.0128635j 0.000615102-0.00143335j 0.00256922+0.0185949j 0.0182867+0.00689707j -0.0238602+0.00773203j -0.019639-0.0190133j -0.0108919+0.0106j -0.00183653-0.0208082j 0.0159576+0.0113293j -0.00222315-0.00109873j -0.00918384+0.00553486j -0.016217+0.00847584j -0.000743219-0.0433548j 0.0118826+0.00583027j -0.00657541-0.00980321j 0.0113559+0.0131344j 0.00605436-0.00763461j -0.0191208-0.00825643j 0.00556308-0.00490652j -0.00158408-0.0242551j -0.0128908+0.0113157j 0.0148725+0.0292075j -0.00827642-0.00395281j -0.00281545+0.0117666j 
0.00573355+0.0185411j 0.0150558+0.00131554j -0.0074995+0.00392497j -0.000517196-0.00139943j -0.000260163-9.16488e-05j 0.00635807-0.00274323j 0.010982-0.00143494j 0.00982583-0.00377587j 0.0153161-0.0073351j 0.000364245+0.000754214j 0.000441171+0.0144535j -0.00247406-0.0107085j -0.0111114-0.0144459j 0.00451619-0.0126934j 0.00243854+0.00693974j -0.00715598+0.0205766j 0.00462949+0.00348912j 0.00338627-0.0165852j 0.0168453+0.00622234j 0.0180678-0.00920581j -0.00198823+0.000396995j -0.0119071-0.0115706j 0.00821654+0.008724j 0.00284462+0.0100587j 0.00611996+0.00223489j 0.00947609+0.00736252j 0.0038441-0.00124014j 0.00277285+0.00115537j -0.00466247-0.00732545j -0.00841243-0.00110784j 0.0162016-0.00564372j 0.0210396-0.00882539j -0.0065253+0.00413781j -0.0106234+0.00748873j 0.0110936+0.011785j -0.018806-0.0140736j 0.00561603-0.00344272j -0.00316997+0.00509124j 0.0115469-0.00602381j -0.00343494-0.0111081j 0.0044035-0.00376929j -0.00825101+0.0190191j 0.0152903+0.0188909j 0.0144036-0.0123721j 0.0160044-0.0208729j -0.0215162-0.0158215j 0.00248745+0.00401397j -0.000682473-0.00879238j -0.00522735+0.00935785j 0.012196+0.0208177j 0.0063482+0.00963285j 0.0124849+0.00888679j 0.0158018-0.00441467j -0.00988139-0.00384657j 0.00929539+0.0305141j 0.000853634-0.00836174j -0.0215972+0.00788499j 0.0118718+0.0280061j -0.0128963+0.00446151j 0.0151194-0.000786496j 0.0083229+0.0155561j 0.00452356+0.0167975j 0.00535433-0.00167993j 0.000803411+0.0169403j -0.00532677+0.010098j 0.0217868-0.00210002j 0.0218279+0.0066945j 0.00778151-0.00705407j 0.0154664+0.00147346j 0.00126719+0.00520862j 0.00511363-0.00122929j -0.0109576-0.00274982j -0.00675908+0.0265937j -0.00508573+0.00340024j 0.00680248-0.0054021j 0.00179068-0.0103082j 0.0168104-0.00121236j 0.00812766-0.0166413j -0.0198181-0.00103211j 0.0135594-0.0122301j 0.00675802-0.0284088j -0.00581381+0.00909291j -0.01044+0.0177692j -0.00281633-0.00791534j -0.0158994-0.0323531j 0.0204217-0.0111847j -0.0128772-0.0192309j 0.00154976+0.00208442j -0.00151143-0.0460865j 0.0268991+0.00872841j -0.0386096+0.0200359j -0.000818125-0.0258541j -0.00447702+6.60978e-06j 0.032157-0.00965198j -0.00490162-0.0159131j -0.00459947-0.00958511j -0.0305589+0.000809359j 
0.00887628+0.00709474j 0.00965687-0.0111258j -0.00336561+0.00651797j -0.00856221+0.00306584j -0.000428626+0.00113239j -0.0083399+0.000638581j -0.00321311+0.00285959j 0.00386482+0.00159989j -0.000330548-0.0122781j -0.00439282-0.0126076j -0.00595346-0.00139199j -0.00634278-0.00016403j -0.0165638+0.0129458j -0.00706972-0.00166005j 0.0192372-0.0123334j -0.00585193-0.0109277j -0.006687+0.00495271j -0.00186454-0.0177643j -0.000900714+0.00077882j 0.0119807+0.0105244j 0.00467004+0.0194781j -0.00805037-0.00338476j 0.00812339-0.00104005j 0.00509697+0.00155674j 0.0199593-0.00666536j 0.00443068-0.00127866j -0.00844049-0.007056j 0.00796227+0.0108368j -0.0046161+1.15095e-06j 0.00998426-0.00612438j 0.0175721+0.0127503j 0.0141172-0.0245255j -0.00373453+0.0149764j 0.0100671+0.00870976j 0.00364987+0.0196088j 0.014097+0.00864345j 0.0141645+0.00704849j -0.014543-0.00915432j 0.0236422+0.0234233j -0.0132716-0.00242046j 0.0082069-0.00011128j -0.00516503+0.00682065j -0.00303981+0.0120873j -0.00144323-0.00753538j 0.0204422-0.0146305j 0.00502001+6.24731e-05j 0.0133322+0.00165883j 0.0111654-0.00234009j -0.00288468-0.00169584j -0.0105941+0.00422404j 0.000408365-0.00301961j 0.000974577-0.00469803j 0.00918017+0.00274478j 0.0039635+0.00132295j -0.000542382+0.00473528j 0.000117141+0.00467382j 0.000726355+0.0204462j 0.0173739-0.00436538j 0.00376083-0.00418836j 0.00916294-0.00836954j 0.0140973-0.000191312j 0.0056938-0.0103634j 0.00985741-0.00180953j -0.0014013-0.0187797j -0.0064183+0.00461494j -0.00651336+0.00146287j -0.00540235+0.00355457j 0.00952637-0.00101402j -0.00299566-0.00367898j 0.0137586-0.0118553j -0.0105026-0.0120369j 0.0100816+0.00186523j 0.0132456+0.00324277j -0.00187986+0.00486133j 0.00405964-0.000549169j 0.0070067+0.00252994j 0.0125171-0.0167774j 0.00364246-0.0120088j 0.00408604+0.00849333j -0.00308879-0.0109277j -0.0120832-0.0174148j 0.00751556-0.0035626j 0.00389376+0.0140746j 0.00404309-0.0189889j 0.000971862+0.00670548j 0.0261033+0.00871595j -0.0212476+0.00911976j -0.00446211-0.00820292j -0.00869289-0.0149198j -0.00487599+0.0082253j -0.0339557-0.00944194j -0.010293+0.0114329j -0.0083336-0.00147025j 0.00305284+0.00508879j -0.00672374-0.00558308j -0.0319314-0.0112449j 0.000972353-0.00458045j 
-0.00803039-0.00238321j -0.00824579+0.00493561j 0.000445258+0.00321936j -0.000609442+0.000513869j 0.00319369+0.00127646j 0.00589701-0.000846901j -0.00564077+0.00228329j 0.00955356+0.000485713j -0.00450815-0.00206296j 0.00598266+0.00306539j 0.000235117+0.0014454j -0.00605689+0.00178358j -0.00686841-0.00207786j 0.00217984-0.00148239j 0.0052414+0.00728497j 0.00194266+0.00169011j 0.00381536+0.0124558j -0.00461934-0.00447071j 0.0035625+0.0115239j -0.00996397-0.00310143j -0.00388178-0.000424407j 0.00928902-0.000727058j -0.00740745+0.00376669j -0.00539374-0.00676639j -0.00525201+0.00151095j -0.00301079-0.0110043j 0.00979802-0.00458119j -0.0049163-0.0135991j 0.0128629-0.0142248j 0.0213444+0.00642913j -0.0131782+0.00350318j 0.00870658+0.0117614j -0.00183591-0.00434918j 0.00824147-0.000185663j 0.00146196+0.0134115j -0.00658959-0.0127663j -0.00774597-0.00271201j -0.00126236+0.0114108j 0.0117795+0.0107095j 0.0133742+0.0107567j 0.00579176-0.00292144j 0.0100671+0.0028659j -0.00154716-0.0104614j -0.00099985+0.00171275j -0.0171761-0.00890795j -0.00396838+0.00209041j 0.0154622-0.00641164j 0.00023721-0.00708185j 0.00653432+0.00540547j -0.0139715-0.000423462j -0.000673875+0.00702305j -0.00200353+0.00360821j -0.00745624+0.00751791j 0.00762528-0.00463171j -0.00492296-0.006159j -0.00114746+0.0020444j -0.0129801-0.00495107j -0.00209879-0.00822501j 0.00764879-0.00456622j -0.00565482+0.00473511j 0.00566231+0.00390055j -0.00113912-0.00165124j -0.00439698+0.00598479j -0.00638229+0.00344989j 0.000879383+0.00296249j -0.0144939-0.00914386j -0.000119785-0.0171261j -0.00306427+0.00387931j -0.00664892-0.00485779j -0.00317981+0.00930053j 0.000180765-0.00297738j 0.0145034+0.0104887j -0.00725562-0.00274394j 0.00120855-0.00994559j -0.00527636-0.00165425j -0.0354707+0.00103192j -0.0134903-0.00425675j 0.00195891+0.0180148j 0.00925254+0.0043829j 0.00536328+0.0161168j -0.00261722+0.0121886j -0.00753101-0.010529j -0.00362471-0.0151898j -0.0136133+0.00474972j 0.0112294+0.00210684j 0.00214209-0.00595272j 0.0164797-0.00840342j 0.000179023-0.0054424j 0.00238938+0.0452874j 0.00903382-0.00416153j 0.0156532+0.0179374j 0.00273682-0.00287471j 0.0031163-0.0121556j -0.00628857-0.000854037j 0.0049798-0.00486113j 0.00420238+0.0107003j -0.00685235-0.0129565j 
-0.0117482+0.00326316j -0.0012818+0.00957406j 0.000683331-0.0063549j 0.0052702-0.0102646j 0.00116868-0.00222133j 0.00100331+0.00459657j -0.00757112+0.0046993j 0.000903742+0.000406076j 0.00364791-0.00174864j 0.00333699+0.00163892j -0.00361918-0.00277906j 0.00999938-0.0055607j 0.00959349-0.0040598j 0.000927915+0.00295211j -0.00461998+0.00470522j -0.0061344+0.00510931j 0.00824108-0.00126078j -0.00902335+0.00177827j 0.0109847+0.00622093j 0.00045113-0.00457673j -0.0117716-0.00247291j 0.00750616-0.000542077j 0.000769008+0.00826196j -0.0121533-0.00361888j -0.0122544+0.00365157j -0.00485208-0.00244018j 0.00917139-0.00736934j -0.00389991-0.00784496j 0.000869186-0.015934j 0.0101104-0.000900739j 0.000802734-0.00608616j -0.000837876-0.000633913j -0.0135346-0.00448594j 0.00447754+0.0182865j -0.00310577+0.0132492j -0.0107566-0.015938j -0.00295839-0.00229425j 0.0104625+0.00371675j -0.00425873+0.0160263j 0.00187219+0.0044526j 0.004342+0.00607347j 0.00568867-0.00173269j 0.0143165-0.00292599j -0.0170113-0.00618205j -0.00459918+0.0122346j 0.0107445+0.0109166j -0.00466261-0.00628754j 0.00325533-0.00411908j -0.00131437-0.0054692j 0.00805423-0.0118961j 0.0143044-0.00208604j -0.0124633-0.00259977j -0.00779486-0.00227304j 0.00188664+0.020971j -0.00786378-0.0280338j 0.00027332+0.00727382j 0.0137948-0.00801982j -0.00844956-0.00580309j 0.0123738-0.000479845j 0.000130753-0.0118067j 0.00204818-0.00155534j 0.0175004-0.0062879j 0.00794769-0.000476133j 0.0180737-0.0205275j 0.00761212-0.00677702j -0.0123314+0.00945525j -0.0125196+0.00849393j -0.0128255-0.0179j -0.0163967-0.00117952j 0.00543912-0.00744703j 0.00449615-0.0108977j 0.00444276+0.00190333j 0.016991-0.0190636j -0.0124063+0.019798j -0.00205629-0.00538083j 0.00812381+0.0184984j 0.00651718-0.0138424j 0.0144612+0.00665391j 0.00164459-0.0128335j -0.00367469-0.0112822j -0.00509487-0.00236728j 0.0243766+0.0205326j 0.012954-0.00336417j 0.00610715+0.0169015j 0.0181464-0.00498225j 0.00148218+0.00475927j -0.012366+0.0363177j 0.022612+0.0022832j 0.00265211+0.0116534j 0.010374-0.00125163j 0.00658794-0.00832269j -0.0151049+0.0346057j 0.00481112+0.00135272j 0.00484003+0.0114856j -0.00449339+0.0183443j 0.00212608+0.00813694j -0.0157886-0.00713179j 
0.0092676+0.000120702j 0.000746021-0.00713895j -0.00149697+0.00474683j -0.00490358+0.00696285j -0.00419905-0.00273538j -0.00289137-0.00155036j -0.00311177+0.00532403j -0.00172275+0.000691513j -0.0034282-0.00934337j -0.00654968-0.0106994j -0.00352655-0.00158657j 0.0116319+0.00550962j -0.00302382+0.011168j -0.00609921+0.00471823j 0.0162078-0.00810508j 0.00706558-0.0118018j 0.0040306-0.00347055j 0.00636629-0.00200199j 0.000678077-0.00121917j -0.00721936-0.00252717j -0.000987654-0.00328277j -0.00314911+0.00258858j 0.000988972+0.0103105j -0.00499227+0.00133316j -0.00785793-0.000289665j 0.000657374+0.00699521j -0.00300406+0.0166026j 0.00558638+0.0143365j 0.00144474+0.00415451j -0.00601133+0.0047955j 2.89616e-05+0.00140728j -0.0131101-0.00200122j 0.00753814-0.00304971j -0.00591153+0.00374409j -0.00305009-0.0123929j 0.00249587-0.00776851j 0.00979069-0.0063554j -0.00317499+0.00361885j -0.00776554-0.0131655j 0.0041649-0.00714391j -0.000315346-0.000304389j -0.00174503-0.00584303j -0.005721+0.00629896j -0.0035486+0.0045912j 0.00361632-0.00684749j -0.0142428-0.0225527j -0.00140146+0.000475364j -0.00915353-0.0161714j -0.00618999+0.0170745j 0.00275226-0.00215033j 0.00990188+0.00353028j 0.00146189+0.0219964j 0.00811446+0.00473237j -0.000899191+0.000328444j -0.00410664-0.00103572j 0.0033073+0.00583106j 0.0025531+0.0198677j 0.0207267-0.0161585j -0.00546014+0.0103261j 0.00040967+0.0138887j 0.00272198+0.0228313j 0.0168133-0.000267709j 0.00429411+0.0190621j 0.0214421-0.00567953j 0.00409903+0.0205426j -0.0122139-0.0114785j 0.0180381-0.0139004j 0.00995229+0.00633301j -0.00797459+0.00290996j 0.00173008-0.000823553j 0.0189158-0.0157345j 0.00865925+0.00146747j -0.00384145+0.0363624j -0.0080411+0.00285695j -0.00846589-0.00722578j -0.0347085-0.000308326j -0.00380116-0.0139014j -0.00567104+0.0202651j -0.0187476-0.00120319j 0.00642092+0.00230647j 0.0266867-0.00798076j 0.00604286-0.0146127j -0.00739232-0.00829155j -0.0169838-0.0131827j -0.00790113-0.0374907j 0.0292416-0.00467137j 0.0323073-0.0114702j 0.00565708-0.0234425j 0.00596931-0.00882382j 0.00947201+0.0131902j -0.0123783+0.00324044j 0.00527143-0.00738986j 0.0118284-0.0372095j 0.0207859-0.0115994j -0.00455373-0.00249781j 0.00503314+0.00406673j 0.00064024+0.00440426j 
