-0.0582412-0j -0.00590699-0j -0.0059682-0j -0.00338904-0j -0.000489166-0j -0.00419372-0j -0.000605312-0j -0.00244634-0j -0.000353099-0j -0.0023814-0j -0.000420977-0j -0.0027783-0j -3.50814e-05-0j -0.00170136-0j -0.000491139-0j -0.00243102-0j -0.00030076-0j -4.09283e-05-0j -0.00100274-0j -2.50634e-05-0j -0.000429747-0j -3.58123e-05-0j -0.000177262-0j -1.47718e-05-0j -0.00183307-0j -0.000305512-0j -0.00207068-0j -0.000187087-0j -3.8189e-05-0j -0.0016907-0j -2.25031e-06-0j -0.00170822-0j -0.000345113-0j -0.000211338-0j -0.00147936-0j -0.000281783-0j -4.31391e-05-0j -0.00122041-0j -0.000172556-0j -0.000284704-0j -2.542e-06-0j -0.000389928-0j -3.52229e-05-0j -0.000246561-0j -0.000174345-0j -0.000150987-0j -3.55879e-05-0j -2.07553e-06-0j -0.000203402-0j -3.08201e-05-0j -0.000124558-0j -6.49879e-05-0j -2.09704e-06-0j -3.97968e-05-0j -2.54253e-05-0j -1.81609e-06-0j -1.4982e-06-0j -8.12349e-06-0j -4.78681e-07-0j 
0.000770597-0j 0.00549087-0j -0.00538984-0j 0.0031503-0j 0.000454707-0j 5.54877e-05-0j 8.00896e-06-0j -0.00445091-0j -0.000642434-0j 0.00221365-0j 0.000391321-0j 3.67601e-05-0j 3.26101e-05-0j 0.00158151-0j 6.49833e-06-0j -0.00219543-0j 0.000279573-0j 5.41528e-07-0j -0.00274325-0j 2.32978e-05-0j -0.000388102-0j -3.23418e-05-0j -0.000484942-0j -4.04118e-05-0j 0.00170394-0j 0.000283991-0j 2.73974e-05-0j 0.000173908-0j 3.54988e-05-0j 0.0015716-0j 2.09179e-06-0j -0.00154268-0j 4.56623e-06-0j 2.79624e-06-0j 1.95736e-05-0j 0.000261933-0j 5.70779e-07-0j -0.00222044-0j 0.000160401-0j -0.000257114-0j 3.36335e-08-0j -0.00142404-0j 3.27417e-05-0j 3.26227e-06-0j -0.000157449-0j 1.99773e-06-0j -3.21392e-05-0j 1.92932e-06-0j -0.000370073-0j 4.07784e-07-0j -0.000226623-0j -0.00023734-0j -1.89382e-06-0j -0.000145341-0j -4.62592e-05-0j 2.40289e-08-0j -2.72585e-06-0j -2.96675e-05-0j -1.74818e-06-0j 
-0.000120138-0j 0.0404929-0j -0.0397478-0j -0.000491139-0j 0.00677743-0j -8.65067e-06-0j 0.000119374-0j 0.000693908-0j -0.00957551-0j -0.000345113-0j 0.00288583-0j -5.73099e-06-0j 0.000731625-0j -0.000246561-0j 4.79225e-05-0j 0.000342273-0j 0.00206174-0j 1.21495e-05-0j 0.000427679-0j 0.000522698-0j -0.00286209-0j -0.000725606-0j -0.00357624-0j -0.000906661-0j -0.000265649-0j 0.00209431-0j -4.27132e-06-0j -2.71127e-05-0j 0.000529112-0j -0.000245016-0j 6.26826e-05-0j 0.000240508-0j 3.36741e-05-0j -4.3594e-07-0j -3.05158e-06-0j 0.00193165-0j 8.5075e-06-0j 0.000346172-0j -2.50069e-05-0j -0.00189611-0j 1.00786e-06-0j 0.000222011-0j 0.000488017-0j 2.40579e-05-0j 2.45467e-05-0j -3.1145e-07-0j -0.000479037-0j 5.78141e-05-0j -0.00272913-0j 6.07805e-06-0j 3.5331e-05-0j -0.00175028-0j -5.67503e-05-0j 2.26589e-05-0j -0.000689495-0j 7.20051e-07-0j -8.16828e-05-0j -0.000442196-0j -5.23859e-05-0j 
-9.30585e-05-0j -0.000663086-0j 0.000650885-0j 0.0366032-0j -5.49111e-05-0j 0.000644709-0j -9.67174e-07-0j -0.0517149-0j 7.75812e-05-0j -0.000267323-0j 0.00454674-0j -4.43921e-06-0j -3.93804e-06-0j -0.000190985-0j 7.55037e-05-0j 0.000265124-0j 0.00324835-0j -6.53957e-08-0j 0.000331278-0j -2.81347e-06-0j -0.00450933-0j 3.90564e-06-0j -0.00563451-0j 4.88019e-06-0j -0.000205771-0j -3.42951e-05-0j -3.30855e-06-0j 0.00406226-0j 0.000412459-0j -0.000189789-0j -2.52607e-07-0j 0.000186297-0j -5.51425e-07-0j 6.53163e-05-0j -2.36374e-06-0j -3.16315e-05-0j 6.63185e-06-0j 0.000268144-0j 0.00374674-0j 3.10494e-05-0j -4.06163e-09-0j 0.000171969-0j 0.000380424-0j -3.93957e-07-0j -0.00367781-0j 4.66642e-05-0j -0.000373424-0j -2.32988e-07-0j 4.46906e-05-0j 4.73802e-06-0j -0.0052936-0j 2.86616e-05-0j 2.28701e-07-0j -0.00339496-0j -0.000537482-0j -2.90177e-09-0j 3.29177e-07-0j -0.000344705-0j 2.11112e-07-0j 
1.34318e-05-0j -0.00915019-0j 0.00898183-0j 5.49111e-05-0j 0.0354602-0j 9.67174e-07-0j 0.000624577-0j -7.75812e-05-0j -0.0501-0j 3.85848e-05-0j -0.000652112-0j 6.40744e-07-0j 0.00779287-0j 2.75663e-05-0j -1.08291e-05-0j -3.82673e-05-0j -0.000465891-0j 0.000129409-0j -4.78159e-05-0j 0.00556749-0j 0.000646747-0j -0.00772875-0j 0.000808125-0j -0.00965726-0j 2.97004e-05-0j -0.000473252-0j 4.77548e-07-0j 3.03129e-06-0j 0.00276837-0j 2.73936e-05-0j 0.00100676-0j -2.68896e-05-0j -7.60934e-06-0j 4.87396e-08-0j 3.41177e-07-0j -0.000436495-0j 4.45121e-05-0j -3.87032e-05-0j 2.79585e-06-0j 0.000428464-0j 1.61875e-05-0j -2.48216e-05-0j 0.00255335-0j -5.43637e-06-0j -2.74441e-06-0j 3.48212e-08-0j -0.00250637-0j 0.000928567-0j 0.000616704-0j 3.1801e-05-0j -3.95013e-06-0j 0.000395512-0j -0.000911482-0j -2.53335e-06-0j -0.00360751-0j 1.15649e-05-0j -0.00131193-0j -0.00231361-0j -0.000841384-0j 
-8.49504e-05-0j -0.000605312-0j 0.000594174-0j -0.000347288-0j -5.01267e-05-0j -6.11695e-06-0j -8.82905e-07-0j 0.000490667-0j 7.08217e-05-0j 0.0355652-0j -4.31391e-05-0j 0.0005906-0j -3.59493e-06-0j 0.025409-0j -7.16374e-07-0j -0.0352726-0j -3.08201e-05-0j -5.96978e-08-0j -0.0440739-0j -2.56834e-06-0j 4.27842e-05-0j 3.56535e-06-0j 5.34598e-05-0j 4.45499e-06-0j 0.0367958-0j 0.00456269-0j 0.000591632-0j -1.91716e-05-0j -3.91338e-06-0j 0.0339379-0j -2.30598e-07-0j -0.0333134-0j 7.33626e-05-0j -3.08256e-07-0j 0.000422683-0j 0.00420831-0j -6.29225e-08-0j -0.0479492-0j -1.76825e-05-0j -0.00413088-0j -3.70774e-09-0j -0.0307514-0j -3.60943e-06-0j 5.24128e-05-0j 1.73572e-05-0j -2.20229e-07-0j 3.54302e-06-0j -2.12688e-07-0j -0.00594572-0j -4.4954e-08-0j 2.49828e-05-0j -0.00381319-0j 2.08774e-07-0j 1.60223e-05-0j 5.09959e-06-0j -2.64894e-09-0j 3.00496e-07-0j 3.27054e-06-0j 1.92718e-07-0j 
1.50172e-05-0j -0.00506161-0j 0.00496848-0j -0.00590681-0j -0.000847179-0j -0.000104039-0j -1.49218e-05-0j 0.00834545-0j 0.00119694-0j 4.31391e-05-0j 0.0347071-0j 7.16374e-07-0j -9.14532e-05-0j 3.08201e-05-0j 0.000576351-0j -4.27842e-05-0j 0.024796-0j -1.51868e-06-0j -5.34598e-05-0j -6.53373e-05-0j -0.0344216-0j 9.07007e-05-0j -0.0430106-0j 0.000113333-0j -0.00650463-0j -0.000261789-0j -0.000104587-0j -0.000655544-0j 0.0063635-0j -0.00599942-0j -7.83532e-06-0j 0.00588904-0j -4.20926e-06-0j -1.05404e-05-0j -7.47204e-05-0j -0.000241456-0j 0.000102318-0j 0.0084763-0j -0.000604628-0j 0.000237013-0j -1.25983e-07-0j 0.00543613-0j 0.00586925-0j -3.00724e-06-0j 0.000593503-0j -7.5304e-06-0j -0.00576126-0j -7.22676e-06-0j 0.000341142-0j 7.30992e-05-0j 0.000854251-0j 0.000218786-0j 7.09379e-06-0j 0.000547859-0j -0.00829239-0j -9.00064e-08-0j 1.02103e-05-0j -0.00531818-0j 6.54823e-06-0j 
1.00115e-05-0j -0.00337441-0j 0.00331232-0j 4.09283e-05-0j -0.000564786-0j 7.20889e-07-0j -9.94784e-06-0j -5.78256e-05-0j 0.00079796-0j -0.00841155-0j -0.000240486-0j -0.000139683-0j -6.09688e-05-0j -0.0060095-0j -3.99354e-06-0j 0.00834235-0j -0.000171811-0j -1.01246e-06-0j 0.010424-0j -4.35582e-05-0j 0.000238507-0j 6.04672e-05-0j 0.00029802-0j 7.55551e-05-0j 2.21374e-05-0j 0.0510454-0j 3.55943e-07-0j 2.25939e-06-0j -4.40927e-05-0j 2.0418e-05-0j -5.22355e-06-0j -2.00423e-05-0j 0.000820749-0j 3.63283e-08-0j 2.54298e-07-0j 0.0470807-0j -7.08958e-07-0j -2.88476e-05-0j 2.0839e-06-0j -0.0462145-0j -8.39885e-08-0j -1.8501e-05-0j -4.0668e-05-0j 0.000586372-0j -2.04556e-06-0j 2.59542e-08-0j 3.99198e-05-0j -4.81784e-06-0j -0.0665181-0j -5.06504e-07-0j -2.94425e-06-0j -0.0426603-0j 4.72919e-06-0j -1.88825e-06-0j 5.7458e-05-0j -6.00043e-08-0j 6.8069e-06-0j 3.68497e-05-0j 4.36549e-06-0j 
-1.25144e-06-0j 0.00128324-0j -0.00125963-0j -5.11604e-06-0j -0.010124-0j -9.01111e-08-0j -0.000178318-0j 7.22821e-06-0j 0.0143037-0j -3.59493e-06-0j 9.14532e-05-0j -5.96978e-08-0j 0.0336081-0j -2.56834e-06-0j 1.51868e-06-0j 3.56535e-06-0j 6.53373e-05-0j 0.000558101-0j 4.45499e-06-0j 0.0240108-0j -9.07007e-05-0j -0.0333316-0j -0.000113333-0j -0.0416486-0j 0.000542053-0j 6.63696e-05-0j 8.71557e-06-0j -2.82424e-07-0j -0.000790374-0j 0.000499952-0j 0.00890463-0j -0.000490753-0j 1.06715e-06-0j -4.54104e-09-0j 6.2267e-06-0j 6.12148e-05-0j -1.27083e-05-0j -0.000706359-0j -2.60488e-07-0j -6.00884e-05-0j 0.000143176-0j -0.000453011-0j -0.000728987-0j 7.62405e-07-0j 2.55695e-07-0j -3.24428e-09-0j 0.000715574-0j 0.00821301-0j -8.64874e-05-0j -9.07924e-06-0j 3.68031e-07-0j -5.54673e-05-0j -0.0080619-0j 2.36031e-07-0j 0.00102995-0j 0.00010229-0j -0.0116038-0j 0.000660542-0j -0.00744189-0j 
8.67021e-06-0j 6.17794e-05-0j -6.06427e-05-0j -0.00685604-0j 5.11604e-06-0j -0.000120759-0j 9.01111e-08-0j 0.00968658-0j -7.22821e-06-0j -0.00362986-0j -0.000851637-0j -6.02779e-05-0j 3.66906e-07-0j -0.00259329-0j -1.41424e-05-0j 0.00359999-0j -0.000608439-0j 6.09288e-09-0j 0.00449827-0j 2.6213e-07-0j 0.000844631-0j -3.63887e-07-0j 0.00105539-0j -4.54685e-07-0j 1.91716e-05-0j -0.000465677-0j 3.08256e-07-0j 0.0362247-0j -7.72566e-05-0j 1.76825e-05-0j 2.35353e-08-0j -1.73572e-05-0j -7.48754e-06-0j 0.00058245-0j 2.20229e-07-0j -0.000429509-0j -1.24219e-06-0j -2.49828e-05-0j 0.0334112-0j 0.000421606-0j 3.7842e-10-0j -1.60223e-05-0j -7.12561e-05-0j -5.34936e-06-0j -0.0327964-0j 0.000416123-0j 6.9945e-05-0j 2.17073e-08-0j 0.000606832-0j -8.87467e-07-0j -0.047205-0j 0.000389182-0j -2.13079e-08-0j -0.0302742-0j 0.000100674-0j 2.70356e-10-0j -3.06693e-08-0j 6.45658e-05-0j -1.96692e-08-0j 
-1.7698e-06-0j 0.00120564-0j -0.00118346-0j 0.000696124-0j -0.00467229-0j 1.22612e-05-0j -8.22952e-05-0j -0.000983521-0j 0.00660126-0j 0.000740941-0j -0.00826702-0j 1.23042e-05-0j -0.0010268-0j 0.000529354-0j -0.000137283-0j -0.000734845-0j -0.00590625-0j -1.70512e-05-0j -0.000918206-0j -0.000733582-0j 0.00819901-0j 0.00101835-0j 0.0102448-0j 0.00127246-0j -3.91338e-06-0j -0.00908784-0j -6.29225e-08-0j 7.72566e-05-0j 0.0350954-0j -3.60943e-06-0j -0.000132652-0j 3.54302e-06-0j -0.000146122-0j 1.24219e-06-0j -4.4954e-08-0j -0.00838199-0j 0.000564293-0j 5.09959e-06-0j 7.12561e-05-0j 0.00822777-0j -2.1329e-06-0j 3.27054e-06-0j 0.0323696-0j -0.000104394-0j -6.9945e-05-0j 8.87467e-07-0j -0.031774-0j -0.000122349-0j 0.0118425-0j 0.00040315-0j -0.000100674-0j 0.007595-0j 0.000120098-0j -6.45658e-05-0j -0.0457335-0j -1.52381e-06-0j 0.000172862-0j -0.0293304-0j 0.000110862-0j 
-8.849e-07-0j 0.000298258-0j -0.00029277-0j 0.00105142-0j 4.99205e-05-0j 1.85192e-05-0j 8.79273e-07-0j -0.0014855-0j -7.05303e-05-0j -2.542e-06-0j -0.00617793-0j -4.22127e-08-0j 5.38893e-06-0j -1.81609e-06-0j -0.000102591-0j 2.52108e-06-0j -0.00441372-0j 8.94893e-08-0j 3.15015e-06-0j 3.85004e-06-0j 0.0061271-0j -5.34459e-06-0j 0.00765595-0j -6.67819e-06-0j -1.95669e-06-0j 1.54261e-05-0j -3.14612e-08-0j -0.0112076-0j -0.00113271-0j -1.80471e-06-0j 4.61701e-07-0j 1.77151e-06-0j 2.48033e-07-0j -0.000180205-0j -2.2477e-08-0j 1.42279e-05-0j -1.82127e-05-0j 2.5498e-06-0j -0.0103371-0j -1.39661e-05-0j 7.4236e-09-0j 1.63527e-06-0j -0.00104474-0j 1.77203e-07-0j 0.0101469-0j -0.000128744-0j 0.00102551-0j 4.25841e-07-0j -2.0102e-05-0j -1.30118e-05-0j 0.0146048-0j -1.28921e-05-0j -4.18006e-07-0j 0.00936655-0j 0.00147606-0j 5.30368e-09-0j -6.01651e-07-0j 0.000946645-0j -3.85858e-07-0j 
