-0.0140899+0.0124164j -0.0493465-0.0736632j -0.0265253+0.0234062j -0.027319+0.0395702j 0.0145696+0.0217818j 3.95575e-05-0.0265996j -0.0042703-0.0279903j 0.0608809-0.0113j -0.004265+0.0476493j -0.0223707+0.00252017j 0.0127673-0.00230566j 0.0163519+0.0100299j -0.00979211-0.0248676j 0.0196065-0.00618792j 0.0193327-0.0123485j -0.0126973-0.0237449j 0.0019312+0.00323069j -0.0261911+0.022831j -0.00197833-0.0134822j -0.011953-0.0133242j 0.0174777-0.0140157j 0.0418067-0.0148696j -0.0341257+0.0530918j -0.0166598+0.0338558j -0.00944049-0.0511086j -0.0151387-0.0519975j -0.0840231-0.0222572j 0.0110473+0.00952518j 0.0082337+0.0374761j 0.0248557+0.0729024j -0.0136436+0.0111962j -0.0146442-0.0109823j -0.0158702+0.032225j -0.0121785-0.000745421j -0.00118352+0.0230871j -0.000504936+0.0199243j -0.0167939+0.015105j 0.0167621+0.043509j -0.0254431-0.00326332j -0.0226887-0.0260526j -0.024182+0.041088j -0.0190676-0.111481j 0.0729584-0.0284813j 0.010068+0.00671101j 0.0794578+0.0394823j -0.0400525-0.0107661j 0.0441602-0.0314015j 0.0584814+0.0289836j 0.0623347-0.0207923j -0.00590112-0.027629j 0.0809744-0.00166235j 0.10434+0.0864128j 
-0.0543808-0.104668j 0.0223352+0.00201898j -0.0451716+0.0344593j 0.109592-0.00995647j -0.036866-0.0638996j -0.0327857+0.0634384j -0.0143503+0.0564817j -0.0590528+0.050873j 0.0377933-0.110905j 0.00318757-0.107608j 0.0266436-0.0247355j -0.10323-0.0694082j 0.0358722+0.00155317j 0.0113157+0.00388523j 0.103169-0.0177729j -0.0451278-0.0243448j -0.0176436-0.082254j 0.0354528-0.0530259j 0.0933917-0.00547464j 0.0872757+0.105524j 0.00706498-0.0191892j 0.0468346+0.0172183j 0.0209446-0.156313j 0.105276+0.00529303j 0.0116259+0.10971j -0.0801295+0.13241j -0.0112159+0.0896995j 0.0523028-0.0249288j -0.0156007-0.00717142j 0.0167125-0.136221j -0.0867297-0.00356512j 0.109173-0.053182j 0.0602668-0.0794213j -0.0503788-0.153121j -0.0262527-0.0160219j -0.124587+0.0664028j -0.0258922+0.135262j -0.0481814+0.0370745j -0.0318033+0.00657853j -0.0797347+0.0690747j 0.0418944+0.0876404j 0.0256273+0.099439j -0.0144958-0.114565j 0.0080636+0.0833795j -0.0646559-0.12842j -0.053261-0.0341158j -0.0636224+0.0217427j 0.033417-0.0428163j -0.0245301+0.139278j 0.0127779+0.0252461j -0.0206448-0.0576838j 0.0205163-0.139539j 
0.0635724+0.0160262j -0.00744503-0.0076123j 0.0607975-0.00797595j -0.0227462-0.0468715j 0.0204134+0.080134j -0.00209703+0.0908006j 0.0440887-0.026507j -0.0535835-0.0144938j 0.0955963+0.00917185j -0.000174758+0.00642183j 0.0850156+0.0575882j -0.0950786-0.0793176j 0.0364171+0.00326242j -0.0488699+0.0417855j 0.11483+0.0859013j 0.00963839-0.00748959j -0.0276884-0.0640322j 0.00297358+0.00783398j -0.032149+0.0173795j 0.101472-0.0410871j 0.0120078+0.0586749j 0.00508185+0.238621j -0.042502-0.0710606j -0.0134814-0.112702j 0.0387569+0.0381521j -0.118445-0.0294526j -0.0789331-0.0201345j 0.056981+0.052153j -0.0629062-0.0152348j -0.0560643+0.0670193j 0.0108539+0.00906386j -0.00983259-0.0360747j -0.00535491-0.111724j -0.0144181-0.0438229j -0.0385014+0.0430646j 0.0196173+0.0139295j 0.0433056-0.0162639j -0.0379774+0.0498434j -0.0206433+0.0543146j 0.057406-0.116896j -0.057459-0.0666499j 0.108748-0.0347063j 0.134205+0.0842023j -0.0543362-0.0468595j -0.0730974+0.0925331j -0.00378792-0.0426555j 0.0170848+0.0399228j 0.0610677-0.0488516j 0.108372+0.0151414j -0.0261867-0.0590301j -0.0152426+0.0838554j -0.00293518+0.0233935j 
-0.0558876-0.0428182j -0.0356173-0.0248723j 0.0114507-0.0015264j -0.0594888-0.0880027j 0.0449303+0.00271156j 0.109593-0.00987186j -0.0228418+0.0291455j 0.0267233-0.0140606j -0.0918801+0.0306759j -0.0742168+0.0715826j 0.167528-0.0837179j 0.106207+0.0254353j 0.0256965-0.0693469j -0.0261637-0.0180927j 0.0721122-0.102366j -0.0980448-0.0466065j -0.127473+0.0908365j -0.0125096-0.0130751j 0.020748-0.145959j -0.0188779+0.169358j -0.0861094+0.0210072j 0.0568798+0.124408j 0.109675+0.142906j 0.0406232-0.0663013j -0.0192003-0.0677683j -0.118353+0.00172191j -0.110539-0.100251j 0.108357+0.0886441j 0.0346442+0.109564j 0.0444419-0.017965j -0.0157463-0.0760398j 0.0413117-0.0743042j -0.0259147+0.0198049j -0.0276462-0.0999563j 0.0624012+0.128233j -0.00114087-0.0395472j 0.0738592-0.052673j -0.022637+0.147524j -0.0341736+0.0621589j -0.0305136+0.165965j -0.0306806-0.139918j -0.0145094+0.104685j 0.0161216+0.0558797j -0.0254667-0.0490944j -0.0264775+0.00537336j 0.0442131-0.0441641j -0.0354722-0.0287306j 0.0206665+0.234117j 0.0385534-0.0208606j -0.054377+0.0107841j 0.0239624+0.00917238j 0.0606173-0.0287416j 
-0.0638101-0.0414067j -0.0799401-0.0132152j 0.0109168-0.0337562j -0.00820276-0.00176274j 0.0560857+0.0207186j -0.0292277-0.0916194j -0.0199857+0.00854161j 0.0147688+0.0666698j -0.0511728-0.0706124j 0.0274324-0.0366305j 0.0605519-0.0869315j -0.0216853-0.0447695j -0.00986565-0.104581j 0.156353+0.0799029j 0.0538874-0.0899393j -0.0680872+0.0644099j -0.0067626-0.0223705j -0.1625-0.0170091j 0.055611+0.152585j 0.0173878+0.0650869j 0.00134589-0.213364j -0.0407579+0.0301565j 0.0192398+0.0184891j 0.0186473-0.0277592j 0.0334702-0.00121288j 0.0281866+0.0763392j 0.0936208-0.124249j 0.0395993+0.056607j 0.00967318-0.00761424j 0.0537451+0.179123j 0.134793+0.12545j 0.0200047-0.097557j 0.0448628+0.026426j -0.013162+0.00137912j -0.00462262+0.0238633j -0.102363-0.0160735j -0.0455594-0.0272225j 0.04715+0.118843j 0.0787459-0.105849j -0.0133349-0.128546j -0.0553741+0.0576741j -0.0330334-0.168636j 0.0165917-0.0912559j -0.0170477-0.094456j -0.0822061+0.0263792j 0.18362+0.0382861j -0.00942825+0.00284437j 0.0171654-0.0240724j 0.0480697-0.0174823j -0.0252208+0.000578331j -0.0176814-0.0373637j 0.0581802-0.0138628j 
-0.0498926-0.0430273j 0.00847478-0.00611959j -0.13562-0.0992469j 0.12348-0.0396262j -0.0169852-0.0454905j -0.135452-0.00540485j 0.042926+0.0364267j -0.014237-0.00919582j -0.0454721-0.0620898j -0.119358+0.00301025j 0.0594513+0.0571052j -0.0483407-0.0659873j -0.0568737-0.0571971j 0.029222-0.0590674j 0.0167655+0.0396621j 0.00122732-0.0611532j -0.074987-0.00289317j 0.033365-0.118008j -0.0433196+0.0415434j 0.0519531-0.0553453j 0.00174599-0.0713924j 0.0361787+0.0340937j 0.139281-0.108594j 0.0528314-0.12854j 0.0531812-0.00743234j 0.00252978+0.066682j 0.0130433+0.044784j 0.149732-0.0620143j 0.0670148-0.0369991j -0.0237694+0.197146j -0.106671-0.0707497j -0.0593257+0.0301995j 0.124346-0.0503342j -0.0262303+0.0385469j -0.0949747-0.0955604j -0.135027+0.0821359j 0.0214604-0.0398448j -0.0177582-0.0993189j 0.0533593+0.0962565j 0.0938183-0.178097j -0.082815+0.0740863j -0.121041-0.0992475j -0.190576-0.0416037j -0.0748992+0.172614j 0.023115+0.149067j 0.0346102-0.0729341j -0.0459576-0.0153891j -0.0375275-0.0199414j 0.0811706+0.027136j -0.0160291-0.0338775j -0.00119496-0.0248176j 0.0126422-0.00451035j 
-0.0214815-0.0295555j 0.0022905-0.0473002j -0.0676447+0.0555894j -0.0273127+0.0127114j 0.00735206-0.0195932j -0.0280229+0.0909471j 0.0372277-0.0219185j 0.0170541+0.000641187j -0.0308102-0.0495864j -0.0182514-0.108756j -0.103888+0.0555891j -0.0395599+0.00911473j -0.0163816-0.00954618j -0.0484567-0.0340933j -0.0292107+0.0179409j 0.104452+0.000836916j 0.0696437-0.00568034j 0.0154995-0.0920628j -0.079831-0.0227655j -0.101183-0.0137331j 0.120662+0.0129445j -0.0636857+0.0668779j -0.10811-0.0248413j -0.0478406+0.0100413j 0.00475795+0.011787j -0.00351896-0.030177j -0.0361221+0.00108156j -0.0104353-0.0547518j 0.0363571-0.0379102j -0.024011+0.0082203j -0.0296655+0.0136437j 0.0413112+0.0480678j 0.0115386-0.00650675j 0.00668673-0.00705896j -0.0277745-0.0809326j -0.036645+0.145161j -0.0035008+0.0582067j 0.0773114-0.0902904j 0.0495034+0.150361j -0.000924639-0.0500113j 0.104787+0.0668517j -0.0389186+0.031787j 0.065087+0.0560407j 0.0125222+0.0422545j 0.0473832+0.0212635j -0.0305415-0.0335564j -0.040635+0.0642006j 0.030002+0.0418055j -0.0131783+0.0347524j -0.0306529+0.0712891j 0.0301199+0.0359673j -0.00534952+0.022415j 
-0.0171513+0.0268895j -0.0303194+0.0402244j -0.0500266-0.0289586j 0.0191489+0.0598943j -0.0351365+0.0586096j -0.0126955-0.0748719j -0.0596076-0.02348j 0.0791267+0.0740117j 0.0773279+0.00899272j 0.0423143-0.0076575j 0.0602957+0.0289807j 0.0126884+0.0780283j 0.0149634+0.0310049j -0.0689521-0.0531263j 0.0750912+0.00707942j -0.181838+0.0380276j 0.0833369-0.0620213j -0.0340021+0.0110295j 0.00371564-0.11605j 0.227584-0.187978j -0.0110655-0.0807157j 0.0881256-0.128873j -0.0829819+0.0566098j 0.0237829+0.0410271j 0.0125931-0.105143j 0.0106344+0.0845992j -0.0311708-0.0187907j 0.0819395-0.083957j -0.00372052-0.0163663j -0.0199877+0.0142814j -0.0359948+0.0291369j -0.0767701+0.142189j -0.0425443+0.00674765j 0.0389957-0.064092j 0.0315804+0.0210128j 0.107808+0.022566j 0.0998639+0.102525j -0.00737058+0.161871j -0.0334705-0.0351842j -0.0430303+0.0108213j -0.0862979-0.0146317j 0.0353757-0.0386604j 0.118327+0.0565782j -0.0266704-0.017086j 0.137503-0.180258j 0.0640842-0.0578088j -0.0381547-0.0110209j 0.0216002+0.0412919j 0.0412721-0.100596j 0.0211592+0.0776347j 0.0297942+0.0200314j 0.0558227+0.0417952j 
-0.0220211-0.0231645j -0.0224556+0.0217376j -0.0473858-0.0532751j -0.0117338-0.0489474j 0.0459397-0.0563258j 0.031451-0.0682129j -0.0130586+0.12006j -0.0286447-0.101124j -0.00906581+0.0495999j 0.125563+0.0670397j 0.0620986+0.0784481j -0.138451+0.00465698j 0.00812957-0.215287j 0.020528-0.101822j 0.134125+0.273569j 0.100685+0.0376454j -0.0606589-0.0854995j 0.0264427+0.121327j 0.0537307+0.0898374j 0.0724889-0.0979476j 0.0666141-0.0630063j 0.106162-0.113643j -0.0342595-0.000400034j 0.0362674-0.0366127j 0.0625283+0.0558369j 0.13554+0.0151339j -0.0217361-0.127513j -0.0307713+0.0858505j 0.0943767+0.0310223j -0.000973158-0.117486j -0.0704489-0.0658029j -0.00537596-0.118775j -0.182937+0.0080213j -0.0292488+0.100949j -0.0307002-0.113182j -0.062508+0.0460916j 0.0255963-0.00901081j -0.0538929-0.107404j -0.0285837+0.0184289j -0.0210708-0.0379352j 0.00134422+0.0164176j 0.139425-0.0487976j -0.0666861-0.103318j 0.0567461-0.0415182j 0.0405215+0.0110968j -0.0310353-0.0188181j 0.00326919-0.0041116j 0.0102064-0.00712373j -0.0510138+0.0440776j -0.0127853+0.0771637j 0.0247509+0.00182193j 0.0271017-0.0167798j 
0.0685338-0.0332386j 0.00167417-0.0147131j -0.0639718+0.0970853j -0.0281166-0.0530384j 0.0582426+0.0314892j 0.0173783+0.0389451j 0.0850045-0.033176j -0.0647613-0.0373755j -0.0865687-0.0698375j 0.000994969-0.0252511j 0.0234276+0.0594852j 0.00332349-0.0462172j 0.159109-0.142967j -0.0400619-0.0403351j 0.0584324-0.0569995j -0.0468245+0.0366309j 0.0713958+0.0216184j -0.0762696-0.123174j -0.0628771-0.0208337j 0.0540164+0.00361746j 0.0437852-0.121658j -0.0630622+0.0547266j 0.06952+0.0234882j -0.0521937+0.0438085j 0.128018-0.0235866j -0.0434935-0.00720665j 0.0757961+0.0330885j -0.0313488+0.0550759j 0.0155762-0.161203j -0.0413457+0.0364458j -0.103405+0.135757j 0.00133657-0.0457884j 0.0570973-0.146079j 0.0320648+0.042881j -0.142293-0.0262557j -0.0968213-0.136708j 0.105871-0.0844555j 0.0962121-0.0306495j 0.0518654-0.227388j 0.00890366-0.0834698j -0.00698073-0.0839529j 0.00289709+0.0207916j 0.0664484+0.0268385j 0.0556178-0.0113857j 0.0671784-0.0590256j -0.0677128+0.00914197j -0.0112351+0.0817011j 0.00769508-0.0122625j -0.011502+0.0558849j 0.0277847+0.0710631j 0.0336106-0.0201733j -0.00482321+0.0208718j 
-0.0837429-0.0154978j 0.0268002-0.0969173j -0.0536628+0.0948986j -0.0357079-0.0277146j -0.101276+0.00802265j -0.0950276+0.0355408j 0.0874776-0.0110378j -0.00602179-0.101793j -0.0156462+0.136262j 0.0400591+0.0474952j -0.151691+0.173561j -0.0552834-0.0565745j 0.149151-0.114225j 0.112871+0.0138985j 0.0126761+0.0383157j -0.00857612-0.0624791j -0.131287-0.10511j -0.0253878+0.119272j 0.123214-0.0474109j -0.0633652+0.0296194j -0.00487008-0.0628365j -0.0747745+0.0170054j -0.0254418-0.0282445j -0.0921068-0.0338564j -0.017989-0.0530555j -0.0348881+0.0219591j -0.0110844+0.0462502j 0.0347745+0.0185581j 0.0874041-0.00505145j -0.0504008-0.12854j 0.0461026-0.0980744j 0.0438907-0.11285j 0.0304627-0.0131658j -0.0265775+0.00122269j 0.0402784-0.0586069j -0.0585129-0.072158j 0.0895747-0.0141988j 0.0696924+0.0713789j -0.025758-0.0774944j -0.0195124-0.0819591j 0.00911102+0.0295384j 0.0193666+0.0197464j 0.0117041+0.0318371j 0.0520799-0.00469967j 0.0363672-0.127316j 0.0436962-0.165473j 0.0394481-0.0555535j -0.083855-0.0675934j 0.0586571-0.105789j -0.0411023-0.0310624j 0.0128102+0.0494676j 0.0708969-0.0293478j 
-0.0408288-0.0134538j -0.0131144-0.0517563j -0.00393436+0.0713665j -0.0302431-0.110862j 0.0269283+0.0848959j 0.046081-0.0192822j 0.0658333+0.0819262j -0.0797301-0.0671157j -0.000293998-0.0815193j -0.053403+0.0955689j 0.0439807-0.0160104j 0.0160562-0.0386252j 0.0823749-0.0448566j 0.0641067+0.0448124j -0.0462572-0.0208366j -0.0603337+0.0361234j -0.0291982+0.0709515j -0.0535808+0.0718214j -0.0274752+0.0632144j -0.0645893+0.0145675j 0.0329133+0.02985j -0.0505426+0.0875885j 0.0627996-0.023116j -0.00816734-0.0838529j -0.0415304+0.0810359j -0.0859334-0.0409908j -0.115277+0.0466827j -0.0548841+0.0314943j 0.0453131+0.0719659j -0.00733684+0.108042j -0.046115+0.0607444j 0.156958+0.0013326j 0.130184-0.0733639j 0.0427347-0.0583931j -0.0953074+0.014034j -0.040292+0.131443j 0.0576779+0.0650799j 0.0450249+0.0250964j -0.0574458+0.051053j -0.0109328-0.0456452j 0.082476-0.0296154j 0.0252845-0.0238998j 0.051745+0.0463308j 0.0320384-0.0207238j -0.0658764-0.00713348j -0.0742643+0.0233594j 0.0128503-0.0433199j 0.0447829+0.0768231j 0.0831429+0.0033139j -0.0223398-0.0673405j -0.00514699+0.0554046j 0.0878932+0.0011137j 
0.0101026+0.0387521j 0.0393922+0.0616927j 0.0431273+0.019502j 0.0899731-0.0514277j 0.0686555+0.016076j -0.0869075-0.0182766j -0.0874075+0.0228187j 0.0634958-0.0617701j 0.0408962+0.0756091j -0.0730067+0.00343041j 0.0166111-0.036544j -0.000840163+0.148852j -0.0880894+0.00110065j -0.0471944-0.0147949j 0.000471829+0.0398693j 0.0225542-0.0245546j -0.0279576+0.00137863j 0.0490488+0.0108746j -0.102539-0.130828j 0.0170832+0.045921j 0.0468645-0.0221692j 0.0639346+0.0441139j -0.0481048-0.0334196j 0.0826995+0.00971123j -0.0607352-0.0252744j -0.0758885+0.0267013j -0.0365905+0.0428726j -0.0166923+0.0643122j 0.0138183-0.102612j 0.0779785+0.0983411j 0.00175023+0.0392621j 0.004257+0.0225189j 0.0173081-0.105492j -0.0453516+0.147332j -0.0404486-0.0526128j 0.0334844-0.0934946j -0.0849601+0.0475895j 0.0776779-0.103184j 0.0114914+0.0232259j -0.00508316+0.0065579j 0.0390885-0.00190775j -0.141932-0.141795j 0.0388918+0.0145981j -0.0226651-0.0109223j -0.000633167+0.0555996j -0.033401+0.0364282j -0.0592615-0.0467038j 0.0807666+0.0194554j 0.0747533-0.0626816j 0.0445993-0.0514322j -0.0895756+0.00208445j 0.0812421+0.0670077j 
0.139286+0.0943285j 0.0718721+0.145605j 0.0146847+0.00280022j 0.0422111-0.00671779j 0.0109103+0.0470691j 0.00372212-0.0926357j 0.00451437+0.0853925j -0.00907866-0.107883j 0.0755112+0.00396908j -0.00584126+0.079741j -0.0556498-0.0399987j 0.0641859+0.0595928j 0.0611712-0.0290274j 0.0936222+0.0522749j -0.169346-0.0120508j -0.0745386+0.119362j -0.0370212+0.0826331j -0.00189002+0.0932027j -0.0386355+0.00863576j -0.0380066+0.0367729j -0.0121424-0.0498281j 0.00686628-0.12946j 0.0258122-0.00892506j -0.121545-0.0731883j 0.0209532-0.0144917j 0.0676113+0.0226981j 0.0766689-0.0194524j -0.0890093+0.124987j 0.03116-0.0360931j -0.0456673+0.16019j -0.039399+0.0623819j 0.0122506+0.123127j 0.0839437-0.144332j 0.0329228+0.0667314j -0.112166-0.0741227j 0.0891996-0.0693956j -0.0490954+0.0297945j -0.00398178-0.0446268j -0.0641955-0.0415256j 0.0308928-0.0929752j -0.0724472-0.0361968j -0.0102409-0.0329452j -0.0841502+0.00696159j 0.0413648-0.00179195j -0.0514358+0.0145203j 0.0209233+0.0814132j 0.00333926-0.0499677j -0.051788+0.0324043j 0.012845+0.0200846j 0.0312073-0.0331914j -0.00647696+0.0328235j -0.0547813-0.0314856j 
-0.073678+0.0899265j -0.163624-0.163078j -0.0180219-0.190965j -0.0156662-0.124573j -0.166726+0.127899j 0.00691324-0.0937207j 0.0671913-0.0236113j -0.0742432-0.00728923j -0.0787177-0.198984j 0.0745235+0.178406j 0.110116-0.0992022j 0.0204489-0.192068j -0.0700796+0.125073j 0.0522983-0.0482121j -0.0251994-0.0110197j -0.0515432-0.12686j 0.0468299-0.0244941j -0.0350976+0.0150107j 0.0662906+0.0299664j -0.0371072+0.00180553j -0.0576624+0.0259156j -0.0284847-0.0323784j 0.108328+0.0057484j 0.00487017+0.0329756j -0.160346-0.0425635j -0.0151197+0.0135493j 0.0172113+0.038677j -0.00914721-0.00956146j 0.0244926+0.124077j -0.0562491-0.0523692j 0.0259674-0.0781101j 0.117644+0.000630436j -0.105503+0.182305j -0.0588679+0.0728665j -0.0756765+0.138704j -0.026325+0.0949627j 0.0381044-0.0553229j -0.0994891-0.0397304j -0.0399281-0.0580318j -0.0127625-0.0885797j -0.0116159+0.0377627j 0.0102909-0.0383445j -0.0331331-0.0492324j 0.050925-0.000377881j -0.019371-0.00828732j 0.0404335-0.00968073j -0.0208758+0.00864222j 0.0306425-0.0132031j -0.064219-0.00235036j 0.0671664-0.0720107j -0.0231201+0.0186019j -0.000921955+0.0352881j 
0.0324583+0.0443558j -0.0148438+0.0560247j -0.00676991-0.126059j 0.0526763+0.0540878j 0.00541088-0.0203984j 0.0205393-0.0738969j 0.00014626+0.067332j 0.0464253+0.0448204j -0.0343197-0.00508897j 0.00501386+0.0224734j -0.00778312-0.098932j -0.0379451+0.00334485j -0.0016189+0.00101964j 0.0534705+0.0255804j 0.00233982-0.0201314j 0.0968846-0.0116418j 0.033207-0.0219034j 5.13866e-05-0.0551078j -0.0204252-0.0575289j 0.0275684+0.00128658j -0.00687107-0.0673059j 0.0180978-0.0338098j 0.0272913-0.113311j 0.117058+0.0271893j -0.0815046-0.0399183j 0.0448072+0.0534147j -0.0685184-0.0111347j 0.00883347-0.0108821j 0.00415092-0.0150596j -0.0614379-0.0395587j 0.0111294+0.039984j 0.0379372-0.00527628j -0.0813822-0.0564577j 0.00320787+0.0608032j -0.0287997-0.0500686j -0.0877443-0.019559j -0.159463+0.0170182j -0.0552389-0.0214609j -0.0168237+0.0357875j -0.0260172-0.037082j -0.0590911+0.00851115j 0.0917533-0.083438j -0.000344569+0.0362538j 0.0311419-0.0484202j -0.0394581-0.0121444j -0.048874+0.0326522j 0.0663732+0.0382878j -0.0229128-0.0266488j 0.0469285+0.0373452j 0.0358642+0.101769j 0.0598617+0.112828j 0.0739377+0.000984989j 
0.0493686+0.0499591j -0.000599377+0.0415693j -0.00185681-0.0109917j 0.0294206+0.054969j 0.00800738-0.00499258j 0.0323819+0.00339002j 0.013579+0.0882433j 0.00989636-0.00683553j -0.0146116-0.0687184j -7.23836e-05+0.0327063j 0.00943357-0.0589428j 0.0664215+0.0214354j 0.0370217+0.0133395j 0.105469-0.0300491j -0.0324815-0.0460258j 0.00747377+0.0348018j -0.0256782+0.0702244j 0.0130642-0.0441696j 0.0181374-0.0242812j -0.0219759+0.0850615j -0.0262391-0.0341962j -0.00588967-0.041971j 0.0143276-0.0141331j 0.0032235+0.000763208j -0.0235682+0.0096254j 0.0863414-0.00221948j -0.0875509-0.0522307j -0.0291757+0.0408604j 0.0366134+0.0317867j 0.013569-0.00714004j -0.0304893-0.00639655j 0.0474314-0.0115775j 0.00669295-0.0542737j -0.021956-0.0536207j -0.053452-0.00559792j -0.00161527+0.0552283j -0.0188093+0.0647214j -0.0249249+0.0557398j -0.0381996+0.0466017j -0.00866059-0.00804149j -0.00770142-0.024966j 0.0221781-0.00994843j 0.00431288-0.0760606j 0.0191641+0.00272943j -0.0117892+0.0289439j -0.0350579+0.00257413j 0.0288861+0.00618929j -0.0188412+0.0338555j -0.00427738+0.0482256j -0.0107569+0.077128j 0.0440716+0.0499526j 0.0234136-0.00442112j 
-0.0719439-0.0395854j 0.00017545-0.0391883j 0.0063421+0.0801545j -0.045054-0.0063034j -0.017009-0.0296601j 0.00504278-0.0274744j -0.084139-0.0294001j 0.0108103-0.10606j -0.0596124-0.0432883j -0.0279024-0.0359209j -0.0229103-0.050865j 0.025107-0.00288888j -0.00493395-0.0616857j -0.0248494-0.026075j 0.00200711+0.0661275j 0.00722016-0.0435567j -0.0948422+0.102823j -0.0433545+0.0153421j -0.0330748+0.00519372j -0.0309648-0.0483201j -0.0241016+0.00609622j -0.0720731+0.0205683j 0.0290857+0.0349517j -0.0335592+0.00221246j 0.0182758+0.0490266j 0.0057778+0.0581313j 0.0462991+0.0226623j -0.0280953+0.0557578j 0.0546725+0.0321045j 0.0108309+0.0226911j -0.0114395+0.0162882j 0.010426-0.019706j -0.0273764+0.0670615j -0.0118849-0.0178288j -0.0295114+0.0120587j 0.0253643+0.00413658j -0.0133202+0.0249264j 0.051682-0.0585623j 0.0576839+0.0503328j -0.108029-0.0290055j -0.00351916+0.02517j -0.0797854+0.00684513j -0.0106438+0.0109343j 0.0311388-0.0294592j 0.00200285-0.0493751j 0.0436745-0.0423108j -0.109041-0.0325451j 0.026028+0.0595835j -0.084163-0.0134697j 0.0718516-0.000378495j -0.0925515-0.0467441j 0.0531123+0.0495855j 
-0.0115798-0.0279306j 0.0127919-0.0409563j 0.0537513-0.0362293j -0.0168463-0.0163393j -0.00932912+0.039284j -0.0120931-0.0364669j 0.0191901-0.0719505j 0.0455807-0.0224077j -0.017735+0.109426j 0.02339+0.00662237j 0.0128885-0.0740634j 0.0354345+0.0564305j 0.0037935+0.00990524j -0.026822-0.0308921j -0.0491664+0.0219502j 0.0546903-0.0257246j -0.0133047+0.0368468j 0.0293108+0.0698635j 0.00575087+0.0287932j -0.056162-0.0180907j 0.0323626+0.0183188j 0.0149329-0.0138293j 0.00697503+0.067221j 0.0440395+0.00688977j 0.0804897-0.0558543j 0.0100526-0.0392422j 0.0225925-0.0145104j 0.0692158-0.0819416j 0.0584691+0.0294841j 0.0193765-0.043139j -0.00739448-0.0535434j -0.0354103+0.00913372j -0.0227304+0.0474659j 0.0321446+0.0430629j 0.00391231+0.0614362j 0.0278279-0.0122589j 0.0235149-0.0395049j -0.00671214+0.0228581j -0.0330447-0.0179899j -0.025814+0.0379411j 0.0145634-0.0782296j 0.0714413+0.0113331j -0.00294858+0.0328319j 0.0245291+0.0335692j -0.00113692+0.0139879j 0.00472973-0.00654132j 0.0355226-0.00431742j -0.0248271-0.00523107j 0.0076185-0.0144127j -0.00350619-0.0158712j 0.0231873+0.0242713j 0.0313833-0.00711342j 
-0.0127673-0.0108612j -0.00961115-0.0136331j 0.0361862+0.0025854j -0.0267402-0.0332002j -0.00456785-0.0137988j 0.0117184-0.0286908j -0.00354147+0.0395647j -0.00295246+0.0276172j 0.0175726-0.039151j 0.00547132+0.0198633j 0.0556093-0.0280503j 0.0264374-0.0158163j -0.00652984+0.0182834j 0.108872+0.00558329j -0.0351525-0.0327631j 0.000857152+0.0416385j 0.0650644+0.0486053j 0.0305668+0.0551529j -0.00849867+0.0640634j 0.0124882+0.0857978j 0.0678909-0.0578578j -0.0440155-0.0209684j -0.0168854+0.0556535j 0.0271246+0.0264534j 0.0305559-0.0265064j 0.0479358-0.0547296j -0.0559277+0.0446388j 0.0921234-0.0367879j 0.00633198-0.0405691j 0.0259112+0.00470804j 0.00766519+0.0432549j 0.0654186-0.0468837j 0.0376061-0.0169234j -0.0297812+0.038504j 0.0430369+0.0335171j -0.0262819+0.00766515j 0.0227158+0.0116278j 0.0263561+0.0692962j 0.0201584+0.0242875j 0.0132905+0.0162181j 0.0192682-0.00528901j -0.0175606-0.0210651j 0.0311374-0.0584143j -0.00771943+0.0153294j -0.0140228+0.0282242j -0.0355944-0.0710965j -0.0540943+0.0463272j 0.00681616-0.0490071j 0.0121459-0.0398953j -0.0478094-0.0046325j -0.0468509-0.00306926j 0.0466724+0.0169872j 
0.0101805-0.00574995j 0.0329611-0.0254062j -0.0570335-0.0435383j -0.0444408-0.00354951j 0.0176762+0.0345015j -0.0116598+0.0183394j -0.0283766+0.0208794j 0.0687254+0.0594441j -0.00563265-0.0587377j -0.00444445-0.0177625j -0.0462111+0.0272192j 0.0307199-0.0116906j -0.00343341-0.00485488j 0.0557784-0.00256899j 0.0442644+0.144761j -0.0201005-0.0208693j -0.0305927+0.0853084j -0.0904014+0.00821308j -0.0632803-0.0674797j -0.0355248-0.0845725j -0.0499591+0.0466365j -0.0997305+0.109158j 0.0670041-0.0077015j 0.192424+0.0402417j 0.0708142+0.0172512j 0.120626+0.185664j 0.0476251+0.050705j -0.0290002-0.0462104j 0.0277918-0.0957142j 0.070937-0.142913j 0.050867+0.0157408j 0.00882768+0.0397466j 0.0465829-0.037915j 0.0381967+0.00664142j 0.0288479-0.093714j 0.0227724+0.061491j 0.0577556-0.0406951j 0.0613693+0.0455643j -0.0196894-0.0181026j -0.0843779-0.0327784j -0.0930032-0.0959885j -0.0564058-0.067773j 0.0134658-0.0108539j 0.102248-0.013306j -0.0902356-0.0400574j -0.00753747-0.0699922j -0.0936118+0.00888385j -0.00184155-0.0922493j 0.020011-0.0270305j 0.104972-0.067038j -0.170393-0.0651579j 0.00756911+0.199734j 
