0.00520903+0.0112386j 0.0970549+0.131552j -0.0537303+0.116186j -0.0308107-0.00421039j 0.0345558+0.0332466j -0.0178806+0.0545557j -0.00673715+6.06455e-05j 0.0151687-4.72099e-05j 0.0412177+0.00307162j 0.0193245+0.0304079j 0.0774443+0.0133003j -0.0151329+0.0165883j 0.0359874+0.00359684j 0.0113795-0.00453883j -0.00378471+0.0426472j 0.0199158+0.00905592j -0.0258852+0.0180462j -0.0142046+0.0367494j -0.00630815+0.0143483j 0.0851101-0.0116052j 0.0180236-0.00910845j 0.0126564+0.0553007j -0.00351841-0.00364903j 0.0281997-0.00957569j 0.00744433+0.0286711j -0.0367303-0.0455674j 0.0207709+0.0349521j -0.0637142+0.00214361j 0.0927934+0.0139581j -0.00949728+0.00620286j 0.030018-0.0179986j -0.0116437+0.0128494j -0.00922292+0.0180045j 0.0270595+0.0152403j -0.0314544+0.00853241j -0.0190037-0.00636139j -0.00375387+0.0217803j -0.0135244-0.00116895j 0.0105101+0.0331268j 0.00119903-0.0130874j -0.0594496+0.0227085j -0.0201139-0.00188687j 0.00307882-0.00795991j -0.00696225-0.00863181j -0.00241142+0.00725973j 0.0357325-0.0232268j -0.00082701+0.0287047j 0.0206584-0.00992224j -0.0124275+0.0374231j -0.00607465-0.0146822j 0.0396871+0.00135929j 0.0230277-0.0103782j 0.0424072+0.0514191j 0.00345092-0.00627156j 0.0082136+0.0396268j -0.00333081+0.00384573j 0.000502658+0.0143535j 0.0296338+0.0247733j 0.0304116+0.0924459j -0.0481461+0.10502j 0.073806-5.54413e-05j 0.0326389-0.0590697j -0.0149231+0.0508152j -0.0523861-0.0085324j -0.116149-0.0562882j -0.057732-0.0470656j -0.0623906+0.0125989j 0.0383761-0.0584756j 0.0378051+0.0604131j -0.0524606-0.102306j 0.0194154+0.00610193j -0.0188057+0.0134585j 0.0227991-0.0282629j 0.0201851-0.0103512j 0.0124424+0.0513007j -0.0362617+0.00983974j 0.00423349+0.0362359j 0.0109448+0.023505j -0.0377782-0.0206937j 0.00372662-0.0181863j -0.111948+0.0138307j 0.038909+0.25874j 0.102521-0.0392438j -0.141247+0.0733546j -0.208736-0.108191j 0.0878027-0.10433j 0.082069+0.048096j 0.0162108+0.0052703j 0.07251+0.00470324j 0.124469-0.0289054j 0.0606071-0.105195j 0.126264+0.169401j 
0.0339197-0.0115684j 0.0198164-0.0199892j 0.029197-0.0692433j -9.33767e-05+0.001889j -0.03145+0.0896145j 0.0402417+0.003394j -0.012591-0.0252296j -0.0555301+0.0335066j 0.00582721-0.0310271j 0.112104-0.0767729j 0.126616+0.0256846j -0.0508468-0.0899848j 0.0214684+0.0916399j 0.0471978+0.000121474j 0.0696252+0.022348j 0.0417463-0.175434j -0.193703+0.0127057j 0.097581-0.0368648j -0.0109852-0.191429j -0.0927867+0.071801j 0.0524925-0.00337459j 0.00432762+0.0533717j -0.0603419-0.0222331j 0.128318+0.0214369j 0.0140209+0.060993j 0.00809775-0.129001j 0.0207633-0.0195609j -0.0314318-0.0357023j 0.0149474+0.0159375j 0.0368555+0.0570595j 0.0140696-0.0300438j 0.0131653+0.102718j 0.0746076-0.00770897j -0.0198715+0.0493906j -0.00942893-0.0113184j 0.0602505+0.0498513j -0.09934+0.0667453j -0.00555433+0.0823955j 0.0256588+0.109493j 0.0502614-0.115833j 0.0456261-0.0292001j -0.0174852+0.0705856j -0.118257+0.0240333j 0.00465646+0.0392267j -0.0190644-0.0546802j -0.0626074-0.142906j 0.0158865-0.0483499j 0.106005-0.0145691j 0.0527313-0.0126515j -0.0258985+0.0539037j -0.0277203+0.143182j -0.00476845-0.0493039j -0.034144+0.102387j 0.0899369+0.00753724j -0.0538129-0.038801j -0.124164+0.0236129j -0.0785984-0.00341115j 0.0309899-0.067756j -0.0250388+0.0651764j 0.00593804-0.00318847j -0.0743218-0.0110929j -0.0218026-0.059338j 0.0207648+0.0452272j 0.0391876+0.0532082j -0.0390956-0.0223438j -0.004651+0.0117575j -0.0453397+0.0466023j -0.0309696+0.0210705j -0.0708826+0.0509883j -0.00726361-0.0709937j 0.0491078-0.0342664j -0.0548005+0.00359524j -0.0448237-0.0253619j -0.116253-0.0355889j -0.0290804-0.0133539j -0.0661168-0.0387j 0.0398167+0.0406001j -0.0133163-0.054444j 0.016766+0.00782025j -0.000147159+0.0288561j 0.001277-0.0470955j -0.00284672-0.032554j -0.0119115+0.0356183j -0.0102649-0.0493433j 0.0288781+0.0341565j 0.0128932+0.0195029j 0.00187833-0.0238673j -0.00247465-0.00224739j 0.0561788-0.0101323j -0.0206227+0.0195207j 0.00435015+0.0659758j 0.0519136-0.0181215j 
-0.00058593+0.0139135j 0.0529004+0.00731698j -0.0159708+0.00513466j 0.0311188+0.0180608j 0.0521888-0.0226942j 0.00919818+0.0797119j 0.0291914+0.0354503j 0.0227676+0.00517829j -0.0157996-0.0189875j -0.029131-0.0695029j -0.0106192+0.0758823j 0.074046+0.0497184j -0.00657047-0.0101192j 0.0515088+0.0792223j 0.00970276-0.0708044j 0.0399091-0.0019991j 0.000262591-0.00040083j 0.0223998+0.121605j 0.150062-0.103443j 0.023877+0.087j 0.0185656-0.0754j -0.0338031+0.151323j -0.0210873+0.0103549j 0.0177456+0.0959164j -0.0936827+0.0883519j 0.011304-0.0845673j -0.0261714+0.013098j 0.00895426+0.069844j -0.0134129+0.038702j 0.00349466+0.0713958j 0.00845013+0.079067j 0.00557804-0.00636712j -0.0441891-0.000159362j -0.0256614+0.0595005j 0.0114481+0.0736161j 0.104214-0.0190738j -0.0556703-0.042928j 0.0072142-0.0139388j -0.00385973+0.0134322j 0.0145545+0.0308753j 0.0995368-0.0363636j -0.0271552+0.0522579j 0.0998715+0.0967338j -0.0122775+0.0448558j 0.00951995+0.156398j 0.0685969+0.0698322j 0.103275+0.0810846j 0.00315724-0.109119j -0.00499856-0.0366523j -0.0119463+0.0274366j -0.0841516+0.0615747j 0.0376638+0.115159j -0.0321446-0.0834596j 0.0281934-0.0348792j -0.061944+0.00872018j -0.0322314+0.111138j -0.0687162-0.0452689j 0.0362832+0.0247044j 0.0231381-0.0503955j 0.00975179+0.0182896j 0.0357373-0.0125888j 0.0817153-0.0139095j 0.0258832+0.0278884j 0.0115995-0.0884433j 0.0469942-0.0370329j 0.0657476-0.0425199j -0.0402059-0.010076j 0.0365758+0.0290464j 0.0230384+0.0199624j -0.0824348+0.0777482j -0.0325713+0.10546j -0.00531608-0.00966004j -0.0270663-0.0142115j -0.0658776-0.130553j 0.00569679-0.0249834j -0.014402+0.0119026j -0.0893195-0.0878439j -0.107046+0.0840923j -0.0628073-0.0245654j -0.103296-0.0384793j 0.0576566+0.115281j -0.0463191-0.0242029j -0.00118108+0.0732528j 0.0718914+0.0835864j -0.0147993+0.0427514j 0.0376037-0.0235244j 0.0640674-0.0764625j 0.0365289-0.0687581j -0.0278875+0.0287856j -0.0867591-0.00184915j 0.185541-0.0188219j -0.014305-0.230493j 
-0.0253558+0.0174744j -0.0139092-0.0520992j 0.000638787-0.0696592j 0.0625094+0.0450311j -0.0607125+0.0430313j 0.0254791+0.0656809j -0.0366937-0.00273987j -0.0129869+0.0937573j 0.0750047+0.0834589j 0.0242976+0.0256235j -0.0647659-0.0748345j -0.016954-0.075259j 0.126132+0.0920723j 0.0417413-0.0208579j -0.0147858-0.044481j 0.0484309-0.0189372j -0.0574193+0.0273655j 0.0130625-0.0125899j -0.0150591-0.0139195j -0.0782309+0.049737j 0.13522-0.0741931j -0.00552219-0.0942932j 0.0617208-0.00459363j 0.075754-0.119546j 0.0116117-0.0453158j 0.024484+0.0409278j 0.00349661-0.120909j -0.0181806+0.0165084j -0.000434825+0.0536237j -0.0407632-0.105249j 0.00621594-0.0508358j 0.0107658-0.0444688j 0.0184914-0.113302j -0.0448665-0.066856j -0.0329754+0.0488309j -0.0674188-0.127327j -0.00452263-0.0808161j -0.126332+0.144149j -0.0375681+0.0352246j -0.0754187+0.133545j -0.0152593+0.197599j 0.0691453-0.0766812j 0.0188287+0.100167j 0.0339385+0.0596296j -0.00719708-0.104272j 0.0473288+0.0335953j 0.0907464+0.00108018j 0.0652325-0.0116525j 0.0961628+0.0587759j 0.0403979-0.0257074j -0.00686276-0.0103054j -0.0657628+0.0928424j -0.00381051-0.129398j 0.0135292+0.081916j -0.0643897-0.0171597j -0.0150503+0.0812821j 0.0595261-0.0193026j 0.00204004+0.112872j -0.0254287+0.0164351j 0.0247191-0.0855553j -0.0827809+0.0580502j 0.0502594+0.0465298j 0.0347071-0.0979333j 0.0418323+0.0326178j 0.0708397+0.0786666j -0.0372106+0.0219938j -0.00445858+0.0247091j 0.0206658-0.0255575j 0.0809025-0.0254349j 0.00703059-0.0454957j 0.0388676+0.0429195j 0.00825195+0.00827067j -0.0131064-0.0745104j 0.0325856+0.00420338j -0.0148894+0.0545143j -0.0449414-0.0982633j -0.0190532-0.0245374j 0.00911202+0.0288929j 0.0173229-0.056751j -0.0437571-0.12327j -0.0706028-0.0377047j 0.00808928+0.00693047j 0.0314143+0.00382406j -0.0453732+0.0399735j 0.0957432-0.0293402j -0.0681845+0.0140408j -0.0957604+0.209257j 0.0032278+0.069416j 0.017732-0.105688j -0.0897504-0.11265j 0.00235185-0.182003j -0.13896-0.0104505j 
0.0248015+0.0474401j -0.0304016-0.0302193j -0.03834+0.00420312j 0.0712662+0.0669073j 0.106284-0.0635939j 0.125885+0.0388293j -0.033878+0.0329599j 0.0674293-0.000846033j 0.116233+0.116559j -0.0274066+0.142381j -0.0808468+0.0617813j -0.140544-0.0500603j 0.0872648+0.0836123j 0.0705325+0.226392j 0.021012+0.0711148j -0.0294129+0.088467j 0.0150922-0.0658768j -0.0259331+0.107286j -0.0530135+0.0136926j -0.0380149-0.161768j 0.0536608+0.0969372j -0.0308199+0.0293279j -0.0158906-0.139157j 0.0329682-0.118124j -0.0379937-0.0421665j -0.00965286+0.0262095j 0.0507285+0.04643j 0.044888-0.0466446j 0.0126652+0.0105332j 0.0492859-0.0335015j -0.00895557+0.017272j -0.0374323-0.193471j 0.0170768+0.0415851j 0.0778029-0.103305j 0.0678619+0.04428j 0.0245896-0.147973j 0.0452371+0.0358823j -0.0102614+0.0494964j 0.0997911-0.115108j -0.170131+0.112473j -0.0617275+0.0436965j 0.0857003-0.0675167j 0.134324-0.0253046j 0.0149963-0.04381j -0.0028816-0.161793j -0.0329094+0.0183474j -0.0118806+0.0495944j -0.0433809+0.0347632j -0.0405704+0.0222624j 0.0237622-0.000822149j 0.0194234+0.0308544j 0.0879314+0.0185134j 0.0323204+0.0314279j -0.00780079-0.0101468j -0.000688106+0.0604453j 0.087939+0.0601651j -0.114732+0.0431584j -0.0331683-0.0126621j 0.0845894-0.0315526j 0.00538539+0.0504637j 0.0311182-0.0362441j 0.00720143+0.0463804j 0.0304647+0.0153649j -0.0161446-0.013675j -0.0468624+0.0190916j -0.00429471-0.0464217j -0.0283648+0.00330089j 0.0304069-0.0268607j -0.0243072+0.029234j -0.0183947-0.0288985j -0.0613481-0.0481932j -0.0405733+0.0414654j -0.0374007+0.0720924j -0.0268204+0.0433282j -0.029487+0.0267742j 0.00443705+0.02558j -0.0274467-0.0822488j -0.0648728-0.00614902j 0.0113384-0.00373856j 0.0218977+0.0359533j 0.0602319-0.00852628j 0.0179614+0.0115414j -0.0434035+0.0115521j 0.00869359-0.0368793j -0.0155552-0.0302152j 0.0111497+0.0656819j 0.00287264-0.074927j -0.0232459-0.0199497j -0.0672221+0.0712368j 0.0352715+0.111212j -0.0134214+0.0440431j 0.0556896+0.00495942j 
-0.0241649+0.011213j -0.0428408-0.0247514j -0.0258959-0.0544442j 0.0991583+0.0648461j 0.00450455+0.0266307j 0.00963957+0.059429j 0.00804057+0.0826818j 0.0377778+0.0165496j 0.056787+0.166326j -0.10241+0.0792794j -0.112398+0.0298328j -0.0106847-0.0779735j -0.0339346+0.0502173j 0.0199655+0.120235j 0.0421543+0.135473j 0.0205882-0.0100038j 0.0904961-0.0778711j -0.024324+0.0259516j -0.0766662-0.012672j -0.0725976-0.0537518j 0.0621441+0.118695j -0.0401678+0.049136j 0.0341299-0.032317j 0.028886+0.00242594j 0.0474056-0.0562796j 0.0462281-0.0271543j -0.0458803+0.0119218j -0.0107111+0.0602247j -0.0152508+0.00268027j 0.0273857-0.000969884j -0.0223284+0.113452j -0.041929-0.0512215j 0.0202514+0.0102032j 0.0417856+0.0600326j 0.0193942+0.0292067j 0.00481827-0.0145893j 0.0174534+0.045963j -0.123412+0.00827883j 0.00287526+0.0210924j 0.0307416+0.0167718j 0.00957099+0.11996j -0.12685-0.00415849j 0.0235964+0.0213308j -0.0420986+0.0773926j 0.0159007-0.00986981j 0.124935+0.0752919j -0.0255181-0.119104j 0.0203867+0.0219536j 0.112473+0.0151027j -0.0302613+0.0800628j 0.0343655-0.0564906j 0.0801388-0.0314924j -0.0341252-0.0415769j -0.069233+0.0437029j 0.0156961+0.00775665j 0.0363305-0.0571659j -0.0451374-0.0671663j -0.0454926-0.0770551j -0.028234-0.00384289j 0.00411513-0.0205755j 0.0433142+0.0833325j -0.0555541-0.0939481j -0.106262-0.0172238j -0.0229114+0.0351847j 0.020811+0.0104063j 0.0374922+0.0702759j 0.0321029-0.0159764j -0.0953523-0.00743478j 0.00437532-0.0234395j 0.0104536-0.0232769j 0.0445773-0.147726j -0.0682037+0.00180298j 0.025096-0.00956307j -0.0324934-0.0613435j -0.100362-0.0507106j -0.0614934+0.152324j 0.116288+0.101572j 0.042656+0.0195325j -0.0449778-0.0413742j -0.0606061+0.0444098j -0.0468666-0.037564j -0.0581592-0.0496969j 0.143815+0.00299869j -0.01382-0.0246295j -0.00993669+0.0807643j 0.00141758-0.0257391j 0.112904+0.0558438j 0.0753287-0.00538759j 0.173778-0.0753202j -0.062385-0.154759j 0.0852345+0.0656809j 0.00603848-0.0329986j 
-0.0762298-0.0209892j 0.0472506+0.00287365j 0.0106316+0.0525766j 0.0240618+0.0616871j -0.0572334-0.00178139j -0.0085261-0.0336161j 0.0348931-0.087755j -0.0198854-0.0115781j -0.0244468+0.0152849j -0.0428257-0.0193625j 0.0339684-0.097512j 0.0629158-0.0309808j 0.0393339+0.0085046j -0.0283256-0.0852461j 0.0469417-0.0575614j 0.0293182-0.0962685j -0.00988427-0.0959657j -0.0732352-0.108913j -0.0481423+0.0134522j -0.0582494+0.038597j -0.0833918-0.051786j -0.0827221-0.00953157j 0.0482134-0.0163051j -0.0144605-0.0149211j -0.0293139-0.0175448j 0.0140989-0.0388726j -0.0589642-0.00515313j 0.0502789+0.00518769j -0.0423933+0.0376246j -0.00505413-0.0618249j -0.102609-0.023618j 0.033931+0.0196355j -0.0257911+0.0550036j -0.0819804+0.0819929j -0.0223104-0.0879682j -0.0198562-0.0570708j -0.0273406-0.0405027j 0.0745641+0.0334662j 0.0308645-0.0514401j -0.128575-0.011655j -0.0140792-0.01854j -0.0203887+0.0179739j -0.117642-0.112344j 0.0455518+0.0140627j -0.0156201-0.0555886j -0.00199626-0.0102319j -0.126036+0.0272192j -0.0409866+0.0289453j -0.0927483-0.0596386j -0.0504143-0.0596372j -0.0863443-0.0645277j 0.0337165+0.0203903j 0.0502584-0.0408741j 0.116869+0.0162517j 0.0659329+0.0384467j -0.00214842+0.00244959j 0.0161507+0.0205855j -0.153289-0.0696781j -0.0703071-0.019017j 0.0282363+0.0116981j 0.00715757-0.0363355j -0.00412023+0.143224j -0.0169648-0.0161649j -0.0595245-0.0195099j -0.0370907-0.0440224j 0.0885641-0.0288882j -0.0109355+0.0384714j -0.0812605-0.00855073j 0.101776-0.0181316j -0.0281344-0.0269696j -0.0623355+0.0425078j -0.113502+0.12167j -0.0405044-0.152647j -0.0548611+0.0465828j -0.0967222+0.0199322j 0.0830722+0.0754161j 0.0996702-0.164536j -0.0984362-0.0973796j -0.0349007-0.0430313j -0.11354+0.0334692j 0.0249901+0.0208769j -0.00776733-0.0136866j 0.0652476+0.0265298j -0.0958996+0.00536419j 0.0280091-0.015217j -0.0643897+0.0332523j 0.163246+0.0383745j -0.0783863-0.0879605j -0.0626513+0.0672741j 0.111057-0.00879006j 0.0308247-0.08412j -0.0248967+0.048483j 
-0.0715451+0.0036938j -0.03251-0.020726j 0.0353459+0.00283536j 0.00295019+0.0755961j -0.0723756-0.0526379j 0.0555899+0.0489956j 0.0174351-0.0120225j 0.00189334+0.0058298j 0.000321727-0.0631978j 0.0186816+0.0098867j -0.0261258-0.00845236j -0.0345443+0.00918023j -0.0720364+0.0531736j 0.0239155+0.0255597j -0.0111754+0.0377699j -0.0338157-0.00581522j -0.0371211-0.0123941j -0.0100784-0.0955761j -0.063512-0.0620133j 0.0760939-0.00495678j 0.0251123+0.029064j 0.055319+0.0300116j 0.0146484-0.0530935j 0.000768619+0.0553177j 0.00919906-0.143738j 0.0217464+0.00883203j -0.00711875-0.0546043j 0.0348934-0.0358158j -0.0105175-0.0384176j -0.0336044+0.0183114j 0.0121253-0.00560259j 0.00990917+0.00636275j -0.0274659-0.00429265j 0.0423616-0.0196271j -0.0408128-0.0281205j 0.0489148-0.00469308j -0.0286668-0.0826746j -0.0208478+0.0242981j -0.0637172-0.0298241j 0.114448+0.00767941j -0.0632479-0.0822805j -0.0299837-0.0128322j -0.0221295+0.104423j 0.0706225+0.00204689j 0.0147314+0.0419876j 0.127228-0.0248474j 0.0187611+0.0598145j 0.0443976-0.0450293j -0.0155749+0.0500283j -0.0216825-0.0416349j -0.0273965-0.0661566j -0.0130414+0.0440704j -0.0497659-0.0153697j -0.0506415+0.0514175j -0.0161573+0.121286j -0.0421711-0.114234j 0.0352152+0.0062574j 0.0775696+0.0397253j 0.0468054+0.069349j -0.0970472+0.0165516j -0.0133295+0.0477029j 0.0599007+0.0537231j -0.0763952-0.0755331j -0.00624698-0.0507724j -0.0119741+0.0172244j 0.0206386+0.0182059j -0.0404273-0.0312112j 0.0159407+0.0709452j 0.00321424-0.0246166j 0.0151308+0.064146j 0.0922866+0.124163j -0.00376697-0.00121823j 0.0259344+0.084259j -0.0115853+0.104369j -0.0233995-0.0739533j 0.121268-0.0398433j -0.0348716+0.0947325j 0.105157+0.000309395j -0.00136371+0.0826489j -0.0548559+0.0623222j -0.0463479+0.0920428j -0.0733258-0.0788466j 0.0354336+0.0246183j 0.0244914+0.0305383j -0.0434147-5.62512e-05j 0.0178747-0.0366322j 0.0249973+0.0463287j -0.0048778-0.0424118j -0.0623018+0.165435j 0.082713+0.0773859j 0.0119401-0.00631276j -0.0474914+0.0167994j 
-0.0385657-0.0679148j -0.000729856+0.00265664j 0.0681997+0.055466j 0.0564722+0.0152227j -0.0495401+0.00288037j -0.0723411-0.00311535j 0.0864341+0.0207447j -0.00787675-0.0702077j 0.00858134-0.0322936j -0.00416099-0.0837701j 0.0243616-0.062744j 0.0424713-0.101477j 0.000700806-0.0153886j -0.0451533-0.0158409j -0.0533424+0.0302185j -0.0290896-0.0863129j 0.0401181-0.0106974j -0.0424657-0.0120557j -0.0205355+0.0933672j 0.0918069+0.0520417j 0.0872714-0.0300999j 0.11408-0.00634229j -0.0142354+0.0916738j 0.0191958-0.0340028j -0.0289812-0.0601461j -0.027161+0.00501297j -0.0570108-0.00190302j 0.0818454-0.054175j -0.125177-0.128754j 0.017641-0.01961j 0.0597489+0.00590145j -0.0495919+0.0253769j 0.0349546-0.0584787j -0.087811+0.00982962j 0.0672432-0.067876j 0.0357167+0.0182297j -0.0036724-0.00974829j 0.037498+0.0209998j -0.0827988+0.0246899j -0.0227605+0.0209647j 0.0502019+0.0207624j -0.0518982+0.0454082j -0.119789-0.0356381j 0.0846445+0.0888126j 0.0147927+0.0322831j 0.0566599+0.125617j -0.0309604+0.0222538j 0.00702458-0.0370851j 0.0115264-0.011669j 0.0329793+0.0469582j -0.0400055-0.00558399j 0.00851497+0.10236j -0.104477+0.0384419j -0.0626151-0.121309j 0.125017+0.000656662j -0.0254508-0.0933319j 0.0434812-0.0411681j -0.00983013-0.0378229j -0.0453992-0.0413434j -0.0156845+0.0865486j 0.0543264-0.066037j 0.00995492-0.0272782j -0.00621283-0.0356769j -0.0771585-0.038947j -0.0233989-0.00178288j -0.085116-0.00187119j -0.0657485-0.0600488j 0.0252394-0.0575418j -0.0601783-0.0645487j 0.00914786+0.108393j -0.00661263-0.0911324j 0.0638669-0.0695289j -0.0690969-0.0100427j 0.0125969-0.0945158j 0.0349378+0.0683379j 0.0355456-0.00562226j 0.0203686-0.120243j -0.065041+0.091673j -0.0321136-0.104189j 0.0908267-0.0193141j 0.020847-0.078466j -0.143414+0.0051377j 0.0521621-0.049212j 0.0246804+0.0155826j -0.0583131-0.0587026j 0.091409-0.00873895j 0.106458-0.0358911j 0.0239995+0.0816494j 0.0772238-0.078992j -0.0149736-0.164337j 0.0407015-0.000719751j -0.0244784+0.0533002j 
0.0206805-0.0361583j -0.0403927-0.00234352j 0.0375191-0.0184417j 0.0528766-0.0113863j 0.0322138-0.0159836j -0.029951+0.0260554j -0.0327009+0.0100654j 0.0105419+0.034967j -0.00245516-0.0415648j -0.0107251-0.00505084j 0.0450057-0.0779308j 0.0366543-0.0131661j 0.0232174+0.0453625j 0.085873-0.0373173j 0.032601-0.0195612j -0.0214915+0.0840365j -0.0375352+0.0254687j 0.0323489+0.0857491j 0.0234728-0.0760964j 0.0247826+0.0837868j 0.0414433-0.0582321j -0.0249445+0.0490772j -0.0650015+0.0166265j -0.0180032-0.0167295j 0.0749466-0.0678608j -0.0260547-0.0495267j -0.00791522+0.0369173j 0.0491555+0.0554727j 0.0356814+0.0330278j -0.0695944-0.0159442j -0.0388349-0.113702j 0.0240644-0.0187413j -0.0460108+0.07574j -0.0200032+0.109535j -0.0436507+0.0047681j -0.0557673-0.0220811j -0.0458014+0.058177j -0.0173387-0.0855311j -0.0107937+0.0555889j 0.0470645-0.0530494j 0.0841976-0.0367071j 0.100082-0.072148j -0.0417625+0.00771173j 0.0183015-0.110096j -0.0507269-0.106751j -0.0542184+0.0178865j -0.0617099-0.134516j -0.082988+0.0488387j 0.0105523-0.042237j -0.0336981+0.00364867j -0.0387608-0.00237738j 0.0178129-0.0921671j -0.038901-0.0800756j 0.00532375+0.113603j -0.0663614+0.0400415j 0.0881707+0.016015j -0.0325703+0.0558578j 0.0690518-0.0568926j -0.00782435+0.0653225j 0.0233658-0.0724587j 0.0333877-0.0428987j -0.043038-0.0220593j 0.000613932-0.0652658j -0.135886-0.0754862j -0.064317+0.114777j 0.0695038-0.0184771j 0.048554-0.132049j -0.0120677+0.0546488j 0.141349-0.0918404j -0.0657804-0.00606335j -0.0324619+0.0393205j -0.0864089-0.0702287j -0.0140092+0.130782j 0.0293467-0.0287929j 0.0619635-0.124996j 0.0529832-0.0702908j 0.0476594-0.156899j -0.00497762+0.0121891j -0.0797309-0.0634317j 0.0127972+0.0191395j -0.0651801+0.0142919j -0.0364464-0.0587279j -0.000109774-0.031605j 0.00271742-0.00503024j 0.069779-0.025821j 0.0688048-0.0624894j 0.0682039-0.0879689j -0.0510064+0.0632239j 0.0656264+0.0332131j 0.0367105-0.0811601j -0.015542+0.0462449j 0.0125049+0.03771j 
0.041889+0.0150616j 0.0268181+0.0136716j 0.0518127+0.0288042j -0.00133475+0.00841561j -0.000105217+0.00898736j 0.0385303+0.0435698j 0.0460734-0.0813581j 0.0269415+0.0310152j 0.0304683+0.0367531j 0.0464793+0.0307058j -0.0466412-0.0555986j -0.0841897+0.0100361j -0.0668492-0.0911562j 0.0433662-0.00457974j -0.042184+0.020855j -0.00664267+0.0435122j 0.0115399-0.00474803j 0.110158+0.0484062j 0.00795261-0.0421747j -0.0483937+0.0124652j -0.022924+0.100245j -0.0648676+0.0202425j -0.00963753-0.0842374j -0.0560606+0.0196037j -0.00113911-0.0306822j -0.0309494-0.0410721j -0.0666018+0.0410574j -0.0536936-0.101327j -0.0976086-0.010516j 0.0428113+0.00506356j -0.0165908+0.0347256j -0.0207099+0.0221018j -0.0615621-0.0677433j 0.0439591-0.0346138j -0.0761099-0.0632863j -0.0192622-0.089543j -0.0373085+0.0204148j -0.00188477+0.0118706j -0.0469911-0.00562444j -0.00505648+0.027678j -0.0675934-0.000230719j -0.00745433+0.0693195j 0.0622194+0.00513139j 0.141847+0.0447659j 0.00924369-0.0237171j 0.0188595+0.0285742j 0.0498474-0.0957233j 0.0439453-0.0382811j -0.0628449-0.00587091j -0.00677474-0.0906032j 0.0282118+0.0637812j 0.0312999+0.0598787j -0.127044+0.0328136j 0.0614861-0.0227973j -0.0597971-0.0634362j 0.0439703+0.00629875j -0.0199324-0.0431179j 0.00499168+0.0343128j 0.0161899+0.031799j 0.00307515-0.0396349j -0.0469235-0.0267115j -0.0147364+0.0304842j 0.0306251-0.0188773j -0.0783593+0.0692606j -0.0975181+0.0255596j -0.0190575-0.033835j -0.0233123-0.0113123j -0.0413617+0.11716j 0.0480665-0.00502716j 0.032881+0.00710641j 0.0147805+0.0509181j 0.0421412+0.0315215j 0.0349026+0.0119064j -0.0452669+0.0384201j -0.0340438-0.0838542j 0.0246153-0.0155723j -0.0475114+0.112705j 0.0649654+0.0895973j 0.00564781-0.0415026j -0.122651+0.0310067j -0.00154833-0.0253774j -0.125892+0.0461743j 0.0523544-0.0489761j -0.132406+0.0291644j -0.0416003+0.0359634j 0.0692433+0.00557507j 0.0340522+0.0441357j -0.04523+0.0366523j 0.0543393+0.071657j 0.0726982-0.0242101j -0.00794969+0.0455599j 0.0884785-0.0206484j 
