-0.0537518-0j -0.00545166-0j -0.00550815-0j -0.0031278-0j -0.000451459-0j -0.00387046-0j -0.00225777-0j -0.000558652-0j -0.00032588-0j -0.00219784-0j -0.000388526-0j -0.00256414-0j -3.23772e-05-0j -0.00157021-0j -0.00224362-0j -0.000453281-0j -0.000277577-0j -0.000925448-0j -3.77734e-05-0j -0.00039662-0j -2.31314e-05-0j -0.000163598-0j -3.30517e-05-0j -1.36331e-05-0j -0.00169177-0j -0.000281962-0j -0.00191106-0j -0.000172666-0j -3.52453e-05-0j -0.00156037-0j -2.07685e-06-0j -0.00031851-0j -0.00157654-0j -0.00136533-0j -0.000195047-0j -0.000260062-0j -0.00112634-0j -3.98138e-05-0j -0.000159255-0j -0.000262757-0j -0.00035987-0j -2.34605e-06-0j -0.000160905-0j -0.000227555-0j -3.25078e-05-0j -0.000139348-0j -0.000187723-0j -3.28447e-05-0j -1.91554e-06-0j -2.84443e-05-0j -0.000114956-0j -5.99784e-05-0j -1.93539e-06-0j -2.34654e-05-0j -3.67291e-05-0j -1.6761e-06-0j -7.4973e-06-0j -1.38271e-06-0j -4.41783e-07-0j 
-7.27433e-06-0j 0.000141809-0j 0.000143279-0j -4.23291e-07-0j -0.00168702-0j -5.23796e-07-0j -3.05548e-07-0j -0.00208758-0j -0.00121775-0j 4.33485e-05-0j 1.01064e-05-0j 5.05733e-05-0j 0.0114857-0j 3.09697e-05-0j 4.42516e-05-0j 1.17908e-05-0j 7.22037e-06-0j 1.82529e-05-0j 0.0133999-0j 1.0317e-05-0j 0.00820575-0j 4.25553e-06-0j 0.0117249-0j 0.00483629-0j -2.28951e-07-0j -0.00106892-0j -2.58628e-07-0j -2.33672e-08-0j -0.000131705-0j -2.11169e-07-0j -0.0337257-0j -0.00120748-0j -2.13357e-07-0j -1.84772e-07-0j -2.63961e-08-0j -0.000985901-0j -1.5243e-07-0j -0.000148777-0j -2.15523e-08-0j -0.000996118-0j -4.8702e-08-0j -0.0380972-0j -2.17756e-08-0j -0.000862663-0j -0.000121476-0j -1.88583e-08-0j -0.000711661-0j -0.000122734-0j -0.0311062-0j -0.000106291-0j -1.55573e-08-0j -0.000227379-0j -0.0314286-0j -8.76857e-05-0j -4.97062e-09-0j -0.0272179-0j -2.8016e-05-0j -0.0224537-0j -0.00717405-0j 
-8.9092e-06-0j 0.000130034-0j 0.000131382-0j 0.000100278-0j -0.00102589-0j 0.000124087-0j 7.23842e-05-0j -0.00126948-0j -0.000740528-0j -3.64285e-07-0j -0.00179254-0j -4.24999e-07-0j 0.00340562-0j -2.60258e-07-0j -3.71874e-07-0j -0.0020913-0j -0.00128065-0j -1.5339e-07-0j 0.00397322-0j -0.00182989-0j 0.00243309-0j -0.00075479-0j 0.00347657-0j 0.00143401-0j -2.80406e-07-0j 6.72544e-06-0j -3.16753e-07-0j -0.000529829-0j 0.0154919-0j -2.58628e-07-0j 0.000902334-0j 7.59719e-06-0j -2.61308e-07-0j -2.26299e-07-0j -0.000598505-0j 6.20308e-06-0j -1.86687e-07-0j 0.0174999-0j -0.000488677-0j 6.26736e-06-0j -5.96475e-08-0j 0.00101929-0j -0.000493741-0j 5.4277e-06-0j 0.0142886-0j -0.000427593-0j 4.47762e-06-0j 0.0144367-0j 0.00083225-0j 0.0125025-0j -0.000352746-0j 1.43062e-06-0j 0.000840875-0j 0.0103141-0j -0.000112704-0j 0.000728219-0j 0.0032954-0j 0.00060075-0j 0.000191943-0j 
5.75086e-07-0j -1.40284e-05-0j -1.41737e-05-0j -3.21972e-06-0j 0.000223059-0j -3.98419e-06-0j -2.32411e-06-0j 0.000276021-0j 0.000161012-0j 2.35145e-08-0j 9.61915e-05-0j 2.74336e-08-0j -0.00229405-0j 1.67996e-08-0j 2.40044e-08-0j 0.000112223-0j 6.87225e-05-0j 9.9013e-09-0j -0.00267639-0j 9.81955e-05-0j -0.00163895-0j 4.05036e-05-0j -0.00234184-0j -0.00096596-0j 1.81002e-08-0j -7.25553e-07-0j 2.04463e-08-0j -3.57327e-07-0j -0.00167548-0j 1.66943e-08-0j 0.0139198-0j -8.19599e-07-0j 1.68673e-08-0j 1.46075e-08-0j -4.03644e-07-0j -6.692e-07-0j 1.20506e-08-0j -0.00189266-0j -3.29574e-07-0j -6.76135e-07-0j 3.85023e-09-0j 0.0157241-0j -3.32989e-07-0j -5.8555e-07-0j -0.00154535-0j -2.88377e-07-0j -4.83054e-07-0j -0.00156136-0j 0.0128387-0j -0.00135218-0j -2.37899e-07-0j -1.54338e-07-0j 0.0129718-0j -0.00111549-0j -7.60099e-08-0j 0.0112339-0j -0.000356405-0j 0.00926747-0j 0.002961-0j 
-1.81135e-08-0j 6.19327e-07-0j 6.25745e-07-0j -1.05402e-09-0j -1.48052e-05-0j -1.30428e-09-0j -7.60832e-10-0j -1.83205e-05-0j -1.0687e-05-0j -7.40637e-10-0j 4.41379e-08-0j -8.64076e-10-0j 0.000255017-0j -5.29137e-10-0j -7.56067e-10-0j 5.14943e-08-0j 3.15337e-08-0j -3.11862e-10-0j 0.00029752-0j 4.50575e-08-0j 0.000182193-0j 1.85853e-08-0j 0.00026033-0j 0.00010738-0j -5.70102e-10-0j 3.20319e-08-0j -6.43998e-10-0j -5.81857e-11-0j -1.15584e-06-0j -5.25822e-10-0j -0.00313433-0j 3.61839e-08-0j -5.31271e-10-0j -4.60094e-10-0j -6.57278e-11-0j 2.9544e-08-0j -3.79559e-10-0j -1.30566e-06-0j -5.36665e-11-0j 2.98502e-08-0j -1.21271e-10-0j -0.00354061-0j -5.42227e-11-0j 2.5851e-08-0j -1.06607e-06-0j -4.69582e-11-0j 2.1326e-08-0j -1.07711e-06-0j -0.00289089-0j -9.32808e-07-0j -3.87385e-11-0j 6.81376e-09-0j -0.00292085-0j -7.69527e-07-0j -1.23771e-11-0j -0.00252953-0j -2.45868e-07-0j -0.00208676-0j -0.000666729-0j 
0.000718567-0j 0.00512013-0j -0.00502592-0j 0.00293759-0j 0.000424005-0j 5.17412e-05-0j -0.00415039-0j 7.4682e-06-0j -0.000599057-0j 0.00206418-0j 0.000364899-0j 3.42781e-05-0j 3.04083e-05-0j 0.00147472-0j -0.0020472-0j 6.05957e-06-0j 0.000260697-0j -0.00255802-0j 5.04964e-07-0j -0.000361897-0j 2.17247e-05-0j -0.000452199-0j -3.01581e-05-0j -3.76832e-05-0j 0.00158889-0j 0.000264816-0j 2.55475e-05-0j 0.000162166-0j 3.3102e-05-0j 0.00146549-0j 1.95055e-06-0j 4.25792e-06-0j -0.00143852-0j 1.8252e-05-0j 2.60743e-06-0j 0.000244248-0j -0.00207052-0j 5.3224e-07-0j 0.000149571-0j -0.000239754-0j -0.00132789-0j 3.13626e-08-0j -0.000146818-0j 3.04201e-06-0j 3.0531e-05-0j 1.86284e-06-0j -0.000345086-0j -2.99692e-05-0j 1.79905e-06-0j 3.80251e-07-0j -0.000211321-0j -0.000221315-0j -1.76595e-06-0j -4.31357e-05-0j -0.000135527-0j 2.24065e-08-0j -2.76644e-05-0j -2.5418e-06-0j -1.63014e-06-0j 
-0.000110877-0j 0.0373715-0j -0.0366839-0j -0.000453281-0j 0.006255-0j -7.98384e-06-0j 0.000640419-0j 0.000110172-0j -0.0088374-0j -0.00031851-0j 0.00266338-0j -5.28922e-06-0j 0.000675229-0j -0.000227555-0j 0.00031589-0j 4.42284e-05-0j 0.00190281-0j 0.000394711-0j 1.12129e-05-0j -0.00264147-0j 0.000482407-0j -0.00330057-0j -0.000669673-0j -0.000836772-0j -0.000245172-0j 0.00193287-0j -3.94207e-06-0j -2.50227e-05-0j 0.000488326-0j -0.000226129-0j 5.78508e-05-0j 3.10783e-05-0j 0.000221969-0j -2.81635e-06-0j -4.02336e-07-0j 0.00178275-0j 0.000319488-0j 7.85171e-06-0j -2.30792e-05-0j -0.00174995-0j 0.000204898-0j 9.30172e-07-0j 2.26546e-05-0j 2.22034e-05-0j 0.000450398-0j -2.87443e-07-0j -0.00251876-0j -0.000442111-0j 5.33575e-05-0j 5.60953e-06-0j 3.26076e-05-0j -0.00161537-0j -5.23758e-05-0j -0.000636346-0j 2.09123e-05-0j 6.64547e-07-0j -0.00040811-0j -7.53864e-05-0j -4.83478e-05-0j 
-8.46839e-05-0j -0.000603413-0j 0.000592311-0j 0.0333092-0j -4.99695e-05-0j 0.00058669-0j -0.0470609-0j -8.80136e-07-0j 7.05995e-05-0j -0.000243266-0j 0.00413757-0j -4.03971e-06-0j -3.58365e-06-0j -0.000173798-0j 0.000241265-0j 6.8709e-05-0j 0.00295602-0j 0.000301466-0j -5.95106e-08-0j -0.00410352-0j -2.56028e-06-0j -0.00512745-0j 3.55417e-06-0j 4.44101e-06-0j -0.000187253-0j -3.12088e-05-0j -3.01081e-06-0j 0.00369668-0j 0.000375341-0j -0.000172709-0j -2.29875e-07-0j -5.01801e-07-0j 0.000169531-0j -2.15102e-06-0j 5.94383e-05-0j -2.87849e-05-0j 0.000244013-0j 6.03503e-06-0j 0.00340957-0j 2.82552e-05-0j 0.000156493-0j -3.69611e-09-0j -0.00334683-0j -3.58504e-07-0j 0.000346188-0j 4.24648e-05-0j 4.06688e-05-0j -0.000339819-0j -2.12021e-07-0j 4.31164e-06-0j -0.00481721-0j 2.60822e-05-0j 2.08119e-07-0j -0.000489113-0j -0.00308944-0j -2.64063e-09-0j -0.000313684-0j 2.99554e-07-0j 1.92114e-07-0j 
1.22231e-05-0j -0.00832674-0j 0.00817353-0j 4.99695e-05-0j 0.032269-0j 8.80136e-07-0j -7.05995e-05-0j 0.00056837-0j -0.0455914-0j 3.51124e-05-0j -0.000593427-0j 5.83082e-07-0j 0.00709157-0j 2.50855e-05-0j -3.48236e-05-0j -9.85452e-06-0j -0.000423965-0j -4.35129e-05-0j 0.000117764-0j 0.000588544-0j 0.00506646-0j 0.0007354-0j -0.00703322-0j -0.00878818-0j 2.70276e-05-0j -0.000430663-0j 4.34572e-07-0j 2.7585e-06-0j 0.00251923-0j 2.49284e-05-0j 0.000916161-0j -6.92456e-06-0j -2.44697e-05-0j 3.10474e-07-0j 4.43534e-08-0j -0.000397214-0j -3.52202e-05-0j 4.05063e-05-0j 2.54425e-06-0j 0.000389905-0j -2.25879e-05-0j 1.47308e-05-0j -2.49743e-06-0j -4.94714e-06-0j 0.00232357-0j 3.16876e-08-0j 0.000561205-0j -0.00228082-0j 0.000845003-0j 2.89391e-05-0j -3.59465e-06-0j 0.000359919-0j -0.000829456-0j -0.00328286-0j -2.30537e-06-0j 1.05242e-05-0j -0.00210541-0j -0.00119387-0j -0.000765665-0j 
-7.57436e-05-0j -0.000539709-0j 0.000529779-0j -0.00030965-0j -4.46941e-05-0j -5.454e-06-0j 0.000437489-0j -7.87217e-07-0j 6.31461e-05-0j 0.0317107-0j -3.84638e-05-0j 0.000526592-0j -3.20531e-06-0j 0.0226552-0j -0.0314498-0j -6.38734e-07-0j -2.74798e-05-0j -0.0392973-0j -5.32279e-08-0j 3.81473e-05-0j -2.28999e-06-0j 4.76659e-05-0j 3.17894e-06-0j 3.97216e-06-0j -0.000167484-0j 0.00406819-0j -2.69295e-06-0j -1.70938e-05-0j -3.48925e-06-0j -0.000154476-0j -2.05606e-07-0j 6.54117e-05-0j 0.000151633-0j -1.92393e-06-0j -2.74848e-07-0j 0.00375222-0j 0.000218252-0j -5.61031e-08-0j -1.57661e-05-0j -0.00368318-0j 0.000139972-0j -3.3059e-09-0j 1.5476e-05-0j 4.67324e-05-0j -3.21825e-06-0j -1.96361e-07-0j -0.00530133-0j 3.15903e-06-0j -1.89637e-07-0j -4.0082e-08-0j 2.22752e-05-0j -0.00339992-0j 1.86148e-07-0j 4.54691e-06-0j 1.42858e-05-0j -2.36185e-09-0j 2.91608e-06-0j 2.67929e-07-0j 1.71832e-07-0j 
-5.18581e-05-0j -0.000369514-0j 0.000362715-0j -0.000212003-0j -3.05999e-05-0j -3.7341e-06-0j 0.000299528-0j -5.38971e-07-0j 4.32332e-05-0j -0.000148969-0j -2.63343e-05-0j -2.47381e-06-0j -2.19453e-06-0j -0.000106429-0j 0.000147744-0j -4.37312e-07-0j -1.88142e-05-0j 0.000184609-0j -3.64426e-08-0j 2.61177e-05-0j -1.56785e-06-0j 3.26346e-05-0j 2.17647e-06-0j 2.71955e-06-0j 0.0450387-0j -1.91114e-05-0j 0.00072417-0j -1.17033e-05-0j -2.38893e-06-0j 0.0415406-0j -1.40769e-07-0j -3.07289e-07-0j -0.0407763-0j 0.000517372-0j -1.88175e-07-0j -1.76271e-05-0j -0.0586908-0j -3.84111e-08-0j -1.07943e-05-0j 1.73027e-05-0j -0.0376403-0j -2.2634e-09-0j 1.05957e-05-0j -2.19538e-07-0j -2.20338e-06-0j -1.34439e-07-0j 2.49044e-05-0j 2.16284e-06-0j -1.29836e-07-0j -2.74422e-08-0j 1.52508e-05-0j 1.5972e-05-0j 1.27447e-07-0j 3.11305e-06-0j 9.78084e-06-0j -1.61705e-09-0j 1.9965e-06-0j 1.83438e-07-0j 1.17645e-07-0j 
1.33897e-05-0j -0.00451304-0j 0.00443-0j -0.00526664-0j -0.000755363-0j -9.27638e-05-0j 0.00744099-0j -1.33046e-05-0j 0.00106722-0j 3.84638e-05-0j 0.0309456-0j 6.38734e-07-0j -8.15416e-05-0j 2.74798e-05-0j -3.81473e-05-0j 0.000513887-0j 0.0221086-0j -4.76659e-05-0j -1.35409e-06-0j -0.030691-0j -5.82561e-05-0j -0.0383492-0j 8.08707e-05-0j 0.00010105-0j 2.96073e-05-0j -0.000233417-0j 4.7605e-07-0j -0.000584497-0j 0.00567383-0j 2.73077e-05-0j -6.98614e-06-0j -3.75306e-06-0j -2.68053e-05-0j 3.40107e-07-0j -9.39802e-06-0j -0.000215287-0j -3.85818e-05-0j 9.12285e-05-0j -0.0005391-0j 0.000211326-0j -2.47438e-05-0j -1.12329e-07-0j 0.00052918-0j -2.68132e-06-0j 0.00523315-0j -6.71427e-06-0j 0.000304169-0j -0.00513686-0j -6.44354e-06-0j 6.51768e-05-0j 0.000761668-0j 0.000195074-0j 6.32498e-06-0j -0.00739367-0j 0.000488483-0j -8.02517e-08-0j -0.00474181-0j 9.10377e-06-0j 5.83855e-06-0j 
