-0.224715+0.175306j 0.179056+0.224154j -0.121087+0.0672458j -0.0471339-0.131477j -0.00101785-0.101205j 0.0300895+0.02003j -0.210876+0.0652706j -0.0187231-0.171032j -0.00705068-0.0351657j 0.0560734+0.037467j -0.178077-0.0502131j -0.0224352-0.0716841j -0.095808-0.0918453j 0.0214636-0.126648j -0.144397+0.0352324j -0.094012+0.0734988j -0.118725-0.0471382j 0.027807+0.0234082j 0.0279377-0.0719401j 0.0659114-0.118691j -0.0199436-0.0133037j 0.0609379+5.18729e-05j -0.0469016+0.0366401j -0.0163963-0.136133j 0.120381-0.0349928j -0.0341182+0.0752095j -0.0454663-0.0780863j 0.00522525+0.073146j -0.00417172+0.049386j 0.0435577-0.0567993j -0.00123391-0.0168124j 0.0419384-0.051315j 0.0257873-0.03133j 0.0391541-0.0725789j 0.0753079-0.0318128j -0.0471507-0.0807811j 0.0137847-0.097512j 0.043059-0.0615075j 0.0323882+0.0215321j 0.0257716-0.104864j 0.0165484+0.0414631j 0.0544302+0.026174j -0.0519155+0.029613j -0.0533687-0.129504j 0.0148051+0.0206504j 0.0298334+0.0351601j 0.0623692+0.021825j 0.00432918+0.0159356j -0.0175864-0.021939j 0.000114788+0.0443342j -0.030279-0.0355803j 0.0507017+0.0460915j -0.00890019-0.0229905j 0.0260153+0.0677589j -0.0819489+0.0122487j 0.0847735+0.0365099j -0.0983348-0.0975721j -0.0577077-0.0169809j -0.0456939+0.0112422j -0.0741114-0.0225846j 0.00569901-0.0487999j 0.0291685-0.00167515j 0.00148327-0.0103573j -0.0866109+0.011855j -0.0464595+0.0898999j -0.0434477+0.0227759j 0.0285011+0.00980588j -0.0306342-0.0384546j 0.0859945+0.0251478j -0.126745+0.109911j 0.0900142+0.089715j -0.00939525-0.0308689j 0.0285229+0.0878453j 0.151032-0.0141221j -0.0106333-0.141852j 0.108845-0.249083j 0.248771+0.108656j 
-0.000872299+0.00225045j 0.00187344+0.000466341j -0.00114455-0.000837563j -0.000425128-0.00340747j 0.00295892+0.00174271j 0.00020251+0.00214582j 0.00251234+0.0063422j -0.00827796+0.00270686j 0.00330262+0.00408846j 0.0092907-0.00766896j 0.00289331+0.00299086j 7.06324e-05-0.00557702j 0.00154722-0.000631223j -3.62665e-05+0.00352115j -0.003428+0.00728187j 0.00280925-0.00877507j 0.00446232+0.00543685j 0.00698427+0.0070633j -0.000206632-0.0115761j 0.00785495-0.000350235j 0.00303864-0.00320055j -0.00210492+0.00889238j 0.0070289+0.00143531j -0.00211924-0.000139635j -0.00508838+0.00692462j -0.00178605-0.00116513j -0.00904454+0.00327426j -0.00805524+0.0055009j 0.000202045+0.00246804j 0.00838058+0.0098462j 0.00684122+0.00995829j -0.000378021+0.00814497j 0.00375293+0.000263448j 0.00315888+0.000859968j 0.00314254-0.00971468j -0.00755264+0.00231865j 0.000189389+0.00639885j -0.00235336-7.65567e-05j -0.00987905+0.00312098j 0.00420393-0.00866819j -0.00219964+0.00342136j 0.00315722+0.00964239j 0.00611812+0.00191083j 0.000686327-0.00921656j 0.0078794+0.000733394j -0.00127016-0.000461706j 0.00209534+0.00238554j -0.00380048+0.0039067j -0.00103612-0.00424833j -0.00223365-0.0100319j -0.00232186-0.00733716j -0.00179168+0.00147944j -0.00686366-0.00274992j 0.000758986+0.00460774j -0.00186116-0.000780207j -0.000866397+0.000475489j 0.00405271+0.00254869j -0.00937948-0.00847358j -0.0144835+0.00255917j 0.00563057+0.00471491j -0.00214694+0.0176798j -0.00435303-0.00481626j 0.0040978-0.00911194j 0.00676984-0.00454106j -0.00690705-0.000419976j 0.0017013-0.0062132j -0.00163858-0.0036874j -0.00113536-0.00719496j 0.000990519+0.000402169j 0.00380778-0.00441286j -0.00375191-0.00685545j -0.00227042+0.000522965j 0.000933284-0.00233806j -0.00118859+0.000901878j 0.0011713+0.000347726j -0.00111908+0.000425299j -0.000773716-0.00106313j 
0.00112198-0.00218978j -0.00242183-0.000726843j -0.00183046-0.00298133j 0.00365178-0.000522035j -0.00286304-0.00204439j 0.000342128-0.00240611j -0.0012943+0.00113155j 0.0019267-0.00314899j 0.00175663-0.0029807j -0.0148252+0.00463475j 0.00473592-0.00242651j -0.00109138+0.0125265j -0.00364411+0.000259213j -0.00226322-0.000142497j 0.00598037-0.00219137j 0.00225352+0.00173324j -0.00432327-0.00129794j 0.00225409+0.00540003j 0.00647079-0.00503552j 0.00979032-0.00041247j -0.00108448+0.00729722j 0.00732892-0.00259445j 0.0103291+0.00445312j -0.00521572+0.00511955j 0.00308728+0.00139789j 0.00349625-0.00153393j -0.00505038-0.00342242j -0.00636964+0.00721272j -0.00644612-0.00029821j 0.00285996+0.004218j -0.00703654+0.000118241j 1.17254e-05-0.00168277j 0.00378242+0.00416914j -0.00232005+0.00385278j -0.00476609+0.00847649j 0.00547684+0.0044081j -0.00416755+0.000321643j 0.000250921+0.000427971j -0.00349279-0.00200148j 0.00144072+0.000733529j 0.000377771+0.00800571j 0.00848274+0.00130273j 0.00695988+0.01005j -0.000983209+0.000769683j -0.00939068+5.58817e-05j 0.00229176-0.0113786j 0.00787296-0.00174355j 0.00507052-0.00611385j -0.00862861+0.000301905j 0.00348676+0.00349278j 0.0020598+0.000396779j -0.00483337+0.00413574j 0.0021218+0.00983324j 0.00916106-0.000175028j 0.00186918-0.000271791j -0.00350327-0.0042755j -0.00217305-0.00379519j -0.000206263+0.00436155j 0.00368696-0.0094121j -0.00112873+0.0104527j 0.0101921-0.00410685j -0.00264079+0.0120971j 0.0150278+0.00343911j -0.00442-0.00380338j -0.00450891+0.00325142j 0.00458614+0.00407157j 0.0013229-0.00082766j -0.00376402-0.0079112j 0.00573535-0.0112625j 0.00542795-0.00158946j -0.00172128-0.00115515j -0.000116837+0.00130484j 0.00093462+0.00218799j -0.00121736+4.30218e-06j 0.000788544+0.00216567j -0.000843859-0.000380714j 0.000288997-0.000767447j 
0.00102549+0.000629095j 0.000928607-0.00111127j 0.000939345+0.00226691j -0.00205955+0.00137261j -0.00220199+0.00237309j -0.001431-0.00110821j -0.00246828-2.55606e-05j -0.00186843-0.00268659j 0.000246835+0.000268732j 0.00305801-0.00155945j 0.00340167+0.00307063j -0.00278937+0.00484594j -0.00105839-0.00365428j -0.00247243-0.00259704j -0.0016946+0.00210049j -0.000441246-0.000582392j -0.00156957-0.00249942j 0.00744433+0.00439296j 0.00447186-0.0103947j -0.000540261-0.00189925j -0.00661186+0.00199803j -0.00452341-0.00298316j 0.00814076+0.00138069j 0.00277146+0.00134462j 0.000876359-0.00229962j 0.00389896+0.000563621j -0.00239672+0.00825302j -0.00144144+0.00224047j -0.00500558-0.00282403j 0.00356323+0.0014144j -0.000251199-0.000527519j 0.00437439-0.00115744j 0.00397367+0.00736662j -0.00141948+0.00190869j 0.00147038-0.000272873j -0.00412146+0.00321908j -0.00192367+0.00398435j 5.20067e-05-0.00333429j -0.00219718+0.000413497j -4.64841e-05-0.00311862j 0.00400531-0.000225238j 0.00240585+0.000840329j 0.00497609+0.00233516j 0.00448329-0.00157331j 0.000458943+0.0004361j 0.00340255-0.000912097j -0.00356636+0.000869867j 0.00127004-0.00463867j 0.00200744-0.00351486j -0.00244842-0.00377488j -0.000128233-0.00166839j -0.00399015+0.00236582j -0.00205132+0.00446921j 0.00438152-0.00115019j 0.00274766-0.00290385j -0.00191996+0.00525249j -0.000107521-0.00154997j 0.00405738-0.00243965j -0.00487202-0.000869948j 0.006098+0.00320459j 0.00171084+0.00491724j 0.00352564+0.00536958j 0.00671055-0.00524482j -0.00310927-0.00282131j -0.00395388-0.00373338j -0.00342203+0.00384084j 0.00514437+0.00603779j 0.00562177-0.00778684j 0.00337898+0.00331858j -0.000154994-0.00205745j -0.00375387+0.00167687j 0.00162489+0.00122593j -0.00390508-0.00226364j -0.000143282+0.000101697j -0.00120354-9.29395e-05j -0.000615329+0.000929582j -0.000645556-0.000693057j 
-0.00059412-0.00093627j -0.00101441+0.000668849j -0.000212373-0.00258816j 0.0020416+2.95418e-05j 0.00118093-0.000286297j 0.000204251+0.00187887j 0.00102767+0.00100961j -0.0013488-0.000813202j -0.0022003-0.00107794j -0.0046616+0.00114159j 0.000931255-0.00378492j 0.00275345-0.00224509j 0.00295555+0.00590353j -0.000341794+0.00552101j 0.00517733-0.00168671j 0.00204444-0.00524919j 0.00431785+0.0047066j -0.00846216-0.00574591j 0.000654251+0.00585073j 0.00897824+0.00257759j 0.00764523-0.002869j 0.00484465+0.00221741j -0.00532506-8.46054e-05j -0.000802946+0.000414203j -0.000880155+0.00389325j -0.00676525-0.00324583j 0.000493885-0.00901896j -0.00288714+0.000360466j 0.00264812+0.00181431j 0.00379231-0.00151252j -0.00021688+0.00562161j -0.00449434+0.00107015j -0.00185682-0.00580904j 0.00544988-0.00654944j 0.00185105-0.00095861j -0.000806601-0.00197529j -0.00219292-0.0004145j 0.00144077-0.00086988j -8.51036e-05-0.00631652j -0.000514214+0.000588404j -0.00287563+0.00309194j 0.00333219+0.00353781j -0.000402983+0.000526194j -0.0048781-0.00428583j -0.00160765+0.0036256j -0.00470648+0.00128396j 0.0045578+0.00281198j -0.00343069+0.000511265j -0.00513246+0.000172229j 0.00354443-0.00128092j -0.00194012-0.00167866j 0.000350272-0.000612715j -0.00141284-0.00564007j 0.000352065+0.00488996j -0.000402631+0.00410322j 0.00258668-0.00681991j -0.00386132-0.00103543j -0.00345132+0.000882353j 0.00221111-6.7185e-05j -0.00545193+0.0030851j -0.00548173-0.00107443j -0.00405746-0.00171873j -0.00323616+0.00330911j -0.00129831+0.00179944j 0.00361102+0.00463385j 0.00701013-0.00562574j -0.00753497-0.00820526j -0.00772225+0.00397863j -0.000490478-0.00589978j 0.00149203-0.00156698j 0.000666114-0.00470344j -0.00542152-0.00257492j -0.0030867+0.00253672j -0.00354043-0.000811613j -0.00126056+0.00361077j -0.000894657-0.000162755j 0.000219346-0.000836122j 
-0.00172314+0.000446381j 0.000345668+0.00149656j -0.000337113-0.000892088j -0.000239598-0.00120471j -0.00590224-0.0024556j 0.00308935-0.00839436j -0.00354282+0.00532385j -0.00587944+0.000300912j 0.00676937-0.00241112j -4.355e-05-0.0115246j 0.00835967-0.00368507j 0.00445976+0.011963j -0.00743021+0.00429938j -0.00264778-0.00674313j 0.00338678-0.00595077j 0.00163562-0.0120531j 0.000494505+0.00108462j -0.00452999+0.00284273j 0.00308698+0.00311757j -0.00121619-0.00179727j -0.00283422-0.00218365j -0.00918041+0.00104428j -0.00392632-0.00309363j 0.00563919-0.00431217j 0.00711786-0.0052584j -0.0072683-0.000161552j -0.0022405+0.00428825j 0.0100744-0.00235136j 0.00117468+0.000770123j -0.00262842+0.00335655j 0.000603766+0.00132688j 0.00839225-0.00473369j 0.00971391+0.00347553j -0.00274529-0.00420906j -0.0027906-0.00371572j -0.00450228-0.000300092j 0.000707746-0.00188215j -0.00298526-0.00205383j -0.0015578+0.00135763j 0.00712649-0.00359748j 0.00298376-0.00391918j -0.00627698-0.00303594j 0.00643245-0.00206449j -0.00278251-0.00117738j -0.0084197+0.00712199j 0.00912552-0.000296079j -0.00832063-0.000195131j -0.00137581-0.00533615j 0.000944635-0.0113969j -0.00372457+0.000431147j 0.00189183-0.00980492j 0.000551435+0.000781272j -0.000270758+0.0171378j 0.00418208+0.00375229j -0.00547527-0.00323347j -0.00016615-0.00085218j 1.89711e-05+0.000863873j 0.0168002+0.00896786j -0.00974585-0.00656853j -0.00312023-0.0045963j 0.00795939+0.00863664j -0.00981054+0.0124281j 0.00918374+0.0029639j -0.00203132+0.00687436j 0.00901118-0.00496744j 0.00707109-0.00115096j -0.00285741-0.0100504j -0.000485418+0.000369772j 0.0027145+0.00365774j -0.00278326+0.00150789j -0.00010844+0.00319497j 0.00459248-0.000510085j -0.000890443-0.00489325j -0.000586495+0.000829559j 0.000252035-0.000171111j 0.000122309+0.000426196j -0.00045587+0.000155631j 
0.000251337+0.000186884j -0.00014917-0.000126503j 0.00112215-0.000498027j -0.00010828+0.000867524j -0.00132717+0.00237647j -0.00209165-0.00126429j 0.00140256+0.00314143j -0.00395769+0.00100647j -0.000413049+0.000697692j 0.00131241+0.000826376j 0.00117396-0.000535136j -0.000622698-4.5616e-07j -0.00453837-0.00133137j 0.00109238-0.00259038j 0.00355519+0.00132312j 0.00234642-0.00704975j 0.00323726+0.0019616j 0.0024982-0.00121297j 0.0030626+0.0017178j 0.00230399-0.00143192j -0.00502054-0.00110839j -0.00326404+0.000676622j -0.00410934+0.00199434j 0.00111144+0.00103172j 0.000147507+0.00155074j -0.000746327-0.00141062j -0.000956759-7.00741e-05j 0.00141286+0.00366524j -0.000517323+0.000802855j 0.00323583+0.000688949j -0.00074973+0.00203792j 0.000190649+0.00496168j 0.00486846+0.00227576j 0.00165663+0.00302789j 0.000570348-0.000847741j -0.00287856+0.0039319j 0.000132538-0.00293449j -0.00199571-0.00255973j -0.00112392+0.00445395j 0.0046634+0.000720243j -0.000198197-0.00207012j 0.000661546+0.00269076j 0.000193662-0.00052117j 0.00290607+0.00314588j 0.00156232+0.001192j 0.000725122+0.00184511j -6.06284e-05+0.00163182j -0.000882637-0.00205324j -0.00048071-0.00242921j 0.0015903+0.000844917j -0.000358163-0.00263874j 0.000487042-0.00102586j -0.00321963+0.00360979j -0.000276517+0.00180836j 0.00153269-0.0011495j -0.00327463+0.00145304j 0.00371997-0.0026536j 0.00220192-0.00144477j -0.00777758+0.000521094j -0.00303349+0.000165411j 0.00305425+0.00330119j -0.000938319+0.00701501j 0.000344493-0.00347578j -0.00042413+0.00371995j 7.90032e-05+0.00425562j -0.00253116+0.00143715j 0.00398277+0.0002737j -0.00455568-0.00265796j -0.00164173+0.000561508j -0.00010038+0.000479418j 0.000524917-0.00359146j -0.00448267-0.000722469j 0.00190354+0.00126059j -0.000390292-0.000873394j -0.000414172+0.000123188j -0.000461369+0.000255904j -0.000436131-0.000287707j 
0.00120659-0.000180169j -0.000217145-0.00116324j -0.0028422-0.000305419j 0.00105235-0.00251912j 7.73625e-05-0.00263625j 0.00291462-0.000532306j -0.0014781+0.00180984j 0.000487658-0.00136096j 0.0049607+0.0023369j -0.00292842-0.000801274j -0.00093801+0.00465639j -0.000465088+0.00219185j 0.004226+0.0012113j -0.00361812+0.00162578j -0.00720159-0.00109113j 0.000164969+0.00541393j -0.00204592+8.93089e-05j 0.00110081+0.009207j -0.00304465-0.0106014j 0.00157006+0.00306817j 0.00499415+0.00447655j 0.0043321+0.0022325j 0.0134317-0.00181898j -0.000358254+0.00129719j -0.00321774-0.00016784j 0.00221039+0.00239919j -0.00492025+0.000980212j -0.00752081-3.4304e-05j -0.0021187-0.00414096j -0.00190727+0.0034352j 0.00300627+0.00130309j -0.0013294-0.00239163j -0.00198644-0.000878169j -0.00379708+0.000529149j 0.000104472+0.000327846j 0.00248067-0.00588127j -0.000428698+0.0087381j 0.0027841+0.00381107j -0.00348154-0.00266346j -0.00221102-0.00586427j 0.0033761+0.00514399j 0.00300727+0.00168233j 0.00183835+0.0050596j -0.000714594-0.0069853j -0.00152893-0.00151199j -0.00272626-0.00568785j 0.00327424+0.000422669j 0.0010633+0.00295396j 0.00102224+0.000551343j -0.00188535-0.00438149j 0.00221309-0.00057254j -0.00416991+0.00662138j 0.00265135-0.00305126j 0.00563456-0.00166638j -0.000251204-5.37238e-06j 0.00256348-0.00021081j -0.00405418+0.00466843j -0.0073734-0.00346422j 0.00228519-0.00263135j 0.00561801+0.00309255j -0.000338827+0.00477631j 0.000423274-0.00721378j 0.00704383+0.00248726j 0.00330327-0.00853247j -0.00483176-0.00656712j 0.00256188+0.00164341j -0.00317252-0.000997421j 0.00679765-0.00100307j 0.00427635-0.00107744j 0.00524681-0.00191367j -0.00387216+0.000827443j 0.00614499+0.00244454j -0.00215047-0.0057577j -0.000274449+0.0033517j 0.00283996+0.00020287j -0.000972831+0.000992831j -0.000948707-0.000992248j 
-0.000127786+0.00170383j 0.00136978+0.000123535j 7.56098e-05-0.00114866j 0.000583918-0.000123536j -0.00104929+0.00294954j 0.000814643-0.000541007j 0.000552345+0.0039426j -0.0053857-0.00163824j -0.0011956+0.00395518j 0.00777995+0.00214057j -0.00220503+0.00549572j 0.0022054-0.00793647j 0.00428745+0.00326707j 0.000529335+0.000818371j -0.00626694+0.00236622j 0.00458279-0.00632534j 0.00612863+0.00344296j 0.000464601+0.000277981j -0.00281738-0.00548778j -0.000143905+0.00382553j 0.0020808-0.00205259j -0.00614602+0.00315843j -0.00181697-0.00674181j 0.0068427-0.00116327j -0.00650217+0.00127832j -0.00366735+0.00118325j -0.00205989+0.00165349j -0.000563658-0.000697774j 0.000763315-0.00466241j 0.0021529-0.00140179j 0.00646108+0.00809755j -0.002577+0.00291248j 0.0038697-0.0014212j 0.0033737-0.00364897j 0.0105186-0.00632274j -0.00864086-0.00550291j -0.0002456+0.00421915j 0.00238304-0.00332764j -0.00147196-0.000922111j 0.000594538-0.00498698j 0.00452289-0.00289735j -0.00162759+0.00323008j -0.00388093-0.00431427j 0.00158862-0.00508223j 0.0055759+0.0052634j -0.00712621+0.00745084j -0.00401842+0.00638484j -0.00610004+0.00125139j 0.00619286-0.00273015j -0.000691381-0.00615935j -4.2135e-05-0.0062341j -0.00175595+0.00362328j -0.00202173-0.00909335j 7.30936e-05+0.00102122j 0.00243011-0.000591179j 0.00381332+0.00243567j -0.00321162+0.00462508j -0.00125009-0.00949091j -0.00994685+0.00312582j 0.000933828-0.00310543j -0.00877843+0.00955831j 0.00356716-0.00483693j -0.00433747-0.00500303j 0.00159842+0.00230977j 0.00284103-0.00197577j -0.00186357-0.00151542j -0.00292021-0.00444276j -0.00119204+0.00409991j -0.00303608+0.00726883j -0.000399119-0.000930665j -0.00104567-0.00405747j -0.0024499-0.00386576j -0.00700864-0.00616592j -0.0015992+0.00255731j 0.000637781+7.97553e-05j -0.00290218+0.00213237j -0.00202437-0.00266551j 
-0.0035435-0.000201007j -0.000730176+0.00367799j 0.00333164-0.00512635j 0.00171947+0.00275418j -0.00245308-0.00213336j 0.0027457-0.00482018j 0.0015319-0.00232636j 0.00319954-0.000347725j -0.00778465-0.00827641j -0.000930834-0.00673783j 0.00569356-0.00546577j 0.000262804-0.00755944j 0.00676314+0.00151996j 0.00960396+0.00111932j 0.000353445+0.00716457j -0.00139929-0.00162455j -0.0100124-0.0161968j 0.0029508-0.000592358j 0.00300545-0.00804659j -0.00336557+2.84044e-05j 0.00271123-0.000621767j -0.00884862-0.0107002j -0.00434019+0.00181285j -0.00325388-0.00114613j 0.00681241+0.00240072j -0.000673867-0.00464393j -0.00488763+0.0079956j 0.00939119-0.00578335j 0.00102776+0.00694757j 0.00253131-0.00265865j -0.00437231+0.00399026j 0.00604641-0.0098066j -0.00378473+0.00716536j 0.00497698-0.00925321j 0.0119383-0.00385641j -0.013334+0.00791369j -0.00773233-0.00709358j 0.00129476-0.00887511j 0.00619645-0.00920635j -0.00629807+0.00767338j -0.0082086-0.00143157j -0.00143639-0.00537048j 0.00770606-0.00709265j -0.000203271-0.00353639j 0.00307598+0.00764652j 0.00393133+0.00645445j -0.0020666-0.001669j -0.00376505-0.00700061j -0.00263642+0.00432384j -0.00813972+0.0028304j 0.00339264+0.00134992j -0.00100922-0.00755091j -0.00286209-0.00116805j 0.000187456-0.00465925j 0.0014034+0.0096264j 0.00624851+0.0027132j -0.00371756-0.00507258j 0.00828776+0.00214624j 0.0140607-0.00435689j 0.00686062+0.00566871j -0.00211542-0.00447154j 0.00724667-0.00442902j 0.00459958+0.000133685j -0.00589895-0.00366444j -0.00205908-0.000497422j -0.00826584-6.31847e-05j -0.0046184-0.000884394j -0.0033916-0.00402532j 0.00660891+0.004312j 0.000800508+0.000572849j -0.00500545-0.00287189j -0.000723812-0.000615185j -0.00614762-0.00843143j -0.00207277+0.00202595j -0.000279789+0.000397527j -0.00211273+0.00101113j -0.000954932-0.00167701j 
0.00142757-0.000798912j -0.00100221-0.000753071j 0.000646549-0.00111766j 0.00117832+0.00187727j -0.00155412+0.00087222j -0.0013204-0.00121742j -0.00101361+0.00366567j -0.00356727-0.00295861j 0.000750425+0.00180061j -0.00294377+0.00491533j 6.24309e-05+0.00304436j -0.00281225+0.00156053j -0.00242688+0.000439937j -0.00210405-0.00317072j 0.00220752-0.00189703j 0.00364773-0.00635082j 0.00574426+0.00372589j -0.00116222-0.000841163j 0.00231131+0.000814747j 0.00613106+0.00255243j -0.0037572+0.000836029j 1.111e-06+0.00124487j -0.00177388-0.000771936j 0.00540158+0.00250803j -0.00218924+0.000852341j -0.00299525-0.00012029j -0.00103644-0.00237936j -0.00209085+0.00450578j -0.00199767-0.00628376j 0.00370609-0.00238391j 0.000626685+0.00402428j -0.00238615+0.00439802j 0.00586245+0.00179658j 0.000479441+0.000850251j 0.0024783+0.000775331j -0.00312803-0.00139712j -0.00121516+0.00078477j 0.00131627-0.00300497j -0.000145774+0.00122758j 0.00467771-0.00140303j 0.00475638-0.000604563j 0.00468753+0.0041414j -0.00451064+0.00194382j 0.0014149+0.00047442j -0.00267308+0.00267168j -0.00298982+0.00316368j 0.00258088+0.00669271j -0.0010975-0.00282461j 0.00165611-0.00406572j 0.00149907+0.00117915j 0.000844626-0.0050172j -0.00377803+0.00403997j -0.0038269+0.00034626j 0.0058583+0.00387397j 0.00651517-0.000806274j -0.0005789-0.000996779j -0.00194157-0.00188884j 0.000109098-0.00113109j -0.00686436+6.18721e-06j -0.00697779-4.56183e-05j 0.00251699+0.00580049j -0.00259557+0.00744593j -0.000180425+0.00234592j -0.00264092+0.00155304j 0.0026334+0.00543991j -0.000131595+0.00497417j 0.00153228-0.00337869j -0.00404575+0.00157836j 0.000425721+0.001238j 0.00126379+0.00215783j 0.00111221-0.00423249j -0.00535294-0.00277726j -0.00414765-0.00134846j -0.00235197+4.71026e-05j -0.000876293+0.00184915j -0.00168733+0.000208578j -2.56913e-05-0.00133253j 
0.000969742-0.00100101j -0.000739919-0.000500855j -0.000674951+0.00130309j -0.000647006+0.00080409j -0.00273408-0.00175062j 0.000978654-0.0032184j -0.00430255+0.00123319j -0.00110075-0.00366494j 0.00438473+0.00149558j -0.00323661-0.000143778j 0.00186488+0.00398665j -0.00377977+0.00845158j -0.00207815-0.00121398j -0.0042825-0.00538876j -0.000814419-0.00532383j 0.000129738+0.000414367j 0.0009064-1.51087e-05j -0.00121893+0.00386594j 0.00167158-0.00223287j 0.000302897+0.00095347j -0.00479854+0.00281721j 4.8254e-05-0.0020311j 0.00514228-0.00170535j 0.00640387+0.00133623j 0.00153167-0.00451243j -0.000564451+0.00233806j -0.000699893+0.00260806j 2.40876e-05+0.0012741j -0.00315339-0.00819522j -0.00150398-0.00219755j 0.000378027-0.00219481j 0.00239897-0.00206672j 0.00327504+0.00421746j -0.00533119+8.91909e-05j -0.00195998+0.00264555j 0.000357605-0.00366957j -0.00029473+0.00398174j 0.00196404-0.000686867j 0.000325937-8.06125e-06j 0.00217081-0.00238728j 0.00810861-0.000396427j 0.00302497-0.000963043j -0.00186956+0.00356746j 0.000282424-0.00040192j -0.00739643+0.000356326j 0.00224565-0.0002742j -0.0007307+0.00292953j 0.00228039-0.00326325j 0.00405852-0.00467537j -0.00274997+0.000871536j 0.00266789-0.00275586j -0.00442248+0.00588665j -0.00114539+0.00564146j 0.0085293+0.00169865j 0.0037828-0.0022469j 0.000149779+0.000971722j -0.00364861-0.000488591j 0.00380305+0.00447259j -0.00112394-0.00292773j -0.00196389-0.00192203j 0.00540763+0.00490362j -0.00314291+0.00611478j 0.00460024+0.00639241j -0.00344718-0.00189205j 0.00224097-0.00226869j 0.000560642+0.00720838j 0.00137727-9.26967e-05j 0.00523877+0.00100809j 0.00450312+0.00304389j 0.000941743+0.00247979j -0.00122003+0.00237018j 0.002734+0.000909048j -0.0044818-0.00435427j -0.00107278+0.00186085j 0.000461156+0.000864506j -0.00100984+0.00029512j 0.000108834-0.000891925j 
-0.00173722+0.000499935j 0.000489759+0.00137016j -0.000641272-0.000618492j -2.79024e-05-0.00166041j 0.00156556+0.000655216j -0.00121087+0.00147656j -0.000375089+0.000884133j -0.00132269-0.000447105j -0.00063899-8.99755e-05j -0.000424358-0.0068303j 0.00379153-0.00257063j -0.00254269+0.00300432j -0.00106426-0.00151681j -0.000265112+0.0015801j 0.00390609+0.00434432j 0.000159074-0.00132128j -0.00549475+0.00108695j 0.00161168+0.0056662j 0.00722599-0.00293449j 0.00728029+0.000263511j 0.000287624+0.000424051j 0.000568202+0.00169866j 0.00457211+0.00907787j -0.00652507-0.000173432j 0.00142852+0.00354099j 0.00118493-0.00338999j -0.00474759-0.000581454j -0.00482502+0.000440665j -0.00130814+0.00431924j 0.00240849+0.0108551j -0.00465205+0.00155725j 0.000593677+0.00156268j -0.00160312+0.00333336j -0.000661872-0.000478508j -0.0026029-0.00424054j 0.000437798+0.00646745j -0.00262354+0.00123251j -0.00353716-0.000792759j -0.00464807-0.00330262j 0.0027881-0.00162546j -0.00510329+0.00388657j 0.000386741+0.00685177j 0.00789534+0.00657288j 0.000455151-0.00344812j 0.00196474+0.000919718j 0.00634157-0.00398702j 0.00274989-0.00331452j 0.00136974-0.000883565j -0.00391709-0.00351107j 0.00257874-0.0024785j 0.000231671-0.00161646j -0.00170456-0.00279092j -0.00534205+0.00371461j -0.00250114+0.00332986j -0.00205343-0.000200315j -0.0021352-0.00356371j 0.00376585-0.00350582j 0.000621027-0.00102387j -0.00174972-0.00499027j 0.00264303+0.00816646j -0.00155859+0.00446201j -0.00440277-0.000162227j 0.0077348-0.00250744j 0.000620719-0.00328473j -0.00604063-0.00286231j 0.0036929-0.00293938j 0.00110004+0.000434666j 0.00215834-0.00956904j 0.00275943-0.00372177j 0.00196631-0.00312828j -0.00289693-0.00343564j -0.00219689+0.00280211j 0.00490419+0.00282375j -0.00139307-0.00297523j -0.00184071+0.00135337j 0.00146534-0.00115426j 0.000934931+0.00136177j 
