-0.0367194-0j -0.045438-0j -0.0265055-0j -0.00456118-0j -0.00532138-0j -0.00325867-0j -0.00465621-0j -0.00192059-0j -0.00286668-0j -0.000413769-0j -0.00323826-0j -0.000467402-0j -0.00264402-0j -0.00267142-0j -0.000381632-0j -0.00231352-0j -0.000385587-0j -0.00190856-0j -0.000333928-0j -0.000609793-0j -0.000275477-0j -8.80161e-05-0j -0.00212331-0j -0.000375352-0j -3.12793e-05-0j -0.00235007-0j -0.000415438-0j -0.0018579-0j -3.46199e-05-0j -0.0012386-0j -0.00187715-0j -0.000328433-0j -0.00216755-0j -0.000218955-0j -0.000331836-0j -2.73694e-05-0j -0.000766344-0j -1.82463e-05-0j -0.0012644-0j -2.7653e-05-0j -0.0013411-0j -0.000383172-0j -0.000135472-0j -0.000782309-0j -3.1931e-05-0j -0.000223517-0j -0.000237075-0j -1.12893e-05-0j -0.000204085-0j -1.86264e-05-0j -1.97563e-05-0j -0.000138294-0j -1.15245e-05-0j -3.60774e-05-0j -3.00645e-06-0j 
0.000607217-0j 1.06952e-05-0j -0.000857908-0j -0.00721117-0j -0.00011975-0j -0.00515191-0j 0.00715184-0j 0.00893639-0j 4.74052e-05-0j 0.0306131-0j 7.6222e-07-0j 0.000492223-0j 4.37233e-05-0j -4.29188e-05-0j 0.0282354-0j 5.44556e-07-0j -0.0277159-0j -6.17746e-05-0j 0.000351661-0j -3.96181e-05-0j -0.0398925-0j -0.0255844-0j 3.51124e-05-0j -0.000593427-0j 0.00709157-0j 5.5316e-07-0j -9.34882e-06-0j 3.07234e-05-0j 0.00011172-0j 2.04823e-05-0j -3.01581e-05-0j -0.000519248-0j 5.10197e-07-0j -0.000346166-0j 0.000509694-0j 0.00620512-0j 1.26728e-05-0j 0.00413675-0j -4.09251e-05-0j -0.00609095-0j -2.1546e-05-0j -8.62271e-06-0j -0.000214179-0j -3.80737e-05-0j 0.000103043-0j 0.000691665-0j 0.000364143-0j 0.00255948-0j -1.65861e-05-0j -0.00826554-0j -0.00435158-0j 0.000643475-0j -0.00768965-0j 0.000280318-0j -0.00334986-0j 
0.000701153-0j 1.23497e-05-0j -0.000990626-0j -0.00411982-0j -6.84144e-05-0j -0.00294334-0j 0.00408593-0j 0.00510546-0j -0.00526664-0j -0.000755363-0j -8.46814e-05-0j -1.21453e-05-0j -0.00485759-0j 0.00476821-0j -0.000696695-0j -6.04993e-05-0j 0.000683876-0j 0.00686305-0j -8.67706e-06-0j 0.0044015-0j 0.000984327-0j 0.000631282-0j -0.00590894-0j 0.0326196-0j -8.59524e-05-0j -9.30892e-05-0j 0.000513887-0j -0.00517032-0j -1.35409e-06-0j -0.00344688-0j 0.00507519-0j 0.0285421-0j -8.5859e-05-0j 0.0190281-0j -0.028017-0j -7.52084e-05-0j -0.00213265-0j -5.01389e-05-0j 0.00688713-0j 7.38245e-05-0j 0.00362589-0j 0.000473974-0j 0.011773-0j 0.00640728-0j -1.24892e-06-0j -0.0380195-0j -0.0200163-0j -3.10219e-05-0j 0.00279122-0j 0.000100181-0j 5.27428e-05-0j -0.0353706-0j 9.32014e-05-0j -0.0154086-0j 4.06015e-05-0j 
0.000247895-0j 4.36629e-06-0j -0.000350239-0j 3.07928e-05-0j 5.11349e-07-0j 2.19994e-05-0j -3.05395e-05-0j -3.81598e-05-0j -0.00562482-0j 2.79338e-06-0j -9.04405e-05-0j 4.49142e-08-0j -0.00518795-0j 0.00509249-0j 2.57642e-06-0j -6.46138e-05-0j -2.52901e-06-0j 0.00732981-0j 3.20883e-08-0j 0.00470085-0j -3.6401e-06-0j -2.33452e-06-0j 1.43346e-05-0j -0.000736493-0j 2.11169e-07-0j 2.25827e-07-0j -1.16027e-05-0j 1.25428e-05-0j 3.32674e-09-0j 8.36185e-06-0j -1.2312e-05-0j -0.000644432-0j 2.08287e-07-0j -0.000429621-0j 0.000632574-0j 1.84772e-07-0j 5.17363e-06-0j 1.23182e-07-0j -1.67076e-05-0j -1.81373e-07-0j -8.79611e-06-0j -1.07015e-05-0j -0.000265814-0j -1.55435e-05-0j 3.06836e-09-0j 0.000858415-0j 0.000451933-0j 7.62148e-08-0j -6.77127e-06-0j -2.46126e-07-0j -1.29579e-07-0j 0.000798607-0j -2.28978e-07-0j 0.000347899-0j -9.97502e-08-0j 
-5.84294e-05-0j -1.02914e-06-0j 8.25522e-05-0j 0.00104447-0j 1.73446e-05-0j 0.000746207-0j -0.00103588-0j -0.00129435-0j -4.56157e-06-0j -0.00902674-0j -7.33446e-08-0j -0.000145139-0j -4.20728e-06-0j 4.12986e-06-0j -0.00832564-0j -5.23999e-08-0j 0.00817245-0j 5.94426e-06-0j -0.000103693-0j 3.81225e-06-0j 0.0117629-0j 0.00754394-0j 0.000492412-0j 8.59524e-05-0j 0.0315867-0j 7.75743e-06-0j 1.35409e-06-0j 0.00043086-0j 0.000497615-0j 0.00028724-0j -0.000422932-0j 7.52084e-05-0j 7.15492e-06-0j 5.01389e-05-0j -7.38245e-05-0j 0.0276383-0j 0.000177721-0j 0.0184256-0j -0.000573927-0j -0.0271298-0j -0.000302158-0j 1.24892e-06-0j 3.10219e-05-0j -0.00053394-0j 0.000458966-0j -0.000100181-0j -5.27428e-05-0j 0.0114002-0j -0.000232602-0j -0.0368156-0j -0.0193825-0j -9.32014e-05-0j -0.0342506-0j -4.06015e-05-0j -0.0149207-0j 
-6.19738e-05-0j -1.09157e-06-0j 8.75598e-05-0j 0.000735987-0j 1.22219e-05-0j 0.000525815-0j -0.000729932-0j -0.000912067-0j 0.000935858-0j -0.00312444-0j 1.50475e-05-0j -5.02373e-05-0j 0.00086317-0j -0.000847288-0j -0.00288177-0j 1.07504e-05-0j 0.00282874-0j -0.00121953-0j -3.58912e-05-0j -0.000782127-0j 0.00407151-0j 0.00261119-0j -3.58365e-06-0j -0.0117152-0j -0.00072378-0j -5.64567e-08-0j -0.000184561-0j -3.13569e-06-0j -1.14024e-05-0j -2.09046e-06-0j 3.078e-06-0j -0.0102508-0j -5.20717e-08-0j -0.00683388-0j 0.0100622-0j -0.000633308-0j -1.29341e-06-0j -0.000422205-0j 4.1769e-06-0j 0.000621655-0j 2.19903e-06-0j -0.000170227-0j -0.00422825-0j 3.88589e-06-0j -1.05168e-05-0j 0.0136546-0j 0.00718879-0j -0.000261226-0j 1.69282e-06-0j 0.000843598-0j 0.000444132-0j 0.0127033-0j 0.000784822-0j 0.00553395-0j 0.000341894-0j 
5.16448e-06-0j 9.09644e-08-0j -7.29665e-06-0j -0.000123306-0j -2.04764e-06-0j -8.80941e-05-0j 0.000122292-0j 0.000152806-0j -3.87925e-05-0j 0.0016069-0j -6.23737e-07-0j 2.58371e-05-0j -3.57795e-05-0j 3.51212e-05-0j 0.0014821-0j -4.45619e-07-0j -0.00145483-0j 5.05512e-05-0j 1.84589e-05-0j 3.24201e-05-0j -0.00209398-0j -0.00134294-0j 2.98637e-07-0j 0.000976301-0j -0.011532-0j 4.70472e-09-0j 1.53806e-05-0j 2.61308e-07-0j -0.000181675-0j 1.74205e-07-0j -2.565e-07-0j 0.000854264-0j 4.33931e-09-0j 0.000569509-0j -0.000838545-0j -0.0100905-0j 1.07784e-07-0j -0.006727-0j -3.48075e-07-0j 0.00990484-0j -1.83252e-07-0j 1.4186e-05-0j 0.000352366-0j -3.23824e-07-0j -0.000167564-0j -0.00113792-0j -0.000599086-0j -0.00416212-0j -1.41068e-07-0j 0.0134411-0j 0.00707636-0j -0.00105864-0j 0.0125046-0j -0.000461178-0j 0.0054474-0j 
-1.92469e-07-0j -3.39004e-09-0j 2.7193e-07-0j 6.90497e-06-0j 1.14665e-07-0j 4.93315e-06-0j -6.84816e-06-0j -8.55694e-06-0j -1.5026e-08-0j -0.000150549-0j -2.416e-10-0j -2.42065e-06-0j -1.38589e-08-0j 1.36039e-08-0j -0.000138856-0j -1.72607e-10-0j 0.000136301-0j 1.95806e-08-0j -1.7294e-06-0j 1.25577e-08-0j 0.000196183-0j 0.000125819-0j -1.11296e-08-0j 5.68229e-07-0j 0.00218296-0j -1.75335e-10-0j 8.95185e-09-0j -9.73836e-09-0j 3.43902e-05-0j -6.49224e-09-0j 9.55918e-09-0j 4.972e-07-0j -1.61717e-10-0j 3.31467e-07-0j -4.88052e-07-0j 0.00191009-0j -4.01687e-09-0j 0.00127339-0j 1.2972e-08-0j -0.00187494-0j 6.82941e-09-0j 8.25657e-09-0j 2.05085e-07-0j 1.20682e-08-0j 3.17192e-05-0j -6.62296e-07-0j -3.48681e-07-0j 0.000787871-0j 5.2573e-09-0j -0.00254433-0j -0.00133952-0j -6.16152e-07-0j -0.00236706-0j -2.68415e-07-0j -0.00103117-0j 
0.0218946-0j -0.0266586-0j 0.0158044-0j 0.00271968-0j 0.00317296-0j -0.00576677-0j -0.00273181-0j 0.00114518-0j 0.00170931-0j 0.000246717-0j 0.00193087-0j 0.000278696-0j -0.00155126-0j 0.00159288-0j -0.000223904-0j -0.00409417-0j 0.000229913-0j -0.00111976-0j -0.000590943-0j 0.0003636-0j -0.000161623-0j 5.24811e-05-0j 0.00126606-0j 0.00022381-0j 1.86508e-05-0j 0.00140127-0j 0.000247712-0j -0.00109003-0j 2.06427e-05-0j 0.000738535-0j 0.00111928-0j -0.000192692-0j -0.0012717-0j 0.000130556-0j 0.000197863-0j -1.60577e-05-0j -0.00226274-0j 1.08797e-05-0j 0.000753922-0j 1.64886e-05-0j -0.00237331-0j -0.000224808-0j -0.000399999-0j -0.000458983-0j -1.8734e-05-0j 0.000133276-0j -0.000419546-0j -3.33333e-05-0j 0.000121689-0j 1.11063e-05-0j -3.49621e-05-0j -8.11374e-05-0j -6.76145e-06-0j 2.15118e-05-0j 1.79265e-06-0j 
-0.0221215-0j 0.0265947-0j -0.0146238-0j -0.00274787-0j 0.00311458-0j -0.00196317-0j 0.00280398-0j -0.00552456-0j -0.00172702-0j -0.000249274-0j 0.00189534-0j 0.000273568-0j -0.00159288-0j 0.00160874-0j -0.000229913-0j 0.00135409-0j 0.000232201-0j -0.001053-0j 0.000195447-0j -0.00388566-0j -0.000151988-0j -0.000560847-0j -0.00127918-0j -0.000226129-0j -1.88441e-05-0j 0.00137549-0j 0.000243154-0j -0.00111928-0j 2.02629e-05-0j -0.000746189-0j 0.00113042-0j -0.000197863-0j 0.00126866-0j -0.000131909-0j 0.000199833-0j -1.64886e-05-0j -0.000461681-0j -1.09924e-05-0j -0.000697606-0j 1.66527e-05-0j 0.000807614-0j 0.000224269-0j -8.16144e-05-0j -0.00225031-0j 1.86891e-05-0j -0.00012332-0j 0.000142767-0j -6.8012e-06-0j -0.00225279-0j -1.02767e-05-0j 1.18973e-05-0j -0.000397802-0j -3.31502e-05-0j -0.000398242-0j -3.31868e-05-0j 
-0.00341342-0j 0.00415614-0j -0.00246394-0j 0.0200565-0j 0.0233993-0j -0.0425275-0j -0.0201459-0j 0.00844524-0j -0.000266485-0j 0.00367733-0j -0.000301027-0j 0.00415399-0j 0.000241844-0j -0.000248334-0j -0.00333731-0j 0.000638291-0j 0.00342686-0j 0.000174573-0j -0.00880804-0j -5.66861e-05-0j -0.002409-0j 0.000782234-0j -0.000197382-0j 0.0016505-0j 0.000418442-0j -0.000218462-0j 0.00182677-0j 0.000169939-0j 0.00046313-0j -0.000115139-0j -0.000174499-0j -0.00142103-0j 0.000198262-0j 0.000962795-0j 0.00145916-0j -0.000360263-0j 0.000352766-0j 0.000244091-0j -0.000117538-0j 0.000369931-0j 0.000370005-0j -0.00165786-0j -0.00294983-0j 7.15565e-05-0j -0.000420307-0j 0.000982853-0j -0.00309397-0j -0.00074785-0j -1.89716e-05-0j 0.000249176-0j -0.000784395-0j -0.000598354-0j -0.000151697-0j 0.00015864-0j 4.0219e-05-0j 
0.00344879-0j -0.00414617-0j 0.00227989-0j -0.0202644-0j 0.0229687-0j -0.0144776-0j 0.0206782-0j -0.0407413-0j 0.000269246-0j -0.00371544-0j -0.000295488-0j 0.00407755-0j 0.000248334-0j -0.000250806-0j -0.00342686-0j -0.000211107-0j 0.00346097-0j 0.000164166-0j 0.00291315-0j 0.000605784-0j -0.00226539-0j -0.00835946-0j 0.000199427-0j -0.00166761-0j -0.000422778-0j -0.000214442-0j 0.00179316-0j 0.000174499-0j 0.000454609-0j 0.000116333-0j -0.000176236-0j -0.00145916-0j -0.000197787-0j -0.000972772-0j 0.00147368-0j -0.000369931-0j 7.19771e-05-0j -0.00024662-0j 0.000108758-0j 0.000373613-0j -0.000125909-0j 0.00165389-0j -0.000601872-0j 0.000350828-0j 0.0004193-0j -0.000909437-0j 0.00105285-0j -0.000152589-0j 0.000351216-0j -0.000230564-0j 0.000266922-0j -0.00293362-0j -0.000743742-0j -0.00293686-0j -0.000744564-0j 
-0.00264402-0j 0.00321933-0j -0.00190856-0j -0.000328433-0j -0.000383172-0j 0.000696404-0j 0.000329897-0j -0.000138294-0j 0.0198603-0j -2.97939e-05-0j 0.0224346-0j -3.36558e-05-0j -0.0180239-0j 0.0185076-0j 2.7039e-05-0j -0.04757-0j -2.77646e-05-0j -0.0130104-0j 7.13632e-05-0j 0.00422465-0j 1.95178e-05-0j -6.3377e-06-0j -0.000152891-0j 0.00260044-0j -2.2523e-06-0j -0.00016922-0j 0.00287816-0j 0.000131634-0j -2.49284e-06-0j -8.91866e-05-0j -0.000135166-0j -0.00223888-0j 0.000153573-0j 0.00151692-0j 0.00229896-0j 1.93915e-06-0j 0.000273252-0j -1.31384e-06-0j -9.10447e-05-0j -1.99119e-06-0j 0.000286604-0j -0.00261203-0j -0.00464757-0j 5.54274e-05-0j 2.26234e-06-0j 0.00154852-0j -0.00487468-0j 4.02538e-06-0j -1.46953e-05-0j -1.34121e-06-0j 4.22208e-06-0j -0.000942731-0j 8.16523e-07-0j 0.000249944-0j -2.16483e-07-0j 
0.00267142-0j -0.00321161-0j 0.00176599-0j 0.000331836-0j -0.000376122-0j 0.000237075-0j -0.000338612-0j 0.000667154-0j -0.0200661-0j 3.01027e-05-0j 0.0220218-0j -3.30365e-05-0j -0.0185076-0j 0.0186918-0j 2.77646e-05-0j 0.0157332-0j -2.8041e-05-0j -0.0122348-0j -2.36024e-05-0j -0.0451473-0j 1.83543e-05-0j 6.77287e-05-0j 0.000154476-0j -0.00262738-0j 2.27564e-06-0j -0.000166106-0j 0.0028252-0j 0.000135166-0j -2.44697e-06-0j 9.01109e-05-0j -0.000136512-0j -0.00229896-0j -0.000153205-0j -0.00153264-0j 0.00232184-0j 1.99119e-06-0j 5.57533e-05-0j 1.32746e-06-0j 8.42439e-05-0j -2.01101e-06-0j -9.75287e-05-0j 0.00260577-0j -0.000948273-0j 0.00027175-0j -2.25692e-06-0j -0.00143285-0j 0.00165881-0j 8.21323e-07-0j 0.000272051-0j 1.24103e-06-0j -1.43673e-06-0j -0.00462204-0j 4.00326e-06-0j -0.00462715-0j 4.00769e-06-0j 
0.000381632-0j -0.00046467-0j 0.000275477-0j -0.00453218-0j -0.00528754-0j 0.00960996-0j 0.00455238-0j -0.00190838-0j 2.97939e-05-0j 0.0192402-0j 3.36558e-05-0j 0.0217341-0j -2.7039e-05-0j 2.77646e-05-0j -0.0174611-0j -7.13632e-05-0j 0.0179297-0j -1.95178e-05-0j -0.0460845-0j 6.3377e-06-0j -0.0126041-0j 0.00409273-0j 2.2068e-05-0j -0.000372965-0j 0.00445701-0j 2.44248e-05-0j -0.000412797-0j -1.89997e-05-0j 0.004933-0j 1.2873e-05-0j 1.95096e-05-0j 0.00032111-0j -2.21663e-05-0j -0.000217563-0j -0.000329726-0j -0.00383732-0j -3.94405e-05-0j 0.00259992-0j 1.31412e-05-0j 0.0039403-0j -4.13678e-05-0j 0.000374628-0j 0.000666573-0j -8.00026e-06-0j -0.00447688-0j -0.000222096-0j 0.000699146-0j -0.00796569-0j 2.12109e-06-0j 0.00265409-0j -0.00835494-0j 0.00013521-0j -0.00161579-0j -3.5848e-05-0j 0.000428391-0j 
