-0.524997-0.000205319j 0.473384+0.429861j -0.475976+0.427896j 0.0186249+0.319209j -0.221473+0.174436j 0.296167-0.0984604j -0.293443-0.0989928j -0.220809-0.176015j -0.0184594+0.318173j 0.133793+0.000462033j -0.0295621-0.0777405j -0.0114418-0.180985j -0.0321141-0.0619294j -0.126434+0.0300259j -0.0428948+0.085861j 0.142381-0.0808722j -0.00498347-0.000852905j -0.142401-0.0823012j 0.0463123+0.0870686j 0.123899+0.0291309j -0.0325003+0.061376j 0.01343-0.180608j 0.0310723-0.0803307j -0.132973-0.000582678j 
-0.0434366+0.0449233j 0.0431656+0.0433027j -0.0647579+0.0527049j -0.00630452-0.0190268j -0.0408763-0.091149j 0.069808-0.0263731j -0.0898771+0.0216598j 0.042324+0.102201j 0.00199673-0.0386393j -0.00661033-0.0131254j 0.0108923+0.0518861j 0.00317827+0.0270983j 0.0556961+0.126173j 0.0248727+0.023312j -0.122259-0.069283j 0.0248511+0.00828237j 0.0416266-0.162829j 0.10408+0.0485312j -0.0773763+0.0823615j 0.195248-0.0878725j -0.0218141+0.208192j -0.0524116+0.00963576j -0.123293+0.000352353j -0.0937136-0.0671426j 
-0.0221803+0.0974435j -0.0629163+0.0149526j -0.0126701-0.0597021j 0.0424854-0.0617725j 0.064816+0.00447243j 0.09508-0.151499j -0.0934488-0.0482017j 0.162484-0.0345621j -0.0351332+0.0471405j 0.0981048+0.0685498j -0.158411-0.0130295j 0.0734049+0.0121471j -0.01405+0.0541407j -0.0262333+0.0375821j -0.0562435+0.0401047j 0.00830095-0.0112633j -0.181987+0.0482364j 0.173743+0.0857709j -0.0187869-0.0584343j 0.0700309+0.0399322j 0.215385-0.219j -0.0538259+0.0463467j -0.0487003+0.143692j -0.210881+0.0117782j 
-0.0238227+0.0145834j 0.0237028+0.00566505j -0.0274463-0.00279738j 0.00348489-0.0676157j 0.0917295+0.0758072j -0.00705965+0.0669771j 0.00696101+0.0500602j -0.234482-0.0387993j -0.140405+0.00970863j 0.00732801+0.0119633j -0.00804866+0.0235965j 0.0815334-0.00376234j 0.0510041+0.100789j -0.0203468+0.020686j -0.101076-0.0198853j -0.0340047-0.0701426j -0.0440364-0.112411j 0.0375937+0.114314j -0.0258485+0.0449645j 0.0532074-0.121706j 0.083098+0.0766806j 0.024684+0.0313975j -0.000664445+0.104678j -0.111785-0.00590197j 
-0.0562418+0.0726485j -0.053137+0.0639876j -0.0462876-0.06409j -0.00566017+0.0912769j 0.12701+0.0285379j 0.0174255+0.00355068j 0.0230627-0.0896063j 0.0626258+0.0578985j 0.0145199+0.0381454j -0.0356845-0.0228746j 0.0447381-0.0250284j -0.0399121+0.00503932j -0.0845185-0.0821009j -0.0440639-0.0163541j 0.041028+0.0315267j 0.0259619+0.0184164j 0.115734+0.0402091j 0.0141875+0.224811j 0.0242494-0.0752062j -0.00187697+0.106621j -0.0521768+0.0205604j 0.104078-0.0734462j 0.00683523-0.0702026j 0.0236414-0.0111065j 
-0.0167983+0.112758j 0.0139185-0.0220888j 0.0149364+0.0182951j 0.0555748+0.0142954j 0.0394734+0.0817505j -0.0614999+0.00725515j 0.036873+0.0942941j -0.0492047-0.101612j -0.199691+0.086132j 0.0520989+0.0329753j -0.057921-0.0594107j -0.063215-0.12276j -0.0404981-0.0283207j -0.0564403+0.0910351j 0.0432123-0.032885j -0.167855+0.235872j 0.0247388+0.0863738j -0.0159533+0.0139723j 0.00875989-0.0219051j -0.040482+0.0697094j -0.0476693-0.127549j 0.038836+0.00271371j 0.0551125-0.00619475j 0.024131+0.020949j 
0.00348567-0.00101186j 0.046407+0.0801769j -0.0468998+0.0787286j -0.0445644-0.0878882j 0.0400138+0.135254j 0.0167982-0.127836j -0.0174396-0.126558j 0.044491-0.137155j 0.0467006-0.0904812j -0.0866285+0.0244983j 0.0874093+0.0127426j -0.108845-0.00926848j -0.116787-0.0973866j -0.0567816-0.0942831j -0.00572853+0.106091j -0.0702625-0.0063852j 0.215578-0.000775441j 0.0703897-0.0063362j 0.0111917+0.100295j 0.0538004-0.0944782j -0.116107+0.0962151j 0.10842-0.0135573j -0.0858527+0.0109278j 0.0878474+0.0238625j 
0.0185431+0.112807j 0.0156975-0.0177202j 0.014261+0.0222313j -0.19965-0.0874607j 0.0464591-0.099722j 0.0354291-0.0949935j -0.0619298-0.00666829j -0.0405041+0.0791927j 0.0551122-0.0169396j 0.0244126-0.018979j 0.0540807+0.00755096j 0.0407601+0.000233055j 0.0496856-0.123313j -0.0379133-0.0708997j 0.00612596+0.0229382j -0.0159963-0.0198337j -0.0300459+0.0809246j -0.16657-0.238424j 0.0423133+0.0361406j -0.0563128-0.09586j 0.0425127-0.0263054j -0.0634941+0.124458j -0.0590993+0.0638494j 0.0497622-0.0312828j 
0.0575353+0.0708427j -0.0482464+0.0639764j -0.0524261-0.0654167j 0.0117088-0.0389836j -0.0583487+0.0581305j 0.0238947+0.0892091j 0.0201369-0.00507671j -0.130115+0.0306029j -0.00381016-0.0892356j 0.0162881+0.0111042j 0.00302369+0.0650111j 0.105561+0.0728787j 0.0486691+0.0268669j 0.00554795-0.0994037j 0.020902+0.0728309j 0.0202096-0.234931j -0.114693+0.0308766j 0.028386-0.0153439j 0.0322356-0.0270137j -0.0432639+0.0146553j 0.0841566-0.0764216j -0.0384834-0.00581856j 0.042719+0.0243935j -0.0363166+0.0222091j 
0.0213409+0.0122271j -0.0245867+0.00237373j 0.0242286-0.00334549j -0.142155-0.00992634j 0.237109-0.0400241j 0.00511981-0.0548527j -0.0095726-0.0690544j -0.0885239+0.0733813j 0.00415019+0.0687794j -0.112446+0.00634965j 0.000152077-0.106708j 0.0195791-0.0381761j -0.0865219+0.0721666j 0.0505047+0.122242j -0.0270821-0.0501701j 0.0328283-0.103483j 0.0508808-0.111491j -0.0355033+0.0744196j -0.100032+0.0211723j -0.0174841-0.0210223j -0.0548642+0.103761j 0.0855299+0.00207448j -0.00923808-0.0235036j 0.00999176-0.0122933j 
-0.0218183-0.0968303j 0.0117501-0.0597349j 0.0624331+0.0143427j 0.0362793+0.0473705j 0.162173+0.0341941j 0.0913031-0.0475451j -0.0972224-0.152628j 0.0637449-0.0075906j -0.0423657-0.063823j 0.209405+0.00987576j 0.0486522+0.144309j 0.0550014+0.048434j 0.21721+0.219869j -0.0653913+0.0391573j 0.0155897-0.0600462j -0.170169+0.0837247j -0.185828-0.0475147j -0.00364993-0.00948607j 0.0566386+0.0416404j 0.0255741+0.0358181j -0.0128758-0.0529618j -0.0752711+0.0116023j 0.157997-0.0143621j -0.0984203+0.069382j 
0.0430052+0.0433562j -0.0650948-0.0535069j 0.0431911-0.0434664j 0.00285225+0.0347865j -0.0413361+0.101269j -0.0890848-0.0221585j 0.0694758+0.0257364j 0.0394754-0.0932606j -0.00476698+0.0209932j -0.0955491+0.06581j -0.126586-0.00419118j -0.058243-0.0166406j 0.015646+0.20563j 0.196481+0.0902133j -0.0828467-0.0879681j 0.104709-0.0415624j -0.0346833-0.161885j 0.0258052-0.00175267j -0.123397+0.0692181j 0.0287317-0.0225273j -0.0567841+0.127463j 0.00655464-0.0294343j 0.00934973-0.0518546j -0.0060987+0.0116061j 
0.0511342+0.0900354j 0.0730063+0.0125795j 0.0231511+0.0784332j 0.0242955+0.19419j -0.0563843+0.0407892j -0.0170455+0.0854618j 0.0568671+0.0139757j 0.0331485+0.0816945j -0.0437676-0.0381173j 0.0667376+0.0102682j 0.170692+0.160169j 0.0496338+0.184925j 0.154764+0.128392j -0.136905-0.0948197j 0.00752354+0.0153549j -0.00666181-0.0218323j -0.0171535-0.0766672j 0.0130132+0.0114811j 0.0856341-0.0038624j 0.106672-0.0539466j -0.106594+0.127212j -0.0242216+0.0323889j 0.0227296-0.102298j 0.0175755+0.0324751j 
-0.0829629-0.0297131j -0.00645942+0.0163667j -0.073792+0.00727565j -0.137067+0.177328j 0.0647053+0.0179708j -0.135275-0.0887378j 0.025666-0.00240088j 0.0507362-0.0154334j -0.00823025+0.0117755j -0.0607527+0.0770796j -0.000834073+0.0965173j 0.0670054+0.0825174j 0.0466835+0.0276625j 0.0144735-0.105542j -0.0105503+0.0548359j 0.14673-0.22136j -0.0263378-0.0346948j -0.00469039-0.00295187j -0.036941-0.0528458j -0.0213545-0.0654203j 0.0293281+0.0699938j 0.0180062+0.012834j -0.0330948-0.00671213j 0.00882536-0.00760818j 
