-0.0251492+0.104225j 0.0301785-0.00499389j -0.0134774+0.00385977j -0.116223+0.0486271j -0.0285722+0.0154365j 0.0420378+0.0258948j 0.097386+0.00788029j 0.0554688+0.0193632j 0.0302566+0.0338095j 0.0151289+0.0131407j 0.0398108+0.0185174j -0.00491543+0.0196153j 0.0592107+0.0783189j 0.010466-0.0491502j 0.0153503+0.0232237j 0.0418036+0.0406119j -0.00432277-0.019834j -0.00483474-0.0544475j -0.00825332+0.0197622j 0.0283692+0.0289195j -0.0166128+0.052734j -0.000250163-0.0294198j 0.033641+0.0724809j 0.0261594+0.0319389j 0.0152661+0.000116924j 0.00732042-0.0319902j -0.00863097-0.0214792j -1.46901e-05-0.0178384j 0.000310715-0.0249393j -0.0126872-0.0420695j 0.0351911-0.0488576j 0.0240124-0.0203578j -0.0699845-0.0466454j 0.0962626-0.0414814j 0.0217596+0.0375939j 0.0455901-0.0613108j -0.0345995-0.0183656j -0.0842358-0.0643856j 0.0475005-0.0218156j 0.0213577-0.0614276j -0.067256-0.199095j -0.168056-0.0949084j -0.175379+0.189187j -0.186845-0.0961905j 0.102338+0.0291224j -0.0507906-0.0916899j -0.0588116-0.0703647j 0.0173077+0.111572j 0.0528578-0.0287486j -0.100072-0.180357j 0.205975-0.318057j 0.326074-0.126781j 
0.0158641-0.0156505j -0.0212257-0.0331401j -0.0463124-0.000835012j -0.0186371-0.02757j -0.0195902+0.0485244j 0.047063-0.0815136j -0.0178738-0.0303155j 0.0237768-0.0481929j -0.0304155+0.00239887j -0.00787367-0.0632715j 0.0608633-0.0246041j -0.131388-0.0308341j -0.0971775-0.0224312j 0.0160353-0.0781027j -0.0061997+0.0251588j -0.10536-0.102717j 0.0498011-0.0145426j 0.059574+0.0346726j 0.0445477-0.0363562j -0.012984-0.107524j 0.0799413-0.0534635j 0.152313+0.0217862j -0.0194919+0.0789229j -0.0770491+0.0697516j -0.0269737-0.0917202j -0.221445+0.0276918j 0.0152213+0.000983724j -0.117779-0.147205j 0.0594468+0.0481487j -0.0510904+0.150407j -0.0767935+0.0570344j 0.100563+0.16553j -0.171154+0.269797j 0.160971+0.144824j -0.0667632+0.241315j 0.191121-0.122651j -0.139076-0.0176282j -0.0116169-0.00701115j 0.0409433+0.233087j 0.00754468-0.011425j 0.194915+0.0253024j 0.0588236+0.108579j -0.0296097-0.0537295j 0.039889+0.114238j 0.0840772-0.090549j 0.0223542-0.0373628j 0.0130127+0.101271j 0.0158011-0.0500309j 0.0315094+0.00382685j 0.050699+0.00897554j -0.0078343-0.0259252j -0.0199666+0.0135001j 
0.0394175+0.0178866j 0.00777959-0.010497j -0.00678646-0.00103101j 0.0196857-0.00178455j -0.0121244-0.00134247j 0.0119344+0.012142j -0.028601+0.0186336j -0.0158219-0.0159879j -0.0040642+0.0253571j -0.0285485-0.0825147j 0.0955448+0.0502355j -0.0286774-0.0295166j -0.118498+0.110922j -0.123559+0.0829629j 0.0609894-0.0347402j -0.0224959+0.0124521j 0.00753245+0.137888j 0.0592207+0.0646895j -0.103422-0.0848136j 0.023228+0.203886j 0.0488648+0.0526959j 0.034398-0.0687037j 0.0434032-0.171257j 0.11873-0.0522786j 0.0363069+0.129454j -0.0713018+0.0176911j 0.036653-0.0942996j -0.0260486+0.107912j 0.00076556-0.1671j -0.0204573-0.196463j -0.00338413-0.0926604j -0.0703809-0.0669862j -0.0745123+0.0439101j 0.0702865+0.0818243j -0.0141247+0.0717567j 0.0528511+0.0892562j -0.0329889+0.0400054j -0.0255417+0.130299j -0.0737381+0.124212j -0.0241073-0.0709398j -0.0903528+0.0163019j -0.0755573+0.00558506j 0.0340766-0.015634j 0.0595117-0.0380033j 0.013161+0.0866533j 0.0619144+0.0133641j 0.0677878-0.0579431j -0.00948542+0.0145579j 0.00531206-0.0121686j 0.0097506-0.0217054j -0.0237856-0.0372152j 0.0126533+0.00546542j 
-0.00888099-0.0117573j 0.019086+0.0094603j 0.0193937+0.00165609j 0.00659606-0.0125529j 0.01666+0.026798j 0.00310347-0.0591034j -0.00258713-0.0495228j -0.0426218+0.0817456j 0.0309204+0.111344j -0.00499939-0.0798982j 0.0333899-0.0043163j 0.0361144-0.0270851j 0.000347297-0.0732052j -0.0414773+0.0106064j -0.0592485-0.070524j 0.0027806-0.0211151j -0.0101893+0.114879j 0.0710521-0.0331434j -0.0309641-0.0207416j 0.0727535+0.0859827j 0.0044892+0.00663289j -0.0468028+0.0340837j 0.152062+0.023584j -0.164172-0.0218709j -0.145546-0.110499j 0.0593352+0.0487117j -0.0620032+0.0703959j 0.111904+0.108672j -0.0406319+0.172699j 0.146706+0.0220622j -0.0741922+0.0288971j 0.0493996+0.0507648j 0.0752819-0.0595221j 0.00681412+0.0051733j -0.000324694+0.00519312j 0.0386155-0.0392214j 0.0546177+0.0480062j 0.00923466+0.00631017j 0.0323135-0.132142j 0.0371552+0.0614338j -0.0308536+0.029551j -0.0262901-0.0311322j -0.00970034-0.0656598j 0.0159125-0.0202318j -0.0224335+0.0105797j 0.00697001-0.0215606j -0.0101929+0.0312885j -0.00618949+0.0605285j -0.00875527-0.0301363j 0.0391789-0.000330085j -0.0253139+0.00496089j 0.0146024-0.00630966j 
0.0187308+0.0254684j 0.0227874+0.00545271j 0.027314-0.0424572j -0.0432635-0.0121424j 0.0213963+0.0304732j 0.0322025+0.0422764j -0.0191946+0.0315001j 0.00484425-0.0308729j -0.0320565+0.00421026j 0.0125547-0.0237416j -0.00938868-0.00185205j -0.016886-0.0657144j 0.0989359-0.0154428j 0.120033-0.0120985j 0.0926787+0.073476j 0.0698929+0.0449338j 0.0903939-0.187781j -0.109421+0.0235113j 0.0770347-0.0684541j 0.0105333-0.0659118j -0.130158-0.0800055j -0.0561378-0.0885818j -0.0671755+0.0707976j -0.0845572-0.095475j 0.0783594-0.021529j -0.0842132+0.0297391j 0.0533722+0.00349375j 0.0896955-0.0250316j -0.0287349+0.119434j -0.070703-0.0232808j -0.0729468+0.122317j 0.12212-0.0627099j -0.00481935+0.0489873j -0.0473219-0.0207947j 0.0779827+0.0416178j -0.098273-0.195079j -0.0793913+0.0510522j 0.0949433-0.0934199j 0.124227-0.00785202j -0.1161-0.00401092j 0.0287882-0.0810047j -0.00910542+0.0226891j 0.00180956+0.00422973j -0.0375718+0.0257251j 0.0131493-0.0533195j 0.00473498-0.053691j 0.020826-0.0180543j 0.0115796-0.0174494j -0.0371278+0.0175039j -0.0214595-0.0309822j 0.0449987-0.00870535j 0.0065142-0.0155549j 
-0.00425073-0.00214148j -0.0335059-0.00588483j -0.043601+0.012993j 0.00642195+0.0228973j -0.00586469-0.0547842j 0.00560628-0.0242633j 0.0221844+0.0120306j 0.0214761+0.0185093j 0.0139708+0.00593335j -0.020865+0.0561495j -0.0453457+0.000829841j 0.0215377+0.0260145j -0.0257435+0.0264473j 0.0194104+0.134456j -0.0165064-0.0107619j -0.0226892+0.0460672j 0.00401532-0.0131417j 0.0269279-0.024586j 0.00542587+0.039925j 0.0560185+0.0708189j -0.0282939+0.0268637j -0.0823593-0.0433278j 0.167217+0.00533071j -0.0380271-0.191118j 0.0641129-0.127744j 0.0732848-0.0102994j 0.0401361+0.0680143j -0.138298+0.119646j -0.165365+0.074562j 0.199685+0.00710123j -0.0430821-0.0205169j -0.0102108+0.0204975j 0.0763787-0.117409j 0.0116471-0.06125j -0.0759745-0.0557307j -0.0105285+0.120935j -0.00572733-0.0109559j -0.0328718+0.0747208j -0.0571799-0.0466166j 0.0457723-0.0621806j -0.0141947-0.0220323j 0.0407522+0.0136354j -0.0211095+0.0847671j 0.0181815-0.0840742j 0.032429+0.0668221j -0.0221543+0.0482696j -0.000905656+0.0356294j 0.0175085-0.0302988j 0.0178758+0.0180943j -0.0161423+0.00481057j 0.0023138+0.00255618j -0.0140979+0.0119369j 
0.00491932+0.00120988j -0.0484182+0.0358021j 0.00393806-0.0284821j 0.00451317+0.0126316j 0.00191068-0.00568498j 0.0819387+0.0839641j 0.0383577-0.0431449j 0.0245868+0.102776j 0.087501+0.071706j 0.0769649-0.0293584j -0.0449363+0.0121988j 0.117059+0.0392469j 0.0336482-0.0592754j -0.0825736-0.115758j -0.0379401-0.136373j 0.0220606+0.0185684j -0.0158642+0.0889579j -0.0323674-0.0126337j -0.0108252+0.0289149j -0.0182245-0.0407247j 0.0643748-0.0979372j -0.00342593+0.0837405j -0.04171+0.22602j -0.029168+0.164904j -0.00855185-0.11992j -0.0517332-0.0277874j -0.00447904-0.0265503j 0.0441717-0.173605j 0.185781+0.0356006j 0.0275784+0.224554j 0.0604993+0.0692158j -0.0814694+0.0640908j 0.0332857-0.21191j 0.12549-0.0140385j -0.122623+0.0628573j 0.00906747+0.175672j 0.0269852+0.035106j 0.0406327+0.0391536j -0.116562-0.106478j 0.0904393+0.114008j 0.0294202-0.0526322j 0.0797981-0.0153232j -0.0718442+0.0397464j -0.0249317+0.0383188j 0.0210665-0.0300587j -0.0191792-0.0527973j -0.0252601-0.00565229j -0.0257629+0.0187688j 0.0282353+0.00845423j 0.00976139+0.00265555j 0.0302716+0.00885131j 0.0390467-0.0166759j 
0.0171123+0.023324j -0.0017303-0.0628633j 0.0686269-0.00261835j -0.0286671-0.00684111j 0.00193123-0.0135643j -0.0825126+0.113147j -0.10125-0.0264894j 0.10297+0.0617968j -0.0679462+0.0631874j -0.00885501+0.01836j -0.0127798+0.10733j 0.173212+0.00450578j -0.035186+0.030785j -0.0193827+0.191109j 0.0347795-0.0304481j -0.185892+0.0121327j 0.0838258+0.123508j -0.0461046-0.190558j 0.137764-0.181217j 0.226635+0.217204j 0.0931796-0.0911543j 0.1049+0.105422j 0.0984594+0.0685189j -0.09998+0.069187j 0.13353-0.133118j 0.196295-0.052857j -0.0945427+0.0865043j -0.0285982-0.0791558j 0.0771587+0.0687125j -0.0293057+0.0326102j -0.187276+0.0316172j 0.0638813+0.0228417j 0.00463479-0.0745965j 0.0187089+0.125693j 0.0765487-0.0495249j 0.0445445+0.0130054j -0.107527+0.0460689j -0.0813316-0.0194597j 0.000894514-0.0559064j -0.188241+0.00527789j -0.14442+0.0482753j -0.0667879-0.0354577j 0.0178002-0.0840942j 0.0769321-0.026239j -0.0070383+0.0579222j 0.0248727-0.0108472j -0.0285386-0.0697968j 0.0360095+0.0540383j 0.0265432-0.0423449j -0.0439996+0.0144145j 0.00525464-0.0370096j -0.0564246+0.0039435j 
-0.00592418+0.0140376j -0.000833998-0.0426183j -0.0225464+0.0813623j 0.00581983-0.00158862j -0.00659209+0.0209261j 0.0120196-0.0599257j 0.0730677-0.0428285j -0.0626568+0.0697299j -0.160803+0.001111j -0.0475189+0.0615109j -0.167757-0.0585567j -0.0155069+0.0108376j -0.0478484-0.104236j -0.0116929+0.0748276j -0.123942+0.03505j 0.0278274+0.0125346j 0.234826+0.0852104j 0.0744281-0.0841364j -0.0294789+0.156545j -0.0764387+0.0785932j 0.0841177-0.147298j 0.0913238-0.0385821j 0.0722339+0.0888596j 0.133784+0.0115306j -0.14336+0.0398876j -0.109563+0.0466149j -0.118469+0.0488356j -0.0123272-0.00484517j -0.0250544+0.0683857j 0.144925+0.0796066j -0.06456+0.00250919j 0.0427214+0.0890837j -0.0985504-0.0329509j -0.0186362-0.204152j 0.132078-0.0817771j -0.0628705-0.0993599j -0.0477755+0.0373445j 0.110725+0.0284224j -0.089602-0.0723755j 0.174686+0.0378922j 0.0123797+0.0771372j -0.0372119+0.021626j 0.0776304+0.0360759j -0.0162661+0.0119097j 0.0540183-0.031864j -0.00712354+0.0386765j -0.0248196-0.0203124j 0.0298877+0.00680753j -0.00454411-0.0205221j -0.000257488-0.0106047j -0.0281132-0.00465344j -0.0568631+0.0361989j 
0.0137058+0.034748j 0.043926-0.0134057j 0.0487576+0.0886196j -0.0198947-0.00654161j -0.0374985+0.0120656j -0.0961501-0.160751j 0.101565-0.0522181j -0.154019+0.0705204j -0.0595818+0.145354j 0.233312+0.0697539j 0.0186014-0.0177725j 0.0941575+0.0552445j -0.093834-0.0708762j 0.0562301+0.00158371j 0.132169+0.064809j -0.142775-0.0149676j 0.261867-0.228933j -0.018353-0.0437337j -0.0921762+0.00781648j 0.0621296-0.0448195j 0.000810354-0.152687j -0.0962912-0.0688466j -0.0878863+0.0252812j 0.0870942+0.126968j 0.273552+0.146154j 0.00372848-0.128945j -0.0186319+0.00806073j -0.129413-0.126733j 0.0835017-0.112872j -0.123163-0.00281471j 0.123217-0.015329j 0.0132673+0.0200362j 0.00971492+0.0003725j 0.0361055-0.0729238j 0.127829+0.00834023j 0.0573315+0.112994j -0.0270292+0.133548j -0.0441435+0.0732681j -0.0329139+0.00549889j 0.000971075+0.0785808j -0.0254456+0.0719422j -0.112596+0.000864046j 0.0371712+0.0614298j -0.0281895-0.0756518j 0.0328602-0.0185155j 0.0396427+0.0280157j 0.000101145+0.0550012j 0.0265453+0.0359613j -0.0618068-0.0748037j 0.0371306-0.0462533j 0.00846701-0.020031j -0.00882262+0.00845756j 
0.00276137-0.0109461j -0.026481+0.0457102j -0.0355548-0.069751j 0.0123715-0.00519604j 0.00265594+0.0203238j 0.146184+0.0301435j 0.0129292-0.013157j -0.0127915+0.0517841j 0.135263+0.0946845j 0.0516149-0.286245j 0.147598-0.0423229j -0.037247-0.142136j 0.0668187+0.00463031j -0.126659+0.155995j -0.0507012+0.0164543j 0.096924+0.0221995j 0.243054+0.0859036j -0.0730877-0.181144j 0.105013-0.0976115j 0.0105069+0.138943j -0.0651889-0.1148j -0.0723779-0.233426j -0.0884225+0.0237721j 0.0301851-0.209957j -0.000630447-0.0587079j 0.0250258+0.10441j 0.0539356+0.0185512j 0.18258+0.0764548j -0.0380439-0.0482263j 0.0708438+0.0784787j 0.0514737+0.0590306j -0.0237582+0.0203667j 0.0661142-0.0157044j 0.0586952+0.0513199j -0.217425+0.0167544j -0.00302071+0.019627j 0.0262028+0.112709j 0.0750166+0.130226j 0.0450245-0.0465975j 0.0364001-0.0223051j 0.00571425-0.105716j 0.0136516+0.117844j -0.0416529-0.0222032j -0.0331031+0.144779j 0.0428031-0.00208744j 0.0257872-0.0858963j -0.0408541+0.0268539j -0.0565655+0.0261332j 0.00830948+0.0366856j 0.0419984-0.0238429j 0.0337624+0.00946875j 0.0547124-0.0175569j 
-0.0294538-0.0288583j 0.0328212+0.00250419j 0.0384931+0.0540116j 0.0367757+0.0274804j 0.00311558+0.0390497j -0.0400226-0.0997342j 0.0251747-0.0715402j -0.174434+0.133511j 0.0838594+0.295006j 0.111158-0.0652649j 0.130523+0.0530977j 0.0908067-0.00883363j -0.0408009-0.121939j -0.0559478-0.0986476j 0.111962+0.00179591j -0.0670114-0.0413852j 0.0389498+0.00821777j -0.00368443+0.132707j -0.173529-0.0575471j -0.0350238+0.132118j 0.0387098-0.00208856j -0.195586-0.00812762j 0.0477414-0.00836866j -0.154934+0.144468j -0.078641-0.0141038j -0.0788755+0.00172161j -0.0850113-0.0267313j 0.167205+0.123632j -0.0379078+0.0643158j 0.056543-0.0906557j -0.0598686+0.0487973j 0.0529517+0.0393966j 0.0810161+0.0457481j 0.073397-0.0721502j 0.0875524+0.121887j 0.0563069+0.0296178j 0.07225+0.148482j 0.00347844+0.0580517j 0.0102412-0.0172973j 0.0555244+0.0469139j -0.0829294+0.0726328j -0.0532012-0.00843151j -0.00540575-0.0196171j -0.0322933-0.0791469j -0.00226627-0.0397432j -0.0350576-0.00823879j -0.013969+0.0193391j 0.0175276+0.0308843j -0.018545-0.056969j 0.0544543+0.0140626j -0.0252521+0.0311747j 0.0166858+0.00432505j 
-0.0168869+0.0409179j -0.0217201-0.0915904j -0.024404+0.0173458j 0.0201605+0.0536495j 0.0752011+0.189758j -0.210543-0.00306449j -0.219889+0.00111701j -0.0844568+0.0478226j -0.026316-0.0492916j -0.11528-0.0602547j 0.252335-0.195094j -0.0915788-0.118088j -0.037678-0.177813j -0.136605-0.0209782j -0.168691+0.023317j -0.0407797-0.0268937j 0.108513+0.129635j 0.0997996-0.0796175j -0.0498279-0.0202461j -0.0095535-0.169062j -0.0620815+0.0970733j -0.111552-0.123079j 0.0434293-0.161922j -0.0224235+0.0240241j 0.0293397-0.0729164j 0.0727478+0.0998503j 0.151543+0.0571428j -0.044961-0.00992019j -0.0381015-0.131564j -0.00889101+0.0440066j 0.0203591+0.148441j -0.128789-0.0232033j -0.00711994-0.0199781j 0.0558617+0.092065j 0.099797-0.0226048j -0.0294793-0.0173259j 0.0662619-0.0358873j -0.141249-0.039575j 0.078698+0.0270647j -0.0832545+0.039941j -0.100498+0.0147588j -0.036379-0.0138771j -0.04301-0.0661756j 0.0193979-0.0517797j -0.00273991-1.97417e-07j -0.0679433-0.00157511j 0.0256632-0.00904732j 0.0464466+0.0355189j 0.0493719-0.0282883j -0.00158989-0.0146649j -0.0250384-0.0266778j -0.0660803+0.04544j 
-0.0257976-0.0693254j 0.0134647+0.00576677j -0.0260093+0.0013163j 0.0722184+0.000243888j -0.0900282-0.0111237j 0.00330828+0.16764j 0.0477996+0.065244j -0.0849839-0.0557792j 0.0906713-0.0859159j -0.0202955-0.107396j 0.101664-0.0545173j -0.0541476-0.148812j -0.0339176-0.12248j -0.0956429+0.0486612j 0.206749+0.148971j -0.0339144+0.0813405j 0.0902654+0.07697j -0.113501+0.0233303j 0.0677229-0.182943j -0.307047+0.114437j 0.0826736+0.0420245j -0.039785-0.0311289j -0.189466+0.0886768j 0.126464+0.113811j 0.0340044-0.121963j -0.0623552-0.241153j -0.0312429-0.0491918j 0.10248+0.00918259j -0.120221-0.0576627j -0.0798243+0.00513592j -0.0208549+0.0289291j 0.0651451-0.00614757j -0.0784404-0.0348319j -0.111026-0.0397221j -0.0044376-0.0115788j -0.058914-0.04205j -0.0492135-0.0407217j 0.0213907-0.02462j 0.00695526+0.000153838j 0.0205566-0.0405559j -0.019866+0.00664322j 0.0143646-0.0762597j 0.0365355+0.0698168j 0.00187968-0.0453471j -0.0162878+0.0180443j -0.0261804+0.0351235j 0.041138-0.0764534j -0.0108522-0.0116712j 0.0441471-0.010713j 0.0160473+0.0505005j -0.033646+0.0414375j 0.0183748+0.00629235j 
0.0100756-0.0852857j 0.0190525+0.0213931j -0.105917-0.0236551j -0.0870967+0.027316j -0.124708-0.276544j 0.00621282-0.264301j 0.204847+0.0480476j -0.0564021-0.1094j 0.203868+0.0052263j 0.0125728-0.161667j -0.0670124+0.0514775j 0.0100291-0.0982281j 0.000615144+0.0839174j -0.0916512+0.211692j -0.0173844+0.039179j -0.0952379-0.0970067j 0.0140885-0.0574606j 0.121592-0.185219j 0.0885429-0.00485963j -0.103161-0.0201283j 0.0371582+0.088296j -0.0251877+0.0950809j 0.00567749-0.0930068j -0.118236+0.0911011j 0.130994-0.19022j 0.195279+0.0278059j -0.121695-0.027326j -0.0609679-0.0849971j 0.0520719+0.049688j 0.0110185+0.0391243j 0.107976-0.0283087j 0.0921353+0.0199074j 0.0524813+0.11291j 0.0533472-0.0432774j 0.0590492-0.0290653j 0.0623699+0.0192122j -0.0191211+0.0426292j -0.0288452+0.0194749j 0.0334711+0.0561334j 0.0817515-0.0131575j 0.0330097+0.0391742j 0.0456502+0.0353387j 0.0410779-0.00800752j -0.0539833-0.011676j 0.0987849+0.0587293j 0.0101596+0.0179851j 0.0321309+0.111267j -0.0186581-0.0735485j -0.00280978+0.100177j -0.0217406-0.00159467j 0.011361+0.0194591j 0.046998-0.00547177j 
0.0714351+0.133378j -0.136008+0.00504196j 0.0265139+0.179427j 0.109951-0.015472j -0.111176-0.143423j 0.0594083-0.0933601j 0.120501-0.0560317j -0.00845167-0.264154j 0.0927215+0.0143369j -0.114343-0.262693j -0.00920286-0.0134662j -0.0804205+0.140676j -0.067937-0.0271311j 0.0955372-0.200779j 0.108057+0.0432348j -0.0100297-0.01784j 0.046447+0.0864247j 0.185906-0.136495j -0.0760889-0.0603223j 0.108667-0.137059j 0.146832+0.050367j -0.104976-0.151902j 0.0150021+0.0207747j -0.020079-0.0381995j -0.0567496+0.105619j 0.02211-0.130113j -0.0182723+0.0890194j -0.0192834+0.0467702j -0.0401582+0.102432j -0.00399015+0.0256729j 0.0186397-0.134321j -0.114874-0.0399096j 0.106528+0.0483153j -0.170476+0.0219275j -0.00901273-0.0412137j 0.0222279+0.0111964j 0.0106163+0.0165504j 0.0375381+0.0131799j -0.0898972+0.010213j 0.0528835-0.0319892j 0.0904589+0.029096j 0.0137758+0.0852677j -0.0600993-0.0370832j -0.0535094-0.0302952j -0.0512753-0.0099547j -0.0224229+0.00867988j -0.0943124-0.0512999j -0.0168513-0.0156331j 0.0526104+0.0225891j -0.00124662+0.00275233j -0.0273603-0.0452327j -0.066475+0.0575389j 
-0.0929038-0.0480231j -0.0462082-0.118555j 0.138473-0.0368887j -0.111373-0.205752j -0.0403381-0.107876j 0.159895-0.0068345j 0.0414632+0.112762j -0.0860527-0.230742j 0.136568-0.0685396j -0.197258+0.00722503j -0.11683+0.0548003j 0.129527-0.0544585j 0.111691+0.192046j -0.247882+0.0178089j 0.0549218-0.13382j 0.166403+0.0620406j 0.0486111+0.00710037j -0.102574-0.0337657j -0.077802-0.0404367j -0.00832975-0.172896j 0.00106696-0.132972j -0.0396373+0.0331582j 0.119272-0.0814441j 0.0902882-0.0560803j 0.0707922+0.0732892j -0.0484002-0.0430494j -0.0347344-0.0367743j 0.0396909+0.0461492j 0.0122707-0.0201868j -0.00203559-0.0170653j -0.000295831-0.00629778j -0.00200988-0.0370185j -0.00587196-0.00166373j -0.0255517-0.00268015j 0.0677266-0.0151063j -0.0163809-0.0213445j 0.0071374+0.0022494j 0.0186794-0.0444432j 0.00911304-0.00549851j -0.0683134+0.0825528j -0.0567558+0.020795j -0.0639076-0.102293j 0.00610277+0.0206552j 0.0141404+0.00798843j -0.0730161+0.0491662j -0.0406966-0.0162706j 0.0165789-0.0112564j 0.0284011+0.0775835j -0.0223044-0.023631j 0.0332294-0.0210886j -0.0645424+0.0392896j 0.0397261+0.0273861j 
0.377539+0.337372j -0.163524+0.0477622j 0.0716952-0.0759469j -0.0308393+0.135348j -0.042779-0.0863453j 0.0198235+0.137118j -0.0288761+0.0431711j -0.096017+0.0652287j 0.0180793+0.198286j -0.334106-0.0608387j -0.134828+0.2784j -0.10098-0.0936348j -0.130523-0.0601652j 0.00335436+0.0225154j -0.0394245+0.109192j -0.0245479-0.040456j -0.0484277+0.0414428j -0.00440229+0.0411709j -0.0963402-0.0526938j -0.103816-0.022296j -0.0916517-0.0778912j 0.0191852+0.0265757j -0.0222199+0.0419005j -0.0151802+0.0338505j -0.00236324-0.0394477j 0.0205984+0.0387595j 0.0274707-0.049132j 0.00556474-0.00575442j 0.0131289-0.021084j 0.0568489-0.00373905j -0.0210468+0.0414704j -0.0421786+0.06446j 0.016257-0.0337268j -0.0107424+0.000481176j 0.0158303-0.020107j 0.00781545-0.0258579j -0.0623181+0.0131076j 0.0130423+0.0208478j -0.042949+0.0213552j -0.07896+0.0527374j 0.0255632-0.0392686j 0.00373126+0.0548496j 0.0572663+0.00426496j 0.0416763-0.02009j 0.0361754-0.0359799j 0.118547-0.0114149j -0.00134198-0.0203528j 0.0127307-0.00899192j -0.0767381-0.00360359j -0.054386-0.0461346j 0.0773393-0.0916272j -0.103795+0.024919j 
-0.202571+0.0553079j -0.381964-0.355785j -0.0120775+0.116618j -0.0906864+0.0501284j -0.0238695+0.0686385j 0.0550622+0.0594438j 0.0391969-0.0722479j 0.0164709+0.0155136j 0.319278+0.0539059j 0.0197375+0.314835j 0.108527+0.121513j -0.171433+0.191463j -0.0619712+0.0500713j -0.114544+0.0451147j 0.123692-0.0139935j -0.06214-0.0181469j -0.0108463+0.0737043j -0.0386147+0.0445332j 0.0870852+0.000985215j -0.0155674-0.0328085j -0.0245279-0.0711915j -0.0378603+0.00826265j -0.0230939-0.0643264j -0.0150151+0.0101934j -0.0193634-0.0490831j -0.0110548+0.0526228j 0.0518757+0.0147888j 0.0151838+0.000417853j -0.0169071+0.0310988j -0.0116782+0.0646586j -0.0226877+0.037336j -0.0146904-0.0348141j 0.0126171+0.0666252j -0.0190287-0.0289125j -0.0498968+0.0583813j -0.0177329+0.0562136j 0.0430163-0.0429617j -0.00864745+0.0399695j -0.0235196-0.0374485j 0.050117-0.0751948j 0.0752027+0.018857j -0.0307933+0.0283554j 0.0236714-0.0350361j 0.0517457+0.0377268j 0.0896364-0.0583075j -0.0409063+0.0320073j -0.053086+0.0159755j 0.0497216-0.00684326j 0.068992+0.0373459j -0.0531798+0.00912293j -0.0834002+0.0222063j -0.0545828+0.0815404j 
0.0597902-0.0420136j 0.0725221+0.122169j 0.0302677-0.0808297j 0.0591176-0.0216039j 0.0243508-0.0332222j -0.0235409+0.00236948j -0.0271007+0.01387j -0.0630747+0.0150518j -0.0395321+0.000986331j -0.000212868-0.054446j -0.0528071-0.00455355j 0.00244186-0.0668019j -0.0183459-0.0389799j 0.00452814+0.0361409j -0.0252882-0.0185529j -0.00492033-0.0239662j -0.0204855-0.0135947j 0.0115866+0.0486466j -0.0101341-0.0145117j -0.0149632+0.019886j 0.00937425-0.0231645j 0.00980916+0.0199507j -0.0394615-0.0319688j -0.006778-0.0136926j -0.00521977+0.016413j -0.0172998+0.0175849j 0.00142756+0.0300999j 0.0172863+0.00917593j 0.0137582+0.00010527j -0.00993867-0.0111644j 0.00498943+0.0324014j 0.0139032-0.00415872j 0.0627166+0.0149003j -0.0425354+0.0258119j -0.0441141-0.0143126j -0.00498914+0.0387817j 0.0218142+0.0186336j 0.0476937+0.0226272j -0.0100875+0.00825914j 0.00635801+0.0354067j 0.0773942+0.121937j 0.111185+0.00401275j 0.0787974-0.135475j 0.118607+0.0147576j -0.0630815-0.0100679j 0.0282416+0.0381027j 0.00427517+0.0159539j -0.00643272-0.0462j -0.0466552-0.0233116j 0.0231122+0.082352j -0.121212+0.148435j -0.112097-0.057833j 
-0.0733147-0.135314j 0.0635141-0.022929j -0.0369235+0.0165023j 0.0465976-0.0818896j 0.00273271-0.00747739j 0.0031342-0.033723j -0.0648119+0.0244455j 0.0176539-0.00310182j -0.0483343-0.0660769j 0.0287433-0.00754203j 0.0174457-0.0452062j 0.099818-0.00318261j 0.0118454+0.0143436j -0.0219052+0.00203796j 0.00579985-0.00396365j 0.00281323+0.0123387j 0.0294114-0.0250729j -0.0448996-0.00681845j 0.00910234+0.0034225j -0.044934+0.00588519j 0.0261489+0.00505072j -0.0100365+0.0364117j 0.0173789-0.0282565j -0.0112213-0.000533763j -0.0122273-0.0133226j 0.00136156-0.00220727j -0.0192344-0.0312245j 0.00856776+0.0139905j 0.00192707+0.0219051j 0.0437251+0.00660431j -0.02234+0.0220607j -0.0323817+0.0394436j 0.0120582+0.0382709j -0.0144873+0.0055752j 9.70721e-05-0.0610887j -0.0512447-0.00537404j -0.0226173+0.0208715j -0.0101517+0.0285733j -0.0024129+0.0182967j -0.0549629+0.0194826j -0.105341+0.0247666j 0.0376801+0.141567j 0.0973941+0.0542197j -0.0539543+0.122775j -0.0279353-0.062528j -0.0189405-0.0129017j -0.00962925+0.0549542j -0.00668097-0.00745838j 0.0212203+0.0823011j 0.0478774+0.0395117j 0.0962293+0.0573351j -0.109548+0.139429j 
