0.087215+0.0210088j -0.00330922-0.00219006j 2.29151e-05+0.00413j -0.0228894-0.0739913j 0.00265049-0.0253242j 0.0122085-0.00229788j -0.0189754+0.0631229j 0.00833811-0.0240512j 0.00721795-0.00294845j -0.0158842+0.0261698j -0.0129509+0.00816018j -0.00471704-0.0454653j -0.0252879-0.0308799j 0.00404637+0.0261463j -0.00448576+0.0140982j -0.0197356+0.00912674j 0.00687012-0.019588j 0.0111074-0.00980254j 0.0321037-0.00253708j 0.00616411-0.00499463j 0.0184704+0.00385616j 0.00446049-0.00799529j -0.00223259-0.00604546j -0.0114813-0.0219725j 0.0102219-0.00235846j -0.00388527-0.00572197j 0.0108556+0.00160122j -0.00851434+0.0283905j -0.0174006-0.00628988j 0.0141999-0.0180728j -0.00379789+0.000486711j -0.00187277-0.00994316j 0.00160209+0.00953213j -0.00495984-0.00779792j -0.0151048+0.00838419j -0.0138519-6.66169e-05j 0.00863936+0.00638154j -0.0239881+0.0125248j 0.0472977-0.0128422j -0.00733645+0.000408716j -0.0130441-0.0187359j 0.0237606+0.00586327j 0.0145445-0.0259867j 0.00490516+0.011913j -0.00601482-0.00148772j -0.0220201-0.00534609j 0.00659898+0.0347711j 0.00859044-0.00526476j -0.00190368-0.00053355j 0.0214454-0.00576134j 0.000743327-0.000750595j -0.000604158-0.00184248j -0.00772856+0.000125466j 0.00626942+0.0238893j 0.0356908-0.0174119j 0.0307121+0.0106283j -0.0137365+0.0135274j -0.0215319-0.0193595j -0.00940184-0.00705076j -0.0118855+0.0146004j -0.0324999+0.00797945j 0.0379195-0.00356982j -0.062305-0.00254239j -0.0190226+0.0354151j 0.0332338-0.0280777j -0.0109365-0.0237117j 0.0563243+0.00474505j 0.0116099+0.00576262j 0.0282277-0.0291313j 0.0148032-0.0358904j 0.0404792-0.0341986j -0.0223094+0.0243783j 0.074409-0.0159486j -0.00406985-0.0391539j -0.0936866+0.00849593j 0.0596696+0.0233005j -0.0542774+0.0201j 0.0393027+0.0119991j 0.000169912+0.0763575j 0.0227085+0.0305918j 0.00102639-0.0488594j -0.100731-0.00483167j 0.0469492+0.0240095j 0.00462135+0.109909j -0.0156799+0.066897j 0.0570422+0.0428355j -0.0702001+0.108204j 0.0914174-0.0363159j 0.103607-0.016579j 0.0799425-0.153744j 0.234203+0.149707j -0.0916447-0.176224j 
0.0326591-0.0309183j -0.0186624+0.0180454j -0.0134534+0.0430054j 0.00941043+0.0148912j -0.00367698-0.0238698j 0.0551239-0.0266326j -0.0117818+0.00758991j 0.00497994+0.0371148j 0.0841646+0.0223059j 0.0270389+0.0278992j 0.0230476-0.00986828j -0.0407154+0.0315144j -0.0105567-0.0137389j -0.000659245+0.095794j 0.0233805-0.00972335j -0.107168-0.00397609j 0.063811+0.0240295j 0.00579365+0.0546889j 0.000104215-0.0380849j 0.0648692+0.00422792j 0.0531202-0.127518j 0.0159808+0.0087895j -0.134994+0.00585018j -0.0726036-0.043401j 0.0379754-0.0597758j -0.0758755+0.0478325j 0.0313789-0.0791097j -0.0199547-0.00492645j -0.0067746-0.0322393j -0.118168+0.0911507j 0.0326294-0.0063561j 0.0222648+0.0126464j -0.138022-0.0379248j 0.0210768-0.0391264j 0.0607734-0.05476j -0.148168+0.0654826j -0.121827-0.0374511j -0.0911787+0.0673466j 0.00717911+0.0895639j -0.01054-0.00296968j -0.055983+0.0837857j -0.0194593-0.0381425j -0.0164903+0.000110567j -0.111263+0.0737079j -0.104364-0.101154j -0.0434944+0.0410692j -0.0688463+0.0294947j 0.0979201-0.0827741j 0.0235495+0.0131609j 0.0185391+0.000759333j 0.00487057-0.0750439j 0.0746033-0.000121668j -0.00241902+0.0676414j -0.0221339-0.143627j -0.000564964+0.104359j 0.0616303-0.0378906j -0.0617702-0.0458766j -0.0253565-0.11939j -0.052563-0.0148833j 0.0672476+0.112504j -0.0205791+0.114865j -0.0256489-0.0136187j -0.0683001-0.0114088j -0.0153446-0.0384223j -0.00933578-0.0549917j 0.0101226+0.027162j -0.0175842+0.0664724j -0.0375348-0.0937185j 0.00692356-0.106817j 0.0337367+0.00775877j 0.0170043-0.0780993j -0.0644337+0.0615899j 0.0406841-0.0321049j 0.0448351+0.0997239j -0.00361982+0.0562852j -0.0130526-0.0475844j -0.00318912-0.161648j 0.0445823-0.107342j -0.0288343-0.0744034j 0.0194074-0.0260011j -0.0990092+0.11448j -0.178093+0.0511387j 0.0647175-0.0177196j 0.0670594-0.0283085j -0.0308018+0.057557j 0.0269657+0.0628729j 0.0300704+0.0165551j 0.0114739+0.0347069j -0.00914768+0.0601125j 0.0233569-0.0259978j 0.0896319+0.0939205j 0.0577783-0.00580158j 
-0.0164976-0.0077173j 0.0509954-0.00600939j -0.0156708+0.00766637j 0.0145056-0.0123042j 0.0718657-0.05448j 0.0831465-0.0321072j -0.0555547+0.0176417j -0.0153001-0.0484424j 0.0656921-0.0725068j -0.00639794+0.00616103j 0.0671343-0.0397744j -3.13552e-05-0.0767329j -0.024795-0.0139218j 0.0694503+0.0538696j 0.0459172-0.0174504j -0.0228489-0.00873948j -0.0452271+0.00288264j 0.0149471-0.0186738j 0.0247015+0.0846899j -0.0856868+0.0343031j -0.0287268-0.0853194j 0.114438-0.0388235j 0.113663-0.0830316j -0.00281538+0.0192014j 0.0585124+0.0197059j 0.0269461+0.00887976j 0.0370995-0.0790246j -0.0173314-0.0510466j -0.0200052+0.0489836j 0.0022912-0.00544129j -0.0350437-0.0612701j -0.0425798-0.00989769j 0.161719-0.000544608j 0.0672334+0.0391744j -0.0631925+0.0436332j 0.0890197-0.0737198j -0.0214716-0.119524j -0.0497552+0.140319j 0.0450148-0.0757279j -0.0294516-0.0595289j 0.00288603+0.218712j 0.0250594-0.152185j -0.0345742-0.0491809j -0.0696457+0.0747466j 0.0351447-0.193051j -0.0361008+0.0171284j -0.0331851+0.0125913j -0.058619+0.0553389j 0.0793964-0.0870494j 0.0248221+0.0383128j -0.106939+0.0302646j -0.0626521+0.0325059j -0.00219054+0.0236989j 0.0755377-0.00335634j 0.0417662+0.0530124j -0.0347452+0.0737019j -0.00978206-0.0536027j -0.00415817+0.0187897j 0.00310387-0.061189j -0.0255918+0.014579j -0.0467271+0.0179819j 0.0646635+0.0534226j -0.0673959+0.0865759j 0.0111635-0.00780617j 0.0579771+0.0538197j 0.0371273-0.0811226j 0.0733704+0.0314728j -0.0123196-0.00940605j -0.0285856-0.0372941j 0.0632767+0.0766513j 0.0771532-0.0157844j 0.0111437-0.0280054j 0.0868004+0.0082858j -0.0959281-0.0203361j -0.0709629-0.0295728j 0.0125285-0.0401281j -0.0976069-0.02873j 0.0295889+0.0869271j -0.0416851+0.0562835j 0.0642851+0.0500415j 0.0707224-0.0539407j -0.0492921-0.0366709j 0.0287037+0.117665j -0.010063+0.0650933j 0.0339094-0.00615159j 0.0127307+0.0730168j -0.077258-0.0331012j 0.0876101+0.0693711j 0.000587266-0.0406606j 0.0100487-0.0583146j 0.0457196-0.00187924j -0.0818199-0.125866j 
0.00770579-0.000328692j -0.00536674+0.000938572j -0.00874663-0.0083002j 0.00425079+0.00505038j 0.01902+0.0196731j 0.0264982+0.0012685j -0.0139766+0.0290458j -0.0222708+0.0288864j 0.0616311+0.0714828j 0.0194944+0.0186876j 0.0568998+0.0290411j -0.0250627+0.01875j -0.0545775+0.0197472j -0.0074614-0.0279388j 0.0403197+0.0201294j 0.0372174-0.0961785j 0.14287-0.141567j 0.142572+0.0388619j -0.0299397+0.0397377j -0.0446103+0.106787j 0.235048-0.0524212j -0.000127213+0.115952j 0.0362759+0.0141972j -0.0498108+0.00842257j -0.0584478+0.0311035j 0.045053+0.102137j 0.0266084-0.0143778j -0.0709414-0.00459658j 0.0181829-0.0459204j -0.0194981+0.100025j -0.056154+0.0367286j -0.0940994+0.0119436j 0.0380248-0.00725368j 0.00397139-0.0654587j -0.138307+0.108199j 0.0800386-0.00944065j -0.139223+0.046178j 0.0274861+0.0284361j 0.132829+0.106091j -0.0625272-0.024717j 0.0762913+0.0920375j -0.15452-0.0928153j 0.00113843-0.0837145j -0.199978-0.0756764j -0.0230926-0.0823651j -0.0682222-0.0697227j 0.140234-0.000582642j -0.0335497-0.0591202j 0.116508+0.0288629j 0.0296417+0.018943j -0.0245668+0.0442947j -0.0603442+0.0784275j -0.110674-0.0362269j -0.0251849-0.0459751j 0.0148424-0.0382968j -0.128908-0.0293842j -0.0329807+0.0463989j -0.0110543+0.00721654j 0.0257909+0.00900385j -0.0184752+0.051307j 0.0196021-0.0433077j 0.117117-0.0229095j 0.0303067+0.0162875j 0.10268+0.00568405j -0.00176939+0.00829928j 0.00875873+0.0171635j 0.0190186-0.0531318j -0.0443974-0.117767j 0.0302999+0.087973j -0.0149329-0.123826j -0.0573667+0.0614989j -0.0625334+0.0958837j -0.00510202+0.0483471j 0.0113599-0.0015609j -0.00818978+0.0132067j 0.0315119-0.06643j 0.0368754-0.0107296j -0.00501238-0.0625994j -0.0382964-0.00522375j -0.0138009+0.0030088j -0.00862627-0.0282806j 0.0210907+0.00622479j -0.0278805-0.0310589j -0.00723925-0.00611028j -0.0224805-0.00542416j -0.00665193+0.0102852j -0.00154028-0.000773603j 0.00331063+0.00166402j -0.00663173-0.0109052j -0.00484962+0.00547186j -0.0108619-0.00360309j 0.000993834+0.0108266j 
0.021008-0.0270327j -0.00231868+0.00976602j 0.0246491+0.0114844j 0.0107579+0.0245355j 0.00577533-0.0314004j -0.0364464-0.0115647j -0.00166811-0.024595j -0.00387547+0.0189856j 0.036104-0.0243291j -0.0508031-0.0249465j -0.0171757-0.0353858j -0.0629865-0.0723501j 0.0283404+0.0380455j -0.0237407+0.0049412j -0.0426559-0.0181853j 0.0461654-0.102798j -0.0251833+0.0198848j 0.0275259-0.0137736j -0.014453+0.0557844j -0.081302+0.0500071j 0.0320918-0.076809j 0.0251609+0.066758j -0.00757824-0.0884921j -0.00499602+0.0423823j 0.0145039-0.000992997j 0.0314284+0.0213425j -0.105066-0.0429089j 0.0643472+0.0387348j 0.0201741-0.0369482j -0.0404593+0.00192261j -0.104882-0.0836086j 0.0248579-0.0256948j 0.0505065+0.089455j 0.0147487-0.0250698j 0.0131544+0.0472988j -0.0415244-0.0634559j 0.0324295+0.00842814j 0.036884+0.116412j 0.0448023-0.104454j 0.00732666-0.0865531j -0.0553299+0.124512j -0.0171116-0.0419673j -0.0228333-0.0369336j -0.0167798+0.0732187j 0.0351368-0.170865j 0.00171321-0.0138547j 0.0873224+0.0271027j -0.105589+0.0439131j -0.0793179-0.129947j -0.0456873+0.0469787j -0.0503275-0.0118415j 0.0519932-0.0550484j 0.0874324+0.013243j 0.0284962-0.0208119j -0.0381372+0.00608333j 0.105534+0.0142635j 0.0163916-0.0524417j -0.0482128-0.112632j -0.00733122-0.117402j 0.0566058-0.0849212j 0.0305426-0.122983j 0.0502187-0.0456273j -0.00352205+0.00471041j 0.0226446-0.041029j -0.0956603+0.063943j 0.0318365+0.0271678j -0.00174088-0.0458071j -0.0125211-0.0933949j -0.0716697-0.122904j 0.0388031-0.0290134j 0.0363818+0.0289101j 0.0335906-0.073469j 0.0229896+0.0491087j -0.0373128-0.0409633j 0.136067+0.00601116j -0.0878191+0.0496642j 0.0383058+0.0930753j -0.00996007-0.0683317j 0.0979838+0.064491j -0.0169549-0.0143216j -0.0475562+0.0196699j -0.0690654-0.0105788j 0.0359591-0.0532043j 0.0434525+0.0601932j -0.00212166+0.020356j 0.0255983-0.0656199j 0.0651663+0.0633903j 0.00975473-0.00211478j 0.00525133+0.0649483j 0.0222519+0.00605402j 0.0681262+0.0795041j 0.0669804+0.0289602j 
0.0100243+0.00860115j 0.0615547-0.0497752j 0.0219352-0.0191314j 0.00767676-0.0041318j -0.0139028-0.00500292j 0.00985985+0.0131236j -0.0798586+0.0852951j -0.00623208-0.0408288j -0.0535785+0.0612293j -0.0451015+0.0379946j 0.00258721-0.0185572j -0.0957852+0.0557604j -0.103279+0.0431086j -0.00420348-0.103271j 0.00296772-0.043059j -0.0772717-0.0612997j 0.0452608-0.120167j 0.013333+0.00489796j 0.0134722-0.0894913j 0.00289351-0.0148706j -0.00263536-0.0429291j -0.136535+0.0876297j -0.0781447+0.0635229j -0.0620031-0.110438j -0.0328568-0.0116061j -0.0595118-0.0139449j -0.033181+0.0230439j -0.00258869-0.00467211j -0.00709509+0.0146685j -0.0124363+0.0637483j -0.0262335+0.0658917j -0.0117678+0.114543j -0.00462283+0.0383842j 0.0549397+0.036944j 0.24246-0.118949j -0.0260683-0.110988j 0.0461273+0.0183469j 0.0679356+0.0065211j 0.0290728-0.0179491j -0.0454994+0.0829889j -0.0982089-0.187688j 0.0249159+0.123565j 0.156617+0.030853j 0.00486319-0.0269312j -0.046376+0.0441655j 0.0683935+0.0182494j 0.109311-0.0917014j 0.0508335-0.0371425j 0.0260721+0.000476775j 0.0292844+0.0698361j 0.0437804+0.0758546j 0.0561724-0.0187949j -0.0339294-0.0462157j -0.131152-0.00623527j 0.080258-0.0551151j 0.0310108+0.0534052j -0.0116163+0.033194j 0.115674+0.0301413j -0.0408483+0.0957738j 0.0269877-0.068859j -0.0123404+0.0201074j 0.00284504+0.134728j -0.0190262-0.0204187j 0.0206777-0.0350847j -0.0107439-0.078821j 0.000189638-0.000990651j 0.0606118+0.0240858j -0.0270353-0.0520717j -0.00132751+0.0172037j -0.015582-0.0706797j 0.00440676-0.0267555j 0.0438378-0.0568507j 0.0348385+0.0575025j 0.0396884-0.00994415j -0.0407565+0.0315578j -0.0404183+0.0104577j 0.0129208+0.00145701j 0.051577+0.0108173j 0.0163434+0.0470887j 0.0585898+0.0959835j 0.0627499-0.0635294j -0.0561616-0.107761j 0.0937046-0.00399903j -0.00145327+0.0883443j 0.0661729+0.00921291j 0.0262253+0.0141497j -0.0315085+0.0207366j 0.0216488+0.0286848j 0.0138585-0.00162041j -0.0271695-0.0522604j 0.0791667+0.0198135j -0.0784616-0.133021j 
0.00449327+0.0133381j -0.0211662+0.00224838j 0.0625055-0.0140585j 0.0246484+0.00997794j 0.00861958-0.0473801j -0.146887+0.00376294j 0.0355385+0.127308j -0.0219021+0.0228273j -0.0444219+0.0421184j 0.0697407-0.145391j -0.0947585+0.0189917j -0.0422301-0.0800123j 0.11246-0.0281958j -0.0143809-0.0367833j -0.182127+0.0823871j -0.033519-0.115434j 0.0588154-0.0942298j 0.0782419+0.0492011j 0.0307669+0.0108967j 0.0425161-0.00709679j 0.125258-0.0186533j 0.0373113+0.0342406j -0.176056-0.0195852j -0.0342826+0.0334718j -0.0337111+0.0338962j -0.0207912+0.056382j -0.0291378+0.00131852j -0.00295668-0.00747134j 0.0386077-0.0223207j 0.0127231-0.0123836j -0.0330464+0.00768589j 0.036984-0.0112997j -0.0757147-0.00565823j -0.0520352-0.042255j -0.0202813-0.0101067j 0.0367719+0.145j -0.0350255+0.0959239j 0.0333461+0.0321933j 0.0667651-0.00943819j 0.0064516-0.0706218j -0.063264-0.117095j 0.0713469+0.00919615j -0.0837483-0.088116j -0.129986+0.0674155j -0.0288014+0.0369643j 0.0201159+0.00460267j -0.00584223+0.105861j -0.027048-0.0588835j -0.0246659+0.105066j -0.0920458-0.151457j 0.0225245+0.00891619j -0.0389608+0.0936477j 0.0130709-0.0617461j 0.117762-0.0228203j -0.0577736-0.0388475j -0.0283928+0.0788497j -0.000706999+0.00613227j -0.0268193-0.0164419j 0.0775537+0.0101241j 0.015345+0.00626457j -0.0776958+0.0978536j -0.0129872-0.0141304j 0.0557398-0.0863012j -0.132419-0.0196651j -0.0652315-0.0498483j 0.0056923-0.0447569j 0.00953759+0.0379992j 0.0290249+0.0735844j -0.0793124-0.0351916j -0.0257816-0.082207j 0.0800703+0.102109j 0.115607-0.0317568j -0.0434847+0.0112341j -0.0148857+0.119585j -0.0418818-0.0212152j -0.0100013+0.105867j -0.127336+0.0210199j 0.0230262+0.130404j 0.0317927-0.0654234j 0.063155-0.0321164j 0.0610125-0.0109017j -0.00388142+0.0292128j 0.0311461+0.0534104j 0.0179641-0.00650968j 0.081231-0.0013956j 0.0189837-0.0246802j -0.00418211-0.00938944j 0.0178012-0.0139078j 0.015838-0.022417j 0.0366782-0.018571j -0.00919463-0.0275764j 0.00304872-0.0105714j 
0.00696853-0.0115295j -0.0575661+0.0450218j 0.0192764-0.0226934j 0.0359194-0.00185306j -0.0235745+0.0164114j -0.0257333-0.0451565j -0.0592662+0.00272022j 0.0490636+0.0401717j -0.155849-0.00631083j -0.0377378+0.00510474j 0.0528116-0.0291971j -0.0970235-0.0619575j -0.113312+0.0734881j -0.0733382-0.124003j -0.0660558-0.0189108j -0.106978-0.0996599j 0.0683693-0.119186j -0.0526672+0.0315065j 0.0203441-0.0673776j -0.0588666+0.0812939j 0.00720693-0.0714942j 0.0201803+0.0790326j -0.0842526-0.0283459j -0.0624433-0.0892169j -0.0605799+0.0193389j -0.0323899+0.0913669j -0.064421-0.0390371j -0.138188-0.0565213j -0.0514642+0.059076j 0.0596173+0.0105768j 0.0319884-0.00167544j 0.0892725+0.0882894j -0.0289189-0.0218728j -0.00232325+0.0210626j 0.184392-0.0666616j -0.0402649-0.0533435j -0.0480371-0.0383108j 0.0454515+0.0976569j -0.0136614+0.0264509j 0.0210513+0.0773795j -0.179052-0.0298007j 0.0681485+0.0910919j 0.0456913+0.0128148j -0.0810561+0.0954834j 0.0624675-0.0180092j 0.0736055+0.0133266j 0.156099-0.0472636j 0.00392579+0.0267608j 0.0552837+0.00280393j -0.0356294-0.0123595j -0.0498177+0.0162253j -0.0686552-0.0352153j 0.0802115+0.0171055j 0.00295389-0.0733103j -0.00234391-0.00932596j 0.0357275-0.00421774j -0.0414196+0.0639837j 0.0717321-0.0340511j -0.0849541+0.000907018j 0.0321884+0.0504341j 0.069391-0.0215049j -0.0521944-0.096348j -0.0677757+0.0957195j 0.0222979+0.0036795j 0.113066+0.0808308j 0.0337383-0.0148737j -0.0251433-0.00697487j -0.00850662+0.011331j 0.0408753+0.0124363j 0.0748167+0.0475646j -0.0101438+0.0312612j -0.0433183-0.0253079j 0.0361866+0.00275493j -0.0341494+0.0120641j -0.0256522-0.0472653j 0.0767708-0.10425j -0.0479074-0.0132743j -0.0792104+0.0198793j 0.0503604-0.0653414j -0.0188557-0.0488079j 0.0135883+0.0438192j 0.0599385+0.0853027j -0.0607872+0.096578j -0.0450291-0.0743693j 0.0353363-0.00722892j 0.0261444-0.0150292j -4.28465e-05-0.0341799j 0.0772235+0.0292058j 0.00872426-0.0333225j 0.0362569+0.0126463j -0.0554363-0.0265329j 0.0527649+0.0826063j 
0.0116814-0.0150797j -0.0251022+0.0229543j 0.0189871-0.0183749j 0.00158374-0.00419594j 0.0310561-0.0341141j 0.0205929+0.00751634j -0.0619781+0.0795935j -0.0669979+0.0198063j -0.0141692+0.0331948j -0.0413271-0.0425224j -0.0663343+0.0312031j -0.00793777+0.020419j 0.00469257+0.0721431j 0.0106471+0.123327j -0.0938996+0.0310554j -0.0181925-0.0331285j -0.12686-0.00967344j -0.00924406+0.0236596j 0.0269183+0.0801924j -0.0028053-0.112474j -0.0886239-0.0292283j -0.114537+0.0634751j -0.0299555-0.0326186j 0.153108+0.031373j 0.0444527+0.042341j 0.0514782-0.0308853j 0.0402833-0.0366649j -0.000636347-0.0493704j -0.0268473-0.0174096j -0.0859975+0.0176592j -0.0640053+0.0358987j 0.107025-0.0100457j -0.0119845+0.043658j -0.0120716-0.0436986j -0.020327-0.0371162j 0.081936-0.0335984j 0.0999287+0.0482796j 0.00337353+0.00909935j -0.0583876+0.0094565j -0.159897+0.0694656j 0.125484+0.00136048j -0.0329279-0.00949077j 0.175065-0.0756338j 0.0298166-0.0355237j 1.38671e-06+0.00455911j 0.014068+0.0493182j 0.0624878-0.104736j -0.0547399+0.0193474j -0.036146-0.0878683j 0.0178636+0.00936642j -0.0434304+0.0373279j -0.0358897+0.0250656j -0.0749361+0.00176585j 0.103306+0.058257j 0.0314358+0.0809781j 0.0224699+0.0292885j 0.0689656-0.000314375j 0.00744988-0.0211609j 0.0234181+0.0153323j 0.0334834-0.00283918j -0.0306623+0.108898j 0.025633+0.0638161j -0.0341623-0.0411495j 0.0242159-0.0831045j -0.0159018-0.00200935j 0.0496178+0.0124004j -0.0150941+0.103712j 0.00304922-0.112786j 0.0586401+0.00677503j -0.0413167-0.088699j -0.0757762-0.0842241j 0.0345503-0.0736524j 0.0190148-0.0672178j 0.0707957-0.0391715j -0.0297878+0.143837j -0.0463233-0.0797367j 0.0366837-0.00916014j 0.00972617+0.0186656j 0.0895425-0.0899299j 0.0332699-0.102575j 0.032018-0.0306193j -0.00792723+0.0610404j 0.0024103+0.0688602j -0.00782618+0.00279445j 0.0461411-0.0444537j -0.00812143+0.0319438j -0.0231644-0.0508919j -0.0100186+0.0078627j -0.0332094-0.0339536j 0.00580113+0.0306564j -0.0147718-0.00874723j 0.0365043+0.0335681j 
0.0168666+0.0146818j -0.0326047-0.0008949j -0.0643666+0.0235776j -0.00415119+0.000450801j 0.0310376+0.0190566j 0.0958597-0.0473241j -0.0219629-0.0788223j 0.0947031-0.0999954j 0.107832+0.00698144j 0.0939433-0.114252j -0.172267+0.084292j -0.0127695+0.0698059j 0.133335-0.181963j 0.0744671+0.0156534j 0.0889483+0.00585898j -0.0151872-0.0480955j 0.0132584-0.0469168j -0.00521396+0.0490512j 0.084794-0.0879377j -0.0555384-0.132848j -0.0476177-0.0690687j 0.171977+0.0734285j -0.0159049+0.0150187j 0.0377987-0.0170899j -0.00465113+0.0358911j 0.00448169+0.0877124j 0.0288579-0.0173901j -0.0119803+0.109973j -0.0688071+0.0403068j -0.0874374-0.0832968j -0.049729+0.0137118j -0.0843152+0.0511026j -0.00390384-0.115342j 0.106027+0.0194857j -0.106563-0.0622387j 0.000893659-0.0449206j 0.034866+0.106495j -0.0838772-0.112129j 0.0450639+0.0732086j -0.0336902+0.0500727j 0.0921727+0.00542712j 0.0121139+0.0815003j -0.0638022-0.127426j -0.0320945-0.0421172j -0.116725+0.0443555j -0.074172+0.0141277j -0.0887786-0.0971922j 0.0174079-0.0223539j 0.0467809+0.0588217j -0.034647+0.0269457j -0.00896987+0.0558633j -0.020071+0.00323498j -0.13629-0.0858847j 0.0665432-0.0296642j 0.0260645-0.0330342j 0.0253976+0.0345091j 0.0358323+0.0808091j -0.108243+0.0874365j -0.0612496+0.0111616j -0.0745891-0.00870935j -0.044405+0.0263864j 0.0785748-0.0443411j -0.0258478+0.125796j -0.0117624+0.01817j -0.00655984+0.0394623j -0.00534899+0.00535761j -0.0299218-0.0427811j 0.00730219+0.117237j 0.115699+0.0744046j -0.00214979+0.0374966j -0.0294341-0.0245059j -0.038781-0.00942448j 0.00240935-0.0767041j 0.0397237+0.0453853j -0.0689058-0.0370742j 0.00435862-0.0422822j 0.00733768-0.00360504j -0.00707784-0.0558022j 0.0192588-0.0724859j 0.0219794-0.00441729j -0.0329562-0.00494017j -0.0369227+0.0646328j 0.0644614+0.0137876j 0.0449616-0.0245423j 0.0165429+0.0373915j 0.0350788-0.00830362j 0.0476647+0.0154104j 0.0642012-0.00545391j 0.00729093+0.0197177j 0.00707279-0.0444168j 0.032397+0.0612426j 0.0526247+0.00927518j 
0.0271224+0.0204331j 0.000598677+0.0328909j 0.0236446+0.0136856j 0.00826919-0.0115768j -0.0332462+0.0239982j 0.0280552+0.0190516j -0.00848278+0.0210119j 0.0220201-0.0759308j 0.01557-0.0298115j -0.100103+0.117034j -0.0361203+0.1477j 0.0232116+0.0798434j -0.217183+0.123934j 0.0649438+0.158347j -0.00547177+0.0220334j -0.0346943+0.110507j -0.134802-0.0380282j -0.0734414+0.0895277j -0.0318275-0.00531222j 0.0559919+0.0296171j -0.0406899+0.0459655j -0.113466+0.0968422j 0.0246273-0.0310833j 0.0244683+0.00292558j 0.0803606-0.0519475j 0.0585644-0.0413194j 0.0159087-0.00467184j -0.00277702-0.0218157j -0.0289571+0.100797j 0.010489-0.0355814j -0.00168568+0.0618804j 0.0153402-0.15908j -0.0312916-0.0347109j -0.0318663+0.1328j 0.00687336+0.0168881j -0.0334173-0.0481851j 0.0388738+0.0912779j -0.068877-0.00136487j -0.0167151+0.133957j -0.0631032+0.0835559j 0.0705624+0.0228501j -0.0158945-0.00850373j 0.0129582-0.176258j 0.0191351+0.00727058j -0.0353378+0.0122913j -0.0182264-0.00706888j 0.0713096-0.0280841j 0.0408538-0.00565823j -0.0603702+0.0516864j -0.0337334+0.0962769j 0.0383052-0.0768005j 0.0311515+0.0279218j 0.00656131+0.038476j 0.0312259+0.0187302j 0.0130842+0.0365997j -0.0406325+0.00132154j -0.0587369+0.0053473j -0.045294-0.0959914j -0.0666949-0.0565538j -0.0138417-0.00539982j -0.00316688-0.0456647j 0.00427592+0.0220582j 0.0266435-0.0228832j -0.0617945-0.0119822j -0.0117794+0.00650101j 0.0528087-0.0248424j 0.00191125-0.081542j 0.00667877-0.0947607j -0.0169525-0.00337408j 0.0224187+0.0319023j 0.0245827+0.103924j 0.00916963+0.0915751j -0.0264867+0.0482117j -0.0229049+0.0846518j -0.0335764-0.0654208j 0.0166202-0.0271003j -0.0868863+0.00222076j -0.0117271-0.0490229j -0.0504233+0.0418167j 0.0185652+0.0352144j -0.0200737+0.0234037j -0.0532043-0.0454346j 0.0412446+0.0314283j 0.00450094-0.0454128j -0.0186967+0.00753816j 0.0531477+0.0305573j -0.00705022+0.0247393j 0.0306303+0.0410667j 0.0261825-0.0250936j 0.00255006-0.0110428j 0.0258762+0.00634161j -0.0300633-0.0334302j 
