0.0387888-0.0491054j 0.00230945+0.128483j 0.0863438-0.0467772j -0.00703582+0.0173225j 0.0286193-0.0480903j 0.0258658+0.0340508j -0.0101405+0.0109567j -0.0586366+0.0584429j 0.00753828+0.0246541j 0.00672015+0.00184437j -0.00981188-0.0544548j -0.0634356-0.00317183j -0.0279316-0.0498134j -0.00390262+0.0416348j 0.000180214-0.048328j 0.0230159+0.00204674j 0.00271878+0.0283112j 0.0302426-0.00980468j 0.00505053+0.0241601j 0.0174626+0.0278608j -0.024127+0.00153169j 0.017414+0.00526674j 0.0531071-0.00610221j 0.000177149+0.0697071j -0.00231111+0.0215249j 0.0303835+0.00896128j 0.0111387+0.0126754j 0.0174605+0.0496373j -0.031739+0.0137648j -0.0273479+0.032707j -0.0309793+0.0404547j 0.018323-0.00870537j -0.0245216-0.0121047j -0.0650186-0.00132098j 0.0194028+0.0428604j -0.027247-0.0193971j -0.0325877-0.0548733j -0.0258625-0.0016972j -0.0405597-0.00684683j 0.0793816+0.00745198j 0.0546009-0.0320501j -0.00372531+0.0275466j 0.00616858+0.0153527j -0.0179517+0.0190026j -0.0211177+0.0383627j 0.027591+0.00937429j 0.00554037+0.0465054j -0.00528368+0.00749273j -0.0455421+0.0393635j -0.0246585-0.0064762j 0.0185316-0.036535j -0.0426536-0.0484281j -0.0311221-0.0332731j 0.0108197-0.00151535j -0.0442323+0.00226202j -0.00482988+0.0297811j 0.0112134-0.0418749j -0.0414223-0.0182862j 0.0671792+0.0425734j 0.0212686+0.0428116j -0.00924653-0.0145165j 0.014687-0.00108593j -0.037156+0.0296602j 0.0376931+0.0810844j -0.0277129-0.0651739j -0.0228615-0.0481692j -0.00906486+0.00403685j 0.0408102+0.0330668j 0.00891721-0.00881692j -0.0332749+0.00215316j 0.00738031+0.0269924j 0.0761193-0.00303954j -0.00621295-0.00447439j -0.0301491+0.0445108j 0.0642391+0.0775054j -0.0347805-0.00197083j 0.0137519-0.0964082j 0.00142029-0.0449574j 0.0155539+0.00446606j 0.0280228-0.094681j 0.00431122+0.00528425j -0.0619263-0.0793751j -0.0725376-0.0380838j 0.0240334+0.0243315j 0.111921+0.00124789j 0.063662-0.0114598j 0.0343894+0.104639j -0.0495342-0.0910248j 0.0659401-0.0101607j -0.0359452-0.0331414j -0.00524556-0.0131975j -0.0369803-0.0888192j 0.118543+0.0927333j -0.0743127+0.229942j 0.300173-0.214617j 
-0.0724149-0.0755939j -0.0155561-0.0657303j 0.00964799+0.0108392j 0.0310706+0.00550231j -0.025108-0.0226091j -0.0256087-0.0186599j 0.000836765-0.0412604j -0.0211926-0.0022097j -0.0309629+0.00950323j 0.0205485-0.00349543j 0.0316827-0.0590382j 0.0528343-0.0332549j 0.0648515-0.092194j -0.00960001-0.0271356j 0.0137011+0.0221985j -0.0249751-0.0143398j 0.00767919-0.0222478j 0.0153283-0.0375005j 0.0340322-0.0256725j -0.0744985+0.0157873j -0.00715584+0.0368309j 0.0320135-0.0159738j -0.0304669+0.0611966j -0.00234328-0.0561235j -0.0300902-0.0817023j -0.0781919-0.0552811j -0.0332235-0.00622247j -0.0622516+0.00954914j -0.0358824-0.00014308j 0.00350041+0.0791567j 0.0600153-0.0234217j -0.00220458-0.0341572j 0.0083304+0.0267238j -0.0209844+0.117706j -0.0496765-0.15502j -0.063805+0.103339j -0.0277407-0.071435j 0.134164+0.0520993j -0.0345784+0.013429j -0.10736+0.0222743j -0.0546538-0.0434361j -0.0506872-0.0368542j 0.00394465-0.00979327j -0.0459197-0.0353557j 0.0888413-0.0733726j -0.00684269-0.0638483j -0.0120536-0.0899205j 0.0183144+0.0107695j 0.0652013-0.0420044j 0.0567816+0.0438594j -0.000603908-0.0480166j -0.0108214-0.0383156j -0.021064-0.152135j 0.00730276+0.0498598j -0.0210383-0.0333729j -0.0284018-0.103717j 0.0103893-0.0452334j 0.0519342+0.06071j -0.0568778+0.0283079j 0.0867107-0.0847515j 0.0381108-0.0782826j -0.0283694-0.0402753j -0.0166022+0.0605733j -0.0675074-0.0577318j -0.00181372-0.00795753j 0.0390446+0.0300719j -0.00480449+0.00660027j 0.0231229-0.0782005j -0.0182189-0.0187626j 0.0321337+0.0966032j -0.084568+0.0273278j 0.0560087-0.141297j 0.0329296+0.0184078j -0.123303-0.0335356j -0.00414395+0.0180412j -0.049832+0.0885199j 0.148164-0.0215594j 0.0290309-0.00435299j 0.00381379+0.0421484j 0.119192-0.0287798j 0.0331745-0.00589706j -0.0649562-0.0632629j -0.0214134+0.0232195j 0.00866237-0.00256839j 0.00463494-0.0402515j 0.0830061-0.00371891j 0.0278118-0.0511251j 0.0538104+0.00313932j 0.0595444+0.0520654j -0.0608108+0.0176807j -0.00585729-0.0187201j -0.00750141-0.019019j -0.0356211+0.0456075j 0.0317157-0.0257074j 0.0786513-0.0857847j 
-0.00693156-0.0296398j 0.0544944+0.0434642j 0.0039059-0.0132515j -0.0285941-0.0430668j 0.00561606+0.0285734j -0.0363828+0.00593315j 0.00974575-0.00369892j -0.00467896-0.0311108j -0.036542-0.0281548j -0.00450219+0.0393029j -0.0162237+0.04291j -0.00714095+0.00537729j 0.0126159+0.0394982j 0.0207999+0.0116383j -0.0214739-0.0139299j 0.00384042-0.0269557j 0.0121611-0.020584j 0.0165274+0.0224601j 0.0256551+0.0109282j 0.00930083+0.010619j 0.0287705-0.0358134j 0.0324973+0.023504j 0.0521692+0.0103043j 0.0207818-0.0417115j -0.0120412+0.0788022j 0.00272118-0.045242j -0.0757812+0.0104481j 0.0612663-0.0168989j 0.0382177+0.0334568j -0.0680974-0.05689j -0.0374911+0.0258364j -0.00423761+0.00102583j 0.0152579-0.0124764j -0.0820888-0.023171j 0.013351+0.0607383j -0.0121823+0.0263246j 0.0345683+0.0545976j 0.0499327-0.00409393j -0.0135706+0.0781754j -0.0118725+0.00534039j 0.0740532-0.00161757j -0.061348-0.025319j 0.00767347-0.0156387j 0.0383255-0.0764616j 0.0102176-0.0495205j -0.0186377-0.0640908j -0.00774487+0.0167304j 0.0601476-0.0181247j -0.0787509-0.0621461j 0.011437+0.0308668j -0.0597513+0.00886146j -0.00985152+0.00254906j -0.0275157+0.00603057j -0.0205897-0.0199458j -0.00351629-0.0325136j 0.0397444+0.0672731j 0.00334447-0.0364461j 0.0514937+0.0326112j 0.0032512-0.0145516j 0.00908681+0.0704035j -0.0520113-0.0267545j -0.0248318+0.0472j 0.043067-0.0853139j 0.012378+0.00428171j -0.0143251+0.0152978j -0.0406221-0.00125184j 0.0220609-0.0179429j 0.04218+0.0236854j 0.0193794-0.07717j 0.0438396-0.0560593j -0.0218695-0.0112684j 0.0398776+0.00614322j 0.0301234-0.0119007j 0.0830161+0.0812114j 0.085103+0.0594165j -0.0995481+0.026123j -0.0441491-0.0302707j 0.000484101+0.0577423j -0.031201+0.0479432j 0.0536462-0.00552247j 0.0656669-0.0022287j -0.0154465-0.0314075j 0.0126438+0.017749j -0.0743527+0.0252371j -0.137395-0.00603047j -0.0384469+0.0553076j -0.125785-0.0184247j -0.0149426-0.0837206j -0.121309+0.0244343j -0.0973347+0.0466775j -0.0119433+0.0201103j -0.0131344-0.0138029j 0.00730384+0.0135035j -0.0299607+0.0468222j 0.013065-0.012197j 
-0.0350717+0.00611978j -0.0497854-0.0572097j -0.000620015+0.0267859j 0.0370109+0.00222243j -0.000533748+0.0145297j 0.00967018-0.0148567j 0.0205401-0.0366881j 0.0294535-0.0234941j 0.00744812+0.0457432j 0.00177126+0.0270558j -0.00927273+0.00351303j 0.0015983-0.00251158j -0.0320557+0.0143225j 0.0310873-0.0323815j -0.0495307+0.0291979j -0.00301722-0.0175491j 0.0293507+0.00174656j -0.0312936-0.000154254j 0.0262077+0.0216802j 0.0248267-0.0112241j 0.0091406-0.0202105j 0.00482934+0.0756617j -0.0261217-0.0259654j 0.103512+0.0261761j 0.0953121-0.0761258j 0.00659398+0.0312626j -0.0615353+0.058557j 0.0384526-0.025079j 0.0133595+0.0159217j -0.0870098-0.00289015j 0.0850129+0.0889127j -0.0144837-0.0162955j -0.0649477+0.0403845j 0.055668-0.0422417j 0.0465381+0.0707243j 0.0408549+0.020402j -0.0822111+0.104668j -0.0260631+0.0784315j 0.00742078-0.00439625j 0.0346314+0.0105488j 0.0294149+0.0786471j -0.0119819-0.00589798j -0.0494453+0.0107711j -0.0361955+0.0534928j -0.0412756-0.0838258j 0.0857851-0.0132035j 0.0281053+0.0176583j 0.0449939-0.0184661j 0.108518-0.0107486j -0.0274147+0.0211604j 0.0134362-0.0229971j -0.0241353-0.0562579j 0.0175122+0.0446444j 0.0494435+0.0280779j 0.0104146-0.0377228j 0.0988773-0.00283973j -0.0293645-0.0133713j -0.0774936-0.0215101j -0.032423-0.0137677j 0.0361886-0.0899026j 0.0565167+0.0434707j 0.00684185+0.019689j -0.0366605+0.100184j 0.00462951+0.01053j -0.00755218+0.0613229j 0.0568692+0.0758369j 0.0171717+0.0723977j 0.0294779-0.0204407j -0.00918982+0.0766109j -0.00219721+0.176431j -0.091118+0.10711j 0.0865697-0.216202j -0.0222482+0.00855941j -0.11282-0.111344j -0.0806451-0.0763705j 0.110858+0.0213742j 0.155504+0.0617502j 0.0692841-0.00259506j -0.0227892-0.00207258j 0.110374+0.041774j -0.0557615+0.0259287j 0.0151414-0.0193689j 0.0333703+0.105819j 0.0425657-0.0545698j 0.0451163-0.0831264j 0.0241637-0.0039684j 0.0898026+0.0897912j 0.0605545-0.0145979j 0.0560599+0.0299306j -0.0142484-0.0397411j 0.0438849-0.0661449j 0.0128473-0.0477882j -0.110121+0.000451429j -0.0107558+0.0224621j 0.0672496-0.00257725j 
-0.000315258+0.0267535j -0.0115219-0.0219524j 0.0314923-0.00903711j -0.0232886+0.00307661j -0.00224747-0.00767324j -0.00828974-0.0144753j -0.0072947-0.0133463j -0.0087265-0.0283577j -0.0117022-0.0143568j 0.0143815+0.019816j -0.0419002+0.0187365j -0.0113316-0.000769192j -0.0455295+0.0292897j -0.0220311+0.0127236j -0.00694514-0.0218453j -0.0100039+0.0137768j 0.00565614+0.0377557j 0.00791015+0.02994j 0.0199294+0.0405055j 0.00108647-0.0320654j 0.01559-0.00857834j 0.0174019+0.0153448j 0.0166821-0.00472938j 0.0405311+0.0145748j -0.0521333+0.00448696j -0.0418425+0.0144758j -0.0568787-0.0103086j 0.0558237+0.00527494j -0.0284181+0.0219638j -0.0695562-0.0248505j -0.051362+0.0824198j 0.0159444-0.0368676j -0.0269986+0.0110029j 0.0407184+0.00202177j 0.0263649-0.0724748j -0.00494709+0.0684568j -0.0443492-0.0297504j 0.068216-0.00921556j -0.0543758-0.0521505j -0.0296514-0.0285566j 0.00431347+0.0788787j 0.0649476-0.0221229j 0.00756986+0.114548j 0.00538713-0.0328799j -0.0736558-0.00387172j 0.0502358+0.0595699j 0.0387965-0.0424219j -0.0812427-0.0430203j -0.0473344+0.0030613j 0.0148559+0.0383652j 0.00358022-0.00401441j -0.051792-0.0441085j 0.0356565+0.0305093j 0.00428988+0.0415707j 0.0247232+0.0168498j -0.0849181-0.101474j -0.0342394+0.213155j 0.000859852+0.0768096j 0.0433255+0.0746332j 0.000708761+0.0044717j 0.0543015+0.00711795j -0.0460033-0.118596j 0.0313962-0.0114176j 0.0672949-0.00427287j 0.019312+0.0601816j 0.0771099-0.0242355j -0.0802907+0.0191438j -0.0668145+0.000788618j 0.0290644-0.0375781j -0.0141338+0.00383779j 0.0335932-0.0288481j 0.0093533+0.0352921j 0.0606267+0.0556482j -0.0271796+0.0201141j 0.15536+0.0245872j -0.0361826-0.125762j -0.143968-0.0544496j 0.115899-0.183059j -0.0888255+0.0492323j 0.006488-0.0578398j -0.00215454-0.0387065j -0.0807307-0.0562253j -0.0229919-0.156214j -0.0198137-0.0116628j 0.10362+0.0712195j -0.0952995-0.013923j -0.13172-0.0759833j -0.00497899+0.18149j 0.00606573-0.0627457j 0.0608894+0.00988238j 0.0448407+0.0198523j -0.0775504+0.0689251j -0.0039381+0.0495687j -0.0301882+0.0239826j 0.0775434-0.00357391j 
-0.0144973-0.00650457j 0.00909775+0.0148013j 0.00535577-0.00885049j -0.0337574+0.0052014j 0.0120049+0.0050046j 0.0124917+0.0171808j -0.00244122-0.0157719j -0.035595+0.000736834j -0.0387998-0.0172365j 0.0104241-0.000170164j -0.0157303-0.000750388j -0.0156824+0.00976745j 0.00172484-0.000827382j 0.00667468+0.0304347j 0.0184262-0.00161842j -0.00272274+0.0395891j 0.0135197+0.00277965j -0.0383593+0.00203279j 0.0368812+0.0168662j 0.038578+0.0340531j 0.0436561+0.00532686j -0.0235177-0.0256835j -0.021155-0.023273j -0.00199583+0.0219785j 0.0121422+0.0470626j -0.0155197-0.0329576j 0.0118464+0.0629402j 0.0447741+0.0456096j -0.0218269-0.00945324j 0.000399317+0.0140109j -0.0106652+0.0272798j -0.00852671-0.0336244j 0.00673558+0.0202157j 0.00753681-0.0135286j -0.00881774+0.0135703j 0.0417992-0.0057128j 0.00178592+0.0196976j -0.0327285+0.0203656j 0.0887622+0.0123868j -0.0865649-0.0144631j -0.0393884+0.0341168j 0.0277948-0.0199412j -0.0282539+0.0365833j 0.0627916-0.0286277j 0.0130207-0.0568603j -0.0546893+0.0445697j 0.0218643+0.0893358j 0.0698748+0.00652228j -0.0499397-0.0635639j 0.0349383+0.0560739j 0.0724717+0.0717939j -0.0932276-0.00695102j 0.0256391+0.0837511j -0.0237449-0.076004j -0.0134855+0.00632297j 0.00313988-0.0182904j -0.0507876+0.0382013j -0.0172819-0.140476j -0.0384124+0.0178773j 0.0416349+0.0167931j -0.118909-0.0147373j -0.065514-0.0655614j 0.00936201-0.0491123j 0.0143095+0.0369168j 0.0458101+0.0313227j 0.0463178-0.0884387j 0.0372004-0.0160463j -0.00769769-0.00488456j 0.0332931+0.0297178j 0.056944+0.0651763j 0.0448658+0.00542342j 0.0545147+0.0799503j -0.0738107-0.0564544j -0.00596698+0.0045485j 0.0514754-0.0349232j 0.0315486+0.115393j -0.0433163-0.115184j -0.0275461-0.152167j -0.139915-0.0451746j -0.0792988+0.135419j -0.0778605+0.118195j -0.115788+0.00993697j 0.0966151-0.0168521j 0.291121+0.0487539j -0.0839767+0.035215j -0.0261467+0.0312805j -0.0474292-0.00830302j -0.0585657-0.0117577j -0.00170115+0.0102738j -0.0844295+0.0688789j 0.0840522-0.0458124j 0.0480159-0.00684835j 0.000110775-0.01067j -0.0575521+0.0428968j 0.0091253+0.0107298j 
-0.020228-0.0313656j -0.0148973-0.0362086j 0.0041967+0.00972361j -0.0038133-0.0253512j -0.0130063-0.0467606j 0.0110554-0.00789291j 0.025237-0.0180376j -0.0401071-0.0400791j 0.0295199+0.0313308j 0.0304076+0.0138794j 0.0240885+0.000409817j 0.0262325+0.00592408j 0.0106974+0.0393267j -0.00318731-0.0185652j -0.0179505+0.00425918j -0.0136961-0.00365867j 0.0249203+0.00924528j 0.000551628+0.0331284j 0.011168-0.00330075j 0.0131368-0.0163718j 0.0262288-0.0161566j -0.00304889+0.0131239j 0.0210373-0.0128546j -0.0490235-0.0133296j -0.0113701-0.0164667j 0.0325471+0.0632171j 0.0121969+0.00390563j 0.0225953-0.0459559j -0.0499576+0.00710638j 0.000470006+0.00893584j 0.0298823-0.00938441j 0.0146961+0.00526526j -0.0384685-0.0114009j 0.0700861+0.00563602j -0.00206503-0.0311597j -0.00563891+0.0383405j -0.0513893+0.00328608j -0.00236803+0.0464756j -0.00990065-0.0412821j -0.0938557+0.0452271j -0.0561665+0.0585538j -0.00179329-0.0648848j 0.0290317-0.0501635j 0.0342023-0.0899611j 0.0936362+2.52316e-05j 0.0103084-0.037891j -0.0519088+0.0604151j -0.0919579-0.0427208j -0.0222802-0.0132666j -0.0908753+0.0971326j -0.038188+0.00184864j -0.0251133+0.0316528j 0.0480741-0.0257728j 0.0329449+0.033986j -0.0256351-0.0693553j 0.0768271-0.00196417j -0.087995-0.0903176j -0.0493009-0.0203718j 0.00478058-0.0498825j 0.103738+0.0634401j 0.016146+0.00319713j -0.0262304+0.071709j -0.0535933+0.00282114j -0.0583181-0.0458463j -0.0864614-0.00908782j -0.0281872-0.0613676j 0.137952-0.0833951j -0.114421-0.0374675j 0.000708685-0.0237212j -0.103907-0.109184j 0.115321+0.00148571j 0.00922346-0.0281029j -0.0416051-0.0814723j -0.0423533+0.00387052j 0.0172785-0.0459869j -0.0702306+0.010074j -0.0242012-0.171518j -0.0756334-0.0226217j -0.149087-0.0180673j -0.0512312-0.0642729j 0.0107162+0.016035j -0.0463756-0.0537594j -0.086208-0.103382j -0.104468+0.068401j 0.103881+0.0441196j -0.0294834-0.0515112j -0.047101-0.0112267j -0.0670499+0.0827447j 0.0574529-0.00831219j 0.118989-0.12455j 0.0992656-0.00658912j -0.0359264+0.093044j -0.0385558+0.0170934j -0.0198941+0.0484684j 0.106636-0.0435607j 
-0.0236156-0.0166463j -0.00155393+0.00195173j -0.0122229-0.0118146j -0.023787-0.000748164j 0.0184131+0.0384249j -0.0076635+0.00969687j -0.024188-0.0315759j 0.0125849+0.0090279j -0.0263994-0.0364761j -0.00693604+0.018657j 0.000648508-0.0131839j -0.0436122-0.0345539j 0.0232331+0.0222003j 0.0259762-0.0100812j 0.0101075+0.0293448j -0.0144284+0.00327217j -0.00922437-0.00102947j 0.00869138+0.0194359j -0.00701208+0.00463418j 0.00714137+0.0237283j 0.0656144-0.0126354j -0.0011466-0.0180429j -0.0215496+0.0247832j -0.00774979+0.0197558j -0.012943+0.013673j 0.0122074-0.0501819j -0.0124057+0.0181452j -0.00913613+0.0117781j -0.0293858-0.00623158j 0.0320777-0.0338925j -0.037141-0.0120827j 0.00180191-0.0257986j 0.0176098+0.0321945j -0.0327323+0.0129223j 0.00463258-0.00794948j -0.0195259+0.00279573j -0.0205983+0.0501221j 0.00994304-0.0228803j 0.0466589-0.0455521j -0.022754+0.0351593j 0.0276914-0.082241j -0.0435575-0.0396367j 0.0200559-0.0606845j 0.0083655+0.00813886j 0.0459851-0.0390618j -0.030386-0.00664876j -0.0341174+0.109633j -0.0514491+0.0302605j 0.0195429+0.0330611j -0.0214706+0.0981463j -0.0164741+0.0440837j 0.00904153+0.0982223j 0.00831147+0.0272502j 0.0209062+0.170065j -0.0331833+0.0420637j -0.0100834-0.00604214j -0.00532395-0.133872j 0.0804734-0.0590034j -0.0245977+0.0351794j -0.019111+0.000165684j -0.0787345+0.148703j 0.0146793-0.00381395j -0.0228339+0.0642148j -0.0347925-0.0123254j 0.0121354-0.0385817j -0.031303+0.0715077j 0.0880941-0.090615j 0.00960241-0.0329899j -0.051677-0.0155758j 0.144406+0.010499j 0.0424218+0.0355718j 0.0658019+0.133741j -0.156919-0.0525446j -0.0813823+0.0175993j 0.00543694-0.0161292j -0.0177325+0.152601j -0.0114843+0.00453074j -0.0986298-0.123648j -0.0880576-0.128036j 0.000193447-0.058698j -0.0311012+0.0835208j 0.00657882-0.0238785j 0.0394908-0.00651855j 0.0125408+0.0345864j 0.0308562+0.0220581j 0.0201846+0.054384j 0.00798163-0.0494006j -0.0182907-0.0314891j 0.0532544-0.0332485j -0.215242+0.0863227j 0.0593918-0.115937j 0.0758411-0.0384457j 0.0101228+0.00609373j -0.0125414+0.00594163j 0.024661-0.028373j 
0.0211273-0.0169334j 0.0389832+0.0357886j -0.0191252-0.0141729j -0.00956232-0.0224696j -0.00588391+0.0181103j -0.0284025+0.0106342j -0.0155908-0.0365205j 0.0467962+0.0183135j -0.0197994-0.00100738j -0.0277542+0.0269776j -0.00903604-0.00890915j -0.0128387-0.0211208j 0.0144358-0.042493j -0.0163882+0.0423062j 0.0259348-0.0259197j 0.0026608-0.00218673j 0.00109651-0.014962j -0.0193483+0.0129839j 0.0170144-0.00656544j -0.00544322+0.01642j 0.0280713-0.027064j -0.00158565-0.0147942j 0.0567329+0.0369884j 0.0128284+0.0301512j -0.0280237+0.0684677j 0.0206014-0.0376328j -0.0261592+0.0196671j -0.0024096-0.000566689j -0.0113873+0.0221025j -0.00283592-0.0350908j 0.0145829-0.0380022j 0.0137471-0.000100401j 0.0442521-0.00879739j 0.00423441-0.010138j -0.0156131+0.00614769j -0.0257263+0.0168085j 0.0426815-0.04541j 0.0391841-0.000813933j 0.0423088-0.00203164j -0.0302337+0.0338131j 0.0166739-0.0562707j -0.0207537+0.028512j -0.0111344-0.00923342j 0.0336466-0.0522711j 0.12841-0.0571836j 0.039838-0.0969585j -6.59183e-05-0.01801j 0.114557-0.0536637j -0.000529158+0.0686876j 0.0898034-0.0242686j 0.0275786+0.0299513j 0.114127-0.141041j -0.0300229+0.00249704j 0.108087-0.11811j 0.0308035-0.00142149j -0.00953326+0.0518608j -0.115183+0.0395748j -0.0727433+0.026379j -0.0462249-0.041348j 0.00286883+0.0255361j 0.00805868-0.22962j -0.0398996+0.0849933j 0.0612807-0.0558216j -0.0270916-0.0575197j 0.0616373+0.212136j 0.0189417-0.112137j 0.0103494+0.104424j 0.0845694-0.0156383j 0.182744-0.0915786j 0.164867-0.0629418j -0.0959106-0.00560898j 0.0574367-0.0960207j 0.0879566+0.0154908j 0.00444987-0.0528999j 0.122167-0.054315j 0.191511-0.101567j -0.0202227-0.0692737j -0.00776219+0.120905j 0.00995629+0.161151j -0.0448301+0.0880376j -0.0673746-0.0977805j 0.001878-0.0281427j -0.0234907+0.0434143j 0.179398-0.0313476j 0.00864527-0.0183597j 0.120354+0.0258468j 0.0169917-0.0274885j -0.0540587+0.0548255j 0.0477137-0.00739838j -0.0432447-0.052818j 0.145124-0.0588331j -0.033394+0.0325086j 0.0159576+0.000864027j -0.0708235+0.0193413j -0.0304254+0.0317344j 
0.0321763+0.0103398j 0.0500391+0.0326114j -0.0356325+0.0192805j -0.0348081+0.00281759j -0.00409546+0.0200068j 0.0373048+0.0411084j 0.0114629-0.00121238j 0.0396375+0.0104928j 0.025735+0.0132342j -0.0233691+0.0256443j -0.0168632-0.015867j -0.0217283-0.00509177j -0.0288811-0.010544j -0.0151915+0.0167723j 0.0311772-0.0106371j 0.000732416+0.0122402j 0.000894371+0.00889523j -0.0162292+0.0207307j -0.0244284+0.0103404j -0.0452068+0.0468217j 0.0151177-0.00400169j -0.00164478-0.0208724j 0.00940271+0.0338882j 0.0097361+0.0146563j -0.0317315+0.0188386j 0.0244075+0.00890899j -0.0675161-0.0803275j 0.100613+0.0115934j -0.0179595+0.000245622j -0.0214267-0.0395855j -0.0255701-0.0139372j 0.0137226+0.00958925j 0.0586736-0.0321959j -0.0633952+0.00290493j -0.0313826-0.00558792j 0.00952067-0.00171465j 0.0971114+0.00293009j 0.040089-0.0452675j 0.036884-0.0166749j 0.0136648+0.0231082j 0.0449701-0.0959152j 0.0636497+0.00233005j 0.051933-0.0127938j -0.00819276+0.0469074j -0.0573817+0.0254321j -0.0396207+0.016881j -0.0940073+0.0105556j -0.120382+0.0720651j -0.0392663+0.0508339j -0.0675025+0.0401991j 0.0148829-0.0247093j -0.0563366-0.0132701j -0.0322722-0.0102902j 0.00443285+0.0127477j 0.0859075+0.0904215j -0.158029-0.0780826j 0.016626-0.00379919j 0.0395931-0.0119155j -0.148049-0.00869575j -0.00486063-0.00763329j 0.0276375-0.0497504j -0.0783534-0.00219984j -0.0832644+0.00765862j -0.0931299+0.0034308j 0.0225228+0.123728j -0.0140214+0.0145864j 0.0425693-0.00738308j -0.113147-0.129385j -0.0814505+0.110355j -0.0251952+0.0136457j 0.0252566-0.0153729j -0.102696-0.185127j -0.0625681-0.0421524j 0.0473335-0.0921161j -0.0871064-0.210538j -0.0461589+0.0547857j 0.0385678-0.103874j -0.0812493-0.0884062j -0.0723106+0.0344128j -0.0436306+0.0514186j 0.0182252+0.0432459j 0.0837388+0.091279j 0.102362+0.025322j -0.0601619+0.0341832j -0.0479304-0.112299j -0.050631-0.0123866j 0.0364013-0.00504721j -0.0060111+0.0534175j -0.0514722+0.0794976j 0.0960031-0.0452674j 0.0479911+0.0216727j -0.0742781+0.081296j 0.0345521+0.0146296j -0.0969123+0.00769566j -0.139846+0.102803j 
0.00799313+0.00496417j 0.0336356+0.0247559j 0.051449+0.00101697j -0.0107769-0.0199919j 0.041693+0.013363j 0.0131528+0.00386572j 0.0308856+0.0222599j 0.0116184-0.0430025j -0.0434597-0.0369113j -0.00582982-0.00640575j -0.0136755-0.00255506j -0.000739927-0.0185287j -0.0213692-0.00675281j 0.00341009+0.00572429j 0.0202713+0.00409921j -0.00319557-0.0200429j 0.00802325+0.00173833j 0.0342009-0.00190291j 0.0106641-0.00193919j -0.00197616-0.0137447j 0.0120517+0.00246537j 0.00205767-0.0124741j 0.0270852+0.0116765j -0.0004595-0.00898572j -0.032318+0.0183713j 0.0607818+0.0163416j -0.0705505-0.0227662j 0.0522972-0.0358531j 0.0101193+0.00724885j -0.0316902-0.0385048j -0.0172378+0.000507921j 0.00098936+8.93548e-05j 0.0125688+0.007282j 0.0328465-0.0348513j -0.0016763-0.00167217j -0.0389768+0.0388987j -0.00143007-0.00736218j 0.0840718-0.0323934j -0.0493838-0.047506j 0.0267035+0.0436731j -0.0209366+0.0279272j 0.0878666+0.0286339j -0.0883103-0.10601j 0.00934975-0.0659296j 0.0483779+0.0912293j 0.0456306+0.00735289j 0.0190185-0.053018j -0.00677789+0.023059j 0.00948036+0.0700083j 0.0207414+0.071715j 0.0143958-0.00124292j 0.0157908-0.030668j -0.0672107-0.0513856j -0.0485364+0.0814879j 0.0448385+0.0190893j -0.0119915-7.49544e-05j 0.114672-0.18397j 0.0181283-0.0810839j 0.0413348-0.0520182j 0.0197234+0.0275195j -0.138543+0.00674278j 0.115857+0.118666j 0.066647+0.0408596j -0.00393525-0.0170947j 0.0739052+0.11847j 0.0143454+0.0391576j 0.0292631+0.0269634j -0.0187815-0.0147591j 0.062067+0.0909875j 0.0422403+0.118875j 0.0569881-0.0280049j 0.0973589-0.120915j 0.120465+0.0174418j -0.00334028+0.0146911j -0.00794661+0.0506851j -0.0168049+0.022322j -0.0584755+0.0028483j 0.0407284-0.0194926j 0.0284791+0.0506092j -0.071771-0.198742j 0.0192587-0.0559016j 0.0115532-0.0979336j -0.0311754-0.0219678j 0.164001+0.0077555j 0.0451203-0.0893421j -0.0470926+0.0750847j -0.107856+0.0431508j 0.000704776+0.10726j -0.0157248-0.0313714j -0.0688868+0.0548203j -0.110444+0.0331575j -0.0202325-0.0107633j 0.0255514+0.0292826j -0.0688191+0.0729244j 0.0744812+0.00210017j 
