-0.0108285+0.00337094j -0.000806837+0.00301271j 0.00332732-0.00340285j -0.0156454+0.00390581j -0.00532453+0.00367938j 0.00897284-0.00366487j 0.0107881+0.000787192j 0.00388022-0.00365228j -0.0077817+0.00101039j -0.00563295+0.00128137j -0.00963605+0.00124897j -0.000512511-0.00461802j 0.00739756+0.00073883j -0.00449879+0.00293367j 0.00252716+0.000197532j -0.0045644+0.0032189j 0.000905449+0.000943197j -0.00323964+0.000644078j 0.00591663+3.68858e-05j -0.00332963+0.00334657j -0.000696043+0.00155081j 0.00708439+0.00118825j 0.00928523-0.00656986j -0.0106793+0.00311064j 0.00844058-0.00468499j 0.00180415-0.00768117j -0.0128979-0.0050485j 0.00752187-0.00142995j -0.00157183-0.000563844j 0.0168547-0.00345047j -0.00632498+0.00302633j 0.00479685+0.00337971j 0.0109047-0.00509855j -0.00205111-0.000267365j 0.00467511+0.000949847j -0.00531046+0.00405138j -0.00104445+0.00255367j -0.00564646+0.000375952j 0.00665691+0.00423638j -0.00792456+0.00199785j -0.00897333-0.00605178j -0.0039219+0.00104201j -0.0130033-0.00511488j 0.00214071-0.00131081j 0.00433397+0.00678474j -0.00403696-0.00279386j -0.000234031+0.00494776j 0.00595573-0.00477838j -0.00170267-0.00810249j 0.0167905+0.010007j -0.00614035-0.00932863j 0.0118072+0.00613203j 
0.00299951+0.00686104j 0.000261773-0.00143045j -0.00244612-0.00426334j -0.000566514+0.00236679j 0.00144936+0.00103589j -0.00291246-0.00890095j 0.00330342+0.00343693j 0.00286502+0.00346275j 0.00151736+0.00310459j 0.00137371-0.000205625j 0.00152071+0.00417282j -0.0030503-0.0010624j 0.00159269+0.0104624j -0.00155412-0.00930304j -0.00124291+0.00251478j 0.00506563+0.0050567j 0.00505509+0.0152619j 0.00103317-0.00199838j -0.008786-0.0227943j 0.00469012+0.00867547j 0.0011438-0.00353109j 0.000953144+0.0133361j -0.00070319-0.014081j 0.00114814+0.0018907j 0.000997964+0.01129j 0.0041203+0.00643999j -0.00469103+0.00142543j -0.000859077+0.00667267j 0.00155243-0.0276832j 0.000209934+0.00603156j -0.000296134-0.0188073j 0.0044435+0.00466795j 0.000764689+0.00669697j 0.00213435-0.00922892j -0.00415655+0.0111465j 0.00168566-0.0168166j 0.00432138-0.000734421j -0.00402234+0.00926495j 0.000819119-0.00534268j -0.00929015+0.0195205j 0.000848782+0.00144124j 0.00821055-0.0117737j 0.00595878+0.00163879j 0.00604398-0.00760902j 0.00370234-0.0138068j -0.00340749-0.000238989j -0.00664566+0.0112183j 0.00215316-0.000977195j 0.00137033-0.00209555j -0.000162479+0.00251491j -0.000548027-0.000827191j 0.003776-0.00509328j 
-0.00304538-0.0064841j 0.000439999+0.00330942j 0.00219976+0.00329706j 0.00161417+0.000899347j -0.00114606+0.00174258j 0.00461951+0.0102158j -0.00286169-0.000727555j -0.000823636+0.00283458j -0.00261901-0.00538346j -0.0039774-0.00864841j 0.00300248+0.00186388j 0.00309761+0.00835798j 0.00439004+0.00780143j 0.0025443+0.00652352j -0.00489266-0.0145528j 0.000979793-0.00809588j 0.00136273+0.00327851j -0.00574528-0.0141323j 0.00170936-0.00496512j 0.00369887+0.0173186j -0.00179361-0.00429087j -0.000534537-0.0167696j -0.0011503-0.0172055j -0.00206187-0.00784663j 0.00374941+0.0138063j -0.00750823-0.00199698j -0.00327362+0.0103591j -0.00152979+0.00265594j -0.00102726+0.0155766j 0.00116149+0.00144199j 0.00175938+0.00746038j 1.66847e-05-0.00768955j -0.000413589+0.00384758j -0.00409471+0.00965118j 0.00414053+0.000406744j 0.00180318-0.00628149j -0.00897876+0.0197916j -0.00963706+0.0162046j -2.39924e-05+0.00599553j 0.00118208+0.00735937j -0.00259713+0.00821216j -0.000395723+0.00546135j 0.00427852-0.0103275j 0.00263044-0.0106714j 0.00103306+0.00435283j 0.00509763-0.00543078j 0.00326761-0.0117521j -0.004747+0.00600882j -0.000145977+0.00013222j 0.00186886-0.00425767j 0.00160006-0.000459589j -0.00328459+0.00488247j 
-0.000566545+0.00016593j 0.00179815+0.00349639j -0.00331483-0.009461j -0.00175048+0.0021374j -0.00170744+0.00214678j 0.00757404+0.0185879j -0.00425715-0.00704261j -0.000396603+0.000971143j 0.00235637+0.000431099j -8.08762e-05+0.00938294j 0.00487185+0.00945401j -0.002081-0.00231301j 0.00124456-0.000621515j -0.00637435-0.0150205j 0.000847577+0.00363223j -0.00485382-0.00165348j -0.00101296-0.0108237j -0.00196999-0.0119895j -0.00187253-0.00427185j 0.00112828-0.000427819j 0.000935176+0.0103188j 0.00337366+0.0133082j 0.00348085-0.00657847j 0.00148161-0.0084789j -0.00121741-0.00929382j -0.00792925-0.0161574j 0.00736652+0.00698993j -0.00249624-0.00318252j 0.00356321-0.0178923j -0.000934051-0.013272j 0.0021446+0.00525214j 0.0056719-0.0223257j -0.00334329+0.00710397j 0.00162157-0.00135389j -0.00110556+0.000208931j -0.00390082+0.000117614j -0.00229614-0.00634597j 0.00134027+6.13983e-05j -0.00123859+0.000243945j -0.00138662+0.0050588j 0.00679307-0.00905508j 0.000108393-0.0104108j -0.00608691+0.00971134j 0.00215347+0.000212244j 0.00240882-0.00546503j 0.00164304-0.00229061j 0.0070473-0.0174739j -0.00249664+0.00208238j 0.00446161-0.00483899j 0.000624129+0.00166997j 0.00183049-0.00214884j 0.000413056+0.000269386j 
0.00177238+0.00329078j -0.000288721-0.00230858j -0.00149855-0.00312934j -0.00159034-0.00121692j -0.00191666-0.00477349j -0.00104974+0.00185376j -0.00166708-0.00360346j -0.00044226-0.00241974j -0.00352927-0.0124063j 0.0082328+0.012545j -0.0023861+0.000569936j -0.00396964-0.0095519j -0.00376842-0.0140067j -0.00185362+0.00138617j -0.00699929-0.0157518j -0.00499787-0.0170524j 0.00362958+0.0134341j 0.000609771+0.00801771j 0.00175044+0.00395554j 0.000575165-0.00352119j -0.000657551-0.000212137j 0.00121557+0.00833364j 0.00107356-0.00509543j 0.0024206-0.00199275j -5.5442e-05+0.00309031j -0.00415464+0.000293435j -0.00803035+0.00715933j -0.00439631+0.0177722j 0.000709576-0.00212683j -0.00348966+0.0205139j -0.000387674+0.00685728j 0.00205581-0.00674012j 0.00610397-0.0220533j 0.00386876-0.0153959j 0.00209944-0.00880762j 0.00383635-0.0121134j 0.00469049+0.00195039j -0.00262089+0.0103776j -0.00263814+0.00394211j 0.00355593-0.0118185j 0.00196944-0.00988337j -0.00201276-0.000668101j -0.00253281+0.0104023j 0.00260016-0.00292221j -0.00117106+0.000287137j -0.00103933+0.00370016j 0.00135853-0.00185339j 0.000452205-0.00216038j 0.000603677-0.00028185j -0.00106881+0.00300383j -0.00110351+0.000622405j 0.00142342-0.0024831j 
-0.00430171-0.00603279j 0.00258041+0.00884775j 0.00473967+0.00840734j 0.00322281+0.00295722j 0.000259555+0.00603978j 6.89505e-05+0.000217783j 0.00208628-0.001437j -0.00836814-0.0169777j -0.00243418-0.00192898j -0.00372574-0.0064154j -0.00274688-0.00773992j 0.00392414+0.00546759j -0.00498796-0.0157388j -0.00442131-0.0120317j -0.00437235-0.00332308j 0.00315114+0.00709619j -0.00196922+0.0117199j 0.00129303-0.00774184j -0.000386504-0.0123768j 0.000167402-0.0151099j -0.00295208+0.00878731j 0.000298422+0.0145166j 0.00540586-0.0107329j -0.00158442+0.03259j -0.00147526+0.00762726j -0.000553389-0.000638925j 0.00522119+0.0026399j 0.00116511+0.00476059j -0.00159817-0.00177132j 0.00346945-0.00101328j 0.000845872-0.0120534j -0.000151652-0.00895004j -0.00174623+0.0111129j 0.00462798-0.0181341j 0.000119624-0.00621032j 0.00103827-0.010353j 0.000688328-0.00749311j -0.00447059-0.00195745j 0.00572655-0.0175416j 0.00158355+0.00265886j 7.49986e-05+0.00223003j -0.00422502+0.0072989j -0.000591204-0.00359243j -0.00267895+0.00406891j -0.00193587+0.0109544j 0.00191857-0.00502167j 0.00060646-0.000785074j -0.000805802+0.0029304j -0.00206184+0.00323891j 0.00318623-0.00760091j 0.00400238-0.00350596j -0.00173663+0.00497013j 
-0.000973298+0.00307771j 0.006133+0.0109117j 0.00153076+0.00685987j 0.00626944+0.0132995j -0.00439581-0.000684694j 0.00242194+0.00767148j -0.00135869-0.00430352j -0.000910942-0.00386584j 0.0018629-0.00690685j -0.00540589-0.00419761j -0.00242555-0.00727355j -0.00274395-0.0198344j -9.94279e-05+0.0103661j -0.00307499-0.00958398j -0.00050637+0.0133702j -0.00030146+0.00214651j 0.00143598+0.0204452j 0.00126006-0.00331925j 0.00390848-0.008544j 0.00444197-0.0188041j 0.0034499-0.0318667j -0.000818224+0.0053919j 0.00296212+0.013319j 0.00141031-0.0139948j -0.000809143+0.00116286j -0.000245373+0.00354573j 6.38736e-06+0.00145492j -0.00277838+0.00230186j -0.0030232+0.00351629j 0.00404754+0.00112676j 0.00238176-0.0038346j 0.00260484+0.00396561j -0.000841017+0.000401077j -0.00124008-0.00390478j 0.000345459-0.00306422j -0.00361344+0.0021388j -0.00146258-0.00258774j -0.000510495+0.000987018j -6.81798e-05-0.00694452j -0.000195295+0.00896633j 0.00390211-0.00542134j 0.000808959-0.00687891j -0.00311927+0.00696352j 0.00370296-0.00330305j -0.00204096+0.00792348j 0.00312858-0.00701807j 0.000595985-0.00418954j -0.0029834+0.00608886j -0.00241384+0.00238866j 0.00378084-0.0086163j 0.00284467-0.00582537j 0.00198833+3.32895e-05j 
0.00382765+0.00683558j 0.00208734-0.000262312j 0.00513404+0.0106036j 0.00173115-8.65127e-05j -0.00751181-0.00768391j 0.00254415+0.0050376j 0.00858015+0.014033j -0.00269205-0.0047102j 0.00671148+0.0102287j 0.00443219+0.0168655j 0.00291389+0.0161182j -0.000974272+0.0100854j 6.10975e-05+0.00930101j 0.00142398+0.0244355j -0.000176376+0.0120317j -0.000299206-0.0136884j 0.000950974+0.00166047j -0.00137903-0.020556j -0.00282985+0.0335795j 0.00342542+0.00117054j 0.00483576+0.0100968j 0.00187388-0.00736203j -0.000532898-0.00369825j -0.00406772+0.00312728j -0.00500536+0.00772148j 0.00119824+0.00217121j 0.00157671+0.00183312j -0.00327203+0.0100406j 0.00134441-0.00226008j 0.0020368-0.0067189j -0.000321371+0.00258627j 0.00229661+0.00492498j 0.00237627-0.0105708j -0.00544883+0.0141619j 0.00128778-0.00387299j 0.000418966+0.00165765j 0.000557511-0.00133676j 0.00180746-0.00290787j 9.85357e-05-0.0039649j -0.00102394+0.00847942j 0.00408972-0.0123394j -0.00123287+0.00174221j 0.000866612+0.000514648j 0.00128346-0.00201178j -0.00121922+0.00608944j 0.00255293-0.00599699j -0.00189965+0.00311541j -0.000113094+0.00180479j -0.0019721+0.00464746j -0.000660038-0.00100986j -0.00101519-0.00100768j 0.00144637-0.00328867j 
0.00575049-0.00635836j 0.00180558-0.000640812j -0.00262305+0.00187972j 0.00584263-0.00083636j -0.000698697+0.00386178j -0.00312919+0.00350884j -0.006575+0.00224233j -0.00100779-0.00312035j 0.00354352+0.00151935j 0.000212012-0.00129675j 0.000905466-0.00294553j 0.00585311-0.00845926j -0.0023515+0.000633338j 1.31543e-05-0.00261395j -0.00141364-0.0020205j -0.000443374+0.000818453j -0.00320752+0.000506557j 0.00464507-0.0040708j -0.000336505-0.00349493j 0.00265459-0.00425226j 0.00177423+0.00807539j -0.0022614-0.00157371j 0.00148219-0.00931351j -0.000119972+0.000933142j 0.000141321-0.00320335j 0.00134102-0.00241029j 0.00576482+0.0011391j 0.000329259-0.00300747j 0.0034002+0.00122206j 0.000542605-9.32046e-05j 0.00490579+0.00331472j 0.00248161+0.0102662j 0.00999168-0.00739266j -0.00410862+0.00205063j -0.00333235+0.00592116j -0.00444002+0.0139738j -0.00407576+0.00189581j 0.00484437+0.00915126j -0.0118314+0.00332978j 0.000499106+0.00564619j -0.00364479-0.00829433j 0.0111503-0.00139536j -0.00449129+0.00306241j -0.00882586-0.000930639j -0.00224533+0.01051j 0.00758982+0.00785131j -0.00139413-0.00687661j -0.00981592-0.00876569j -0.00796201-0.0108158j -0.00111294-0.00959653j -0.0156788-0.0145249j 0.000526011-0.0110739j 
0.00319538+0.000904007j -0.00640898+0.00687668j 0.00491603-0.00653742j 0.00385495-0.00179011j -0.00316557+0.00252358j 0.00434321+8.50888e-05j -0.0021245+0.00402604j 0.00395234-0.00466085j 0.0005493-0.00308418j 0.00111311-0.000188447j -0.00379497-0.00214804j -0.00431693-0.00425256j -0.0019059+0.00155987j -0.00256213-0.00224055j 0.000824068+0.00576852j 0.00243709+0.00140343j 0.000194319+0.00650014j -0.00133669-0.00172171j -0.00248745+0.00157403j -0.00352867+0.00353697j 0.00485161-0.00347114j -9.16368e-05+0.00519299j -0.00695773+0.000453215j 0.000125757+0.00319069j -0.000531252+0.00278978j -0.00291025+0.00216479j -0.00411506-0.00188731j -0.000708894+0.0027317j 0.00264761-0.00242073j 0.000488043-0.00669278j -0.000731492-0.00238713j 0.00308654-0.00760999j 0.00183784-0.0102504j -0.00332878+0.0125623j 0.004998+0.00281414j 0.0090835+0.000676733j 0.00363954+0.00399919j 0.00673795-0.0101569j 0.000433106+0.0124369j -0.0034385-0.00211251j 0.00969285-0.0107285j 0.00707155+0.00623878j -0.00959838-0.00976634j 0.00838069-0.00463744j 0.00896315+0.00618165j 0.00775655+0.00374698j -0.00438212-0.006323j 0.0109663+0.0200598j -0.00173813+0.00629361j -0.00637389-0.000137075j -0.000247496+0.00997573j -0.0161451-0.0164604j 
-0.000447175+0.000612353j -0.00529176+0.00541665j 0.00114676-0.00288528j 0.00525319-0.00450272j 0.00383709-0.00141235j 0.00394504-0.000773044j -0.00389416+0.00574543j -0.00251267+0.00254367j 0.00761191-0.00535319j 0.00622331-0.00126725j 0.00534707-0.00339088j 0.000558532-0.00186589j -0.00114017-0.00160489j 0.00188319-0.00048629j -0.00459745+0.00706263j -0.000859459+0.0012201j -3.86964e-05+0.00379598j 0.00356026-0.00265306j -0.00946974+0.00434515j -0.00738807+0.00458382j -0.00480976-0.00173139j -0.00916689+0.00371846j 0.00406283-0.000813965j 0.00337805+0.00250445j 0.0040657+8.71145e-05j 0.00281064-0.00145274j 0.000590481+0.00878195j 0.00182204-0.0028634j -0.00129056+0.00368851j -0.00243423-0.00428973j 0.00668362-0.00687989j -0.00338016-0.00528536j 0.00601216-0.010345j 0.00529835+0.000460516j -0.00712918+0.00746599j -0.000246142-0.00502317j 0.000574428-0.00423974j -0.0156745-0.00054003j 0.0134141-0.00224042j 0.00624159-0.00241938j 0.00158862-2.46026e-05j -0.00936267-0.00647945j 0.00692224-0.00226857j -0.00392095+0.00355981j 0.0157256+0.00351019j -0.0133646-0.0147875j 0.00347173-0.000856363j -0.00441377-0.0118879j -0.00603893-0.0103904j 0.0122398+0.00783902j 0.00308863+0.00393294j -0.00991124-0.00250496j 
-0.00410884+0.00509766j 0.00115348+0.00614406j 1.94761e-05-0.00486343j 0.00448632-0.00752816j 0.00628394-0.00348775j -0.00119381-0.003634j 0.0010387+0.00149391j 0.00239955+0.00132468j 0.000602315-0.00543798j 0.00174709-0.00110776j 0.00160053+0.00270184j -0.00182279+0.00811602j -0.00350403-0.000356111j 0.000383449+0.00168189j 0.0039077+0.00233925j -0.00186245-0.000188829j 0.00149677-0.00354438j -0.00458894+0.00512642j 0.00337393+0.0026832j 0.00277185+0.00561723j 0.00116804-0.00661361j -0.00382422+0.00478291j -0.00145871+0.00561331j 0.00322668+1.72162e-06j -0.000368623-0.000733981j -0.0055132-0.00205655j -0.00230267+0.00428935j -0.00273814-0.000468008j -0.00397592-0.000790661j 0.00208955+0.000202026j -0.0026415-0.0041293j -0.00558474-0.000797657j -0.0108239+0.000695053j -0.00609447-0.000753731j 0.000141135+0.00229507j -0.0220882-0.00110551j 0.00646206+0.00112996j -0.000742592-0.000654092j -0.0114864-0.00565251j 0.00632378+0.000879851j -0.0106867-0.0134325j 0.0145097+0.00368665j -0.015224+0.00319341j 0.00671161-0.00625449j -0.00366737-0.0135475j -0.000843199+0.00546347j -0.00395695-0.00346095j 0.0127429-0.00599005j -0.012055-0.00715805j 0.00648608-0.00399633j 0.013263-0.00386083j -0.00247502+0.00801335j 
-0.00345337-0.00601935j 0.00171022+0.00169283j -0.000171653-0.00128271j -0.00396307-0.0064496j -0.000418492+0.00208133j 0.00105072+0.00127612j 0.00341125+0.00673324j 0.00127238-0.00311553j -0.00228061-0.00195336j -0.00100514-0.000632784j -0.00178987+3.99978e-05j -0.00310085-0.00507145j -1.48155e-05+0.00425421j -0.00183923+0.00130497j 0.00211992+0.000355311j 0.00197602-0.000553869j 0.00261694+0.00182843j -0.00426478-0.00215258j 0.00409214+0.0016735j 0.00056123+0.000121882j 0.000969272-0.00276858j 0.00182956+0.00187685j -0.0021841+0.0015177j -0.000888548+0.000101406j -0.000412109+0.000122034j -9.41071e-05+0.000767934j 0.000672383-0.00213697j 0.00127364+0.00128724j 0.000157187-0.00551072j -0.0020444+0.000670618j -0.00291893-0.000975121j 0.001163-6.35001e-05j -0.00914005-0.0102469j 0.00571655+0.00868j 0.00223173+0.000472838j 0.00238634+0.00161764j 0.00097632+0.000446642j 0.000629854-0.00806056j -0.00179547+0.010365j 0.00252648+0.00549863j -0.013884-0.00275958j 0.00108094-0.0225529j 0.000287433+0.0212857j -0.0105197+0.00494237j -0.00151347-0.00682148j 0.00891342-0.00873289j -0.0110855+0.00563021j -0.00368779-0.00341394j -0.000410146+0.00966106j -0.0105629+0.00292596j -0.00285887+0.00893011j -0.0102957+0.0122299j 
-0.00271184+0.00157946j -0.00396613-0.00331864j 0.00267769+0.00388106j 0.00337497-0.00360115j 0.00277692-0.00411j 0.0019776+0.00316415j 0.00025249+0.00180276j 0.00218276+0.00359905j 0.00242737-0.00368828j 0.000619321-0.00153317j -0.00171523-0.003627j -0.00414663-0.00352325j -0.00207042-0.000275848j -0.000944202-0.00019211j 0.00169513+0.00233433j -0.00169796+0.000795886j 0.000951742-0.000843574j -0.00373546-0.00143081j 0.000536169-0.00127206j -0.000605624-0.0019335j 0.00515861+0.000531495j -0.00334732+0.00304392j -0.00442243-0.0064045j 0.00110399-0.000167617j -0.00142988-0.00373536j -0.00476548-0.00785966j 0.00309724-0.00457438j -0.00315583-0.00250792j -0.000729389-0.000398031j 0.00533887+0.00223092j -0.0012666-0.00678381j 0.00514227+0.00261534j -0.0078116-0.00410694j -0.00411428-0.00548822j 7.04899e-06+0.0103417j -0.0112162+0.0120421j 0.00484721+0.00639388j 0.00255293+0.00438505j -0.00664637+0.00652587j 0.00821838-0.00488238j -0.00167597+0.0143051j -0.00506235-0.000801563j 0.00462819-0.0102868j 0.00973355+0.0221841j -0.00297003+0.00391842j -0.00188802+0.00325398j -0.00134476-0.000856418j -0.0132827+0.0216705j -0.0162955-0.000351906j 0.00183889-0.00305426j -0.0052924+0.0104668j 0.00143982-0.00754263j 
-0.000609883-0.00107147j 0.000161701-0.00254462j -0.00270065+0.0018759j -0.0013027+0.00566033j 0.00134358+0.00285716j 0.00476287-0.00266458j 0.000379573+0.000177764j -0.000961216-0.00012007j 0.00378896+0.00298773j -0.000599513+0.0020722j 0.00385568-0.00180511j -0.00413791+0.00104887j -0.00176715-4.69064e-05j 0.00548379-0.00130008j -0.010218+0.0029895j 0.00700934-0.00804984j 0.00579774-0.0034849j -0.00752039+0.000277995j -0.00822309+0.00383767j -0.000554617-0.00448438j -0.000273116-0.000483075j 0.00609029-0.0076295j 0.000680921+0.00292545j 0.00104772+0.0046351j -0.00508663+0.00371599j 0.00958553-0.0094208j -0.0048311+8.47814e-05j -0.0166262+0.00803643j 0.00914668-0.00304288j 0.00202807-0.00153086j 0.00521039+0.000272217j 0.00578806-0.00203098j 0.0034625-0.00434365j 0.0111393-0.00244084j 0.00875593-0.00427899j -0.014804-0.000623982j 0.00620272+0.00408185j -0.0138954-0.00474143j -0.00128895-0.000463695j -0.00231204+0.00339108j 0.0030915+0.00221421j 0.0177792+0.00662918j 0.0108121+0.00651553j 0.00934244+0.00585531j 0.00545369-0.000202373j 0.00332189-0.00602038j -0.00929696-0.00638859j -0.0030008+0.00287536j 0.00786079-0.00490505j 0.00200812+0.00560431j -0.00150133+0.00212279j 0.00173295-0.0003941j 
-0.00167819-0.00200607j 0.00155027+0.00444299j 0.000576896-0.00186527j -0.00384361-0.00172063j -0.00358844+0.0019463j 0.00190565-0.00288085j -6.00578e-05+0.00807743j 0.000900112+0.00357705j -0.0067823-0.00331889j -5.60822e-05-0.00313287j -0.0018913-0.00524225j 0.00296612-0.00614933j 0.00137097-0.000761403j -0.00248927+0.000288926j 0.00333306+0.00401416j 0.00679106+0.000512415j 0.00459725+0.00267239j -0.00337291-0.00600316j 0.00653188+0.00894871j 0.00223337+0.00753759j -0.00160761+0.00785036j 0.00539881+0.00444529j -0.00200532-0.00380604j -0.00350373+0.00143996j -0.000836293-0.00347717j 0.00211226-0.00177255j 0.000530792-0.00621313j -0.00492544-0.00155983j 0.00629864-0.00133656j 0.000384795+0.00342624j 0.00458704-0.00401978j -0.00356825+0.00405054j -0.00613914-0.0112197j 0.00598099-0.0065298j 0.0106644+0.00840472j -0.000327558-0.0107801j -0.0127035-0.000756422j 0.00279722+0.0128809j -0.00208575-0.018602j 0.000819892+0.00156048j 0.000568901-0.00774533j -0.000111305+0.011466j 0.000620914-0.0059808j -0.00179683+0.00117067j 0.00705152-0.0143441j -0.00310177+0.0149063j 0.00302878-0.00599101j -0.0154991+0.00078302j 0.000204042+0.00457118j 0.002079-0.00730275j 0.000932109+0.000720779j -0.00439943+0.00676295j 
0.00143712+0.000189675j 0.00591499+0.000914452j -0.00176752+9.08155e-05j -0.00128096-0.0070253j 0.00198873-0.0059311j -0.0037751-0.000710924j 0.00654042-0.00352917j 0.00402496-0.00195864j -0.000802391-0.00849156j -0.00555494-0.00293015j -0.00147412-0.0003351j -0.00605089+0.0076518j -0.00682494+0.00515365j 0.0047309-0.00638361j -0.000478395+0.00391016j -0.00290252-0.000561145j -0.00219029-0.00176801j -0.00280168+0.00141775j -0.00272138+0.0081821j 0.00438553+0.000763323j 0.000629486-0.000842989j 0.00284605+0.00615928j 0.00446824-0.0035512j 0.00100796-0.00529786j -0.00217659+0.000426465j 0.00137959-0.00277525j 0.016321+0.0081296j 0.00119982+0.000698608j -0.0014847+0.0032628j -0.0126661-0.000701007j -0.0152459-0.00167942j 0.00733741-0.00151643j 0.00707508-0.00721069j -0.00168011+0.00436844j -0.000387755-0.00272792j 0.00928523+0.00951015j 0.0101917-0.0041808j -0.00408887+0.0126768j 0.00675655-0.00211299j -0.0229134-0.0060453j 0.00710766+0.000465314j -0.00056251+0.00190685j -0.00258632+0.0032673j 0.0044694-0.00580492j 0.00457531-0.00585276j -0.0133291+0.000611676j -0.010051+2.06684e-05j 0.00921129+0.00127645j -0.00830745+0.00843779j -0.000779332-0.00849594j -5.1561e-05-0.00547514j 0.00123142+0.0056197j 
-0.000494857+0.0059872j 0.00053184+0.00431511j 0.00208295-0.00270085j -0.00177536-0.00674913j -0.0024417-0.00190656j 0.00179037-0.00234368j -0.00313608+0.00511851j -0.00110351+0.0029257j -0.00666351-0.00306398j 0.0018903-0.00425033j 0.00128673-0.00160179j 0.00640548+0.00109471j 0.000592299-0.00142841j 0.0023616+0.00240601j 0.00189471-0.00288121j 0.00606988+0.00283239j 0.00149916-0.00242745j 0.000223195+0.00588822j 0.00196133-0.00238925j 0.00287846+0.00307615j -0.0105449-0.000759044j 0.00715542+0.00431066j 0.00613982+0.00534369j -0.0110933+0.0030476j -0.00572509-0.000156212j 0.00205483+0.00489379j -0.00701187+0.00224651j -0.00672319+0.00536176j 0.00208979+0.00165919j -0.000509773-0.00701981j 0.00632713-0.00229781j -0.00177433+0.00452477j 0.00201043+0.0115657j 0.00169461+0.00274077j 0.0173879+0.00687525j 0.000277353+0.0211915j -0.00419707-0.00747292j -0.0066544-0.00217031j -0.00540292+0.00643534j 0.00323837-0.0133399j -0.00103674+0.00929487j 0.00205148-0.00288089j 0.00596336+0.00757605j 0.00298535-0.00805915j 0.000928805+0.00664317j 0.00985988+0.00207762j 0.00442074-0.00191912j -0.00331927-0.00655382j -0.0075791+0.0103259j 0.000809006-0.00474226j 0.00640296-0.00483479j -0.000359368+0.00134453j 
-0.00344968+0.00255753j 4.41977e-05+5.76526e-05j 0.000706021-0.00257496j 0.00309186-0.00513766j 0.00456555+0.00155628j 0.000787147+0.00263877j 0.00100569+0.000658485j -0.00132632+0.00345037j 0.00294654+0.00352368j 0.00133343-0.000273828j -0.0025858+0.00826493j -0.00584817-0.0034887j -0.00413848-0.00232406j 0.00525574+0.00244881j 0.00155497-0.00872424j -0.00256856+0.00611485j -0.000278835+0.000731415j -0.00228815+0.0011317j -0.00038289-0.0105446j 0.00646951-0.00175185j 0.000637933+0.00165754j 0.00144186+0.00114055j 0.00550301-0.00443913j -0.0151484+0.00973296j -0.00660649+2.99648e-05j 0.00855101+0.0028681j 0.00447329+0.00034176j -0.00484354-0.0118442j -0.00858395+0.00481337j -0.0109449+0.00606967j 0.000992002-0.00120842j 0.00887644+0.00310651j 0.00189098-0.00559661j -0.00796425+0.00519126j 0.00291109+0.00290962j 0.00337219-0.0167782j 0.000180536+0.0112989j 0.000990547-0.00928583j -0.0143541+0.000185673j -0.0116659-0.000130576j 0.00295012+0.00150062j -0.00696662+0.00953448j -0.00528283+0.00306918j -0.0104513+0.0131928j 0.00242868+0.00592489j 0.00677843-0.00464244j 0.00365584-0.00550963j 0.00177825+0.00318003j -0.00618412-0.00284587j -0.000734584+0.00299129j 0.0022279+0.00182805j 0.000701534+0.00106613j 
0.00158575-0.0033224j 0.000549506-0.000698117j -0.00180682+0.00116874j -0.00537353+0.00186704j -0.00348466-0.00245181j 0.00179927+0.00425689j -0.000778296-0.00375955j -0.00103701-0.00410358j 0.000479601-0.00376459j -0.00138561+0.00124771j 0.00331444+0.00204698j -0.000648092+0.00232897j -0.00051609+0.00299358j -0.00217152+0.00467552j -0.00330856-0.00423845j 0.00529699+0.00977998j 0.0021506+0.00682255j 0.000906824-0.00969619j -0.0084698+0.00302705j -0.00399455+0.000657696j 0.000387838-0.0084297j 0.0014166+0.00920589j -0.00722239+0.00413721j 0.00201697-0.0119513j 0.00267072-0.00737483j 0.00293847+0.00639893j 0.000402411-0.00746215j -0.0119867-0.0124828j 0.00832862+0.0115397j 0.00426831+0.000425565j -0.0003335+0.00897985j -0.00242762+0.000410808j -0.00104718+0.00415312j 0.00866711+0.0119235j -0.0069918+0.0161354j -0.00895752-0.00555364j 0.00427053-0.00522009j 0.000282864-0.0096372j 0.00838831-0.00441592j 0.00090112-0.000337149j -0.00230175+0.00179021j -0.00222785+0.0122253j -0.00972938+0.0140949j 0.00658511+0.00486323j -0.000856598+0.00287137j -0.00679397+0.00615547j 0.00320417-0.00158299j 0.00189274-0.00764148j 0.00443585+0.00570044j -0.00141693+0.0015238j -0.00278565+0.000293157j -0.000406926+0.0008601j 
