0.0139444-0.00723836j 0.00480034+0.0036391j 0.0111524-0.00676581j -0.0107344+0.000452979j -0.00118673+0.00368639j -0.00151223+0.00295414j 0.0104238-0.00155941j 0.00130363-0.00485463j -0.00342719-0.00169379j 0.00230522-0.00254368j -0.00209622+0.000381824j -0.0012402+0.00170612j -0.00571979+0.000709688j 0.0004381+0.000204096j 0.00265643-0.0023148j 0.00384505+0.00101563j 0.000360751-0.00214483j 0.00255152+0.000733317j 0.00196332-0.00307252j -0.00952113+0.00185718j 0.00826182-0.00387577j -0.00323588-0.00213076j 0.000565739-0.00106156j 0.00331342-0.00119804j -0.000599571-0.00273514j -0.00260072+0.000339855j -0.00360363+0.00469133j -0.00909904+0.00552249j 0.00220189-0.00309984j 0.0026872+0.00129227j 0.00312921-0.00274537j -0.00471753+0.000418565j -0.00260764+0.00156904j 0.00145071+0.00165547j -0.00821092+0.00218249j -0.00495211-3.32635e-05j 0.00309525-0.00217184j -0.00160188+0.000465292j 0.01317-0.0056286j -0.0103659+0.00261629j 0.00655411-0.00388128j -0.00470121+0.000661347j 0.005102-0.00148919j 0.00502644-0.00334555j -0.00916719+0.00183258j 0.00772375+0.00210957j 0.00344648+0.00512878j 0.00315159+0.00277595j 0.00265134+0.00355767j -0.0111525+0.00289964j -0.00644452+0.00184554j -0.00136665+0.0048268j -0.00819155-0.00109748j -0.00230454-0.000558214j 0.00467091-0.00564527j 0.00786826+0.00704281j -0.000615842-0.00704941j -0.00206261+0.00232304j -0.00600066-0.00334973j -0.00424286+0.00310002j -0.00678596-0.0106969j 0.000936068-0.00603569j 0.00745028-0.000684405j 0.00149699-0.00953471j -0.000109928-0.003484j 0.000374957+0.0046582j -0.00933288-0.0124932j 0.00922952-0.00289829j 0.00885745+0.0188458j 0.0154195+0.00329421j 
-4.49188e-05-0.002647j -0.00020172+0.000416927j 0.00210088+0.00432802j -0.000264278-0.00577999j -0.00183783-0.00335052j -0.00191575-0.00034386j -0.00173666+0.00113628j 0.00118498+0.000345373j -0.0023088-0.00124187j 0.00089098-0.00100991j -0.0042323-0.000333597j -0.00285399-0.000847272j -0.000755571+0.00083751j 0.00239843-0.00267725j 0.00219342+0.00311697j 0.00279313+0.00219679j -0.00196143-0.00154305j -0.000880249-0.0035594j 0.00357864+0.00126534j 0.00168583-0.0019504j 0.00372166+0.000539074j -0.000495107-0.000276611j -0.00349193-0.000220963j 0.000159054-0.00102555j -0.00102889-0.00365803j 0.00279056+0.00209096j 0.00938446+0.00299783j -0.00207827-0.00402518j -0.00383525-0.000323386j 0.00239643+0.00436937j 0.0056718-0.00681371j 0.00256706-0.00448715j 0.00877871-0.00108167j 0.00935579-0.00226318j 0.0065485-0.000323987j -0.00961525-0.000602409j -0.00747538-0.00443721j -0.00613799-0.000570327j 0.00619339+0.00267825j 0.00452849-0.00268295j -0.00339589+0.000904404j -0.00387413+0.00541694j -0.00276165+0.0129588j 0.0105223-0.00448181j -0.00268615-0.00132749j -0.0070444-0.0053707j -0.00742472-0.0195809j 0.0120329+0.00910485j 0.000393161+0.00022989j -0.00523729-0.00201917j -0.0105986+0.00172806j 0.00294133+0.0157567j 0.000658076+0.00387616j 0.0128994+0.0020628j 0.00556493+0.00495998j -0.00118974+0.0132864j -0.00626875+0.00899155j 0.00590882+0.00253794j -0.000281783-0.000969381j 0.00273521+0.0107756j 0.0038582+0.000169703j 0.00592735-0.00358125j -0.00305616-0.00306743j -0.00181512-0.00100686j -0.00288972+0.00325608j -0.00150451+0.00721778j -0.00366105+0.00687769j -0.00586533+0.00534284j -0.00143276+0.00106293j 0.000757682-0.000327317j 
4.53098e-05+0.00132892j 0.00102447+3.52447e-05j -0.000997775+0.000760666j -0.00164778-0.000373288j -0.000975853+0.000677087j -0.00206463-0.00238322j -0.00158537+0.00119143j 0.00117373-0.0015733j 0.000924515-0.001326j 0.00303329-0.0024878j -0.00203881-0.00085913j 0.00245749+0.00069327j -0.000427211+0.00370223j 0.000209962+0.00268198j 0.00363063+0.00066507j 0.0060588+0.000325576j -0.00375746+0.000698416j -0.00238943+0.000665326j -0.00342278+0.00264323j -0.000954089+0.004176j 0.00171287-0.000785715j 0.00465867+0.00395142j 0.00421348+0.00222752j 0.000151047+0.00272605j -0.00237249+0.0011471j 0.00683387+0.00202669j -0.00363597+0.00601733j -0.00397435-0.00526817j 0.00198685-0.00104981j 0.00548452+0.00372705j -0.00923789-0.00444262j 0.000138791-0.00349698j -0.0102051+0.0116224j -0.0168443+0.003965j 0.000730187+0.00293647j 0.00357235-0.00691192j 0.00462418+0.00173827j 0.013368-0.00894608j -0.0132156+0.00416314j 0.00421283-0.00890947j 0.00314341-0.00351905j -0.0119584+0.0045826j 0.00188389+0.00863836j -0.00676136+0.00608491j -0.00212582-0.00392069j 0.0149325-0.00135345j -0.00337388-0.00368879j -0.010107-0.00643815j -0.00164111+0.00595865j 0.00461902+0.000658309j -0.00338509+0.000791093j -0.0137783-0.00154106j 0.00161445+0.00270195j -0.0115184-0.00202076j -0.0056503-0.00706231j -0.00227238+0.0128381j -0.00659493+0.000639782j 0.00881937-0.00933442j -0.0028373-0.000558171j -0.00623538+0.00553685j 0.0039771+0.00628919j -0.00527084-0.00367503j 0.00114211-0.00289951j -0.000296425-0.00313938j -0.00117864+0.00664265j 0.00262482+0.00207203j -2.97245e-05-0.000419083j -0.000328987+0.001156j 0.0011006-2.22188e-05j -0.000925365+0.00132409j 
0.00187316+0.00347513j -0.000222136-4.90374e-06j 0.000390129-0.00241634j -0.00150274+0.00256487j 0.000413748+0.00173716j -0.00173648-0.00244962j 0.00168819-0.00195417j -0.00198363-0.00183373j 0.000256891+0.00160732j -0.00383675+0.00321919j 0.0031805+0.000284883j 0.00260682+0.00479212j 0.00113119+0.00108363j -0.000257466+0.00461606j -0.00140503-0.00152276j -0.000607797+0.00303187j 0.00435614+0.000335468j 0.00230597-0.00145195j 0.00235867-0.00183913j 0.00475429+0.00352119j -0.00830022+0.00342336j 0.00314328+0.00781252j 0.00231154+0.00389027j -0.00359971-0.00170434j 0.003863+0.00171333j -0.00374606+0.00837707j 0.00340674-0.000571505j -0.00205896-0.00881458j -0.000863534-0.000757499j 0.000134314+0.00224725j 0.000424468-0.00639747j -0.00495802-0.00417215j 0.0069965-0.00188022j 0.000363318-0.00574762j 0.0022711-0.00497306j -0.00415971+0.00291345j 0.000164175+0.00382951j -0.0122329+0.00125367j 0.0019046+0.00186355j -0.00268472-0.010825j -0.00378764-0.00463457j 0.000193703-0.0050327j 0.00290124+0.00503816j 0.00943991+0.00629415j 0.00238263-0.00169158j -0.00749051+0.0132784j 0.0101177+0.00916774j -0.00144946-0.0173861j -0.0039663+0.00959788j -0.000262048+0.00399123j -0.00372421+0.00912552j 0.00452223-0.00153041j -0.00190846+0.00472168j 0.0094787+0.00958759j 0.0079591-0.00995599j 0.0002223+0.00355836j -0.00681252+0.00483501j 0.00449348-0.0159273j 0.000114561+0.0067812j -0.00142082-0.00356369j -0.0129713-0.000256551j 0.00225651-0.00280365j 0.00417593-0.00245181j 0.00189038-0.00530576j -0.00213058+0.00131044j 0.000611757-0.00213038j 0.00399127-0.00463872j 0.00307509-0.000523069j 0.00172873-0.00319408j -0.00169375+0.00237076j 
-6.24609e-05+0.00172541j -0.0030412-0.00336038j -0.00126926+0.000787514j 0.00203754+0.00494527j -0.00109573-0.00237226j 0.0016205+0.00150174j -0.00403689-0.00450219j -0.000844884-0.00266121j 0.000565577-0.000333026j 0.00422907+0.00230806j 0.000882441+0.00664683j -0.00320514-0.00595717j -0.00452804-0.00125077j -0.000558712-0.00297921j 0.00112094-0.00662179j -0.0012891-0.00350806j 0.00214226+0.000258573j -0.00232819-0.00216401j 0.000322683+0.000751146j -0.00248184-0.00441619j 0.00174187+0.00373812j 0.000721352-0.00433348j 0.0029012-0.00114027j -0.000991695+0.00165103j 0.00233134+0.00149208j -0.00143823-0.00317144j -0.00319414-0.000434556j -0.00195146-0.00332994j -4.87699e-05-0.00351223j -0.00334254-0.00608241j -0.00575738+0.000925888j -0.000503605-0.00156594j 0.00567303+0.00154668j -0.000622658+0.00349311j -0.00636333-0.00406939j 0.00532106+0.01329j -0.0025904+0.000913597j 0.00484798+0.000236181j 0.0124408+0.0130022j -0.00375436-0.0115033j -0.00674474-0.00820746j -0.00594565+0.0125574j 0.00342085+0.00295512j 0.00211786-0.00765398j 0.00396093+0.00580542j -0.000521822-0.00697385j 0.00241726-0.00343727j -0.00179305-0.00220078j -0.0039269+0.00878465j 0.00848661+0.00412392j 0.00433385+0.0239568j -0.00123379+0.000881258j 0.00238057+0.0138116j 0.00175985-0.00434292j -0.00725321-0.00141658j 0.00252207+0.00033214j -0.00347906+0.0154902j 0.00071658-0.00154668j -0.0010475-0.00656292j 0.00569895-0.00206967j 0.00781817+0.000485753j -0.00147743+0.00846951j 0.00295125+0.00255643j 0.00608958-0.00564866j 0.00371147-0.00989235j -0.00126141+0.00641166j -0.000145996-0.00337294j 0.0017097-0.00169095j 0.00261583-0.00362176j 0.00102777-0.00337494j 
0.00142979-0.00157065j -0.00107247-0.0010402j 0.00170511-0.00233641j -0.00315064+0.00459548j -0.00374314+0.00168896j -0.000552644+0.000656115j -0.00385615+0.000181989j -0.000741955+1.45644e-05j 0.000668778-0.00109557j 0.00236368+0.00470906j 0.00366229-0.00468289j -0.00387177-0.00183628j -0.00762706-0.000295189j -0.00229435+0.00624421j -0.000857741+0.00301851j 0.0064469+0.00479789j -0.0011523-0.00370999j 0.00361014-0.00619331j 0.0033712-0.00598002j -0.00397784+7.86086e-06j -0.00175246+0.00853157j -0.00353633+0.000930689j -0.0024955+0.00272807j -0.00708048+0.00443599j 0.00426895-0.00143862j -0.00406573+0.00178836j -0.00475759-0.00412127j -0.00248894+0.0048263j 0.00813151-0.00781022j 0.00266334-0.00342718j 0.00774303-0.00460056j -0.00755609+0.0095483j -0.00051777-0.00071852j -0.0109386+0.00331455j 0.00587617-0.00445129j -0.000946654-0.00297365j 0.0150495-0.00590309j 0.0011713+0.00397236j -0.0152271+0.00819667j 0.00404554+0.00815367j -0.00639462-0.000980828j -0.0169493-0.00519553j 0.00476633+0.000110699j 0.000358144-0.0027517j 0.00345178-0.00300031j 0.0103926-0.00178265j 0.017965-0.0100938j -0.0046522+0.00840449j -0.00449113+0.00036398j 0.00309356-0.000884201j -0.00468093-0.00485536j -0.00471136+0.00157425j -0.00642654+0.00885126j 0.00719336-0.00305567j -0.00133352-6.2586e-05j -0.000472612-0.00320427j -0.0006312+0.00251787j 0.00264477+0.0116635j 0.0144427-0.00190306j -0.00455347+0.000552372j -0.00773388+0.00763957j -0.00673371-0.000680124j 0.00269549+0.00201147j -0.00143068-0.00269591j -0.00335779-0.000849725j 0.0036256+0.00642493j 0.00120314-0.00129705j 0.00389294+0.00120895j -0.00109023-0.00079844j 0.00179177-0.000515076j 
-0.000881869+0.00283158j -0.00157191-0.000871225j -0.000694499-0.000710871j -0.000323437+0.00301059j -0.00124303-0.00246412j -0.00113519-0.00299818j -0.00170872-0.00429974j 0.000535732-0.000956015j -5.05229e-05+0.000350727j 0.00144338+0.000706756j -0.00437494+0.000172052j -0.000760252-0.00323042j -0.00351123-0.00351745j 0.00154599+0.00174818j 0.00393293-0.00130125j 0.000503191+0.00659026j 0.00396136+0.000386133j -0.00305377+0.00590293j 0.0019473+0.00490092j 0.00243484+0.00179279j -0.0034589+0.00563976j 0.00262192-0.000131046j 0.0046299-0.00321883j -0.00207397+0.000376332j 0.00382414+0.00155615j 0.00190566-0.000481116j -0.000178825+0.00593219j 0.00599223-0.00528337j -0.00353365-0.00187842j -0.00121768-0.000523573j -0.00112471+0.0109689j 0.00122848-0.000571753j 0.0137571+0.0108898j 0.00370875+0.014842j -0.00270652+0.00786215j -0.000923804-0.0141183j -0.00465586-0.00396436j -0.00325245+0.000917441j 0.0125902+0.00692007j 0.00592591+0.00503604j -0.00384166-0.0108705j 0.00218367-0.0121585j -0.0067187-0.00536091j 0.0082906+0.00898653j -0.00415525-0.00459008j -0.00458296-0.0108925j 0.00139712-0.00252519j -0.00380638+0.0159121j -0.00161266-0.00100841j 0.00674075-0.00221811j 0.0111028-0.0125619j 0.00182852+0.00103303j 0.00129695+0.00741905j -0.000911118+0.0155227j -0.00117658+0.0053414j 0.00257843-0.000795781j -0.00739522-0.00150171j -0.00511792+0.00451769j -0.00705148+0.00164171j 0.00118104+0.0112708j 0.00332734+0.00317295j -0.00284821+0.00451832j 0.000568036+0.000416092j 0.00428042-0.00263037j -0.00110647+0.00119028j -0.00115504+0.00415164j 0.00217191-0.00197945j 0.00203061+0.000236566j 0.00206735-0.00184211j -0.000735547-0.00115844j 
-0.00109232+0.00055713j -6.17651e-05+0.00295503j 0.00235475-0.000929438j -0.00255546+0.00124661j -0.00287083+0.00153286j -0.0020847+0.00247465j 0.00198445+0.00374326j 0.00073623-0.00317088j -0.0026+0.00107841j -0.00253976-0.000858806j -0.00223763+0.00494809j -0.00190244+0.00419609j 0.000915306+0.00279858j 0.000803518-0.00189736j 0.00164533-0.000718373j -0.00058011+0.00447221j -0.000142613-0.00214593j -0.00372708+0.00683892j -0.00328781+0.000600371j -0.00493853+0.00126962j -0.00606148+0.00387297j -0.00252025+0.000762645j 0.0063957-0.00452861j -0.00462079+0.00526091j 0.00285551-0.00642574j 0.00441561-0.00564221j -0.00331226+0.00250432j 0.00650876-0.00913003j 0.00637229+0.00107003j 0.00541132+0.00156308j -0.00332378+0.00485561j -0.00743656+0.000664407j -0.000938584-0.0140057j -0.010055-0.000738517j -0.0121362+0.000898303j 0.0015577+0.00420487j -0.00109771+0.00271035j -0.00708927-0.000628202j -0.00976824-0.00912898j -0.00126756+0.00442289j 0.00237038+0.00643135j -0.00875106+0.00315188j -0.00981185+0.00677198j 0.00514108-0.00827899j -0.00607823+0.00046393j 0.00667976+0.001959j 0.00304157-0.00269425j -0.00351217-0.00526124j -0.00695657+0.000343061j 0.00804367-0.00376503j 0.0165706-0.00234881j -0.000404338+0.00307983j 0.000712587-0.00602736j 0.00208864-0.0118907j -0.00101293+0.00349994j -0.00430839-0.00023253j -0.0112846-0.000620122j -0.000781914-0.0027293j -0.001606+0.00441144j 0.00584659-0.00425747j -0.00305359-0.00332905j 0.00170949+0.000303946j -0.000404101+0.00108927j 0.000169874+0.000891932j 0.00158756+0.0016443j 0.00370853-0.00127511j 0.00169532+0.0033859j 0.00315041+0.00188533j -0.000964011+0.00109172j -0.00184298+0.00116542j 
-0.00118906+0.000183574j 0.00172528+0.000832833j 0.00158926-0.00109146j -0.0022122+0.00276687j -0.000132239+0.00263013j 0.00166397-0.000639171j 0.00541347+0.00292834j -0.000969123-0.00264271j -0.00157815-0.00226983j -0.00170557-0.0081021j 0.00362372-0.0021412j 0.00122274+0.000288312j -0.000328561+0.0084718j -0.0036344+0.00654548j 0.00169805-0.00718364j -5.84025e-05-0.00740103j 0.000845588-4.33933e-05j 0.00328639+0.00047198j 0.00461592-0.00431939j -0.000334964-0.000475248j -0.00677557+0.00163342j 0.000915105-4.12483e-05j 0.00195313+0.00368532j 0.00311368+0.00432257j 0.00285117+5.27407e-05j -0.00814358+0.00259459j -0.00241677+0.0050087j 0.00597612+0.00218221j 0.0018602-0.00845012j -0.00155747-0.00145606j -0.00971917+0.00824737j 0.0100402-0.00234219j 0.00120924+0.000977507j -0.000499186+0.0111599j 0.00407522-0.00301801j -0.0026646-0.00179154j 0.00720509-0.00815034j -0.00349738-0.0189695j 0.00939398+0.000467532j 0.00712436+0.000321923j -0.00488462+0.0107968j 0.00145123+0.0182405j 0.0115936-0.00181822j -0.00158777+0.00492113j 0.00886939-0.00144864j -0.00353877-0.00991625j 0.000531254-0.00116628j 0.000738769+0.000625789j 0.00474779-0.00333878j 0.00397061-0.00628124j 0.000720617-0.00163653j -0.00359875+0.0158479j -0.00074633-0.0088319j 0.00410133+0.000701953j -0.00645902+0.00887759j 0.0138355-0.00222281j -0.001508-0.00254631j 0.00846114-0.00721215j 0.00122805-0.00250193j -0.00617015-0.00302505j 0.000711286-0.00578332j -0.00499715+0.00463576j 0.00240374+0.000608574j 0.0018106+0.00267131j 0.000889725-1.39964e-05j 0.00266329-0.00652283j 0.00055632+0.00290033j 0.00233082+1.36648e-05j 0.000391797+0.00168821j -0.000198674+0.00109388j 
-0.00200774+0.00166567j 0.000891863-0.000244441j -0.00178288-0.00112818j -0.00120642+0.00186391j 0.000532552-0.00243237j 0.00121651-0.00347489j -4.03334e-05-0.00500717j 0.000889832-0.000419193j 0.00192345-0.000423646j 0.00369134-0.000905095j -0.00289534-0.00312424j 0.00268154-0.00314702j -0.00274861+0.000966868j -0.00168518+0.00230149j 0.00459913-0.00284153j 0.00249294+0.00141738j 0.00115304-0.0049613j -0.00324478+0.000308119j 0.00266162-0.00557765j 0.00277405-0.00818312j 0.00192417+0.00806145j 0.00675882+9.66175e-05j 0.00329381+0.00428501j -0.000424226+0.00280177j 0.000455062-0.00180457j 0.00178667+0.0114572j -0.00250858-0.00323381j 0.00392239-0.00553073j -0.00533553+0.00200587j -0.00453139+0.00498745j -0.0115818+0.00125041j 0.00977706-0.00846961j -0.00116982-0.00890903j -6.36859e-05-0.00972175j -0.000462339+0.000591583j 0.00199534+0.00180461j -0.00368649+0.0039892j 0.0129096+0.012826j 0.0202507-0.0200598j 0.0108883+2.74266e-05j -0.00562065+0.00658237j -0.00180221-0.0101497j 0.00206428-0.00209888j -0.000510892-0.0086723j 0.00605946-0.00567565j -0.00360321+0.0122642j -0.00638644-0.00564676j 0.000735043-0.00610096j 0.00600475-0.00372439j 0.00577328+0.00464782j 0.00215818-0.00442122j 0.00571953-0.0108023j 0.0056418-0.000201433j 0.0117256-0.0105742j -0.0027163-0.00665623j 0.00809202-0.00330376j 0.000257637-0.00154376j 0.00224433-0.000871644j -0.00383685-0.00356828j -0.00412285+0.00400624j 0.00285971+0.00710753j -0.00482736-0.00149466j 0.00118984-0.00028854j 0.00534468-0.000459705j -0.00109836+0.003193j -0.00299787+0.00231021j 0.00096017-0.000989761j 0.00136852-0.000362205j 0.00139839+0.00115127j -0.000134695-0.000451243j 
-0.000920773-0.00284827j -2.4443e-05-0.000281916j -0.000969925-0.00213805j 0.00173153+0.00055494j 0.00100513+0.00316778j -0.00123894+0.000128696j 0.000591551+0.00105907j 0.000112093+0.00255416j -0.00215939-0.000249303j 0.00194891+0.000749146j -0.00343131-0.00729305j 0.00171469+0.000169013j 0.0018506+0.00187609j 0.00574635+0.00355357j 0.00201085+0.00636824j -0.00323017-0.00220236j 0.000654703+0.00184433j -0.00739796-0.00823171j -0.00701276+7.10814e-05j -0.00368643+0.00682288j -0.00250584+0.00101583j -0.00232092+0.00366087j 0.00858429+0.00589475j 0.00400598+0.00176297j -0.000948884-0.00438751j 0.0106412+0.00382011j -0.00498063+0.000762879j 0.00687572+0.00665748j -0.00469469-0.00700632j -0.000183265-0.00308665j -0.00713734-0.0108868j 0.00823777+0.00836425j -2.33899e-05+0.00400433j 0.00644502+0.00419445j -0.00836627-0.0127725j -0.000407033+0.00371517j -0.00907395-0.0174021j -0.0120014+0.00346722j 0.00493657+0.0173886j 0.00434012+0.00245096j 0.00761686+0.00233647j 0.00617045+0.00567906j -0.00276381-0.0102442j 0.00601825+0.00365073j -0.00985947-0.00794559j -0.000666389-0.00453985j -0.00123543-0.0121008j 0.00389523+0.000434736j -0.0046122-0.00046336j -0.00136983+0.0046538j 0.00344819+0.015357j 0.00370286+0.00358441j -0.00413288+0.00605642j -0.00239315-0.00391468j 0.00314511+0.000550359j -0.0025234-0.000698229j 0.000453937-0.00707589j 0.00203099-0.00421028j 0.000368173-0.0110786j -0.00393361+0.005745j 0.00184384+0.00677994j 0.000279106+0.00225857j -0.000521922-0.00314022j -0.00300795+0.00250275j -0.0012845+0.00359134j 0.000338175-0.00345856j -0.000319784-0.000485737j 0.000227645-0.00121593j -0.00119115+0.0015973j 0.00155945-0.00186289j 
-0.00199421+0.00165405j -0.00115514+0.000192363j 0.00206204+0.00252801j -0.00297592-0.000157597j -0.0032258-0.00499078j -0.000564872-0.00225807j -0.000603399-0.000180822j 0.00220047-0.00178214j -0.000161626-0.00388791j -0.000980945+0.000748172j -0.00349626+0.00245359j -0.00281784+0.00097468j -0.00085494-0.00421841j -0.00111284-0.00412315j 1.9107e-05+0.00690087j -0.00342497+0.00171244j -0.000289164+0.00207505j -0.00357836-0.000312464j -0.00249114-0.00494126j 0.00203833-0.0148738j -0.000406921-0.0137229j 0.00210881-0.00526059j 0.000159684+0.00824006j -0.00802643+0.0030549j 0.00633936+0.00248108j -0.000599813+0.010351j 0.00159347-0.00662614j 0.00938084+0.00378326j 0.00471378+0.00710346j 0.00413741+0.00805845j 0.0012973-0.00987594j -0.0142005+0.00409897j 0.00423081-0.000546584j -0.013162+0.00333647j -0.003914-0.00471111j 0.00195936-0.000411901j 0.00528069-0.00238401j 0.00462224-0.0129827j -0.00777239+0.00284255j -0.0128106+0.0109314j -0.00130948+0.00206863j -0.00457313-0.00297255j -0.00715034-0.00299411j -0.00180262+0.0100892j 0.0102107-0.0102389j 0.00477828+0.000234628j 0.00272373+0.00252371j -0.00580931+0.0019004j 0.000560423-0.00872008j -0.00100124+0.00906842j -0.00317258+0.0113664j -0.000634482+0.00279148j 0.00669872-0.00489767j 0.00566624-0.00315021j -0.00605848-0.000993632j -0.00648668+0.00290465j -1.07138e-06-0.00740225j -0.00276228+0.00198434j -0.00245744+0.00234938j 0.00407346+0.00231171j -0.00190628-0.00159456j -0.00168695+0.000605267j -0.000655437+0.00121305j 0.00397238-0.00052491j 0.000439568+0.00023523j 0.000125062+0.00408881j 0.000277256+0.0041565j -6.73785e-05+0.00422704j 0.00141043-0.000236093j -0.00118413-0.000554338j 
-0.000593066+0.000109592j 0.00159358+0.00214373j -0.00209879-0.00223745j 0.00172206+0.000343539j 0.00333441+0.00323463j 0.000981295+0.00330374j 0.00421617+0.00129319j 0.000152885-0.00121981j 0.00123405+0.00227416j 0.000765036+0.00524494j 0.000972812+0.00177892j 0.00433945+0.00718563j 0.000894821+0.00163084j 0.00187482-0.00565985j 0.004923+0.00398438j 0.00246561-0.000715315j -0.000557696+0.00536826j 0.00187971+0.00242281j -0.000960626+0.00625222j 0.00797895-0.00654245j 0.00148671-0.00111072j 0.00589877+0.00231892j -0.0023589-0.000190408j 0.000881941+0.0122467j -0.00328642-0.00670956j -0.00931308+0.00669108j 0.00571134-0.00144998j 0.00354579-0.00504297j -0.000687704-0.0113953j 0.00266716-0.00532696j -0.000285475-0.0109198j 0.00363436+0.0211158j -0.0100721+0.000344322j -0.00254503+0.0178095j -0.00835781+0.0119949j -0.00011632-0.0020185j -0.000278918-0.0102632j 4.82627e-05+0.00684433j 0.00389137+0.0225538j -0.00483041+0.0122539j 0.00140155-0.000167966j 0.00111717+0.0101359j -0.00501535+0.00669835j -0.00377399-0.00155745j 0.00803251+0.000860576j -0.00274855-0.00917149j -0.00110818-0.0122652j -0.00711911+0.00600476j 0.00454472+0.00643487j -0.00408649+0.000560532j -0.00208931-0.00556648j 0.00817899+0.00103402j 0.00828126-0.00162278j -0.00130656+0.000435492j -0.000429426-0.00137944j -0.00241165+0.01064j -0.0020306+0.00334624j 0.00126275-0.000183486j 0.00173311-0.00379663j 0.00107926-0.00480073j -0.0011345+0.00512264j 0.00231372-0.00177517j -0.000338144+0.000237813j -3.90038e-05+0.00314056j 0.00199596+0.00140042j -0.00133293-0.00539096j 0.000669595-0.00203601j 0.00131047-0.00351984j -0.000979785+0.00188543j -0.000900787+0.00116177j 
0.00228886+0.00112131j -0.0011837-0.000509745j -0.00221-0.00130711j 0.00479549+0.00252549j 0.000866138+0.000301144j -0.00128546+0.000202876j -0.00348217-0.00295042j -0.00289767-0.000555836j -0.000456761+0.0030406j -0.00312886+0.00205445j 0.00145033+0.00161121j -0.00281238+0.00250788j 0.00543367+0.00683755j 0.00529458+0.00131103j -0.00911012-0.00910045j -0.00272718-0.00498278j -0.000460509+0.0043381j 0.00172823-0.00255235j -0.00620602-0.00339592j -0.00234499-0.00138486j 0.0103181+0.00462253j -0.000482153-0.00615243j 0.00137689-0.00148553j 0.00131411+0.0058143j 0.00124557-0.00111055j 0.00492869+0.0141376j 0.000460655+0.00076821j -0.00625889-0.00893564j -0.00269828-0.00351913j 0.000176877-0.00413937j 0.0143119+0.00836207j -0.0112928-0.00902217j -0.00429137+0.00271086j 0.00105008+0.0124088j -0.000674396+0.00156078j -0.00178152+0.000466352j 0.00145824-0.00997509j -0.00423315-0.00411493j -0.0129835-0.0106306j -0.00665536-0.0109585j 0.00287435+0.00388743j -0.00216969+0.00700169j -0.00330486-0.00807812j -0.00398148+0.000943184j 0.00117192-0.0148332j -0.000666591-0.000537834j 0.00205485-0.00486821j -0.00638938+0.00626399j -0.00267872-0.00288283j -0.00126615-0.0108587j -0.00798743-0.000141801j 0.00248536-0.00437517j 0.000843585-0.00191826j -0.00304627-0.00449305j 0.00068113+0.0059148j -0.00512494-0.0127982j 2.79554e-05+0.00718527j -0.00252649-0.00802379j -0.0010792+0.00126843j 0.00235888+0.000214799j 0.000120471-0.00154109j 0.00526774+0.00386335j 0.00156749-0.00337579j -0.00059211-0.00612105j 0.000302308-0.0018388j 0.000489623-0.00115043j -1.50819e-05-0.00460435j 0.000649641-0.00472683j -9.42864e-06-0.0025553j 0.00015205-0.000332456j 
0.00143776-0.0025067j -0.000367289+0.000370713j 0.00271728+0.000973277j -0.000674724-0.00632532j -0.00105564+0.0034684j -0.00107154+0.00277223j 0.000579825+0.00115984j 0.000356382+0.000110838j -0.00421719+0.00403186j 0.00267816-0.00390362j 0.00256259+0.00145337j -0.00148069+0.000603972j -0.00366116+0.00650673j -0.00379782-0.00619411j 0.00749579-0.00647831j -0.000854311-0.00225469j -0.0018812+0.00623899j 0.00198839-0.00886986j -0.000763973+0.0100468j -0.0130139-0.00612675j -0.01081+0.000502757j -0.00490363-0.00785949j -0.000177301-0.00363272j 0.00040315-0.00766303j -0.00299479-7.14057e-05j 0.00429676+0.0067167j -0.00404208-0.0123721j -0.000850941-0.00855361j 0.00914101-0.00878761j 0.00937487-0.0142379j -0.0081931+0.00109992j 0.0131555-0.00348183j -0.00937277+0.0191591j 0.00340968+0.00288281j 0.00349756+0.00906814j -0.0023812-0.000710216j 0.00143247-0.000287018j -0.00723524-0.000137712j 0.0032726-0.00303833j 0.00557265+0.00419512j 0.00507243-0.00808566j -6.21993e-05-0.00590971j -0.00229832+0.00799217j 0.00546177+0.000254785j -0.00186705-0.0065735j -0.0020684+0.00136128j 0.00467927+0.00307175j -0.000485311+0.00589321j -0.00105713-0.00294512j 0.00235098+0.00893648j -0.000172136+0.00648346j 0.004061-0.00736893j -0.00511335-0.00320401j -0.00549889+0.000702065j -0.0044809+0.00501473j 0.00818227+0.00303395j -0.00324079+0.000914691j 0.00749665+0.000636054j 0.000755412+0.000620282j 0.00239208-0.00533534j 0.00381262-0.00423219j 0.0059279-0.00456563j -0.000856191+0.00142931j -0.00493452+0.00217306j 0.000631415-0.00180349j 0.000484609+0.00203194j -1.63945e-05+0.00198449j -0.00249172+0.00320686j -0.00197308-3.11924e-05j 0.000368486+0.000572505j 
