-0.129755+0.040218j -0.131413+0.0626768j 0.424692-0.0027323j 0.641869-0.013361j 0.545425+0.0493243j 0.122451-0.0508552j -0.110945-0.0313945j 0.0711284+0.0698418j 0.000123451+0.0583392j 0.112318+0.0117109j -0.00481511+0.0266042j -0.0791437+0.0177267j -0.0150099+0.0152617j 0.0171455+0.0274491j 0.0873276+0.0142144j -0.0320285-0.0323031j 0.0363378+0.0399905j -0.0334944-0.00384393j 0.0111989+0.0201102j 0.0205538-0.0537123j 0.00822654+0.053282j -0.0738564+0.0341827j 
-0.0241215-0.0213528j 0.0122286-0.0258738j -0.00283085+0.00144392j -0.00168891-0.0134724j -0.0146873-0.000856027j 0.0340796-0.0181443j 0.00510904-0.041711j -0.0108689+0.100583j 0.0432255-0.0535235j 0.0123737-0.120297j 0.124291-0.129885j -0.0471154+0.00787902j 0.0884283-0.0426407j 0.105485+0.0558722j 0.0593432+0.208807j 0.0605196+0.194881j -0.0350522+0.149435j -0.17111-0.0093859j -0.0225439+0.0417909j 0.0188308+0.0316707j -0.102146-0.0736501j -0.0306827-0.0190391j 
0.0394658-0.00911841j 0.038425-0.0164283j -0.0374948-0.0274768j 0.0102026-0.0151525j 0.0111242+0.0158616j -0.00680018-0.00768341j 0.00209914-0.0322115j 0.00621721+0.045565j 0.0348823+0.00510801j 0.0175771+0.0167331j -0.0113662-0.0266971j 0.0109788+0.00129626j 0.0281114-0.0218321j -0.0230056+0.0333259j 0.0272211+0.0229144j 0.0186892+0.000716336j -0.0246859+0.0160738j 0.000531649+0.00870153j 0.0188036-0.0149707j -0.0195327+0.0261303j 0.027534-0.0164554j 0.0236572+0.025016j 
0.00171869-0.00606517j 0.0108289-0.00990949j 0.0139152-0.0312214j -0.0207793-0.00135364j 0.0361923-0.00668668j 0.011031-0.0141862j -0.0174824+0.00680674j -0.0178727+0.0695686j 0.0034764+0.0138197j 0.0215275+0.0451857j 0.0536403-0.0440231j 0.0302648-0.0178941j 0.025705-0.0339973j -0.0204039+0.0112263j 0.0493826+0.0554315j 0.0502868+0.0232423j 0.0219521+0.0178167j -0.0371584+0.0383614j 0.0190782+0.0308496j -0.0366909+0.012309j 0.000791407-0.0448823j 0.0747025+0.0308791j 
-0.00729514-0.0255722j -0.0218706-0.0428723j -0.0176353-0.00702821j 0.0221021+0.00424489j -0.0108661-0.0393836j 0.0242335+0.00715876j -0.0183752+0.0404559j -0.051374+0.0851882j 0.00828163-0.0127695j -0.00041414+0.0157047j 0.093186-0.0673561j 0.0373246-0.0567721j -0.0387772+0.00969581j 0.0354643-0.0773426j 0.00594752+0.0744612j 0.0996534+0.0778594j -0.00823393+0.00448583j -0.0484563+0.0197268j -0.0306388+0.0637358j -0.0508535+0.0844456j -0.0150482-0.104925j 0.135192+0.0186903j 
0.0193837-0.00418833j -0.0106852+0.00908178j 0.0430278+0.0242248j -0.0260224-0.0135062j -0.0241155+0.000516826j 0.00152949-0.00877838j 0.015862-0.00715482j -0.00855225-0.0351965j -0.000471812-0.028406j 0.00527192-0.0185333j -0.0373226-0.0324431j -0.0228273-0.0165428j 0.0194137-0.0168126j 0.0495447+0.00564057j -0.0351406-0.00192733j -0.0350342-0.0119034j -0.0168525-0.0207144j 0.0122846+0.0264549j 0.000667621+0.00159405j -0.028962+0.0489687j 0.0351257+0.00376233j -0.0217949-0.0119355j 
0.00451334-0.0362974j 0.014352-0.0424972j -0.0237137-0.00438878j 0.000345498+0.00504406j 0.0185565-0.0140284j 0.0269352+0.0428616j -0.00606151+0.0547256j 0.0145851+0.00305498j -0.009909-0.0123083j -0.0693556-0.0359743j 0.0740084+0.0135533j 0.00745723+0.0585077j -0.0655645+0.0153955j 0.0268729+0.00649149j 0.0223925+0.0264207j 0.0309885+0.0037144j 0.025088+0.0197467j -0.0451578-0.0423116j -0.00939649+0.0239882j 0.0275326-0.0196606j -0.0318528-0.0453545j 0.0587736-0.00366105j 
-0.0314402+0.0269175j -0.0363635+0.0759179j 0.0841517+0.0482742j 0.030932+0.0213407j -0.0359111+0.00430832j -0.100256-0.0652106j 0.0423915+0.00585436j 0.0447261-0.118472j -0.0187369+0.000919895j -0.046584+0.00763743j -0.0844855+0.00211071j 0.0230941+0.0305166j 0.00425454+0.0342259j -0.00782742-0.0185572j -0.120169-0.0466648j -0.074186-0.0406074j -0.0220098-0.0159409j 0.0679675+0.0333795j -0.00216222-0.000755794j -0.0389757-0.0208271j 0.0448343+0.07647j -0.0957706-0.0278246j 
-0.00888595-0.00342694j -0.0177758-0.0146094j -0.0226571+0.0086374j -0.00734841+0.00472908j 0.00143739-0.00703912j 0.0146265-0.00459433j 0.0108469+0.0214968j 0.0488743-0.00587113j -0.0087601+0.0053779j -0.00792354+0.0111369j -0.0368066+0.0278098j -0.00396975+0.0102521j -0.0355903+0.0240106j -0.0363131+0.0100712j 0.00617591-0.0561358j -0.0216838-0.0445847j 0.0182459-0.0233945j 0.0338848-0.0122327j 0.00739185-0.00932072j 0.0257743-0.0240567j 0.00237771+0.00868227j 0.00139635-0.0121947j 
0.0169434-0.0385562j -0.00983956+0.0186014j -0.00989906+0.00153584j 0.0280049-0.0191209j 0.00496778+0.0152798j -0.00523318+0.00174457j -0.00202821-0.00873326j 0.0082913+0.0100183j -0.00252018-0.00614606j -0.00266732+0.0166973j -0.00214624+0.0120842j 0.000336349-0.00446264j -0.0117466+0.0114758j -0.0102168-0.00983054j 0.00839711-0.00664555j 0.00732651-0.00179998j 0.0110702-0.0164713j 0.00833009-0.00114995j 0.00512513-0.000757632j -0.00418721-0.00641299j -0.000714396+0.00553836j -0.00406543+0.00820361j 
-0.00561347-0.0335837j 0.0232431+0.00744537j -0.0110622-0.00918507j -0.0107166+0.00534183j -0.0134967-0.00399126j 0.00474134-0.0102246j -0.0104804-0.0133379j -0.0098706+0.0193564j 0.0148416-0.013905j 0.00994283-0.0196095j 0.00263237-0.00346936j -0.0186298+0.00153945j 0.0165606-0.0161948j 0.0140618+0.00766061j 0.0102103+0.0017796j 0.00196928-0.0108186j -0.0117979+0.0179714j -0.0182839+0.00730803j -0.00714354-0.000198064j 0.0182343+0.0230906j 0.000480618-0.00414786j 0.0102563-0.00682614j 
-0.00119016+0.0373944j -0.0101233-0.00739817j 0.0350575+0.0337175j 0.00272877-0.00255319j -0.00554577+0.00294795j -0.0180891-0.0133857j 0.000746887+0.0160553j -0.0240214-0.0242837j -0.00207059-0.00187621j -0.019108-0.0535643j 0.0134145-0.00869243j -0.0242609+0.0333922j 0.0228425-0.0147918j 0.0378463+0.00594381j -0.0181422+0.00720557j -0.0182529-0.0303737j -0.0279582+0.0578248j -0.0448715+0.00723308j -0.0199877+0.00779296j 0.0376572+0.0213575j -0.00536885+0.0091162j -0.0044327-0.0414007j 
0.0194067-0.000184562j 0.0341613-0.00176631j -0.00596281-0.0219757j -0.000749578-0.00103764j 0.00099462+0.00601786j 0.0300238+0.036347j -0.0322154-0.00434465j -0.0582844+0.0171529j 0.0161845-0.00477846j 0.00275935-0.00434542j 0.0477218+0.0684593j -0.00537631+0.0117153j -0.0105029-0.0180429j 0.00303552+0.00450235j 0.0191609+0.0291802j 0.009503+0.0123608j -0.00815182+0.00437243j -0.010738-0.0589034j -0.0106558-0.0201366j 0.0202306-0.00570515j 0.0139563-0.00934511j 0.0107628+0.0383631j 
0.0257431+0.0318921j 0.0554036+0.0672311j 0.0595777-0.0291606j 0.0169432+0.00138658j 0.0171651+0.0422824j -0.0766733+0.00666005j -0.0245148-0.0538442j -0.102587-0.0593165j 0.00299358+0.0193506j 0.00703904+0.0252994j 0.0375271+0.0622284j 0.0234692+0.0019452j 0.0444291-0.0254564j 0.0356779-0.0371094j -0.0378848-0.0208958j 0.0112814-0.0381947j -0.000510901-0.0173478j -0.000917611+0.0364321j 0.00299131-0.00772144j -0.019566-0.0052118j 0.00520997+0.0497316j 0.00731616-0.00927188j 
