-0.18932+0.038591j 0.52772-0.225648j -0.270604-0.602179j -0.253281+0.230192j 0.079349+0.0364757j 0.205787+0.0613551j -0.0378934-0.0546869j 0.0623012+0.00303513j -0.109776-0.0140659j 0.0564694+0.00922221j -0.0711961+0.0456094j 0.05002+0.017568j 0.0683925+0.0271552j 0.025537+0.00660317j 0.0311115-0.00374811j 0.0245384-0.01348j -0.0283415+0.0108324j -0.0658839+0.0310031j -0.0307855+0.04018j -0.0304717+0.037267j 0.0227268+0.0215651j -0.000987219+0.0138897j 0.0576167+0.00127122j -0.0482449-0.0219751j 
0.0139434+0.0173651j 0.0360303-0.00991228j -0.0290703-0.00606028j -0.0310694-0.032477j -0.0182987-0.0204464j -0.00958879+0.0111041j -0.0580838-0.00969148j -0.00855411-0.0422443j 0.0317386+0.0381819j 0.0371094-0.0139266j 0.0547505+0.0369819j 0.137648+0.0416897j 0.064346+0.0998953j -0.135374-0.0583353j 0.141784+0.00660566j -0.0398279+0.0570211j 0.0142568-0.0382727j 0.0393124-0.0149167j 0.0600764+0.171286j 0.118826-0.0696308j 0.0182584+0.128656j -0.169251-0.0242829j -0.125957+0.129661j 0.241633+0.110263j 
0.020701+0.00600753j -0.0409994-0.00413207j 0.021235+0.0159477j 0.00214008-0.0144704j 0.0278916-0.00264055j 0.0686376-0.00419445j 0.00971186+0.00478989j 0.0319764-0.00237296j 0.0464986-0.0232955j 0.0555865-0.00295301j -0.0616481-0.00881713j 0.00730841+0.0181044j 0.0111018-0.00714668j 0.0288355-0.0293939j 0.000285038+0.0148922j 0.0383411-0.000690314j 0.00323064+0.037609j -0.0282554+0.000574755j 0.0297382-0.052722j -0.0182543+0.0248662j 0.0269232+0.0119059j 0.023746+0.0133558j -0.0208795+0.0067271j -0.0119972+0.00609458j 
0.00187907+0.00787871j 0.00363216-0.0349909j -0.00887948-0.0268443j -0.0252271-0.0275762j -0.00461273-0.0110286j 0.0446858+0.0054904j -0.0676587+0.00642285j 3.80185e-06+0.00872417j 0.0199887+0.0212926j 0.0494601-0.0124909j 0.00656067+0.0457166j 0.0410309+0.0151415j 0.049671-0.0165935j -0.0524978-0.0388872j 0.0637572+0.0136921j -0.022958-0.0497259j 0.0175274-0.0248174j -0.0555771+0.047533j 0.0807581-0.151137j 0.0218777+0.00710197j 0.0517896+0.0485334j -0.011213-0.020245j -0.0672244+0.0266524j 0.00801321-0.0284145j 
0.0150533+0.0128429j -0.0356693-0.0176522j 0.0160811+0.00357094j -0.029857-0.0606311j 0.00673286-0.0263235j 0.068874-0.0246501j -0.0178657+0.0207409j -0.0568723-0.0102748j -0.0347681+0.0024425j -0.0195383-0.00314841j 0.035845+0.0231457j 0.0571717+0.0746624j 0.0127477-0.0167497j 0.0488706-0.0407263j 0.0279854-0.00834386j -0.0321362+0.0371792j 0.041015-0.0181624j -0.0818372-0.00224641j 0.101395-0.168175j 0.0323712-0.0479387j 0.00840123-0.0441267j -0.00112867-0.0427563j -0.0987297+0.0564217j 0.0492751-0.0253138j 
0.0113537+0.0130894j -0.00589739+0.00715096j 0.00203246-0.00906846j 0.00108524+0.0248279j 0.0398558-0.00194059j 0.0444507-0.0319115j 0.0691571+0.0085324j 0.0247586-0.0217239j -0.0126551-0.0357589j -0.00518732+0.00566725j -0.0430145-0.0594139j -0.0695181+0.0295609j 0.0437018+0.0152404j -0.0357732-0.000564725j 0.0134399+0.00960419j -0.0351932-0.019988j 0.0247081+0.0387967j 0.0119226-0.0130506j -0.0606105-0.00749905j 0.0214587-0.0150746j -0.0136765+0.0302013j -0.0695301-0.03007j 0.0342389-0.00151332j -0.0137366-0.0477363j 
-0.0073705-0.01203j -0.0113636+0.00208179j 0.0070437+0.00235493j -0.00821986-0.0260087j -0.026873-0.0173853j 0.0140038+0.00397255j -0.00643086-0.0168734j -0.0453149-0.0067003j 0.0197516+0.0179555j 0.00239609-0.0130909j 0.00481844+0.00701421j 0.0700311+0.0377935j -0.022926-0.0279181j 0.0387567+0.0162455j -0.00834835+0.00123608j -0.00657518+0.0307781j -0.0155407-0.0189465j -0.0295144+0.000157681j 0.0526122+0.0292157j -0.000246163-0.0224684j 0.00544973-0.0529344j 0.0742122+0.00960496j -0.0404986+0.0409292j 0.0459691+0.0537269j 
-0.0147452+0.0149794j 0.0667129+0.027188j -0.012981-0.0095947j 0.0580749+0.0572096j -0.018543+0.0109966j -0.107318+0.000757996j -0.0311931-0.0491856j 0.0645175+0.00303662j -0.0255706+0.0130487j 0.0175963-0.00962662j -0.0131213+0.0151204j -0.0620378-0.0616396j -0.057779-0.0162977j -0.0505998+0.0154871j -0.0587556+0.00894938j -0.0532524-0.000546375j -0.0198316-0.0365057j 0.00465767-0.0435926j -0.130033+0.013991j 0.0113644-0.0190607j -0.0571754-0.0152622j -0.0912514-0.0345031j 0.0891194-0.0584933j -0.0561219-0.104113j 
-0.00627531-0.0194591j 0.00352678-0.00617759j 0.00383276-0.00840101j 0.00348991-0.00941521j -0.058804-0.00206491j 0.0187671+0.0112293j 0.011177-0.033354j -0.0176342+0.0408639j -0.00478404+0.0448156j -0.000122833-0.0115213j -0.0132607-0.0398461j -0.00165684+0.0338249j -0.00749943-0.0216999j -0.00045508+0.020546j -0.025337-0.000406546j -0.010828-0.0258907j 0.000469611+0.00551277j -0.0187222+0.00518906j 0.00265056-0.00578235j -0.0164182+0.0114063j 0.00971466-0.0208567j 0.0557899+0.00835761j 0.00417583+0.0104614j -0.00884831-0.000297471j 
-0.00691412-0.0350951j 0.013121-0.0116219j -0.000287583-0.00533077j 0.0198855+2.02073e-05j -0.0335936-0.00191822j 0.0194134+0.00883549j 0.00184631-0.00796036j 0.0168438-0.00347648j -0.00591514-0.0194758j 0.00686834-0.0629571j -0.0110432+0.0112254j -0.00990493-0.00868169j -0.00131566-0.00960487j 0.0151436-0.00341382j -0.00217264+0.00226759j 0.00613237-0.00294057j -0.00357781+0.0133354j -0.00870868-0.00491631j -0.00925276-0.00260689j -0.00977095+0.00416209j 0.00209162-0.00731019j 0.00918509-0.000107595j 0.00443607-0.00572192j -0.00709119+0.000421929j 
0.00628984+0.0239711j -0.0270072+0.0178003j 0.00971511+0.00234286j -0.0269758+0.00143444j -0.0387886-0.0117888j 0.0396752-0.0272643j 0.0322123+0.0201831j -0.0108735+0.00348319j 0.0212729-0.0189377j 0.00452367-0.0667184j -0.0116644-0.0159061j 0.0444016-0.00286364j 0.0328581+0.0149458j 0.0019675+0.000827559j 0.0137715+0.0110207j 0.017838+0.0148399j -0.00236549+0.00675883j 0.0128374+0.042822j 0.0429459+0.0192305j 0.00198996+0.00402037j 0.0109735+0.0110376j 0.00762691+0.011962j -0.00476294+0.00426616j 0.00119721+0.0210923j 
0.00367409-0.00519829j -0.0163976+0.0257848j -0.0102946-0.0143285j -0.0689154+0.0237321j -0.0301029-0.000327112j -0.0116456-0.0538976j 0.028722+0.0104828j -0.0430353+0.0343273j 0.0154576+0.0251274j -0.0229231+0.00958891j 0.00652897-0.0299246j 0.127302-0.00396224j 0.0309309+0.0127479j 0.00259699+0.00481767j 0.0139376+0.0169018j 0.0179846+0.0661332j -0.0196034-0.0469598j 0.0207428+0.0630559j 0.0801236+0.0613886j 0.0134825-0.0127267j -0.000626579+0.0106684j -0.00985747+0.0287073j -0.00201074+0.00590375j 0.00720176+0.0203264j 
0.00572557+0.0224153j -0.0266391-0.0261833j 0.0142904+0.0114493j 0.00430108-0.0332224j -0.0133758+0.00522892j 0.0850463+0.0452277j 4.5662e-05+0.0153061j -0.0151874+0.0180856j 0.0324321-0.00277044j 0.00994463-0.017716j 0.0227203+0.0174813j 0.010116+0.0575949j 0.0234051-0.00633709j 0.038396-0.0466728j 0.0685361-0.0272858j 0.00268263+0.0159861j 0.0409717+0.0203744j -0.027581+0.0351471j 0.0270736-0.0285573j 0.0108733-0.0133236j 0.0107358+0.000232329j -0.0083571-0.00883821j -0.0141598+0.0419136j 0.0247841-0.00167102j 
-0.00549102+0.0436472j 0.0330737-0.00238784j -0.000617989+0.0100308j 0.046402+0.0195987j -0.0103424+0.0219684j -0.0135472+0.0328201j -0.00437582-0.030824j 0.0684262+0.0426347j -0.0195486-0.00415345j 0.0196663+0.000162757j -0.0327318+0.000977239j -0.0504967-0.0547814j 0.0110347-0.00842621j 0.00340191-0.0273955j 0.0454966-0.000711341j 0.0243935+0.00593813j -0.0130089+0.0278822j 0.0474357-0.0255989j -0.0480077+0.0179777j 0.0131362-0.014395j -0.0188174+0.0368522j -0.0701645+0.0127962j 0.0295272-0.054932j -0.0345599-0.0170947j 
