-0.00100505+0.00739455j -0.0645887-0.0103104j -0.0110067-0.0213654j -0.0766087-0.00351968j -0.0294573-0.000471504j -0.0302286+0.0110123j 0.00683607+0.0111763j -0.0105586+0.00788378j -0.00520151-0.0118954j 0.0569652-0.0133746j 0.0287308+0.0158382j 0.0264172-0.0230323j -0.0264062-0.104453j 0.0967898-0.0140376j -0.00607104-0.00790075j 0.00560252+0.0679052j 0.0213486+0.00570941j -0.0387799+0.0367366j 0.0356607+0.00745192j 0.0235258+0.0317241j 0.0767923-0.00461458j -0.0249283+0.0206321j -0.0767216-0.0887661j -0.088058+0.108889j 0.00156353+0.000213337j -0.0115376+0.063655j -0.00878488-0.00223281j 0.0630133-0.0168184j 0.0247583+0.077512j 0.12642+0.125857j -0.0650568-0.0421552j 0.120642+0.0282111j 0.191099-0.0522059j -0.369189+0.0156718j 
0.231051+0.0833172j -0.0364004+0.0610215j 0.122588-0.0138232j 0.0700601-0.0252585j 0.0258319-0.0371351j -0.00635152-0.0476757j 0.0233653-0.0499349j 0.0350025-0.00856108j 0.00417029+0.0177693j 0.0466166-0.0028034j 0.101711+0.014026j -0.0480138-0.0376055j 0.0846121-0.0790841j -0.121009-0.0567855j -0.0288476+0.133166j 0.0288568-0.297742j 0.0221758+0.0849306j 0.00625304-0.0698167j 0.0735385+0.00122792j -0.00530243+0.0459938j 0.0229961-0.019501j -0.0453861-0.0184533j 0.0594896+0.0638379j 0.110975-0.0715289j -0.0617437-0.0996358j -0.110833+0.022044j -0.0112112-0.0183858j -0.0431125+0.0137614j -0.0252483-0.040037j -0.0278164-0.0662148j -0.00736904-0.0232192j 0.043651-0.038825j -0.0777235+0.0303256j 0.0217686-0.0104005j 
-0.189632-0.101577j 0.161963-0.0322687j -0.106799+0.0270211j -0.0283775+0.0272343j 0.0065225+0.0426315j 0.0894789-0.0103669j 0.0103739+0.0331921j 0.00957369+0.00420463j 0.0320532-0.0275165j -0.0809146-0.00569948j -0.119583-0.0100257j 0.0364998+0.0323044j -0.0617754+0.174864j 0.0653692+0.0806295j -0.0142754-0.0900333j -0.0198516+0.255967j 0.0182605+0.0594015j -0.0545658+0.0816678j 0.102255+0.00152422j -0.00493847+0.086668j 0.0662127+0.00632184j -0.0269478+0.0572448j -0.00173614-0.036674j 0.00681022+0.0636338j 0.00793286+0.0086396j 0.0176155+0.0152456j 0.0367812+0.0660255j 0.0384823-0.0122537j 0.0750629-0.00332688j -0.0650389+0.0256784j -0.0376433-0.0178284j 0.0676868-0.0026501j 0.0322086-0.0223643j -0.0172458+0.00176187j 
-0.00984545-0.0249609j 0.00791621-0.00849172j -0.0252394+0.0066583j -0.00464673+0.0372845j 0.043358+0.0218092j -0.00188788-0.0045218j 0.0123927-0.0130035j 0.0524614+0.02152j -0.019262+0.00418479j 0.0201091+0.02115j -0.0431361-0.0117573j 0.00132293+0.00894064j -0.00910888+0.042045j 0.017357+0.0249001j -0.0136961-0.0263054j 0.000847217+0.0131848j 0.0205825-0.0247188j -0.0492305+0.0484366j 0.00259004-0.022954j 0.00986367+0.072413j 0.0396581+0.121864j -0.0340664+0.139451j -0.0642486-0.0717781j -0.0359373+0.033085j -0.100199-0.0210799j -0.0974733-0.0281424j -0.0108003-0.165332j -0.101899-0.0666062j -0.0774854+0.0512545j 0.117165-0.171609j 0.076359+0.208152j 0.00556518-0.0129026j 0.0539245+0.0464781j 0.210851-0.0610205j 
0.0525846+0.0149818j 0.0195423+0.0255941j 0.048538-0.0162705j 0.0155336-0.0220454j -0.0324585+0.000190496j 0.0155285-0.00706248j 0.0458186+0.00365356j -0.00992645+0.0287297j 0.00913858+0.0255509j 0.00121363+0.0116153j -0.0127468+0.0216764j 0.0538478+0.013263j 0.0161092-0.0144511j -0.0491455+0.00809979j 0.020291+0.00384056j 0.0428877-0.0307685j 0.0312417+0.113243j -0.0776349+0.00133778j 0.0527085+0.0175989j -0.0197892+0.0871044j 0.00960486-0.127087j 0.0475776-0.066767j -0.0306018-0.0521246j 0.0190727+0.0555248j -0.0478838-0.00808279j -0.0775109+0.0221694j -0.111969-0.331808j -0.0970922+0.105084j -0.190669+0.154626j 0.273918-0.0488499j 0.108292+0.394065j -0.251337+0.103013j 0.17676+0.00118012j 0.0736239-0.0216071j 
-0.117407-0.0217354j -0.0209755-0.0494581j -0.0349983-0.00119299j -0.0344447-0.0115754j 0.0261072+0.0228949j 0.00128297+0.0697251j 0.0127631+0.035192j -0.00400807+0.03381j 0.00812486+0.00343387j 0.00947604+0.0208655j -0.0839971-0.0184036j -0.0702117-0.00210583j -0.0207677+0.00514201j 0.0381316+0.00973253j -0.0118398-0.0627502j -0.0507763+0.126165j -0.0221671-0.0514632j 0.0227675-0.0236302j -0.128824-0.0121609j -0.0429647-0.039742j -0.137665-0.0317381j 0.149433-0.0688607j 0.0211412-0.0104415j -0.037596-0.0817836j 0.0351889+0.12731j 0.125594-0.0752477j -0.00773323+0.053051j -0.0821739-0.227054j -0.078196+0.00258229j -0.101552-0.0944303j -0.0294971-0.147296j 0.27463-0.0873776j -0.0726202+0.0409099j 0.0686414-0.0219383j 
0.0320017+0.0178931j -0.0251933+0.00128649j 0.035411+0.00240168j -6.92564e-05-0.00732612j -0.0659883-0.0615015j -0.0161393+0.113561j 0.0061735-0.0306524j -0.0163147+0.0553987j 0.0211577+0.0848754j -0.0109815+0.0210819j 0.0785997+0.0246408j 0.0403396+0.00924652j 0.0021056-0.00757273j 0.0129104-0.00385236j 0.00687089+0.0153575j 0.000192308-0.0380338j -0.0414536-0.00291435j 0.0113883+0.00571438j -0.149537-0.0252402j -0.029671-0.202175j -0.157249+0.000516716j 0.139565-0.0655078j 0.0771638+0.0657743j 0.0518993-0.1406j 0.141739+0.21565j 0.209039-0.105187j -0.176557-0.256831j -0.100738-0.265658j -0.301557+0.30234j 0.0591931+0.113008j -0.0401507-0.124309j 0.111369+0.00356542j 0.0368073-0.0567064j -0.116515+0.0229295j 
0.135903+0.0206206j -0.0244174+0.0455254j -0.0119571+0.0018163j 0.0369682-0.0399178j 0.0962938+0.0225047j 0.0531765-0.0309676j 0.0704265+0.00456949j 0.000647636+0.0269618j 0.0375729+0.0137629j 0.0654256+0.0219929j -0.126876+0.000276466j -0.0033327-0.0260967j 0.0604099+0.0310385j -0.115629+0.00353295j 0.000167082+0.0457968j 0.0282789-0.143637j 0.0870577+0.0324354j -0.0876582-0.0678521j 0.133748+0.0351215j -0.0534945+0.126134j 0.00307533-0.124159j 0.15623-0.0322075j -0.14592-0.196852j -0.244442+0.0990753j 0.0589494+0.338693j 0.195666-0.150588j 0.0296187+0.106974j -0.0135518-0.18181j -0.0228709+0.00372572j 0.0846929-0.109648j 0.0767761+0.150492j -0.00110107-0.0195311j 0.088499+0.0437556j 0.133167-0.0573572j 
0.0690189-0.024086j 0.12738+0.0596157j 0.0387494+0.0164063j 0.0500782+0.00382708j 0.010032-0.0125985j 0.0116079-0.0764085j 0.0272237-0.00997608j 0.00340452-0.0160612j 0.0402793-0.00153525j -0.0834187-0.0208005j 0.0192019+0.0195208j 0.102934+0.0320303j 0.0144982+0.107174j -0.108346+0.0406101j -0.00404576+0.039587j 0.0535954-0.0619272j 0.0272156+0.0843433j -0.0206324+0.0177479j 0.147814+0.0399923j -0.0416288+0.11627j 0.0220486-0.0614036j 0.0773795+0.0472282j 0.00548832+0.0568911j -0.0428878+0.0698645j 0.208277+0.294232j 0.308161-0.10876j 0.0227386+0.274284j 0.145036+0.0556992j 0.120555-0.0092098j -0.116187+0.23476j -0.0527505+0.0880649j -0.100425+0.10068j 0.0918358-0.0649158j -0.0736187+0.0304219j 
0.0173305+0.0134295j -0.0816844+0.00641737j 0.0310141+0.00166801j -0.0571552-0.0203934j 0.0728277+0.0194662j 0.0277707-0.0162616j 0.0430118-0.0108182j -0.00513667-0.00083243j 0.0159498-0.00330537j 0.0563488+0.0129341j -0.0806675-0.0173927j -0.0547449-0.030922j 0.0155725+0.00744439j 0.00435822-0.0131544j 0.011226+0.0351801j 0.00461255-0.11766j 0.0526673-0.0764251j -0.0664726-0.0632131j 0.0593728+0.00960658j -0.0719341+0.0116383j -0.0552813+0.000321945j 0.155913-0.0171528j -0.0265608-0.171743j -0.0657508+0.0405461j 0.00324419-0.0198248j 0.0285562-0.00251289j 0.0157829+0.00847758j 0.00610848-0.0497967j 0.00490127-0.0878038j -0.00503546-0.164079j 0.0254626-0.053208j 0.0129991-0.076546j -0.0791172+0.0603607j 0.0261903-0.0335194j 
0.0655694+0.000519736j 0.0462618+0.0297649j -0.0118661+0.00125447j 0.0473064+0.00721437j -0.080801-0.0338336j -0.00994801-0.0292661j 0.0348768-0.0251411j -0.0365293-0.0168157j -0.0276325+0.010322j -0.0343389-0.0154907j 0.101999+0.0146688j 0.059894+0.0184225j -0.0115496+0.00252174j 0.0483745+0.00319321j -0.00184725+0.0358783j 0.0546682-0.0479405j 0.0113059+0.0908743j -0.11059+0.0372006j 0.035238-0.00131003j -0.0307023+0.00840462j 0.00143063+0.0168939j 0.0148277+0.0320967j 0.0314774+0.132068j 0.110542-0.0301472j -0.0448504-0.0322241j -0.108017+0.0201891j -0.00657012+0.00976754j 0.000511575+0.112045j 0.0232816+0.0153286j -0.00492526+0.122384j -0.00494717+0.0424864j -0.0714704+0.060032j -0.00527581-0.0388135j -0.0088209+0.0246163j 
-0.0364157-0.013967j -0.0514742-0.0226459j -0.0294738+0.00714184j -0.029255-0.0120772j 0.0698523+0.0405783j -0.0310948-0.021811j -0.0137849+0.0246666j -0.0107581-0.0012853j -0.0122484-0.0260768j 0.023715+0.00828957j -0.0552894-0.012471j -0.0434246-0.0136413j -0.0096657+0.0392096j -0.0265033+0.015223j 0.0100249-0.0209517j -0.0175756+0.0267012j 0.0295968-0.0723708j 0.0367302-0.046498j 0.117676+0.0239676j -0.000180313+0.070864j 0.0690415-0.0347034j -0.0698284-0.00258781j 0.00615426-0.12806j -0.00345558+0.0719176j -0.00539243-0.033025j -0.0333158+0.0214403j 0.0496306+0.0591136j 0.0612701-0.00366177j 0.112584-0.0949363j -0.0403259-0.108902j -0.00377221-0.00966362j -0.0538882-0.0439289j -0.0146399+0.0372662j 0.00548781-0.0221892j 
0.00887251-0.011161j 0.0597176+0.0168024j 0.010701+0.0165125j 0.0143701+0.00989206j 0.0967837-0.0113578j 0.039724-0.0272339j 0.0026077-0.0122813j 0.00944291-0.0105505j -0.0114504+0.00152432j 0.00437769-0.00340501j -0.114353+0.00961406j -0.0641182+0.015474j 0.0173758+0.0722912j -0.0666684+0.017605j -0.0156909+0.0202716j -0.0205583-0.0195835j 0.00401624+0.0853929j 0.0618177+0.0262248j 0.0420182-0.0133534j -0.00443375+0.00434244j -0.0212633+0.0253542j 0.000533885+0.029354j -0.0677757+0.039158j -0.111446-0.0216909j -0.0754236-0.0122194j -0.053239-0.0101559j 0.0698229+0.0235187j -0.0218238+0.0317492j 0.0501103-0.0269636j -0.0200057+0.002545j 0.0360509-0.00476576j 0.0710642+0.00289972j -0.0806216+0.000187039j 0.0867595+0.00292286j 
-0.040123+0.0243926j 0.0517741+0.0218764j -0.0207965-0.00169861j -0.0162339-0.00777639j 0.0506722-0.0141061j 0.0148383-0.0216821j 0.0456473-0.0135583j 0.0134376-0.000228859j 0.0169128+0.00762827j -0.0380363+0.00114902j -0.118893+0.0159846j 0.0202202-0.00462171j -0.029658-0.00533185j 0.0197517-0.00740761j -0.00293636+0.0357793j -0.00808061-0.075127j 0.0420834+0.0259582j -0.0391424-0.0162278j 0.101851+0.01195j -0.0415599+0.0412003j 0.011736-0.0322092j 0.068404-0.00174755j -0.0469443-0.0153034j -0.0892369+0.0230351j 0.015416+0.0619433j 0.0559569-0.0214616j 0.013651+0.0157999j 0.0150742+5.50174e-05j 0.0128079+0.0106239j 0.0229536+0.0246261j 0.0156781+0.026911j -0.000391585+0.0140392j 0.0207113-0.00604401j -0.00528659+0.000777758j 
0.213471+0.00636158j 0.111985+0.00489308j 0.12097-0.00269062j 0.0979191-0.00833624j 0.0143116-0.00525679j 0.0118556-0.0132716j 0.032906-0.0103834j 0.00561937-0.00205305j -0.0151933+0.00500413j -0.0217779+0.00617291j 0.0940771+0.000246754j 0.0112561-0.00554736j 0.0764743+0.0104107j -0.202641+0.00262425j -0.0401432+0.0208864j 0.07734-0.0461049j 0.0131364+0.0242136j -0.0857048-0.003708j -0.0113104+0.00111574j 0.00370809+0.010015j 0.0252318-0.00237302j 0.00104948+0.00604304j -0.00485317+0.00915785j 0.0211843-0.0137766j 0.0280757+0.00676058j 0.0339548-0.0103268j -0.00847856+0.0144598j 0.0105257-0.00647918j 0.0036689-0.00685413j -0.0146343-0.00443581j -0.00493771+0.0104976j -0.023783+0.000623741j 0.0093177+0.000222851j 0.00613745-0.00346227j 
0.088525+0.00351237j -0.220083-0.00339169j 0.0618183-0.0112014j -0.0591238-0.00851287j 0.0424827+0.00283807j -0.0605446+0.00578954j -0.0171489+0.00242942j -0.00154158+0.00382188j 0.00503059-0.000407306j 0.163176-0.00022903j 0.036992-0.00179963j -0.0896445-0.00511222j 0.0443964-0.0325153j -0.0286821-0.00665545j 0.0217562+0.0137052j -0.00251268-0.0354044j 0.00476049-0.0118869j 0.0876636-0.0147877j 0.0659661+0.00402601j -0.0347663+0.00415445j -0.0719556-0.00906927j 0.0658386-0.00638379j -0.0363798-0.0353358j -0.0853508+0.00453713j -0.0434439+0.0104188j -0.020709-0.00955717j 0.0237735-0.0135457j -0.0308448-0.00740969j -0.0130898-0.00753384j 0.0240365-0.0235321j 0.0349338-0.0151764j 0.039324-0.0119821j -0.0447445+0.00963069j 0.0245228-0.00363984j 
