0.0161749-0.00676166j 0.014812-0.045817j -0.332852-0.136822j -0.00215871+0.0200373j 0.0188474-0.0160664j -0.0207895-0.0226341j 0.0246076+0.0250989j -0.0672049+0.0856447j -0.00753148-0.00557364j -0.00100131+0.000281307j 0.00399953-0.0203702j 0.00664792-0.0183524j 0.017411-0.0261378j -0.0243672-0.00948971j 0.0354237-0.0273829j -0.0323703+0.00732826j -0.0239845-0.0279305j -0.0457615+0.0023912j 0.0388889+0.0256069j -0.0786226+0.0307322j 0.027023+0.0249843j -0.023447-0.03929j 
0.100839-0.305155j 0.152621+0.00566417j 0.103485+0.305j -0.0200252+0.00689201j 0.0279462+0.205929j -0.0689173+0.00196612j -0.0261093+0.202097j 0.0192577-0.00114981j 0.000171597-0.0052476j -0.0230277+0.0407309j -0.0124124+0.0162859j -0.0899538-0.0145695j 0.0460539-0.0674383j -0.0635527-0.0341075j -0.0349117-0.124901j -0.0312083+0.125104j -0.0630504+0.0318297j 0.0491486+0.0649498j -0.0895245+0.0204581j -0.00948871-0.0123001j -0.0266104-0.0390345j -0.000305716+0.00740476j 
-0.0517364+0.0231435j -0.193928+0.00685668j -0.09291+0.456855j -0.0157313+0.0182971j 0.143903+0.00563435j -0.028532+0.0714671j -0.030353-0.151872j -0.175661+0.0960892j 0.0312341-0.00901125j -0.00254622-0.0612527j 0.0478802+0.0268888j 0.0847724+0.00237639j -0.0283484+0.0654316j -0.02176-0.0382761j -0.102585+0.104894j 0.135129+0.0332733j -0.010055-0.0514334j -0.00660734+0.0197861j 0.0380155+0.0742873j -0.00233945-0.0338118j -0.00749116+0.0564585j 0.0290562-0.0118023j 
-0.110583-0.153974j -0.215829-0.0596761j -0.410094-0.145645j -0.211707-0.0956408j 0.0552691-0.0367714j 0.0563162+0.104604j -0.0345604+0.0114336j 0.0722608-0.064219j -0.0343662+0.0402989j 0.0310212+0.0298495j -0.0929237-0.0224834j -0.0266897+0.00522267j 0.00286973-0.0237169j -0.00278607+0.0212009j 0.00101751+0.00634292j 0.0157567+0.0190838j -0.00247725-0.0619141j -0.0559989+0.070382j 0.0164892-0.0564671j -0.00372291+0.0493429j 0.0512657-0.0182008j -0.0331524-0.00325724j 
-0.160023+0.100834j 0.146277-0.00960062j -0.2092-0.0252609j -0.0336496-0.212915j -0.0769183-0.0194513j 0.0360188-0.082817j -0.146139-0.0408439j -0.0243155+0.072567j 0.00258247-0.0727627j -0.118429-0.016336j 0.0849967-0.066382j -0.0132866-0.14146j 0.0644835+0.0188449j -0.0903195-0.0324756j 0.029134-0.028295j 0.00134877+0.018425j -0.128751+0.0496274j 0.0190288+0.062404j 0.0829358+0.00447768j -0.0293519-0.0163118j 0.0524949+0.0414931j 0.00594607-0.0312044j 
0.196803-0.171141j 0.190212-0.24684j -0.0803667-0.177476j 0.00133491+0.0716016j 0.169576+0.110397j -0.149571-0.0790095j -0.094457-0.0708488j -0.00237204-0.00620701j 0.0537973+0.0145669j 0.0432778-0.0496567j 0.0352856+0.102204j 0.0131248+0.0682435j -0.125146-0.0276346j 0.0691148+0.08974j -0.0221247-0.0102348j 0.0333445-0.0144652j -0.0465134-0.0408311j -0.0108224+0.0577554j 0.0477394+0.0012902j 0.011842-0.00950934j 0.030783+0.0310335j 0.00948258-0.00692176j 
0.135634-0.0814837j 0.275999+0.00998153j -0.424876+0.454101j 0.164338-0.0612456j 0.0582071+0.0303367j 0.00560383-0.0973923j 0.159034+0.1343j -0.076552+0.0620182j -0.0559156-0.02045j 0.0262838+0.019139j 0.0182303-0.116918j 0.0580469+0.0246742j -0.0196423-0.0196083j 0.00457319+0.0200609j 0.0575926+0.0185693j -0.0235042-0.0547167j 0.0130361-0.0135479j 0.00421365-0.022335j -0.0243203-0.00151026j -0.0813864+0.0134784j 0.0131622-0.0247301j -0.0260906-0.0341594j 
-0.0270898+0.14235j 0.00689322-0.250637j -0.2416-0.0461442j -0.0169224-0.00357565j -0.103969-0.0557057j -0.189974+0.194273j 0.0433636+0.0504163j -0.0367478-0.0269169j -0.0155286+0.0259447j -0.00401811+0.0195034j -0.0699016-0.00733372j -0.0308065-0.0604284j 0.0641575-0.0604687j -0.0766115+0.0519229j 0.0876151+0.0561142j 0.0304368-0.0455863j -0.00367252-0.0981156j -0.0254929+0.0363578j -0.0504339+0.0175455j -0.00753757-0.0272053j -0.0165201-0.0075751j 0.0108432-0.00182519j 
0.00137005-0.164081j 0.343101+0.0451633j -0.0561191-0.156644j 0.00726152-0.0770764j 0.0907215-0.0306283j 0.146237-0.030325j -0.0693189+0.0876536j 0.023512-0.071815j -0.0358822+0.0384152j 0.00483556-0.0417119j -0.0913629-0.071385j 0.0701374-0.0616143j -0.0676124+0.0777935j 0.0442585+0.0396193j -0.0146085+0.0231468j 0.00861881-0.0302348j 0.0265295+0.0506538j 0.0371885-0.0133337j -0.00377984-0.0448905j 0.0440387-0.0511175j 0.0077911-0.00873899j 0.026375+0.0113259j 
-0.116559+0.202524j -0.188771-0.479425j 0.0798802-0.0104989j 0.0977979+0.101455j -0.184627+0.0871096j -0.0120218-0.0036601j -0.0387532-0.0668296j 0.0247218-0.0518597j -0.0407948-0.0395527j 0.0128581-0.0141964j 0.0645937-0.115399j 0.087024+0.0131434j -0.0402358-0.0238927j -0.0391591+5.78091e-05j -0.00738857-0.0164055j -0.0129174+0.0288355j -0.00358189+0.00918867j -0.0155373+0.038219j -0.00647517-0.0540649j 0.0219323-0.0161359j 0.0297631-0.01117j 0.003213+0.00310681j 
0.0914368+0.264297j 0.198631-0.00857668j -0.0477887+0.01132j 0.0725701-0.0166359j -0.0285076-0.0547193j -0.00602923-0.00183502j 0.0490845+0.0316967j 0.00994573+0.0138961j -0.00188654-0.00503755j 0.0316743-0.032982j 0.0302395-0.0227119j 0.0775474+0.0104176j -0.0188618-0.0317896j -0.0325095+0.00345641j 0.0354467-0.000804695j -0.0261058-0.0182737j 0.00863079-0.0142736j -0.0312279-0.0298425j 0.0158392+0.0244037j -0.00249086+0.0115068j -0.0134739+0.0215547j -3.97935e-06+0.000727685j 
0.326824-0.149546j -0.0309861-0.0468435j -0.0160213-0.00480317j -0.069793-0.0835572j 0.0255037-0.0208908j 0.0204583-0.0221492j 0.0173408+0.0150643j -0.00307258-0.0207047j 0.0226567-0.039313j -0.0298949+0.0271085j 0.0756924+0.0311438j -0.0454233+0.0239996j 0.0467906+0.00510324j 0.0263239-0.0276132j 0.0310544+0.00782295j -0.0339195-0.0273841j 0.0246364-0.00857512j -0.014927-0.0241869j -0.00889035-0.0208323j -0.004521-0.0213099j 0.0016603-0.00148581j 0.00747282-0.00591242j 
