-1.08895e-13+0.169402j -5.5726e-14-0.0220258j -5.64309e-16-0.251588j 3.92337e-16+0.000883047j 2.08748e-16+0.245055j 2.81321e-15-0.214022j -3.08888e-15-0.0794145j 2.13949e-15+0.0211081j -3.20512e-14+0.0861949j 1.73107e-14-0.405492j -7.79865e-15-0.0194803j -8.22004e-16+0.213395j -3.77547e-15+0.169188j 7.52523e-15+0.0576781j 1.83922e-15+0.0796991j 4.1699e-15-0.0376965j -1.31312e-14-0.0456195j 6.58608e-16+0.3223j -6.2859e-16+0.286218j 2.98894e-15+0.108559j -5.723e-15-0.0899208j -3.9736e-14+0.218849j -8.61643e-15-0.149101j 1.48896e-14+0.205258j 1.18566e-14-0.085083j 8.1486e-15-0.148286j 1.22413e-14-0.184361j 7.06422e-15-0.139703j -8.02384e-14-0.0521857j 1.16656e-12+0.185405j 1.78165e-12-0.294581j 8.66861e-14-0.00660532j 1.04757e-14+0.0167124j 3.88063e-16+0.0309154j 2.52965e-16-0.0230805j 9.25144e-17+0.0153875j -1.26774e-16+0.00346345j 1.89976e-16-0.00026202j -2.51765e-17-0.0105405j 1.31853e-16+0.0101032j 1.15535e-16-0.00366026j -3.41735e-16-0.0146483j -1.38231e-14+0.00368119j -3.31249e-16-0.00889436j -1.10133e-17-0.000714575j -5.61004e-16-0.00093614j -7.87909e-16-0.000710812j 2.93914e-16+0.0080272j -3.13756e-16+0.000379795j -2.17591e-16-0.000455327j 1.61859e-15-0.00137471j -8.52005e-16+0.0143193j 7.21123e-17+0.00179576j 8.81648e-17+0.00349584j 2.88797e-16-0.00366088j -4.32872e-16+0.000433597j -5.12348e-16-0.00419461j -3.02589e-16+0.00247182j 1.88553e-16+0.00656411j 7.10093e-16-0.000209644j 2.03248e-16-0.0201824j 7.52311e-16-0.00389725j 2.42849e-16-0.0179947j 1.68634e-16-0.00626278j 1.53948e-16-0.00529626j 4.1634e-17-0.0022377j -2.14821e-16+0.026061j -1.67139e-16+0.0270025j 5.08024e-16+0.00483055j 5.56319e-16-0.0430017j 2.36999e-14-0.0126902j -7.049e-14-0.0488367j 
-4.66532e-16+0.000776282j -2.36774e-16-0.000205606j -7.77665e-20-0.000619433j -2.49743e-19-0.000266581j -4.97171e-21+0.000415095j 7.38953e-18-0.000444682j -4.19983e-18-0.000141178j -3.33397e-17-0.000111619j -6.06972e-17+0.00015861j 3.2576e-17-0.000795227j -1.4034e-17-6.79281e-05j -6.61857e-19+0.00033466j -4.27677e-18+0.000366585j 1.21009e-17+0.000104015j 5.04339e-18+0.000185292j 7.0529e-18-2.7024e-05j -2.19045e-17-9.16336e-05j 8.25133e-19+0.000592109j 2.80195e-18+0.000449486j 5.40978e-18+0.000206036j -9.71661e-18-0.000196683j -5.38367e-17+0.000327093j -1.44234e-17-0.000253107j 2.81617e-17+0.000290223j 1.83686e-17-5.9723e-06j 1.04413e-17-0.000161249j 2.27509e-17-0.000251896j 1.71139e-17-0.000430466j -2.91081e-16-7.09964e-05j 4.16137e-15+0.0006686j 4.63154e-16-8.24376e-05j 2.77824e-17+0.00010857j -2.35739e-16-0.000354148j -1.73215e-17-0.000397484j -9.31032e-18-0.000303579j -7.39806e-18-8.77075e-05j 2.37839e-18-0.00046378j 1.9514e-17+0.000881998j -2.6991e-17+0.000530829j -5.59263e-19-0.000474817j -3.26813e-18-9.04261e-05j 3.71705e-18+0.000191874j -3.16878e-15+0.000800136j 1.81158e-17+0.000503838j -6.43935e-17+0.000215702j 5.76098e-17-0.000695971j 7.31284e-18-0.000216542j -5.92053e-18+0.00053881j 5.48242e-17-0.000375649j 1.63895e-17+0.000293227j -6.97085e-17+0.000877445j 6.37306e-17+0.000591098j -1.702e-17+0.000286596j -5.98552e-17-0.000202135j -3.24908e-17-0.000405626j 7.5403e-19+0.000280937j 2.29584e-17-0.000484183j 1.96332e-17+0.00105231j -9.89582e-18-0.000688471j -2.65592e-17-0.000108833j 1.82157e-17-0.000362479j 1.90715e-17-0.000321714j 8.35808e-18+2.23876e-05j 8.48688e-18-0.000449257j -6.90928e-21+0.000791952j 1.29887e-18-0.000497304j -5.13947e-18+0.000589127j -5.27616e-18+0.000389337j 7.12169e-18-0.000450614j 1.48614e-17-0.000475867j 4.40784e-16+4.51795e-05j -1.29905e-15-0.000809518j 
-2.93977e-16+0.000481371j -1.54651e-16-8.46842e-05j -2.93945e-18-0.000466302j -1.73959e-20-7.82976e-05j 2.44145e-19+0.000381329j 4.32636e-18-0.000364688j -6.27012e-18-0.000140545j -8.36705e-18-1.23495e-05j -5.17465e-17+0.000139709j 2.77078e-17-0.000664297j -1.34882e-17-4.82414e-05j -1.03821e-18+0.000321029j -4.51009e-18+0.000288953j 1.00649e-17+8.55778e-05j 3.88198e-18+0.00013961j 7.20531e-18-4.03071e-05j -1.97732e-17-7.28633e-05j 3.147e-19+0.000509113j -8.98364e-19+0.000424509j 4.24882e-18+0.000170944j -9.05473e-18-0.00015356j -5.79756e-17+0.000320961j -1.13929e-17-0.000215297j 2.3027e-17+0.000294761j 1.92622e-17-8.09092e-05j 1.16019e-17-0.000203168j 2.19099e-17-0.000241991j 1.17564e-17-0.000275454j -1.89113e-16-6.69411e-05j 2.74273e-15+0.000438516j 1.58679e-15-0.000261753j 7.62654e-17+9.31036e-06j -5.38664e-17-7.80497e-05j -8.36815e-18-0.00011509j -4.37607e-21-8.47053e-05j -7.55255e-18-5.10951e-05j -7.71684e-18-0.000204741j 5.75157e-18+0.000249338j -1.40195e-18+0.000210949j -9.01414e-19-0.000136941j -7.27231e-18-7.72775e-05j 5.10239e-18+6.72403e-05j -1.08554e-15+0.000276131j 2.212e-18+0.0001125j -3.1038e-17-1.83298e-05j 8.42313e-18-0.000280134j -1.68321e-19-6.93071e-05j 8.01534e-18+0.000245655j 1.50302e-17-0.000119628j 2.45409e-18+7.07789e-05j -1.67481e-17+0.000241752j 1.7887e-17+0.000188307j -4.16553e-18+8.5309e-05j -1.55965e-17-3.49396e-05j -1.80231e-17-0.000190498j -4.14749e-18+8.1837e-05j -9.18828e-18-0.000239819j 9.03739e-18+0.000351494j -3.23247e-18-0.000210562j 1.49253e-19+2.11222e-05j 1.62874e-18-0.000163176j 4.55704e-18-0.000128661j -2.87123e-18-6.60774e-05j -3.62077e-18-0.00019259j -1.33134e-18+0.000195921j -5.67933e-18-0.000201608j 5.29757e-18+0.000263089j 9.10354e-19+0.000165494j 5.0774e-18-0.000104468j -9.73856e-19-0.000238025j 2.01609e-16-2.16059e-05j -6.15395e-16-0.000389662j 
9.77099e-17+0.000518982j -2.69549e-16-0.000146522j -1.22792e-16-0.000147235j -1.84433e-16-0.000240083j -3.06212e-17-5.2499e-05j -3.71789e-17-3.94047e-05j -1.25934e-17-1.32688e-05j -1.39362e-16-0.000138669j 1.15695e-18-4.20821e-06j -2.61166e-17-1.18964e-05j -3.06302e-17-3.93318e-05j -4.71919e-17-7.46822e-05j 3.96501e-17+3.84319e-05j -1.40676e-17-1.6526e-05j 2.72161e-17+2.89738e-05j 3.824e-17+5.30526e-05j 2.51756e-18+8.06401e-07j -1.65626e-17-3.76935e-05j -6.91046e-17-0.000109771j -4.51851e-18-1.08489e-05j -1.86651e-17-2.11667e-05j -4.38061e-17-9.66683e-05j 4.19248e-17+5.88473e-05j -7.51461e-17-0.000107668j 1.14355e-16+0.00015878j 7.57322e-17+0.000113627j 9.66458e-17+0.000137262j -1.13584e-16-0.000144262j -1.22718e-16+4.15076e-05j 2.42502e-15+0.000349986j -2.95863e-15+0.000554081j -9.80344e-17+8.26147e-05j -4.72988e-16-0.000330236j -3.65348e-16-0.000457058j -1.49273e-16-0.000183353j -1.40739e-16-0.000172008j -4.09916e-16-0.000535504j 6.04796e-16+0.00076942j 4.33333e-16+0.000597574j -3.46071e-16-0.000452865j -1.22042e-16-0.000150126j 1.88954e-16+0.000238645j -2.4423e-15+0.000765565j 3.36384e-16+0.000421021j -1.92325e-17+6.17103e-05j -5.14126e-16-0.000738521j -1.45982e-16-0.000199368j 4.52055e-16+0.000593345j -2.17889e-16-0.000350422j 1.94495e-16+0.000237406j 5.19278e-16+0.000759058j 4.40401e-16+0.000500224j 1.77205e-16+0.000250508j -1.68911e-16-0.000152118j -3.88746e-16-0.000463901j 1.83792e-16+0.000247223j -4.2979e-16-0.000574514j 7.78373e-16+0.000996062j -5.02177e-16-0.000648317j -2.77227e-17-9.90761e-06j -2.49799e-16-0.000344956j -2.33791e-16-0.000328122j -2.32698e-17-3.61186e-05j -3.59424e-16-0.000476353j 5.06767e-16+0.000662895j -4.02078e-16-0.000524649j 4.42712e-16+0.000580391j 2.54521e-16+0.000336351j -2.77132e-16-0.000372054j -3.23724e-16-0.000434743j 4.50604e-16+2.72125e-05j -1.88997e-15-0.00079841j 
-3.25047e-16+0.000480388j -1.30057e-16-0.000146308j 1.37275e-17-0.000191432j 2.04863e-17-0.000230766j 3.25372e-18+1.25997e-05j 6.47122e-18-8.67742e-05j 1.26216e-18-2.02526e-05j -1.98714e-17-0.000126775j -7.19945e-18+1.65626e-05j 6.56906e-18-0.000114921j 1.83366e-18-3.63313e-05j 6.31545e-18-1.42437e-05j -2.13283e-18+7.89031e-05j 1.03839e-19+4.18894e-06j -9.1824e-19+4.78456e-05j -3.96344e-18+3.49288e-05j 1.19585e-19-1.30428e-05j 1.26925e-18+5.20484e-05j 1.11564e-17-2.29297e-05j 6.14559e-19+2.14714e-05j 1.91802e-18-4.31354e-05j 1.71566e-17-3.09129e-05j -3.70988e-18+3.61726e-06j 1.13543e-17-4.4187e-05j -1.39009e-17+0.000121833j -1.20125e-17+7.03986e-05j -7.83074e-18+6.12773e-05j 1.78568e-17-0.000174383j -1.53941e-16+1.863e-05j 2.10225e-15+0.000345872j -2.45408e-15+0.000394222j -1.2139e-16+9.16291e-05j -1.84737e-16-0.000321742j 2.31958e-17-0.000406271j 9.50758e-18-0.000208146j 5.58174e-18-0.000125871j 4.53343e-17-0.000453307j -5.23936e-17+0.000751048j -7.29001e-17+0.000516629j 3.93269e-17-0.000427528j 6.62967e-18-0.000105117j -1.49292e-17+0.000203661j -2.86787e-15+0.000707723j -2.32058e-17+0.000426905j -6.81534e-17+0.000129849j 1.11855e-16-0.000648254j 2.42691e-17-0.000188367j -5.31227e-17+0.000506279j 7.84927e-17-0.000329804j -8.16027e-18+0.000242044j -1.28474e-16+0.00074517j 1.11173e-17+0.000487084j -3.66116e-17+0.000243007j -3.68702e-17-0.000164017j 8.0238e-18-0.000390108j -2.35876e-17+0.000239803j 6.24023e-17-0.000474688j -6.9929e-17+0.000927718j 4.90846e-17-0.000610958j -1.86055e-17-5.60285e-05j 4.40595e-17-0.000307508j 4.38284e-17-0.000291664j 6.97727e-18+7.14329e-06j 4.60594e-17-0.000414534j -6.01688e-17+0.000665734j 4.44899e-17-0.000460852j -5.21239e-17+0.000512737j -3.29982e-17+0.000312095j 4.00891e-17-0.000377805j 4.7675e-17-0.000384955j 3.75865e-16+4.16632e-05j -1.05426e-15-0.000696276j 
2.97431e-16-0.000460099j 1.5283e-16+3.77492e-05j 1.13724e-18+7.18495e-05j -3.38355e-18+6.65842e-05j -5.51196e-19+6.66531e-05j 2.33751e-19+6.28389e-07j 1.99766e-18+5.98418e-05j 9.78715e-18+4.96478e-05j -6.45667e-18+1.05575e-05j 3.13575e-18-7.75958e-05j 8.49516e-20+4.35215e-05j -2.88302e-18+8.10055e-05j -3.36794e-18+1.60871e-05j 7.36993e-18+4.6341e-05j -1.21189e-18+5.80415e-06j 1.31158e-18-5.87966e-05j -5.81368e-18-2.1592e-05j 1.19331e-18+0.000108914j -1.23777e-18+0.000141816j 1.69125e-18+4.83619e-05j -1.70672e-18-1.10893e-05j -1.75935e-17+0.000105602j -5.33565e-18-0.000130284j 3.84736e-18+0.000110315j 4.13252e-18-0.00011286j 6.05227e-18-6.71271e-05j 3.92782e-18-0.000208528j 7.93241e-19+1.24072e-05j 1.17489e-16-6.69098e-05j -1.67726e-15-0.000274937j 3.42694e-15-0.000571012j 1.72498e-16+5.37565e-05j 3.41179e-17+4.80416e-05j 1.84342e-18+0.000276797j -3.61727e-18-9.95359e-05j 1.09702e-17+0.000251809j 3.62317e-18+0.000492754j 9.77073e-18-0.000151843j 1.01197e-17-0.000480864j -8.1839e-18+0.000158892j 1.35338e-17+0.000267655j -8.88488e-18-0.000194081j 1.4939e-15-0.000378905j 9.34585e-18+1.75601e-05j 4.90311e-17+0.000380961j -1.67566e-17+0.000556517j -5.96162e-19+7.54738e-05j -4.97924e-18-0.000538082j -2.0259e-17+0.00013787j 6.83918e-18+1.16961e-05j 1.72554e-17-0.000124541j -4.73324e-18-0.000123402j 5.09699e-18-6.03331e-05j 8.45656e-18-6.17702e-05j 1.79485e-17+0.000449696j 2.53252e-17-5.79773e-05j 2.74495e-17+0.00060405j 1.34879e-17-0.000451156j -1.49367e-17+0.00024338j -1.12154e-17-0.000259014j -4.44589e-18+0.00025783j -1.29626e-17+0.000231017j 6.24766e-18+0.000268359j 1.85018e-19+0.000386226j 1.04219e-17-1.93502e-05j 2.91889e-20+0.000395442j 6.84441e-19-0.000450213j 3.27041e-18-0.000191392j -1.3579e-17-1.48688e-05j -1.64003e-18+0.000361306j -3.43567e-16+9.54299e-05j 1.0419e-15+0.0006865j 
-5.1702e-17+0.000115705j -4.36951e-17-3.70603e-05j -5.82317e-18-0.000126559j -1.56666e-17-4.46665e-05j -2.79335e-18+9.99769e-05j 2.83515e-19-9.75549e-05j 1.7287e-18-2.61415e-05j -1.38015e-17-1.54544e-05j -1.45849e-17+3.638e-05j 6.05053e-18-0.00018309j -3.8964e-18-1.01007e-05j -3.95885e-18+8.40674e-05j 1.06172e-18+8.15253e-05j 3.96618e-18+2.75701e-05j 2.8516e-18+4.06455e-05j 3.24697e-18-1.28382e-05j -6.12992e-18-2.2201e-05j 1.4967e-19+0.000142267j -3.45659e-18+0.00011594j 2.02738e-18+5.02578e-05j -3.81752e-18-4.39169e-05j -1.83273e-17+8.52218e-05j -4.38696e-18-6.92288e-05j 2.04477e-18+7.78116e-05j 1.20406e-17-1.66413e-05j 9.72837e-18-4.5812e-05j 7.3302e-18-7.83312e-05j -5.6846e-18-8.93256e-05j -4.91124e-17-2.2843e-05j 7.20772e-16+0.000113225j 5.28626e-16-8.60665e-05j 3.54841e-17+2.52952e-05j -6.45477e-17-6.21488e-05j -2.51956e-17-4.84266e-05j -2.0964e-17-6.8511e-05j -1.51756e-18+7.45608e-06j -1.65996e-17-4.27507e-05j 5.67541e-17+0.000154268j 1.86039e-17+5.62239e-05j -2.82111e-17-7.53238e-05j 2.12799e-18+7.26727e-06j 8.9644e-18+1.78034e-05j -4.26765e-16+0.000117891j 3.7807e-17+9.72455e-05j 1.56416e-17+7.63381e-05j -2.05264e-17-8.14298e-05j -1.04385e-17-3.43903e-05j 1.7977e-17+5.35637e-05j -1.1808e-17-5.89212e-05j 2.26916e-17+5.70133e-05j 4.10453e-17+0.000155857j 4.42343e-17+0.00010225j 1.36477e-17+4.92235e-05j -2.54525e-17-4.40771e-05j -1.84123e-17-3.60573e-05j 1.87513e-17+4.82803e-05j -8.01085e-18-3.68124e-05j 5.9978e-17+0.000159263j -4.15797e-17-0.000108498j -1.94863e-17-4.47256e-05j -1.08527e-17-4.65436e-05j -1.15813e-17-4.02726e-05j 1.26506e-17+2.80077e-05j -1.6286e-17-5.0406e-05j 5.13595e-17+0.000149031j -2.09982e-17-5.84835e-05j 2.17679e-17+7.23633e-05j 1.57423e-17+5.82171e-05j -2.94188e-17-8.70817e-05j -1.29211e-17-5.99767e-05j 6.06415e-17+1.66876e-05j -1.83633e-16-9.39369e-05j 
3.6359e-16-0.000499642j 1.72708e-16-4.49374e-05j -3.0955e-18-6.6155e-06j -1.77664e-17-5.88746e-05j -3.13858e-18+0.000127564j 6.57781e-19-5.99767e-05j 4.79817e-18+0.000101437j -1.31764e-17-8.19133e-06j -1.70624e-17+3.00022e-05j 7.0556e-18-0.000224444j -1.78809e-18+5.47564e-05j -7.46369e-18+0.000134671j -2.83363e-18+8.74609e-05j 1.30168e-17+8.96614e-05j 5.92026e-19+4.64224e-05j 4.17574e-18-8.27504e-05j -1.09373e-17-4.99523e-05j 1.47272e-18+0.000237067j -3.18739e-18+0.000241001j 3.51611e-18+0.000105372j -4.38562e-18-5.23108e-05j -2.73368e-17+0.000168054j -8.9126e-18-0.000240192j 5.50747e-18+0.000166921j 1.28511e-17-0.000114097j 1.37738e-17-6.54908e-05j 1.22911e-17-0.000341908j -1.80842e-18-0.000111217j 1.07293e-16-0.000110828j -1.52464e-15-0.000254585j 4.55642e-15-0.000762207j 2.39969e-16+0.000177075j -1.23571e-16-0.000168428j -2.69752e-17+0.000200453j -2.42396e-17-0.000357473j 1.06399e-17+0.000379579j -9.95616e-18+0.000576828j 6.70564e-17+0.000315605j 2.19207e-17-0.000502683j -3.55526e-17-4.14325e-05j 1.94618e-17+0.000427433j -4.57204e-18-0.000206376j 6.28983e-16-0.000153971j 5.12684e-17+0.000378493j 5.58442e-17+0.000833729j -1.85793e-17+0.000541682j -4.11468e-18-7.58218e-06j 7.04587e-18-0.000621283j -1.49834e-17-2.38624e-06j 3.59338e-17+0.000217735j 1.9325e-17+0.000363145j 5.82794e-17+0.000156391j 9.44743e-18+8.06023e-05j -3.37794e-17-0.000250699j -4.95957e-18+0.000545742j 5.83375e-17+8.25808e-05j 4.73958e-17+0.000772837j 8.04193e-17-0.000114617j -6.24897e-17-2.76665e-05j -4.41512e-17-0.00054079j -8.89532e-18+0.000245981j -2.39942e-17+0.000206793j 1.97997e-17+0.000519972j -1.13512e-17+0.000404697j 5.22445e-17+0.000500465j -1.86074e-17+0.000384785j 1.93082e-17-0.000448692j 1.61677e-17-0.000115444j -3.96751e-17-0.00033355j -9.0807e-18+0.000382408j -3.49299e-16+0.000216738j 1.06466e-15+0.00075361j 
-1.02035e-16+8.02308e-05j -2.1878e-17-1.79446e-05j 1.37631e-17-6.48375e-05j 4.70509e-18-2.17969e-05j 2.33243e-19+4.5738e-05j 6.43383e-18-4.75286e-05j 8.73106e-18-1.71343e-05j 7.90934e-19-8.29824e-06j -7.79763e-18+1.73367e-05j 5.71976e-18-8.46906e-05j 3.67282e-18-7.38695e-06j 2.49676e-18+3.72712e-05j -2.90079e-18+3.83561e-05j 4.90959e-18+1.05694e-05j -6.68187e-19+1.90712e-05j -4.46152e-18-3.14571e-06j -3.64209e-18-9.40897e-06j 3.34146e-18+6.32142e-05j 7.452e-18+4.93035e-05j 3.09216e-18+2.15381e-05j -1.01035e-19-2.04707e-05j -1.21071e-18+3.64928e-05j -1.20569e-17-2.58841e-05j 8.83851e-18+3.27113e-05j -6.82626e-18-3.33331e-06j -1.02387e-18-2.02088e-05j -1.53899e-17-2.62868e-05j 5.2437e-18-4.20074e-05j -3.58745e-17-7.24292e-06j 3.9546e-16+6.89109e-05j 1.97361e-17-1.22713e-05j 1.15797e-17+6.69211e-06j -1.743e-17-2.70803e-05j 2.46399e-17-3.45601e-05j -1.44603e-17-2.24614e-05j 2.65981e-17-1.13074e-05j 5.1708e-17-4.61435e-05j -6.21549e-18+7.07686e-05j -5.14061e-17+5.05587e-05j 1.26254e-17-3.91764e-05j 2.96157e-17-1.30694e-05j -1.91007e-17+1.80389e-05j -3.11122e-16+6.97869e-05j 9.3914e-18+3.75648e-05j 4.06251e-17+8.00993e-06j 6.13086e-17-6.55828e-05j 6.82809e-18-1.82692e-05j -5.69072e-17+5.36086e-05j 1.62819e-17-3.17445e-05j 5.81496e-18+2.21278e-05j -9.9449e-18+6.97459e-05j -3.33741e-18+4.88226e-05j -5.21501e-18+2.33577e-05j -1.43971e-17-1.38636e-05j 4.4784e-17-4.11948e-05j -4.05962e-18+2.2787e-05j 6.57729e-17-5.0651e-05j -3.91864e-17+9.05868e-05j 1.9589e-17-5.7603e-05j -3.29765e-17-2.59861e-06j 2.8242e-17-3.46925e-05j 2.50757e-17-2.99539e-05j 3.27609e-17-5.36666e-06j 4.05809e-17-4.32893e-05j 6.84795e-18+6.06339e-05j 4.03444e-17-4.6912e-05j -4.71524e-17+5.6649e-05j -1.95621e-17+3.57057e-05j -6.23428e-18-3.38125e-05j 3.97794e-17-4.7093e-05j 5.5005e-17+5.39256e-07j -5.40984e-17-8.01667e-05j 
-4.2197e-16+0.000593759j -2.08796e-16+1.04036e-06j 2.31704e-18-0.000416581j 7.6233e-19+5.49507e-05j 5.15095e-20+0.000336035j 5.7815e-18-0.000322969j -1.77796e-18-0.000202792j 8.33166e-18+4.96157e-05j -4.44129e-17+0.000127325j 2.45586e-17-0.000541326j -1.03304e-17-6.76566e-05j 1.50204e-18+0.000278506j -3.68343e-18+0.000228057j 6.58354e-18+3.93788e-05j 3.80105e-18+0.000103298j 3.27722e-18-1.20192e-05j -1.64947e-17-4.44767e-05j 1.59271e-18+0.000393705j 8.05211e-19+0.00033366j 4.59486e-18+0.000115404j -7.78395e-18-0.000117262j -5.21049e-17+0.000266735j -1.45123e-17-9.71003e-05j 2.03834e-17+0.000244929j 1.44407e-17-7.80958e-05j 1.00774e-17-0.000215951j 5.95878e-18-9.37302e-05j 6.14169e-18-0.000155623j -2.02526e-16-1.72752e-05j 2.8833e-15+0.000466752j 1.76884e-16-2.46411e-05j 8.67314e-18-0.000134734j 9.248e-17+0.000160636j 1.18613e-17-5.48655e-05j -6.77585e-18+0.000210783j 5.64391e-18-0.000218012j 1.51636e-17-0.000349335j -1.31163e-18-0.000256759j -1.58695e-17+0.000283956j 4.90361e-18+7.14139e-05j 3.33262e-18-0.000283874j 1.08379e-18+9.93443e-05j -2.47816e-16+6.48114e-05j -1.09815e-18-0.000293321j 1.0163e-17-0.00056341j 8.05333e-18-0.000321464j -6.72602e-18+1.54898e-05j -1.31599e-17+0.000395368j -6.5541e-18+2.26776e-05j -5.56095e-18-0.000160499j 3.96365e-17-0.000289906j -1.79015e-17-0.000109494j 7.88872e-18-6.55416e-05j 7.65869e-18+0.000182805j 1.57791e-17-0.000344848j -2.6249e-17-6.90017e-05j -1.60172e-17-0.000491462j -2.4148e-17+2.29408e-05j 1.69534e-17+6.75429e-05j 4.74195e-18+0.000362545j 5.41791e-18-0.000179156j 1.45524e-17-0.000126074j 1.18422e-17-0.000376998j 1.01892e-17-0.000254066j 1.48731e-17-0.000382999j 1.22829e-17-0.000231036j -1.46438e-17+0.000311282j -4.89642e-18+0.000103845j -3.48496e-18+0.000253415j 1.04768e-17-0.000304291j 2.61538e-16-0.000168468j -7.50047e-16-0.000541755j 
-2.88807e-16+0.000385249j -1.24417e-16-4.77287e-05j 1.09529e-17+0.000102947j 2.92142e-18-0.000111525j -2.62015e-19-0.000263391j 2.94862e-18+0.000159599j 1.02368e-17+6.87527e-06j -1.66801e-17-9.05325e-05j 2.98314e-17-7.81746e-05j -1.48644e-17+0.000385557j 1.08651e-17-3.16019e-05j 4.9687e-18-0.000255918j 5.04382e-18-0.000139233j -9.65772e-18-8.99661e-05j -6.22202e-19-6.16657e-05j -9.16164e-18+9.31317e-05j 1.49393e-17+5.51997e-05j 1.30508e-18-0.000358387j 8.15395e-18-0.000374622j -1.42798e-18-0.000130625j 6.80081e-18+7.60817e-05j 5.51689e-17-0.000286702j 2.05709e-18+0.000245326j -1.10448e-17-0.000282536j -2.02513e-17+0.000201137j -1.32537e-17+0.000200783j -2.96126e-17+0.000359206j -4.87054e-18+6.78939e-05j -7.90428e-17+0.000109215j 9.99133e-16+0.000172499j -5.20589e-15+0.000856514j -2.45863e-16-2.43597e-05j -9.1639e-17-0.000127166j 1.31918e-17-0.000367852j -1.66444e-17+6.63524e-05j 1.36423e-17-0.000271771j 4.09668e-17-0.000553919j 1.05593e-18+0.000301044j -5.43869e-17+0.00056245j 1.18406e-17-0.000246421j 1.52209e-17-0.000266007j -6.45865e-18+0.000234652j -1.98703e-15+0.000497612j 1.15506e-17+8.27483e-05j -7.74379e-18-0.000322476j 7.18587e-17-0.000650757j 5.49499e-18-0.000109296j -4.45817e-17+0.000597426j 3.4759e-17-0.000197992j 6.24768e-18+4.14814e-05j -2.03636e-17+0.000275565j 1.78227e-17+0.000206095j -7.06744e-18+0.000106153j -3.18416e-17+1.88246e-05j 1.79282e-17-0.000494763j -2.23206e-17+0.000104435j 3.53817e-17-0.000654619j -3.20364e-17+0.00061232j 2.06327e-17-0.000360599j -2.7894e-17+0.000226745j 2.86031e-17-0.000286532j 3.29375e-17-0.000272043j 2.8455e-17-0.000230623j 3.38388e-17-0.000439363j 1.02517e-17+0.000164926j 3.22508e-17-0.000461141j -3.91274e-17+0.00050281j -1.73361e-17+0.000220623j -1.12006e-18-7.13096e-05j 3.56186e-17-0.000379381j 3.91229e-16-6.83708e-05j -1.07996e-15-0.000740765j 
-8.9861e-16+0.00125758j -4.26177e-16-4.10925e-05j 1.2024e-17-0.000708621j 1.46335e-17+1.26222e-05j 2.19852e-18+0.000476105j 1.20963e-17-0.000507312j -1.86182e-18-0.000350539j 9.18821e-18+2.86965e-05j -6.53048e-17+0.000191006j 3.80404e-17-0.000797875j -1.35516e-17-0.000135371j 7.3953e-18+0.000375468j -5.78684e-18+0.000350408j 6.56016e-18+3.24613e-05j 5.17604e-18+0.000161239j 1.23555e-18+2.23694e-05j -2.18391e-17-5.66777e-05j 3.03966e-18+0.000543825j 7.68155e-18+0.000421515j 6.62598e-18+0.000150128j -9.6326e-18-0.00017878j -6.32564e-17+0.00034007j -2.26926e-17-6.83381e-05j 3.44767e-17+0.000301959j 1.1337e-17-3.41673e-05j 6.29632e-18-0.000280579j -1.14092e-18-7.37996e-06j 1.68622e-17-0.000269539j -4.05526e-16+1.7127e-05j 5.71685e-15+0.000931014j -2.18815e-15+0.000365807j -1.10537e-16-0.000227516j 1.07335e-16+0.000174016j 3.90621e-17-0.000308441j -2.7653e-18+0.000356801j 1.23166e-17-0.000505986j 5.23486e-17-0.000899159j -4.16825e-17-0.000200475j -6.72429e-17+0.000799997j 3.46462e-17-4.50796e-05j 7.03899e-18-0.000613988j -5.60791e-18+0.00029883j -1.71102e-15+0.000426612j -2.33224e-17-0.000403871j -1.89364e-17-0.00108114j 7.03097e-17-0.000921569j 8.28638e-19-4.77259e-05j -5.21422e-17+0.00100469j 2.6201e-17-9.38967e-05j -2.10359e-17-0.000221149j 7.19965e-18-0.000268888j -4.09329e-17-2.72236e-05j -4.7976e-18-3.10814e-05j 5.29934e-18+0.000296539j 3.65728e-17-0.000857387j -6.77119e-17-3.82635e-05j -4.6568e-18-0.00118844j -9.36327e-17+0.000436102j 6.61787e-17-0.000127387j 7.50155e-18+0.000707891j 3.22929e-17-0.00047427j 5.0421e-17-0.000374256j 2.11513e-17-0.000742313j 4.32864e-17-0.000682367j -1.26309e-17-0.000486932j 4.80306e-17-0.000658875j -5.59424e-17+0.000822545j -2.79143e-17+0.000318513j 1.96835e-17+0.000347544j 4.35486e-17-0.000740142j 6.63332e-16-0.000311535j -1.89427e-15-0.00134578j 
