-0.198301-0.42171j -0.439256+0.250136j 0.300908-0.0295361j 0.239432+0.20338j -0.174014-0.0873839j 0.0188287-0.253811j -0.024878-0.0688534j -0.0630268-0.0168335j -0.0867316-0.275163j -0.00680605-0.108606j 0.194686+0.00641313j -0.0683307-0.00212406j 0.012775-0.108992j -0.0998421+0.271604j 0.0626139-0.00876988j 0.0293715-0.0664486j 0.0034469+0.255957j 0.17852-0.0788461j 0.252805-0.190348j 0.297505+0.0507146j -0.41875-0.277555j 0.226724-0.404689j 
-0.0377453+0.0399013j 0.0284945+0.0287759j 0.0032645+0.0274947j 0.0224122-0.0183497j -0.0193162+0.0190364j -0.0385485-0.0765392j -0.0540717+0.0434689j 0.00548824+0.00301239j -0.000338612-0.0777959j 0.0744097+0.0172181j 0.0089649+0.00670168j -0.0425195-0.0309057j -0.0388751-0.0659335j -0.0743138+0.0224095j -0.00657096-0.00411696j -0.0257046+0.0650105j -0.0849201-0.0130277j -0.0133706+0.023741j -0.0114081+0.027768j 0.0262483-0.00773013j 0.0354395+0.0199492j -0.0272191+0.0474826j 
0.0392864-0.0437709j -0.0462455-0.0214364j 0.0573082-0.0131967j -0.0281512+0.04264j -0.00523447-0.000719789j -0.0430897+0.0621995j 0.025164-0.068814j -0.0004221+0.0108547j 0.0329884+0.0113537j -0.0291795+0.0053188j 0.000857385-0.0202304j -0.00201312+0.0715392j 0.0567814+0.0515709j 0.0687351-0.0620345j 0.0113667-0.00598761j -0.024334-0.0381954j 0.074928+0.0661409j 0.0117839-0.0457849j -0.023537+0.00628302j -0.0395453-0.055467j -0.0120654+0.00433383j 0.012861-0.0100361j 
0.04133-0.0219084j 0.00336982-0.0474596j -0.0471196-0.0534155j 0.0434951-0.000398803j 0.0134393+0.0445955j 0.0131238-0.0282069j 0.0168896+0.00971777j -0.0344266+0.0319176j 0.00501583+0.0228493j 0.0185529-1.90662e-05j 0.0233199-0.0220129j 0.000450178+0.0214652j 0.00659722+0.0676239j 0.0313939-0.0107285j 0.0434726-0.0200494j 0.0342481-0.0174939j 0.0817918+0.0214767j 0.0521798+0.0124407j 0.0261768-0.0559769j 0.0188217+0.060404j 0.0269551-0.0078245j -0.0069145+0.0082266j 
-0.0121479+0.0431836j 0.026863+0.0177876j 0.031677+0.0351427j -0.0291931-0.00391958j -0.0192918-0.0214868j -0.0069054-0.00889113j 0.00189123+0.0198334j 0.00576957-0.0287386j -0.0166549-0.00394232j -0.00517909-0.00194712j -0.00025693+0.0228509j -0.0268244-0.027838j -0.0479319-0.0290688j -0.0102016+0.0454663j -0.0176196+0.0272295j 0.00087778+0.0192043j -0.0845409+0.0183632j -0.0205293+0.0208563j 0.00409048+0.0284302j -0.00187303-0.0263264j -0.0109849+0.0084859j 7.90193e-05-0.000678469j 
-0.00191592-0.00423448j 0.00275982+0.000168028j -0.00462279+0.00229432j -0.0082345+0.0186577j -0.0118803-0.00121366j 0.0215092-0.000786373j 0.00643469+0.00309672j 0.00686382+0.00747523j -0.0120022+0.00959696j -0.0144502+0.0254338j -0.0100461-0.029834j -8.97056e-05+0.0112372j -0.0118328+0.0039127j -0.0300213+0.0154704j 0.00052624+0.023839j -0.00956072+0.000254884j 0.0186158+0.00503605j 0.00916607-0.00350682j -0.00823+0.0087683j 0.0248193-0.010389j 0.0107665-0.00363529j -0.0100829+0.00982902j 
0.0062242+0.00476577j -0.0100763-0.00193694j -0.000806073+0.00639213j 0.00180466-0.0362125j 0.0255711-0.0142311j -0.0301827+0.00671661j -0.0208705-0.0016966j -0.0256912+0.000846232j 0.00767247-0.0194698j -0.0247561-0.0487065j 0.0349999+0.00830519j -0.00845346-0.021282j 0.0160384-0.0259626j 0.0154509-0.0417625j -0.0245864-0.0149653j 0.0206531-0.0235569j -0.0164448+0.0227462j -0.0224509+0.0154182j 0.0170118-0.00950878j -0.0269199+0.0220212j -0.00805625+0.021483j 0.000603602-0.0133954j 
-0.00204738+0.00151223j -0.017226-0.00227637j 0.00137576+0.0319372j 0.0164896-0.0121217j 0.0106001-0.0168369j -0.020266-0.0266249j -0.023007+0.000498211j -0.00809212+0.0221343j 0.0106185+0.013053j -0.0430278+0.0289607j -0.0486518-0.039216j -0.00576233-0.00594473j -0.00553491-0.0262947j -0.0118792+0.0356182j 0.0274959+0.0387532j -0.0026928-0.0364042j 0.0384507+0.00442151j -0.0250603+0.0196917j 0.0413583+0.0076371j -0.0216615-0.0310379j 0.013842+0.00587711j 0.00454647+0.026171j 
0.00630315+0.00275087j -0.013823+0.00927379j 0.00501984+0.00679434j -0.0154123-0.0445748j 0.0235041-0.0367988j -0.0356598+0.0344085j -0.0224447+0.0196826j -0.0193343+0.019858j 0.00819106-0.0272062j -0.0469981-0.0240956j 0.0272616+0.00492093j -0.0261051-0.00757564j -0.0109213-0.0423069j 0.0105427-0.0529537j -0.0160029-0.0113549j -0.00852704-0.0351348j -0.0124591+0.0269788j -0.0133355+0.0324612j 0.0216108-0.0295054j -0.023594+0.0475499j 0.0039929+0.0228824j 0.00199689-0.0155912j 
-0.0110924+0.00740287j -0.00853456+0.00392144j -0.00915132+0.0241291j 0.0315686-0.0105933j 0.00813317-0.0359964j -0.00230916-0.0163061j 0.00867803+0.00610386j 0.0253387+0.00764034j 0.035154+0.0109922j 0.00608982+0.0440414j -0.0510979+0.00602623j 0.0134029+0.0352684j -0.0402704-0.00945856j 0.0174382+0.0214659j 0.0591381-0.0052868j -0.0287987+0.0185034j 0.0124825+0.00679707j -0.0308298+0.00136115j 0.0422375-0.00615163j -0.0053833-0.0246936j 0.00211552-0.0112156j 0.0174693+0.0171984j 
0.00545532-0.00592845j -0.0103872+0.00494846j 0.0293798+0.00259919j -0.0158992-0.00250633j -0.00412543+0.0359493j -0.0395265+0.00680708j -0.0412872+0.00881061j -0.013528+0.0159804j -0.0100953-0.000987075j -0.0156395+0.0243933j -0.0442836+0.00160764j -0.0254923-0.0316763j 0.0231327-0.014269j 0.0160584+0.0431586j 0.0130729+0.021136j -0.000124149-0.0588025j 0.0132358-0.0478185j 0.0329714+0.032401j 0.00394076-0.00619821j -0.0452924+0.00362332j 0.0121011-0.000265923j 0.0118045+0.00867655j 
0.00955004-0.00155994j 0.0140752-0.003777j 0.00898778-0.0343836j -0.00651665-0.00361148j -0.0086411-0.0277398j -0.00105586-0.00858077j 0.0491071-0.0160031j -0.00783603+0.0148823j -0.0116275+0.0115447j 0.00586018-0.0559356j 0.0471902-0.000842645j -0.0280919-0.0183601j 0.0244312+0.011987j -0.025797-0.0409269j -0.0311855+0.0200088j 0.00462103+0.0387056j 0.00518061-0.00107142j -0.0330375-0.0229071j -0.0190633-0.00765692j 0.0135153+0.023139j -0.00318044+0.00315701j -0.00969129-0.0147539j 
-0.00655443+0.00332046j -0.0012079-0.00420509j -0.0412009+0.0220936j -0.00624933+0.00520237j 0.0158774+0.0165961j 0.0454731+0.0260312j -0.0288986+0.00690941j -0.00381272-0.0459532j -0.00449243-0.0331347j -0.00825854-0.0123405j 0.0583992-0.00781319j 0.0536475+0.0271789j -0.0236364-0.000103427j -0.00276371-0.0392751j -0.0424422-0.0538472j 0.0259796-0.00375071j -0.039752+0.0678776j 0.0260556-0.00329822j -0.0159369+0.0179892j 0.0398811+0.000263673j -0.0136707+0.0156889j -0.0208468-0.0134177j 
0.00434871+0.00737634j -0.00451032+0.00676165j 0.00309369+0.00912735j -0.00260191-0.04159j -0.0186003-0.0651527j -0.0217017+0.00391186j 0.0193927-0.00909062j 0.0122497+0.0199027j 0.0230904-0.01346j -0.0244728-0.00343084j 0.00244496+0.00123936j -0.00708051+0.0153074j -0.0290393-0.00875488j -0.0155834-0.0316461j 0.0163243-0.00642515j -0.00631131+0.0237284j 0.0218155+0.0173656j -0.0477909+0.0332891j 0.0229958-0.0384077j -0.00364758+0.0148497j 0.00431015+0.0064627j 0.00681219-0.0051574j 
-0.00212973-0.00938765j -0.000122362+0.00179028j 0.0062606-0.013057j -0.0105892+0.0318684j 0.0351809+0.0538613j 0.00896298+0.0221373j -0.0288281+0.0328693j -0.0202178+0.0030716j -0.0289141+0.00717483j 0.00167007+0.00832976j -0.00288636+0.00208775j -0.0215412-0.0173991j 0.0228062-0.0158671j 0.0220655+0.0146485j -0.0179214+0.015602j -0.0188994-0.0503335j -0.0281207-0.0154398j 0.0587408-0.0255602j -0.0167607+0.0251641j -0.00569068+0.0163857j 0.00452723-0.000527556j -0.00527187+0.000240111j 
0.0286917+0.00399333j 0.00246586-0.0258535j 0.0159353+0.0361173j -0.0159769-0.0142691j 0.00804974-0.0156936j 0.0503203-0.0670829j -0.0293999-0.00758559j 0.0321068-0.00493888j -0.0670857+0.0165272j -0.0269544-0.0133165j 0.0860174+0.00099183j 0.0553976-0.00119064j 0.0287261-0.0138559j -0.0665519-0.0144724j -0.0316367-0.00438425j 0.0292527-0.00860845j 0.0517549+0.0657582j -0.00806807-0.0152442j -0.0148146+0.0137935j 0.0148947-0.0366222j 0.00178531+0.0251492j -0.0278923+0.00312537j 
0.0207897+0.00600363j 0.00540217-0.0097839j 0.0384011+0.00479916j 0.000956175-0.0205863j 0.012304+0.00449943j 0.00254176-0.0289739j -0.0290913-0.00244807j 0.0723736+0.0379937j -0.032363+0.0218103j 0.0220479+0.0350861j -0.0140744+0.105254j -0.00554058+0.0332054j 0.0316269-0.0288849j 0.0237665+0.0293197j 0.0796934-0.0156264j -0.0282118-0.00542716j 0.00460028-0.0295847j 0.0134077-0.00108637j 0.00313642-0.020528j -0.0385045-0.00406977j -0.00211675-0.0107263j 0.0212179-0.000119466j 
0.00980334-0.0134128j 0.00892985-0.00238252j 0.00341202-0.054654j -0.0267558+0.00524708j -0.00175663+0.00657842j -0.0229737+0.0354689j 0.00786588-0.0173006j -0.00151436+0.0527056j -0.0205324+0.0140306j -0.043242-0.0372766j 0.0204687-0.000798629j -0.0878883-3.84163e-05j 0.0440224-0.0357093j -0.020536-0.0163387j -0.000498398+0.052927j -0.00673476-0.0160773j -0.0241986-0.0346609j 0.00121005+0.00539463j -0.0277258-0.0033958j 0.00524931+0.0543751j 0.00815919+0.00265004j -0.010496-0.0134616j 
-0.0014677-0.00213552j 0.0147956-0.0172173j -0.020489-0.0300647j 0.0206324+0.0137233j -0.0464439+0.00586089j -0.000721951-0.0341571j 0.0417877-0.0702604j 0.0271298-0.0110747j 0.0220157+0.0248548j 0.0266138-0.0307837j -0.000591998-0.00146329j 0.000311867+0.0169544j 0.0272205+0.0305635j -0.0208084+0.0257403j 0.026788+0.00989326j 0.0436156+0.0691466j 0.000213188-0.0344819j -0.0471379-0.00475121j -0.0187493+0.0135469j 0.0201882-0.0311471j -0.0150348-0.0170253j -0.00078696+0.00257526j 
0.00190448-0.00294379j 0.00218216-0.000545815j 0.000560767-0.0150062j -0.00285216+0.000517809j 0.00496835-0.00393122j -0.0063775+0.00706048j 0.0065857-0.00243062j -0.00161153+0.0167423j -0.00342383+0.0066142j -0.010773-0.012154j 0.00512466-0.000186917j -0.0259542-2.2201e-05j 0.0108047-0.0116083j -0.00360753-0.00743014j 0.0011703+0.0166354j -0.00619079-0.00187182j -0.00656881-0.00683403j -0.00540492-0.00388472j -0.0030903-0.000246542j 0.000972794+0.0148872j 0.00200047+0.00064302j -0.00203621-0.0029996j 
0.00509229+0.000252066j 0.00485515+0.000610371j -0.0064262-0.0170229j -0.0155001-0.0243885j -0.0588001-0.0255811j -0.0275707+0.0153015j 0.019178-0.0505194j 0.0182071+0.015037j 0.0218199-0.0152314j -0.0231429-0.0160362j -0.00237278-0.00263061j -0.0217352+0.0175869j -0.000878538+0.00881093j -0.0290885-0.00761794j 0.0188426+0.00291177j 0.0293127+0.0333998j 0.00855043-0.0217156j -0.0354455+0.0528774j -0.0105146-0.0316527j 0.00699273+0.0133303j -0.000157257-0.0018984j 0.00194609-0.00910836j 
0.00616414+0.00621654j -0.00515626+0.00587036j 0.000920828+0.0143636j -0.0165164-0.041554j -0.0421502-0.0406286j -0.0243723+0.013863j -0.00275699-0.02389j 0.015201+0.00877604j 0.0198706-0.0291419j -0.0306732+0.00424024j -0.00223375+0.000793205j 0.00401511+0.0161039j -0.0241478-0.000381386j -0.0210671-0.0170116j 0.0144611-0.0176168j 0.0179413+0.0121103j 0.020677+0.00736624j -0.0282699+0.0613628j 0.00919457-0.0411913j -0.00482773+0.00966532j 0.00354994+0.00739151j 0.00518107-0.00667065j 
-0.0219492+0.0135108j 0.0136146+0.016384j -0.0400644+0.00202453j 0.0169869+0.0170344j 0.0259314+0.00411043j 0.0410714+0.0667387j 0.0253413+0.00229118j -0.0435495+0.053695j 0.00216281-0.0415566j -0.023778-0.000131085j -0.05932-0.00875453j -0.0510608+0.0268026j -0.00820813+0.0143593j 0.00308366-0.0344803j -0.0051245+0.0451172j -0.0272226-0.00629768j -0.0446625+0.0275266j 0.0153682-0.0159581j 0.00661082+0.00630756j 0.0414902+0.0205477j 0.00113621-0.00391422j -0.00653904-0.00303432j 
-0.00998722+0.0147515j 0.00284107+0.00365784j -0.0122859+0.0232187j 0.0196064-0.0083418j -0.0318636+0.0224819j -0.00475972-0.00134986j 0.0041771-0.0375639j -0.0307976-0.0209319j 0.026101-0.0407582j 0.0247813-0.0108072j -0.0471516+3.48372e-05j 0.0286477-0.018458j 0.00556397+0.0557374j 0.0127226+0.0116553j -0.00834162-0.0154461j 0.0478727+0.0155967j 0.00109138-0.00879286j -0.00811499+0.027088j 0.00676238-0.00474086j -0.00963168-0.0341188j -0.0137509-0.00399289j 0.00997609+0.00155933j 
0.0123322-0.00882744j -0.0120137-0.00059861j 0.0443351+0.0024732j -0.00577733-0.00499314j 0.0323574-0.0319575j -0.0138225-0.0453691j 0.000199975+0.0584686j 0.0130863-0.0193941j -0.0152676+0.0436834j 0.0223749+0.0136505j 0.0437879+0.00209204j 0.0229206-0.0308985j -0.0158051-0.0252702j 0.010444-0.000479928j -0.0116328-0.0151481j -0.0417342-0.00903377j 0.0380059+0.00569279j -0.00334818-0.0352456j 0.0147833-0.00257878j -0.0290335+0.0037585j 0.0101932+0.00484626j 0.00496371+0.0054508j 
-0.0171821+0.0175046j 0.0017672+0.011871j -0.00272603+0.0253674j 0.0413113+0.00374802j 0.0308184-0.000458365j 0.011994-0.00741865j 0.0288921+0.0175658j -0.0581779-0.00366119j 0.0177492-0.0221064j 0.0398244-0.00991028j -0.0508997-0.00344146j 0.0133838-0.0352723j -0.00586892+0.0445523j 0.0351723-0.0120949j -0.024219+0.00678812j -0.00922583+0.00652251j -0.00106864+0.0161596j -0.00877252-0.0347359j 0.0319978+0.0086114j -0.0112168-0.0235787j -0.00821614-0.00343809j 0.0114484+0.00683852j 
-0.002613-0.014952j 0.00444008-0.022886j -0.0236445-0.046915j 0.0232389+0.0305997j 0.0138185+0.0332795j -0.0113159-0.026215j 0.0084228-0.0358364j 0.0151644-0.0113725j 0.0109428+0.0518049j 0.0113754-0.0428645j 0.0258879-0.004941j -0.0258084+0.00762904j 0.0468422-0.0234851j 0.00890315+0.0265739j 0.019008+0.019845j 0.0228576+0.0194394j -0.0361937-0.0342896j -0.0239526-0.0366652j -0.0149321+0.0447873j 0.00591929-0.00823364j -0.0139584-0.00931475j -0.00581563+0.0030022j 
0.00547076-0.0267635j -0.0141083+0.00479508j 0.0195207-0.0309249j -0.0409605+0.0089424j -0.0251321-0.0189612j -0.0380381+0.00612994j -0.00228267+0.0358065j 0.0277991-0.0373922j 0.0119663+0.035874j -0.00669359+0.0258271j 0.0482453-0.0395166j 0.00419478-0.00408864j -0.0426363-0.0298698j -0.0104008+0.01312j -0.00690444-0.021361j -0.0229734-0.000898941j 0.0192392-0.0261718j 0.010646+0.0162978j -0.0169101-0.0112343j -0.000527316+0.0320915j 0.0168276-0.00166077j -0.00296882-0.00136547j 
3.4403e-05-0.0127714j -0.00733509-0.0222664j -0.0265576-0.022395j 0.0179632+0.00964047j 0.0224638+0.0160897j -0.0157197-0.0229093j -0.0203816-0.0242194j 0.0240073-0.0140383j 0.0143258+0.0414209j -0.0154504-0.0270333j 0.0344809-0.00736931j -0.00918305+0.0206439j 0.025969-0.0479414j 0.00757443+0.0190254j 0.0254363+0.00182418j 0.0212118-0.00184596j -0.0300258-0.00706248j -0.0256227-0.0142234j 0.00169156+0.0358153j -0.000651583-0.0073228j -0.0102624+0.00176529j -0.00585583+0.00446348j 
0.00959501+0.0099137j 0.0111508+0.00411976j 0.0250038+0.00976683j -0.00928396-0.00814546j -0.00966297-0.00345826j 0.0178974-0.00518444j 0.00981993+0.000309022j -0.00043318+0.022961j -0.0296192-0.0148996j 0.0122921+0.00401965j -0.00940978+0.0293453j -0.000158713-0.0115278j 0.0143885+0.025332j -0.0119032-0.00891507j -0.00702031+0.00741866j -0.00620687+0.00362719j 0.0211701+0.000386119j 0.0119098-0.00150711j -0.00850173-0.0183719j -0.00423893-0.001602j 0.00279824-0.000600259j 0.00194308-0.00410735j 
