-0.0331292+0.0236101j 0.0205525+0.0374895j 0.029882-0.0449969j -0.0430516-0.0274432j 0.00347532+0.0284924j -0.0386523+0.00745202j -0.0159313-0.00700419j -0.00649111+0.0175488j -0.0246525+0.000550376j -0.0013454+0.0163184j 0.00719345+0.0285102j -0.0161066+0.0110543j -0.028251-0.00935818j -0.0149156+0.0138425j -0.00986756+0.0032446j -0.0122083+0.0094556j -0.000623858-0.00148376j -0.000613384+0.011074j -0.0108758-0.00895017j 0.0139885+0.0123701j -0.00515076-0.0160975j 0.00586099+0.0115485j -0.000844247-0.00552112j -0.0130454-0.011105j 0.0215885+0.00877763j 0.00194792-0.000439808j -0.00213221+0.000655428j -0.0186128-0.0167658j -0.0233787+0.0104612j -0.00582521-0.0238307j -0.000182516+0.0031902j -0.00487859-0.0163411j -0.00649147+0.0076125j 0.00750234+0.00103418j -0.000344929+0.00952686j 0.00328906-0.00431572j -0.00719309-0.0113016j 0.00469475+0.0305336j -0.0155576+0.00447097j 0.0169325+1.55762e-05j 0.00890087+0.006856j 0.0239402-0.00716958j -0.0175458+0.000500568j -0.021334-0.0274314j 0.0146106+0.0118442j -0.0149985-0.0047572j 0.0123914-0.00201731j -0.0144528+0.0165992j -0.01151+0.049785j -0.0444153-0.00974516j -0.0373432-0.0131899j 0.0206964-0.0395101j 
-0.00827595+0.033067j 0.0289894+0.0111991j 0.0199319-0.0117179j -0.00813269-0.0158797j -0.00303129-0.00283157j -0.0038124-0.00402927j -0.0280141+0.00928054j 0.00102067+0.0215354j -0.0213346-0.0170107j -0.00603758+0.0200128j 0.00505165+0.00741639j -0.0298928-7.8422e-05j -0.00846058-0.00442972j -0.0183918+0.00824734j -0.00371661-0.00680408j -0.0200896+0.0104859j 0.000474332+0.0103468j -0.00375242+0.00410282j -0.0188568+0.00302098j 0.000697138+0.0164362j -0.00786008-0.0120729j 0.0103392+0.00330623j 0.0133251-0.0097464j 0.0121611-0.00543301j 0.0236379+0.0184074j 0.0250875+0.0205618j 0.00404662-0.0052807j -0.0102227-0.017409j 0.00348215+0.000618069j -0.000788951-0.00888319j 0.00506656+0.0108057j 0.00615042-0.00477567j -0.0094444+0.00945176j 0.00344611+0.0013163j 0.00378708-0.00393134j -0.00189222+0.000798512j 0.0173088-0.0157649j -0.0125182+0.00318222j -0.0142158+0.00173989j 0.0135678+0.0113879j 0.0129297+0.0116215j 0.0110149+0.0140861j -0.0315499+0.00170731j -0.00157916+0.000673977j -0.0143768+0.0231883j -0.0191837+0.0145662j -0.015612+0.0152707j -0.00266525+0.00173871j -0.0039547+0.00724549j -0.00637935-0.0105562j -0.036411+0.0154221j -0.00964714-0.0387985j 
-0.00324839+0.00775941j 0.0143562+0.000410045j 0.00860565-0.0236725j -0.0301933-0.0195397j -0.0104864+0.0161908j -0.0225927+0.0173241j 0.00157554+0.00499899j -0.0112004+0.0190531j -0.0176549-0.000936654j 0.0212903+0.00537845j 0.0129959+0.0166974j 0.00102739+0.0238605j 0.0137092-0.00903934j 0.00278852+0.00941391j 0.000965259+0.00718811j -0.0146401-0.0162032j -0.00562182+0.00526502j -0.0013702+0.0061962j 0.00357159+0.010421j 0.0084712+0.00587566j -0.00530586+0.00994523j -0.00527701+0.0115598j -0.00897572-0.00475337j -0.00571076+0.00781343j -0.00237384-0.00593371j -0.00544771+0.0228042j 0.0124724-0.00733048j -0.00377505-8.98234e-05j -0.00566386+0.000407127j -0.0127393-0.00620344j -0.00889866+0.000347147j 0.0103687+0.00550418j -0.00217203-0.011653j -0.00242756+0.00772741j 0.000574286+0.00828065j 0.00888846+0.000420815j -0.00945763-0.00358552j -0.00537557+0.0185081j -0.0106787-0.00190718j -0.00106336-0.0067993j -0.0128346-0.0045533j -0.00445191+0.00453191j -0.00738868-0.00674738j -0.000595089+0.00340002j 0.0112527-0.00163809j -0.00995517-0.00171276j -0.00174943-0.00411704j 0.00457423-0.00148535j -0.0160335+0.00507174j -0.00522277-0.0271773j -0.0292062-0.00353013j 0.00794493-0.0225809j 
-0.00927667-0.0148537j -0.0158364+0.00764654j 0.00216896+0.00426397j 0.00296279+0.00039709j 0.00582274+0.00959255j -0.0124966+0.00370004j 0.00586474-0.0054852j 0.00689772-0.00373688j -0.00103158+0.00765421j 0.0093894-0.000164616j 0.0025396+0.0167003j 0.00270878+0.00102398j 0.00249056-0.0114684j -0.00391583-0.00306045j -0.00505011+0.00147618j -0.000872566-0.000561963j -0.00680072-0.00110962j -0.00146201+0.00215303j 0.0020065-0.00249663j 0.00768223-0.00171561j 0.0064896+0.000825728j 0.00225868+0.00295285j -0.0021531-0.00574814j -0.00776392+0.0080715j -0.00070924-0.00451797j -0.00590542-0.00599866j -0.000152825+0.0064238j 0.0038047-0.00146556j -0.0152333+0.00681918j -0.00606193+0.00351477j -0.00025899-0.0015793j -0.000155108+0.00358734j -0.0057792+0.00163687j 0.00134928+0.00378242j 0.00307791+0.00606479j 0.000104406-0.00347581j -0.00652264-0.00503406j 0.00729464+0.0109537j 0.000330621+0.00411959j 0.00443034+0.000575375j 0.00870829-0.000524023j -0.000275655-0.00771378j -0.00023906+0.00521292j -0.0052865-0.000878563j 0.0150648-0.0108249j 0.00126735-0.000306625j -0.00420501+0.00632586j -0.00409318+0.0120484j 0.0221216+0.00171857j 0.00179099+0.0198707j 0.0230331-0.0088573j 0.0118107+0.019025j 
0.00518628-0.00914854j -0.00593854-0.00696209j -0.00772865+0.0106866j 0.0080954+0.00525175j 0.00962167-0.00229884j 0.00536856+0.0141661j -0.00103271-0.00279113j -0.00647615-0.00383824j -0.000949701-0.00188441j 0.00674742-0.00927659j -0.0031214+0.000485366j 0.0121042+0.00151758j -0.00356687+0.00391276j 0.00146729-0.000801605j 0.00456821-0.00695445j 0.00308759-0.0062961j -0.000519459-0.00443565j -0.00725679-0.00236647j 0.000957978+0.00115895j -0.00153332+0.000511297j 0.00813319+0.00396838j 0.00317199-0.00100164j -0.00478743+0.00392997j 0.00023051-0.000806347j -0.00568793-0.00702062j -0.00635502-0.0068847j -0.00403059+0.00346895j 0.00254305-0.000628145j 0.00421905-0.0015895j 0.00522727+0.00759812j 0.0010489-0.006499j 0.00328713-0.00264975j -0.000561038-0.00306125j -0.00400929+0.00645233j -0.00195614+0.00131594j -0.0032642+0.00188312j -0.00481059+0.00260195j -0.00515428-0.00959861j 0.00296499-0.004658j -0.00515067-2.94629e-05j 0.00659467-0.00590321j -0.00598277+0.00576788j 0.00493947+0.00588898j 0.00729232+0.00380464j 0.0047297+0.00126019j 0.00363938-0.00344439j 0.000746135+1.01272e-05j -0.00350282+0.000923014j 0.00793049-0.00605627j 0.00600583+0.0043396j 0.0124865-0.00339427j 0.00308503+0.0135674j 
-0.00100954-0.00181372j -0.00142029-0.000651174j -0.00195739+0.00439142j 0.00840948-0.000265485j -0.00740622+0.00552302j -0.00402425-0.00624003j 0.00110164+0.00346059j 0.0169868+0.0078801j 0.00218955+0.00464086j 0.00215908+0.0134332j -0.00712124-0.00872318j -0.00741856+0.000211824j 0.00687672-0.010444j 0.00209596-0.013755j 0.00228518+0.0090067j 0.00883082-0.000362743j 0.00400716+0.00107727j 0.00987063-0.0101818j 0.00346001+0.00133626j -0.000341646-0.00259307j -0.00553379+0.00076286j -0.00618021-0.00862365j -0.000179845-0.000927869j 0.00429111-0.00619364j -0.00290989+0.00422398j 0.0124652-0.00467479j 0.00671211-0.00746708j -0.0020732+0.00244976j 0.0052496+0.00506817j 0.00104987+0.00205479j -0.000394035-3.423e-05j 0.00584754+0.00649224j 0.005638+0.00753988j 0.0019047-0.00252726j -0.00495093-0.0108698j -0.00812641-0.00393508j -0.00293093-0.00311721j 0.0196307-0.000849298j 0.0033786+0.00502987j 0.0112908-0.00614697j 0.00275622+0.0137428j 0.00474311+0.0011061j -0.00333652-0.00422066j -0.000204016-0.00246275j -0.0066002-0.0130635j -0.00255417+0.0112412j -0.00966046-0.0149253j 0.0127899-0.00291226j 0.00757394-0.00720717j 0.00511799+0.0050532j 0.0079868-0.00423028j 0.00311307+0.00957146j 
-0.00245374-0.000981608j -0.00439711+0.0043549j 0.00604666+0.00215337j -0.00363419-0.00102352j 0.0219077+0.00123649j 0.00483036+0.0134763j -0.00710394-0.00105104j 0.00393154+0.00374397j 0.00235742+0.00139761j 0.00131507+0.000297293j 0.00517533-0.0139508j -0.00161344-0.00970494j 0.00967852+0.00699519j -0.0066902+0.0112393j 0.00331506+0.00624222j -0.00273185+0.00829423j -0.00248178+0.00773551j 0.0151652+0.00205053j -0.015413+0.00265016j -0.00981195-0.00134809j -0.00286151-0.00866567j -0.0128734-0.00169882j -0.00855502+0.000735604j 0.00885284-0.00407422j 0.00213657+0.00506012j 0.00797615+0.00790247j 0.00678848-0.00507036j -0.00771734-0.00594692j 0.0231925-0.00453424j 0.00507454-0.00887311j -3.75822e-05-0.00329852j -0.00993394-0.00570326j 0.0123168+0.00633676j -0.00151169-0.0145998j -0.00469114-0.00987394j 0.00516936+0.0011793j 0.0161927+0.000347709j -0.00558839-0.0103229j 0.00154119-0.0079262j 0.0115331+0.00296202j 0.00234982-0.00283848j 0.00835243-0.00128687j 0.00062602+0.00955698j -0.0224301-0.0077856j -0.00366688+0.00552469j -0.00491902-0.00747664j -0.014608+0.00144064j -0.00692627-0.00586684j -0.0148759+0.00647893j -0.00067286-0.00808934j 0.00340803+0.00373482j -0.00267338+0.00300587j 
-8.96578e-05-0.000973207j -0.00240503+0.0014872j -0.0019864+0.00573794j 0.00423822+0.00571183j 0.00470343-0.00147635j -0.00550904-0.00330183j 0.00296544-0.0105011j -0.00659128+0.000181519j 0.00370341+0.00288463j 0.0042583+0.00406393j 0.00230125+0.0158865j -0.0124724+0.00480547j 0.00246825-0.0116029j 0.00771511+0.00205912j -0.00282324+0.00113431j -0.00864825-0.00878936j -0.00359153+0.00218275j -0.00970723+0.00343233j 0.0165535+0.00998219j 0.00873693-0.00249804j -0.000805467+0.00992696j 0.0104099-0.00484578j 0.00284645-0.00249869j -0.00819778-0.00208203j -0.00234144-0.00509693j -0.00793922+0.00543447j 0.0114268+0.00113179j -0.00685484+0.00530705j -0.0132409-0.00759462j -0.00394381-0.00808855j 0.00235508-0.00398931j 0.0130432+0.0150157j -0.00364825-0.00272331j -0.00154657+0.00828025j -0.000297542-0.000456716j -0.000558244+0.00227087j -0.00349031+0.00215313j 0.00399281+0.000720712j -0.00700817-0.00262167j 0.00258727-0.00529579j 0.00692339-0.00689277j -0.00425535+0.00442153j 0.00420712-0.00284076j 0.00795167-0.00171999j 0.00149236-0.0120607j -0.00952318+0.00271554j -0.0118731+0.00943256j -0.00370318+0.000155991j 0.000889333+0.00256873j 0.000314334+0.00114286j 0.00243115+0.00570316j -0.00388537+0.000746218j 
0.00319477+0.0102465j 0.0101184-0.00244709j 0.00444278-0.00660008j -0.0108687-0.00170281j 0.0106115-0.00461956j 0.00571838+0.00835035j -0.00986462-0.0116024j -0.0201894+0.00452156j 0.000390972-0.00580619j 0.00160171-0.00439097j 0.000614219-1.95178e-05j -0.00210705+0.00119264j -0.00574299+0.013853j 0.00124366+0.00609473j 0.00012713-0.00690127j -0.0140689+0.0047912j -0.00437227+0.00223776j -0.00361579+0.0123339j -0.00193387+0.00544429j 0.00110969+0.000929673j 0.0105374-0.00131968j 0.00941726+0.00455341j 0.00244193+0.00242609j -0.00117154-0.0061791j -0.000987619-0.000453995j -0.00124476+0.00687083j -0.000601446+0.00272118j -0.0035485-0.00369425j 0.00137932-0.00928127j 0.00670606-0.00798884j 0.00705394-0.00306854j -0.00637081-0.00790831j -0.0043437+0.00136111j 0.00112239-0.000432243j 0.00519571+0.001714j 0.00829286+0.0024471j 0.00544312+0.00598493j -0.010076-0.00411363j -0.00283446-0.00793488j -0.00206312+0.0117886j 0.00183076-0.0104448j 0.00152237+0.00854187j 0.00549827+0.00820484j 0.00126837-0.00814682j 0.0067519+0.00737004j -0.00142168-0.0204421j -0.000252843+0.0131326j -0.0209788-0.000788017j -0.0113217+0.00521407j -7.35676e-05-0.00560666j -0.0112635+0.00705702j -0.00442205-0.0116844j 
0.000959315+0.00519244j 0.00805137-0.000406389j -0.00727394+0.00172724j 0.00449182+0.00711377j 0.00969575-0.00520363j -0.00521668+0.00378125j -0.0115301-0.014709j -0.00176208+0.0102763j 0.00675632+0.0052074j 0.00182154+0.0169133j -0.00872194+0.00307409j -0.0171175+0.00751527j -0.00534969-0.00598108j 0.00999318-0.0133106j -0.00221118-0.000410151j -0.00479788-0.00398495j 0.00157179-0.00195175j -0.00455922+0.00142647j 0.023524+0.0061897j 0.00287592-0.00816296j 0.00427529+0.00807622j 0.00288123-0.0125991j 0.00190105-0.00263168j -0.0112135-0.0186253j -0.0134674+0.00345162j -0.00094122+0.0013345j 0.0116418-0.0105211j -0.0130111+0.0101662j -0.00437917-0.0105599j 0.0107675-0.0180245j 0.00827214-0.0154315j 0.0130736+0.00359047j 0.00912409+0.0108712j 0.00538819+0.00436939j -0.00846196-0.00934927j 0.00203149+0.00181376j 0.000482319+0.0124483j 0.0130653-0.0112047j -0.00565629-0.00431638j 0.0126751-0.0113115j 0.00515929-0.00935685j 0.0103256+0.0107847j 0.00521507-0.00720194j 0.00361399-0.0184222j -0.0100899-0.0061361j -0.0128633-0.00317485j -0.00570137+0.000244082j -0.00816136+0.00303606j -0.00419149+0.0113757j -0.0084963-0.0058256j -0.00616685+0.000981656j 0.000250703-0.00308967j 
-0.00822873-0.000286217j -0.00383983+0.00603146j -0.0108517+0.0126651j 0.00191221+0.0108583j 6.24768e-05+0.00727837j 0.00495198+0.000514901j 0.00281607+0.00746023j -0.0116367+0.00604462j 0.00862512-0.000978893j 0.00551932-0.0111599j 0.00456098+0.000823163j 0.00261315+0.00216765j -0.00497417+0.0146434j 0.00485039+0.00524586j 0.00529963+0.00064219j -0.00146066-0.011468j -0.000233298+0.0103879j -0.00870308-0.00142854j 0.00822171-0.00653406j 0.00807609+0.0052819j -0.00788814+0.00528874j 0.00450199-0.00951768j -0.0064314+0.00322068j 0.00344112-0.00208999j 0.00890763+0.000337052j 0.000823213+0.00431494j -0.00552956+0.00901631j -0.00512724-0.00833444j -0.00398547+0.000366595j -0.00722671+0.000563723j 0.0106173-0.0141331j 0.00695469-0.00511864j -0.00658138-0.00966516j -0.00660115+0.0167595j -0.00241333-0.00997634j -0.0137073+0.00657469j -0.00746948+0.00493424j -0.0254159-0.0106298j -0.0068545-0.00599891j -0.00778773+0.00411758j -0.00511482+0.00427266j -0.00841996-0.0108941j 0.00768854+0.00930788j 0.00322521-0.00768422j 0.00546352-0.00391674j 0.000784833+0.00385472j -0.00652406+0.0127276j -0.00825015-0.00560566j 0.00376204+0.00260077j 0.000687288+0.00485764j 0.0123892-0.00104518j 0.000536395+0.00701224j 
-0.00939625+0.00870446j 0.00946715+0.00691206j -0.0055538-0.00589197j -0.00976478+0.000631556j -0.00948376+0.0128805j -0.0045634+0.00185541j -0.00333297+0.00824986j -0.00336207+0.0121919j 0.00131564+0.000936632j -0.000736565-0.0054847j -0.00767082-0.00193612j 0.00669272+0.00370236j -0.00772862+0.01595j 0.0039175-0.00828083j 0.00427964-0.00192666j 0.0100623-0.00758864j 0.0083439-0.00224598j -0.00554072-0.00740356j 0.00224913-0.0102814j 0.00722748+0.00558112j -0.00533581+0.00150241j 0.00176221-0.00439615j -0.00310684+0.00391768j -0.00408184-0.00699709j 0.00465178-0.000357819j 0.0010858-0.00992457j -0.0129003+0.00974252j -0.00565487-0.00535636j -0.00407498+0.00291852j -0.00212227-0.0014994j 0.0059587-0.0144143j -0.00311311-0.0097227j -0.00372247-0.00336531j 0.00107126+0.00903562j -0.00420896-0.00190091j -0.0136108+0.00064726j -0.0114819+0.00415529j -0.00916192-0.000602687j -0.0027114+0.00223766j -0.00465933+0.00332605j -0.00693531+0.0148091j -0.00193153-0.00943814j 0.00570441+0.00182485j 0.00603805-0.013551j 0.0061294-0.000818314j 0.00416683-0.00150484j 0.00633801-0.00838997j -0.00640036-0.000289524j 0.00226964+0.00982994j -0.00820802+0.00131768j -0.00510279-0.0121957j 0.0115017-0.00473743j 
0.00824554+0.000809415j 0.00478441-0.00925877j 0.0022799-0.0101781j -0.0054704-0.00427606j 0.00117619-0.0110019j 0.00455261+0.00249489j -0.00943998-0.0132205j -0.00633952-0.00507186j -0.00503262-0.00106124j -0.00138704+0.00302475j -0.00962242+0.00070673j 0.00274392-0.00126621j -0.00636773-0.000312073j -0.000628493-0.00461712j -0.00185045-0.00492659j 0.000135691+0.0130623j -0.00362902-0.0108254j 0.000771025+0.00547434j 0.0024506+0.00654591j -0.00539894-0.00184235j 0.0191551-0.00784327j 0.00929593+0.00998838j 0.00610748+0.000996911j -0.00795705-0.00282845j -0.00837376+0.00329541j -0.00290666-0.00812689j -0.00356125-0.00224677j 0.00917784+0.00816037j -0.00354497-0.00972627j 0.0123806-0.00205338j 0.00132893+0.0062385j -0.0114527-0.0031295j 0.00483261+0.00303211j 0.00112146-0.00789542j 0.0056287+0.0103289j 0.0109413-0.00591648j 0.00129111+0.000895926j 0.0161287-0.0034477j 0.0076028-0.00127854j -0.00320053+0.00138284j 0.0029948-0.00896147j 0.00914267+0.00842256j 0.00165257+0.00081925j 0.00203588+0.00329428j 0.00442562+0.00337031j 0.000750626-0.0185517j 0.00785355-0.0035889j -0.00824376+0.0104073j 0.000867392-0.00409717j 0.00552899+0.00182833j -0.00638411+0.000317487j 0.00281344-0.00321922j 
-0.000328834-8.03318e-05j -0.0020895+0.00057607j -0.00102676+0.00335472j -0.000130249+0.0013297j 0.00076133+0.00223674j -0.00132992-0.00213032j 0.00144016+0.0026608j -0.00159047+0.00103983j -0.00262016-0.00262312j 0.00223734+0.00298063j 0.00775106+0.00609378j -0.00324186+0.000252833j 0.00349144-0.00352438j -0.00515091+0.00799634j -0.0020688-0.000777042j -0.00894122-0.00417429j -0.00662696+0.00191386j -0.00512536+0.00304204j 0.000479599+0.000922642j 0.000917741+0.00203825j -0.00526814+0.00259973j 0.000919387-0.000299385j 0.00143143-0.00234446j 0.00183168+0.00508166j 0.00436104+0.00343654j -0.00180544+0.0110683j 0.00369333+0.000933601j 0.000360344-0.00390151j -0.00135791+0.000302565j -0.00288477-0.00134081j 0.00245022+0.00349977j 0.00625678+0.00473078j -0.00342461-0.000167513j -0.00159989+0.00226205j 0.000676141-0.0033112j 0.00382651+0.00477266j 0.00311062+0.00064093j -0.00686772-0.00259929j -0.00275474-0.00216548j 0.00130502+0.00126329j 0.000803305-0.00246642j -0.000127107-0.000319389j -0.00454557-0.0011651j -0.000768981+0.00238477j -0.00439045-0.00113577j -0.00236437+0.00245098j -0.00552966+0.00278011j 0.000962818-0.00243662j -0.00166087-0.00244421j 0.00266397+0.00294493j -0.00272977+0.00493902j -0.0043723-0.00270449j 
0.00381824+0.00747043j 0.00760379-0.0020145j 0.00591093-0.0051263j -0.00120601-0.00565971j -0.00513373-0.00508539j 0.00140946-0.00485463j -0.000369547-0.00104288j -0.00353246-0.00236799j 0.00148446-0.0051346j -0.000550141+0.00306145j -0.00179277+0.00184115j -0.00445448+0.00329373j -0.00618846+0.00467844j -0.000841633-0.00342494j -0.00060233+0.000177803j 0.00143759+8.69506e-06j 0.0037047+0.000495591j 0.0019449+0.00245268j -0.00262812-0.00106463j 0.0019515-0.00148063j -0.00247052-0.00328095j 0.00307646-0.000285694j 0.00556576+0.00171103j -0.00242112-0.0029982j 0.00220965-0.000640957j -0.00309918-0.00110921j 0.00274396-0.00201561j 0.00221012+0.000707832j -0.00115285+0.00405712j -0.0033746+0.000276727j -0.00554819+0.00443787j -0.000632076-0.000216665j -0.00189116-0.00486666j 0.0015042-0.000693026j -0.00121559+0.00460056j 0.00117516-0.00129766j -0.00152314+0.000320203j -0.00122023+0.00512783j -0.00376819-0.002472j -0.00196202+0.000904162j 0.000706812+0.00065427j -0.001216+0.00254693j -0.00290038-0.00573186j 0.00399438-0.00104543j -0.00370602+0.00368795j -0.00358234+0.00474748j 0.00263375-0.00550652j 0.00599772-0.00209962j -0.00993989+0.00497821j -0.0065517-0.0082697j -0.0151675+0.00539645j -0.00550828-0.0140283j 
-0.00751178-0.00118206j -0.00225758+0.0103365j -0.00186121-0.00221467j -0.00203078+0.00280017j 0.00896697+0.0048981j -0.00713157+0.00287035j -0.000969439-0.00232677j 0.000148085-0.00368216j -0.000335798-0.00122467j -0.00155355-0.00115508j 0.00248782+0.00433933j 0.0067526+0.00378472j -0.00871267+0.00444225j -0.0104448+0.00492457j 0.00243229-0.00795561j 0.00471218+0.00483213j 0.00591906-0.00855719j -0.00643782-0.00751397j 0.00379214-0.00461235j 0.00528075+0.00138579j -0.00558892-0.00424202j 0.00145013+0.00487573j 0.00201193-0.00309157j -0.00574803-0.00448052j 0.00655977+0.00117836j -0.00777512-0.00420957j -0.00369413-0.000390861j -0.0043504-0.00802524j -0.001994-0.00235522j 0.00479902-0.0033119j 0.010072-0.00373689j -0.000837636-0.00568907j -0.00485939+0.00289223j 0.00209434+0.00439866j -0.0088585-0.00582296j 0.00854452+0.00820438j -0.00611599+0.0105827j -0.00478457+0.00563696j -0.00807503-0.00319252j 0.00697277-0.00236584j -0.00286337-0.00500381j 0.00761543-0.00462008j 0.00720339-0.00137605j -0.00197607-0.000437217j -0.00259969-0.00451219j 0.00318771+0.00469675j 0.0111004-0.00670624j -0.00161509+0.00289051j -0.00475685+0.0165816j -0.0176032+0.00274965j -0.00433206-0.00881999j 0.00610357-0.00276858j 
-0.00493438+0.00618342j 0.00393213+0.00257964j 0.0168241-0.00507771j -0.00982229-0.0152946j 0.00113336+0.00490054j -0.00762208+0.00458183j -0.0100141-0.00305333j -0.00138455+0.0167469j -0.00548448-0.0124848j 0.0169357-0.00423143j 0.00174043+0.00264615j 0.00666055+0.00672344j 0.00879958-0.00468052j -0.00648783+0.00242131j -0.000118604+0.00281588j 0.000614777+0.00573466j 0.00208611+0.0040831j 7.98504e-06-0.00781646j -0.00890234-0.00272022j 0.00648198+0.00458431j 0.0037753-0.00873474j 0.00784524+0.000720424j 0.00679698-0.00296337j -0.00717174-0.00364515j 0.00743057-0.00716401j 0.0080346+0.00362411j -0.00437729-0.000116908j -0.000877425-0.0123113j 0.00148779-0.00426592j 7.59979e-05-0.00460679j 0.0116788-0.00325011j -0.00664148-0.000319229j -0.000964509-9.23035e-05j 0.00255564-0.0054945j -0.0106649+0.00305572j 0.00825621+0.00294509j 0.00427612+0.00492748j 0.00940663+0.00306023j -0.01156-0.00793908j 0.00235061-0.00250335j 0.000456563+0.00542645j 0.0139096+0.000795412j -0.00267827+0.00559562j 0.000271043+0.00630434j 0.00673818-0.0193182j 0.00286759-0.00515682j -0.00155437-0.00233162j -0.00713259-0.000153306j -0.00216236-0.00157161j -0.00758716+0.00741844j -0.00522802-0.00262165j 0.0035399-0.00596223j 
0.0042634+0.00285122j 0.00208578-0.0027033j 0.00125212-0.00095952j -0.000717627-0.000185268j -0.000847356-0.00301304j 0.00353175-0.00166983j 0.00447955-0.00121338j -0.00200224-0.00632936j 0.000268723-0.00257853j -0.00496267-0.00276485j 0.00128164-0.00351328j -0.00259138-0.00244612j 0.000387109+0.00344769j -0.000942063+0.000967477j 6.36731e-05+0.00337675j 0.00081738+0.00469118j 0.00232986-0.00122305j 0.00341548+0.00811542j -0.000458701+0.003027j -0.00172949-0.00848268j 0.0022708+0.000625841j -0.000209194-0.00074239j 0.002864-0.000830673j 0.00144701+0.00418761j -0.000971764+0.00114813j 0.000748559-0.0018463j 0.00113192-0.00061192j 0.00205263+0.00666635j -0.000507305-0.00109811j -9.21894e-06-0.000401005j -0.00468825+0.00517275j -0.00267632-0.00381441j 0.00430392-0.0033099j -0.00300036+0.000417656j 0.00338093+0.00113036j 0.00124834+0.00144834j 0.00193919-0.00306912j 0.0011652+0.000165105j 0.00345474-0.00259682j -0.00755833-0.00074755j -0.000501211+0.00241621j -0.00177942+0.00294299j 0.00204615-0.00214094j -0.000322977+0.000557136j -0.00370688+0.00158383j 0.00069106+0.000361505j -0.00231334+0.000283339j 0.0013047-0.00310565j -0.00546763-0.00386969j 0.00374364-0.00493303j -0.00381506+0.00370035j -0.00457379-0.00340655j 
0.00242085+0.00170565j 0.00144287-0.00535185j -0.000379084+0.00661241j 0.00107787+0.000556346j -0.0021452+0.00145821j 0.00593545+0.00134227j -0.00193404+0.00199265j 0.000331632+0.0100994j -0.00537821-0.00437519j 0.0048512+0.00176129j -0.00405411-0.00513454j -0.00212278+0.000290014j 0.00130311-0.000262982j 0.00371265-0.00127381j 0.00456452-0.000496678j -0.00550628-0.000686703j -0.00522831+4.84585e-05j -0.00438494+0.00147943j 0.000771381+0.00151696j -0.00142429+0.000939993j 0.00686297+5.24887e-06j 0.00419013-0.00117222j 0.00323699+0.00336816j 0.0013454-0.00261072j 0.000955949+0.0020556j 0.00729017-0.00213894j 0.000996995+0.0036237j 0.00150818+0.00423443j -0.00166288-0.00116881j -0.0024642+0.00352539j -0.0010782+0.000690818j 0.00181882+0.00129715j 0.00123846+0.00191277j -0.00683933+0.000705706j -0.000837429-0.0003385j -0.000113926-0.00111545j 0.00146551-0.00173485j 0.000228782-0.0045894j 0.00693052-0.00446318j -0.000905881-0.000288708j 0.00166544+0.0041503j -0.000683869+0.00120468j 0.00159804+0.00163039j 0.00336409+0.000803554j 0.0012264-0.000698317j 0.00108461-0.00449872j -0.00136259+0.00360739j -0.00337365+0.00321336j 0.0088793-0.0100781j 0.00937996+0.00815058j 0.00536385-0.000880678j 0.00196893+0.00509096j 
0.00416902-0.010555j -0.0113606-0.00150321j 0.00733345+0.00508922j 0.0056864+0.00162774j 0.0233259+0.00127313j 0.0100443+0.0112874j 0.0165321-0.000734651j 0.00377374-0.00345909j -0.0105391-0.00560029j 0.00602357-0.00104076j -0.00463729-0.00971975j -0.00877149+0.00209397j -0.00202038+0.0171057j -7.12318e-05+0.000533037j 0.00816238-0.0108922j 0.00409233-0.00970241j 0.0103529-0.00254409j 0.00682585+0.00339846j -0.00187347-0.000581879j -0.0133065-0.0293311j -0.00964235-0.00861686j 0.00209245-0.0127932j -0.00415894-0.0103667j -0.0034053-0.00731544j 0.000466774-0.00763246j -0.0130409-0.00807102j -0.00283377-0.0014414j 0.00882412+0.00394406j 0.0019729+0.0138304j -0.000192916+0.00260231j -0.00487192+0.00475026j 0.00184628+0.00199046j 0.0125071-0.00368946j -0.0203814+0.020684j -0.0042778+0.000528372j 0.0192919-0.00733533j -0.00451829-0.00533708j 0.00302292+0.00308315j -0.0124321-0.035616j -0.0055209-0.0083556j -0.00335962+0.0119365j -0.00671047+0.00178155j -0.0016478-0.00270774j 0.00780682-0.00328441j 0.00517037-0.0136288j -0.00223878+0.010724j 0.000267198-0.00472386j 0.00969712-0.00249819j -0.00355081+0.00119915j -0.00660134-0.0075448j 0.00292386+0.000111004j -0.00168006+0.00213887j 
