0.717317-0j 0.70996-0j 0.102887-0j 0.0600176-0j 0.0831455-0j 0.0516512-0j 0.00745521-0j 0.0590299-0j 0.00852024-0j 0.00432163-0j 0.0361483-0j 0.00521756-0j 0.00523861-0j 0.00307512-0j 0.021305-0j 0.00604903-0j 0.00598698-0j 0.0505971-0j 0.00730306-0j 0.00733253-0j 0.000360136-0j 0.0342185-0j 0.0244468-0j 0.000504085-0j 0.0338675-0j 0.0296341-0j 0.000498915-0j 0.00138078-0j 0.000436551-0j 0.041479-0j 0.000611044-0j 0.00649114-0j 0.000115065-0j 0.0367194-0j 0.00781088-0j 0.000540929-0j 
0.0226207-0j 0.0244468-0j -0.00693438-0j 0.0080019-0j 0.00286304-0j 0.00162883-0j 0.000235102-0j -0.00397849-0j -0.000574246-0j 0.000576186-0j 0.00124474-0j 0.000179662-0j -0.000353071-0j 0.00012321-0j 0.000853627-0j 0.000190757-0j 0.000206157-0j 0.00174227-0j 0.000251475-0j -0.000494197-0j 4.80155e-05-0j -0.157266-0j -0.475025-0j 1.58964e-05-0j -0.169962-0j 0.291083-0j 1.71797e-05-0j -0.000616035-0j -2.94226e-05-0j 0.407431-0j -4.11831e-05-0j 0.000223517-0j -5.13363e-05-0j -0.184274-0j 0.507878-0j 1.86264e-05-0j 
0.000333235-0j 0.000360136-0j 0.0147006-0j -0.0169637-0j -0.00606953-0j 2.3995e-05-0j 0.0474828-0j -5.86087e-05-0j -0.115979-0j -0.00122149-0j 1.83367e-05-0j 0.0362859-0j 0.000748497-0j 0.0248845-0j 1.25751e-05-0j -0.000404398-0j -0.000437044-0j 2.5666e-05-0j 0.0507897-0j 0.00104768-0j -0.448886-0j 1.58964e-05-0j 4.80155e-05-0j -0.148612-0j 1.71797e-05-0j -2.94226e-05-0j -0.160609-0j 0.00130597-0j 0.275065-0j -4.11831e-05-0j 0.385011-0j -0.000473847-0j 0.479931-0j 1.86264e-05-0j -5.13363e-05-0j -0.174134-0j 
0.00433731-0j 0.00422567-0j 0.0281427-0j 0.0157273-0j 0.0237908-0j -0.000307303-0j 0.0042406-0j 0.000346909-0j -0.00478713-0j -0.0011143-0j 0.000648971-0j -0.00895541-0j 0.0043221-0j 0.00849128-0j -0.000615337-0j -0.00173013-0j -0.0016856-0j -0.000306063-0j 0.00422349-0j -0.00203836-0j -0.000282501-0j -0.0301543-0j -0.019421-0j -0.000438629-0j -0.0293781-0j 0.0753294-0j -0.000427339-0j 0.00417887-0j 0.00109575-0j -0.0355263-0j -0.000516772-0j 0.00185734-0j 0.00105944-0j 0.0323713-0j 0.0728331-0j 0.000470879-0j 
-0.000542164-0j -0.000528209-0j -0.00711004-0j -0.00397339-0j -0.00601056-0j -0.00369585-0j 0.0248061-0j 0.00417218-0j -0.0280031-0j -0.0270861-0j 0.00780501-0j -0.0523862-0j 0.105061-0j 0.0496711-0j -0.0074005-0j -0.0420556-0j -0.0409732-0j -0.00368094-0j 0.024706-0j -0.0495479-0j -0.00336421-0j -2.58631e-05-0j -1.66572e-05-0j -0.00522349-0j -2.51974e-05-0j 6.46094e-05-0j -0.00508905-0j 0.101579-0j 0.013049-0j -3.04706e-05-0j -0.00615407-0j 0.0451477-0j 0.0126166-0j 2.77646e-05-0j 6.24683e-05-0j 0.00560754-0j 
0.0342185-0j 0.0338675-0j 0.00490807-0j 0.00286304-0j -0.0079116-0j 0.00246394-0j 0.000355639-0j -0.00561692-0j -0.000810733-0j 0.000206157-0j 0.0017244-0j 0.000248895-0j 0.000249899-0j 0.000146693-0j 0.00101632-0j -0.000575587-0j -0.000569684-0j 0.00241365-0j 0.000348381-0j 0.000349786-0j 1.71797e-05-0j 0.474532-0j -0.169962-0j -4.79656e-05-0j 0.469665-0j -0.206025-0j -4.74736e-05-0j 6.5868e-05-0j 2.0825e-05-0j -0.288375-0j 2.91489e-05-0j 0.00030965-0j 5.489e-06-0j -0.255285-0j -0.0543036-0j 2.58041e-05-0j 
0.000504085-0j 0.000498915-0j -0.0104049-0j -0.00606953-0j 0.0167723-0j 3.62972e-05-0j 0.0718274-0j -8.2745e-05-0j -0.163742-0j -0.000437044-0j 2.54028e-05-0j 0.0502687-0j -0.000529777-0j 0.0296273-0j 1.49718e-05-0j 0.00122022-0j 0.00120771-0j 3.55565e-05-0j 0.0703615-0j -0.000741533-0j -0.160609-0j -4.79656e-05-0j 1.71797e-05-0j 0.44842-0j -4.74736e-05-0j 2.0825e-05-0j 0.44382-0j -0.000139638-0j -0.194688-0j 2.91489e-05-0j -0.272506-0j -0.000656445-0j -0.0513154-0j 2.58041e-05-0j 5.489e-06-0j -0.241237-0j 
-0.00481777-0j 0.00490807-0j -0.000478901-0j 0.0384147-0j 0.0542347-0j -0.000346909-0j 0.00478713-0j -1.15864e-05-0j 0.000159885-0j 0.00276609-0j 0.000249899-0j -0.00344846-0j -2.43837e-05-0j 0.00598163-0j -0.00043347-0j -0.00383337-0j 0.00390523-0j 0.000349786-0j -0.00482684-0j -3.41301e-05-0j 0.000701269-0j -0.0668114-0j 0.0482099-0j -0.00097185-0j 0.0680638-0j -0.000424981-0j 0.000990067-0j 0.00177399-0j -6.18184e-06-0j -0.000594849-0j -8.65277e-06-0j -0.00212267-0j 0.000449747-0j -0.0369958-0j 0.0309186-0j -0.000538147-0j 
0.000602221-0j -0.000613509-0j 0.000120991-0j -0.00970519-0j -0.013702-0j -0.00417218-0j 0.0280031-0j -0.000139347-0j 0.000935275-0j 0.0672375-0j 0.00300548-0j -0.0201724-0j -0.000592713-0j 0.0349905-0j -0.00521324-0j -0.0931807-0j 0.0949273-0j 0.00420679-0j -0.0282354-0j -0.000829625-0j 0.00835119-0j -5.73036e-05-0j 4.13492e-05-0j -0.0115734-0j 5.83777e-05-0j -3.64502e-07-0j 0.0117904-0j 0.0431216-0j -7.36175e-05-0j -5.10197e-07-0j -0.000103043-0j -0.0515974-0j 0.0053559-0j -3.1731e-05-0j 2.65186e-05-0j -0.00640862-0j 
3.19473e-05-0j 3.1125e-05-0j 0.000842309-0j 0.000470718-0j 0.000712056-0j -2.2635e-06-0j -0.00902113-0j 2.55522e-06-0j 0.0101838-0j -3.33508e-05-0j 4.78012e-06-0j 0.0190511-0j 0.00012936-0j -0.0180637-0j -4.53238e-06-0j -5.17827e-05-0j -5.04499e-05-0j -2.25437e-06-0j -0.00898473-0j -6.10079e-05-0j -0.0379023-0j 1.52399e-06-0j 9.81534e-07-0j -0.0588496-0j 1.48477e-06-0j -3.80714e-06-0j -0.0573349-0j 0.000125073-0j 0.147014-0j 1.7955e-06-0j -0.0693339-0j 5.559e-05-0j 0.142142-0j -1.63605e-06-0j -3.68098e-06-0j 0.0631765-0j 
0.00303672-0j -0.00892028-0j 0.0611492-0j -0.0120187-0j -0.0166501-0j -0.000648971-0j 0.00895541-0j 0.000249899-0j -0.00344846-0j 0.00256849-0j 0.000143291-0j -0.00197733-0j -0.000982272-0j -0.00124462-0j 9.01935e-05-0j -0.00121133-0j 0.00355826-0j 0.0002142-0j -0.00295583-0j -0.00146835-0j 0.000651171-0j -0.0211121-0j 0.0447658-0j -0.000307101-0j 0.0620164-0j -0.0171199-0j 0.000902101-0j -0.000276505-0j -0.000249029-0j -0.0255918-0j -0.000372262-0j -0.00129987-0j -7.01004e-05-0j -0.0226552-0j -0.00481917-0j -0.000329547-0j 
-0.000379589-0j 0.00111504-0j -0.0154489-0j 0.00303642-0j 0.00420652-0j -0.00780501-0j 0.0523862-0j 0.00300548-0j -0.0201724-0j 0.0624341-0j 0.00172333-0j -0.0115667-0j -0.0238768-0j -0.00728059-0j 0.00108473-0j -0.0294447-0j 0.0864932-0j 0.00257612-0j -0.0172906-0j -0.0356924-0j 0.00775459-0j -1.81077e-05-0j 3.83953e-05-0j -0.00365716-0j 5.3191e-05-0j -1.46836e-05-0j 0.0107428-0j -0.00672121-0j -0.00296561-0j -2.19499e-05-0j -0.00443315-0j -0.0315968-0j -0.000834804-0j -1.94312e-05-0j -4.13336e-06-0j -0.00392446-0j 
-0.0010682-0j -0.000221427-0j -0.009029-0j 0.00208235-0j 0.00247923-0j 0.0074005-0j -0.0496711-0j -0.00521324-0j 0.0349905-0j -0.0144265-0j 0.00108473-0j -0.00728059-0j 0.0442316-0j 0.0605189-0j -0.00901671-0j -0.0828604-0j -0.0171761-0j 0.00151831-0j -0.0101907-0j 0.0619113-0j -0.00179183-0j -5.09569e-05-0j -8.8719e-06-0j -0.0102916-0j -1.05628e-05-0j 2.72012e-05-0j -0.00213335-0j 0.0740441-0j 0.00549375-0j 3.80737e-05-0j 0.00768965-0j -0.0186225-0j 0.0091966-0j -1.14523e-05-0j 4.55351e-05-0j -0.00231299-0j 
0.00854562-0j 0.00177142-0j 0.0357382-0j -0.00824227-0j -0.00981319-0j 0.000615337-0j -0.00849128-0j -0.00043347-0j 0.00598163-0j -0.000593494-0j 9.01935e-05-0j -0.00124462-0j 0.00181965-0j 0.0103457-0j -0.000749722-0j -0.00340881-0j -0.00070661-0j 0.000126245-0j -0.0017421-0j 0.00254698-0j -0.000150465-0j -0.0594117-0j -0.0103439-0j -0.000864212-0j -0.0123154-0j 0.0317144-0j -0.000179142-0j 0.00304611-0j 0.000461324-0j 0.044391-0j 0.000645718-0j -0.000766113-0j 0.00077226-0j -0.0133525-0j 0.0530903-0j -0.000194228-0j 
0.0289066-0j -0.0294484-0j -6.07452e-05-0j 0.00487264-0j 0.00687929-0j 0.00208145-0j 0.000300432-0j 6.95183e-05-0j 1.00341e-05-0j 0.00035086-0j -0.0014994-0j -0.000216419-0j -3.0929e-06-0j 0.000375396-0j 0.00260082-0j -0.000486237-0j 0.000495351-0j -0.00209872-0j -0.000302924-0j -4.32916e-06-0j 2.92383e-05-0j -0.00275057-0j 0.00198476-0j -4.05197e-05-0j 0.00280213-0j -1.74961e-05-0j 4.12793e-05-0j 0.000225018-0j -2.57742e-07-0j -2.44894e-05-0j -3.60764e-07-0j -0.000269246-0j 1.87515e-05-0j -0.00152309-0j 0.00127289-0j -2.24372e-05-0j 
-0.00295027-0j 0.00300557-0j 6.19978e-06-0j -0.000497312-0j -0.000702115-0j 0.0410913-0j -3.06627e-05-0j 0.00137241-0j -1.0241e-06-0j 0.00692655-0j -0.0296006-0j 2.20882e-05-0j -6.1059e-05-0j -3.83137e-05-0j 0.0513445-0j -0.00959912-0j 0.00977905-0j -0.0414322-0j 3.0917e-05-0j -8.54649e-05-0j -2.98412e-06-0j 0.000280729-0j -0.000202569-0j 4.13553e-06-0j -0.000285991-0j 1.78569e-06-0j -4.21305e-06-0j 0.00444223-0j 2.63057e-08-0j 2.49944e-06-0j 3.68203e-08-0j -0.00531537-0j -1.91382e-06-0j 0.000155449-0j -0.000129914-0j 2.28999e-06-0j 
-0.0260239-0j -0.025354-0j 0.00356971-0j 0.0019949-0j 0.00301769-0j 0.00184382-0j 0.000266132-0j -0.00208145-0j -0.000300432-0j -0.000141341-0j -0.00389383-0j -0.000562025-0j 0.000548229-0j 0.000532897-0j 0.00369202-0j -0.000219455-0j -0.000213807-0j 0.00183638-0j 0.000265058-0j -0.000258552-0j -1.17784e-05-0j -0.00124143-0j -0.000799545-0j -1.82879e-05-0j -0.00120947-0j 0.00310125-0j -1.78172e-05-0j 0.000530061-0j 4.56857e-05-0j -0.00146259-0j -2.1546e-05-0j 0.000235591-0j 4.41718e-05-0j 0.0013327-0j 0.00299848-0j 1.96325e-05-0j 
0.00265605-0j 0.00258769-0j -0.000364332-0j -0.000203604-0j -0.000307992-0j 0.0364-0j -2.7162e-05-0j -0.0410913-0j 3.06627e-05-0j -0.0027903-0j -0.0768706-0j 5.73615e-05-0j 0.0108229-0j -5.43886e-05-0j 0.0728866-0j -0.00433241-0j -0.0042209-0j 0.0362532-0j -2.70524e-05-0j -0.00510424-0j 1.20213e-06-0j 0.000126703-0j 8.16032e-05-0j 1.86651e-06-0j 0.000123441-0j -0.00031652-0j 1.81846e-06-0j 0.0104643-0j -4.66278e-06-0j 0.000149275-0j 2.19903e-06-0j 0.00465095-0j -4.50826e-06-0j -0.000136018-0j -0.000306031-0j -2.00374e-06-0j 
-3.54862e-05-0j 3.61514e-05-0j -1.43335e-05-0j 0.00114975-0j 0.00162324-0j -2.55522e-06-0j -0.0101838-0j -8.53418e-08-0j -0.000340128-0j 8.27889e-05-0j 1.84068e-06-0j 0.007336-0j -7.29802e-07-0j -0.0127249-0j -3.19281e-06-0j -0.000114733-0j 0.000116883-0j 2.57642e-06-0j 0.0102683-0j -1.02151e-06-0j 0.0940874-0j 3.37664e-06-0j -2.43653e-06-0j -0.13039-0j -3.43994e-06-0j 2.14785e-08-0j 0.132835-0j 5.30953e-05-0j -0.0008294-0j 3.00636e-08-0j -0.00116092-0j -6.35314e-05-0j 0.0603413-0j 1.86977e-06-0j -1.56262e-06-0j -0.0722017-0j 
-0.00425052-0j -0.00420692-0j 0.0288388-0j 0.0168226-0j 0.0233052-0j -0.000306063-0j 0.00422349-0j -0.000349786-0j 0.00482684-0j 0.00121133-0j -0.0002142-0j 0.00295583-0j 0.00146835-0j 0.0017421-0j -0.000126245-0j 0.00169551-0j 0.00167812-0j 0.000904876-0j -0.0124867-0j -0.006203-0j 0.000307101-0j 0.0295508-0j 0.0211121-0j 0.000429852-0j 0.0292478-0j 0.0255918-0j 0.000425443-0j 0.000387026-0j 0.000372262-0j -0.108111-0j -0.0015726-0j 0.00181943-0j 9.81202e-05-0j 0.0317107-0j 0.00674543-0j 0.000461269-0j 
0.000531314-0j 0.000525865-0j -0.0072859-0j -0.00425011-0j -0.0058879-0j -0.00368094-0j 0.024706-0j -0.00420679-0j 0.0282354-0j 0.0294447-0j -0.00257612-0j 0.0172906-0j 0.0356924-0j 0.0101907-0j -0.00151831-0j 0.041214-0j 0.0407913-0j 0.0108827-0j -0.0730433-0j -0.150781-0j 0.00365716-0j 2.53455e-05-0j 1.81077e-05-0j 0.00511896-0j 2.50855e-05-0j 2.19499e-05-0j 0.00506646-0j 0.00940773-0j 0.00443315-0j -9.27261e-05-0j -0.0187276-0j 0.0442263-0j 0.00116848-0j 2.7198e-05-0j 5.7855e-06-0j 0.0054931-0j 
-0.0512737-0j -0.0106285-0j 0.00453315-0j -0.00104548-0j -0.00124474-0j -0.00369202-0j -0.000532897-0j 0.00260082-0j 0.000375396-0j -7.52806e-05-0j -0.000541161-0j -7.81098e-05-0j 0.00023081-0j 0.000649278-0j 0.00449833-0j -0.000432383-0j -8.96286e-05-0j -0.000757467-0j -0.000109331-0j 0.000323066-0j -6.27338e-06-0j -0.00244593-0j -0.000425851-0j -3.60319e-05-0j -0.000507016-0j 0.00130566-0j -7.46905e-06-0j 0.000386378-0j 1.92342e-05-0j 0.00182754-0j 2.69222e-05-0j -9.71761e-05-0j 3.21982e-05-0j -0.000549711-0j 0.00218568-0j -8.09801e-06-0j 
2.23675e-05-0j -6.57041e-05-0j 0.00183019-0j -0.000359718-0j -0.000498335-0j -4.78012e-06-0j -0.0190511-0j 1.84068e-06-0j 0.007336-0j 7.68746e-05-0j 1.05544e-06-0j 0.00420643-0j -2.93993e-05-0j 0.0026477-0j 6.64338e-07-0j -3.6255e-05-0j 0.000106498-0j 1.57773e-06-0j 0.006288-0j -4.39478e-05-0j 0.0873659-0j 1.06701e-06-0j -2.26246e-06-0j -0.0412029-0j -3.13431e-06-0j 8.65239e-07-0j 0.121032-0j -8.27577e-06-0j -0.0334115-0j 1.29341e-06-0j -0.0499454-0j -3.89049e-05-0j -0.00940518-0j 1.14499e-06-0j 2.43561e-07-0j -0.0442143-0j 
6.29444e-05-0j 1.30477e-05-0j 0.00106964-0j -0.000246691-0j -0.000293708-0j 4.53238e-06-0j 0.0180637-0j -3.19281e-06-0j -0.0127249-0j -1.77632e-05-0j 6.64338e-07-0j 0.0026477-0j 5.44619e-05-0j -0.0220087-0j -5.52222e-06-0j -0.000102025-0j -2.11488e-05-0j 9.29879e-07-0j 0.00370601-0j 7.62308e-05-0j -0.0201874-0j 3.00266e-06-0j 5.22782e-07-0j -0.115949-0j 6.22421e-07-0j -1.60285e-06-0j -0.024035-0j 9.11699e-05-0j 0.0618945-0j -2.24352e-06-0j 0.0866343-0j -2.29297e-05-0j 0.103612-0j 6.74834e-07-0j -2.68318e-06-0j -0.026059-0j 
-0.0182203-0j 0.0535217-0j 0.00775636-0j -0.00152448-0j -0.00211195-0j 0.00389383-0j 0.000562025-0j -0.0014994-0j -0.000216419-0j 0.000325795-0j -0.000859747-0j -0.000124094-0j -0.000124594-0j -7.81098e-05-0j -0.000541161-0j -0.000153649-0j 0.00045134-0j -0.0012852-0j -0.000185502-0j -0.000186251-0j 2.71496e-05-0j -0.00086917-0j 0.00184297-0j -1.28041e-05-0j 0.00255317-0j -0.000704812-0j 3.76117e-05-0j -3.50727e-05-0j -1.03829e-05-0j -0.00105359-0j -1.55209e-05-0j -0.000164879-0j -2.92273e-06-0j -0.000932697-0j -0.000198401-0j -1.37399e-05-0j 
0.0255031-0j 0.0252415-0j 0.003658-0j 0.00213383-0j 0.00295611-0j 0.00183638-0j 0.000265058-0j 0.00209872-0j 0.000302924-0j 0.000153649-0j 0.0012852-0j 0.000185502-0j 0.000186251-0j 0.000109331-0j 0.000757467-0j 0.000215064-0j 0.000212858-0j -0.00542925-0j -0.000783645-0j -0.000786807-0j 1.28041e-05-0j 0.00121658-0j 0.00086917-0j 1.7922e-05-0j 0.00120411-0j 0.00105359-0j 1.77382e-05-0j 4.90916e-05-0j 1.55209e-05-0j -0.00445085-0j -6.55673e-05-0j 0.000230783-0j 4.09097e-06-0j 0.0013055-0j 0.000277704-0j 1.92319e-05-0j 
-0.0026029-0j -0.0025762-0j -0.000373343-0j -0.000217783-0j -0.000301707-0j 0.0362532-0j -2.70524e-05-0j 0.0414322-0j -3.0917e-05-0j 0.00303329-0j 0.0253719-0j -1.89327e-05-0j 0.0036769-0j -1.11585e-05-0j 0.0149537-0j 0.00424572-0j 0.00420217-0j -0.107182-0j 7.99805e-05-0j -0.0155329-0j -1.30681e-06-0j -0.000124167-0j -8.87093e-05-0j -1.82915e-06-0j -0.000122894-0j -0.000107532-0j -1.81039e-06-0j 0.000969149-0j -1.58409e-06-0j 0.000454263-0j 6.69193e-06-0j 0.00455603-0j -4.17532e-07-0j -0.000133242-0j -2.8343e-05-0j -1.96285e-06-0j 
0.0018596-0j -0.00546253-0j -0.00079163-0j 0.000155592-0j 0.00021555-0j 0.0768706-0j -5.73615e-05-0j -0.0296006-0j 2.20882e-05-0j 0.00643173-0j -0.0169728-0j 1.26653e-05-0j -0.0024597-0j 7.97205e-06-0j -0.0106834-0j -0.00303329-0j 0.00891021-0j -0.0253719-0j 1.89327e-05-0j -0.0036769-0j -2.77094e-06-0j 8.87093e-05-0j -0.000188098-0j 1.30681e-06-0j -0.000260581-0j 7.19346e-05-0j -3.83873e-06-0j -0.000692394-0j 1.0597e-06-0j 0.000107532-0j 1.58409e-06-0j -0.00325499-0j 2.983e-07-0j 9.51929e-05-0j 2.02492e-05-0j 1.40232e-06-0j 
0.0052331-0j 0.00108477-0j -0.000462663-0j 0.000106703-0j 0.00012704-0j -0.0728866-0j 5.43886e-05-0j 0.0513445-0j -3.83137e-05-0j -0.00148616-0j -0.0106834-0j 7.97205e-06-0j 0.00455657-0j -6.62667e-05-0j 0.0888045-0j -0.00853597-0j -0.00176942-0j -0.0149537-0j 1.11585e-05-0j 0.00637787-0j 6.40274e-07-0j 0.000249637-0j 4.34633e-05-0j 3.6775e-06-0j 5.17471e-05-0j -0.000133258-0j 7.62306e-07-0j 0.00762774-0j -1.96308e-06-0j -0.000186522-0j -2.74774e-06-0j -0.00191842-0j -3.28621e-06-0j 5.61047e-05-0j -0.000223075-0j 8.265e-07-0j 
-3.1308e-05-0j -3.09869e-05-0j 0.000863142-0j 0.0005035-0j 0.000697524-0j -2.25437e-06-0j -0.00898473-0j -2.57642e-06-0j -0.0102683-0j 3.6255e-05-0j -1.57773e-06-0j -0.006288-0j 4.39478e-05-0j -0.00370601-0j -9.29879e-07-0j 5.07465e-05-0j 5.0226e-05-0j 6.66504e-06-0j 0.0265634-0j -0.000185655-0j 0.0412029-0j -1.4935e-06-0j -1.06701e-06-0j 0.057672-0j -1.47818e-06-0j -1.29341e-06-0j 0.0570805-0j 1.15837e-05-0j 0.0499454-0j 5.46394e-06-0j -0.210992-0j 5.44555e-05-0j 0.0131645-0j -1.60266e-06-0j -3.40914e-07-0j 0.0618872-0j 
