0.00831227+0.0113558j 0.0114411-0.00923778j 0.00938057-0.0127765j 0.0208791+0.00824541j -0.0150703-0.0165087j 0.00843284+0.00960855j 0.0333841-0.00748248j 0.012017+0.0222463j 0.00223383+0.0260776j 0.00525546+0.0172809j 0.000248796-0.013596j -0.00805047+0.0356503j -0.025594+0.0010905j -0.0107413+0.00148014j 0.0118718-0.0190698j -0.0153873+0.0191767j -0.0106263+0.000969401j 0.0109847+0.0080685j 0.0124908+0.00765236j -0.00678758-0.0116677j 0.0294054+0.00739135j -0.0107542-0.0299457j 0.0104302-0.010702j -0.0130479-0.0186405j -0.00500661+0.00581941j -0.00507617+0.00478689j 0.00483523+0.0274847j -0.0106549-0.0146426j -0.00238348+0.0175197j -0.0195333-0.00846949j -0.00044874+0.000732659j -0.00338558+0.00599613j 0.00217266-0.00739283j 0.012476+0.00488176j 0.0196103-0.013711j -0.0175907+0.011483j -0.00230981-0.014001j 0.00177847+0.00869854j -0.00615267-0.00211452j 0.00567753-0.00442796j -0.0106541-0.00770847j -0.000906516-0.0113859j 0.00810846+0.00985036j -0.00368049-0.00334445j -0.0161344-0.0144766j -0.0178805-0.0177207j 0.00800535-0.000642895j -0.0146155+0.0329467j 0.00162131-0.00191321j -0.0161581-0.0130998j 0.00754864-0.00238843j -0.00686556-0.0578968j 0.00716591-0.0159408j -0.0206825-0.0210415j 0.00984269-0.0177477j 0.0164044+0.0100423j 
0.00953953-0.061345j -0.0435121-0.0190755j -0.0914665+0.0659123j -0.0725071-0.0682991j -0.023981-0.0821797j 0.0121772-0.0615367j -0.173675+0.097031j -0.0481944-0.0976222j -0.0154795+0.0097153j -0.109634-0.0451469j 0.0689532-0.00217447j -0.0474613-0.154683j 0.104279-0.0473551j -0.0835348+0.0163237j 0.0255604+0.0551416j 0.0225678+0.0328093j 0.0558008+0.0273255j -0.0155252-0.0730045j -0.0207951+0.0172091j 0.0469425-0.0160172j -0.0147797+0.0531728j -0.0496457+0.200007j -0.0771169-0.123496j -0.00495503+0.0664439j -0.00979069-0.0428489j 0.109068+0.0206001j -0.0652558-0.0341466j 0.00253521-0.0115565j 0.0913351-0.0347565j 0.0906662-0.0434678j -0.094968-0.0495266j 0.0457588+0.025399j -0.0442085+0.0289362j -0.0437051-0.0115617j -0.0299647-0.0277661j -0.0129711+0.126583j -0.00101467-0.00512156j 0.0733151-0.0130614j 0.0510088+0.0930993j -0.0798191+0.0507212j 0.0442288-0.00515347j 0.0614865+0.0346445j 0.00897751+0.0442253j 0.113362+0.0376084j 0.0977205-0.0450435j 0.0735177+0.0679861j -0.0778714+0.051098j -6.21202e-05-0.0963989j -0.0642987+0.0888011j 0.194459+0.10653j 0.0175785-0.0543334j 0.0539516+0.142275j -0.0696357+0.041553j 0.072448+0.0548601j -0.0820101+0.0294338j -0.0214549-0.0855501j 
-0.00231322-0.0510684j -0.0481782+0.00662644j -0.0226073+0.0223596j -0.0376819-0.0166645j 0.0859253+0.0212603j -0.058346+0.0550758j 0.0259178+0.0380131j 0.0147521+0.0622025j -0.0798053+0.132035j 0.224851+0.053452j -0.0905704+0.207014j -0.145491-0.142464j 0.101622-0.10745j 0.0114758-0.0111202j -0.00394945-0.036351j -0.00273677-0.0181232j 0.131683-0.0195241j -0.00243519+0.0275304j -0.0390064-0.0199082j 0.0350611+0.121038j -0.187342+0.00470894j -0.0177739+0.111912j 0.0101523+0.161282j -0.0930802-0.045158j 0.0272457+0.102366j 0.0669361+0.0143685j -0.104144-0.132044j 0.141942+0.0123468j 0.0256183-0.149979j -0.036186+0.031438j 0.0667707+0.0463614j -0.0216502+0.127018j -0.0310819+0.0537346j -0.0538424-0.0988123j -0.0296993-0.0172981j 0.0920166-0.0976099j 0.0656961+0.145022j -0.12724+0.0310415j 0.155848+0.00848869j 0.0482064+0.0526061j -0.0172455-0.0841855j -0.06825+0.00480414j -0.0777177+0.120996j -0.10082-0.0341588j -0.0758744+0.219372j 0.153212-0.0430525j -0.0569001+0.0737508j 0.249015+0.0586493j -0.0387611+0.1109j 0.0460699+0.0453056j -0.0363145-0.0239112j -0.0842096+0.0695107j 0.00333777-0.0398791j -0.0384242+0.0114635j 0.033749+0.0462039j -0.0466166+0.0363158j 
-0.0228658+0.0137446j 0.0156361+0.0287501j 0.0774763+0.0171709j -0.0390783+0.0697279j 0.0879354+0.0648403j -0.0573097+0.0281557j -0.0679817+0.016912j -0.030037-0.0747407j 0.0985581-0.132865j -0.0673673-0.0806269j -0.0341463-0.00334953j 0.18155-0.0100578j -0.0373318+0.0873246j 0.142144+0.0974457j -0.00554811+0.120804j 0.0595107-0.136881j -0.00320164+0.0208651j -0.182898+0.103553j -0.048627-0.00752035j -0.0333188-0.0752495j -0.0948983-0.0137143j 0.0702067+0.0727389j 0.0993715+0.0779615j 0.0525856+0.0235814j -0.00470877-0.0751622j -0.0991654-0.0340475j -0.0876329+0.0195694j -0.0178958+0.0798761j 0.0374429-0.0135869j 0.0822648+0.0381349j -0.00764716+0.106179j -0.0243955-0.0641364j 0.0336633-0.0700527j -0.0231924+0.101596j -0.171324-0.041628j 0.0360286-0.0919627j -0.0147117+0.00228699j -0.135274+0.0140427j -0.0641173+0.00145684j -0.0492951+0.0465646j 0.0687186+0.0485145j -0.0429357-0.0163502j 0.00247972-0.0543257j -0.00921179-0.0136194j -0.0248387-0.0546393j -0.13513+0.0644141j 0.10439-0.117975j -0.0100609-0.153603j 0.0265938-0.0611656j -0.148876-0.00282837j -0.0739685+0.133057j 0.000675738+0.0840414j -0.0233507+0.0258728j 0.0331791+0.0361768j -0.0224284+0.0589454j -0.0569349-0.0167975j 
-0.0648018-0.00390146j -0.0049452+0.070352j -0.0371143+0.0378888j -0.0706788-0.0441706j 0.117494+0.0871849j 0.0181422+0.113664j 0.0689753-0.112798j 0.0540873+0.0535537j -0.106026-0.126696j 0.0248744+0.00302848j -0.0283214+0.060907j 0.0414145-0.0759058j -0.0575859+0.160058j -0.0651063-0.0823414j -0.00528027-0.0932573j 0.131853-0.106007j -0.00633357-0.0161449j 0.0171068-0.109205j 0.129004+0.0415725j 0.00785009-0.032936j -0.00449975+0.0902622j 0.0979027+0.0583408j -0.0695793+0.0340198j -0.00490171+0.0118004j -0.0437734+0.0250369j -0.0964052+0.0518297j 0.0473673-0.110361j -0.15131-0.106658j -0.0240744-0.0817576j -0.0942693+0.0536903j 0.0351596-0.0324615j -0.0572291+0.0670953j 0.00973255+0.00884788j -0.0537561+0.201381j 0.173478+0.132708j 0.0675881+0.0122012j -0.0261861+0.0360484j 0.0459943-0.0188325j 0.0514195+0.0611484j -0.0292576-0.0841899j 0.0368076+0.0442742j -0.12502-0.0867208j -0.028176-0.0483978j -0.132662-0.0728747j 0.0430854+0.189851j 0.139961-0.0419365j 0.00740082-0.00363701j 0.00636827+5.84683e-05j 0.0519156+0.0164588j -0.100299-0.0564603j -0.0685322+0.161029j 0.10656+0.0274887j -0.0132392-0.00939566j -0.000439439+0.0239011j -0.0161379+0.0040931j -0.000893184-0.014024j 
0.0428397-0.0245557j -0.0289551-0.0405601j 0.0692096-0.0597528j 0.0768179+0.0845907j 0.0336267-0.0171355j -0.024037+0.0374168j 0.0286259+0.00395705j 0.0668116+0.00410892j -0.0248549+0.165508j 0.0662903+0.0600094j -0.0194644-0.0305349j 0.0383418+0.154583j -0.0153962+0.0168499j 0.0820785+0.164968j 0.0542133+0.00066635j -0.0674428+0.0380937j 0.0221064+0.0936508j -0.058543+0.145241j 0.036234+0.0795122j 0.00400563-0.0350899j -0.0426051-0.0376558j -0.0439332+0.0511662j 0.128755+0.0431502j -0.149449-0.16213j -0.064612-0.0260265j 0.112144+0.00258392j -0.145491+0.149227j -0.0631837+0.00927465j 0.116229+0.0429253j -0.120661+0.0824416j -0.0411089+0.131822j -0.00957328+0.0176872j 0.0936618-0.151892j -0.0031723-0.103011j -0.15022-0.155113j -0.0693225-0.0898147j 0.0902874+0.0826929j -0.15296+0.109461j -0.0976977+0.0879581j 0.0393077+0.0616806j -0.0305077-0.0107739j 0.0153133+0.0132494j 0.00524538+0.088764j -0.0337162-0.0584662j -0.0813913+0.0313139j -0.0317292-0.0105446j 0.0313805-0.0325178j -0.0648519-0.00779807j 0.0697644-0.017828j -0.00639998-0.0304188j 0.0494775-0.0109522j 0.0356435-0.0612665j 0.0646323-0.0417569j -0.0520333-0.0592648j 0.00585316-0.0205594j 0.0215112+0.00423797j 
-0.0185766-0.0926482j -0.0831184+0.0217663j -0.0129145+0.0188437j -0.0447505+0.0261039j 0.155883-0.00404793j -0.0426657+0.0462716j -0.124064+0.0198274j 0.0521375-0.0493554j -0.155303+0.0655778j -0.0666385-0.0129625j 0.088755-0.0279496j 0.0222189+0.0208888j 0.00591744+0.0377411j 0.00152826+0.0423035j -0.00428326-0.0134335j 0.0225409-0.0780146j 0.056214+0.0283446j 0.0845728+0.0828047j -0.105112+0.129624j 0.0647998+0.0464159j -0.115921-0.14338j 0.0942955+0.0227269j 0.0994076+0.0578777j 0.00539131-0.0182907j -0.0377826-0.00896063j 0.0341743-0.121908j -0.0212371-0.0214883j -0.0675698+0.0348241j 0.0739525-0.0402359j -0.153278+0.194585j -0.0309294+0.0843707j -0.0200967-0.0222785j 0.0490979-0.01364j 0.0424195-0.203673j -0.103659-0.08823j 0.0726566-0.115575j 0.070834+0.00670268j -0.0408408+0.132706j -0.127759+0.0425052j 0.0226217+0.0317096j 0.0836044+0.0865256j -0.0589536+0.00094409j 0.0694619-0.0833242j -0.0442752-0.0860698j 0.0734471+0.069373j 0.131832+0.04037j -0.0771268+0.00176206j -0.0288804+0.00977866j 0.0399012+0.000160791j 0.0262304-0.0485179j -0.065478+0.0199839j -9.75333e-05+0.0527513j -0.0508671+0.0589087j 0.0783153+0.0376978j -0.0321537+0.011468j -0.00650279-0.0315254j 
-0.0293329-0.00556474j -0.00473394+0.0335837j 0.0101959-0.0455499j 0.0272873+0.00649495j -0.0293019+0.0425789j -0.037035-0.071786j -0.0414727-0.0290972j 0.0321975+0.0231132j -0.0926666-0.035583j -0.0357101-0.0142876j 0.0113963+0.00561844j -0.034435+0.0122853j 0.0221083-0.031242j -0.0458842+0.025025j -0.0224501+0.00395744j -0.0471131+0.0474706j 0.0134791-0.0159188j 0.0476213-0.0192111j 0.0553627+0.0212402j 0.0612259-0.00929316j 0.0111665+0.0207805j 0.0111475+0.0692054j -0.0529796-0.0754704j -0.0436803-0.0219923j -0.0604557-0.0159441j 0.0538265+0.0131206j -0.0221604-0.0536451j -0.0809351+0.00396494j 0.00874289-0.0265539j -0.0438237+0.0310138j -0.0588128+0.0137569j 0.0103206+0.00805473j 0.0273221-0.0270118j -0.0214009-0.0332289j -0.00251571+0.062816j 0.0200795+0.0237308j 0.0109268-0.000550794j 0.0436604-0.0714353j 0.00334314+0.0422107j 0.0462899-0.00485719j 0.069806+0.0255485j 0.0706105+0.0298018j -0.0161293-0.0121931j 0.00770515+0.0623125j 0.0628635+0.106028j 0.0167074-0.0116863j -0.0339989-0.0544425j -0.0726176-0.0502612j 0.0382464-0.0189597j 0.0112277+0.0086185j -0.000682008-0.046704j -0.00824037+0.0257998j 0.0542538-0.0151986j -0.00917113-0.0499643j -0.0166777+0.0137798j -0.00808264-0.0138967j 
0.0019631+0.000177715j 0.00294759-0.000629039j 0.0110976-0.0172624j 0.0128667+0.00742246j -0.0161141+0.00767605j -0.0330657-0.0358702j -0.0342858+0.0181963j -0.0072582-0.0126912j 0.00605662+0.00112111j 0.00180237-0.00286507j -0.010875+0.0147763j -0.0122932+0.00295473j 0.0137553-0.0571962j 0.0192382+0.00311926j -0.0248137+0.0318092j -0.0508331+0.000337232j -0.0168825-0.000848499j 0.00429098+0.0229554j -0.0353033-0.00685367j -0.00576676-0.012692j -0.0390213-0.0160365j -0.0314224+0.0158466j 0.00661892-0.04902j 0.0109456+0.00699438j -0.0106616-0.00277194j 0.000907944-0.00406432j -0.0105811-0.0199732j 0.0174326+0.0269864j -0.0053569-0.0344646j 0.027056-0.0364295j -0.0637215+0.0354697j 0.00859943-0.0152765j -0.0137964-0.006438j 0.00314511-0.0415403j -0.0444963-0.00643769j 0.0284003-0.00477491j 0.0307369-0.0247741j -0.0191714-0.0120148j -0.0068673-0.00339684j 0.0170637+0.00969086j 0.0329595+0.00314646j 0.0330394+0.0437568j 0.0208499+0.0156327j 0.0351258+0.0244174j 0.0230435-0.00820201j -0.00666485-0.0184934j 0.0184404-0.00217649j -0.00971406-0.0326536j -0.0294293-0.00348197j -0.00284441+0.0316774j -0.0113056-0.0511465j -0.0501107-0.00493392j 0.0046008+0.00940325j -0.0122565-0.0246568j -0.0045529+0.0138574j -0.00320426+0.000555792j 
0.0199677-0.0257195j -0.019668-0.0306559j -0.0293461+0.0389062j -0.0323789-0.0244923j -0.000830254-0.0584726j 0.0562801+0.0438622j 0.00737258+0.0283991j -0.0137192-0.0146762j 0.0281375+0.0721895j -0.000462673+0.0152597j 0.0340133-0.0209072j -0.0146793-0.0305122j 0.00803274+0.0206527j -0.0296164-0.0130821j 0.0349766-0.0346419j 0.0484624-0.018115j 0.0234748+0.0366087j 0.00453022-0.0300449j -0.0052054+0.0328777j -0.00462296+0.0214919j 0.00100912-0.0134703j -0.042673+0.0106127j 0.0212027+0.0209829j 0.00144536+0.0346889j 0.0148059+0.0169651j 0.00950019+0.017301j -0.00541331+0.0137401j 0.022057-0.0301019j 0.0293044+0.0237726j -0.0187482+0.00756948j 0.0281661-0.0124366j 0.0168134+0.0279279j -0.038311+0.0245412j -0.0103436-0.0148499j 0.027324-0.0490487j -0.0308137+0.00652215j -0.0115674+0.00389428j -0.000777694+0.0602039j 0.0275776+0.00835647j -0.0403055+0.00371385j -0.0321415-0.00212379j -0.0393277-0.0482815j 0.017972+0.0428429j -0.0192404-0.0337394j -0.0255107-0.0539784j 0.0499868+0.0241491j -0.0299318+0.0710202j -0.00181918+0.0302771j -0.0305767+0.0328691j 0.0580623+0.0231111j -0.00191617-0.0114223j 0.0713621-0.0142829j -0.0567106+0.0164212j 0.0236573+0.0310736j -0.0170667-0.0143568j 0.017344-0.0223972j 
-0.013309+0.0258207j 0.0165222+0.0236302j 0.0294948-0.0416813j 0.0399478+0.0217717j 0.00393716+0.0554739j -0.0293485-0.0158946j 0.0494171-0.0567826j 0.0392943+0.0443767j -0.0253364-0.0210012j 0.0697249+0.00769632j -0.0472452+0.0250292j 0.00693366+0.0341385j 0.00212613+0.0203561j 0.0342254+0.00565481j -0.0433868-0.0164262j -0.0234917+0.014595j -0.0194876-0.00615786j 0.00829716-0.00645105j 0.0872717-0.0116476j 0.00983534-0.0145563j -0.0216456+0.019111j 0.00482313-0.0154824j -0.0281251+0.0271733j -0.0240321-0.0489826j -0.0133963+0.0129746j 0.00229153+0.0494657j 0.000586294-0.0237054j -0.0367247+0.00251528j -0.0554643-0.0141243j -0.0493672+0.0200169j 0.0125789+0.0397001j 0.0149694+0.00701833j 0.0293667-0.0227057j -0.00615652+0.0290155j 0.0155915+0.085081j 0.0123033-0.0398824j 0.00401907+0.0289589j -0.0403566-0.056485j 0.0133014-0.0230468j 0.0518069-0.0107335j 0.00595837+0.0149463j 0.000547388-0.00375115j -0.0454857+0.0148098j -0.03903-0.0102962j -0.0176041+0.0821303j -0.00246871-0.027566j 0.0243671-0.0366302j -0.00909694-0.0310961j 0.0201361-0.0450189j -0.0627561-0.0499935j 0.00896244-0.0210293j 0.00656616-0.016206j 0.0480611-0.0444803j -0.0176759-0.0587664j 0.0118287+0.00617183j -0.0152928+0.0286078j 
-0.0026698-0.0043226j -0.00241995+0.00629568j 0.00601483-0.0191499j 0.0168779+0.00980178j 0.0106412-0.00557137j -0.0246409-1.32434e-05j -0.000137637-0.0035776j 0.0253238+0.0167104j -0.0388352+0.0161891j 0.00249993+0.01529j -0.0010004-0.00488099j -0.0140388+0.0105749j 0.00854948-0.00861638j -0.00388025+0.0107369j -0.0306725+0.0302795j -0.0124471+0.0498138j 0.0403582-0.0355458j 0.0174974+0.00536886j 0.0202365+0.0141798j 0.0568631+0.0237735j -0.00963418+0.00690034j -0.00904529+0.0207187j -0.000291854+0.0178464j -0.0412566-0.00633115j 0.0260717+0.00866356j -0.00113697+0.00242131j -0.00767961-0.0354529j 0.00123417-0.0255809j -0.0153588-0.0388018j -0.0342957+0.0356143j -0.0318298+0.0177022j 0.0252119+0.0241217j 0.00893587-0.018199j 0.0167617-0.0192679j -0.0149513+0.0112781j 0.042547-0.0131011j 0.0245474+0.00656589j 0.000224028+0.00770761j -0.00508645+0.0184923j 0.0287422+0.0415289j 0.0177506+0.0259007j 0.0205228+0.0317166j -0.0176319+0.0170973j -0.0108477+0.0197089j -0.0157071+0.0378089j 0.0101956+0.00894546j -0.0449873-0.0241704j -0.0172871+0.0215416j 0.00100446+0.0146234j -0.00943359-0.0115487j -0.0177869-0.00431125j -0.0104031-0.0167199j 0.0167771+0.0060313j -0.0104922-0.0183833j -0.00066062+0.00898248j -0.00038063-0.00351101j 
-0.00274919+0.00729639j 0.00455657+0.00383002j 0.0116061-0.00255734j 0.00437702+0.00897411j -0.00429208+0.0189297j -0.000170426-0.00668146j -0.00303388-0.0133213j 0.00193022-0.0213902j 0.0227999-0.0121961j 0.00921014-0.00732411j 0.00446402-0.0253231j 0.0479338+0.0361285j -0.00161561+0.0293976j 0.0209222-0.00406847j 0.00687328-0.00189985j 0.0033269+0.0120513j -0.008613-0.0191011j -0.00808517+0.035163j -0.0319615-0.0287664j -0.00121315+0.0124164j -0.00445718+0.0127789j 0.0228057-0.0173058j 0.000606041-0.00291865j -0.0139598-0.00255719j 0.00595557-0.0179993j -0.0353368-0.00160415j -0.0184149+0.0229385j -0.0158935+0.00392361j -0.00202557+0.0034843j -0.00649243-0.00123548j 0.00511272+0.00843919j -0.029945+0.00554389j 0.0168618-0.0198518j 0.0177362+0.00537161j -0.00600177-0.00538644j -0.0195991-0.0153214j -0.00540806+0.0257715j -0.00676465-0.0239588j -0.0320111+0.00190054j 0.000701777+0.00332628j 0.0308296+0.00750327j 0.0121779+0.00610568j -0.0203954-0.0245093j 0.00930521+0.0142244j -0.00827861-0.0204112j -0.03036-0.00917271j 0.0100985+0.00719329j -0.00662945+0.00366505j 0.0169767-0.00306768j -0.0152636-0.0281523j -0.0114742-0.00743322j 0.0162258-0.0132381j -0.00426094-0.00307269j 0.0169272-0.00823562j -0.00308532-0.0101978j 0.000508615+0.00437546j 
0.00647354-0.000754688j -0.00107906-0.00824443j -0.00442833+0.00455024j -0.0022608-0.00736145j -4.00733e-05-0.00183009j 0.0168438+0.0123968j 0.0139509-0.0102255j -0.00131907-0.00384713j 0.0100495-0.00537638j -0.0235037+0.036709j -0.0431317-0.00804112j -0.00931041-0.0182868j -0.00899605-0.0283517j 0.0141312+0.00126956j 0.0136721+0.00185211j -0.00814644+0.022323j 0.0145035+0.0264715j -0.00701235-0.00211064j -0.0115971-0.0067578j -0.00950783+0.00753494j 0.018515+0.00542826j -0.0200513-0.00525517j -0.0140816+0.0193399j 0.00210706+0.0100673j 0.00579618-0.011986j -0.00137349-0.00457726j -0.0060497+0.0231721j -0.00289741-0.0125791j -0.0126734+0.0108359j 0.0244026+0.0105017j 0.0345447-0.0134067j 0.0191901-0.0065799j 0.0174254+0.021972j -0.00906557+0.0320093j -0.00457727-0.0202999j 0.00474858-0.00640191j 0.0181837-0.0468001j -0.00339671-0.0209341j -0.00352145-0.00291738j -0.0503682+0.0046854j -0.0356097-0.0245553j 0.0270032+0.0556664j -0.00105312+0.014614j -0.00640933-0.0128823j -0.00335839+0.00337851j 0.0125746+0.00643745j -0.0256496+0.0152802j 0.0211703+0.00643739j -0.00378992-0.0100981j 0.000626495+0.00132883j 0.0115482-0.0127853j 0.0105368+0.00945139j -0.00570119-0.0133339j -0.00392912-0.00464122j 0.00114747-0.00193172j 0.00053839+0.00706482j 
0.00843055+0.00168773j -0.000165443-0.00703637j -0.00616656-0.000546645j 0.00494833-0.00410165j 0.00668149-0.00339616j -0.00672381+0.00304864j 0.0128397+0.0110157j -0.0146263+0.0182656j -0.0259681+0.0197617j 0.0103402+0.0189791j -0.00513059+0.00420771j 0.0151209+0.0143555j -0.0116171+0.0120061j -0.0151548+0.0215537j -0.00945843+0.0041698j 0.0191093-0.015477j -0.0209548-0.00412391j -0.0399047-0.0299454j 0.0022998-0.0165122j -0.0153862+0.012922j 0.0249085+0.00986017j -0.0102048-0.0175255j 0.00425591-0.00600919j 0.00667144-0.0118841j 0.0376168+0.0151851j 0.0158624+0.0164132j 0.0267541+0.0175308j -0.0113806-0.0019418j -0.0238975+0.00045622j 0.00896037-0.0134928j -0.00752762-0.0050054j -0.0139374-0.0171637j -0.0237932+0.0292264j -0.0187626+0.02244j -0.0212174+0.0130421j 0.0121636+0.0214312j -0.00492976+0.00782555j 0.00621546+0.0419821j -0.0184332+0.0212293j 0.0424844-0.0066545j -0.0336021+0.000655242j -0.0158432-0.00468203j -0.0168279+0.0188672j -0.00261305+0.00292364j 0.000462555-0.00882242j -0.0105755-0.0151631j -0.0143462-0.00761211j 0.00754704-0.00101171j 0.00309899-0.0145216j -0.0120737-0.00364779j 0.0128891+0.00188883j 0.0186267+0.00540353j -0.000768372-0.0106413j -0.00312746-0.00543232j 0.000212174-0.00190916j 0.00020087+0.00649493j 
0.0027501+0.0201434j 0.0140836-0.000186442j 0.0171732-0.0106759j 0.0147061+0.00581292j -0.00350479+0.0163229j 0.00998155-0.000788302j 0.045269-0.0245552j -0.0136078+0.0371648j 0.0272554-0.0158738j 0.0291663-0.0152049j -0.0239434+0.00994747j 0.00389787+0.00487608j -0.0232776-0.0024824j -0.00915762-0.0181729j 0.000592067-0.00113489j 0.00394282-0.0114257j 0.00754761-0.0159867j -0.0173897+0.00749599j -0.000969204-0.0176694j -0.00551804+0.00998162j 0.0235174+0.0103484j 0.00990031-0.0373545j 0.00841031+0.04315j 0.0168003+0.00393276j 0.00401271+0.0117295j -0.0289111+0.00618421j 0.00138849-0.00428943j 0.00989073+0.0140761j -0.0369298+0.0212744j 0.00156142-0.00877654j 0.056082+0.00269132j -0.00808863+0.00528178j -0.0174945+0.0436574j -0.00163247+0.0187063j -0.00160611+0.0293762j -0.022605-0.0104699j -0.0238415-0.0185873j -0.00650317-0.0285028j 0.0255762-0.0299475j 0.00864865-0.020651j 0.00906464-0.00309226j -0.00587127-0.0152092j -0.0405489-0.00644698j -0.0186412+0.00345642j -0.040201-0.0172238j -0.0283035-0.0083893j 0.00455633-0.0165794j 0.030542+0.0122826j -0.00202378-0.0191683j -0.0421328-0.0162941j -1.44843e-05+0.00275551j -0.00367554-0.029523j -0.0106108-0.00398363j -0.0362942-0.0175169j 0.0154442+0.00367369j 0.00945795+0.032356j 
-0.00178671+0.000634462j -0.00151938+0.00847863j -0.0051219-0.00417854j 0.00206689-0.00472118j 0.033763+0.00973246j -0.00826543-0.00337887j -0.00861495-0.0231394j 0.00213177-0.000278079j -0.022201-0.0211402j -0.00240496-0.0141721j -0.00717432+0.00551141j 0.0172145+0.00247244j -0.00439837+0.00934129j 0.0125595-0.010072j -0.0165469+0.00249639j -0.00438508-0.00873504j -0.0228698+0.00307117j 0.019037-0.00284302j -0.00156889-0.00384256j -0.00081458+0.000581849j -0.0138685-0.0233861j 0.0171932-0.0385633j -0.00819312+0.0121721j 0.0145491-0.0185975j 0.0142602+0.000166848j -0.0147781-0.00856599j 0.0287049+0.00311399j -0.00305004+0.00210804j -0.0270565-0.00915903j 0.00268186+0.0232908j 0.00653041+0.00945859j 0.0152956-0.0153526j 0.0192638-0.011891j 7.71816e-05-0.00718453j 0.0090361+0.0299664j 0.0199466-0.019097j 0.0104096-0.00691426j 0.0279561-0.00162827j -0.0280044+0.00264176j 0.0138026+0.00125453j -0.0203575-0.00135177j 0.00447778+0.0122413j 0.0151982-0.0414312j 0.0122627-0.00362374j -0.00886263+0.0287778j -0.00036046-0.00790931j 0.0384049+0.010142j -0.0108552+0.0137411j 0.00417709+0.00184189j -0.0163687-0.00705772j -0.025082+0.000614196j 0.00705426-0.0112533j -0.00432802+0.0209895j 0.00262291-0.0126591j 0.00292174+0.00723458j 0.00465254+0.0158909j 
0.0142703-0.0100327j -0.0120128-0.0211608j -0.0250199-0.00113195j 0.0119748-0.0152255j -0.0175357-0.0243787j 0.04222+0.00978769j 0.0230377-0.0030995j -0.00960261-0.0177978j 0.000415548+0.0342502j 0.00172204+0.0117809j 0.0295501-0.0391533j -0.00772535+0.0465041j 0.000185019+0.00588407j -0.0275729-0.00755961j 0.0132415+0.00873723j -0.00834927+0.0456199j -0.0122205+0.0151052j 0.0350387+0.00366604j 0.00959756+0.0321131j -0.000822826-0.00350259j 0.0796819-0.0170343j -0.0195559-0.00920201j 0.00949045-0.0170158j -0.0260377-0.0226104j -0.0147905+0.00668538j 0.0465141-0.00371249j 0.0271818+0.0159654j 0.00837266-0.0126819j 0.00781433+0.0643389j -0.0124464-0.00075027j -0.00865315-0.0349553j 0.0220477-0.00460801j 0.0202033-0.0055215j -0.00640236-0.0341902j 0.00802708-0.0353238j -0.050398+0.0247052j -0.00533728-0.0210242j 0.0115474+0.0215543j 0.00366085+0.00203029j -0.0077166-0.00117231j -0.0325617-0.0324203j 0.00560075-0.00370741j 0.00614731+0.0226132j 0.0228619-0.0146055j -0.0200371-0.0374872j 0.00885929-0.0121905j 0.00039794+0.0133656j -0.0299403+0.0497452j 0.00210952+0.0262029j 0.0447208+0.00555301j 0.0423414-0.00792245j 0.0330537-0.0381169j -0.0260081-0.0131858j 0.0231444-0.00535518j -0.0153043-0.0428645j 0.0181864-0.00434358j 
-0.010477-0.00680965j -0.00316605+0.00959711j -0.00660925-0.00314949j -0.00894809-0.0107664j 0.0103191+0.00564453j 0.00442831+0.00234812j -0.0115394+0.0068643j -0.0146527-0.00553958j -0.0188815-0.0174265j 0.00998683-0.0240908j -0.00918604+0.0128593j 0.00456185-0.0362551j 0.00482912+0.00510144j -0.036968-0.00508628j -0.0214328+0.0259161j 0.00839258-0.0242327j 0.0115993+0.00505841j 0.00686022+1.38755e-05j -0.00319243+0.0309244j 0.0116377-0.0231413j 0.0217413+0.0207141j 0.0524692+0.0246168j -0.0160272+0.0121475j 0.00553043-0.0249623j 0.00676031+0.0010492j 0.0140517-0.0043831j 0.016061-0.0374377j -0.00305076+0.00952552j 0.0119488+0.00403132j 0.0138138+0.0256094j 0.00251081+0.000811741j 0.00106617-0.00459184j -0.0039184+0.00974621j -0.00811605+0.0128118j -0.0134091+0.0238834j -0.00153355+0.0154783j 0.00322649+0.00275604j 0.00437752+0.00919671j -0.000771324-0.00258074j 0.00794825+0.014378j 0.00722716+0.025379j -0.0124905+0.00585536j -0.00447422-0.0110801j 0.00720386-0.00812697j 0.0150209+0.00301915j -0.00077456+0.0193605j -0.00178325+0.00880837j 0.0182753-0.0120293j -0.000976959+0.0120864j 0.000632785+0.00426922j -0.0191155+0.00317725j -0.00513104+0.014536j -0.0014287+0.00426064j 0.00130879+0.0133958j 0.000579218+0.0143017j -0.00869878-0.0081366j 
