-0.365157-0j -0.405607-0j 0.719454-0j 0.0279917-0j 0.25566-0j -0.0359955-0j -0.0427646-0j 0.0423432-0j 0.35785-0j -0.0503833-0j 0.103292-0j -0.0292062-0j -0.00421555-0j 0.0459089-0j -0.0185923-0j 0.0518051-0j 0.0160598-0j 0.00231803-0j 0.00747742-0j -0.00268357-0j -0.0260239-0j -0.00375622-0j 0.0257674-0j 0.0037192-0j -0.0316656-0j -0.00457053-0j 0.0171783-0j 0.00247947-0j 0.0518623-0j 0.00153409-0j 0.00748568-0j 0.0106285-0j 0.0294484-0j 0.00425052-0j 
-0.00788613-0j 0.00303672-0j 0.00109601-0j 0.063083-0j 0.00174124-0j -0.024125-0j -0.0297508-0j 0.0873922-0j 0.0026029-0j -0.0360634-0j -0.00679107-0j -0.000648971-0j -0.419089-0j -0.0319252-0j 0.000126679-0j -0.000234226-0j 0.000127553-0j 0.0823705-0j -0.151257-0j 0.0818061-0j 0.000189367-0j 0.122288-0j -0.000556261-0j -0.359219-0j 0.000237075-0j 0.153097-0j 0.00012495-0j 0.0806894-0j 2.0588e-05-0j 0.634674-0j 0.0132952-0j 0.00098281-0j 0.0002142-0j 0.138325-0j 
-0.00769254-0j -4.33985e-05-0j 0.00323864-0j 0.0613369-0j -0.00174826-0j 0.000170585-0j -0.0143584-0j -0.0434135-0j -0.0026134-0j 0.000255-0j -0.0132542-0j -0.000892347-0j -0.000127984-0j 0.0158594-0j -0.0118891-0j 0.066592-0j -0.0241176-0j -0.00345905-0j 0.00955089-0j -0.00170518-0j -0.0177725-0j -0.002549-0j -0.053736-0j -0.00770704-0j 0.000325983-0j 4.67538e-05-0j 0.0120704-0j 0.00173119-0j -0.00977439-0j 0.0136169-0j -0.00140188-0j 0.0949416-0j 0.0206921-0j 0.00296775-0j 
0.00747742-0j -0.00526742-0j -0.00911043-0j -0.0145764-0j 0.00109601-0j 0.0446913-0j -0.0837216-0j -0.0173546-0j 0.00153409-0j 0.0625548-0j 0.0748137-0j -0.000379287-0j -0.244934-0j -0.018816-0j 0.00038072-0j -0.000656006-0j 8.74744e-05-0j 0.0564888-0j -0.423633-0j 0.24586-0j 0.000532897-0j 0.344132-0j 0.000110464-0j 0.0713349-0j -0.000411226-0j -0.26556-0j 7.36427e-05-0j 0.0475566-0j 0.00039311-0j 0.0294241-0j 0.253861-0j 4.55641e-05-0j 0.000126245-0j 0.0815256-0j 
-0.0518051-0j 0.0364938-0j 0.0631189-0j -0.00105631-0j -0.00759337-0j 0.00323864-0j -0.00606704-0j -0.00125763-0j -0.0106285-0j 0.00453315-0j 0.00542151-0j -0.252829-0j 0.000379287-0j -0.00136354-0j 0.253784-0j -0.437287-0j 0.0583096-0j -8.74744e-05-0j 0.000656006-0j -0.00038072-0j 0.355224-0j -0.000532897-0j 0.0736342-0j -0.000110464-0j -0.274119-0j 0.000411226-0j 0.0490895-0j -7.36427e-05-0j 0.262043-0j -4.55641e-05-0j -0.00039311-0j 0.0303726-0j 0.0841534-0j -0.000126245-0j 
0.00307932-0j -0.0068227-0j -0.00606704-0j 0.0111658-0j -0.00215595-0j -0.0143584-0j 0.0340267-0j -0.0336914-0j -0.00301769-0j -0.0200976-0j 0.0412025-0j 0.0472676-0j 0.00677931-0j 0.0183128-0j -0.015085-0j 0.0420324-0j -0.0259914-0j -0.00372779-0j 0.00602847-0j -0.00216356-0j -0.0211147-0j -0.00302835-0j 0.0209066-0j 0.00299851-0j -0.0256921-0j -0.00368487-0j -0.0695407-0j -0.00997381-0j 0.0420789-0j 0.00123682-0j 0.00603513-0j 0.00862352-0j 0.0238932-0j 0.00342686-0j 
-0.00300006-0j -0.00695058-0j 0.00125763-0j 0.0118736-0j -0.00633304-0j 0.0434135-0j 0.0336914-0j -0.0328109-0j 0.00298674-0j -0.0204744-0j -0.00385551-0j -0.0473812-0j -0.0067956-0j -0.018125-0j 0.0443299-0j 0.00857312-0j 0.0280896-0j 0.00402873-0j 0.00122959-0j 0.00635798-0j -0.0209066-0j -0.00299851-0j 0.0203602-0j 0.00292015-0j -0.0261737-0j -0.00375394-0j 0.0688274-0j 0.00987152-0j -0.00227297-0j 0.00606177-0j -0.000325999-0j 0.0422646-0j -0.0236482-0j -0.00339172-0j 
0.0257674-0j 0.0294484-0j 0.0106285-0j 0.00215595-0j 0.0180334-0j 0.0026134-0j 0.00301769-0j 0.00298674-0j -0.0761813-0j -0.0110402-0j 0.000688835-0j -0.204019-0j 0.000306063-0j 0.00323826-0j -0.12623-0j -0.0736342-0j -0.119011-0j 0.000178537-0j 0.000110464-0j 0.000189367-0j 0.533253-0j -0.000799971-0j 0.527784-0j -0.000791766-0j -0.221199-0j 0.000331836-0j -0.116582-0j 0.000174893-0j -0.0192093-0j 0.00010821-0j 2.88173e-05-0j -0.0721315-0j -0.199855-0j 0.000299817-0j 
-0.0037192-0j -0.00425052-0j -0.00153409-0j 0.0297508-0j -0.0026029-0j 0.0360634-0j 0.0416424-0j 0.0412153-0j 0.0109958-0j -0.152348-0j 0.00950551-0j -0.000306063-0j -0.197648-0j 0.044686-0j -0.000189367-0j -0.000110464-0j -0.000178537-0j -0.115295-0j -0.0713349-0j -0.122288-0j 0.000799971-0j 0.516602-0j 0.000791766-0j 0.511303-0j -0.000331836-0j -0.214292-0j -0.000174893-0j -0.112942-0j -2.88173e-05-0j -0.0698791-0j -0.0186095-0j -0.00010821-0j -0.000299817-0j -0.193614-0j 
-0.0036279-0j 6.07452e-05-0j -0.00453315-0j 0.0289273-0j 0.0026134-0j -0.000255-0j 0.0200976-0j -0.0204744-0j -0.0110402-0j 0.00107724-0j 0.018552-0j -0.000420842-0j -6.0359e-05-0j -0.0221985-0j 0.0177725-0j 0.0314056-0j 0.0337576-0j 0.00484166-0j 0.00450432-0j 0.002549-0j -0.075079-0j -0.0107681-0j 0.0764863-0j 0.01097-0j -0.000456281-0j -6.54418e-05-0j -0.0168951-0j -0.00242316-0j 0.0136813-0j -0.00149925-0j 0.00196223-0j -0.0104533-0j -0.028963-0j -0.00415399-0j 
0.00016527-0j 0.000410261-0j -8.80258e-05-0j -0.00841327-0j 0.000380952-0j 0.0155503-0j 0.00283078-0j -0.00301023-0j -0.000179662-0j -0.00733374-0j -0.00914179-0j -2.90674e-05-0j -0.0575206-0j 0.00331693-0j 2.53819e-05-0j 6.23672e-06-0j -3.40891e-05-0j -0.0674577-0j 0.0123416-0j 0.0502274-0j -1.19704e-05-0j -0.0236879-0j 1.27292e-05-0j 0.0251895-0j 3.2029e-05-0j 0.0633811-0j -8.62451e-06-0j -0.0170668-0j 6.28624e-05-0j 0.0522895-0j 0.124396-0j 2.64239e-05-0j -1.47849e-05-0j -0.0292573-0j 
-0.0174192-0j 0.038595-0j 0.0343204-0j 0.0013353-0j 0.0121959-0j -0.00171711-0j 0.00406922-0j -0.00402911-0j 0.0170707-0j -0.00240345-0j 0.00492736-0j 0.00277907-0j 0.000401125-0j 0.00219001-0j -0.000886918-0j 0.00247128-0j -0.00152815-0j -0.00022057-0j 0.000356698-0j -0.000128016-0j -0.00124143-0j -0.000179184-0j 0.00122919-0j 0.000177419-0j -0.00151056-0j -0.00021803-0j -0.00408861-0j -0.00059014-0j 0.00247401-0j 7.31814e-05-0j 0.000357092-0j 0.000507016-0j 0.00140479-0j 0.000202764-0j 
0.0112189-0j 0.0278494-0j -0.00597539-0j 0.0039686-0j 0.0258599-0j -0.0073352-0j -0.0013353-0j 0.00141995-0j -0.0121959-0j 0.00345938-0j 0.00431225-0j -0.00197316-0j -0.000284801-0j -0.00156462-0j 0.00172298-0j 0.000423363-0j -0.00231404-0j -0.000334003-0j 6.11071e-05-0j 0.000248691-0j -0.00081258-0j -0.000117286-0j 0.00086409-0j 0.000124721-0j 0.0021742-0j 0.000313818-0j -0.000585451-0j -8.45026e-05-0j 0.00426724-0j 0.000258901-0j 0.000615923-0j 0.00179372-0j -0.00100363-0j -0.000144862-0j 
-0.00025661-0j 0.000568558-0j 0.000505587-0j -0.00283078-0j 0.000179662-0j 0.0036402-0j -0.00862657-0j 0.00854155-0j 0.000251475-0j 0.00509522-0j -0.0104458-0j 4.09396e-05-0j 0.0810141-0j -0.00464273-0j -1.30655e-05-0j 3.64053e-05-0j -2.25118e-05-0j -0.0445479-0j 0.0720414-0j -0.025855-0j -1.82879e-05-0j -0.0361894-0j 1.81077e-05-0j 0.0358328-0j -2.22526e-05-0j -0.0440349-0j -6.02309e-05-0j -0.119189-0j 3.64456e-05-0j 0.0147803-0j 0.072121-0j 7.46905e-06-0j 2.06945e-05-0j 0.0409517-0j 
0.0169709-0j 0.0393184-0j -0.00711426-0j 0.00141995-0j 0.0358251-0j 0.00519177-0j 0.00402911-0j -0.00392382-0j -0.0168956-0j -0.0024485-0j -0.000461076-0j -0.00278575-0j -0.000402089-0j -0.00216755-0j 0.00260636-0j 0.000504052-0j 0.00165151-0j 0.000238376-0j 7.27537e-05-0j 0.000376195-0j -0.00122919-0j -0.000177419-0j 0.00119707-0j 0.000172782-0j -0.00153887-0j -0.000222117-0j 0.00404668-0j 0.000584087-0j -0.000133638-0j 0.000358668-0j -1.9289e-05-0j 0.00248493-0j -0.00139038-0j -0.000200684-0j 
0.0435156-0j 0.000245499-0j -0.0183205-0j 0.0073352-0j 0.00988966-0j 2.04001e-05-0j -0.00171711-0j -0.00519177-0j 0.0147836-0j 3.04951e-05-0j -0.00158505-0j -5.24651e-05-0j -7.57269e-06-0j 0.0018966-0j -0.000699013-0j 0.00391524-0j -0.00141798-0j -0.000204668-0j 0.000565116-0j -0.000100894-0j -0.00104492-0j -0.000150822-0j -0.00315938-0j -0.000456017-0j 1.9166e-05-0j 2.76638e-06-0j 0.000709674-0j 0.000102433-0j -0.000574681-0j 0.000805699-0j -8.2948e-05-0j 0.00558205-0j 0.00121658-0j 0.000175599-0j 
0.000250005-0j 0.000579215-0j -0.000104803-0j -0.00301023-0j 0.000527753-0j -0.0110063-0j -0.00854155-0j 0.00831834-0j -0.000248895-0j 0.00519073-0j 0.000977463-0j -4.1038e-05-0j -0.0812088-0j 0.00459511-0j 3.83953e-05-0j 7.42539e-06-0j 2.43291e-05-0j 0.0481441-0j 0.0146939-0j 0.0759791-0j -1.81077e-05-0j -0.0358328-0j 1.76345e-05-0j 0.0348963-0j -2.26697e-05-0j -0.0448604-0j 5.96132e-05-0j 0.117967-0j -1.96868e-06-0j 0.0724393-0j -0.00389575-0j 3.66064e-05-0j -2.04823e-05-0j -0.0405317-0j 
-0.00743762-0j 0.00315737-0j 0.00542151-0j -0.0360589-0j -0.000492127-0j -0.0132542-0j 0.0412025-0j 0.00385551-0j -0.000688835-0j -0.018552-0j 0.0451915-0j -0.0218742-0j -0.00313729-0j 0.00418018-0j 0.0364357-0j -0.0375602-0j -0.0420802-0j -0.00603531-0j -0.00538704-0j 0.00522575-0j 0.0509993-0j 0.00731453-0j 0.00477224-0j 0.000684455-0j -0.0237162-0j -0.00340148-0j 0.0031815-0j 0.000456303-0j 0.0749373-0j 0.000282323-0j 0.0107478-0j 0.00196845-0j 0.00545399-0j 0.000782234-0j 
0.000641045-0j 3.61654e-06-0j -0.000269886-0j -0.0155503-0j 0.000145689-0j -4.32473e-05-0j 0.0036402-0j 0.0110063-0j 0.000217783-0j -6.46485e-05-0j 0.00336025-0j -7.72884e-07-0j -0.00152944-0j -0.00402072-0j -1.02974e-05-0j 5.7677e-05-0j -2.08889e-05-0j -0.0413363-0j 0.114135-0j -0.0203773-0j -1.53932e-05-0j -0.0304611-0j -4.65421e-05-0j -0.0921006-0j 2.82342e-07-0j 0.000558718-0j 1.04545e-05-0j 0.020688-0j -8.46585e-06-0j 0.162725-0j -0.0167528-0j 8.22313e-05-0j 1.7922e-05-0j 0.0354652-0j 
0.0205225-0j -0.000343627-0j 0.0256434-0j 0.00345938-0j -0.0147836-0j -3.04951e-05-0j 0.00240345-0j -0.0024485-0j 0.0624527-0j 0.000128825-0j 0.00221861-0j -2.47432e-05-0j -3.57138e-06-0j -0.00265469-0j 0.00104492-0j 0.00184648-0j 0.00198476-0j 0.000286476-0j 0.000266516-0j 0.000150822-0j -0.00441423-0j -0.00063714-0j 0.00449698-0j 0.000649083-0j -2.68268e-05-0j -3.87212e-06-0j -0.000993337-0j -0.000143376-0j 0.000804385-0j -8.87093e-05-0j 0.000116103-0j -0.000614596-0j -0.00170286-0j -0.000245787-0j 
0.000302325-0j -5.0621e-06-0j 0.000377762-0j -0.00733374-0j -0.000217783-0j 6.46485e-05-0j -0.00509522-0j 0.00519073-0j 0.000920015-0j -0.000273104-0j -0.00470337-0j -3.64502e-07-0j -0.000721302-0j 0.00562784-0j 1.53932e-05-0j 2.72012e-05-0j 2.92383e-05-0j 0.0578587-0j 0.0538276-0j 0.0304611-0j -6.50278e-05-0j -0.128681-0j 6.62467e-05-0j 0.131094-0j -3.95197e-07-0j -0.000782042-0j -1.46332e-05-0j -0.0289572-0j 1.18497e-05-0j -0.0179164-0j 0.023449-0j -9.05385e-06-0j -2.50855e-05-0j -0.049641-0j 
-0.00330572-0j -0.00377796-0j -0.00136354-0j 0.0130833-0j -0.00231352-0j 0.0158594-0j 0.0183128-0j 0.018125-0j -0.00323826-0j 0.0221985-0j 0.00418018-0j 0.0261737-0j 0.00375394-0j -0.0796718-0j 0.0161942-0j 0.00944659-0j 0.015268-0j 0.0021898-0j 0.00135487-0j 0.00232263-0j 0.0226671-0j 0.00325101-0j 0.0224346-0j 0.00321766-0j -0.115051-0j -0.0165011-0j 0.0149564-0j 0.00214511-0j 0.00246438-0j 0.00132722-0j 0.000353451-0j 0.00925381-0j 0.0256396-0j 0.00367733-0j 
0.000619802-0j -0.000263114-0j -0.000451793-0j 0.00914179-0j 4.10106e-05-0j 0.00336025-0j -0.0104458-0j -0.000977463-0j 5.74029e-05-0j 0.00470337-0j -0.0114571-0j -1.89458e-05-0j -0.0374913-0j -0.00105977-0j 3.15578e-05-0j -3.25318e-05-0j -3.64467e-05-0j -0.0721232-0j -0.0643762-0j 0.0624488-0j 4.41718e-05-0j 0.0874101-0j 4.13336e-06-0j 0.00817937-0j -2.05412e-05-0j -0.0406484-0j 2.75557e-06-0j 0.00545292-0j 6.49051e-05-0j 0.00337382-0j 0.128439-0j 1.70492e-06-0j 4.72384e-06-0j 0.00934785-0j 
0.0187-0j 0.0213714-0j 0.00771334-0j 0.00156462-0j 0.0130873-0j 0.0018966-0j 0.00219001-0j 0.00216755-0j 0.0183183-0j 0.00265469-0j 0.000499903-0j 0.00153887-0j 0.000222117-0j -0.00952785-0j 0.000952128-0j 0.000555408-0j 0.000897675-0j 0.000129568-0j 8.01662e-05-0j 0.000137428-0j 0.0013327-0j 0.000192359-0j 0.00131903-0j 0.000190386-0j -0.00676439-0j -0.000976356-0j 0.000879355-0j 0.000126924-0j 0.000144892-0j 7.85302e-05-0j 2.09133e-05-0j 0.000544073-0j 0.00150747-0j 0.000217584-0j 
0.0420735-0j -0.0178608-0j -0.0306687-0j -0.00431225-0j 0.00278389-0j -0.00158505-0j 0.00492736-0j 0.000461076-0j 0.00389664-0j -0.00221861-0j 0.0054044-0j -0.00128608-0j -0.00018563-0j 0.000499903-0j 0.00214222-0j -0.00220833-0j -0.00247408-0j -0.000357103-0j -0.000318746-0j 0.000309202-0j 0.00299848-0j 0.000432793-0j 0.000280582-0j 4.04985e-05-0j -0.00139439-0j -0.000201262-0j 0.000187055-0j 2.6999e-05-0j 0.0044059-0j 1.67048e-05-0j 0.000635937-0j 0.000115734-0j 0.000320665-0j 4.6284e-05-0j 
0.000275477-0j 0.00031483-0j 0.000113628-0j -0.00331693-0j 0.000192793-0j -0.00402072-0j -0.00464273-0j -0.00459511-0j 0.000269855-0j -0.00562784-0j -0.00105977-0j 2.26697e-05-0j 0.0448604-0j 0.0201987-0j 1.40262e-05-0j 8.18193e-06-0j 1.3224e-05-0j 0.0261685-0j 0.016191-0j 0.0277559-0j 1.96325e-05-0j 0.0388502-0j 1.94312e-05-0j 0.0384517-0j -9.96489e-05-0j -0.197192-0j 1.29541e-05-0j 0.0256345-0j 2.13446e-06-0j 0.0158605-0j 0.00422381-0j 8.01495e-06-0j 2.22071e-05-0j 0.0439448-0j 
