-0.0317002-0j -0.00528337-0j -0.00323539-0j -0.000660421-0j -3.89157e-05-0j -0.0284679-0j -0.00459399-0j -0.00375098-0j -0.000541407-0j -0.000468873-0j -5.52572e-05-0j -2.52213e-06-0j -0.0182609-0j -0.0184501-0j -0.0028873-0j -0.00291722-0j -0.00228261-0j -0.00152174-0j -0.000329466-0j -0.00230626-0j -0.00153751-0j -0.000332881-0j -0.000380435-0j -0.000134504-0j -3.17029e-05-0j -0.000384377-0j -0.000135898-0j -3.3626e-05-0j -3.20315e-05-0j -3.39745e-05-0j -2.80217e-06-0j -1.04431e-07-0j -2.83121e-06-0j -1.05513e-07-0j -0.0137175-0j -0.0169745-0j -0.00990179-0j -0.00213859-0j -0.00264637-0j -0.00154371-0j -0.00165654-0j -0.000239101-0j -0.00151221-0j -0.00204987-0j -0.000295873-0j -0.00119575-0j -0.000267323-0j -0.00187126-0j -0.000172592-0j -0.000178215-0j -2.22769e-05-0j -0.00109157-0j -0.000154339-0j -0.000330796-0j -0.00022053-0j -3.15043e-05-0j -0.000192964-0j -2.75663e-05-0j -1.57522e-05-0j -0.000190985-0j -0.000128643-0j -1.85641e-06-0j -1.60803e-05-0j -0.000111408-0j -2.27363e-06-0j -3.89846e-05-0j -1.94923e-05-0j -1.46762e-07-0j -2.29719e-06-0j -2.2741e-05-0j -1.13705e-05-0j -2.81347e-06-0j -4.62258e-09-0j -1.34003e-06-0j -1.64119e-06-0j -1.81609e-07-0j -1.05939e-07-0j -5.72014e-09-0j -3.33675e-09-0j 
0.00366951-0j -0.0289295-0j 0.000374518-0j -0.00730883-0j -0.000865858-0j -0.00320154-0j 0.0244387-0j -0.00042184-0j 0.00582114-0j 0.00249426-0j 0.000894283-0j 6.82195e-05-0j 0.00211382-0j -0.00213486-0j -0.0158096-0j 0.015967-0j 0.000264227-0j 0.000176151-0j -0.00364618-0j -0.000266857-0j -0.000177905-0j 0.00368247-0j -0.0020831-0j 1.55697e-05-0j -0.000528115-0j 0.00210384-0j -1.57247e-05-0j -0.000372136-0j 0.000533372-0j 0.00037584-0j -6.23471e-05-0j -3.49135e-06-0j 6.29677e-05-0j 3.5261e-06-0j 0.00158789-0j -0.00190897-0j 0.0010497-0j -0.01171-0j 0.0140779-0j -0.00774111-0j 0.000191755-0j -0.00264611-0j 0.000175048-0j -0.00023053-0j 0.00318118-0j 0.000126764-0j -0.00146375-0j -0.000210444-0j -0.00174926-0j -0.000975833-0j -0.000371095-0j 0.000115719-0j 1.78658e-05-0j 0.00175973-0j 0.00117316-0j -0.000348656-0j -0.000967639-0j 0.000446134-0j -8.62523e-05-0j -2.14784e-05-0j -0.000645092-0j -4.13044e-05-0j -0.000245319-0j 1.18105e-05-0j -3.78747e-05-0j 0.000419158-0j 0.000103693-0j -4.08599e-06-0j 4.96565e-05-0j -0.000230485-0j -5.70186e-05-0j 4.55333e-05-0j -1.80389e-07-0j -2.7305e-05-0j -2.50378e-05-0j 4.91222e-06-0j -2.70112e-06-0j 2.16866e-07-0j -1.1925e-07-0j 
0.00423718-0j -0.0334049-0j 0.000432456-0j -0.00843951-0j -0.000999807-0j 5.41617e-05-0j -0.000413439-0j 7.13644e-06-0j -9.84786e-05-0j -4.21965e-05-0j -1.5129e-05-0j -1.1541e-06-0j -0.00240167-0j -0.00239591-0j 0.0179625-0j 0.0179195-0j -0.000300209-0j -0.000200139-0j 0.0041427-0j -0.000299489-0j -0.00019966-0j 0.00413277-0j 0.00236677-0j -1.769e-05-0j 0.000600033-0j 0.0023611-0j -1.76476e-05-0j 0.000422813-0j 0.000598594-0j 0.000421799-0j 7.08374e-05-0j 3.9668e-06-0j 7.06676e-05-0j 3.95729e-06-0j -0.00365734-0j -3.17768e-05-0j -0.00259051-0j 0.0269713-0j 0.000234341-0j 0.0191039-0j -0.000441666-0j 0.00609473-0j -0.000403184-0j -3.83742e-06-0j 5.29541e-05-0j -0.000312834-0j 0.00337142-0j -3.50307e-06-0j 0.00431692-0j 0.00224761-0j 0.000854734-0j -0.000285577-0j -4.11498e-05-0j 2.92926e-05-0j 1.95284e-05-0j 0.000803051-0j 0.00238799-0j 7.42636e-06-0j 0.000198663-0j -3.5753e-07-0j 0.001592-0j 9.51354e-05-0j 0.000605412-0j -2.91466e-05-0j 8.72359e-05-0j 6.97731e-06-0j 1.72608e-06-0j 9.41117e-06-0j 8.26584e-07-0j 0.000568805-0j 0.000140714-0j 7.57949e-07-0j 4.15487e-07-0j 6.73849e-05-0j 6.17896e-05-0j 8.1769e-08-0j 6.66598e-06-0j 3.60996e-09-0j 2.94291e-07-0j 
0.00149807-0j -0.0118104-0j 0.000152896-0j -0.00298382-0j -0.000353485-0j 0.00134532-0j -0.0102694-0j 0.000177262-0j -0.0024461-0j -0.00104812-0j -0.000375787-0j -2.86666e-05-0j -0.00427328-0j 0.000871905-0j 0.0319607-0j -0.00652114-0j -0.00053416-0j -0.000356107-0j 0.00737109-0j 0.000108988-0j 7.26587e-05-0j -0.00150397-0j 0.00421119-0j -3.14757e-05-0j 0.00106763-0j -0.000859236-0j 6.42218e-06-0j 0.000752309-0j -0.000217836-0j -0.000153498-0j 0.000126041-0j 7.0581e-06-0j -2.57169e-05-0j -1.44011e-06-0j 0.000648252-0j -0.00397225-0j 0.000467933-0j -0.00478058-0j 0.0292937-0j -0.00345081-0j 7.82839e-05-0j -0.00108027-0j 7.14631e-05-0j -0.000479695-0j 0.0066195-0j 5.65083e-05-0j -0.000597573-0j -0.000437899-0j -0.000779781-0j -0.000398382-0j -0.000151499-0j 5.15848e-05-0j 7.29367e-06-0j 0.00366171-0j 0.00244114-0j -0.000142338-0j -0.000431351-0j 0.000928329-0j -3.52123e-05-0j -4.46929e-05-0j -0.000287567-0j -1.68624e-05-0j -0.000109358-0j 5.26485e-06-0j -1.54623e-05-0j 0.000872196-0j 0.000215768-0j -1.6681e-06-0j 0.000103327-0j -0.000102745-0j -2.54176e-05-0j 9.47472e-05-0j -7.36437e-08-0j -1.2172e-05-0j -1.11613e-05-0j 1.02215e-05-0j -1.2041e-06-0j 4.51262e-07-0j -5.31588e-08-0j 
-0.00247169-0j 0.0194862-0j -0.000252266-0j 0.00492305-0j 0.000583221-0j 0.00434455-0j -0.0331638-0j 0.000572445-0j -0.0078994-0j -0.00338476-0j -0.00121356-0j -9.25752e-05-0j -0.00142381-0j -0.00131746-0j 0.010649-0j 0.00985353-0j -0.000177977-0j -0.000118651-0j 0.00245597-0j -0.000164682-0j -0.000109788-0j 0.00227252-0j 0.00140313-0j -1.04874e-05-0j 0.000355725-0j 0.00129832-0j -9.70401e-06-0j 0.000250662-0j 0.000329154-0j 0.000231938-0j 4.19955e-05-0j 2.35169e-06-0j 3.88585e-05-0j 2.17602e-06-0j 0.00213345-0j 0.00259051-0j -0.00298931-0j -0.0157333-0j -0.0191039-0j 0.0220449-0j 0.000257638-0j -0.00355526-0j 0.000235191-0j 0.000312834-0j -0.00431692-0j -0.000360994-0j -0.00196666-0j 0.000285577-0j 0.0049815-0j -0.00131111-0j -0.000498595-0j -0.00032954-0j 2.4004e-05-0j -0.00238799-0j -0.001592-0j -0.000468446-0j 0.00275561-0j -0.000605412-0j -0.000115887-0j 2.91466e-05-0j 0.00183708-0j -5.54956e-05-0j 0.000698612-0j -3.36336e-05-0j -5.08876e-05-0j -0.000568805-0j -0.000140714-0j -5.48985e-06-0j -6.73849e-05-0j 0.00065637-0j 0.000162376-0j -6.17896e-05-0j -2.42367e-07-0j 7.77585e-05-0j 7.13018e-05-0j -6.66598e-06-0j 7.69218e-06-0j -2.94291e-07-0j 3.39596e-07-0j 
-0.00262162-0j 0.0206682-0j -0.000267568-0j 0.00522168-0j 0.000618599-0j 0.00228729-0j -0.0174598-0j 0.000301377-0j -0.00415882-0j -0.00178199-0j -0.000638907-0j -4.87384e-05-0j 0.0044821-0j 0.00152521-0j -0.0335225-0j -0.0114074-0j 0.000560262-0j 0.000373508-0j -0.00773129-0j 0.000190652-0j 0.000127101-0j -0.00263088-0j -0.00441697-0j 3.30138e-05-0j -0.00111981-0j -0.00150305-0j 1.12343e-05-0j -0.000789071-0j -0.000381059-0j -0.000268513-0j -0.0001322-0j -7.403e-06-0j -4.49863e-05-0j -2.51917e-06-0j -0.00113444-0j -0.00404775-0j -0.000749943-0j 0.00836602-0j 0.0298505-0j 0.00553051-0j -0.000136997-0j 0.00189047-0j -0.00012506-0j -0.000488813-0j 0.00674532-0j -9.05642e-05-0j 0.00104575-0j -0.000446223-0j 0.00124973-0j 0.000697169-0j 0.000265123-0j -8.26735e-05-0j -1.27639e-05-0j 0.00373131-0j 0.00248754-0j 0.000249092-0j 0.000691314-0j 0.000945974-0j 6.16216e-05-0j -4.55424e-05-0j 0.000460876-0j 2.95093e-05-0j 0.000175264-0j -8.43782e-06-0j 2.7059e-05-0j 0.000888774-0j 0.00021987-0j 2.91918e-06-0j 0.000105291-0j 0.000164667-0j 4.07361e-05-0j 9.65481e-05-0j 1.28876e-07-0j 1.95077e-05-0j 1.78878e-05-0j 1.04158e-05-0j 1.92977e-06-0j 4.59839e-07-0j 8.51962e-08-0j 
0.00152928-0j -0.0120565-0j 0.000156082-0j -0.00304598-0j -0.000360849-0j -0.00404185-0j 0.0308531-0j -0.000532561-0j 0.00734902-0j 0.00314894-0j 0.00112901-0j 8.61253e-05-0j -0.000866809-0j 0.0042498-0j 0.00648303-0j -0.0317851-0j -0.000108351-0j -7.22341e-05-0j 0.00149518-0j 0.000531226-0j 0.00035415-0j -0.0073306-0j 0.000854214-0j -6.38465e-06-0j 0.000216563-0j -0.00418805-0j 3.13028e-05-0j 0.000152601-0j -0.00106177-0j -0.000748176-0j 2.55666e-05-0j 1.43169e-06-0j -0.000125348-0j -7.01933e-06-0j 0.000661757-0j 0.00237137-0j 0.000555821-0j -0.00488018-0j -0.0174878-0j -0.00409895-0j 7.99148e-05-0j -0.00110278-0j 7.29519e-05-0j 0.00028637-0j -0.00395173-0j 6.71218e-05-0j -0.000610023-0j 0.000261418-0j -0.000926241-0j -0.000406682-0j -0.000154655-0j 6.12736e-05-0j 7.44562e-06-0j -0.00218598-0j -0.00145732-0j -0.000145304-0j -0.000512369-0j -0.000554196-0j -3.59459e-05-0j 2.66809e-05-0j -0.000341579-0j -1.72137e-05-0j -0.000129897-0j 6.25371e-06-0j -1.57844e-05-0j -0.000520686-0j -0.00012881-0j -1.70285e-06-0j -6.16844e-05-0j -0.000122043-0j -3.01916e-05-0j -5.65624e-05-0j -7.51779e-08-0j -1.44581e-05-0j -1.32576e-05-0j -6.10206e-06-0j -1.43026e-06-0j -2.69395e-07-0j -6.31433e-08-0j 
-0.00039895-0j 0.00314523-0j -4.07177e-05-0j 0.000794618-0j 9.41364e-05-0j 0.00176076-0j -0.0134406-0j 0.000232001-0j -0.00320147-0j -0.00137178-0j -0.000491832-0j -3.75189e-05-0j -0.000229815-0j -0.0042545-0j 0.00171883-0j 0.0318202-0j -2.87269e-05-0j -1.91512e-05-0j 0.000396414-0j -0.000531813-0j -0.000354542-0j 0.0073387-0j 0.000226476-0j -1.69275e-06-0j 5.74169e-05-0j 0.00419268-0j -3.13374e-05-0j 4.04588e-05-0j 0.00106294-0j 0.000749003-0j 6.7784e-06-0j 3.79581e-07-0j 0.000125487-0j 7.02708e-06-0j -0.000172636-0j 0.00104988-0j 0.00551248-0j 0.00127312-0j -0.00774245-0j -0.0406522-0j -2.08477e-05-0j 0.000287686-0j -1.90313e-05-0j 0.000126786-0j -0.00174957-0j 0.000665695-0j 0.000159139-0j 0.000115739-0j -0.00918619-0j 0.000106093-0j 4.03456e-05-0j 0.000607693-0j -1.94237e-06-0j -0.000967807-0j -0.000645205-0j 3.7906e-05-0j -0.00508152-0j -0.000245362-0j 9.37738e-06-0j 1.18125e-05-0j -0.00338768-0j 4.49063e-06-0j -0.00128829-0j 6.20224e-05-0j 4.11775e-06-0j -0.000230525-0j -5.70286e-05-0j 4.44231e-07-0j -2.73098e-05-0j -0.00121039-0j -0.000299432-0j -2.50421e-05-0j 1.9612e-08-0j -0.000143391-0j -0.000131485-0j -2.70159e-06-0j -1.41849e-05-0j -1.19271e-07-0j -6.26237e-07-0j 
0.00270026-0j 0.000450043-0j -0.0533076-0j -0.00541255-0j 3.31488e-06-0j 0.00242493-0j 0.000391321-0j -0.0307416-0j 4.61176e-05-0j -0.00772533-0j -0.000452866-0j 2.14838e-07-0j 0.00155548-0j 0.0015716-0j 0.000245943-0j 0.000248492-0j -0.0187074-0j 0.000129623-0j 2.80643e-05-0j -0.0189012-0j 0.000130967-0j 2.83551e-05-0j -0.0031179-0j -0.00332994-0j 2.70049e-06-0j -0.00315021-0j -0.00336445-0j -0.000554036-0j 2.72847e-06-0j -0.000559777-0j -2.29655e-05-0j 8.89551e-09-0j -2.32035e-05-0j 8.98769e-09-0j 0.00116847-0j 0.00144591-0j 0.000843445-0j 0.000182167-0j 0.00022542-0j 0.000131495-0j -0.0135764-0j 2.03669e-05-0j 0.000128811-0j -0.0167999-0j 2.52027e-05-0j -0.00979994-0j -0.00219088-0j 0.000159396-0j 1.47016e-05-0j 1.51806e-05-0j 1.89757e-06-0j 9.2981e-05-0j -0.00254295-0j -0.00271107-0j 1.8785e-05-0j -0.000258197-0j -0.00158146-0j 2.34813e-06-0j -0.000389979-0j -0.00314674-0j 1.09579e-05-0j 1.58131e-07-0j 1.36974e-06-0j -0.0018356-0j -3.74612e-05-0j -0.000319503-0j -0.000482575-0j -1.20281e-06-0j 1.95677e-07-0j -0.000186377-0j -0.000281502-0j -4.63559e-05-0j 3.93756e-10-0j 1.14145e-07-0j -2.70409e-05-0j -1.4884e-06-0j -8.68231e-07-0j 4.87248e-10-0j 2.84228e-10-0j 
-0.000389749-0j 0.00621033-0j -3.97786e-05-0j -0.0363283-0j -0.0132114-0j -0.000350008-0j 0.0054-0j -4.61176e-05-0j -0.0297816-0j 0.000551135-0j -0.00931426-0j -0.00143203-0j -0.000224514-0j -0.000226841-0j 0.00339387-0j 0.00342904-0j -2.80643e-05-0j -1.87095e-05-0j -0.0181232-0j -2.83551e-05-0j -1.89034e-05-0j -0.018311-0j 0.000447181-0j -1.6537e-06-0j -0.00534391-0j 0.000451815-0j -1.67084e-06-0j -0.00184969-0j -0.00539929-0j -0.00186886-0j -0.0009513-0j -8.91264e-05-0j -0.000961159-0j -9.005e-05-0j -0.000168654-0j -0.000208698-0j -0.000121741-0j 0.0025138-0j 0.00311066-0j 0.00181455-0j -2.03669e-05-0j -0.0131524-0j -1.85923e-05-0j -2.52027e-05-0j -0.0162753-0j -1.47016e-05-0j 0.000314224-0j -2.30068e-05-0j -0.00949392-0j 0.000209483-0j -0.00375504-0j -1.34207e-05-0j -1.89757e-06-0j 0.000388833-0j 0.000259222-0j -0.00173298-0j 0.000226819-0j -0.00464663-0j 1.85159e-05-0j -2.34813e-06-0j 0.000151213-0j -0.000630228-0j -0.00271053-0j -1.36974e-06-0j -0.000383248-0j -0.00214446-0j 2.29122e-05-0j -8.33291e-05-0j -0.000779867-0j -0.00125093-0j 1.33654e-05-0j -0.000474245-0j -5.53086e-06-0j -0.000454923-0j -0.000276643-0j -0.000103115-0j -6.01501e-05-0j -6.84409e-06-0j -3.99238e-06-0j 
-0.00294684-0j -0.000491139-0j 0.0581754-0j 0.00590681-0j -3.61758e-06-0j -3.76679e-05-0j -6.07863e-06-0j 0.000477528-0j -7.16374e-07-0j 0.000120002-0j 7.03465e-06-0j -3.33721e-09-0j -0.00169752-0j 0.00166629-0j -0.000268402-0j 0.000263463-0j 0.0204157-0j -0.00014146-0j -3.0627e-05-0j -0.02004-0j 0.000138857-0j 3.00635e-05-0j 0.00340261-0j 0.00363402-0j -2.94709e-06-0j -0.00334-0j -0.00356716-0j 0.000604628-0j 2.89286e-06-0j -0.000593503-0j 2.50626e-05-0j -9.70782e-09-0j -2.46015e-05-0j 9.5292e-09-0j -0.00127517-0j -2.24601e-05-0j 0.00180163-0j -0.000198802-0j -3.50159e-06-0j 0.000280878-0j 0.0148161-0j -2.22267e-05-0j -0.000140574-0j 0.000260963-0j -3.9149e-07-0j -0.020933-0j 0.00239094-0j -2.476e-06-0j 3.14031e-05-0j -1.65668e-05-0j -2.07085e-06-0j 0.000198611-0j 0.00277517-0j 4.21127e-05-0j -2.91799e-07-0j 0.000281775-0j -0.00337805-0j -3.64749e-08-0j 0.000425591-0j 4.88803e-05-0j 2.34065e-05-0j -1.72571e-07-0j 2.92581e-06-0j -0.0039209-0j 4.08821e-05-0j 4.96303e-06-0j 7.49613e-06-0j 1.31264e-06-0j -3.03957e-09-0j -0.000398106-0j -0.000601297-0j 7.20075e-07-0j -4.29712e-10-0j 2.43817e-07-0j -5.77603e-05-0j 2.31202e-08-0j -1.85457e-06-0j -7.56872e-12-0j 6.0712e-10-0j 
0.000425339-0j -0.00677743-0j 4.3411e-05-0j 0.0396457-0j 0.0144178-0j 5.43689e-06-0j -8.38815e-05-0j 7.16374e-07-0j 0.000462616-0j -8.56112e-06-0j 0.000144684-0j 2.22445e-05-0j 0.000245016-0j -0.000240508-0j -0.00370378-0j 0.00363564-0j 3.0627e-05-0j 2.0418e-05-0j 0.0197782-0j -3.00635e-05-0j -2.00423e-05-0j -0.0194143-0j -0.000488017-0j 1.80471e-06-0j 0.00583189-0j 0.000479037-0j -1.77151e-06-0j 0.0020186-0j -0.00572459-0j -0.00198146-0j 0.00103817-0j 9.72651e-05-0j -0.00101907-0j -9.54755e-05-0j 0.000184055-0j 3.24184e-06-0j -0.000260042-0j -0.00274335-0j -4.83198e-05-0j 0.00387595-0j 2.22267e-05-0j 0.0143535-0j 2.02901e-05-0j 3.9149e-07-0j 0.000252814-0j -3.14031e-05-0j -0.000342918-0j 3.57379e-07-0j -0.0202793-0j -0.000228612-0j 0.00409794-0j -2.8667e-05-0j 2.07085e-06-0j -6.03998e-06-0j -4.02665e-06-0j 0.00189123-0j 0.000484493-0j 7.2179e-05-0j -2.02067e-05-0j 3.64749e-08-0j 0.000322995-0j 0.000687778-0j -0.00578979-0j -2.92581e-06-0j 0.000418245-0j 3.33112e-05-0j -3.55909e-07-0j 9.09385e-05-0j 1.21142e-05-0j -0.00267204-0j 2.8549e-05-0j 7.36674e-06-0j 6.03592e-06-0j -0.000971729-0j -0.000590918-0j 1.60174e-06-0j -0.000128483-0j 1.06313e-07-0j -8.52786e-06-0j 
-0.00228261-0j -0.000380435-0j 0.0450625-0j 0.0045754-0j -2.80217e-06-0j -0.00204987-0j -0.000330796-0j 0.0259868-0j -3.89846e-05-0j 0.00653045-0j 0.000382821-0j -1.81609e-07-0j 0.0012938-0j -0.00132852-0j 0.000204568-0j -0.000210058-0j -0.0155602-0j 0.000107817-0j 2.3343e-05-0j 0.0159778-0j -0.00011071-0j -2.39694e-05-0j -0.00259337-0j -0.00276975-0j 2.24618e-06-0j 0.00266296-0j 0.00284407-0j -0.00046083-0j -2.30646e-06-0j 0.000473196-0j -1.9102e-05-0j 7.39902e-09-0j 1.96146e-05-0j -7.59757e-09-0j -0.000987741-0j 0.00120266-0j -0.000712989-0j -0.000153991-0j 0.000187498-0j -0.000111157-0j 0.0114765-0j -1.72167e-05-0j -0.000108888-0j -0.0139736-0j 2.09629e-05-0j 0.00828418-0j 0.00185201-0j 0.000132581-0j -1.24277e-05-0j -1.28326e-05-0j -1.60408e-06-0j -7.85997e-05-0j 0.00214963-0j -0.00225499-0j 1.56248e-05-0j 0.000218262-0j 0.00133685-0j 1.9531e-06-0j 0.000329661-0j -0.00261737-0j -9.26306e-06-0j -1.33673e-07-0j -1.15788e-06-0j 0.00155169-0j 3.16671e-05-0j -0.000265753-0j -0.000401391-0j 1.01677e-06-0j 1.62758e-07-0j 0.00015755-0j 0.000237962-0j -3.85575e-05-0j -3.32854e-10-0j -9.64902e-08-0j 2.28585e-05-0j -1.238e-06-0j 7.33942e-07-0j 4.05278e-10-0j -2.40266e-10-0j 
0.000329466-0j -0.00524978-0j 3.3626e-05-0j 0.0307094-0j 0.011168-0j 0.000295873-0j -0.00456478-0j 3.89846e-05-0j 0.0251753-0j -0.000465891-0j 0.00787362-0j 0.00121053-0j -0.000186744-0j 0.000191755-0j 0.00282292-0j -0.00289867-0j -2.3343e-05-0j -1.5562e-05-0j -0.0150744-0j 2.39694e-05-0j 1.59796e-05-0j 0.0154789-0j 0.000371952-0j -1.3755e-06-0j -0.0044449-0j -0.000381933-0j 1.41241e-06-0j -0.00153852-0j 0.00456418-0j 0.00157981-0j -0.000791263-0j -7.41327e-05-0j 0.000812496-0j 7.6122e-05-0j 0.000142568-0j -0.000173589-0j 0.000102911-0j -0.00212499-0j 0.00258736-0j -0.0015339-0j 1.72167e-05-0j 0.0111181-0j 1.57167e-05-0j -2.09629e-05-0j -0.0135373-0j 1.24277e-05-0j -0.000265623-0j -1.91364e-05-0j 0.0080255-0j -0.000177082-0j 0.00317425-0j 1.13449e-05-0j 1.60408e-06-0j 0.00032342-0j 0.000215613-0j 0.00146494-0j -0.000191737-0j -0.00386493-0j -1.5652e-05-0j -1.9531e-06-0j -0.000127825-0j 0.000532751-0j 0.0022913-0j 1.15788e-06-0j 0.000323971-0j -0.0017837-0j 1.90577e-05-0j 7.04406e-05-0j -0.00064867-0j 0.00105745-0j -1.12982e-05-0j -0.000394463-0j 4.6754e-06-0j 0.00038456-0j 0.000233855-0j -8.57676e-05-0j 5.08467e-05-0j -5.69271e-06-0j 3.37488e-06-0j 
0.00230626-0j 0.000384377-0j -0.0455295-0j -0.00462281-0j 2.83121e-06-0j -0.00201215-0j -0.000324709-0j 0.0255086-0j -3.82673e-05-0j 0.0064103-0j 0.000375778-0j -1.78267e-07-0j 0.00132852-0j -0.00134174-0j 0.000210058-0j -0.000212148-0j -0.0159778-0j 0.00011071-0j 2.39694e-05-0j 0.0161368-0j -0.000111812-0j -2.4208e-05-0j -0.00266296-0j -0.00284407-0j 2.30646e-06-0j 0.00268947-0j 0.00287238-0j -0.000473196-0j -2.32942e-06-0j 0.000477906-0j -1.96146e-05-0j 7.59757e-09-0j 1.98098e-05-0j -7.67319e-09-0j 0.000997977-0j -0.00119978-0j 0.000659731-0j 0.000155587-0j -0.000187048-0j 0.000102854-0j -0.0115954-0j 1.73952e-05-0j 0.000110017-0j 0.0139402-0j -2.09126e-05-0j -0.00766538-0j -0.00187121-0j -0.000132263-0j 1.14994e-05-0j 1.29656e-05-0j 1.6207e-06-0j 7.27285e-05-0j -0.00217191-0j 0.00224958-0j -1.55874e-05-0j -0.000220524-0j -0.001237-0j -1.94842e-06-0j -0.000333078-0j 0.00261109-0j 8.57114e-06-0j 1.35058e-07-0j 1.07139e-06-0j -0.00143578-0j -3.19953e-05-0j 0.000265116-0j 0.000400429-0j -1.0273e-06-0j -1.62368e-07-0j -0.000145781-0j -0.000220187-0j 3.8465e-05-0j 3.36303e-10-0j 8.92827e-08-0j -2.11511e-05-0j 1.23504e-06-0j -6.79119e-07-0j -4.04307e-10-0j 2.22319e-10-0j 
-0.00208373-0j -0.000347288-0j 0.0411363-0j 0.00417675-0j -2.55802e-06-0j -0.00187126-0j -0.000301974-0j 0.0237226-0j -3.55879e-05-0j 0.00596146-0j 0.000349466-0j -1.65786e-07-0j -0.00120033-0j -0.00121277-0j -0.000189789-0j -0.000191755-0j 0.0144361-0j -0.000100027-0j -2.16566e-05-0j 0.0145857-0j -0.000101064-0j -2.1881e-05-0j 0.00240601-0j 0.00256964-0j -2.0839e-06-0j 0.00243094-0j 0.00259627-0j 0.000427537-0j -2.1055e-06-0j 0.000431967-0j 1.77219e-05-0j -6.86446e-09-0j 1.79056e-05-0j -6.9356e-09-0j 0.00179858-0j -0.00111577-0j -0.000650867-0j 0.000280403-0j -0.000173952-0j -0.000101472-0j -0.0208976-0j 3.135e-05-0j 0.000198275-0j 0.0129641-0j -1.94484e-05-0j 0.00756239-0j -0.00337233-0j -0.000123002-0j -1.13449e-05-0j 2.33669e-05-0j 2.92086e-06-0j -7.17514e-05-0j -0.00391427-0j 0.00209207-0j -1.4496e-05-0j -0.000397433-0j 0.00122038-0j -1.812e-06-0j -0.00060028-0j 0.00242827-0j -8.45598e-06-0j 2.43405e-07-0j -1.057e-06-0j 0.00141649-0j -5.76626e-05-0j 0.000246553-0j 0.000372392-0j -1.85143e-06-0j -1.51e-07-0j 0.000143823-0j 0.000217229-0j 3.57718e-05-0j 6.06093e-10-0j -8.80831e-08-0j 2.08669e-05-0j 1.14856e-06-0j 6.69994e-07-0j -3.75998e-10-0j -2.19332e-10-0j 
-0.000332881-0j 0.00530418-0j -3.39745e-05-0j -0.0310277-0j -0.0112837-0j 0.000290429-0j -0.00448079-0j 3.82673e-05-0j 0.0247121-0j -0.000457319-0j 0.00772875-0j 0.00118826-0j -0.000191755-0j 0.000193664-0j 0.00289867-0j -0.00292752-0j -2.39694e-05-0j -1.59796e-05-0j -0.0154789-0j 2.4208e-05-0j 1.61387e-05-0j 0.0156329-0j 0.000381933-0j -1.41241e-06-0j -0.00456418-0j -0.000385735-0j 1.42647e-06-0j -0.00157981-0j 0.00460961-0j 0.00159553-0j -0.000812496-0j -7.6122e-05-0j 0.000820584-0j 7.68797e-05-0j -0.000144046-0j 0.000173173-0j -9.5224e-05-0j 0.00214701-0j -0.00258116-0j 0.00141932-0j -1.73952e-05-0j -0.0112334-0j -1.58795e-05-0j 2.09126e-05-0j 0.0135049-0j -1.14994e-05-0j 0.000268376-0j 1.90905e-05-0j -0.00742602-0j 0.000178917-0j -0.00320715-0j -1.04975e-05-0j -1.6207e-06-0j -0.000322644-0j -0.000215096-0j -0.00148013-0j 0.000177415-0j 0.00385566-0j 1.58142e-05-0j 1.94842e-06-0j 0.000118277-0j -0.000538272-0j -0.00212014-0j -1.07139e-06-0j -0.000327328-0j 0.00177942-0j -1.9012e-05-0j -7.11706e-05-0j 0.000647115-0j -0.000978464-0j 1.04543e-05-0j 0.000393517-0j -4.72385e-06-0j -0.000355834-0j -0.000216386-0j 8.5562e-05-0j -4.70487e-05-0j 5.67906e-06-0j -3.12279e-06-0j 
0.00030076-0j -0.00479237-0j 3.06962e-05-0j 0.0280337-0j 0.0101949-0j 0.000270094-0j -0.00416706-0j 3.55879e-05-0j 0.0229818-0j -0.000425299-0j 0.0071876-0j 0.00110506-0j 0.000173253-0j 0.000175048-0j -0.00261897-0j -0.00264611-0j 2.16566e-05-0j 1.44377e-05-0j 0.0139853-0j 2.1881e-05-0j 1.45873e-05-0j 0.0141302-0j -0.00034508-0j 1.27613e-06-0j 0.00412377-0j -0.000348656-0j 1.28935e-06-0j 0.00142737-0j 0.00416651-0j 0.00144216-0j 0.000734097-0j 6.87768e-05-0j 0.000741704-0j 6.94896e-05-0j -0.000259602-0j 0.000161048-0j 9.39446e-05-0j 0.00386939-0j -0.00240043-0j -0.00140025-0j -3.135e-05-0j -0.020245-0j -2.86185e-05-0j 1.94484e-05-0j 0.0125593-0j 1.13449e-05-0j 0.000483674-0j 1.77539e-05-0j 0.00732625-0j 0.000322449-0j -0.00578-0j 1.03564e-05-0j -2.92086e-06-0j -0.000300054-0j -0.000200036-0j -0.00266752-0j -0.000175031-0j 0.0035857-0j 2.85007e-05-0j 1.812e-06-0j -0.000116688-0j -0.000970085-0j 0.00209166-0j 1.057e-06-0j -0.000589918-0j 0.00165483-0j -1.76808e-05-0j -0.000128265-0j 0.000601806-0j 0.000965318-0j -1.03138e-05-0j 0.000365964-0j -8.51344e-06-0j 0.000351053-0j 0.000213479-0j 7.95712e-05-0j 4.64165e-05-0j 5.28143e-06-0j 3.08083e-06-0j 
