-0.0594054-0j -0.0424146-0j -0.00612202-0j -0.0244727-0j -0.0247263-0j -0.00432621-0j -0.000360517-0j -0.00437104-0j -0.000364253-0j -0.017294-0j -0.0214002-0j -0.00288233-0j -0.0124834-0j -0.00176506-0j -0.0035667-0j -0.000360291-0j -0.00218415-0j -2.12303e-05-0j -0.00208057-0j -0.000445837-0j -0.00127409-0j -2.62712e-05-0j -0.000260072-0j -1.53249e-05-0j 
0.28792-0j -0.00437104-0j 0.059974-0j -0.00252203-0j -0.00254817-0j 0.0209678-0j 0.00531625-0j 0.0211851-0j 0.00537135-0j 0.00346522-0j -0.00220539-0j -0.0271617-0j -0.00128648-0j 0.000353668-0j 0.0172867-0j -0.00686261-0j -0.000225087-0j -0.00081302-0j 0.0100839-0j 0.00436762-0j -0.000131301-0j 0.000517436-0j 0.00254778-0j 0.000301838-0j 
-0.356283-0j 0.000107055-0j -0.00146888-0j -0.00300117-0j -0.00302838-0j 0.0249512-0j 0.00632622-0j 0.0251775-0j 0.00638359-0j 0.00220539-0j -5.19428e-05-0j -0.0172867-0j -0.00308935-0j 0.000225087-0j 0.000407146-0j -0.00436762-0j -5.30139e-06-0j -0.000517436-0j 0.0242154-0j 0.000102869-0j -0.000315306-0j 1.2187e-05-0j 0.00611822-0j 0.000724832-0j 
-0.237522-0j 7.13701e-05-0j -0.000979254-0j 0.00208057-0j -0.00201892-0j -0.0172975-0j -0.00438569-0j 0.016785-0j 0.00425573-0j -0.00718759-0j 3.60096e-05-0j 0.0563389-0j -0.00205957-0j -0.00073358-0j -0.000282256-0j 0.0142345-0j 3.67521e-06-0j 0.00168637-0j 0.0161436-0j -7.13142e-05-0j -0.000210204-0j -8.44867e-06-0j 0.00407882-0j 0.000483221-0j 
0.207832-0j 0.00612302-0j -0.0840126-0j -0.0018205-0j -0.00162526-0j 0.0151354-0j 0.00383747-0j 0.0135121-0j 0.00342591-0j -0.00128648-0j 0.00308935-0j 0.0100839-0j -0.00354915-0j -0.000131301-0j -0.0242154-0j 0.00254778-0j 0.000315306-0j 0.000301838-0j 0.0278195-0j -0.00611822-0j -0.000362233-0j -0.000724832-0j 0.00702881-0j 0.00083271-0j 
-0.2057-0j 0.00312282-0j -0.0428475-0j -0.00526728-0j 0.0018205-0j 0.0437913-0j 0.011103-0j -0.0151354-0j -0.00383747-0j -0.00247567-0j -0.00460597-0j 0.0194052-0j 0.000919106-0j -0.000252672-0j 0.0361033-0j 0.00490288-0j -0.000470095-0j 0.000580849-0j -0.00720428-0j 0.00912178-0j 9.38058e-05-0j 0.00108067-0j -0.00182022-0j -0.000215643-0j 
0.293918-0j 0.00428547-0j -0.0588-0j 0.00247584-0j 0.00259922-0j -0.0205837-0j -0.00521887-0j -0.0216095-0j -0.00547895-0j 0.00353741-0j -0.00207929-0j -0.0277275-0j -0.00116041-0j 0.000361036-0j 0.0162983-0j -0.00700558-0j -0.000212217-0j -0.000829958-0j 0.00909571-0j 0.00411788-0j -0.000118434-0j 0.00048785-0j 0.0022981-0j 0.000272259-0j 
0.146959-0j -4.4158e-05-0j 0.000605882-0j 0.00628833-0j 0.00124914-0j -0.0522802-0j -0.0132553-0j -0.0103852-0j -0.0026331-0j -0.000909679-0j 0.000108836-0j 0.00713039-0j 0.00127429-0j -9.28437e-05-0j -0.000853092-0j 0.00180155-0j 1.1108e-05-0j 0.000213431-0j -0.00998836-0j -0.00021554-0j 0.000130057-0j -2.55353e-05-0j -0.00252364-0j -0.000298978-0j 
-0.121235-0j -0.00537585-0j 0.0737609-0j 0.00106196-0j 0.00503008-0j -0.00882895-0j -0.00223853-0j -0.0418193-0j -0.010603-0j -0.00145911-0j -0.00271237-0j 0.011437-0j 0.000662822-0j -0.00014892-0j 0.0212605-0j 0.00288965-0j -0.00027683-0j 0.00034234-0j -0.00519544-0j 0.00537165-0j 6.7649e-05-0j 0.000636384-0j -0.00131267-0j -0.000155513-0j 
-0.148482-0j -0.0043745-0j 0.0600215-0j -0.00380212-0j 0.00116114-0j 0.0316102-0j 0.00801458-0j -0.00965352-0j -0.00244759-0j 0.000919106-0j 0.00645212-0j -0.00720428-0j 0.00253563-0j 9.38058e-05-0j -0.050574-0j -0.00182022-0j 0.000658516-0j -0.000215643-0j -0.0198752-0j -0.0127779-0j 0.000258792-0j -0.00151381-0j -0.00502163-0j -0.000594917-0j 
0.0670913-0j 0.00397337-0j -0.0545178-0j 0.000565147-0j -0.00618363-0j -0.00469854-0j -0.00119129-0j 0.0514097-0j 0.0130346-0j -0.000415296-0j -0.00192787-0j 0.00325524-0j 0.00376583-0j -4.2386e-05-0j 0.0151113-0j 0.000822462-0j -0.000196762-0j 9.74379e-05-0j -0.0295179-0j 0.00381799-0j 0.000384348-0j 0.000452321-0j -0.00745793-0j -0.000883549-0j 
-0.0147922-0j -0.00131629-0j 0.0180606-0j 0.000129573-0j 0.00361732-0j -0.00107725-0j -0.000273129-0j -0.0300738-0j -0.00762504-0j 9.15642e-05-0j -0.000664131-0j -0.000717713-0j -0.00636481-0j 9.34523e-06-0j 0.0052057-0j -0.000181336-0j -6.77826e-05-0j -2.1483e-05-0j 0.0498897-0j 0.00131526-0j -0.000649606-0j 0.00015582-0j 0.012605-0j 0.00149333-0j 
