-0.0594054-0j -0.00939282-0j -0.00742568-0j -0.00495045-0j -0.0010718-0j -0.00123761-0j -0.000437562-0j -0.000103134-0j -0.000109391-0j -9.11588e-06-0j -3.39729e-07-0j -0.00109915-0j -0.00017136-0j -0.000132735-0j -1.91587e-05-0j -0.00012117-0j -2.142e-05-0j -1.428e-05-0j -1.785e-06-0j -1.23669e-05-0j -2.52438e-06-0j -1.26219e-06-0j -1.4875e-07-0j -1.82181e-07-0j -1.17597e-08-0j -3.70397e-10-0j 
-0.00288233-0j -0.000455736-0j -0.000360291-0j 0.0690661-0j -5.20035e-05-0j 0.00860324-0j -2.12303e-05-0j 0.000716937-0j -5.30758e-06-0j -4.42299e-07-0j -1.64835e-08-0j -5.33303e-05-0j -8.31433e-06-0j -6.44025e-06-0j -9.2957e-07-0j 0.000842311-0j -1.03929e-06-0j 0.000199227-0j -8.66076e-08-0j 8.5968e-05-0j 1.75481e-05-0j -6.12408e-08-0j 1.03403e-06-0j -8.83935e-09-0j -5.70577e-10-0j -1.79715e-11-0j 
3.63949e-05-0j -0.000823419-0j 4.54936e-06-0j 3.0329e-06-0j 0.00890027-0j -0.000108495-0j 2.68073e-07-0j -0.0394095-0j 0.00090838-0j -0.0143908-0j -0.00272435-0j 3.40229e-05-0j -0.000758988-0j 4.10865e-06-0j 0.00803809-0j 3.75067e-06-0j -9.48735e-05-0j -6.3249e-05-0j -0.0344617-0j 3.82801e-07-0j 0.00105911-0j -5.59047e-06-0j -0.0118643-0j -0.00351723-0j -0.00236982-0j -0.000263453-0j 
-0.00176506-0j -0.00027908-0j -0.000220632-0j 0.0422942-0j -3.18455e-05-0j 0.00526839-0j -1.30009e-05-0j 0.000439032-0j -3.25022e-06-0j -2.70851e-07-0j -1.0094e-08-0j -0.00165002-0j -0.000257242-0j -0.000199259-0j -2.87606e-05-0j 0.0260608-0j -3.21553e-05-0j 0.00616403-0j -2.67961e-06-0j 0.00265982-0j 0.000542934-0j -1.89477e-06-0j 3.19927e-05-0j -2.73486e-07-0j -1.76535e-08-0j -5.56032e-10-0j 
0.000509528-0j -0.00378891-0j -0.00605833-0j 4.24607e-05-0j -0.00087389-0j 0.0474874-0j -0.00107848-0j -0.000126577-0j 0.017057-0j 0.00142142-0j -8.36816e-07-0j 9.42756e-06-0j -6.9124e-05-0j -0.000108294-0j -1.56209e-05-0j 1.03929e-06-0j 0.00082189-0j -5.76033e-06-0j -2.19074e-06-0j -2.02854e-05-0j 0.000195781-0j 0.000146309-0j -2.43841e-07-0j 4.276e-05-0j 2.29449e-06-0j -1.06495e-09-0j 
0.00252203-0j 0.000398769-0j 0.000315254-0j -0.0604329-0j 4.5503e-05-0j -0.00752784-0j 1.85765e-05-0j -0.00062732-0j 4.64414e-06-0j 3.87011e-07-0j 1.44231e-08-0j -0.00226434-0j -0.000353016-0j -0.000273445-0j -3.94684e-05-0j 0.0357634-0j -4.4127e-05-0j 0.00845894-0j -3.67725e-06-0j 0.00365009-0j 0.000745072-0j -2.60021e-06-0j 4.39038e-05-0j -3.75307e-07-0j -2.4226e-08-0j -7.63047e-10-0j 
0.000312021-0j -0.00232023-0j -0.00370996-0j 2.60017e-05-0j -0.000535146-0j 0.02908-0j -0.00066043-0j -7.75125e-05-0j 0.0104452-0j 0.00087044-0j -5.12443e-07-0j 0.000291685-0j -0.00213867-0j -0.00335057-0j -0.000483306-0j 3.21553e-05-0j 0.025429-0j -0.000178223-0j -6.77809e-05-0j -0.000627623-0j 0.00605739-0j 0.00452676-0j -7.54437e-06-0j 0.00132298-0j 7.09908e-05-0j -3.29491e-08-0j 
-4.24607e-05-0j 0.000960655-0j -5.30758e-06-0j -3.53839e-06-0j -0.0103837-0j 0.000126577-0j -3.12752e-07-0j 0.0459778-0j -0.00105978-0j 0.0167892-0j 0.00317841-0j -7.8563e-07-0j 1.7526e-05-0j -9.48738e-08-0j -0.000185609-0j -8.66076e-08-0j 2.19074e-06-0j 1.4605e-06-0j 0.000795762-0j -8.83935e-09-0j -2.44562e-05-0j 1.29091e-07-0j 0.000273961-0j 8.12171e-05-0j 5.4722e-05-0j 6.08344e-06-0j 
-0.00104029-0j -0.000164484-0j -0.000130036-0j 0.0249273-0j -1.8769e-05-0j 0.00310507-0j -7.66243e-06-0j 0.000258756-0j -1.91561e-06-0j -1.59634e-07-0j -5.94921e-09-0j 0.00284047-0j 0.000442836-0j 0.000343019-0j 4.95106e-05-0j -0.044863-0j 5.53545e-05-0j -0.0106112-0j 4.61288e-06-0j -0.00457881-0j -0.000934646-0j 3.2618e-06-0j -5.50746e-05-0j 4.708e-07-0j 3.039e-08-0j 9.57195e-10-0j 
-2.60017e-05-0j 0.000588279-0j -3.25022e-06-0j -2.16681e-06-0j -0.00635866-0j 7.75125e-05-0j -1.91521e-07-0j 0.0281555-0j -0.000648978-0j 0.0102813-0j 0.00194637-0j -2.43071e-05-0j 0.000542247-0j -2.93536e-06-0j -0.00574269-0j -2.67961e-06-0j 6.77809e-05-0j 4.51873e-05-0j 0.0246206-0j -2.73486e-07-0j -0.000756666-0j 3.99403e-06-0j 0.00847627-0j 0.00251283-0j 0.00169308-0j 0.00018822-0j 
-0.000445837-0j 0.0033153-0j 0.00530104-0j -3.71531e-05-0j 0.000764654-0j -0.0415515-0j 0.000943668-0j 0.000110755-0j -0.0149249-0j -0.00124375-0j 7.32214e-07-0j 0.000400282-0j -0.00293491-0j -0.00459801-0j -0.000663244-0j 4.4127e-05-0j 0.0348964-0j -0.000244576-0j -9.30162e-05-0j -0.000861292-0j 0.00831261-0j 0.00621211-0j -1.03532e-05-0j 0.00181554-0j 9.74212e-05-0j -4.52163e-08-0j 
3.71531e-05-0j -0.000840573-0j 4.64414e-06-0j 3.09609e-06-0j 0.0090857-0j -0.000110755-0j 2.73658e-07-0j -0.0402305-0j 0.000927305-0j -0.0146906-0j -0.00278111-0j -3.33568e-05-0j 0.00074413-0j -4.02822e-06-0j -0.00788073-0j -3.67725e-06-0j 9.30162e-05-0j 6.20108e-05-0j 0.033787-0j -3.75307e-07-0j -0.00103838-0j 5.48103e-06-0j 0.0116321-0j 0.00344837-0j 0.00232343-0j 0.000258295-0j 
0.000183898-0j -0.00136749-0j -0.00218657-0j 1.53249e-05-0j -0.000315404-0j 0.0171391-0j -0.000389243-0j -4.56842e-05-0j 0.0061562-0j 0.000513019-0j -3.02023e-07-0j -0.000502129-0j 0.00368167-0j 0.00576791-0j 0.000831998-0j -5.53545e-05-0j -0.0437754-0j 0.000306806-0j 0.000116683-0j 0.00108044-0j -0.0104276-0j -0.0077927-0j 1.29874e-05-0j -0.00227748-0j -0.000122209-0j 5.6721e-08-0j 
-1.53249e-05-0j 0.000346719-0j -1.91561e-06-0j -1.27707e-06-0j -0.00374766-0j 4.56842e-05-0j -1.12878e-07-0j 0.0165942-0j -0.000382494-0j 0.00605955-0j 0.00114715-0j 4.18441e-05-0j -0.000933464-0j 5.05315e-06-0j 0.00988589-0j 4.61288e-06-0j -0.000116683-0j -7.77887e-05-0j -0.0423837-0j 4.708e-07-0j 0.00130258-0j -6.87561e-06-0j -0.0145917-0j -0.00432577-0j -0.0029146-0j -0.000324015-0j 
