-0.037889-0j -0.00546881-0j -0.0310611-0j -0.00549087-0j -0.000457573-0j -0.0189018-0j -0.0190977-0j -0.0031503-0j -0.00192916-0j -0.00318295-0j -0.000393788-0j -0.00194915-0j -0.000397868-0j -2.32042e-05-0j -2.34446e-05-0j -0.0137175-0j -0.0169745-0j -0.00990179-0j -0.00221365-0j -0.00180743-0j -0.00273925-0j -0.000260881-0j -0.00159789-0j -0.000225929-0j -0.00223659-0j -2.6626e-05-0j -0.000322823-0j -0.00130468-0j -0.000279573-0j -1.21531e-06-0j -0.000188314-0j -0.000163084-0j -3.2948e-05-0j -1.50387e-06-0j -1.92197e-05-0j -8.77255e-07-0j -0.0107767-0j -0.0125728-0j -0.00769924-0j -0.00170394-0j -0.0110012-0j -0.00453776-0j -0.00134709-0j -0.00198793-0j -0.000898057-0j -0.000194435-0j -0.00121736-0j -0.00173944-0j -0.0015716-0j -0.000224514-0j -0.000717483-0j -0.00104773-0j -7.93778e-05-0j -0.000962404-0j -0.000226841-0j -1.87095e-05-0j -0.000641603-0j -0.000138911-0j -0.00137515-0j -1.98444e-05-0j -0.000916767-0j -0.000261933-0j -0.000198486-0j -0.00056722-0j -1.6537e-06-0j -0.000160401-0j -9.26074e-05-0j -0.000378147-0j -2.18278e-05-0j -8.18712e-05-0j -6.16299e-08-0j -5.67102e-05-0j -1.33667e-05-0j -2.31519e-05-0j -0.000229192-0j -1.41776e-05-0j -8.10315e-05-0j -1.92932e-06-0j -9.45367e-05-0j -1.90993e-05-0j -2.02579e-05-0j -1.18146e-06-0j -3.34238e-05-0j -7.19016e-08-0j -7.87806e-06-0j -1.68816e-06-0j -4.40305e-08-0j -8.35595e-06-0j -6.29139e-08-0j -6.96329e-07-0j -2.59506e-08-0j 
-0.0123114-0j -0.00177699-0j 0.0297036-0j 0.0052509-0j 0.000437575-0j -0.0061418-0j -0.0296291-0j -0.00102363-0j -0.000626845-0j -0.00493818-0j -0.000127954-0j -0.00302401-0j -0.000617273-0j -7.53977e-06-0j -3.63731e-05-0j 0.00889084-0j 0.0162326-0j -0.00374372-0j 0.00143475-0j 0.00117147-0j 0.00261953-0j 0.000169087-0j -0.00060414-0j 0.000146434-0j 0.00213884-0j 1.72574e-05-0j 0.000308715-0j -0.000493278-0j 0.000267355-0j 7.87689e-07-0j -7.11986e-05-0j -6.16598e-05-0j 3.15081e-05-0j 1.43814e-06-0j -7.26667e-06-0j -3.31677e-07-0j -0.00350169-0j -0.0239829-0j -0.00250173-0j -0.000553666-0j -0.0170678-0j 0.0207953-0j -0.000437711-0j -0.00379202-0j -0.000291807-0j -6.31782e-05-0j -0.000395558-0j -0.00269866-0j -0.00299786-0j -7.29519e-05-0j 0.00328802-0j -0.00199857-0j -2.57924e-05-0j -0.000312716-0j -0.000432703-0j -6.07932e-06-0j -0.000208477-0j -4.51367e-05-0j -0.00213348-0j -6.44809e-06-0j -0.00142232-0j -0.000499643-0j -0.000307941-0j 0.00259941-0j -5.37341e-07-0j -5.21193e-05-0j -0.00017665-0j 0.00173294-0j -4.16369e-05-0j 0.000375193-0j -2.00255e-08-0j -1.8427e-05-0j -4.34328e-06-0j -4.41626e-05-0j -0.000355579-0j -4.60674e-06-0j -0.000125716-0j -3.68022e-06-0j 0.000433235-0j -2.96316e-05-0j -3.14291e-05-0j -3.83895e-07-0j 0.000153172-0j -1.37154e-07-0j 3.61029e-05-0j -2.61909e-06-0j -1.43069e-08-0j 3.82929e-05-0j -9.76077e-08-0j 3.19108e-06-0j 1.18924e-07-0j 
-0.0150783-0j -0.00217636-0j 0.0241942-0j 0.00427697-0j 0.000356414-0j 0.0223251-0j -0.00696026-0j 0.00372085-0j 0.00227855-0j -0.00116004-0j 0.000465106-0j -0.000710379-0j -0.000145005-0j 2.74066e-05-0j -8.54453e-06-0j -0.00545899-0j -0.0392414-0j -0.0152573-0j -0.00088094-0j -0.000719285-0j -0.00633255-0j -0.00010382-0j -0.00246213-0j -8.99106e-05-0j -0.0051705-0j -1.05961e-05-0j -0.000746298-0j -0.00201032-0j -0.000646313-0j -4.83642e-07-0j -0.000290165-0j -0.000251291-0j -7.61687e-05-0j -3.47661e-06-0j -2.96149e-05-0j -1.35173e-06-0j -0.00428868-0j 0.00979326-0j -0.00286896-0j -0.000678099-0j 0.0118997-0j -0.00210125-0j -0.000536085-0j 0.00154845-0j -0.00035739-0j -7.73771e-05-0j -0.000453622-0j 0.00188151-0j 0.00122416-0j -8.93474e-05-0j -0.000332236-0j 0.000816105-0j -3.15891e-05-0j -0.00035862-0j 0.000176692-0j -7.44562e-06-0j -0.00023908-0j -5.17623e-05-0j 0.00148746-0j -7.89727e-06-0j 0.000991643-0j 0.000204026-0j 0.000214697-0j -0.000262656-0j -6.58106e-07-0j -5.97699e-05-0j 7.21341e-05-0j -0.000175104-0j 1.70022e-05-0j -3.79111e-05-0j -2.45262e-08-0j -2.11319e-05-0j -4.98083e-06-0j 1.80335e-05-0j 0.000247911-0j -5.28296e-06-0j 8.76497e-05-0j 1.50279e-06-0j -4.37759e-05-0j 2.06592e-05-0j 2.19124e-05-0j -4.40247e-07-0j -1.54771e-05-0j 5.60059e-08-0j -3.64799e-06-0j 1.82604e-06-0j -1.6407e-08-0j -3.86928e-06-0j 6.80523e-08-0j -3.2244e-07-0j -1.20166e-08-0j 
0.00681309-0j 0.000983384-0j -0.0219437-0j -0.00387914-0j -0.000323262-0j -0.00334434-0j 0.0363225-0j -0.00055739-0j -0.000341331-0j 0.00605374-0j -6.96738e-05-0j 0.00370715-0j 0.000756718-0j -4.10557e-06-0j 4.459e-05-0j 0.00246663-0j 0.0117996-0j -0.0230694-0j 0.000398051-0j 0.000325007-0j 0.00190415-0j 4.69108e-05-0j -0.0037228-0j 4.06259e-05-0j 0.00155474-0j 4.78781e-06-0j 0.000224407-0j -0.00303965-0j 0.000194342-0j 2.18533e-07-0j -0.000438736-0j -0.000379957-0j 2.29034e-05-0j 1.04539e-06-0j -4.47783e-05-0j -2.04384e-06-0j 0.00193783-0j -0.00888231-0j -0.00410894-0j 0.000306398-0j -0.0205879-0j -0.0152518-0j 0.000242229-0j -0.00140442-0j 0.000161486-0j 3.49627e-05-0j -0.000649681-0j -0.00325523-0j -0.00111029-0j 4.03715e-05-0j -0.00241152-0j -0.000740192-0j 1.42735e-05-0j -0.000513618-0j -0.000160256-0j 3.36429e-06-0j -0.000342412-0j -7.41343e-05-0j -0.00257348-0j 3.56837e-06-0j -0.00171566-0j -0.000185048-0j -0.00037145-0j -0.00190647-0j 2.97364e-07-0j -8.56029e-05-0j -6.54244e-05-0j -0.00127098-0j -1.54207e-05-0j -0.000275176-0j 1.10821e-08-0j -3.02652e-05-0j -7.13358e-06-0j -1.63561e-05-0j -0.000428914-0j -7.5663e-06-0j -0.000151644-0j -1.36301e-06-0j -0.000317746-0j -3.57428e-05-0j -3.7911e-05-0j -6.30525e-07-0j -0.00011234-0j -5.07963e-08-0j -2.64788e-05-0j -3.15925e-06-0j -2.34983e-08-0j -2.8085e-05-0j -1.17738e-07-0j -2.34042e-06-0j -8.72223e-08-0j 
-0.00150214-0j -0.000216816-0j 0.00726597-0j 0.00128445-0j 0.000107038-0j -0.000749379-0j -0.0212093-0j -0.000124897-0j -7.64832e-05-0j -0.00353488-0j -1.56121e-05-0j -0.00216466-0j -0.000441859-0j -9.1995e-07-0j -2.60368e-05-0j -0.000543841-0j 0.00397076-0j 0.0386372-0j -8.7762e-05-0j -7.16574e-05-0j 0.000640779-0j -1.03429e-05-0j 0.00623504-0j -8.95717e-06-0j 0.000523194-0j -1.05561e-06-0j 7.55166e-05-0j 0.00509089-0j 6.53993e-05-0j -4.81819e-08-0j 0.000734807-0j 0.000636362-0j 7.70738e-06-0j 3.51792e-07-0j 7.49959e-05-0j 3.42308e-06-0j -0.000427251-0j 0.00294109-0j -0.000305243-0j -6.75544e-05-0j -0.0122176-0j -0.0372082-0j -5.34064e-05-0j 0.000465028-0j -3.56043e-05-0j -7.70855e-06-0j -4.82632e-05-0j -0.00193177-0j 0.000367637-0j -8.90107e-06-0j -0.00588313-0j 0.000245091-0j -3.147e-06-0j -3.81554e-05-0j 5.30638e-05-0j -7.41756e-07-0j -2.54369e-05-0j -5.50726e-06-0j -0.0015272-0j -7.86751e-07-0j -0.00101813-0j 6.12728e-05-0j -0.000220432-0j -0.00465102-0j -6.55626e-08-0j -6.35923e-06-0j 2.16632e-05-0j -0.00310068-0j 5.10607e-06-0j -0.000671317-0j -2.44337e-09-0j -2.24833e-06-0j -5.29936e-07-0j 5.4158e-06-0j -0.000254533-0j -5.62082e-07-0j -8.99909e-05-0j 4.51317e-07-0j -0.00077517-0j -2.1211e-05-0j -2.24977e-05-0j -4.68402e-08-0j -0.000274064-0j 1.68196e-08-0j -6.45975e-05-0j -1.87481e-06-0j -1.74563e-09-0j -6.8516e-05-0j -6.987e-08-0j -5.70967e-06-0j -2.12787e-07-0j 
0.00508356-0j -0.0701501-0j 0.00416746-0j -0.0348482-0j -0.00883484-0j 0.00253605-0j 0.00256233-0j -0.0199936-0j 0.000258835-0j -0.0202008-0j -0.00505124-0j 0.000261517-0j -0.00510358-0j -0.000598407-0j -0.000604609-0j 0.00184047-0j 0.00227746-0j 0.00132852-0j -0.0140491-0j 0.000242503-0j -0.0173848-0j -0.0033464-0j -0.0101412-0j -0.00143388-0j 0.000300082-0j -0.000514097-0j -0.00414096-0j 0.000175048-0j -0.00177433-0j -3.92174e-05-0j -0.00241556-0j -0.00103503-0j -0.000636162-0j -4.8529e-05-0j -0.000371095-0j -2.83086e-05-0j 0.00144591-0j 0.00168689-0j 0.001033-0j -0.0108142-0j 0.00147603-0j 0.000608831-0j 0.000180738-0j -0.0126166-0j 0.000120492-0j -0.00249408-0j -0.00772604-0j -0.0110395-0j 0.000210861-0j -0.0014249-0j -0.00455356-0j 0.000140574-0j 1.06501e-05-0j 0.000129126-0j -0.00290976-0j -0.000361244-0j 8.60837e-05-0j -0.00178186-0j 0.000184504-0j -0.000254551-0j 0.000123002-0j -0.00166238-0j -0.00254604-0j 7.61038e-05-0j -4.2647e-05-0j -0.00101799-0j 1.24251e-05-0j 5.07359e-05-0j -0.000421452-0j -0.00105019-0j -2.38818e-06-0j 7.6088e-06-0j -0.000258085-0j -0.000296976-0j -0.00145458-0j -0.00018186-0j 1.0872e-05-0j -4.97549e-05-0j -0.000599984-0j -0.00036877-0j -0.000259854-0j -3.04685e-05-0j 4.48446e-06-0j -2.7862e-06-0j -0.00015211-0j -4.35355e-05-0j -1.7062e-06-0j -0.000107184-0j -2.43793e-06-0j -1.79575e-05-0j -1.00559e-06-0j 
-0.00549087-0j 0.0757708-0j -6.40717e-05-0j 0.000535767-0j 0.000135829-0j -0.00273925-0j 0.00268885-0j 0.0215956-0j -0.000279573-0j -0.0211982-0j 0.00545596-0j 0.000274429-0j -0.00535557-0j 0.000646354-0j -0.000634461-0j -0.00198793-0j -3.50144e-05-0j 0.00280866-0j 0.0151747-0j -0.000261933-0j 0.00026728-0j 0.00361452-0j -0.0214397-0j 0.00154876-0j -4.61355e-06-0j 0.000555288-0j 6.36643e-05-0j 0.000370073-0j 2.72791e-05-0j 4.23596e-05-0j -0.00510679-0j -0.00218818-0j 9.78055e-06-0j 7.46099e-07-0j -0.00078454-0j -5.98479e-05-0j -0.00156176-0j -2.59347e-05-0j -0.00111577-0j 0.0116807-0j 0.00154891-0j 0.0019354-0j -0.00019522-0j 0.000193971-0j -0.000130146-0j 0.00269391-0j 0.00834507-0j -0.0115846-0j -3.24184e-06-0j 0.00153906-0j -0.0144752-0j -2.16123e-06-0j -1.15034e-05-0j -0.000139472-0j 4.47355e-05-0j 0.000390189-0j -9.2981e-05-0j 0.00192462-0j 0.000193613-0j 0.000274946-0j 0.000129076-0j 2.55579e-05-0j -0.00267175-0j 0.000241924-0j 4.60641e-05-0j 0.00109956-0j -1.91027e-07-0j 0.000161283-0j 6.47952e-06-0j -0.00333841-0j 2.57952e-06-0j -8.21844e-06-0j 0.000278764-0j 4.5658e-06-0j -0.0015264-0j 0.000196431-0j 1.14088e-05-0j 7.64946e-07-0j -0.00190727-0j -0.000386978-0j -0.000272684-0j 3.29097e-05-0j 1.42555e-05-0j 4.28359e-08-0j -0.000483538-0j -4.56851e-05-0j 1.8429e-06-0j -0.000340725-0j -2.5583e-06-0j -5.70845e-05-0j -3.19666e-06-0j 
-0.00419372-0j 0.0578709-0j -0.00343798-0j 0.0287483-0j 0.00728837-0j 0.00205858-0j -0.00211382-0j -0.0162293-0j 0.000210102-0j 0.0166648-0j -0.00410021-0j -0.00021574-0j 0.00421024-0j -0.000485742-0j 0.000498777-0j -0.00151831-0j 0.00184867-0j -0.00109597-0j 0.0115899-0j -0.000200055-0j -0.0141117-0j 0.00276064-0j 0.00836602-0j 0.00118289-0j 0.000243584-0j 0.000424108-0j -0.00336132-0j -0.000144407-0j -0.00144027-0j 3.23527e-05-0j 0.00199273-0j 0.000853854-0j -0.000516389-0j -3.93922e-05-0j 0.000306138-0j 2.33534e-05-0j -0.00119281-0j -0.00139161-0j 0.00252922-0j 0.00892126-0j 0.00119813-0j -0.00050226-0j -0.000149101-0j 0.0104081-0j -9.94009e-05-0j 0.00205751-0j -0.0189165-0j -0.00896103-0j -0.000173952-0j 0.00117548-0j 0.00375649-0j -0.000115968-0j -8.78588e-06-0j 0.000316152-0j 0.00240043-0j 0.000298011-0j 0.000210768-0j -0.00436271-0j 0.000149766-0j 0.000209994-0j 9.9844e-05-0j 0.00137139-0j -0.00206668-0j -6.27825e-05-0j 3.5182e-05-0j -0.00249247-0j -1.02502e-05-0j -4.1855e-05-0j 0.00034768-0j 0.000866361-0j 1.97014e-06-0j 1.86294e-05-0j -0.000631898-0j 0.000244993-0j -0.00118072-0j -0.000445267-0j 8.82505e-06-0j 4.10457e-05-0j 0.000494962-0j -0.00029934-0j -0.00021093-0j -7.45993e-05-0j -3.69949e-06-0j 2.2985e-06-0j 0.000125484-0j -3.53388e-05-0j -4.17746e-06-0j 8.84226e-05-0j -1.97893e-06-0j 1.48142e-05-0j 8.29573e-07-0j 
0.00423718-0j -0.0584706-0j -0.00337472-0j 0.0282194-0j 0.00715427-0j 0.00211382-0j -0.00213486-0j -0.0166648-0j 0.00021574-0j 0.0168307-0j -0.00421024-0j -0.000217888-0j 0.00425215-0j -0.000498777-0j 0.000503741-0j 0.00153404-0j -0.00184424-0j 0.00101411-0j -0.01171-0j 0.000202128-0j 0.0140779-0j -0.00278925-0j -0.00774111-0j -0.00119515-0j -0.000243-0j -0.000428503-0j 0.00335326-0j 0.00013362-0j 0.00143682-0j -3.2688e-05-0j -0.00184388-0j -0.000790074-0j 0.000515151-0j 3.92978e-05-0j -0.00028327-0j -2.1609e-05-0j 0.00120517-0j -0.00136601-0j 0.000861017-0j -0.00901371-0j -0.00122978-0j 0.00242299-0j 0.000150647-0j 0.0102166-0j 0.000100431-0j -0.00207883-0j -0.0064397-0j 0.00919777-0j -0.000170751-0j -0.00118766-0j -0.018122-0j -0.000113834-0j 8.87693e-06-0j 0.000107627-0j 0.00235626-0j -0.0003011-0j 7.17514e-05-0j -0.00148519-0j -0.000153723-0j -0.00021217-0j -0.000102482-0j 0.00134616-0j 0.00212128-0j 0.000302873-0j -3.55466e-05-0j -0.000848506-0j -1.00616e-05-0j 0.000201915-0j 0.000341283-0j -0.00417947-0j -1.99056e-06-0j 6.34199e-06-0j -0.000215116-0j 0.000240485-0j 0.00121191-0j -0.000151582-0j -9.05819e-06-0j 4.02904e-05-0j -0.00238778-0j 0.000307248-0j 0.000216502-0j -2.53957e-05-0j 1.7847e-05-0j 2.25621e-06-0j -0.000605358-0j 3.62724e-05-0j -1.42213e-06-0j -0.000426565-0j 2.03121e-06-0j -7.1466e-05-0j -4.002e-06-0j 
-0.00375098-0j 0.0517613-0j -0.00307502-0j 0.0257133-0j 0.00651892-0j -0.00187126-0j -0.00189065-0j 0.0147526-0j -0.000190985-0j 0.0149055-0j 0.00372713-0j -0.000192964-0j 0.00376575-0j 0.000441544-0j 0.000446119-0j 0.00270883-0j -0.00168046-0j -0.000980269-0j -0.0206776-0j 0.00035692-0j 0.0128277-0j -0.00492528-0j 0.0074828-0j -0.0021104-0j -0.00022142-0j -0.000756656-0j 0.00305547-0j -0.000129162-0j 0.00130922-0j -5.77207e-05-0j 0.00178236-0j 0.00076371-0j 0.000469402-0j 3.58079e-05-0j 0.000273818-0j 2.08879e-05-0j -0.00106688-0j 0.00248279-0j -0.000762218-0j 0.00797942-0j -0.00108911-0j -0.000449235-0j -0.00013336-0j -0.0185693-0j -8.89069e-05-0j 0.00184029-0j 0.00570077-0j 0.00814565-0j 0.000310349-0j 0.00105138-0j 0.00335991-0j 0.000206899-0j -7.85833e-06-0j -9.52772e-05-0j -0.00428263-0j 0.00026655-0j -6.35181e-05-0j 0.00131477-0j -0.000136139-0j 0.000187824-0j -9.07591e-05-0j -0.00244671-0j 0.00187863-0j -5.61543e-05-0j 3.14677e-05-0j 0.000751142-0j 1.82875e-05-0j -3.74362e-05-0j -0.000620299-0j 0.000774896-0j 1.76215e-06-0j -5.61426e-06-0j 0.000190432-0j -0.000437094-0j 0.00107328-0j 0.000134188-0j -8.02205e-06-0j -7.323e-05-0j 0.000442707-0j 0.000272103-0j 0.000191737-0j 2.24816e-05-0j -3.30893e-06-0j -4.10078e-06-0j 0.000112237-0j 3.21233e-05-0j 1.25894e-06-0j 7.90875e-05-0j 1.79886e-06-0j 1.32502e-05-0j 7.41993e-07-0j 
-0.00256812-0j 0.0354385-0j -0.00210532-0j 0.0176047-0j 0.0044632-0j -0.00128117-0j -0.00129444-0j 0.0101004-0j -0.000130758-0j 0.0102051-0j 0.00255179-0j -0.000132114-0j 0.00257824-0j 0.000302304-0j 0.000305437-0j -0.000929771-0j -0.00115053-0j -0.000671144-0j 0.00709733-0j -0.000122508-0j 0.0087825-0j 0.00169054-0j 0.00512312-0j 0.000724368-0j -0.000151596-0j 0.000259712-0j 0.00209194-0j -8.8431e-05-0j 0.00089636-0j 1.98119e-05-0j 0.0012203-0j 0.000522876-0j 0.000321377-0j 2.4516e-05-0j 0.00018747-0j 1.4301e-05-0j 0.00513955-0j -0.000852185-0j -0.000521855-0j -0.0384396-0j -0.000745662-0j -0.00030757-0j 0.000642443-0j 0.00637365-0j 0.000428296-0j -0.00886534-0j 0.00390305-0j 0.00557695-0j -0.000106523-0j -0.00506487-0j 0.00230037-0j -7.10154e-05-0j 3.78563e-05-0j -6.52319e-05-0j 0.00146996-0j -0.00128406-0j -4.34879e-05-0j 0.000900161-0j -9.32078e-05-0j -0.000904814-0j -6.21385e-05-0j 0.000839803-0j 0.00128621-0j -3.84462e-05-0j -0.000151591-0j 0.000514272-0j -6.27694e-06-0j -2.56308e-05-0j 0.00021291-0j 0.000530535-0j -8.4889e-06-0j -3.84382e-06-0j 0.00013038-0j 0.000150027-0j 0.000734827-0j 9.18723e-05-0j -5.49232e-06-0j 2.51352e-05-0j 0.000303101-0j 0.000186296-0j 0.000131273-0j 1.53921e-05-0j -2.26547e-06-0j 1.40754e-06-0j 7.68432e-05-0j 2.19933e-05-0j 8.61938e-07-0j 5.41475e-05-0j 1.2316e-06-0j 9.07179e-06-0j 5.08008e-07-0j 
0.0046416-0j -0.0640513-0j 5.41617e-05-0j -0.0004529-0j -0.000114821-0j -0.00227843-0j -0.00227296-0j 0.0179625-0j -0.000232541-0j 0.0179195-0j 0.0045381-0j -0.000231983-0j 0.00452723-0j 0.000537618-0j 0.000536329-0j 0.00168046-0j -2.91239e-05-0j -0.00237424-0j -0.0128277-0j 0.00022142-0j 0.000222315-0j -0.00305547-0j 0.0181236-0j -0.00130922-0j -3.83742e-06-0j -0.000469402-0j 5.29541e-05-0j -0.000312834-0j 2.26899e-05-0j -3.58079e-05-0j 0.00431692-0j 0.00184973-0j 8.13517e-06-0j 6.20583e-07-0j 0.000663196-0j 5.05912e-05-0j 0.0013202-0j 2.19234e-05-0j -0.00279933-0j -0.00987402-0j 0.00128833-0j -0.00163605-0j 0.000165025-0j -0.000163969-0j 0.000110017-0j -0.00227725-0j 0.0209367-0j -0.0096357-0j 2.74043e-06-0j -0.00130102-0j 0.0122363-0j 1.82695e-06-0j 9.72419e-06-0j -0.000349916-0j -3.78163e-05-0j -0.000329838-0j -0.000233277-0j 0.00482863-0j 0.000161042-0j -0.000232421-0j 0.000107361-0j -2.16049e-05-0j -0.00222228-0j -0.000204506-0j -3.89393e-05-0j 0.00275865-0j 1.61481e-07-0j -0.000136337-0j -5.47734e-06-0j 0.00282206-0j -2.18055e-06-0j -2.0619e-05-0j 0.000699383-0j -3.85961e-06-0j -0.00126961-0j 0.00049282-0j 9.48948e-06-0j -6.46632e-07-0j 0.00161228-0j -0.000321877-0j -0.000226811-0j 8.25663e-05-0j -1.20506e-05-0j -3.62105e-08-0j 0.00040875-0j -3.79995e-05-0j 4.6236e-06-0j 0.000288025-0j -2.12792e-06-0j 4.82553e-05-0j 2.70223e-06-0j 
-0.0027076-0j 0.0373633-0j 0.00434455-0j -0.0363291-0j -0.00921027-0j -0.00135075-0j -0.00124985-0j 0.010649-0j -0.00013786-0j 0.00985353-0j 0.00269038-0j -0.000127563-0j 0.00248942-0j 0.000318723-0j 0.000294915-0j -0.000980269-0j 0.00237424-0j -0.00273975-0j 0.0074828-0j -0.000129162-0j -0.0181236-0j 0.00178236-0j 0.0209136-0j 0.00076371-0j 0.000312834-0j 0.000273818-0j -0.00431692-0j -0.000360994-0j -0.00184973-0j 2.08879e-05-0j 0.0049815-0j 0.00213449-0j -0.000663196-0j -5.05912e-05-0j 0.000765292-0j 5.83795e-05-0j -0.000770117-0j 0.00175857-0j -0.000550198-0j 0.00575985-0j -0.000719976-0j -0.00037732-0j -9.62646e-05-0j -0.0131527-0j -6.41764e-05-0j 0.00132839-0j 0.00411503-0j 0.00538484-0j 0.000219822-0j 0.000758926-0j 0.00282205-0j 0.000146548-0j -5.67244e-06-0j -6.87747e-05-0j -0.00303341-0j 0.000192406-0j -4.58498e-05-0j 0.00094905-0j -8.9997e-05-0j 0.000135579-0j -5.9998e-05-0j -0.00173302-0j 0.0012419-0j -4.7165e-05-0j 2.27146e-05-0j 0.000542203-0j 1.29531e-05-0j -3.14433e-05-0j -0.000439361-0j 0.000650849-0j 1.27199e-06-0j -4.05259e-06-0j 0.000137461-0j -0.000309596-0j 0.000709514-0j 9.68621e-05-0j -5.30312e-06-0j -5.18692e-05-0j 0.000371837-0j 0.000179879-0j 0.000126751-0j 1.62281e-05-0j -2.77922e-06-0j -2.9046e-06-0j 9.42695e-05-0j 2.12357e-05-0j 9.08752e-07-0j 6.6427e-05-0j 1.18917e-06-0j 1.11291e-05-0j 6.23213e-07-0j 
0.00423718-0j -0.0584706-0j 4.94427e-05-0j -0.000413439-0j -0.000104816-0j 0.00211382-0j -0.00207492-0j -0.0166648-0j 0.00021574-0j 0.0163582-0j -0.00421024-0j -0.000211771-0j 0.00413277-0j -0.000498777-0j 0.000489599-0j -0.00305995-0j 2.70198e-05-0j -0.00216738-0j 0.0233579-0j -0.000403184-0j -0.000206254-0j 0.0055637-0j 0.0165445-0j 0.00238395-0j 3.56018e-06-0j 0.000854734-0j -4.91283e-05-0j -0.000285577-0j -2.10507e-05-0j 6.52025e-05-0j 0.00394079-0j 0.00168857-0j -7.54743e-06-0j -5.75748e-07-0j 0.000605412-0j 4.61833e-05-0j -0.00363732-0j -3.99203e-05-0j 0.000861017-0j 0.0272042-0j -0.00119526-0j -0.0014935-0j -0.000454665-0j 0.000298572-0j -0.00030311-0j 0.00627411-0j -0.0064397-0j 0.00893955-0j -4.99004e-06-0j 0.00358447-0j 0.0111702-0j -3.32669e-06-0j -2.67914e-05-0j 0.000107627-0j 6.88596e-05-0j 0.000908748-0j 7.17514e-05-0j -0.00148519-0j -0.000149407-0j 0.000640349-0j -9.96047e-05-0j 3.93403e-05-0j 0.00206173-0j -0.000186688-0j 0.000107283-0j -0.000848506-0j -2.94041e-07-0j -0.000124458-0j 9.97368e-06-0j 0.00257618-0j 6.0077e-06-0j 6.34199e-06-0j -0.000215116-0j 7.02796e-06-0j 0.00117789-0j -0.000151582-0j -8.8039e-06-0j 1.17745e-06-0j 0.0014718-0j 0.000298622-0j 0.000210424-0j -2.53957e-05-0j -1.10007e-05-0j 6.59357e-08-0j 0.000373136-0j 3.52541e-05-0j -1.42213e-06-0j 0.00026293-0j 1.97418e-06-0j 4.40509e-05-0j 2.46679e-06-0j 
0.00259473-0j -0.0358058-0j 0.00212714-0j -0.0177871-0j -0.00450945-0j -0.0038418-0j 0.00130786-0j 0.0302878-0j -0.000392102-0j -0.0103108-0j 0.00765199-0j 0.000133483-0j -0.00260495-0j 0.000906512-0j -0.000308602-0j 0.000939406-0j -0.00345007-0j 0.000678099-0j -0.00717088-0j 0.000123778-0j 0.0263358-0j -0.00170806-0j -0.00517621-0j -0.000731875-0j -0.000454587-0j -0.000262404-0j 0.00627303-0j 8.93474e-05-0j 0.00268789-0j -2.00172e-05-0j -0.00123294-0j -0.000528295-0j 0.000963706-0j 7.35154e-05-0j -0.000189413-0j -1.44492e-05-0j -0.0022274-0j 0.000861017-0j 0.000493703-0j 0.0166591-0j -0.002236-0j 0.000310757-0j -0.000278425-0j -0.0064397-0j -0.000185616-0j 0.00384209-0j -0.00369249-0j 0.0167234-0j 0.000107627-0j 0.00219503-0j -0.00232421-0j 7.17514e-05-0j -1.64063e-05-0j 6.17128e-05-0j -0.00148519-0j 0.000556492-0j 4.11419e-05-0j -0.0008516-0j -0.0002795-0j 0.000392132-0j -0.000186333-0j -0.000848506-0j 0.00385693-0j 3.88447e-05-0j 6.56971e-05-0j -0.000486529-0j 6.34199e-06-0j 2.58964e-05-0j -0.000215116-0j -0.000536033-0j 3.67895e-06-0j 3.63646e-06-0j -0.000123346-0j -0.000151582-0j 0.00220351-0j -8.69161e-05-0j -1.64697e-05-0j -2.53957e-05-0j -0.000306242-0j 0.000558641-0j 0.000393646-0j -1.45618e-05-0j 2.28894e-06-0j -1.42213e-06-0j -7.76395e-05-0j 6.59508e-05-0j -8.15439e-07-0j -5.47087e-05-0j 3.69316e-06-0j -9.1658e-06-0j -5.13272e-07-0j 
