0.106775+2.34552e-14j -0.312657+5.0543e-15j -0.0569335-3.73229e-16j 0.106503+4.52428e-16j 0.115223-3.6141e-16j -0.0449625-7.84303e-16j -0.109059-1.4308e-16j 0.0645381-2.49621e-16j -0.0336133-2.41913e-16j 0.125388+3.82184e-15j 0.00742589+8.97897e-16j 0.0198816-1.79931e-15j -0.205727+1.80117e-15j 0.0928517-5.69956e-15j 0.0527922+1.10225e-14j 0.197192-2.4254e-14j -0.115831+3.92754e-16j 0.00954048-5.47391e-15j 0.0167318+1.20911e-14j -0.145923+1.4277e-14j -0.141728+9.23999e-15j 0.0754838+3.6526e-15j -0.184807-1.49903e-15j -0.000491364+1.74924e-14j 0.150957+7.34591e-15j 0.0360482-2.00096e-15j -0.0160959+6.16956e-15j 0.0728093+8.82168e-15j 0.171568-7.9708e-14j -0.0226279-8.21441e-15j 0.16626-4.34901e-14j 0.100294-3.13717e-14j -0.0383003-7.77786e-15j -0.00230593-1.71102e-14j -0.229748+4.62534e-15j 0.00252421+1.78634e-14j 0.0567547+1.46775e-14j 0.00528964+5.70686e-14j 0.0722888+4.81292e-14j 0.120955+6.16091e-14j -0.0584329+4.70404e-14j -0.115019-3.10903e-13j -0.114371-1.10205e-15j -0.167765-2.90372e-15j 0.120767-2.08489e-15j -0.0288416+1.09078e-15j 0.0249856-1.89264e-15j -0.012644-5.62079e-16j 0.0707572+7.48608e-16j -0.127962-2.47355e-16j 0.058701-1.12255e-15j 0.00214831+1.49358e-17j -0.0361195+5.52125e-17j 0.179537+1.91725e-16j -0.296081+3.38906e-15j 0.0732402-1.52128e-14j 
0.000661412+6.72285e-16j 0.0021576+1.44396e-16j -0.00202382-5.69281e-18j -0.00266771+9.28555e-18j 0.00035287+8.45885e-18j -0.00151428-4.29291e-17j 0.00254918-2.23819e-17j -0.00420997+1.61577e-17j -0.000122914+1.69619e-18j -0.00145197-1.08967e-16j 0.000403772-2.10198e-17j 0.000774806+6.23082e-17j -0.00279107+7.57837e-18j 0.00137149-3.07116e-18j 0.000376215-1.87074e-16j -0.00189735+5.84587e-16j -0.00251157+7.99274e-16j -0.000530853+9.66822e-17j 0.00217532-1.37714e-16j 0.00152966-4.33024e-16j 0.00237171-2.31843e-16j -0.00183086+1.37513e-16j 0.00336131-7.63704e-17j -0.000909172-2.59484e-16j 0.000186689-1.87136e-16j 0.00475364+5.1403e-16j 1.25152e-05+2.02832e-16j 0.00467498+3.0586e-16j 0.00132547-5.56127e-16j 0.000692707+2.16762e-16j -0.00232337+3.66267e-16j -0.00159371+2.98098e-16j -3.26026e-05+2.77848e-16j 0.00333633+1.34432e-16j 0.000792099-1.8304e-16j 0.00236832+3.32745e-16j -0.00233687-5.46771e-16j -0.00332397-1.12145e-15j 0.00243132-8.19374e-16j 5.88436e-05+5.71796e-18j 0.00196323-4.71938e-16j 0.00167934+4.08865e-15j -0.00059521-6.3075e-17j -0.00285589-1.91577e-17j -1.97538e-05-5.59543e-17j -0.000506798-3.98586e-17j -0.00188709+4.43282e-17j -0.00118884+7.28025e-18j -0.00442744-2.60658e-17j 0.00240497-2.66564e-17j -0.000107655+7.45921e-18j -0.000405227-7.29051e-18j 0.0033008-5.91726e-18j 0.000443869+1.31728e-17j 0.00225578+2.18365e-17j 0.00126489-7.87227e-17j 
0.000481667+4.46095e-16j 0.000875445+1.18405e-16j -0.000965149-5.43696e-17j -0.000427735+9.11481e-17j 8.24483e-05-7.20669e-17j -0.000545147-3.28853e-17j 0.000737587+6.28744e-17j -0.000832202+7.79056e-17j -0.000215079-8.16924e-17j -0.000158832+9.05416e-17j 0.000229875+9.80316e-17j 0.000438308+1.4182e-17j -0.000278236-3.01982e-17j 0.000249815+6.49808e-17j 0.000191633-9.92707e-17j -0.00059607+1.70535e-16j -0.000812491+2.98479e-16j -2.82146e-05+1.57357e-17j -8.08285e-06-1.7082e-16j 0.000342152-2.31189e-17j 0.000362718-1.16877e-16j -0.000823808-5.06852e-17j 0.000543955-8.50077e-18j -0.00036937-7.27096e-17j 8.55034e-05-2.40921e-17j 0.00157062+2.72669e-16j -4.03828e-05+2.43253e-17j 0.000865444-6.6194e-17j -8.53937e-05-8.30392e-17j 0.000370083+2.45981e-16j -1.27624e-05-9.84875e-18j -0.000656783+4.44352e-17j -0.000101786-4.36433e-17j 0.000882179-3.17148e-17j 0.000141912-7.89172e-17j 0.000750529+1.3513e-16j -0.000732367-9.794e-17j -0.00072035-2.9995e-16j 0.000506456-2.65703e-16j 0.000398557+2.697e-16j 0.000869539+1.90378e-17j 0.000506011+1.11117e-15j 0.000114467+1.48753e-17j -0.00029249-5.3724e-17j 7.86361e-05+1.19628e-17j -0.000211812-6.68828e-17j -0.000554983+1.25241e-16j -0.000329123+3.1313e-17j -0.000921561+4.98072e-17j 0.000694506+7.43317e-17j 0.000221166+5.36898e-17j -0.000413924-7.70538e-17j 0.000821124-4.82511e-17j 0.000463021+4.50187e-17j 0.00093684+4.37145e-17j 0.000627091-1.24381e-17j 
0.000995967+7.19868e-16j 0.0011986+1.48567e-16j -0.00223754+2.29369e-17j -0.00257179-4.30242e-17j 0.00296927-9.65388e-18j -0.00154935-2.74406e-17j -0.00119728+2.64193e-17j -0.00294057-5.05844e-17j 0.00139962+5.69879e-17j -0.00348126-1.97425e-16j -0.00181301+6.35062e-17j 0.00186655-9.69689e-18j 0.00255203-8.10107e-17j -0.00178066-2.12455e-17j 0.00211768-3.20971e-16j -0.000112655+6.36161e-16j -0.00387222+8.14068e-16j 0.000124294-3.93892e-16j 0.00276592-7.53944e-18j -0.00110481-9.62126e-17j 0.00133539-7.65031e-17j -0.000752593-2.3878e-17j -0.000469493+1.85234e-16j -0.00245384-5.3664e-16j -0.00115981-2.13804e-16j 0.00134385+1.53566e-16j 0.00142727+3.6015e-16j 0.00370153+1.65539e-16j 0.00396983-1.36824e-15j -0.00317355+2.63515e-16j 0.00280127-8.86509e-16j -0.00202956-6.44215e-17j 0.00218569-1.98112e-17j 0.0027157-7.20469e-17j -0.000274501-2.29839e-16j 0.00174671+4.07956e-16j -0.00229112-9.46726e-17j -0.00146286+3.65944e-16j 0.0027264+4.27353e-16j 0.00064977+2.24146e-16j -0.00131515-5.86232e-16j 0.00127236+4.14028e-15j 0.00116266-2.90764e-17j 0.00280522-1.05954e-16j -0.000500885-5.33431e-17j 3.40773e-05-7.58985e-17j -0.00514843+1.86563e-16j -0.00228748+5.8804e-17j -0.00276804-7.56172e-17j -0.00156454+2.48304e-18j -0.000147336-2.60168e-17j 0.000753481+2.71012e-17j 0.00330407+3.08169e-17j 0.00152861-2.49618e-17j 0.00147586+2.15222e-17j 0.00175186-1.75575e-16j 
0.000974478+7.47096e-16j 0.00127278+1.75521e-16j -0.0014672-8.21186e-19j 0.000210408+4.28211e-17j 0.000146743-5.26971e-17j -0.00104217-3.7673e-17j -0.000269016-1.00697e-18j 0.000303536+5.47238e-17j -0.000621611-2.28621e-17j -0.000895637-3.12928e-17j 0.00118383+7.04608e-17j 0.000907341+2.87074e-18j 0.00222501+3.99285e-17j 0.000331063+6.53742e-17j 0.00120754-1.56766e-16j -0.000223614+2.16435e-16j -0.000574532+2.80963e-16j -0.00086892+9.28598e-16j -0.00223437+1.51423e-16j 0.0005265+1.51088e-16j -0.000613914+3.62244e-19j -0.00119664-1.49827e-16j 0.000656914+1.21277e-16j -0.00152296-3.85347e-16j 2.77592e-05-1.80768e-16j 0.000689796+3.46067e-17j 0.00167715+7.34967e-17j 2.97436e-05-1.16609e-16j -0.000376248+2.77099e-16j 0.0013762+1.97414e-16j 0.00183622-2.08119e-16j -0.00123679+1.31606e-18j -0.000275915-1.08599e-16j -0.000939251-1.85416e-16j -0.000428973-1.07973e-16j 0.000923789+2.54085e-16j -0.00026878-8.85951e-17j -0.0014384-8.76603e-16j 0.0003922-7.24405e-16j 0.000662552+4.25885e-16j 0.00132539+2.10871e-16j -5.07137e-05-6.11416e-16j 0.00216587+1.00504e-16j 0.00158049+3.4435e-17j -0.000459194-2.86079e-17j -0.00129271-1.30633e-16j -0.000907222+1.00417e-16j -0.00092381-1.30337e-17j -0.000217168+3.52423e-17j -2.92594e-05+1.69218e-17j 0.000900116+5.49924e-18j -0.000219494-5.72892e-18j 0.000727638-2.16908e-17j 0.00105433+2.72256e-18j 0.00130785+3.09194e-17j 0.00112768-8.9101e-17j 
-0.000805616-3.05098e-16j 0.00104243-7.3278e-17j 0.000548548-4.73044e-17j -0.00162866+2.20712e-17j 2.12905e-05+2.56127e-17j -5.26885e-06-1.71811e-17j 0.000261006-4.26803e-18j -0.00162927+2.25736e-17j 0.000631443+1.0342e-18j -0.00182302-5.09972e-17j -0.000285033-2.12758e-17j -0.000174437+6.12136e-17j 0.000199983+6.71513e-18j -0.000113652+1.70177e-17j 0.000123516-4.75463e-17j -0.000744615+1.74888e-16j 9.06944e-07+5.21375e-17j -0.000540928+2.17135e-16j 0.00147662-1.16152e-16j 0.000826098-2.3639e-16j 0.00146119-1.09392e-16j 6.80003e-05-4e-18j 0.00196166-3.39061e-17j -0.000388114-1.96055e-16j -0.000805313-2.56258e-17j -0.000226175-2.14661e-18j 0.000722081+4.28845e-17j 0.00153391+1.31203e-16j 0.000985217-4.03201e-16j -0.000439828-1.59277e-18j -0.00162079+4.22727e-16j -0.000447557+1.91596e-16j 0.000603937+1.14597e-16j 0.000429302+1.23215e-16j 0.00100229-7.19979e-17j 0.000292786-1.38532e-18j -0.00047287-2.31963e-16j -0.00120178-4.2754e-16j 0.000704161-3.60606e-16j -0.00121776-6.05523e-16j -0.000387103-2.72838e-16j 0.000579134+1.83849e-15j 0.000318026-2.00062e-17j -6.77712e-05+4.04211e-17j -0.000848861+2.36772e-17j -7.42014e-06+2.57842e-18j -0.000965765+2.88711e-18j -0.000504969+1.08731e-17j -0.00168099+6.41708e-18j 0.000340188-1.94718e-17j -0.000698958+3.64156e-17j 0.00079167-2.77206e-17j 0.00112707-8.19936e-19j -0.0011202+5.28438e-17j 0.000938626-8.13087e-18j -0.000459183+1.09622e-16j 
0.000726179+6.74402e-16j 0.00176342+1.24988e-16j -0.00152081-3.30132e-17j 0.000106057-1.53006e-17j -0.000135642+6.13925e-17j -0.000126044-1.75752e-17j 0.00167552-4.08632e-17j -0.000427606-2.07203e-17j -0.000195678+1.02538e-17j 0.00141326+2.32712e-17j -0.000730372-9.74752e-18j 0.000662778-1.37395e-18j -0.000191546+4.45373e-17j -0.000980901-9.26712e-17j -0.000731401-5.65385e-17j -0.00134849+2.97055e-16j -0.00107631+2.80054e-16j 0.00154638-1.14833e-15j 0.000103547-1.57725e-16j -0.000291225-7.22938e-17j 0.000342652-1.02637e-16j -0.00140895+6.73632e-17j -0.00141664-1.57729e-16j 0.000579249+1.32965e-16j -0.000177153-4.89323e-17j 0.002625+4.10533e-16j -0.00214389+1.15583e-17j -0.000600402-1.67323e-16j -0.00177973+8.2106e-16j -0.000532511+1.37888e-16j 0.000500478-2.23275e-16j -0.000813949-2.35568e-17j 2.5745e-05+3.97794e-17j 0.0024518+1.10432e-16j 0.000847177-7.75566e-17j 0.000532473-7.3598e-18j -0.00143121+7.99774e-17j 0.00148866+6.01753e-16j -0.000439948+5.55308e-16j 0.00130837+6.68899e-16j 0.00115439-4.74461e-16j 0.00133278+3.32814e-15j -0.000846863+8.21631e-19j 0.000525944+2.26676e-17j 0.000753107-8.75132e-18j 0.00100253+1.29449e-17j -0.000322885-4.5623e-17j 0.000487161-1.48649e-17j -5.68435e-05-8.56001e-18j 0.00131865-4.30737e-17j 0.000233612-3.78544e-18j -0.00165256+3.22285e-18j 0.00022668+2.68527e-17j 0.000678243+3.48018e-17j 0.00195254-4.95383e-19j 0.000785553-1.29639e-17j 
9.98997e-05-5.25479e-17j -0.000963601-2.21776e-17j 0.000134474-1.34609e-17j 0.000386236-3.0417e-18j 0.000153318+3.77839e-17j 0.000126654-7.74198e-18j -0.000191862-5.08818e-17j 0.000304212+8.05486e-18j -3.79211e-05+9.87817e-18j 0.000639614-1.52301e-17j -0.000142483-1.24298e-17j -0.00013264+1.09378e-17j -0.000822298+7.86341e-17j 0.000147614-4.56343e-17j -0.000152158+9.76694e-17j 0.000510392-9.03029e-17j -5.52215e-05-8.98897e-17j 0.000227011-2.01786e-16j 0.000222297-1.47784e-17j -0.000453672+7.94301e-18j -0.000348484+8.38808e-18j 0.000370936+3.4847e-17j -0.000687381-5.04295e-17j 0.000343362+9.06721e-17j 0.000382801+4.2865e-17j -7.82621e-05-5.04368e-17j -0.000416408+3.46873e-17j -0.00010032+1.47668e-17j 0.0002365-1.07076e-16j -0.000202531-7.42174e-17j 0.000143054-2.35494e-18j 0.000493413-9.77187e-17j -0.000115722+8.83876e-18j 5.75585e-05-4.22111e-17j -0.000472645+1.45386e-17j -0.00022558-1.30124e-17j 0.000250991+7.59136e-17j 0.000425257+3.02659e-16j -5.26219e-05+2.68083e-16j 0.000232231+1.15104e-16j -0.000301631+7.15316e-17j -0.000300601-7.75957e-16j -0.000643578+3.20629e-17j -0.000612007+5.98002e-17j 0.000406567-1.22759e-17j 0.000173964+9.00036e-18j 0.000385845-6.85945e-17j 0.000226581-2.7094e-17j 0.000411708+1.10699e-17j -0.000272502-5.02513e-17j 2.95256e-05+5.63e-18j -4.4695e-05+1.92436e-17j -0.000377412+1.23176e-17j 0.000252942+2.12482e-17j -0.000931521-2.29387e-18j -4.09482e-05-3.23717e-18j 
0.000728511+3.04581e-16j -0.00139067+5.09506e-17j -0.000576863-6.77631e-17j 0.000300876+2.37704e-17j 0.00131304+3.35221e-17j -0.000594123-3.40486e-17j -0.00172083-7.61327e-18j 0.000467533+1.2373e-17j 0.000136106+1.56052e-17j -0.000704588-3.95998e-18j -6.84862e-05-5.81089e-18j 0.000580211+3.11333e-17j 0.00110328+3.66481e-17j -9.45865e-05-5.50458e-17j 0.00123636-1.51392e-17j 0.00138131-1.76438e-17j -0.00101372-4.7255e-20j -0.00038176+4.06187e-16j -0.000261716+1.62737e-16j -0.00101647+9.98224e-17j -0.000942618+5.22678e-17j 0.000409906-1.00748e-16j -0.00110544-1.08355e-17j -0.00106561-1.83249e-16j 0.000311294-3.23991e-17j -0.000759312-8.94516e-17j 0.00124894+6.50235e-17j 0.000529639+1.29954e-17j 0.00181243-6.65366e-16j -0.000618002-5.53795e-17j 0.0023806-3.74798e-16j -2.39828e-05-2.30129e-16j 0.000374528-1.02964e-16j -0.000686624-1.20404e-16j -0.00149144-6.15989e-17j 0.000183853+2.16581e-16j 0.000275711+5.96218e-17j -0.000435259+2.57173e-16j 0.000779048+1.78802e-16j 0.000604363+3.9042e-16j -0.000856828+2.65689e-16j -0.000745188-1.79081e-15j 0.00076726+1.9222e-17j 0.00101448+5.15252e-17j 8.30484e-05+1.95041e-17j -0.000585651-2.10616e-17j -0.00115767-1.90463e-19j -0.000820969-2.66913e-18j 0.000360036+2.68066e-17j -0.00173232-2.69606e-17j 0.000439634+1.27069e-17j 0.000571197-2.9596e-17j 0.000276031+1.23999e-17j 0.00125855+7.05245e-17j -0.00129135+2.97008e-17j 0.000711313-6.04031e-17j 
0.000588999+2.3241e-16j -0.000342851+3.30504e-17j -0.000590891+8.64678e-17j 0.000628021-9.09144e-17j -0.000344564+7.18038e-17j -0.00034099+1.89614e-17j 0.000585331-1.13315e-16j 0.000258762-5.72446e-17j -0.000732791+8.8162e-17j 0.00100151-1.17571e-16j 0.000868572-1.16699e-16j 5.61159e-05-1.29019e-17j -0.0012641+1.07207e-16j 0.00103611-9.47976e-17j -6.41954e-05+5.57654e-17j 8.22609e-05-1.08963e-17j -0.000101289+3.51904e-17j -0.000173883+2.44185e-16j -0.000956189+2.50859e-16j 0.000238899-1.18597e-17j -0.000525606+8.241e-17j -0.000431573+1.06323e-16j 0.000183858-3.99473e-17j 0.000112957+3.83486e-17j 0.00083889-9.60784e-17j 0.00119202-4.50769e-17j -0.000204469+2.92689e-17j 4.48388e-05+8.17162e-17j -0.000613249+3.82992e-16j 0.00128289-1.66949e-16j -4.96758e-05+3.88277e-17j 0.000109762-1.33833e-17j -0.000815428+1.16178e-16j -9.78706e-05-2.56303e-17j -0.000553822+3.60852e-17j 0.000324693+5.07439e-17j 0.000112627-5.21819e-17j -0.000462683-3.1356e-16j 1.37968e-05-2.11132e-16j 0.000594561+2.54023e-16j 0.00109036+4.87738e-17j -0.00025805-1.14284e-15j -0.000260989+1.01652e-17j -0.00132671+9.89307e-17j 0.000487229-6.76089e-17j -0.000467119+3.05327e-17j 0.000827032-1.43842e-16j 0.000143586-5.95424e-17j 7.88774e-05-3.59231e-17j 0.00062482-1.10254e-16j 0.000515148-7.77454e-17j -0.00055107+1.0276e-16j -0.000151776+3.73694e-17j 0.000658434-6.94568e-17j -0.000311725-2.47647e-17j 0.000439035-1.09933e-16j 
0.00062202+1.17557e-16j -0.00215857+3.36395e-17j -0.000322343-2.97853e-17j -3.76733e-05+3.70249e-17j 0.000795898-3.56964e-17j -0.0007779-2.60424e-17j -0.000734829+4.41807e-17j -0.000499204+1.88514e-17j -0.000325522-2.90406e-17j -0.000304262+3.18655e-17j 0.000824169+1.09371e-17j 6.20478e-05+2.39684e-17j -0.00197521-4.41328e-17j 0.00170257+2.7853e-17j 0.000898438+2.7598e-17j 0.00135751-1.38559e-16j -0.000877583+7.59849e-17j -0.00103576+7.65774e-16j 0.000283456+1.33933e-16j -0.000181676+7.72883e-18j -0.000508712+3.50293e-17j 0.00050777-1.26078e-17j 0.000714323+2.2648e-17j -0.000673245-5.029e-17j 0.00121193+2.15367e-17j 0.00043071+8.84372e-18j 0.00116293+4.76068e-17j 0.0020864+2.21284e-16j 0.00219668-1.03284e-15j 0.00072034-3.47285e-17j 0.000193414-1.78275e-17j 0.000505323-1.00186e-16j -0.000436335-1.10923e-17j -0.000494277-1.01676e-16j -0.00173845-1.40476e-18j 0.000535524+2.58485e-16j 0.000451145-1.49447e-16j -0.00192253-4.25392e-16j 0.00138601-3.57216e-16j 0.000196488+1.49697e-16j -8.84556e-05+4.97882e-16j -0.000982825-2.75347e-15j -0.000263111-4.28197e-17j -0.00222229-5.67997e-17j 0.000361484+1.94916e-18j -0.00105477-1.82666e-17j -0.000116653+3.53378e-17j -0.00071959+9.37161e-18j -0.00080291+8.57071e-18j -0.000666718+3.9603e-17j 0.000366607+1.43318e-17j 0.000663706-4.26325e-17j 0.000623981-1.64166e-17j 0.00103681+2.47654e-17j -0.00212618+3.98382e-17j 0.000544265-9.46245e-17j 
0.000142731+5.31066e-17j -0.000191285+1.42977e-17j -0.000136604+7.78275e-18j 0.000402687-1.5226e-17j 0.000113154-4.56635e-17j 0.000251225-7.90641e-18j 0.000107099+5.84147e-17j 0.000364484-4.12855e-17j 7.75701e-05-4.29381e-17j 0.000866583+3.99856e-17j -0.000591169+9.53191e-17j 5.88373e-05-4.5799e-17j -0.000160314-1.08587e-16j -0.00058301+7.15393e-17j -0.000387417+1.80504e-17j 3.97842e-05-4.43462e-17j -0.000189306+2.50519e-17j 0.000796138-6.77643e-16j 0.00023514-1.11805e-16j -0.000617873+1.1799e-16j -0.000214849+1.53988e-17j 2.55086e-05+1.2899e-17j -0.00132677+9.79838e-17j 0.000508153+1.57581e-16j 1.6473e-05+8.53468e-17j 0.000206839+1.19072e-16j -0.00101914+1.82195e-17j -0.000683345-2.93796e-17j -0.000425638+1.39878e-16j -0.00068251+1.37994e-16j 0.000485176-3.11655e-16j 0.0001848-7.66615e-17j 0.000109194-8.92548e-17j 0.000652932-2.61714e-17j 8.71276e-06+1.96819e-17j -0.000247948-4.04873e-17j -0.000151104+1.64885e-16j 0.00121843+4.94178e-16j -0.000398748+5.17933e-16j 0.0004945+1.99418e-16j -0.000222778-1.59125e-17j 0.000166974+5.10468e-16j -0.000666352-4.9539e-18j 0.000267492-1.55077e-16j 0.000458179-5.64523e-18j 0.000629022-3.01697e-17j 0.000142173+5.73836e-17j 0.00040565+4.79701e-18j 0.000633052-5.66494e-17j -7.52306e-05+7.35145e-17j -2.6013e-06+5.78886e-18j -0.000458738+3.74063e-18j -0.000438294+1.99957e-17j 0.00024117-2.22856e-17j -0.000116038-3.2936e-18j 4.32982e-05-1.51155e-17j 
-0.0004991-4.73765e-16j -0.00148481-1.21715e-16j 0.000934514-2.05754e-17j -0.000191408-3.13928e-17j 0.00019316+5.61871e-17j 0.000442481+4.47744e-18j -0.000221225-1.68018e-17j -0.000312401-4.14719e-17j 0.000361918+2.27916e-17j 0.000281377-1.11183e-17j -0.000518928-5.84004e-17j -0.000570481+2.16796e-17j -0.00177722-7.94939e-18j 0.00024869-4.59514e-17j -0.000413397+1.31058e-16j 0.000616174-1.6795e-16j 0.000159707-2.05292e-16j 0.000153526-2.97064e-16j 0.00150976-2.41202e-17j -0.000391845-1.08703e-16j 0.000237516+1.62639e-17j 0.000999903+8.71877e-17j -0.000149063-7.41273e-17j 0.000677165+1.78297e-16j 0.000270703+1.1179e-16j -0.0005691-6.5517e-17j -0.000528648-5.98432e-18j 0.000609191+1.72334e-16j 0.00103521-4.84505e-16j -0.000720829-1.78046e-16j -0.00105027+1.68391e-16j 0.000935932-3.97679e-17j 0.000117521+8.18518e-17j 0.000282171+8.84438e-17j -0.000258128+5.15098e-17j -0.000468669-7.63539e-17j 0.000372561+2.42378e-18j 0.000278197+4.00712e-16j 0.000188775+3.58169e-16j -0.000466028-2.73164e-16j -0.00100708-2.74883e-18j -0.000317259-5.38572e-16j -0.00130903-5.94094e-17j -0.00149318-3.3971e-18j 0.00029767+1.57237e-17j 0.000459928+7.25127e-17j 0.000452253-9.56771e-17j 0.000306041-1.03631e-17j -8.95777e-05-3.12347e-17j -0.000330236-3.29924e-17j -0.000494691+1.05453e-18j 0.000474949+7.46941e-18j -0.000265169+3.05973e-17j -0.000424927+2.31253e-17j -0.00150935-1.75248e-17j -0.000605988+4.63256e-17j 
0.000256165+2.06153e-16j -0.000577722+6.83201e-17j -0.000103697-1.52855e-16j 0.000757322+1.65865e-16j -0.000439647-8.99489e-17j 0.000147157-5.30346e-17j 0.000639684+1.19734e-16j 0.000473773+1.20107e-16j -0.000486086-1.65864e-16j 0.00150537+2.7638e-16j 0.000280201+1.48785e-16j -0.000208423+3.0313e-17j -0.00153946-6.10229e-17j 0.000542369+9.6112e-17j -0.000584108+5.59137e-17j 8.27715e-05-1.54929e-16j 0.000195827-5.75004e-17j 0.000384536-2.37251e-16j -0.000387589-3.07163e-16j -0.000100935+6.77293e-17j -0.000437679-1.17298e-16j -7.45429e-05-8.83939e-17j -0.000525673-1.08021e-16j 0.000742025+2.35075e-16j 0.000675571+1.70239e-16j 0.000790754+3.24842e-16j -0.00101205-1.20093e-16j -0.000528058-1.57576e-16j -0.000874391+2.85249e-17j 0.000606631+2.22038e-16j -0.000345592+1.22797e-16j 0.000489307-7.76031e-17j -0.000641981-1.39338e-16j 0.000235646-2.06872e-17j -0.000271461-8.1674e-18j -0.000138992+1.43509e-17j 0.000187519+5.32211e-17j 0.000559589+1.49255e-16j -0.000425272+5.83902e-17j 0.000497598+4.129e-16j 0.000580463+3.68287e-16j -0.000159266-7.14687e-16j -0.000939657+1.0256e-17j -0.0012963-9.02927e-17j 0.000668516+7.83707e-17j 0.000173594-4.77944e-17j 0.00115993+1.05401e-16j 0.000603262+3.17691e-17j 0.000543484+9.57967e-17j 0.000568191+1.34995e-16j 0.000225024+1.18189e-16j -0.000639215-1.6205e-16j -0.000639396-6.59457e-17j 0.000292048+1.31966e-16j -0.000545647+6.36303e-17j 3.07944e-05+8.4107e-17j 
-0.000222833-3.09647e-16j -0.0007166-9.49682e-17j 0.000390525+1.0073e-16j -0.000157154-1.3845e-16j 0.000171423+8.3703e-17j 0.000237886+2.90868e-17j -1.16942e-05-9.76319e-17j -0.000281749-1.14962e-16j 0.000242564+1.03312e-16j 0.000236448-1.81334e-16j -0.000444795-9.5605e-17j -0.000248653-2.54942e-17j -0.00103065+3.67071e-17j -3.30428e-06-6.9806e-17j -0.000284192+9.57644e-17j 0.000248763-3.61772e-17j -8.03662e-05-6.04864e-17j 0.000258289-3.62902e-16j 0.00100082+1.32172e-16j -0.000304701-6.46633e-17j 0.000204596+8.58989e-17j 0.000471134+1.54075e-16j -0.000263478+4.30018e-17j 0.000426008+8.35196e-17j 0.000112923-7.24463e-18j -9.32343e-05-1.61702e-16j -0.000509447+9.72227e-17j 0.000370999+2.00445e-16j 0.000543794-7.11969e-17j -0.000584699-1.97984e-16j -0.000524433-3.29696e-17j 0.000456866-8.80525e-18j 0.000131865+1.3242e-16j 0.000465308+3.35852e-17j -7.62895e-05+5.32106e-17j -0.000212555-7.0206e-17j 4.53438e-05+3.021e-17j 0.000312018+2.61686e-16j 0.000118471+3.50337e-16j -0.000148184-2.28359e-16j -0.000554242-2.07476e-16j -3.82033e-05+8.04589e-17j -0.000860978-2.01223e-17j -0.000776634+1.87915e-17j 0.000242999-6.60447e-17j 0.000393474+5.40023e-17j 0.000134478-1.41053e-16j 0.000192649-4.90104e-17j -0.000100094-1.03448e-16j -0.000122602-1.01961e-16j -0.000289909-7.73145e-17j 0.000150101+1.32539e-16j -8.34521e-05+7.35912e-17j -0.000170366-8.69765e-17j -0.000707475-5.56923e-17j -0.000267521-5.04407e-17j 
-5.05148e-05-1.79359e-16j -0.00158962-3.72212e-17j 0.000467648-6.33648e-17j 0.000365514+4.60964e-17j 0.000550438-3.56531e-17j 0.00029791-3.02313e-17j -0.000817784+5.1789e-17j 0.000440341+2.0644e-17j 0.000294386-6.89824e-17j 0.000446725+7.38815e-17j -0.000609879+1.0663e-16j -0.00019323+1.96214e-19j -0.000600115-4.80535e-17j -0.000221711+6.1765e-17j -5.52474e-05+9.92462e-17j 0.000972588-1.82716e-16j -0.000117991-1.30702e-16j 0.000354702-3.87424e-16j 0.00075282-1.52732e-16j -0.000939546+1.01842e-16j -0.000435775-2.78191e-18j 0.00087795-3.1305e-17j -0.00126805+4.68918e-17j 0.000362235+1.30315e-16j 0.000267221+1.5285e-16j -0.000838411-7.25189e-18j -0.000369232+3.64597e-17j -0.000114013+1.71742e-17j 0.000906466-5.01484e-16j -0.000961729+6.41441e-17j 0.000505883-1.74001e-16j 0.000760518-1.62695e-16j 0.000227972-1.15588e-16j -1.84159e-05-8.36697e-17j -0.00069302+1.33632e-17j -0.000507374-2.73228e-18j 0.000425822+1.61074e-16j 0.000803831+5.72986e-16j 4.05537e-06+5.25421e-16j 0.000128393+7.75036e-17j -0.00111017+2.23362e-16j -0.000486589-1.02456e-15j -0.000795318+2.12781e-17j -0.000267106-8.8754e-17j 0.000413311+2.26544e-17j 0.000396767-3.3726e-17j 0.000122753+4.37046e-17j 0.000192716+4.56946e-18j 0.000671289+5.81504e-19j -0.000954865+5.90424e-17j -0.000145197+5.52105e-17j 0.000292099-4.1894e-17j -0.000515181+1.27552e-18j 0.000222524+5.32224e-17j -0.00154733+1.70691e-17j -0.000211563+3.07339e-17j 
