-0.221649+1.43495e-12j 0.191763+3.14973e-13j -0.10553-3.53903e-15j 0.183779+5.53892e-15j 0.0750578-3.65466e-15j -0.0557643-8.00221e-15j -0.0318248-1.47398e-15j -0.0162848+1.16491e-15j -0.0838409-2.08082e-15j 0.144112+1.08606e-15j 0.00848093+8.43559e-15j -0.049725-1.83413e-15j -0.150215-6.08316e-15j -0.140017-2.76067e-14j -0.00641913-2.82521e-15j -0.0425919+2.48606e-15j -0.0832968-2.45835e-14j -0.0723952-3.48004e-14j 0.208971+3.0751e-14j -0.0252898-5.08639e-15j 0.173541+2.96222e-14j -0.0270576-1.26963e-14j 0.169254-1.08506e-14j -0.0391338+4.82856e-14j 0.147838-1.11225e-14j -0.108271+3.60761e-14j 0.0572889+1.31355e-14j -0.146855-6.66335e-15j 0.00894277+1.60775e-14j 0.136335-1.78597e-14j 0.057958+2.93128e-15j 0.192739-5.34234e-15j -0.0785091+4.70013e-15j 0.0788708-1.1029e-13j 0.203267+2.54053e-14j 0.0014208+2.33249e-14j -0.0234448+1.09083e-14j -0.0684904+1.98934e-14j 0.042435-1.7583e-14j 0.00180857-9.52989e-15j 0.0701494-1.30893e-14j -0.0808264+1.60482e-14j 0.088079-8.87781e-15j -0.102689+1.13687e-13j -0.146436+7.76105e-15j 0.0529715+1.68919e-14j -0.00875069-2.77547e-14j -0.127358+3.33049e-14j -0.274954+4.91065e-15j 0.0207918+8.11168e-15j 0.112779-1.25787e-14j -0.0684978-5.03472e-14j 0.0794012+5.91877e-15j -0.00193463-5.33255e-15j -0.0451215-1.63486e-15j -0.0400549-4.06245e-15j 0.0737295+1.15477e-14j -0.00502064+6.55564e-15j 0.0478258-7.25331e-15j -0.0353828-5.54605e-14j -0.113592+3.24639e-14j 0.0715054+3.4569e-15j -0.0535886-2.54877e-15j 0.0612724-7.09863e-16j 0.0837428-1.48116e-15j -0.1563-1.248e-15j -0.0248547+2.47397e-15j 0.00833799-2.60677e-15j -0.0530087+1.904e-15j -0.0942649-1.73838e-15j 0.00665459+4.31517e-16j -0.0845531+4.63186e-15j 0.0420089+1.47527e-15j 0.0566254+2.8033e-15j -0.241596-7.8429e-16j 0.204234+3.04924e-13j -0.139815-1.36745e-12j 
-0.000543557+5.40529e-15j -0.000625507+1.14962e-15j -0.00114141-7.48642e-17j -0.00049061+2.53644e-17j -0.00199084-2.03958e-16j -0.000325188-5.39646e-17j 0.00337865+2.85227e-16j -0.00180943-9.72472e-17j -0.000352384-8.03477e-17j 0.00189073+1.8098e-16j 0.000950131+2.20637e-16j 0.00108726+6.12938e-17j -0.00135772-2.09264e-16j -0.00243922-6.89621e-16j 0.000145699+5.31854e-17j -6.17608e-05+1.12971e-16j 0.000613363+7.70133e-17j 0.00111676+9.33468e-16j -0.000239944+8.792e-17j -0.00218173-3.01382e-16j 0.00174551+3.40524e-16j -3.70282e-05-1.5797e-16j 0.000356612-6.87627e-17j -0.000486495+4.62742e-16j -0.00051432-2.78138e-17j 0.00143573-7.47552e-16j 0.00077376-6.71013e-17j -0.000157487+3.48093e-16j -0.00200852+1.18219e-17j -0.00169168+3.06457e-16j -0.000706794+7.91276e-17j 0.00108322-7.65012e-16j 0.00182398-1.45e-15j 0.00145011-2.29126e-15j 0.000100899+1.15527e-16j -0.000698488-2.14798e-16j -0.0016048-2.52293e-16j 0.00264821-4.83145e-16j -0.00302258+3.95088e-16j -0.00377981+2.54215e-16j 0.00189421+5.10032e-16j -0.00118294-1.96741e-17j 0.00181322+1.93715e-16j 0.000896587-5.04427e-16j -0.000951356+1.76516e-17j 0.00182929+3.78095e-16j 0.000276783-2.16105e-16j 0.00120333-2.20624e-16j 0.000612673-4.31359e-17j -0.00100645+4.37448e-17j -0.000105247-1.19587e-16j 0.00142376+8.87688e-16j 0.00115413+1.60292e-16j -0.000296801+1.33215e-16j 0.000655032+3.24761e-17j -0.000522362-2.68136e-17j 0.00193173+4.51884e-16j -0.00176478-9.20831e-17j 0.00099745-1.44728e-16j -0.00141557-2.26651e-15j 0.000222676+4.13325e-17j 0.000519258+5.99499e-17j -0.000658542-6.67524e-17j 0.00272156+2.96943e-16j 0.000833945+1.21336e-16j -0.00156943-1.34961e-16j -0.00101284+3.70184e-17j -0.0012533-3.69972e-16j 0.000504437+5.96645e-17j 0.00154916+1.11226e-16j -0.00310701-3.11055e-16j 0.000237251+4.03221e-17j 0.00254968+2.7435e-16j -0.000835098-4.45188e-18j -0.000189738-5.01456e-18j -0.000618975+7.39872e-16j -0.000610873-3.51251e-15j 
-0.00106971+1.0077e-14j -0.000914109+2.19114e-15j -0.00132925-9.12927e-17j -0.000887472-7.2331e-18j -0.00310458-3.22143e-16j -0.00199064-3.54696e-16j 0.00276484+2.70115e-16j -0.0028093-2.20208e-16j -0.00160619-2.12593e-16j 0.000549838+2.09014e-16j 0.00290866+3.34456e-16j 0.00109692+1.10568e-16j -0.00022664-1.53912e-16j -0.00415428-1.14375e-15j 0.00135072+1.07481e-16j 0.000504893-2.18476e-17j -0.000444699-1.25683e-16j 8.98097e-05+2.51144e-16j -0.000517167-6.27145e-17j -0.00147903-1.8366e-16j 0.00152234+4.14473e-16j 0.000330336-1.20201e-16j -0.00126041-1.83672e-16j -0.000942281+8.46518e-16j -0.00177108-6.01441e-17j 0.00245332-1.62838e-15j 0.00132776-1.67695e-16j -0.0021501+5.12543e-16j -0.00255814+3.2011e-16j -0.00207361+3.01918e-16j 0.0016698+9.2562e-17j 0.000304938-6.09952e-16j 0.00234608-1.46799e-15j -0.00134686+2.29387e-15j -0.00109643-5.10138e-16j -7.51426e-05-1.93683e-16j -0.0011539-4.0711e-16j 0.00270432-3.21991e-16j -0.00240903+3.30547e-16j -0.00456356+2.68779e-16j 0.00229973+5.00106e-16j -0.00281406+7.26707e-17j 0.000609046+6.11283e-16j 0.00400046-3.4837e-15j 0.000478969+7.91775e-17j 0.00293145+1.15672e-15j -0.00242193-6.44128e-16j 0.00126117-4.13988e-16j -0.000929991-1.11972e-16j -0.00193127+2.27141e-16j 0.000114276-2.54849e-16j 0.00141783+1.01146e-15j -0.000310338-3.81003e-17j 0.000135426+1.0531e-16j -0.00170461-1.89389e-16j 0.000139154-7.21904e-19j 0.0023278+5.90575e-16j -0.0021699-1.58883e-16j 0.00184815-2.75468e-16j -0.00262-4.18898e-15j 0.00119669-2.48214e-16j -0.000104477+4.01209e-17j -0.000379364+2.5057e-17j 0.000681147+1.81986e-16j 0.00247242+3.11984e-16j -0.00196517-2.42859e-16j 0.00100691+1.41436e-16j -0.00193236-5.93307e-16j -0.000754826+3.30515e-18j 0.00189609+1.60921e-16j -0.00469284-4.69434e-16j -0.00106529+6.20688e-17j 0.0014673+2.20915e-16j -0.0020153-8.68656e-17j 0.000111319+1.89427e-17j -0.000478911+1.93494e-15j -0.00128614-8.76365e-15j 
0.000817383-1.03218e-14j 0.00211995-2.27264e-15j 0.00212977-3.19621e-17j 0.00197303-3.77604e-17j -0.000348849-1.42088e-16j 0.000945873+5.87579e-18j -4.14793e-05+1.5532e-16j 0.00200161-1.31362e-16j 0.00137721-8.936e-17j 0.00016138+3.97654e-17j 0.00115563+1.6583e-16j 0.00129798+4.4904e-17j -0.00166098-6.77161e-17j -0.00059614-2.77376e-16j -7.89798e-05+6.95826e-17j 0.00261988-4.67377e-16j -0.00163693-3.73279e-16j 0.000374481+5.25655e-16j 0.00120066+2.78784e-16j -0.00218718-1.42353e-16j -6.11243e-06+7.74634e-17j -0.000210891+5.73573e-17j 0.000333955-6.18459e-17j -0.000369648+2.06673e-16j -0.000817104-5.38807e-17j -0.00108349+8.30662e-16j 0.000152848+8.51383e-17j 0.000707729-5.06479e-16j 0.00181637-3.4336e-16j 0.000833633-2.24955e-16j -0.00207212+1.8615e-17j -0.00192173+3.29366e-16j -0.000775902+1.1406e-15j -0.000869616+1.46956e-15j 0.0005979-5.83994e-17j -0.00123989-1.4704e-16j 0.000691627-1.91901e-16j -0.00116829+2.37667e-16j -0.000522227-3.28574e-16j 0.000384774-2.03664e-16j 0.00276209+3.42385e-17j 0.00118877-1.87152e-16j -0.00179017-1.42257e-16j -0.000436779+3.48838e-16j 0.000348847+5.36258e-17j -0.0011558-1.69044e-16j 0.00241877-2.19843e-17j -0.00224267+8.25053e-16j 0.000878529+1.56941e-16j 0.00160387-2.67914e-16j 0.00115172+6.61214e-17j -0.0025535-1.45037e-15j -0.000351578+8.80402e-18j -0.000495252-4.78126e-17j -0.000230426-2.24789e-16j -0.000450304+1.7737e-17j 0.00289552+5.70165e-16j 0.000628397+1.2952e-16j -0.00166662+4.35245e-16j 9.43315e-05-3.56102e-17j -0.000143932+1.56187e-16j -0.00210717-4.94683e-17j -0.000400181-5.51392e-17j 0.00180734+8.63729e-17j 0.000253197+1.51267e-16j 0.000573691-1.40166e-16j 0.000475733+8.02724e-17j -0.00228358-3.97437e-16j 0.00172701-4.73231e-17j -0.00048418+1.15723e-16j 0.00123407-2.19811e-16j 0.000178615-8.07509e-17j -0.000216482+6.61798e-17j 0.00275911-9.60725e-17j 1.98396e-05-1.02794e-17j 0.00206286-2.27308e-15j 0.00184811+1.01608e-14j 
-0.000828644+3.04281e-15j 0.00202173+6.42103e-16j 0.00173129-1.12831e-17j 0.00436203+7.31258e-17j -0.00263932-6.10642e-17j 0.00028735-6.46917e-17j 0.000385988-4.78927e-17j 0.00157007+1.94669e-17j -0.00164525-5.34303e-17j 0.00337333-4.86605e-17j 0.00141322+2.44136e-16j 0.000722182-3.39792e-17j -0.000831181-7.50755e-17j -0.00381895-6.82707e-16j 0.000999137-7.49162e-18j 0.00127698-1.26591e-16j -0.00120143-4.80102e-16j 0.000272288+3.87297e-16j 0.00194565+4.03493e-16j -0.000759473-6.95731e-17j 0.0042029+4.18604e-16j 0.000729552-2.61292e-16j -0.00122178-1.01162e-16j 0.00102146-1.30464e-15j -0.00107515-3.34118e-17j -0.00295225+1.44841e-15j -0.00119239+2.60972e-16j -0.00243928-3.17109e-16j 0.000895997+5.21266e-17j 0.00293135-6.33972e-16j 0.00121267-3.33628e-16j -0.00167321+6.17222e-16j -0.000907752+1.37651e-15j -0.000910907+1.36553e-15j 0.00106491+2.01085e-16j 0.001516+3.65189e-16j -0.00416085+5.11303e-16j -0.00344054+1.8457e-16j -0.00187297-2.57083e-16j -0.00232777-2.90882e-17j 0.00310566+9.72848e-17j 0.000143779+2.71831e-16j -0.00193347+1.16431e-16j 0.000426742-5.73127e-16j -0.0009052+7.03001e-17j -0.000580651+5.36611e-18j -0.00206828-2.14025e-16j -0.00117574+1.00601e-16j -0.000543879+2.92224e-17j 0.00179207-4.60226e-16j -4.04804e-05+3.00514e-16j -0.00316342-2.06222e-15j -0.000346689+2.64625e-17j -0.000560461-7.87045e-17j -0.000746761-1.54573e-16j 0.00014838+9.25e-17j 0.00276441+3.33804e-16j -0.00217573+2.07452e-16j -0.00312116+7.62248e-16j 0.000596425+7.2491e-16j -0.00178277+6.55454e-16j 0.00202086+7.11647e-18j -0.000374234-3.36161e-18j 0.00150331-4.27572e-18j 0.00345887+2.12611e-17j -0.000778593-1.90528e-17j -0.000403768+2.66173e-16j -0.00388803-5.5544e-16j 0.000178701+2.28316e-17j -0.00216472+2.54947e-18j -0.00157265-3.0539e-17j -0.00116423+3.44311e-17j 0.00153523-1.48397e-18j 0.00414679-9.07459e-18j -0.00102997-2.86255e-17j 0.00216179-5.51678e-16j 0.000814194+2.39904e-15j 
-0.00122881+1.38924e-14j -0.00210826+3.07527e-15j -0.00238633+2.94553e-16j -0.00103539-2.09688e-16j -0.000395007+7.18064e-17j -0.000689877-1.78884e-17j 0.00116616-1.39772e-16j -0.00183889+1.18081e-16j -0.00135558+3.0572e-16j 0.0012839-4.9655e-16j -0.000908585+1.93763e-16j -0.00108833+2.16632e-16j 0.000811201+2.08378e-17j -0.000260376+9.84479e-17j -0.000180961+5.25636e-17j -0.00209933+6.75036e-16j 0.00181121+1.55949e-16j 0.000111306-6.56481e-17j -0.00040756-3.19588e-16j 0.000828198-1.26387e-16j 0.000908771-3.26733e-16j 0.000167074-1.5488e-16j -0.000129245-6.54127e-17j 0.000319712-3.92173e-16j 0.000869003-2.93825e-16j 0.000676183-2.66925e-16j -0.000159702+8.60135e-17j -0.000999168+8.13219e-16j -0.00231717+5.02444e-16j -0.00109172+1.13108e-16j 0.00122526-5.90207e-17j 0.0022632-8.54793e-16j 0.000666384-9.47501e-16j 0.00182794-3.43658e-15j 0.000124596-4.2308e-17j 0.00116572-1.07772e-16j -0.00156261+6.05764e-16j 0.00131941-1.1436e-16j -0.000889951+4.76355e-16j -0.00147255+3.90263e-16j -0.00125929+1.53306e-16j -0.000989128+1.17718e-16j 0.00260345-2.90456e-16j 2.12714e-05+5.43885e-16j -0.00147763+4.233e-16j 0.00114723+7.5459e-17j -0.00169546+2.09268e-16j 0.00227134-8.9046e-16j -0.000471678+2.22929e-17j -0.00137986+1.77347e-16j -0.000688981-6.07979e-17j 0.00220783+1.20604e-15j 0.0012662-2.15301e-16j 0.000424755-1.16224e-17j 0.00113276-6.02434e-17j -6.08556e-05+8.03443e-17j -0.00187137-1.56743e-16j -0.00123865+3.12502e-17j 0.00140258-3.05665e-16j -0.000434319-6.46612e-16j -5.26374e-05+1.99003e-16j 0.00255451-5.23918e-16j 4.21398e-05+4.81136e-17j -0.000299812-6.09694e-17j -0.00027368-1.2614e-16j -0.00102113+2.56447e-16j -0.00110879+2.508e-16j 0.00136265+1.2464e-16j -0.00114638+1.71975e-16j 0.000310885+1.78473e-16j -0.00185395+2.19283e-16j -0.000152109+1.53522e-16j 0.00161901-3.21848e-16j -0.00196834-8.31992e-18j -0.000612408+3.21514e-16j -0.00209009+2.60692e-15j -0.00199563-1.09294e-14j 
0.000361591-1.31844e-15j -0.00091077-2.95454e-16j -0.000638884-3.85687e-17j -0.00296457-3.20633e-17j 0.000896276-1.12051e-16j -0.00145471-1.0908e-16j -0.00118079+1.91683e-16j -0.00170524-1.10842e-16j 0.000205128-7.3276e-17j -0.0033912+2.62821e-16j 0.000807336-1.73498e-16j -2.3271e-05+7.71663e-17j 0.00192218+3.4692e-18j 0.000720876+1.37031e-17j 0.000360854-1.30678e-17j -0.00082906-1.09408e-17j -2.05985e-05+1.85576e-16j -0.000448645-2.82449e-16j -0.00156327-3.23988e-16j 0.000718704+5.74193e-17j -0.00271083-3.04967e-17j -0.000394237+1.70096e-16j -0.000682892-2.05669e-17j -0.00172507+1.90187e-15j -0.000882742+1.03341e-16j 0.0028708-1.69528e-15j 0.000590281-2.98389e-16j 0.000653651+2.7913e-16j -0.000733526-7.11897e-18j -0.00202342+3.21631e-16j 0.00189586-7.11598e-17j -0.000312394+1.12908e-16j 0.000726004-3.85318e-16j -0.00206843+3.63186e-15j -0.00204961-6.49936e-16j -0.000794531-2.95962e-16j 0.00291676-6.19685e-16j 0.00314801-1.09859e-16j 0.00125155+9.38752e-17j 0.00167686-1.19534e-16j -0.00202366+6.01442e-17j -0.00175102+4.9467e-18j -0.000104866+3.96908e-16j 0.00221598-2.20442e-15j 0.00176689-1.01306e-16j 0.000832922+4.84763e-16j -0.000568922-8.00567e-17j 0.000799026-1.01887e-16j -0.000617295-8.02185e-18j -0.001911+5.80581e-16j 0.000620138-4.42648e-16j 0.00228498+1.59442e-15j -0.00114961-6.73352e-17j -0.000193504+3.37265e-17j -0.00149159+1.20847e-16j 0.00100622-5.08046e-17j -0.00140291-9.71603e-17j 0.000451355-2.40437e-16j 0.00217795-5.2884e-16j -0.00147149-2.13665e-15j 0.00183117-6.90862e-16j -0.0021814+1.45755e-16j 0.000597595+5.35886e-17j -0.00230828+1.01758e-16j -0.00086184+1.35085e-16j 0.000116501-1.06947e-16j 0.00173469-2.50665e-16j 0.00181892+1.30564e-16j -0.00125848+1.57765e-17j 0.00165436+3.70712e-17j 9.54727e-05-1.80735e-16j -0.000182195+4.07827e-17j -0.00223023+1.44436e-16j -0.00323793+4.56554e-18j 0.000997255+8.91747e-18j -0.00067723+8.01046e-16j -0.000654808-3.71921e-15j 
-0.00068196+4.65116e-16j 0.00288319+2.26606e-16j -2.15727e-05+1.4673e-17j -0.000503082-2.72919e-16j 0.0019315+1.81872e-16j -0.00020576-1.90691e-17j -0.000467137+2.21752e-17j -0.00105801-9.11564e-17j 0.000322355+1.71018e-16j -0.000420134-2.94084e-16j -0.000466904-2.54546e-18j 0.000822274+1.0132e-16j -0.00119387-1.62278e-16j -0.000560171+3.53357e-17j 1.22006e-05-7.20544e-17j -0.00201115+3.00546e-16j -0.000600333-3.74279e-16j 0.000249048+2.14099e-16j 2.45584e-06-8.75335e-17j 3.87179e-05-2.04314e-17j 0.000862046-1.28381e-17j -0.000801841-1.93075e-16j 0.00262025+8.31424e-17j -0.00143069+1.53114e-15j 0.000878133+4.40768e-17j 0.000828062-1.06794e-16j 0.000541994+1.93662e-16j 0.00162076-9.62619e-18j 0.000879349-1.47881e-16j 0.00104833-2.57185e-16j 0.000845061-2.81073e-16j 0.00118216-1.25634e-16j 0.00045072-5.33114e-16j 0.000500191-8.42552e-16j 0.000582435-8.64986e-17j -0.00179676-5.16067e-16j 0.000949476+3.47666e-16j 0.00218546+1.24931e-16j 0.000756171+4.0078e-16j 0.00121182+3.40445e-17j -0.00167832-6.95943e-17j -0.00151354+5.61921e-17j 0.000132687-1.58437e-16j -0.00114261+1.11035e-15j 0.000207516+3.15936e-16j 0.000851832+2.84379e-16j 0.00112767+6.96197e-18j -0.00105879+2.40878e-16j -0.00187646-5.8154e-17j -0.00039996+1.45183e-16j 0.000464467-1.03328e-16j 0.00126106+8.30258e-16j -0.000126851-1.048e-16j -0.00148225+5.49462e-17j -0.00113378-1.19513e-16j 0.000580455-5.17758e-17j 0.000346886+1.40782e-16j 3.51702e-05+3.17257e-16j 0.000810636+2.8298e-17j -0.000138763-2.24876e-16j -0.00103442+3.87229e-16j -0.00104762-3.41871e-16j -0.000315461-2.94895e-17j 0.00104159+2.04675e-17j 0.000603864-6.54483e-17j -0.00141678+2.3038e-17j -0.00060345+7.58506e-17j 0.0013154+2.92359e-16j -0.000482183+7.41865e-17j 0.000803816+2.29151e-16j 0.000832465+1.15906e-16j 0.000372503+5.31148e-17j -0.00112838-2.17559e-16j -0.00070719-2.04382e-16j -0.000988396+9.18729e-17j 0.00281024+1.39939e-15j -0.000136757-5.5757e-15j 
-0.00125408+8.69596e-15j 0.00074254+1.75868e-15j -0.000173214-1.176e-17j 0.00213222+3.15371e-16j 0.000157735-2.42108e-16j -5.3634e-05+3.57454e-17j -0.0010246+8.04448e-17j 0.000684429+1.8615e-16j -0.000790536-3.92745e-17j 0.00159015+2.51638e-16j -0.000241722+9.98481e-17j -0.000648334-5.46658e-17j 0.000568019-1.29526e-17j -0.00089688-2.33179e-16j -0.000285222-5.12037e-17j -0.000833353+3.2622e-16j 0.000353167-3.8904e-18j 0.000264257+3.27715e-16j 0.00164946+4.71266e-16j -0.000270942-2.4603e-16j 0.00142953+2.98858e-16j -0.000170249-6.60197e-17j -0.000172405-2.88368e-16j -0.000486664+5.25755e-16j 0.000336058-9.8817e-17j -0.00148819+5.539e-16j -0.00132161+3.40347e-17j -0.000880487-2.68113e-16j -7.62442e-05-1.28156e-16j 0.00107432-2.83318e-16j 0.0015583-3.14484e-16j 0.000182312+5.19439e-16j -0.00172989+1.22992e-15j 0.000446998-6.87848e-16j 0.000956187+3.01329e-16j 0.000885959+4.35163e-16j -0.00135523+2.83528e-17j -0.000437833-1.77928e-16j -0.000704043-2.89159e-16j 0.00122162-2.81779e-16j 9.40758e-05+3.30287e-16j -0.000229638+2.82801e-16j 0.000601918-2.24719e-17j -0.00102091+1.10163e-15j -0.00188165-1.5315e-16j -0.00105496-4.84125e-16j -0.000370227+6.42962e-17j -7.0297e-05+9.10902e-17j -0.000799099+1.02014e-16j 0.000381088+2.12573e-16j 0.0012135-8.77256e-17j -0.000510265-6.21369e-16j 0.000823623+1.83596e-16j -0.000746694-6.47795e-20j 0.000768219+3.07351e-16j 0.000350766-8.84224e-18j -0.000466219-4.67876e-17j -0.00122722-1.3839e-16j -0.00101793+7.70076e-17j -2.23236e-05-4.72899e-17j -0.000891682+2.65824e-16j 0.00141113+2.35139e-16j 4.97305e-05-1.95903e-17j 0.000258904+9.64527e-17j 4.76041e-07-6.42616e-17j -0.000610485+6.27429e-17j -0.000702161-2.25533e-17j -0.000201054-2.48831e-16j -0.000654545+1.17383e-16j -0.00165226-1.89753e-16j 0.000563086-6.64537e-17j -0.000600176-2.54815e-17j 0.000547451+2.58271e-16j 0.00147967+2.76362e-16j -0.00158651-6.387e-17j 0.000776412+1.30569e-15j -0.000716212-6.55925e-15j 
-0.000482058+1.96628e-15j 0.00109539+4.80417e-16j 8.25723e-05+3.01008e-17j 0.000852083-4.75928e-17j -0.00139267+2.48249e-16j -0.000175512+2.91102e-17j 0.00191978-2.24413e-16j -0.000415097+6.96736e-17j -4.51839e-05+3.04555e-17j 0.00119352-1.09262e-16j 0.00145564-8.69582e-17j 0.00117528-1.02725e-16j -0.00200673+2.34221e-17j -0.00231851-1.65278e-16j 0.000403798-6.89735e-17j 0.00132787-4.05753e-16j -0.00101173-1.76957e-16j 0.000242754+3.62158e-16j 0.000678982+1.52949e-16j -0.00190719+8.22137e-17j 0.00146616+4.59043e-17j 6.54509e-06-1.52253e-16j 0.000614633+3.77879e-17j -0.000275894+2.07983e-16j -0.000446754+1.10944e-16j 0.000244363-2.80633e-16j 0.00106441-1.42488e-16j -0.000587312+2.4301e-16j -0.000243468+2.39726e-16j -0.000138347+2.00618e-16j -0.00103399+1.32187e-16j 0.000156857-4.17435e-16j 0.000938182-8.62655e-16j 5.62988e-05+8.226e-17j 0.000632606+1.12165e-17j -0.000861332-1.36755e-16j -0.000594334+2.24078e-17j 0.000395488-1.5839e-16j -0.00145903+3.48093e-16j -0.00259664+7.09343e-16j 0.00263824-2.38596e-16j -0.000553912+1.37197e-16j -4.33361e-05+5.83611e-17j 0.000750064-9.33654e-16j -0.000117367+6.78414e-17j 0.00114291+1.45895e-16j 0.000535831-1.57216e-16j -0.000794165+2.1161e-16j -0.00032933+6.9834e-17j 0.000123366-3.07048e-17j 0.00035997+7.80221e-18j -0.000681461-3.39359e-16j 0.000206147+3.67249e-17j -7.4812e-05-2.47102e-17j -0.000593949-6.5981e-17j -0.000602703+4.66726e-17j 0.00287645+1.86743e-16j -0.00054402+2.68287e-16j 0.000158044-4.05332e-17j -0.00088217-1.27704e-15j -0.000114663+5.92632e-17j -0.000608948-3.60582e-17j -0.000702224+3.43989e-17j 0.00208831-6.21286e-17j 0.00145184-1.37633e-16j -0.00106438+3.41101e-17j 4.66976e-05+4.08451e-17j -0.0019433-6.73458e-17j 0.000803763-4.77306e-17j 0.000644626-3.93348e-17j -0.00169293+2.62711e-16j -0.000212416+9.99844e-17j 0.00120903-1.44132e-16j 0.000621148-1.73425e-17j -0.00046641-5.86416e-18j 0.00118313+2.39175e-16j 0.000145879-8.58021e-16j 
-0.00276479+1.68701e-14j 0.00297157+3.70863e-15j -0.000679751-3.57681e-17j 0.00260279+5.48096e-17j 0.00109267-7.78623e-17j -0.000967136-1.75892e-16j -0.00170496-4.17448e-17j -0.000140304-1.04572e-17j -0.00167225-4.21696e-17j 0.00148326-2.55782e-17j 9.24436e-05+1.32407e-16j -0.000659486+5.20467e-18j -0.000590335-2.83343e-17j -0.00217884-4.39087e-16j 0.000330087-4.40876e-17j -0.00158356+2.14839e-16j -0.00103154-4.17229e-16j -0.000841518-4.22603e-16j 0.00238614+3.32334e-16j 0.000681655-1.45317e-17j 0.00267276+4.41749e-16j -0.0002949-2.11454e-16j 0.0014161-2.13445e-16j -0.000768553+8.3515e-16j 0.00132324-1.3494e-16j -0.00159548+6.07973e-16j -0.000260163+2.13964e-16j -0.00190065-2.19349e-16j 0.00055866+1.01298e-16j 0.00265081-5.19484e-16j 0.00285093-1.98315e-16j 0.00154183+4.30856e-16j -0.00146004+7.94997e-16j -7.39867e-05+1.89373e-16j 0.00191672+1.22543e-16j 0.000551148+3.31158e-16j -0.000920222+3.19308e-16j -0.000918515+3.32981e-16j 0.000877242-2.34696e-16j 0.00113456-2.85877e-16j -0.00036583-1.14705e-16j -0.00162724+2.88393e-16j 0.000170517-1.91851e-17j -0.00092183+1.02192e-15j -0.00147208+1.4026e-16j 0.000231568+2.40139e-16j -0.00142342-3.81834e-16j -0.00145768+2.89863e-16j -0.0039161-2.62382e-17j 0.000228575+1.44178e-16j 0.00135405-1.49226e-16j -0.000708824-5.60113e-16j 0.000242158-2.04609e-17j -0.000780409-9.08145e-17j -0.00130803-3.25344e-17j 0.000500396+1.23398e-17j 0.000137139+1.31497e-17j -0.000825713+5.12292e-17j -0.000124749+9.53323e-17j -0.000168463-3.12734e-16j -0.00180223+5.2498e-16j 0.00128674+3.32529e-17j -0.000275124+9.83443e-18j -0.000194012-7.19299e-17j 0.00176137+2.08617e-17j -0.00198436-1.0279e-17j -0.000181576+8.85915e-17j 0.000257003-2.96323e-17j -0.00159355+2.14514e-17j -0.00171069-7.80125e-18j 0.000378094-1.92549e-17j -0.00137764+3.78748e-17j -0.000405977-3.6256e-17j 0.00100502+4.86035e-18j -0.00293996+8.88139e-19j 0.00319105+3.80358e-15j -0.00159104-1.70003e-14j 
-0.00118096+7.9038e-15j 0.000815205+1.73574e-15j -0.00121188-1.55064e-16j 0.000151181+1.76966e-17j -0.00122529-1.29289e-16j 2.72758e-05-3.92995e-18j 0.00336523+2.83856e-16j -0.00199665-1.62724e-16j -0.000716766-1.30468e-16j 0.00312403+2.52743e-16j -8.86725e-05+1.11951e-16j 0.00115723+1.85882e-17j -0.00209551-1.86526e-16j -0.00284444-7.71835e-16j 4.96742e-05-6.25788e-18j -0.0016751+1.24318e-16j 0.000817842+1.08414e-16j 0.00141542+1.18961e-15j 6.77772e-05+1.20339e-16j -0.00165197-2.28278e-16j 0.00350646+7.11296e-16j -0.000203793-3.34095e-16j 0.00177842-2.73074e-17j -0.000338526+3.75743e-16j 0.0004644+2.16111e-17j 0.000712194-2.51929e-16j 0.000445408-2.10166e-17j 0.000297836+2.28976e-16j -0.00153642-1.78912e-16j -0.000195604+1.04945e-16j -0.0002024+1.37196e-16j 0.0021024-6.94649e-16j 0.00177888-1.64686e-15j 0.00272829-4.31497e-15j 0.00103823+4.28194e-16j -0.000802526-1.23044e-16j -0.00280401-1.51325e-16j 0.00256453-3.51407e-16j -0.00298017+3.90678e-16j -0.00367875+1.59581e-16j 0.000863781+3.26104e-16j -0.00149037-2.33025e-17j 0.00218133+1.78212e-16j -0.000645125+8.95913e-16j -0.00167973-4.39585e-17j 0.00198804+3.34282e-16j 0.000270974-3.63348e-16j 0.000935267-7.20389e-17j -0.000273769-1.36145e-16j -0.000703269-1.23263e-16j -0.000524876-6.93973e-17j 0.00171919+1.12572e-15j 0.00156029+2.73701e-16j -0.00102793+5.05417e-17j 0.000759021+1.51933e-16j -0.000341662+3.52913e-17j 0.00172446+2.33227e-16j -0.00225812-1.77655e-16j 0.000599183-3.38997e-17j -0.000666711-1.08536e-15j -0.00123231+3.73062e-16j 0.00166118+2.63461e-16j -0.000882183-8.91467e-17j 0.00364199+3.59149e-16j 0.00154007+9.60311e-17j -0.00242004-1.8603e-16j -0.00229523-9.76085e-17j -0.000727884-1.47377e-16j 0.000220241-1.20518e-17j 0.00117572+9.21638e-17j -0.00286229-3.0706e-16j 0.000467799+5.89515e-17j 0.00283765+3.25014e-16j -0.000304004-3.94187e-17j -0.00108613-7.45889e-17j 0.000682696+1.45812e-15j -0.000750561-6.75636e-15j 
