0.495957-0j -0.509266-0j -0.0590299-0j 0.0718741-0j -0.0426101-0j -0.0359219-0j -0.00518488-0j -0.0419089-0j 0.0761682-0j -0.00604903-0j 0.036082-0j 0.0109939-0j 0.00520799-0j -0.0151257-0j -0.00218321-0j -0.0260693-0j -0.00460845-0j -0.000384037-0j -0.0294484-0j 0.0236588-0j -0.0052058-0j -0.0242937-0j -0.000433816-0j 0.062442-0j 0.00418233-0j 0.0170779-0j -0.00429456-0j 0.000348528-0j 0.0110383-0j -0.00554541-0j -0.00035788-0j 0.000919857-0j 0.00301897-0j -0.0009803-0j 0.000251581-0j -8.16916e-05-0j -0.0204805-0j -0.00341342-0j -0.00209028-0j -0.0226678-0j -0.000426678-0j -2.51422e-05-0j 0.017633-0j -0.00377796-0j -0.011947-0j -0.0181062-0j -0.00231352-0j -0.000472246-0j 0.00293883-0j 0.0205718-0j -2.78273e-05-0j -0.00199116-0j 0.0366033-0j 0.00179966-0j -0.00301769-0j -0.0121959-0j -0.00121933-0j -0.00184795-0j 0.000367354-0j 0.038392-0j -0.000248895-0j 0.00342864-0j -0.000377212-0j 2.16465e-05-0j 0.00742477-0j 0.0020996-0j 0.00610056-0j -1.46663e-05-0j -0.00203264-0j -2.22274e-05-0j -0.00196851-0j 0.00373581-0j -0.00124474-0j 0.00639867-0j 0.00042858-0j 0.00391837-0j 0.00076257-0j 0.00123746-0j 2.52543e-05-0j -0.000254081-0j 0.000799834-0j 0.000757787-0j 4.49348e-05-0j -0.000328085-0j -1.49718e-05-0j 0.000154683-0j -0.00020091-0j 4.71306e-05-0j -4.10106e-05-0j 9.11476e-06-0j -2.41657e-06-0j 
-0.0109939-0j 0.00374264-0j -0.0414751-0j 0.152322-0j -0.0299383-0j 0.000263993-0j 0.17048-0j 0.000307992-0j 0.000176601-0j 0.198894-0j -0.000799834-0j 0.114045-0j -0.516513-0j 0.00011116-0j 0.0717845-0j 0.000191586-0j -0.00323795-0j 0.0386941-0j 0.000216419-0j -0.000524448-0j -0.00365765-0j 0.000178537-0j 0.0437096-0j 0.000144776-0j 0.00886356-0j -0.000378566-0j -0.00301741-0j -0.105921-0j -0.00244682-0j 4.07538e-05-0j 0.0360586-0j 0.02924-0j 0.00639806-0j -0.000688769-0j -0.076458-0j 0.00823093-0j 0.000150513-0j -0.00239831-0j 1.53617e-05-0j 0.000166588-0j 0.0140293-0j 0.00510198-0j -0.000390872-0j -0.00265444-0j 8.77994e-05-0j 0.000133064-0j 1.70023e-05-0j 0.0155276-0j 0.00622823-0j -0.000456017-0j 0.00564685-0j -0.00139901-0j 0.000690599-0j -3.98932e-05-0j -0.00212026-0j 8.96286e-05-0j 8.96099e-06-0j 1.35808e-05-0j -0.036433-0j 8.90145e-05-0j 0.00818375-0j 0.00726626-0j 0.0124028-0j -0.0132495-0j -0.000164585-0j -4.65421e-05-0j -0.0110041-0j 0.00297615-0j -0.00142816-0j 0.00451049-0j 1.44668e-05-0j 7.0484e-05-0j 9.14768e-06-0j -0.00141837-0j -0.0425052-0j 9.08501e-06-0j 0.0643705-0j 0.00262253-0j -0.0154577-0j 0.00835424-0j 0.00829701-0j -1.67979e-05-0j 0.0234094-0j -0.000230516-0j 0.00303816-0j -0.0153409-0j 1.47651e-06-0j 0.00301734-0j 0.00134844-0j -0.00557898-0j 0.000490382-0j 
0.00520799-0j 0.00534558-0j 0.0592624-0j 0.070103-0j 0.0391765-0j -0.000377212-0j -0.243594-0j 0.000427552-0j 0.000799834-0j 0.276103-0j -0.00037874-0j 0.516513-0j -0.244581-0j -0.00075838-0j -0.489743-0j -0.000273751-0j 0.0046266-0j -0.0552888-0j 0.000300432-0j 0.000248439-0j -0.00507752-0j 0.000255002-0j 0.0606774-0j -0.00063703-0j -0.0041988-0j 0.000164235-0j -0.00430973-0j 0.0501766-0j 0.0107663-0j -0.00061592-0j 0.0515021-0j -0.128659-0j -0.0027757-0j 0.0104095-0j 0.0331701-0j -0.124396-0j -0.000215064-0j 0.00342686-0j -2.19499e-05-0j 0.000231256-0j -0.020046-0j -0.00729006-0j 0.000185162-0j -0.00368487-0j -0.000125454-0j 0.000190054-0j 2.36024e-05-0j 0.0215553-0j -0.00295041-0j -0.000209873-0j 0.00783892-0j 0.001999-0j 0.000384368-0j 1.8898e-05-0j -0.00302835-0j -0.000117286-0j -1.28041e-05-0j 1.93973e-05-0j 0.0172589-0j -0.000402987-0j -0.0116935-0j 0.00334415-0j 0.0177148-0j 0.00627648-0j 0.000372267-0j -2.14201e-05-0j -0.00612458-0j -0.00425253-0j 0.00186885-0j 0.00644229-0j -0.000378754-0j 3.92294e-05-0j -1.19704e-05-0j 0.00642127-0j -0.0195622-0j -4.11297e-05-0j 0.0358268-0j -0.00593176-0j -0.0071141-0j -0.0109322-0j -0.0375622-0j 3.79943e-05-0j 0.013029-0j 0.00603513-0j -0.00397566-0j 0.0346988-0j -3.86564e-05-0j -0.0136601-0j -0.0353035-0j 0.0126188-0j -0.0128387-0j 
-0.0151257-0j -0.072969-0j -0.00177142-0j 0.00645125-0j -0.00148784-0j 0.103716-0j -0.000155592-0j -0.356117-0j 0.0740983-0j 0.000534237-0j 0.505529-0j -0.00011116-0j -0.00075838-0j -0.615933-0j 0.000924005-0j -0.000782309-0j 0.0133058-0j -1.15245e-05-0j 0.00260082-0j -0.000721548-0j -0.0442358-0j -0.00348087-0j 3.83137e-05-0j 0.00185812-0j 0.0122724-0j -0.000606041-0j 0.059204-0j -1.06294e-05-0j -0.0316036-0j 0.00311051-0j -5.12781e-05-0j 2.73726e-05-0j 0.0103078-0j -0.0529047-0j -8.92782e-06-0j 4.58221e-05-0j -0.000614596-0j -0.000102433-0j 0.0121331-0j 0.00200197-0j 0.00123193-0j -7.54488e-07-0j -0.000537771-0j 0.000333662-0j -0.000358514-0j -0.0025943-0j -0.0395222-0j -0.00401286-0j -8.96286e-05-0j 0.00184648-0j 2.45765e-06-0j -5.97524e-05-0j -0.000221819-0j 0.0106165-0j -0.000432383-0j -0.000425851-0j 0.00707767-0j 0.0512158-0j 0.00107794-0j -0.00185346-0j 0.000718627-0j 0.000307746-0j 0.00520017-0j -6.60177e-07-0j 0.00319363-0j -0.0364525-0j -3.69699e-05-0j -4.40118e-07-0j -7.09752e-05-0j -3.1848e-06-0j -0.00191378-0j 0.00437908-0j 0.00840701-0j -0.00030891-0j -0.00370119-0j 0.0365903-0j 0.000444628-0j 0.000532272-0j 2.26677e-06-0j 0.000853601-0j 0.00371518-0j -0.0630476-0j -2.72309e-07-0j -0.000318963-0j -5.22782e-07-0j -0.0064015-0j 0.0377811-0j -2.27533e-06-0j 0.00383608-0j 3.92055e-06-0j -2.34938e-06-0j 
0.00218321-0j 0.0105322-0j -0.0244445-0j 0.0890234-0j -0.0205314-0j 0.000155592-0j 0.100477-0j -0.000534237-0j 0.00011116-0j -0.344997-0j 0.00075838-0j 0.0717845-0j 0.489743-0j -0.000924005-0j -0.5967-0j 0.000112917-0j -0.00190838-0j 0.0228055-0j -0.000375396-0j 0.000104146-0j 0.00634448-0j 0.00050242-0j -0.0758178-0j -0.000268196-0j -0.00176015-0j 8.74744e-05-0j -0.00849128-0j 0.0210342-0j 0.00453271-0j -0.000448963-0j 0.101472-0j -0.0541668-0j -0.00147838-0j 0.00758781-0j 0.017667-0j -0.0906759-0j 8.87093e-05-0j -0.00141351-0j 9.05385e-06-0j -0.000288959-0j 0.00826856-0j 0.00300699-0j 7.76206e-05-0j 0.00460433-0j 5.17471e-05-0j 0.000374455-0j -2.94918e-05-0j -0.0269338-0j -0.00123682-0j -0.000266516-0j -0.00979491-0j -0.000824547-0j 3.20169e-05-0j 7.92212e-06-0j -0.00596663-0j 6.14664e-05-0j 5.28141e-06-0j 3.82177e-05-0j 0.00723499-0j 0.000267524-0j 0.00482332-0j 0.00424672-0j 0.0349028-0j 0.00263112-0j -0.000460961-0j -2.72012e-05-0j -0.000510163-0j 0.00175408-0j -0.000979416-0j 0.012693-0j 0.00027623-0j 3.26771e-06-0j 6.27338e-06-0j -0.00426277-0j -0.0248419-0j 2.7304e-05-0j 0.00298428-0j 0.00734504-0j -0.00903415-0j 0.00572925-0j 0.0249358-0j -4.70466e-05-0j 0.00108528-0j -0.0044015-0j 0.00208354-0j -0.042966-0j 2.81926e-05-0j 0.0090683-0j 0.0257473-0j -0.0156253-0j 0.00936341-0j 
0.0260693-0j 0.0263395-0j 0.00305306-0j 0.00377796-0j 0.00220381-0j 0.0018579-0j 0.000268164-0j 0.00216755-0j 0.00132735-0j 0.000312858-0j 0.0018966-0j 0.000191586-0j 0.000273751-0j 0.000782309-0j 0.000112917-0j 0.796681-0j -0.000966341-0j -8.05285e-05-0j -0.221975-0j -0.181242-0j 0.000269246-0j -0.18312-0j 2.24372e-05-0j -0.158586-0j 0.000219839-0j -0.130827-0j 0.000222117-0j 1.83199e-05-0j 0.000192359-0j -0.0417999-0j 1.85097e-05-0j 1.60299e-05-0j 0.000158688-0j 5.07016e-05-0j 1.3224e-05-0j 4.22513e-06-0j 0.00105926-0j -0.0257295-0j 0.000108111-0j -0.00475319-0j 2.2068e-05-0j 1.30037e-06-0j 0.000926855-0j 0.115455-0j 0.000617903-0j 0.00093646-0j -0.00048512-0j -9.90247e-05-0j -0.0225133-0j 0.00108133-0j -5.83509e-06-0j -0.0150089-0j 0.000382308-0j 9.45967e-05-0j -0.0227466-0j 0.000630776-0j 6.30645e-05-0j 9.5577e-05-0j 1.93095e-05-0j 0.000669039-0j 1.2873e-05-0j -0.0262655-0j 1.95096e-05-0j 1.13782e-06-0j 0.000390273-0j 0.000110363-0j -0.00928627-0j 7.58548e-07-0j -0.0153216-0j 1.14961e-06-0j 0.000101812-0j 3.90192e-05-0j 6.43783e-05-0j -0.016251-0j 2.25277e-05-0j 6.82835e-05-0j 7.96475e-06-0j -0.00947973-0j 1.32746e-06-0j 1.31412e-05-0j 1.39383e-05-0j 3.9832e-05-0j 4.69327e-07-0j -0.00247302-0j 7.74351e-07-0j 8.13068e-06-0j 1.03912e-05-0j 8.21323e-07-0j 2.12109e-06-0j 4.79105e-07-0j 1.24986e-07-0j 
-0.00460845-0j -0.00465621-0j 0.0255296-0j 0.0315913-0j 0.0184283-0j 0.0315998-0j 0.00453218-0j 0.0368665-0j 0.022576-0j 0.00528754-0j 0.0322582-0j 0.00323795-0j 0.0046266-0j 0.0133058-0j 0.00190838-0j 0.000966341-0j 0.77746-0j -0.0020486-0j -0.000269246-0j -0.000219839-0j -0.216619-0j -0.000222117-0j 0.000570791-0j -0.000192359-0j -0.176869-0j -0.000158688-0j -0.178702-0j 0.000466049-0j -0.15476-0j -5.07016e-05-0j 0.000470879-0j 0.000407793-0j -0.127671-0j -0.0407914-0j 0.000336412-0j 0.000107485-0j -0.000187253-0j 0.00147626-0j 0.00369668-0j 0.000840253-0j -0.0358845-0j 4.41842e-05-0j -0.000163846-0j -0.00662435-0j -0.000109231-0j -0.000165544-0j -0.016588-0j 0.161023-0j 0.00129172-0j -0.000191154-0j -0.000198266-0j 0.00086115-0j -6.75832e-05-0j 0.0032346-0j 0.00130511-0j -0.000111507-0j 0.0021564-0j 0.00326812-0j -0.0313989-0j -0.000118271-0j -0.0209326-0j 0.00150701-0j -0.0317243-0j 3.86612e-05-0j -6.89911e-05-0j 0.0037737-0j 0.000532809-0j 2.57741e-05-0j 0.00087909-0j 3.90619e-05-0j -1.7998e-05-0j 0.0013342-0j 0.00220132-0j 0.000932416-0j -0.0366321-0j 0.00233486-0j -0.0129514-0j 0.000543909-0j 4.51048e-05-0j -0.0213687-0j -0.0226649-0j 0.001362-0j 1.59469e-05-0j 0.000141892-0j 2.63111e-05-0j -0.0132212-0j 0.000355311-0j 2.79071e-05-0j -0.00344908-0j 1.62792e-05-0j 4.24682e-06-0j 
0.000384037-0j 0.000388017-0j -0.00647236-0j -0.00800913-0j -0.00467199-0j 2.73694e-05-0j 0.0541604-0j 3.1931e-05-0j 1.95537e-05-0j 0.0631872-0j 2.79396e-05-0j 0.0386941-0j 0.0552888-0j 1.15245e-05-0j 0.0228055-0j -8.05285e-05-0j 0.0020486-0j 0.752842-0j 2.24372e-05-0j 1.83199e-05-0j -0.000570791-0j 1.85097e-05-0j -0.20976-0j 1.60299e-05-0j -0.000466049-0j 1.3224e-05-0j -0.000470879-0j -0.171268-0j -0.000407793-0j 4.22513e-06-0j -0.173043-0j -0.14986-0j -0.000336412-0j -0.000107485-0j -0.123628-0j -0.0394998-0j 1.56044e-05-0j -0.000374266-0j 1.59262e-06-0j -7.00211e-05-0j 0.00445701-0j -0.0502142-0j 1.36539e-05-0j 0.00167943-0j 9.10257e-06-0j 1.37954e-05-0j -7.14649e-06-0j -0.0199998-0j -0.000327482-0j 1.59295e-05-0j 0.225324-0j -0.000218322-0j 5.63193e-06-0j 1.39354e-06-0j -0.000330876-0j 9.29221e-06-0j 9.29027e-07-0j 1.40798e-06-0j 0.00389988-0j 9.85588e-06-0j 0.00259992-0j -0.000382063-0j 0.0039403-0j -0.0439374-0j 5.74926e-06-0j 1.6258e-06-0j -0.00013508-0j -0.0292916-0j -0.00022287-0j -0.0443927-0j 1.49984e-06-0j 5.74806e-07-0j 9.48382e-07-0j -0.000236389-0j 0.00454986-0j 1.00591e-06-0j 0.00160862-0j -0.000137894-0j -0.0512603-0j 0.00265409-0j 0.00281508-0j 5.86782e-07-0j -0.0181233-0j -3.5973e-05-0j -0.0299018-0j 0.00164213-0j 1.53076e-07-0j -0.0317157-0j 0.000428391-0j -0.0185008-0j -0.0048264-0j 
-0.0294484-0j 0.0289066-0j -0.00344879-0j -6.07452e-05-0j 0.00487264-0j 0.00633413-0j 0.000914253-0j -3.48516e-05-0j -0.0014994-0j -5.03039e-06-0j 0.00208145-0j -0.000216419-0j 0.000300432-0j 0.00260082-0j 0.000375396-0j 0.221975-0j -0.000269246-0j -2.24372e-05-0j -0.0107719-0j 0.204734-0j 1.30658e-05-0j -0.200967-0j 1.08882e-06-0j 0.00254988-0j -0.000248334-0j -0.289259-0j 0.000243765-0j -2.06945e-05-0j -3.0929e-06-0j -0.185512-0j 2.03137e-05-0j -2.57742e-07-0j 0.00035086-0j 0.000225018-0j 2.92383e-05-0j 1.87515e-05-0j -0.00119656-0j 0.0290646-0j -0.000122124-0j -1.88506e-05-0j -2.49284e-05-0j -1.46892e-06-0j 0.00315993-0j 0.000457882-0j -0.000697996-0j -0.00310178-0j -1.92393e-06-0j -3.92721e-07-0j -0.0767546-0j -1.73865e-05-0j -2.31413e-08-0j 0.0169543-0j -0.000431863-0j 0.000322509-0j 0.0753424-0j 0.00139465-0j -7.12389e-05-0j -0.000316575-0j 6.58318e-05-0j 0.000734245-0j -1.45416e-05-0j 0.000422319-0j -6.46205e-05-0j 3.87918e-06-0j 0.00129748-0j -1.7745e-06-0j 0.01049-0j -8.56871e-07-0j -0.033876-0j -3.8078e-06-0j 0.000565224-0j -4.40768e-05-0j 0.000142341-0j -0.0178348-0j -3.62219e-07-0j 7.49386e-05-0j -8.99714e-06-0j -0.0315158-0j -2.1344e-08-0j 2.90552e-05-0j 1.52968e-05-0j 0.000132423-0j -5.30162e-07-0j -0.0137293-0j 1.71209e-06-0j 2.70308e-05-0j 5.76879e-05-0j 9.01371e-07-0j 1.17755e-05-0j 1.59281e-06-0j 6.93878e-07-0j 
0.0236588-0j -0.0242937-0j 0.00561692-0j 0.00342864-0j -0.00203264-0j -0.0017136-0j -0.000247336-0j 0.00398779-0j 0.00363348-0j 0.000575587-0j 0.00172124-0j 0.000524448-0j 0.000248439-0j -0.000721548-0j -0.000104146-0j 0.181242-0j -0.000219839-0j -1.83199e-05-0j 0.204734-0j 0.328094-0j -0.000248334-0j -0.336898-0j -2.06945e-05-0j -0.434115-0j -0.000397965-0j -0.11873-0j 0.000408644-0j -3.31637e-05-0j 0.000526564-0j 0.0385534-0j 3.40537e-05-0j 4.38803e-05-0j 0.000144015-0j -4.67636e-05-0j 1.20012e-05-0j -3.89697e-06-0j -0.000976991-0j 0.0237311-0j -9.97137e-05-0j -0.00108133-0j -2.0354e-05-0j -1.19937e-06-0j 0.000841154-0j 0.0262655-0j 0.00284351-0j -0.000863726-0j -0.000110363-0j -2.25277e-05-0j -0.0204316-0j -0.00195749-0j -1.32746e-06-0j -0.0690689-0j 0.0017461-0j 8.58499e-05-0j 0.0209799-0j 0.00116048-0j 0.000290214-0j -8.81536e-05-0j 1.7524e-05-0j 0.00183143-0j 5.92398e-05-0j 0.0475474-0j -1.79943e-05-0j 1.03261e-06-0j 0.000354186-0j -0.000199785-0j -0.0424129-0j 3.49074e-06-0j -0.0281881-0j -1.06032e-06-0j -9.39046e-05-0j 0.000178211-0j 0.000118441-0j -0.0444854-0j -4.0781e-05-0j 0.000186919-0j 3.63772e-05-0j -0.00860319-0j -2.40304e-06-0j 2.41767e-05-0j 3.81548e-05-0j 3.6149e-05-0j 2.14354e-06-0j 0.00228094-0j 1.42463e-06-0j 7.37889e-06-0j -9.5841e-06-0j 2.24829e-06-0j -1.95635e-06-0j 4.34805e-07-0j -1.15279e-07-0j 
0.0052058-0j -0.00511001-0j -0.0288388-0j -0.000507951-0j 0.0407449-0j 0.107733-0j 0.0154516-0j -0.00059277-0j -0.0255023-0j -8.50174e-05-0j 0.0354021-0j -0.00365765-0j 0.00507752-0j 0.0442358-0j 0.00634448-0j 0.000269246-0j 0.216619-0j -0.000570791-0j -1.30658e-05-0j 0.000248334-0j -0.010512-0j -0.000243765-0j 2.7699e-05-0j 3.0929e-06-0j 0.199795-0j -0.00035086-0j -0.196119-0j -0.000526458-0j 0.00248836-0j -0.000225018-0j 0.000516772-0j -6.55683e-06-0j -0.282281-0j -0.181036-0j 0.000743808-0j 0.000477029-0j 0.000211525-0j -0.00166761-0j -0.00417585-0j 3.33235e-06-0j 0.0405358-0j -4.99114e-05-0j -0.000558601-0j -2.62715e-05-0j 0.000123389-0j 0.000548323-0j -6.57861e-05-0j 0.0006386-0j 0.00440388-0j 3.07353e-06-0j -7.86303e-07-0j -0.000972772-0j 7.63433e-05-0j 0.0110277-0j -0.00432285-0j -0.000246541-0j -0.00243591-0j -0.0108248-0j -0.107048-0j -0.000129797-0j 0.0236459-0j -2.4231e-05-0j 0.105079-0j 0.000131808-0j -0.000229364-0j -6.06766e-05-0j -0.000601872-0j -2.9115e-05-0j 0.00194367-0j -0.000129382-0j -9.99184e-05-0j -0.00150714-0j 0.00486713-0j 0.00102329-0j 0.000589-0j 0.00256242-0j 0.0146302-0j 0.00180825-0j -7.25231e-07-0j -0.0472463-0j -0.0248739-0j 0.00452803-0j -1.8014e-05-0j 0.000787732-0j 5.8174e-05-0j -0.0439545-0j 0.00197255-0j 3.0627e-05-0j -0.019148-0j 5.41208e-05-0j 2.35768e-05-0j 
0.0242937-0j -0.0245355-0j -0.00567513-0j -0.00342042-0j 0.00188081-0j 0.00173135-0j 0.000249899-0j 0.00391441-0j 0.00123694-0j 0.000564997-0j -0.00176671-0j 0.000178537-0j -0.000255002-0j 0.00348087-0j 0.00050242-0j -0.18312-0j 0.000222117-0j 1.85097e-05-0j 0.200967-0j 0.336898-0j -0.000243765-0j -0.340252-0j -2.03137e-05-0j 0.143578-0j -0.000408644-0j -0.111653-0j 0.000412711-0j -3.40537e-05-0j -0.000174154-0j -0.412006-0j 3.43926e-05-0j -1.45128e-05-0j 0.00013543-0j 0.000499746-0j 1.12858e-05-0j 4.16455e-05-0j 0.000987115-0j -0.023977-0j 0.000100747-0j -0.00106143-0j 2.05649e-05-0j 1.2118e-06-0j 0.000863726-0j 0.0257823-0j -0.00287298-0j -0.000872323-0j -0.000108332-0j -2.21132e-05-0j -0.0209799-0j 0.00195279-0j -1.30303e-06-0j 0.0697846-0j 0.000356269-0j 8.81536e-05-0j 0.0211887-0j -0.0010738-0j -0.000293222-0j -8.90311e-05-0j 1.79943e-05-0j -0.000623218-0j -5.98537e-05-0j -0.0474334-0j -1.81734e-05-0j 1.06032e-06-0j 0.00173651-0j 0.000199306-0j -0.00865377-0j -3.52691e-06-0j 0.0260826-0j -1.07088e-06-0j 0.00173843-0j 3.63615e-05-0j -0.000109594-0j 0.015138-0j 4.06832e-05-0j -6.36069e-05-0j 7.42226e-06-0j -0.0421799-0j 2.39728e-06-0j -2.23708e-05-0j -1.29837e-05-0j 0.000177232-0j 4.37361e-07-0j -0.0422265-0j -1.31821e-06-0j 3.61773e-05-0j 0.000177428-0j -7.65072e-07-0j 3.62173e-05-0j 2.13177e-06-0j 2.13413e-06-0j 
-0.000433816-0j 0.000425834-0j 0.0073113-0j 0.000128777-0j -0.0103298-0j 9.33106e-05-0j 0.184649-0j -5.13413e-07-0j -2.20882e-05-0j -0.00101598-0j 3.06627e-05-0j -0.0437096-0j 0.0606774-0j 3.83137e-05-0j 0.0758178-0j -2.24372e-05-0j 0.000570791-0j 0.20976-0j 1.08882e-06-0j -2.06945e-05-0j -2.7699e-05-0j 2.03137e-05-0j -0.0101791-0j -2.57742e-07-0j 0.000526458-0j 2.92383e-05-0j -0.000516772-0j 0.193468-0j 6.55683e-06-0j 1.87515e-05-0j -0.189909-0j 0.00240957-0j -0.000743808-0j -0.000477029-0j -0.273342-0j -0.175303-0j -1.76271e-05-0j 0.000422778-0j -1.79905e-06-0j -2.77696e-07-0j -0.00503473-0j 0.056723-0j 4.65501e-05-0j 6.66043e-06-0j -1.02824e-05-0j -4.56936e-05-0j -2.83422e-08-0j -7.93169e-05-0j -0.00111649-0j -2.56128e-07-0j 0.000893611-0j 0.00024662-0j -6.36194e-06-0j 4.751e-06-0j 0.00109594-0j 2.05451e-05-0j -1.04945e-06-0j -4.66358e-06-0j 0.0132959-0j 1.08165e-05-0j -0.00293692-0j 6.14312e-06-0j -0.0130512-0j -0.149796-0j 1.91137e-05-0j -2.61409e-08-0j 0.000152589-0j 0.0330884-0j -0.000492766-0j 0.14704-0j 8.32653e-06-0j -6.49313e-07-0j 2.09688e-06-0j -0.000259428-0j -7.31564e-05-0j 1.10395e-06-0j -0.00181713-0j -0.000458434-0j 0.000824205-0j 0.0058682-0j 0.00308945-0j 1.95078e-06-0j 0.0204724-0j -0.000199709-0j -0.0661131-0j 0.00545934-0j 8.49823e-07-0j -0.0348068-0j 0.00237827-0j -0.0615068-0j -0.0267944-0j 
-0.062442-0j -0.0206519-0j 0.00246394-0j -0.000128803-0j -0.00348118-0j 0.0014994-0j 0.000216419-0j 2.48992e-05-0j 0.00100304-0j 3.59389e-06-0j 0.00441347-0j 0.000144776-0j 0.00063703-0j -0.00185812-0j -0.000268196-0j -0.158586-0j 0.000192359-0j 1.60299e-05-0j -0.00254988-0j 0.434115-0j 3.0929e-06-0j 0.143578-0j 2.57742e-07-0j -0.00170577-0j -0.000526564-0j -0.613341-0j -0.000174154-0j -4.38803e-05-0j 2.06903e-06-0j 0.132536-0j -1.45128e-05-0j 1.72419e-07-0j 0.000743957-0j -0.000160761-0j 6.19964e-05-0j -1.33967e-05-0j 0.000854867-0j -0.0207647-0j 8.72495e-05-0j 1.34675e-05-0j 1.78097e-05-0j 1.04945e-06-0j -0.00222003-0j -0.000327127-0j 0.000498672-0j -0.000734245-0j 1.37452e-06-0j 2.80574e-07-0j 0.0539245-0j -3.68661e-05-0j 1.6533e-08-0j -0.0121128-0j 0.00392238-0j -0.000226581-0j 0.0178348-0j -0.000996385-0j 5.08955e-05-0j -7.49386e-05-0j -4.62506e-05-0j -0.000491181-0j 1.0389e-05-0j 0.000895477-0j -1.52968e-05-0j -2.72534e-06-0j 0.00275115-0j -3.76263e-06-0j -0.0952746-0j 6.12178e-07-0j 0.0242022-0j -9.01371e-07-0j -0.000403815-0j 0.000400326-0j -0.000101693-0j 0.0119308-0j -7.68043e-07-0j -5.0131e-05-0j 8.17162e-05-0j -0.0668255-0j -4.52574e-08-0j -2.0758e-05-0j -1.02329e-05-0j 0.000280788-0j 4.81518e-06-0j 0.00980868-0j -1.22318e-06-0j 5.73157e-05-0j -4.12142e-05-0j -6.02982e-07-0j -8.41282e-06-0j 3.37736e-06-0j -4.9573e-07-0j 
-0.00418233-0j 0.00429456-0j 0.0469686-0j 0.0286702-0j -0.0169969-0j -0.0291455-0j -0.00418017-0j 0.0678258-0j 0.0617996-0j 0.00972786-0j 0.0292754-0j 0.00886356-0j 0.0041988-0j -0.0122724-0j -0.00176015-0j 0.000219839-0j 0.176869-0j -0.000466049-0j 0.000248334-0j 0.000397965-0j 0.199795-0j -0.000408644-0j -0.000526458-0j -0.000526564-0j 0.320178-0j -0.000144015-0j -0.32877-0j -0.000843669-0j -0.423642-0j 4.67636e-05-0j 0.000866308-0j 0.00111629-0j -0.115866-0j 0.0376232-0j 0.000305306-0j -9.9137e-05-0j 0.000172709-0j -0.0013616-0j -0.00340957-0j 0.000191154-0j 0.0330974-0j -4.07525e-05-0j -0.000148696-0j -0.00150701-0j -0.000502666-0j 0.000152687-0j -0.0037737-0j 0.0366321-0j 0.00117229-0j 0.000346038-0j -4.51048e-05-0j 0.0039629-0j -0.00030867-0j 0.00293551-0j -0.00120374-0j -0.000205146-0j 0.00992347-0j -0.00301429-0j -0.0284956-0j -0.000323754-0j -0.0963291-0j -0.00272808-0j 0.0292603-0j 3.50864e-05-0j -6.26119e-05-0j -0.00683136-0j 0.00243348-0j 0.000118609-0j 0.00161732-0j -3.6028e-05-0j 1.66001e-05-0j 0.00609367-0j 0.00404993-0j 0.0025524-0j 0.0663135-0j 0.00639144-0j -0.0591525-0j 0.000493617-0j -8.16512e-05-0j -0.0393135-0j -0.062043-0j 0.00123606-0j 7.2834e-05-0j -0.000130872-0j 4.84064e-05-0j -0.0119987-0j -0.000327714-0j 7.63931e-05-0j 0.00318119-0j 1.47739e-05-0j -3.91697e-06-0j 
0.0170779-0j -0.0160598-0j -0.00203264-0j -0.00484416-0j -0.00568103-0j -0.00123694-0j -0.000178537-0j 0.00282457-0j 0.00262278-0j 0.000407691-0j 0.00113785-0j 0.000378566-0j 0.000164235-0j -0.000606041-0j -8.74744e-05-0j 0.130827-0j -0.000158688-0j -1.3224e-05-0j -0.289259-0j -0.11873-0j 0.00035086-0j 0.111653-0j 2.92383e-05-0j 0.613341-0j 0.000144015-0j -0.331839-0j -0.00013543-0j 1.20012e-05-0j -0.000743957-0j -0.360573-0j -1.12858e-05-0j -6.19964e-05-0j 0.000402507-0j 0.00043736-0j 3.35422e-05-0j 3.64467e-05-0j -0.000705229-0j 0.01713-0j -7.19771e-05-0j 0.00152776-0j -1.46923e-05-0j -8.6575e-07-0j 0.000607177-0j -0.0371093-0j -0.000411384-0j -0.000570982-0j 0.000155926-0j 3.18283e-05-0j -0.0147483-0j -0.0013865-0j 1.8755e-06-0j 0.00999251-0j 0.0012604-0j 6.19697e-05-0j 0.0138692-0j -0.00162603-0j -4.19867e-05-0j -5.82756e-05-0j 1.26495e-05-0j 0.0012107-0j -8.57049e-06-0j 0.033678-0j -1.18955e-05-0j 7.4538e-07-0j 0.000297487-0j -0.000141509-0j -0.0306152-0j -5.05021e-07-0j 0.0394962-0j -7.00946e-07-0j 0.00299849-0j 0.000128639-0j -0.000165956-0j -0.0294079-0j -2.88854e-05-0j 0.000123567-0j 2.62584e-05-0j -0.00722597-0j -1.70209e-06-0j -3.38755e-05-0j 2.52229e-05-0j 3.03622e-05-0j 1.54729e-06-0j -0.0728334-0j -1.99614e-06-0j 6.19766e-06-0j 0.000306032-0j 1.48627e-06-0j 6.24686e-05-0j 3.652e-07-0j 3.681e-06-0j 
