-0.713986-0j -0.104058-0j 0.0500019-0j -0.0525349-0j 0.00721715-0j -0.00758276-0j -0.0346423-0j 0.0412235-0j -0.00612395-0j -0.0250061-0j -0.000510329-0j 0.00728736-0j -0.0044205-0j 0.00060728-0j -0.000368375-0j -0.0259654-0j -0.030293-0j -0.00432757-0j 0.0542288-0j -0.00265008-0j 0.0254897-0j -0.000540946-0j -0.00504883-0j -0.0109333-0j -3.18755e-05-0j -0.00309176-0j 0.00903813-0j 0.0055347-0j -0.000631103-0j 0.00424829-0j 0.00112977-0j 0.00260154-0j -0.00182222-0j -3.71881e-05-0j -0.00111588-0j 0.000531036-0j 6.65721e-05-0j 3.12916e-05-0j -0.000227777-0j -1.34219e-05-0j 
0.0525349-0j -0.00735345-0j 0.349961-0j 0.367402-0j -0.000531036-0j -0.000557501-0j 0.00254897-0j 0.00291315-0j -0.0428613-0j 0.00162577-0j 3.75499e-05-0j -0.048985-0j -0.0273375-0j 4.29147e-05-0j 2.39498e-05-0j 0.00191053-0j -0.00214072-0j 0.000318421-0j -0.00399014-0j -0.0372906-0j 0.00187406-0j -0.00378606-0j -0.000356786-0j 0.00377137-0j 2.34539e-06-0j 0.0417836-0j -0.000665024-0j 0.0778816-0j 0.00424222-0j 0.000312343-0j 0.00790719-0j -0.0365788-0j 0.000628562-0j -2.62798e-06-0j -0.0736115-0j -0.00371379-0j -4.89836e-06-0j 2.30063e-06-0j -0.00747366-0j 4.6298e-06-0j 
-0.00758276-0j -0.100895-0j 0.000531036-0j 0.000557501-0j 0.338991-0j 0.355885-0j -0.000367912-0j -0.000420477-0j 0.00618257-0j -0.000234659-0j -0.0734619-0j 0.00706588-0j 0.00394332-0j -0.0839576-0j -0.0468549-0j -0.000275761-0j 0.000308986-0j 0.00436899-0j 0.000575927-0j -2.81447e-05-0j -0.000270497-0j -0.0254083-0j -0.00489538-0j -0.000544351-0j -0.00924167-0j 3.15357e-05-0j -0.00912464-0j 5.87803e-05-0j 0.0284696-0j 0.00428559-0j 0.0530654-0j -2.76075e-05-0j 0.00862436-0j 0.0103551-0j -5.55576e-05-0j -0.0249234-0j 0.0193012-0j -0.00906527-0j -0.050156-0j -0.018243-0j 
-0.0216695-0j 0.00922444-0j 0.150109-0j 0.711006-0j -0.000227777-0j -0.00107889-0j -0.0010514-0j 0.00380011-0j 0.0176794-0j -0.000928632-0j -1.54885e-05-0j -0.0638993-0j 0.0156151-0j 5.59809e-05-0j -1.368e-05-0j -0.000788052-0j 0.0026854-0j -0.000131342-0j -0.000563012-0j 0.0153816-0j -0.00377137-0j 0.00156167-0j 0.000447566-0j 0.00456643-0j -9.67426e-07-0j -0.0524149-0j -9.38353e-05-0j 0.0109891-0j -0.0053216-0j -0.000628562-0j 0.00111571-0j 0.0736115-0j 0.000761072-0j 3.29663e-06-0j -0.0891299-0j 0.00747366-0j -6.91162e-07-0j -4.6298e-06-0j -0.00904921-0j 5.60583e-06-0j 
0.00312773-0j 0.126567-0j 0.000227777-0j 0.00107889-0j 0.145403-0j 0.688718-0j 0.000151756-0j -0.000548499-0j -0.00255018-0j 0.000134036-0j 0.0303015-0j 0.00921722-0j -0.00225241-0j -0.10952-0j 0.0267634-0j 0.000113746-0j -0.000387603-0j -0.00180212-0j 8.12638e-05-0j 1.16091e-05-0j 0.000544351-0j 0.0104804-0j 0.00614095-0j -0.000659108-0j 0.00381199-0j -3.95596e-05-0j -0.00128749-0j 8.29395e-06-0j -0.0357134-0j -0.00862436-0j 0.00748756-0j 5.55576e-05-0j 0.0104425-0j -0.0129899-0j -6.72699e-05-0j 0.050156-0j 0.00272342-0j 0.018243-0j -0.0607295-0j -0.0220889-0j 
0.0375595-0j 0.00547398-0j 0.00273527-0j 0.00276362-0j 0.000394803-0j 0.000398894-0j -0.261094-0j -0.323087-0j 0.000322153-0j -0.188468-0j 2.6846e-05-0j 0.000398643-0j 0.000232542-0j 3.32203e-05-0j 1.93785e-05-0j 0.00136592-0j 0.00159357-0j -0.0326163-0j 0.00097586-0j 0.000139409-0j 0.00139438-0j 2.84566e-05-0j -0.0380523-0j 0.000575151-0j 1.67682e-06-0j 0.000162643-0j -0.0233022-0j 9.95983e-05-0j 3.31994e-05-0j -0.0332958-0j 2.03304e-05-0j 0.000142313-0j -0.0137338-0j 1.95629e-06-0j 5.87011e-05-0j 2.90495e-05-0j 1.19798e-06-0j 1.71176e-06-0j 1.19823e-05-0j 7.06064e-07-0j 
-0.00663964-0j 0.0455098-0j 0.045994-0j 0.0464706-0j 0.00663444-0j 0.0067032-0j -0.000322153-0j -0.000398643-0j -0.254764-0j -0.000232542-0j 0.000679073-0j -0.315255-0j -0.183898-0j 0.000840309-0j 0.000490181-0j -0.000241463-0j -0.000281706-0j 0.00189267-0j -0.000172509-0j 0.00471299-0j -0.000246493-0j -0.0454866-0j 0.00220812-0j -0.000101673-0j 5.66526e-05-0j 0.00549849-0j 0.00135219-0j 0.00336712-0j -0.0530677-0j 0.0019321-0j -0.0324972-0j 0.00481118-0j 0.000796952-0j 6.60948e-05-0j 0.00198451-0j -0.0464342-0j 4.04746e-05-0j 5.78329e-05-0j -0.0191531-0j 2.38549e-05-0j 
0.000553304-0j -0.0115387-0j 4.02944e-05-0j 4.0712e-05-0j 0.0788311-0j 0.0796481-0j 2.6846e-05-0j 3.32203e-05-0j -0.000679073-0j 1.93785e-05-0j -0.246665-0j -0.000840309-0j -0.000490181-0j -0.305232-0j -0.178052-0j 2.01219e-05-0j 2.34755e-05-0j -0.000479875-0j 1.43758e-05-0j 2.05368e-06-0j 2.05411e-05-0j 0.005682-0j -0.000559854-0j 8.47277e-06-0j -0.0636506-0j 2.39596e-06-0j -0.000342839-0j 1.46722e-06-0j 0.006629-0j -0.000489873-0j 0.00405942-0j 2.09647e-06-0j -0.000202062-0j -0.074259-0j 8.64748e-07-0j 0.00580038-0j -0.0454742-0j -0.0649766-0j 0.00239253-0j -0.0268015-0j 
-0.042428-0j -0.000122387-0j -0.00308982-0j 0.00299826-0j -0.000445977-0j 0.000432762-0j 0.294937-0j 0.00722358-0j -0.00036391-0j -0.413152-0j -3.03258e-05-0j -8.91286e-06-0j 0.000509771-0j -7.42738e-07-0j 4.24809e-05-0j 0.00451817-0j -3.56291e-05-0j -0.107888-0j -0.00110235-0j 0.000461133-0j 0.00151276-0j 9.41285e-05-0j 0.000850772-0j 0.00189767-0j 5.54657e-06-0j -3.63638e-06-0j 0.0263226-0j -0.000112508-0j -7.42272e-07-0j -0.0361227-0j -2.29656e-05-0j 0.000154396-0j -0.0453137-0j -4.37388e-08-0j 0.00019368-0j 3.15159e-05-0j -1.35326e-06-0j 1.85709e-06-0j 3.95348e-05-0j 2.32961e-06-0j 
-0.0346423-0j -0.00504883-0j 0.00242607-0j -0.00254897-0j 0.000350173-0j -0.000367912-0j -0.468222-0j -0.286565-0j 0.000577718-0j 0.17383-0j 4.81432e-05-0j 0.00035358-0j -0.000214481-0j 2.9465e-05-0j -1.78734e-05-0j -0.00125983-0j 0.00285776-0j 0.030083-0j 0.00263116-0j -0.000128581-0j 0.00123675-0j -2.62464e-05-0j -0.0682394-0j -0.000530479-0j -1.54659e-06-0j 0.000291669-0j -0.0628284-0j 0.000268541-0j 5.95367e-05-0j -0.0295319-0j 5.48158e-05-0j 0.000126225-0j 0.0126671-0j 3.50824e-06-0j -5.41418e-05-0j 2.57657e-05-0j 3.23005e-06-0j 1.51826e-06-0j -1.10517e-05-0j -6.51225e-07-0j 
0.00750027-0j -0.00101751-0j -0.0519557-0j 0.0504161-0j -0.0074944-0j 0.00727233-0j 0.00036391-0j 8.91286e-06-0j 0.287787-0j -0.000509771-0j -0.000767094-0j 0.00704845-0j -0.403136-0j -1.87876e-05-0j 0.00107456-0j -0.000798707-0j 6.29839e-06-0j 0.00626055-0j 0.00019487-0j 0.0155896-0j -0.000267421-0j -0.15046-0j -4.9369e-05-0j -0.000335464-0j 0.000187395-0j -0.000122935-0j -0.00152746-0j -0.00380357-0j 0.00118649-0j 0.00209615-0j 0.0367095-0j 0.00521966-0j 0.00262948-0j -1.47774e-06-0j 0.00654774-0j -0.0503767-0j -4.57209e-05-0j 6.27432e-05-0j -0.0631944-0j 7.87074e-05-0j 
0.0350013-0j -0.00489922-0j 0.00254897-0j -0.00257337-0j 0.000367912-0j -0.000371434-0j 0.473074-0j 0.289163-0j -0.000583705-0j -0.155187-0j -4.86421e-05-0j -0.000356786-0j 0.000191478-0j -2.97322e-05-0j 1.59565e-05-0j 0.00127289-0j 0.00277308-0j -0.0303947-0j 0.000909393-0j 0.000129913-0j -0.00129839-0j 2.65184e-05-0j -0.0662174-0j 0.00251267-0j 1.56261e-06-0j 0.000283027-0j -0.021715-0j 9.28145e-05-0j 5.77725e-05-0j 0.0310036-0j 1.89457e-05-0j -0.000132516-0j -0.0599991-0j 3.40428e-06-0j 0.000256448-0j -2.70497e-05-0j 1.11639e-06-0j -1.59392e-06-0j 5.23473e-05-0j 3.08459e-06-0j 
-0.000625023-0j 0.000257983-0j -4.55173e-05-0j 4.41686e-05-0j -0.0890492-0j 0.0864105-0j -3.03258e-05-0j -7.42738e-07-0j 0.000767094-0j 4.24809e-05-0j 0.278638-0j 1.87876e-05-0j -0.00107456-0j 0.00682438-0j -0.39032-0j 6.65589e-05-0j -5.24866e-07-0j -0.00158732-0j -1.62392e-05-0j 6.79314e-06-0j 2.22851e-05-0j 0.0187948-0j 1.25172e-05-0j 2.79553e-05-0j -0.210542-0j -5.35689e-08-0j 0.000387278-0j -1.6574e-06-0j -0.000148211-0j -0.000531465-0j -0.0045856-0j 2.27447e-06-0j -0.00066669-0j 0.00166028-0j 2.85318e-06-0j 0.00629285-0j 0.0513685-0j -0.0704934-0j 0.00789399-0j -0.0884296-0j 
0.00612395-0j -0.0419751-0j 0.0407947-0j -0.0428613-0j 0.00588447-0j -0.00618257-0j -0.000577718-0j -0.00035358-0j -0.45687-0j 0.000214481-0j 0.00121779-0j -0.279617-0j 0.169615-0j 0.000745318-0j -0.000452109-0j 0.000222708-0j -0.000505186-0j -0.00174567-0j -0.000465127-0j -0.00434694-0j -0.000218629-0j 0.0419537-0j 0.00395983-0j 9.37764e-05-0j -5.22525e-05-0j 0.00986047-0j 0.00364584-0j 0.00907858-0j -0.0951666-0j 0.00171369-0j -0.0876203-0j 0.00426731-0j -0.000735053-0j 0.000118528-0j -0.00183037-0j -0.0411851-0j 0.000109129-0j 5.12953e-05-0j 0.0176655-0j -2.20021e-05-0j 
0.030312-0j 8.74377e-05-0j -0.0064531-0j -0.00214206-0j -0.000931424-0j -0.00030918-0j -0.210713-0j 0.0150865-0j 0.00025999-0j 0.29517-0j 2.16658e-05-0j -1.86145e-05-0j -0.000364198-0j -1.55121e-06-0j -3.03498e-05-0j 0.00110235-0j 2.54546e-05-0j -0.0263226-0j 0.000669054-0j 0.000112508-0j 0.00315941-0j 2.29656e-05-0j -0.000607821-0j -0.00135576-0j 1.35326e-06-0j 2.59795e-06-0j -0.0159761-0j 6.82851e-05-0j 5.30305e-07-0j -0.0754424-0j 1.39386e-05-0j 0.000322456-0j 0.0323737-0j 3.12485e-08-0j -0.000138372-0j 6.58211e-05-0j 8.21342e-07-0j 3.87854e-06-0j -2.8245e-05-0j -1.66435e-06-0j 
-0.00618741-0j -0.0407313-0j 0.0428613-0j -0.0432715-0j 0.00618257-0j -0.00624174-0j 0.000583705-0j 0.000356786-0j 0.461605-0j -0.000191478-0j -0.00123041-0j 0.282153-0j -0.151424-0j -0.000752077-0j 0.000403621-0j -0.000225016-0j -0.000490216-0j 0.00176376-0j -0.000160759-0j 0.00439198-0j 0.000229524-0j -0.0423884-0j 0.00384249-0j -0.000444181-0j 5.2794e-05-0j 0.00956829-0j 0.00126009-0j 0.00313778-0j -0.0923466-0j -0.00179909-0j -0.0302838-0j -0.00447997-0j 0.00348165-0j 0.000115016-0j 0.00866975-0j 0.0432376-0j 3.77178e-05-0j -5.38516e-05-0j -0.0836746-0j 0.000104215-0j 
-0.000510329-0j 0.0106425-0j 3.57394e-05-0j -3.75499e-05-0j 0.0699198-0j -0.0734619-0j 4.81432e-05-0j 2.9465e-05-0j -0.00121779-0j -1.78734e-05-0j -0.442346-0j -0.000745318-0j 0.000452109-0j -0.270728-0j 0.164223-0j -1.8559e-05-0j 4.20988e-05-0j 0.000442604-0j 3.87606e-05-0j -1.89417e-06-0j 1.82191e-05-0j -0.00524069-0j -0.00100399-0j -7.8147e-06-0j 0.0587069-0j 4.29669e-06-0j -0.000924379-0j 3.95599e-06-0j 0.0118878-0j -0.000434496-0j 0.0109452-0j 1.85948e-06-0j 0.000186368-0j -0.133169-0j -7.97584e-07-0j 0.00514469-0j -0.12261-0j -0.0576315-0j -0.00220671-0j 0.0247198-0j 
-0.0250061-0j 0.00707247-0j 0.00175123-0j -0.00162577-0j 0.000252768-0j -0.000234659-0j 0.17383-0j 0.401424-0j -0.000214481-0j 0.479562-0j -1.78734e-05-0j -0.0004953-0j -0.00059171-0j -4.1275e-05-0j -4.93092e-05-0j -0.000909393-0j 0.00205892-0j 0.021715-0j 0.00189927-0j -9.28145e-05-0j 0.000788816-0j -1.89457e-05-0j -0.0491642-0j -0.000468538-0j -1.11639e-06-0j 0.000210138-0j -0.0453519-0j 0.000193843-0j 4.28942e-05-0j -0.0188358-0j 3.95681e-05-0j 8.05082e-05-0j 0.0111881-0j 2.52756e-06-0j -4.782e-05-0j 1.64337e-05-0j 2.33157e-06-0j 9.68363e-07-0j -9.76122e-06-0j -5.75185e-07-0j 
-0.00535845-0j 0.000726943-0j -0.10851-0j -0.036019-0j -0.0156521-0j -0.0051956-0j -0.00025999-0j 1.86145e-05-0j -0.205605-0j 0.000364198-0j 0.000548038-0j 0.0147207-0j 0.288014-0j -3.9238e-05-0j -0.000767701-0j -0.00019487-0j -4.49978e-06-0j 0.00152746-0j -0.000118273-0j 0.00380357-0j -0.00055851-0j -0.0367095-0j 3.52709e-05-0j 0.000239667-0j 4.57209e-05-0j 8.7829e-05-0j 0.000927068-0j 0.00230851-0j -0.000847666-0j 0.00437781-0j -0.0222802-0j 0.0109013-0j -0.00187859-0j 1.05575e-06-0j -0.00467793-0j -0.105212-0j 2.77496e-05-0j 0.000131039-0j 0.0451483-0j -5.62313e-05-0j 
0.00798958-0j -0.00454243-0j 0.000581842-0j 0.00612213-0j 8.39816e-05-0j 0.000883653-0j -0.0555394-0j 0.268105-0j 6.85276e-05-0j 0.503621-0j 5.71064e-06-0j -0.000330803-0j -0.000621395-0j -2.75669e-05-0j -5.1783e-05-0j 0.000290555-0j -0.00132238-0j -0.00693806-0j 0.000207583-0j 2.96547e-05-0j 0.0030889-0j 6.05324e-06-0j 0.0315766-0j -0.0022706-0j 3.56691e-07-0j -0.000134965-0j -0.00495679-0j 2.11863e-05-0j -2.75496e-05-0j -0.0737587-0j 4.32464e-06-0j 0.00031526-0j 0.0542187-0j -1.62337e-06-0j -0.000231742-0j 6.43521e-05-0j 2.54832e-07-0j 3.79198e-06-0j -4.73041e-05-0j -2.78742e-06-0j 
0.000515618-0j 0.0103272-0j 3.75499e-05-0j -3.79093e-05-0j 0.0734619-0j -0.074165-0j -4.86421e-05-0j -2.97322e-05-0j 0.00123041-0j 1.59565e-05-0j 0.44693-0j 0.000752077-0j -0.000403621-0j 0.273183-0j -0.146611-0j 1.87514e-05-0j 4.08514e-05-0j -0.00044719-0j 1.33966e-05-0j 1.9138e-06-0j -1.9127e-05-0j 0.005295-0j -0.00097424-0j 3.70151e-05-0j -0.0593153-0j 4.16937e-06-0j -0.000319488-0j 1.36729e-06-0j 0.0115356-0j 0.000456149-0j 0.00378293-0j -1.95214e-06-0j -0.000882752-0j -0.129223-0j 3.77784e-06-0j -0.00540107-0j -0.0423769-0j 0.0605036-0j 0.0104523-0j -0.117088-0j 
0.0044205-0j 0.0587994-0j 0.0294471-0j -0.0273375-0j 0.00424763-0j -0.00394332-0j 0.000214481-0j 0.0004953-0j 0.169615-0j 0.00059171-0j -0.000452109-0j 0.391692-0j 0.467935-0j -0.00104405-0j -0.00124728-0j 0.000160759-0j -0.000363969-0j -0.00126009-0j -0.000335747-0j -0.00313778-0j -0.000139444-0j 0.0302838-0j 0.00285292-0j 8.28267e-05-0j -3.77178e-05-0j 0.00710413-0j 0.0026317-0j 0.00655327-0j -0.0685642-0j 0.00109301-0j -0.0632477-0j 0.00272174-0j -0.000649225-0j 8.53954e-05-0j -0.00161665-0j -0.0262684-0j 7.87738e-05-0j 3.27168e-05-0j 0.0156028-0j -1.9433e-05-0j 
0.000446538-0j -0.000184312-0j -9.50631e-05-0j -3.15555e-05-0j -0.18598-0j -0.0617347-0j 2.16658e-05-0j -1.55121e-06-0j -0.000548038-0j -3.03498e-05-0j -0.199068-0j 3.9238e-05-0j 0.000767701-0j 0.0142527-0j 0.278858-0j 1.62392e-05-0j 3.74982e-07-0j -0.000387278-0j 9.8561e-06-0j 1.6574e-06-0j 4.65425e-05-0j 0.0045856-0j -8.94273e-06-0j -1.99722e-05-0j -0.0513685-0j 3.82714e-08-0j -0.000235052-0j 1.00593e-06-0j 0.000105887-0j -0.00110997-0j 0.00278316-0j 4.75023e-06-0j 0.000476306-0j -0.00118616-0j -2.03841e-06-0j 0.0131426-0j -0.0311773-0j -0.147226-0j -0.00563974-0j 0.0631772-0j 
-0.000368375-0j -0.0149082-0j 2.57981e-05-0j -2.39498e-05-0j 0.0504708-0j -0.0468549-0j -1.78734e-05-0j -4.1275e-05-0j 0.000452109-0j -4.93092e-05-0j 0.164223-0j 0.00104405-0j 0.00124728-0j 0.37924-0j 0.453059-0j -1.33966e-05-0j 3.03308e-05-0j 0.000319488-0j 2.79789e-05-0j -1.36729e-06-0j 1.16204e-05-0j -0.00378293-0j -0.000723341-0j -6.90222e-06-0j 0.0423769-0j 3.09562e-06-0j -0.000667252-0j 2.85558e-06-0j 0.00856478-0j -0.000277127-0j 0.00790065-0j 1.186e-06-0j 0.000164607-0j -0.0959438-0j -7.04455e-07-0j 0.00328135-0j -0.0885042-0j -0.0367581-0j -0.00194904-0j 0.0218335-0j 
-0.00141237-0j -0.037765-0j 0.00978374-0j 0.102944-0j 0.00141126-0j 0.0148493-0j -6.85276e-05-0j 0.000330803-0j -0.0541929-0j 0.000621395-0j 0.000144451-0j 0.261605-0j 0.491411-0j -0.000697306-0j -0.00130985-0j -5.13634e-05-0j 0.000233766-0j 0.000402605-0j -3.66958e-05-0j 0.00100254-0j -0.000546046-0j -0.00967581-0j -0.00183234-0j 0.000401388-0j 1.2051e-05-0j -0.00456276-0j 0.000287635-0j 0.000716247-0j 0.0440366-0j 0.0042801-0j -0.00691273-0j 0.010658-0j -0.00314623-0j -5.48468e-05-0j -0.0078345-0j -0.102864-0j 8.60967e-06-0j 0.000128115-0j 0.0756133-0j -9.41749e-05-0j 
0.000117698-0j 0.00957508-0j 8.57134e-06-0j 9.01874e-05-0j 0.0167688-0j 0.176441-0j 5.71064e-06-0j -2.75669e-05-0j -0.000144451-0j -5.1783e-05-0j -0.0524701-0j 0.000697306-0j 0.00130985-0j 0.253288-0j 0.475789-0j 4.28029e-06-0j -1.94805e-05-0j -0.000102078-0j 3.05798e-06-0j 4.36855e-07-0j 4.55038e-05-0j 0.00120866-0j 0.000464579-0j -3.3449e-05-0j -0.0135396-0j -1.98822e-06-0j -7.29281e-05-0j 3.12104e-07-0j -0.00550088-0j -0.00108519-0j 0.000863511-0j 4.64421e-06-0j 0.000797707-0j 0.0616217-0j -3.41388e-06-0j 0.0128493-0j -0.00967317-0j -0.14394-0j -0.00944531-0j 0.105808-0j 
