0.106244+3.17645e-12j 0.105391+0.00175619j -0.0814377-0.0842066j -0.0389437-0.0754403j 0.0591781+0.00315825j 0.00168424+0.0428085j 0.0402951+0.106669j -0.00361707-0.0166835j -0.0259698+0.0463027j -0.0293894+0.0226038j 0.0354224-0.0303065j -0.0163724+0.0095808j -0.0230401-0.0455961j -0.0113936+0.0642424j -0.0105952-0.0424621j 0.0299172-0.0314631j 0.00856364-0.0594965j -0.0101008+0.00198706j 0.000269963-0.0417212j -0.0351248+0.0131063j -0.00231999-0.033209j 0.00373133+0.00968899j -0.0153343-0.00472532j -0.0378699+0.0253954j -0.00679182-0.00541762j 0.010165-0.030218j 0.0261288-0.0123102j 0.0370768-0.0226666j 0.0303585-0.0179828j -0.00750021-0.00236426j 0.00159973+0.0155808j 0.00690907-0.000119357j 0.0151723+0.0228393j -0.0226403-0.0169033j 0.00998183+0.00755246j -0.0145501+0.021439j 0.0285712+0.0172803j -0.00843228-0.0121188j -0.035259-0.00894512j -0.0127215-0.0140514j 0.00203407-0.0195096j 0.0293125-0.0609038j 0.00284194+0.0170769j -0.0154435+0.0115817j 0.0110517+0.0112785j 0.0173982-0.0118153j -0.0220249+0.0280086j -0.0177674-0.0162853j -0.0177783+0.000653938j -0.00924718-0.00668626j 0.0457295+0.0404873j 0.0129499-7.15189e-05j -0.00716847-0.00588191j -0.0374675+0.0230988j -0.0145389+0.0331158j -0.00693762-0.00683862j 0.0144762-0.055606j 0.0335008+0.0257066j 0.0648412+0.0527546j 0.0326513-0.0180084j -0.0432175+0.00853698j -0.0120065+0.0180459j 0.00655585-0.033215j 0.0127866+0.0206116j 0.0463292+0.000125795j 0.0263303+0.0454492j -0.00958475-0.0116689j 0.0495993-0.0520085j 0.0311794+0.103146j 0.193229-0.196985j 0.0950492+0.276359j -0.348953-0.126243j 0.100609-0.0688073j -0.00166711+0.109503j 0.108242+0.0160213j -0.00819332-0.00696756j 0.16609+0.019055j 
-0.0163724-0.0095808j -0.03729-0.0025898j 0.0532705-0.0527095j 0.125441-0.0491154j 0.104177-0.0574468j 0.0421174+0.0336124j -0.0142766-0.037189j -0.221915-0.0645813j 0.0378857+0.0422526j -0.0858946+0.0210149j 0.0342866+0.0135991j 0.275902-5.1209e-15j -0.0131752+0.0593392j 0.0174575-0.0560876j -0.0496048+0.0292378j -0.121225-0.0529129j -0.176779-0.00833897j 0.00874352+0.0603833j -0.0817847+0.102529j -0.0651514+0.0598699j -0.0513668+0.0249244j -0.0046625+0.033551j 0.00679859-0.0361592j 0.118358-0.0706505j 0.0875813-0.0249782j 0.0127229-0.040984j -0.0763879+0.0311873j -0.0155762+0.00728036j 0.0457002-0.00129806j -0.05194-0.0333721j -0.0441914+0.0414359j -0.171859-0.0235395j -0.11516+0.105482j -0.117633+0.156645j -0.0883277+0.0244921j -0.0761358-0.0536766j 0.0381295+0.0400818j 0.0776455-0.0052964j 0.0397426+0.111127j -0.129637-0.0323361j -0.0234227+0.0342535j -0.0530692-0.0621592j -0.0330135+0.0222735j -0.0425901+0.0733076j 0.115139-0.0478434j 0.0209343+0.0395682j 0.0573126+0.00977471j -0.10247-0.0223988j 0.0505013-0.0466631j 0.0225489-0.0209431j 0.0580269-0.162012j 0.0166228+0.00264402j 0.0631429-0.054671j -0.0567186+0.00609771j 0.0909683-0.0685785j -0.101358-0.0586747j 0.0187422+0.0240126j -0.03225+0.0768872j 0.037096-0.0134908j -0.121117-0.00601488j 0.177096+0.0193157j -0.0260597-0.0810559j 0.0441683+0.0528382j 0.103769-0.0298246j -0.194076+0.0333317j -0.0488027-0.139759j 0.202677-0.0463682j -0.0946668+0.00468912j 0.0706497-0.000467938j 0.144028-0.00880124j 0.148291-0.0687495j -0.0355869-0.105176j 0.227631-0.0399312j -0.230844+0.0487534j 0.151979+0.126468j -0.111083+0.00952169j 0.0105185-0.105801j 
-0.0230401+0.0455961j -0.0305122+0.063081j 0.0802953+0.00581546j 0.0717907+0.00609489j -0.00873935-0.0139969j 0.00895706-0.0105394j 0.0292787-0.0263712j -0.104246-0.0427626j 0.0720092-0.0455845j 0.0214454+0.0507214j 0.092606-0.0272178j -0.0131752-0.0593392j 0.0538784-3.31679e-15j -0.0157084-0.0548533j -0.0394149+0.0557013j -0.0271065-0.0158743j -0.10574+0.0504063j -0.00439536+0.0672354j -0.00932298+0.0444337j 0.0461398+0.0426929j -0.00303615-0.00701711j 0.0164122-0.0124493j 0.0288944-0.0180946j -0.000399914+0.0509309j 0.0512464+0.0591752j 0.0425305+0.0250597j -0.0687005+0.0230758j -0.0340226-0.0266882j -0.0269185-0.0129883j -0.0361398+0.0208724j 0.0351161-0.0241947j -0.0425389-0.0114399j 0.00988149+0.0378148j 0.0176636-0.00198336j 0.00326906-0.0159733j -0.0116982+0.0212782j 0.0874771+0.0328704j 0.0885226-0.0226354j 0.0695951+0.013601j -0.010496+0.00710491j 0.0354417+0.0512206j -0.0618584+0.000109495j -0.0251913+0.0729293j -0.000882346+0.00582557j 0.0941018-0.0453851j -0.018565+0.0221068j 0.020474-0.0843094j -0.0339586-0.0384205j 0.000591024+0.0666569j -0.0373023-0.0375729j -0.119632-0.0409348j -0.00801053-0.0830408j 0.0964015-0.112711j 0.0334323+0.0624424j -0.00255147+0.00300413j -0.130383-0.102376j 0.0198039+0.0164028j 0.0921258-0.00777295j -0.0773245-0.0226014j -0.0876658-0.0969693j 0.133954-0.0725416j 0.012921-0.0964086j 0.0414734+0.00793126j 0.0172793+0.0335993j -0.149036-0.0210829j -0.0690311+0.0745264j 0.0335769-0.16564j -0.108494+0.0273623j -0.0637831+0.061802j -0.0332912-0.0274389j 0.0638755+0.0763407j -0.13111-0.00126527j 0.103401+0.0825354j 0.0641786-0.0757577j 0.0666197-0.0767394j -0.017173-0.00414845j -0.090768+0.0382882j 
-0.0113936-0.0642424j -0.0782076+0.00359578j 0.111096-0.0115522j 0.0401194-0.0637158j 0.0671248+0.0196806j 0.184609+0.0363612j -0.0174238+0.0876508j -0.201934-0.00782725j -0.00385282+0.0394022j -0.0335045+0.0592578j 0.129687-0.0248076j 0.0174575+0.0560876j -0.0157084+0.0548533j 0.178944+2.08167e-15j -0.121885+0.0297612j -0.1297+0.00993615j -0.0663033-0.070983j -0.215259-0.031388j -0.0353397-0.153654j -0.0823067+0.0602468j -0.0148873-0.00889638j -0.00713675+0.0350762j 0.0375526+0.0334904j 0.0310597-0.0311493j -0.0048729+0.0252094j 0.0295766+0.0400211j -0.120472-0.0613241j 0.057596-0.0778718j 0.00486688-0.0343427j 0.0752076-0.0254751j -0.0721953+0.016671j -0.152485+0.130079j 0.00184022+0.0287856j -0.071238+0.00895642j -0.0402049+0.0901529j -0.00845501-0.062858j 0.0305761-0.0653781j -0.0189162+0.0562153j -0.0451251+0.0381722j -0.0744339+0.0143933j -0.0387749-0.0945783j -0.018254-0.0118627j 0.0773861-0.0397858j -0.116566+0.0208368j -0.0378026-0.0268907j 0.0517307-0.0315079j 0.0385836+0.0563596j 0.0376631+0.0450351j 0.0595169+0.0490386j 0.0807767-0.0393666j 0.0780343-0.0962047j 0.00159214+0.0693514j 0.0869984+0.0521553j 0.0104679-0.0565575j 0.189972-0.152029j -0.122124+0.0413543j 0.105755+0.00967752j -0.066899-0.0298822j 0.151313+0.0460037j -0.126373+0.0213977j 0.168654-0.0680746j -0.239816-0.0939259j 0.0146141-0.0154384j 0.128513-0.0716208j -0.283878+0.130942j 0.0474154-0.0237877j 0.122427+0.0124009j -0.0640274-0.0088637j -0.188339+0.176083j 0.0283804-0.153177j 0.292114-0.091368j -0.0815312-0.0527342j 0.156364+0.006529j -0.239168-0.0181917j 0.0712537+0.00117158j -0.149448-0.0361781j 0.021338-0.0615469j 
-0.0105952+0.0424621j 0.0563857-0.0238324j -0.0276994+0.0759133j -0.118387-0.0414899j -0.0555636-0.0230426j 0.0437513-0.057922j 0.178103+0.0382558j 0.0969365-0.0975567j -0.0187461+0.0311556j 0.0270839+0.0669328j 0.0397584-0.0206544j -0.0496048-0.0292378j -0.0394149-0.0557013j -0.121885-0.0297612j -0.00960262-3.3452e-15j 0.0193945-0.0707163j 0.0562991+0.0475654j 0.102717+0.0094917j 0.0697251+0.0115003j 0.0580257+0.0362598j -0.00215358+0.023877j -0.0672563+0.0468763j -0.0757016-0.0743338j -0.0808253-0.061671j -0.04513+0.00931722j 0.0534177+0.0341531j 0.0144074+0.00611385j -0.0218376+0.0169813j 0.0204476+0.0620379j -0.0683354-0.0169751j 0.042062+0.00550448j 0.112008+0.00713206j 0.0295824+0.0480947j 0.109381-0.0645842j 0.0133619+0.004167j -0.0081342+0.112277j 0.0553017-0.00707098j -0.0105405+0.0103108j 0.013786-0.00553458j 0.130651-0.0106951j 0.0341686-0.0394698j 0.0794647+0.0318902j 0.0597695-0.0133632j 0.0383318-0.0467626j -0.0294628+0.0216881j -0.0601943+0.0382218j 0.0437264-0.0387056j 0.109645-0.00123898j -0.0849147-0.0222535j 0.0982557+0.039969j -0.0771714+0.0243484j 0.101348+0.0629623j 0.00706981-0.018873j 0.0940842-0.0170183j 0.0756004+0.0445708j 0.084144+0.0097413j -0.0667076-0.0646657j 0.0127215+0.022989j 0.0924792-0.00603132j 0.131843-0.0243158j -0.119335+0.0966146j 0.143251+0.022447j -0.0936574+0.0237159j -0.0681735+0.0690339j 0.0959473-0.00400447j 0.0562958-0.149919j -0.0285566+0.0306898j 0.0953062+0.0228116j -0.224798+0.0619618j -0.131381+0.031615j -0.241683+0.00383006j 0.0153943-0.0148556j -0.183427+0.217657j 0.171006-0.0816712j -0.256513-0.0660502j 0.119252+0.00179294j -0.0360781+0.0298621j 
0.0299172+0.0314631j 0.085164-0.0131508j -0.117364-0.0110221j -0.144714+0.0522133j -0.0868378-0.00271129j -0.180622-0.0218557j 0.0920534-0.00938228j 0.29087-0.034657j 0.0384657-0.0397906j 0.0257361-0.049712j -0.0512149+0.00221883j -0.121225+0.0529129j -0.0271065+0.0158743j -0.1297-0.00993615j 0.0193945+0.0707163j 0.275101+4.71845e-16j -0.00364342-0.000418438j 0.134813+0.0633446j 0.158304+0.0727545j -0.0888392+0.0852955j 2.24364e-05-0.0054962j 0.119217-0.00575189j -0.0460143-0.0122842j -0.0476454+0.0455397j -0.0212492-0.0864356j -0.145114-0.0275015j 0.00732671+0.0455149j -0.0594146-0.00431911j 0.0196591+0.014175j 0.0125899-0.0161628j -0.0601869+0.0760444j 0.180801+0.00973662j -0.0110451-0.044829j 0.050019+0.0428998j 0.0477889+0.0267958j 0.191005-0.169167j -0.128191-0.00534431j -0.0202775+0.0433226j 0.0312794-0.0116717j 0.164785-0.0174613j -0.0094098-0.00463954j -0.0324211-0.0555333j -0.0443107+0.0201024j 0.145654+0.0468353j -0.119192+0.075069j -0.114195-0.0754252j 0.0772809-0.0250767j 0.19849-0.0460793j -0.177948+0.157383j 0.0201005+0.0476783j -0.0478017-0.119237j 0.0964635-0.0224774j -0.0108136+0.0360661j -0.0765343+0.0101551j -0.123407-0.180137j 0.203956+0.0508179j -0.0793901+0.037939j 0.0477892+0.0429202j -0.0467372-0.0939779j 0.136735+0.0836997j -0.0722146-0.0551091j 0.0646188-0.0921859j 0.00132031-0.0916363j -0.0943708-0.0170128j 0.15484-0.151302j 0.0998106-0.0211083j -0.21816+0.00867357j 0.236969-0.132751j -0.113862+0.0525597j 0.118284+0.116198j -0.193228+0.0150023j 0.182494-0.196732j -0.230637-0.13843j 0.329145-0.109736j -0.322385-0.106898j 0.104764-0.0085804j 0.0459079+0.0233704j 
0.00856364+0.0594965j 0.0537396-0.0197687j -0.0741423+0.0035441j -0.074752+0.00927844j -0.108136+0.0113089j -0.00787033+0.0327292j 0.0650147+0.0232624j 0.129349+0.0499261j -0.0115738+0.0406801j 0.0739241-0.0229802j 0.0186084+0.0144615j -0.176779+0.00833897j -0.10574-0.0504063j -0.0663033+0.070983j 0.0562991-0.0475654j -0.00364342+0.000418438j 0.204851-1.66533e-16j 0.169824-0.0286507j -0.0489109+0.0176057j -0.0060073-0.00734725j -0.017999-0.0744412j 0.0112763-0.0266779j -0.0483808+0.00224632j 0.0567903+0.0366801j 0.0674124-0.139558j -0.0117812-0.0481989j 0.124077-0.0454542j -0.00548057+0.0298745j 0.0811298-0.00329446j 0.0324159+0.0589908j 0.0720768-0.0329303j 0.0669056-0.0398536j 0.0587037-0.014106j 0.00930549+0.0678597j 0.0094809+0.0849554j 0.0731428+0.0462894j -0.0622424+0.0182957j -0.0637105+0.0461737j 0.0763153-0.119258j 0.183781+0.00251496j 0.0704164+0.0243684j 0.0303639-0.019699j 0.0216254-0.00169739j 0.164295-0.0124019j -0.0222837-0.0715495j -0.171763+0.0486455j -0.0834463-0.0591136j 0.0671075+0.00738371j -0.0931336-0.111565j 0.0927079+0.0999886j -0.0436134+0.0110012j 0.032001-0.060412j -0.044513-0.0130016j 0.0885359-0.0546867j -0.0168017-0.0670653j 0.0974588+0.0268269j -0.0728785+0.0545634j -0.0559431+0.0984973j -0.0218168-0.062948j 0.131394+0.0249253j 0.00831389-0.0474964j -0.0435978+0.0802142j -0.142867+0.0135271j 0.161093-0.0464503j 0.116344-0.0945154j 0.00498525-0.163388j -0.12727-0.0157198j 0.188737-0.0973721j -0.0513862+0.0438831j 0.0876002+0.062372j -0.153065+0.128122j 0.149226+0.0368375j -0.160639-0.095941j 0.174404-0.0152556j -0.19541-0.0118775j 0.0747193-0.0904075j 0.029796+0.0308219j 
-0.0101008-0.00198706j 0.0368389-0.0194367j -0.037228+0.0249263j -0.130762+0.0211686j -0.066774-0.0251443j -0.0479859-0.0288195j 0.10173-0.000569264j 0.241084-0.0720976j -0.130707-0.00631432j 0.00578942-0.00173319j -0.0341199+0.0177089j 0.00874352-0.0603833j -0.00439536-0.0672354j -0.215259+0.031388j 0.102717-0.0094917j 0.134813-0.0633446j 0.169824+0.0286507j 0.239202+1.9082e-15j 0.051763+0.00710677j -0.0199443+0.0601251j -0.0578989+0.0285667j -0.0679952+0.00859933j -0.0543209+0.0594051j -0.0599425-0.0174848j -0.0127124-0.054512j -0.00530875+0.0309415j 0.14184-0.0739782j -0.129997-0.0146934j -0.0126082-0.00177001j -0.0557582-0.00870191j 0.0564785-0.00771265j 0.126165+0.0364052j -0.0503234+0.00190763j -0.0442522+0.163519j 0.0238788+0.0109013j 0.0252479+0.00175024j -0.0602281-0.0273046j -0.0307331+0.0265806j -0.0226638-0.0125529j 0.0898619+0.0525115j -0.00137327-0.036741j -0.0101554+0.0355492j 0.0373954-0.0172182j 0.0405871+0.0920325j -0.0331571-0.0339907j -0.162195+0.0896503j -0.0341646+0.00201991j 0.127098-0.0240212j -0.110464+0.0467019j -0.0381446+0.106607j -0.107765-0.0761869j 0.0418833-0.0272231j 0.106828-0.0174331j 0.0677424-0.00500806j -0.0357194+0.0173417j 0.159909-0.0409622j -0.186288+0.140068j 0.0573387-0.0202417j -0.0933831-0.0552398j 0.186857-0.00801223j -0.0679689-0.0440712j 0.0530778-0.0175004j -0.0389386+0.0658424j -0.083972+0.0543178j 0.0588264+0.0277855j 0.265382-0.112965j -0.103923-0.0936009j 0.242632-0.0214021j -0.0355211+0.020215j 0.127631-0.0499067j -0.212141-0.157766j 0.0608294+0.0361858j -0.149475-0.0194933j 0.137508-0.108976j -0.2234-0.0108048j 0.137458-0.0189141j -0.0135582+0.0490153j 
0.000269963+0.0417212j 0.0411556-0.0124547j -0.0646892-0.0114123j -0.0129658-0.0471243j -0.00516114-0.0231179j -0.0168789-0.0256199j -0.00611465+0.0203045j 0.0420349-0.0177689j -0.0632525+0.000559362j 0.048465+0.00878039j -0.0554165-0.0379687j -0.0817847-0.102529j -0.00932298-0.0444337j -0.0353397+0.153654j 0.0697251-0.0115003j 0.158304-0.0727545j -0.0489109-0.0176057j 0.051763-0.00710677j 0.109236+1.41623e-14j -0.0538033+0.0186522j 0.11411+0.110491j 0.0198543+0.0605678j 0.00488833+0.0720202j 0.0190942+0.00994633j -0.0474842-0.0286063j -0.0920698-0.0558948j 0.000292858-0.0440121j -0.0267544+0.126467j -0.0810085+0.104447j -0.0504161+0.0575805j -0.0642354-0.00409034j 0.0523713+0.0584879j 0.00988687+0.0704548j 0.0509962+0.115206j -0.0342155+0.0359671j 0.149147-0.0443788j -0.0019926-0.0258123j -0.0607764-0.0972211j 0.0497537+0.0959782j -0.00114737+0.11024j 0.0760637+0.0187668j -0.031557+0.0313109j -0.00315481+0.0418113j 0.0808968+0.0773404j -0.0365046-0.0588861j 0.0301805-0.0347205j 0.0594313+0.0532986j 0.036325+0.0169656j -0.0656199-0.00830517j 0.0327309-0.0513209j 0.0116049+0.0232802j -0.00646498+0.0173755j -0.0712874-0.0813953j -0.020612-0.0278417j 0.0602368-0.052815j 0.0390915-0.0245336j 0.0133052+0.158685j -0.0289854-0.122497j 0.0411182+0.0291787j -0.00598648-0.00678564j -0.107469+0.165227j 0.137228+0.108209j -0.119888-0.0192909j 0.0340147+0.0926763j -0.0571406-0.0125735j 0.033051-0.133735j -0.147984-0.0176796j 0.010056+0.0186394j -0.150892-0.0626311j 0.0931753-0.0902925j -0.136789+0.0387756j 0.165771+0.0672699j -0.073606-0.0233526j 0.11011+0.0448154j -0.0512154+0.0316967j 0.107885-0.0154144j 0.027215+0.0495134j 
-0.0351248-0.0131063j 0.0416824+0.00686941j 0.0317578+0.0601718j -0.0459773+0.00609323j -0.0623774+0.064644j 0.0392299-0.0130201j 0.0604836+0.0213389j -0.0406801-0.088813j -0.03932-0.0274536j -0.0311559+0.0529761j 0.0524151-0.0097898j -0.0651514-0.0598699j 0.0461398-0.0426929j -0.0823067-0.0602468j 0.0580257-0.0362598j -0.0888392-0.0852955j -0.0060073+0.00734725j -0.0199443-0.0601251j -0.0538033-0.0186522j -0.00390362+1.94289e-16j 0.034513+0.0955228j 0.0513518-0.0100711j -0.0293849-0.0456784j -0.106697-0.08987j 0.0566571-0.0142038j -0.00955585+0.0197452j -0.0114116-0.0243459j 0.057693-0.0279462j 0.0283882-0.0785836j -0.0320917-0.0547538j 0.00222667+0.0564209j 0.0798832-0.0756781j 0.052843+0.0154455j 0.109317-0.0165289j 0.0304554-0.0265512j -0.0517895+0.0517737j -0.0671639+0.0509551j -0.0284581-0.0266752j 0.134243-0.00452899j -0.0170983+0.000404454j -0.00609508+0.0416968j -0.0264374+0.0633081j -0.0235855+0.0288959j 0.0289571-0.0491671j -0.0789503-0.00320267j -0.00887169-0.100685j 0.119549-0.0567859j 0.03521+0.0171294j -0.0338801+0.00283756j -0.0310803+0.0836579j -0.0126636-0.0950874j 0.0147024-0.050133j -0.0489553+0.0543965j -0.0830392+0.125572j 0.0552527+0.110621j 0.00205828-0.0128602j 0.0379631+0.0206002j -0.043631+0.00428694j 0.0303741-0.0744035j 0.0277993+0.096691j 0.000437633+0.00929271j 0.024346+0.0241878j -0.0175046-0.0332822j -0.0726473-0.00610994j -0.0168472+0.0246261j 0.0313708+0.0321077j -0.083823+0.0913891j 0.0588653+0.0458213j -0.000176367+0.120789j -0.0452441-0.0366907j -0.0678149+0.107356j 0.0309448+0.0117504j -0.0306008-0.0380903j -0.00697741-0.0124108j -0.00854108+0.0556427j 0.0426647+0.0126432j -0.00860291-0.0719568j 
-0.00231999+0.033209j -0.0147745-0.0241786j 0.0379021-0.00345916j 0.0415632+0.00090347j -0.0276178+0.00038346j 0.00815483+0.0750962j 0.0348831-0.0303027j -0.0499445+0.0785528j -0.0639194-0.00871188j 0.0183799+0.0267814j 0.0584632-0.0431444j -0.0513668-0.0249244j -0.00303615+0.00701711j -0.0148873+0.00889638j -0.00215358-0.023877j 2.24364e-05+0.0054962j -0.017999+0.0744412j -0.0578989-0.0285667j 0.11411-0.110491j 0.034513-0.0955228j 0.154991+3.40353e-14j 0.0159686-0.11035j -0.0887127+0.00469076j -0.0160225+0.101111j -0.108435-0.00904678j -0.0842498+0.0273441j 0.0449982+0.073024j 0.0796354+0.0024987j -0.0777428-0.0332899j -0.0964812+0.0468521j 0.0194172+0.0614849j -0.00941575+0.0250689j 0.0191146+0.000695687j -0.037669-0.0527284j -0.0198371+0.0301416j 0.0568735-0.111568j 0.04676-0.0294114j -0.0531295-0.0982426j -0.001068-0.000754561j -0.161364+0.0637817j 0.0314351-0.0266618j -0.0444468+0.0231734j 0.0241452+0.011757j 0.025174-0.0378448j -0.0512712+0.0442763j 0.0321089-0.0305275j 0.137874-0.058781j -0.0953436+0.01085j 0.0269833+0.138648j -0.0336197-0.0668126j -0.00565514+0.0573857j -0.0259006+0.0663331j -0.0801524+0.0492978j 0.0239604+0.0241636j 0.0805171+0.00697586j 0.0527604-0.0602483j -0.181925+0.043184j -0.0279132-0.0128741j 0.0351328-0.0744236j -0.102631+0.160047j 0.0176472+0.0390285j 0.0571248-0.00510109j -0.00202207+0.0326263j 0.018805-0.0988871j -0.0213796+0.106094j 0.0436873-0.0576199j 0.0633937-0.074879j 0.0913965-0.130501j 0.0881846-0.0435172j 0.0349564+0.0297947j 0.0831003-0.0822629j -0.0882858-0.0618965j -0.00294783-0.0242596j -0.10659-0.00487797j 0.0285633+0.0677162j 0.00413104+0.00307138j -0.076014-0.0192385j 
0.00373133-0.00968899j -0.005816+0.00335144j 0.017761+0.0303586j -0.00658451-0.0255659j 0.0242795+0.00554044j 0.012362-0.0282466j -0.019747+0.0157038j -0.0420349-0.00681425j 0.0484649-0.00464435j -0.0065605+0.0373305j 0.0243114-0.0145965j -0.0046625-0.033551j 0.0164122+0.0124493j -0.00713675-0.0350762j -0.0672563-0.0468763j 0.119217+0.00575189j 0.0112763+0.0266779j -0.0679952-0.00859933j 0.0198543-0.0605678j 0.0513518+0.0100711j 0.0159686+0.11035j 0.269802-3.93019e-14j 0.160282+0.0272475j -0.00504927-0.00640358j 0.0419045-0.0147913j 0.0264407+0.0945405j 0.0955014-0.0615522j -0.0654727+0.0259596j 0.166514-0.0529737j -0.0460867-0.0453038j 0.0154707-0.0120479j -0.0570568+0.0966098j 0.152732-0.000357123j -0.0678812+0.0388977j 0.0342687+0.00726531j 0.0130303+0.0178558j -0.136006+0.0277924j -0.0848925-0.00226036j 0.055641-0.0146571j 0.0489443-0.0511956j -0.111262+0.138484j -0.0882394-0.00297067j 0.033117-0.0188084j -0.0237838-0.0547439j 0.0582169+0.011017j 0.16231+0.0541251j -0.0720187+0.188725j -0.0855365+0.0260447j -0.0615733+0.018599j -0.0802958+0.161354j 0.0778479+0.0481378j 0.115254-0.12204j -0.0153376-0.012248j 0.0470004-0.0790295j -0.0357602-0.00481614j -0.0777044+0.0795079j -0.0672247+0.045169j -0.0298237+0.17184j -0.0107543+0.0630666j -0.0620346-0.0644105j -0.0083511-0.0262246j 0.0510813+0.0216262j 0.0156907-0.00144691j -0.0403192+0.109152j -0.0732158-0.0132902j 0.000534341-0.00493801j 0.0095206-0.0373272j 0.0727703-0.0304198j -0.0081257+0.0732194j -0.0364309-0.0313947j 0.0470654-0.0553309j -0.00236285-0.042679j -0.0289581-0.0111847j -0.0555185-0.027508j 0.000751968+0.0130922j 0.00199091+0.0322753j -0.00131202-7.59981e-05j 
-0.0153343+0.00472532j -0.0292219+0.0252617j 0.0584027-0.0321881j 0.0651813-0.00906164j 0.0513868-0.0184683j 0.0398437+0.0586299j 0.00622366+0.0194532j -0.0459834-0.037253j -0.0508083+0.0573429j -0.0212153+0.037404j 0.0394162-0.0160866j 0.00679859+0.0361592j 0.0288944+0.0180946j 0.0375526-0.0334904j -0.0757016+0.0743338j -0.0460143+0.0122842j -0.0483808-0.00224632j -0.0543209-0.0594051j 0.00488833-0.0720202j -0.0293849+0.0456784j -0.0887127-0.00469076j 0.160282-0.0272475j 0.0658275+2.90046e-15j 0.0195121+0.0740409j 0.0293543+0.0374654j -0.00985207-0.0103838j -0.0727331+0.0399478j -0.0528847-0.143139j -0.0438198-0.0960747j 0.0541434+0.0321502j -0.0688526-0.0415042j -0.105909+0.0471056j 0.0527091-0.0174852j -0.0573761-0.00917244j -0.0366106+0.0773538j -0.0435773-0.147457j -0.0627563+0.0243933j -0.0464545-0.00139386j 0.00543719+0.0516961j -0.0816218-0.0193515j -0.105434+0.0688193j -0.0756388+0.10183j -0.11423+0.0864154j 0.0126979-0.0653373j -0.0676881-0.107635j -0.00108321-0.0981062j -0.0750403+0.00256913j 0.0538473+0.0697348j 0.113919+0.184085j -0.11462-0.0100785j 0.0698483+0.0310683j -0.0621674-0.0866451j -0.0560804+0.0891404j -0.0751509+0.0711563j 0.0187809+0.0178085j -0.083477+0.00920686j -0.00972798+0.0116388j -0.117675-0.119677j 0.0257513-0.027465j -0.0690828+0.0774547j 0.0914727+0.0943203j 0.0260675+0.0213266j -0.0828374+0.0762413j 0.124467+0.0314075j 0.0536257+0.013741j -0.00196619+0.031535j 0.0411452-0.0751149j -0.20884+0.0148208j 0.036049-0.0788753j 0.0301821+0.0536604j -0.0398464-0.0631651j -0.0373201+0.190156j 0.266098+0.113702j -0.0738964+0.0222154j 0.119732+0.0185464j -0.0142809+0.0135676j -0.0420387+0.0169482j 
-0.0378699-0.0253954j -0.0265585+0.0074122j 0.0945404+0.0566689j 0.0113433-0.0754837j -0.0298419+0.0126877j 0.124296+0.0513538j -0.0115238+0.0137573j -0.156111+0.0490936j -0.128991-0.014561j -0.0769024-0.019298j 0.0885097+0.0171637j 0.118358+0.0706505j -0.000399914-0.0509309j 0.0310597+0.0311493j -0.0808253+0.061671j -0.0476454-0.0455397j 0.0567903-0.0366801j -0.0599425+0.0174848j 0.0190942-0.00994633j -0.106697+0.08987j -0.0160225-0.101111j -0.00504927+0.00640358j 0.0195121-0.0740409j 0.137408+3.43128e-15j 0.0429613-0.038037j 0.0770961+0.000319103j 0.0554164-0.0348181j -0.0772005+0.0270487j 0.0386126+0.00502784j 0.0129452+0.0212197j 0.0106498+0.0259065j -0.149238-0.11493j -0.0109443+0.00200408j -0.11963-0.0727616j -0.12131+0.00115036j -0.00999314+0.0115921j 0.0333966+0.0468094j -0.00170366+0.0713274j -0.0114581-0.0518511j -0.0831299-0.0574077j -0.0266255+0.0839096j -0.142696-0.0231088j 0.0627568+0.0632344j -0.0989385-0.0548689j 0.0870555+0.00788836j -0.0430788-0.061927j -0.10061+0.0472145j -0.00596957-0.0467586j 0.0867291-0.0428889j -0.0118142-0.0131385j 0.114028+0.0056277j -0.0985877-0.0872726j -0.0167709+0.00466519j 0.0981488+0.000271796j 0.0799748-0.130755j -0.153524+0.118403j 0.00576717+0.0261258j 0.134022+0.0204067j 0.0190384+0.0851943j -0.0758177+0.0214475j 0.0820888-0.0497535j 0.0159751-0.0690381j -0.00867704+0.0402117j 0.000723573+0.0246431j -0.0877835+0.0110021j 0.0123439-0.0345667j 0.180428+0.00644394j -0.153002-0.00732199j -0.0167653+0.0290935j -0.0226307-0.0475605j 0.157196+0.0628573j -0.0850438-0.0219316j 0.0202645+0.0934106j -0.0539781+0.0880342j 0.154546-0.135698j -0.0516262+0.0153112j -0.0381522-0.03068j 
