-0.115354-0.000923617j -0.311328+0.11448j -0.0463572-0.0003975j -0.0142035-0.00392289j 0.0134615-0.00435712j 0.0105111+0.0167814j -0.0116379-0.00551255j -0.00630401+0.0126231j -0.0119668+0.00290621j 0.0112669+0.00175946j 0.0245929+0.00244135j 0.00352379+0.000885093j 0.0066509-0.000577816j 0.00574092+0.00190885j 0.0146181-0.00146274j -0.00386262-0.0052235j 0.004137+0.0101083j 0.0022792-0.00355408j 0.00490451+0.00209414j 0.00194408+5.56388e-05j 0.0040021-0.000732061j 0.000516428+0.00143067j -0.00358835+0.00269396j 0.00696933+0.0014371j -0.00746181-0.000568906j -0.00193836+0.00120422j -0.0100153-0.00254073j 0.0074869+0.00104166j 0.00552722-0.0064714j 0.000302266+2.56185e-05j 0.00157947+0.00612331j -0.00502754-0.00253049j 0.00843128+0.00223385j 0.00618608-0.00209424j -0.0096247-0.00169878j -0.00216665-0.00213483j 0.0153743+0.00512512j -0.00268075+0.00190621j -0.00590816+0.000101373j 0.00674329+0.00162239j 
-0.00051984-0.00643168j 0.0435016-0.0368776j -0.00318856+0.000349746j -0.00400557+0.00375873j -0.0006401+0.00127151j 0.0101203-0.00663853j 0.00446926-0.00178677j 0.00260335-0.00352746j -0.00303562+0.000312462j 0.0209411+0.010572j 0.0151234+0.00579356j -0.00353067-0.00280634j 0.00555129+0.00588467j 0.00137047+0.00652867j 0.000999916-0.00456225j -0.00214988-0.00782513j -0.0118326+0.0192012j -0.00122458-0.0056796j -0.00241369+0.00487317j -0.00213323+0.00162015j 0.00263825+0.00549791j 0.00229749-0.00642568j 0.00975469-0.00194744j -0.00933824-0.00551571j 0.00717314-0.0055412j 0.0026032-0.00973447j 0.00110069+0.00493778j -0.00947342+0.00272738j -0.000681864+0.00939458j 0.0088594+0.0010104j -0.00198489-0.00719766j -0.00133676-0.00436895j -0.00410146+0.00440083j -0.00350615+0.00283978j 0.0115976+0.0113829j 0.000639125+0.00548212j -0.00333186-0.00486698j -0.00182411+0.00312888j 0.00353802-0.00492677j 0.000558449-0.0019505j 
0.0013087-0.00492423j 0.00029218-0.0194557j 0.00458539-0.000693724j 0.000624287+0.00488209j -0.0140968-0.000864639j 0.0260065-0.00274129j 0.000812326-0.000854098j 0.00526923+5.51733e-05j -0.00199318+0.000447051j -0.00118848-0.0081119j 0.0118681-0.0128876j 0.00237624+0.00402034j -0.00371548-0.00602774j 5.77979e-05-0.0027079j 0.0134304+0.00750076j 0.0099912+0.00526419j -0.024138-0.00388376j 0.00219815-0.00517814j 0.000130081-0.00170525j 0.0030144+0.00260551j -0.00732718-0.00535152j 0.00512883+0.0109763j 0.00282714-0.00477795j 0.00325054+0.0130787j 0.00444137-0.000104162j 0.00178332+0.0161013j -0.000704199-0.0179064j -0.0014445+0.00369604j 0.00319521+0.00254468j -0.00688574+0.00831576j 1.83056e-05-0.00126518j 0.00492667-0.00458308j 0.000331567+0.00103706j -0.00819382+0.010325j -0.00397872+0.00252004j -0.00560083-0.0111399j -0.00944438+0.00370163j 0.000789579-0.000846445j 0.00119221-0.00108609j -0.000919361-6.53961e-07j 
0.0103803-0.0094848j -0.0611682+0.128416j 0.00859339-0.00739121j 0.012269+0.00545304j -0.00622221-0.00297851j 0.00263847-0.0156438j 0.0148353+0.00687936j 0.0156222-0.00488504j -0.00218073+0.00679709j 0.00734898+0.00120654j 0.00940858+0.00150026j 0.00139774-0.00674744j 0.00597511-0.00215533j 0.00514233-0.000535246j 0.0106304-0.00345001j -0.00910516+0.00692363j 0.00785094-0.0158091j -0.00602749-0.0188546j 0.00402618-0.000904684j 0.0071422-0.00335755j -0.004956-0.000235285j 0.00731389-0.0026192j 0.0053574+0.000913994j 0.00478358-0.000293749j 0.00202519+0.00137426j 0.00736734+0.000722522j -0.00797966+0.00163719j -0.000575046-0.000905072j 0.000247428+0.000299009j 0.00447983-0.000834196j 0.00233588-0.00364677j -0.00280198+0.000245868j -0.00117555-0.00091371j 0.001301-0.00326109j 0.00141934+0.00322257j -0.00247808+0.00366202j 0.00453929-0.00287163j -0.0023462+0.00133496j 0.0019613-0.000937322j 0.00215682-0.00188263j 
-0.0147753+0.00292538j -0.000938978+0.0077779j -0.0089539+0.00877643j -0.00161279+0.00471101j 0.00884162-0.0174033j -0.02564+0.0204718j 0.00653638+0.00472836j 0.00126436-0.00179479j -5.90041e-05-0.000261373j 0.00824076-0.00815895j 0.0111048-0.00094407j 0.0001867+0.00158576j 0.0017515-0.00228773j 0.000634089+0.000309131j 0.00374291+0.0103508j 0.00301966+0.00635363j -0.00205878-0.0167485j 0.00213155-0.00197518j -0.00245503+0.00346606j -0.000898826+0.00714259j -0.00637611-0.00475819j 0.00428388+0.000606252j -0.00141112-0.0022952j 0.000769053+0.0155626j 0.000886437+0.00147009j 0.00557071+0.00292895j -0.00762493-0.00820457j -0.00318844+0.00997964j 0.0082169+0.0076779j 0.0111877-0.00695501j -0.00181123-0.00189826j -0.0029773-0.000391888j -0.000637964+0.00600127j 0.00584149-0.00921859j 0.00894526+0.00191379j 0.00807685+0.010629j 0.00599762-0.00368807j -0.00744073+0.00472884j 0.0028059-0.00721332j 0.00418618-0.00377575j 
-0.0351449+0.0644085j -0.133125+0.333779j -0.0078934+0.020411j 0.00567643+0.00848277j 0.00552236-0.0111624j -0.00814924-0.00191732j 0.00454126+0.0134813j 0.00855201-0.00190128j 0.00430754+0.0035626j -0.0107159+0.0150709j -0.00394478-0.00515734j -0.000656275-0.00225393j -0.00560677+0.000123717j -0.00624361-0.000771097j -0.00216919-0.0068157j 0.0120171-0.00248705j -0.0223286+0.00278889j 0.000342489+0.011553j -0.00334737+0.00118504j -0.00348382+0.00317556j -0.000980697+0.000322611j -0.00393731-0.00300884j -0.00230245+0.00437854j -0.00291108-0.00244318j 0.000734235+0.00199107j -0.00377122-0.0053509j 0.00523255+0.0086295j -0.000383101-0.000416742j 0.00137121+0.000774764j -0.00486186-0.0112791j 0.00124942-0.00181846j 0.00476582+0.00477103j -0.00440687-0.00282995j -0.00822359-0.00553697j -0.0090216-0.00261642j 0.00695559-0.00123747j 0.00256459-0.0124797j -0.000792686+0.00568432j -0.000575523-0.00238749j -0.00123924-0.00550525j 
-1.34441e-06-0.0283019j 0.0541426-0.0858964j 0.00102394-0.012743j 0.0113284-0.0124961j -0.00939624+0.0036835j -0.00642829+0.0100934j 0.00878114-0.00646245j 0.00261363-0.00478412j 0.00402216+0.000864231j -0.00481119-0.00421756j -0.00936215+0.00369284j 0.00260284-0.00522669j 0.000300684-0.00772473j 0.00416392-0.00535773j 0.000678863-0.00850155j -0.00627294+0.00498873j 0.00567223+0.00567495j -0.00690072-0.00791141j 0.00464887-0.00262623j 0.00210117-0.00103303j 0.00474135-0.00259335j -0.00624648+0.00907195j 0.00412783+0.00179103j -0.00516631-0.00861418j -0.0026145+0.00211515j -0.008667+0.00198334j 0.0160864-0.00818696j -0.00316696-9.27468e-07j 0.000551985+0.00149349j -0.0112205+0.00504381j 0.00842042+0.00150292j 0.00810897-0.00327387j -0.00764988-0.00400768j -0.0025015-0.00984695j -0.0236819+0.00118066j -0.00514058-0.00354398j 0.00647536+0.00471984j -0.0057831+0.004884j 0.00126442-0.00389446j 0.00339432-0.00407954j 
-0.0359248+0.0232869j -0.0193634+0.112915j -0.0152766+0.00161744j 0.00720838-0.0113185j 0.00130743+0.0115766j -0.00923091-0.011214j 0.0027341-0.00298976j 0.00110468-0.00666397j 0.0049319+0.00140995j -0.00982731+0.00810204j -0.009027+0.00213671j -0.00031269-0.00603327j -0.00424838-0.00299403j -0.00285799-0.00601137j -0.00618273-0.0107815j 0.00231082+0.00293589j 0.00459512+0.000318758j -0.00788218+0.00798125j -0.000470158-0.00154377j -0.00329899+0.0012359j 0.00378853-0.00304948j -0.00159455+0.00137121j -0.00539987+0.0033138j -0.00613535-0.00226224j -0.00772557-0.000657177j -0.0050716+0.00673317j 0.00217084+0.00218958j 0.00217948-0.000628973j 0.00827749+0.00276991j 0.006347+0.00470505j 0.00695984+0.00128795j -0.00681708-0.00426893j 0.00907536-0.00966005j 0.00323528+0.00316793j 0.0184267-0.000980955j -0.0171764-0.000778316j -0.0105367+0.00867621j -0.00182436+0.00852976j -0.00179409-0.00829943j -0.000277536-0.0066418j 
-0.00905088-0.00857654j 0.014144-0.0972322j -0.00374391-0.00628559j -0.00249937-0.0124464j -0.0122584+0.0110418j 0.0274376+0.00990878j 0.000244605-0.00823445j -0.000200403+0.000802295j -0.00043982-0.00383484j -0.0112846+0.0158371j -0.00775222+0.0195428j 0.0019994-0.0080301j -0.00452126+0.00349723j -0.00167772-0.00143135j -0.00159297-0.00652232j -0.000496452+0.000972085j 0.00551842+0.00146515j -0.00510556-0.00300474j -0.000878775-0.00206144j -0.000245983-0.00130658j -0.00350324-0.00211574j 0.00105012+0.00228825j 0.00213158+0.0046337j -0.00154641+0.00210676j 0.00422467+0.00694986j -0.00229345-1.76363e-05j -0.000964809-0.00373863j -0.000500042+0.000629319j -0.000646412+0.00261982j 0.00178476-0.0129207j 0.00256881-0.00210396j -0.000350047+0.00684762j 0.00455363+0.00101269j -0.012222-0.0146296j 0.0121394-0.00784973j 0.0127198-0.00222809j -0.00490794-0.0112076j -0.000797074+0.00465401j 0.00186577-0.00241978j 0.00032207-0.00387109j 
0.0452782+0.0233175j 0.270276+0.156286j 0.020027+0.00169501j 0.0151642-0.00377717j -0.0200533-0.0157324j -0.00105619+0.0267285j 0.0182009-0.00367455j -0.00110733-0.00951401j 0.00525692-0.00434361j -0.00164683-0.000262412j -0.0137573-0.00466246j 0.00301686+0.00319702j -0.00467959+0.00286028j -0.000839218+0.00501238j 0.000444155+0.00191211j -0.00224571-0.00715808j -0.00178597+0.0159839j 0.00879971-0.00797803j 0.000691345-0.00171823j 0.00269242-0.00340502j -0.00305344-7.05839e-05j 0.000842398+0.00111254j 0.00611273-0.000504156j -0.00319174+0.00448044j 0.00350654+0.00266257j 0.00135545+0.00311306j 0.00668313+0.00118171j -0.00489019-0.00601654j -0.010074-0.00163175j -0.00130571-8.80061e-05j -0.00671028-0.00353051j 0.00040772+0.00625642j -0.00302498+0.00039715j -0.000220879+0.00925331j 0.0100296-0.00600779j 0.00342014+0.000536601j -0.0124049-0.000619831j 0.00647424-0.0109573j 0.00264354+0.0092715j -0.00440142+0.00780491j 
-0.0636113-0.0992717j -0.0577567-0.298683j -0.0153543-0.0305515j 0.0102688+0.0229172j -0.00586867+0.000394712j 0.0112813-0.0153131j 0.00462035+0.0183112j 0.0118346+0.000668086j 0.00293783-0.0041633j -0.00957663-0.00510071j 0.000325268+0.00822507j 0.00432438+0.00494044j -0.004019+0.00153646j -0.0039357+0.000805116j -0.00218446+0.01413j -0.0017965-0.0019002j 0.00754071-0.00469091j 0.00851026+0.00349275j -0.00150891+0.00345345j -0.00170352+0.00357271j -0.000914214+2.95109e-05j 0.00277444+0.000890543j -2.61418e-05-0.00046333j -0.00278995-0.00221844j -0.00194032-0.00485221j 0.000826316-0.00357363j -0.00321347-0.00275442j -0.000474853+0.00230029j 0.000717069+0.000818008j 0.00171193+0.00151643j 0.000520584-0.00328747j -0.00157291-0.00361575j 9.3213e-05+0.00285418j -0.00162864+0.00100178j -0.00241457-0.000179379j 0.000782953+0.0027234j 0.00518388+0.00550969j -0.00121084-0.00182022j -8.89936e-05-0.000770609j 0.0020303+0.00302681j 
-0.0884907+0.053686j -0.289472+0.014121j -0.0281615+0.0131697j 0.0194701-0.00698507j 0.00311245+0.00543652j -0.015482-0.0150279j 0.0152696-0.00383269j -0.00169848-0.00856666j -0.00782706-0.00378257j 0.000576554+0.0070635j 0.0120345-0.00166073j 0.0065344-0.000823164j 0.00394174+0.00686583j 0.00174915+0.00758302j 0.0179218+0.00848495j -0.0037127-0.00186777j -0.00327063-0.00627255j 0.0104816-0.0120854j 0.00288127+0.00298705j 0.00429638+0.00225827j -0.00148393+0.00260876j 0.00346584-0.00329745j -0.000221192+9.1594e-05j 0.00201548+0.00395789j -0.00301888+0.00161623j 0.000336931-0.000819767j -0.00768242+0.00191856j 0.00215115-0.000300901j -0.00236121-0.000853902j 0.00195584+0.00125058j -0.0053134+0.00067829j -0.00299403+0.000573859j 0.00303092+0.00326897j 0.0042625+0.004214j -0.00271617+0.00663429j 0.00380241-0.00101707j 0.00758746-0.00549116j -0.00263602-0.00329506j 0.00113017+0.00312102j 0.00456924+0.00167122j 
