0.0038704+0.00694808j -0.00938465+0.0143826j 0.00306728-0.00857082j 0.00118352-0.008303j 0.000446209-0.0127551j -0.00016484-0.00510573j -0.00290301+0.00199868j 0.00847401-0.00556172j 0.0061314-0.00334866j -0.000651773+0.00269869j 5.4305e-05-0.0258511j 0.000273391-0.00251648j -0.00290061-0.00255738j 0.000679618+0.0140343j -0.000577554+0.007984j -0.00745725-0.011193j 0.00394466+0.00996899j 0.0044712-0.00680184j 0.00523119-0.00054153j 0.000302275-0.00619844j -0.013896-0.00992763j 0.00258777-0.0171585j 
-0.00505792+0.00879383j 0.00201824-0.00278398j -0.000211308-0.00691839j 0.00481069-0.00367064j 0.00803025-0.00363444j -0.0100639+0.000992059j 7.98458e-05-0.00506005j 0.00127041+4.65266e-06j -0.00854679+0.00344066j -0.00234222-0.00224253j 0.000897757+0.00439651j -0.00794287+0.00141023j 0.00510315+0.00141452j -0.00416087-0.000755067j 0.00726167+0.00319635j -0.00555985-0.00124885j -0.0144264-0.000921163j -0.00443415-0.00255054j -0.00144999-0.00135549j 0.000670154+0.000347729j 0.00301788+0.00169202j -0.0159888-0.00904879j 
0.00721976+0.00674659j 0.00268375-0.00508355j -0.00272533+0.000314887j -0.0114786-2.12129e-05j -0.0122613+0.00311977j 0.0139213-0.00650413j -0.00228331-0.00861734j 0.000123508+0.0066769j -0.00105614-0.00553526j 0.00335597+0.00514156j 0.00257089+0.00815539j 0.0055817-0.00319787j 0.00225794+0.002357j -0.00643019+0.000789697j 0.00254398+0.012873j 0.00404925-0.00711667j 0.000114893-0.00100953j -0.00320151+0.00228615j -0.00151821+0.00507668j -0.00233649+0.00288948j -0.000931018-0.00617164j -0.00748909-0.00894073j 
-0.00240821-0.00682956j 0.00656007+0.000267116j -0.0032707+0.0009352j -0.00143167+0.0186743j 0.0148942+0.000191621j -0.0144043-0.00103228j -0.000638711+0.0103825j 0.00593224-0.00130923j 0.00730206+0.00596877j 0.00460941+0.0066172j 0.00947357-0.00736145j -0.000726167+0.00570941j 0.00275247+0.00416381j -0.0014777+0.000883322j 0.00897143-0.00255142j -0.0052342+0.000510018j 0.00302623-0.0021108j 0.000131206+0.00357424j 0.0036788-0.00176843j -0.00103958-0.00319171j -0.000367681-0.000798999j -0.00095614+0.00110957j 
-0.0072105+0.00492801j -0.00721658+0.00042003j 0.008843-0.00613545j 0.0135245+0.00835099j -0.00434634+0.00166781j 0.000739806-0.00779953j 0.00708058+0.000617026j -0.00290779+0.00563263j -0.00921331+0.00992292j 0.00527276+0.0104204j -0.00685815+0.00452643j 0.00400002+0.0082115j 0.00410492-0.000107808j -0.00434184-0.00545148j -0.00163269+0.0102292j -0.00523743+0.000103503j -0.00675191-0.00301304j 0.0100037-0.00072434j 0.00743885-0.00101392j -0.00719856-0.0030539j -0.00327688+0.00486231j -0.00292452-0.00926224j 
0.00850923-0.00726285j -0.00494629+0.00144762j 0.00777427+0.0028179j 0.0133736+0.00428867j 0.00759529+0.0052506j 0.00182224-0.0134678j 0.00460761-0.00421333j 0.00292034+0.00378205j -0.00641331+0.00405114j 0.00062588+0.000221537j -0.00238953-0.00055045j -0.000304667-0.00359844j 0.00221158-0.00541265j 0.00368093-0.00279429j 0.00399202+0.000227915j -0.00606395+0.00106896j 0.000384503-0.00144304j 0.00570795+0.00233115j 0.00557118+0.00286472j -0.00162138-0.000858056j -0.00208835-0.00213289j 0.00197364+0.0029898j 
-1.97377e-06-0.00110452j -0.00251156-0.00241013j 0.00301798+0.00165914j 0.00791265+0.00150575j -0.000851235+0.00759654j 0.000378425-0.00442804j 0.00258895-0.000292001j 0.00457573-0.00720216j -0.00281303-0.00715895j 0.00734476-0.0184849j -0.00182081-0.00312795j -0.000877491-0.0185887j 0.0007665+0.000546433j 0.00159871+0.0078007j 0.000684905-0.00791321j -0.000220044-0.00385116j 0.000316839-0.00803055j -0.000157521-0.0020513j 0.000165061-0.00148507j 0.00133669+0.00648502j -0.00147961+0.000909898j 0.00069706+0.0012348j 
0.00180879+0.0093196j -0.00335954-0.00111777j -0.00302852-0.000359521j 0.00533219+0.00108643j 0.0134187-0.00236476j -0.00842462+0.00782768j 0.000716911+0.0031942j -0.000584543-0.00357496j -0.00216471+0.00443708j -0.00741969-0.00311876j 0.00256281-0.00309717j -0.0101837+0.00399413j 0.00461777-2.28385e-05j 0.00373595+6.79355e-05j 0.00371407-0.00505992j -0.0127148+0.00021092j -0.0126197+0.000838017j 0.000759843+0.000510661j 0.00331709-0.00100996j -0.000412169-0.00363429j 0.000527193+0.00415728j -0.0121118+0.000760801j 
-0.00942384-0.00260948j -0.00481772-0.00170774j -0.000597879+0.00418612j 0.001951+0.00435658j -0.00908998+0.0076446j -0.00395447+0.000791894j -0.00398435+0.00820993j 0.000329405+0.00390517j -0.00380894+1.58527e-05j 0.0042906+0.00762031j 0.000314567-0.00403004j 0.00301784+0.00534243j -0.00132717-0.00388262j -0.00195354+0.000384278j -0.000709876-0.00271163j 0.00118477-0.00585095j 0.00628089+0.00195784j 0.00500223+0.00388465j 0.00406448+0.00491712j 0.000745525-0.0068702j -0.00429405+0.00411904j 0.00400621+0.00646272j 
0.00789568+0.00573716j 0.00303418+0.00116965j 0.00050573+0.00323639j -0.00123895+0.00264536j 0.009514+0.00203062j 0.00614794+0.000604764j 0.00696513-0.00185791j 0.00168294+0.00518098j 0.00219692+0.00152276j -0.00163031+0.00351795j -3.0896e-05+0.000974895j 0.00250697+0.00242563j 0.000768825+0.00105094j 0.00206631-0.00183138j 0.00073553+0.00657114j -0.00389771+0.000411382j 0.00338556-0.000731009j -0.000855082+4.59516e-05j 0.000449809+0.000407442j -0.00374746-0.00140145j 0.00344065-0.0042687j 0.00261229-0.00443022j 
0.00244357-0.00538191j 0.000542546+0.000637896j -0.00111033+0.000110441j 0.00556285+0.00816637j 0.00272787+0.00451554j -0.00236558-0.00630071j 0.000632687+0.000564153j 0.0130386-0.000523225j -0.00702684+0.00258032j -0.00659745+0.00591657j 0.00369878-0.000591799j 0.00405888-0.00457224j 0.00279749+0.00046366j 0.00348243-0.00430774j 0.00955936-0.00152296j 0.00608273-0.00262897j 0.00972538-0.00303801j -0.00715523+2.11251e-05j -0.00676422+0.00951219j 0.00657454-0.0031854j -0.00142334-0.000608649j -0.000310775-0.000812587j 
0.000654141-0.00846711j 0.000286922+0.000387677j 0.00239751+0.00237282j -0.000977068+0.00480405j 0.00429413+0.010227j -0.00635665-0.0125698j -0.00314011-0.000221911j -0.00678386+0.00777714j 0.00368916-0.00449319j 0.00687221-0.00565031j 0.00300213+4.27929e-06j -0.00668376+0.000547283j -0.000160298-0.00217821j -0.00144235+0.00521197j 0.000692008+0.00663201j -0.00830796+0.0030263j -0.00580993+0.00529984j 0.00993686-0.00339461j 0.00816129-0.011314j -0.00244635+0.00681893j -0.00202928+0.000336547j 0.00118749+0.00324423j 
-0.00383406-0.0100292j 0.00689847+0.0119515j -0.001178-0.00849705j -0.0100012-0.0160977j -0.0018808+0.0113792j -0.0072281-0.0120794j -0.00624719-0.00616069j 0.00236124+0.00372261j -0.000577364+0.0086079j -0.00642619+0.00241795j 0.00120766+0.0115324j -0.00234982-0.00423227j -0.00889572-0.000433311j -0.00155385-0.00352415j -0.00198091+0.00742326j 0.00967649+0.00495771j 0.00780749+0.0105254j -0.00536246-0.0128295j -0.00388492-0.00401605j 0.00570097+0.00534286j 0.00512432-0.000545813j 0.0109002+0.000808011j 
-0.00125333-0.00453634j 0.00234492+0.00605052j -0.00176719-0.00518385j -0.00673218-0.0178272j -0.000463521-0.00520595j -0.00383524-0.000135082j -0.00588114-0.00443762j -0.00129513-0.00984621j 0.00719461+0.00821867j -0.00151429+0.00210089j 0.000188867+0.00374367j -0.00411921-0.00410038j -0.00659324-0.000864295j -0.00465681-0.00437304j -0.00765162-0.00637697j -0.00961641+0.000885512j -0.0180519-0.00102215j 0.0128204-0.00143036j 0.0164124-0.00107408j -0.0105997+0.000480627j 0.000600222+0.0016714j -0.00194698+0.00145077j 
0.00206209-0.00491115j 0.00200506+0.0008359j -0.00209273-0.00260126j -0.00533334+0.00746814j -0.0072898+0.00208182j 0.00266198-0.00413284j -0.00126543+0.000412339j 0.00882769+0.00823654j -0.00623302-0.0056261j -0.0122476-0.00287058j 0.00093249+0.00121737j 0.00938453+0.00222688j -0.000502814+0.00163624j 0.00688623+0.00284911j 0.00436388+0.0069368j 0.00423281+0.00752965j 0.000582393+0.011757j 0.00341931-0.00957879j -0.0107179-0.00292523j 0.00489354+0.00746805j 5.31435e-05-0.00250312j 0.00153892+0.00260495j 
-0.00465663+0.00391513j -0.000514575-0.000252253j 0.000480314-0.00196187j 0.00680482-0.0012915j 0.00460713-0.00333564j -0.00383088+0.00880409j 0.00497135+0.000737519j 0.0138236+0.00183248j -0.00502143-0.0022523j -0.0105755-0.00609421j -0.00415115-0.00215194j 0.010352+0.00194347j -0.00290824-0.000426124j 0.00818121+0.000603332j 0.0023899-0.00158497j -0.0094851+0.00953217j -0.0125118+0.00562642j 0.0152407-0.0139121j 0.000232554-0.00624323j -0.00543607+0.00489303j 0.000276808+0.00245383j -0.000100756-0.000543834j 
-0.00289183+0.00134044j -0.00429005+0.00491729j 0.00579772-0.00590331j 0.00998521-0.00903596j 0.0096074-0.00513509j -0.0105694+0.00197003j 0.000693567-0.00212648j -0.00046961+0.00438357j 0.00119962+0.00349785j 0.0034695-0.00567704j -0.00182479+0.000305522j -0.00664204+0.00728152j -0.00142485-0.00317719j -0.000530505+0.00124215j 0.00306447+0.000983099j 0.00812483+0.00417144j 0.0154885-0.00304981j -0.0138987-0.00125156j -0.010984-0.00664943j 0.00841971-0.00172785j -0.000984+0.00374873j 0.00409113-0.0041473j 
-0.00398697+0.0137008j 0.00439035+0.00396957j -0.00575044+0.000123374j -0.0086206+0.000553374j 0.00576157+0.00909733j -0.000866581+0.0122477j 0.0049004+0.00857015j 0.00392253+0.00624579j 0.00437304+0.000531387j -0.00252056-0.004116j 0.00156746-4.92254e-05j 0.00553184+0.00618697j -0.00353328+0.00452642j 0.00316024+0.00357088j -0.00223061+0.00337001j -0.00536339-0.0096719j 0.000319748-0.0106867j 0.00426862+0.0043561j 0.000422684+0.00315382j -0.00556576-0.00746447j 0.00562425+0.0025709j 0.0041546-0.00628059j 
0.0119237+0.000718194j 0.00406494-0.00101533j 0.0063747+0.00135385j 0.00228866+0.00230034j 0.0159784-0.00925591j 0.00576449-0.00213876j 0.0082834-0.00755961j -0.00121996+0.00524943j 0.00475637-0.0026059j 0.00134206-0.00524905j -0.000912742+0.00117805j -0.00405728+0.00248497j 0.00290095+0.00178427j 0.000899002-0.00110332j 0.00146111+0.00573696j 2.43577e-05+0.00269821j 0.00655409-0.0102447j -0.00817512+0.00639922j -0.00515454-0.00266963j -0.000965254+0.000986198j 0.0022931-0.0073472j 0.00221888-0.00930117j 
0.00280372+0.0012876j 0.000594688-0.00158834j -0.00107554+0.00287586j -0.000891169-0.000971921j 0.000383545+0.000878147j 0.00451436-0.0016677j 0.000832612-0.00198277j -0.00561376-0.00831218j 0.00380701+0.00394129j 0.00314314+0.00632943j 0.000193353+0.000184422j -0.00420546-0.00497077j 0.0015849+0.000220792j -0.00299806-0.00292739j -0.00452087-0.00182196j -0.00532814-0.00523861j -0.00628896-0.00472196j 0.00298428+0.00538875j 0.0109345+0.00463416j -0.00575418-0.00258963j -0.000553774-0.00165648j -0.00222276-0.00106988j 
-0.000364494-0.00829745j 0.00620067+0.00427826j -0.00230064-0.00190858j -0.0039871-0.00373466j 0.000826292+0.00399074j -0.00343107-0.00399748j -0.000954743-0.00212499j 0.00803468+0.000374438j -0.00157192+0.00140732j -0.00810429-0.00109047j 0.000914134+0.00103644j 0.00430594-0.00142838j -0.00379323-0.00131293j 0.00308859+0.000629995j 0.000602772+0.000562709j -0.00406802+0.00212769j -0.00825204+0.00266974j 0.00988939-0.00353498j 0.00294105+0.00073458j -0.00296082+0.00295664j 0.00343653-0.00216055j 0.0029732+0.00379532j 
0.00357586+0.000813665j -0.000442011-0.00169654j 0.000864719+0.00184189j -0.00190128+0.00698374j 0.000428657-0.00094618j 0.00333742-0.00016738j 0.0012849+0.00124458j 0.000448355+0.00325694j -0.000993822-0.00518903j -0.00149605-0.00233518j 0.000215043-0.00135702j 0.00150949+0.000704394j 0.00142172+0.00197589j 0.00214261+0.00225935j 0.00129643+0.00367611j 0.000365822+0.00776123j 0.00213358+0.00945332j -0.00179463-0.00798651j -0.00504816-0.00752129j 0.00221936+0.00646172j -1.60696e-05-0.00119879j -3.54639e-06+0.00129549j 
-0.0101934-0.00825194j 0.00492967-0.000678911j -0.000748011-0.00505534j -0.00628352-0.00177621j -0.00336672-0.00555856j -0.0114072+0.00206577j -0.00628228+0.00287313j 0.000677277+0.0082922j 0.00187124-0.00325771j 0.000437922-0.00883903j 0.00237103-0.000762065j -0.00177505+0.0115039j -0.00276168-0.000846736j -0.00293278+0.00544523j -0.000245148-0.00213875j 0.000868886-0.00830438j -0.00360902-0.0135709j 0.0065788+0.0163279j -0.000955083+0.00365345j -0.000737742-0.00576961j -0.000991437-0.000512102j 0.000856734-0.000491715j 
0.00782062+0.00356057j -0.0100639+0.00831586j 0.00253071-0.00298298j 0.00565906-0.00732885j -0.00699322+0.00193085j 0.00297117-0.000614674j 0.000767547+0.00259894j -0.0059093+0.0109211j -0.00113584+0.000692925j 0.00583053-0.0113571j -0.00223906-0.000309668j 0.000473116+0.0101385j 0.000823882-0.00706483j -0.00200146+0.00615168j -0.00279719-0.00193363j -0.00787282-0.00779978j -0.00829425-0.0105433j 0.00987677+0.0167426j 0.00464396+0.00334734j -0.00673519-0.00745448j 0.00198253+0.00798834j -0.00718233+0.00739004j 
0.00167545+0.000573522j -0.000822542+0.00293535j 0.00132425-0.00263133j 0.00596887-0.00447036j 0.00354489-0.00211805j 0.000133304+0.00191423j 0.00275448-0.00161989j 0.00610769+0.00272183j -0.00353758+0.00278285j -0.00419673-0.00328085j -0.0013489-0.000386121j 0.003781+0.00340824j -0.000364376-0.00262118j 0.00426658-0.00132779j 0.00372016-0.00355121j 0.00313221-0.0130362j 0.00399336-0.0212663j -0.00204717+0.0179971j -0.00483766+0.0162173j 0.00158616-0.0126682j 0.000922729-0.000581602j 0.00126726-0.00496839j 
-0.00116834+0.00420051j -0.00483129-0.00287637j -0.000837236-0.00126337j 0.00382586+0.00846968j -0.0065932-0.000838726j 0.000981395+0.00350349j 0.000327094+0.00363387j 0.00587698+0.00578233j -0.00752392-0.00592865j -0.00507019-0.00341099j -0.000559946-0.00167962j 0.00787619+0.00427878j 0.00281302+0.000586102j 0.0047639+0.00324233j 0.00605359+0.00228807j 0.00285065+0.00489762j 0.000456783+0.00725175j 0.000262408-0.00674204j -0.0104164-0.00264613j 0.00479071+0.00339956j -0.00209497+0.00324407j -0.00501005+0.00134017j 
-0.0068737-0.00313487j 0.00555114-0.000195543j -0.00702873-0.00259774j -0.00313493-0.00119976j -0.00700496+0.00325144j -0.00268377+0.0021384j -0.00154391-2.65271e-05j 0.0118178-0.00553261j -0.00299261+0.00256029j -0.01134+0.00495446j 0.000461279+0.00172518j 0.0106032-0.00460749j -0.00302417+0.00103533j 0.00390844-0.00223937j 0.000989586-0.00198541j -0.00323537+0.00255356j -0.0128494+0.00653506j 0.0137044-0.00992753j 0.00416446+0.00321737j -0.00446504+0.00361499j 0.000825736-0.000154302j -0.000716444+0.00266706j 
-0.00367466+0.00150368j -0.0106528+0.000175286j 0.00208038-0.00393406j 0.00905668-0.000452298j -0.0105524+0.000163985j -0.00324407-0.00276254j -0.00398706+0.00206008j -0.00558149+0.00176167j -0.00440252+0.00179756j 0.00491842-0.000185683j -0.00124227-0.000483558j -0.00392435+0.00387779j 0.00326011-0.00382257j -0.00293322+0.00193552j 0.000977991-0.000966668j 0.00594721-0.0033021j 0.00564988+0.00017768j -0.00500921+0.00406431j -0.00366946+0.00129511j 0.00621876-0.00344247j -0.00601704+0.00627301j -0.0049265+0.00201227j 
-0.0127072-0.0060175j 0.000138512-0.00851068j -0.00232775-0.00313831j -0.00194956+0.00109107j -0.0117748-0.00559835j -0.00661038-0.000487488j -0.00951188-0.00157293j 0.00188472-0.00329351j -0.00299414-0.00575273j -0.00316242+0.00113851j 0.00078514-0.000461367j 0.00150493-0.000965798j -0.000640799+0.000250633j -0.000474767+0.000932594j 0.00247957-0.00134858j 0.00255404-0.000398013j -0.00916044+0.00352202j 0.00737437-0.00338096j 0.000161484+0.000434198j 0.00312254+0.00342413j -0.00828999-0.000728189j -0.00418444-0.00208887j 
0.00165473-0.013051j 0.0106197-0.00466213j 0.0037025-0.000632664j -0.00369007+0.00192627j 0.00418309-0.0133056j 0.00166213-0.00536685j 0.00134085-0.00885202j 0.00362001-0.00163453j 0.0022358-0.00399323j -0.00235647-0.000763123j -0.000792747+0.00115632j 0.00153919-0.00186574j -0.000312318+0.00203214j -0.00131153-0.00250358j -0.000119608+0.00120898j -0.000563906+0.00582457j -0.00766142-0.0038283j 0.0051756+0.00201408j 0.00143724-0.00146087j -0.00431222+0.00634977j 0.000789623-0.0101192j 0.00219666-0.00416762j 
