-0.0597385-1.38778e-17j 0.134815+0.00420903j 0.075392+0.0243781j -0.0253921-0.0629712j 0.0930472-0.0460981j 0.045137-0.0509376j -0.00196856+0.150541j 0.0737797-0.0548392j 0.142246-0.0299834j 0.0355852+0.0531331j -0.00257119-0.0622621j 0.00941824+0.055278j -0.035261-0.0253324j 0.00620498-0.012342j -0.00326086-0.0863846j 0.0217693+0.0481596j 0.00505514-0.0374817j 0.0233524+0.0333826j -0.0014707+0.0436742j 0.00215373+0.0141803j 0.00767579+0.0165309j 0.002921+0.02194j 0.027921-0.0660921j 0.0567425-0.0109323j -0.0108886-0.0253909j 0.00904547+0.0251961j 0.00331058+0.0167422j -0.0715077+0.00700939j -0.0207449+0.0450622j 0.00719268+0.0297271j 0.0945622-0.0466724j 0.039558+0.0417177j 0.00947602-0.131852j 0.0427572+0.0173247j 0.00730299+0.0428419j -0.00303973+0.0212124j -0.0526741-0.102353j -0.0406683-0.0930827j 0.0165251+0.0165294j 0.0679049-0.144221j 
0.00941824-0.055278j -0.0117629+0.0092795j 0.0675605+0.103755j 0.0214381+0.0350863j 0.00205876-0.0517493j -0.0468966-0.0959803j 0.0160557-0.238297j -0.208004-0.0931542j -0.166385-0.0202617j -0.11135+0.0178736j 0.119224+0.191128j -0.180921-1.56125e-15j -0.038393-0.125947j -0.166883+0.0489837j -0.200897+0.0883261j -0.0699367-0.198853j -0.0026185+0.0883342j 0.00793289-0.0580722j -0.0599721-0.022049j 0.183753+0.206749j -0.037166-0.0222114j -0.0118129-0.0649188j 0.00456071-0.00277559j 0.0411838-0.0267817j -0.0474692-0.0863694j 0.059665-0.00122399j -0.0338823+0.0028562j -0.0181397-0.0929145j -0.0669511-0.00192755j 0.0328344+0.00260522j 0.16364-0.0115746j 0.0618295-0.0112193j 0.0244932+0.0382851j 0.0527619+0.0928258j 0.00573149+0.0193937j -0.0276027+0.0777978j -0.0460776+6.30977e-05j -0.0622186-0.0313353j 0.0950647+0.100598j 0.145012-0.153618j 
-0.035261+0.0253324j -0.0127181+0.0224838j 0.0596931-0.0208141j 0.0011637-0.0376003j 0.0234347+0.0571986j 0.0385364-0.0226314j -0.0132512+0.0422589j -0.101521-0.026049j 0.0334432-0.114724j 0.145265+0.0817222j -0.118647-0.0260045j -0.038393+0.125947j -0.122898-1.79023e-15j 0.0222489+0.0213801j -0.05918-0.148718j -0.0405808+0.0285436j -0.0745833-0.174066j 0.1074-0.0193505j -0.0166036-0.000563868j 0.18261-0.0375686j -0.0301478+0.00155941j -0.0279564-0.0120802j -0.231498-0.054641j -0.00869418+0.0439028j 0.0334112+0.0388034j 0.0109464-0.0665107j -0.0750612-0.00243515j -0.0281816+0.0545409j 0.148169-0.244764j 0.00866816-0.113734j -0.166193+0.116088j 0.0309383-0.13699j 0.0323256+0.158141j 0.0111837+0.0880999j -0.0388371-0.0108042j -0.00894712+0.0662597j 0.00995674+0.156773j 0.0598087+0.0583414j 0.0378883-0.144169j 0.240036-0.0123383j 
0.011461+0.00771194j -0.00212775+0.0132635j -0.03309+0.0182903j -0.0865514+0.0116981j 0.0365119+0.143162j 0.0177728+0.0424651j 0.00123399+0.168553j 0.0287641+0.0255389j 0.0406181-0.122103j -0.0627275+0.0847404j -0.0401181+0.0120706j -0.169456+0.0391679j 0.00890201-0.0295445j 0.155763-0.0876709j 0.0334692-0.0266887j -0.0246711-0.170144j 0.00896498-0.123965j 0.113457-0.0878599j -0.15773-0.093137j -0.179258+0.0754222j 0.0266357-0.0474525j -0.0188508-0.125586j -0.00912434+0.000507362j -0.01962+0.0774767j 0.0363797+0.124258j -0.0644932-0.154975j -0.143111-0.0512633j -0.0126201-0.136011j 0.0633649+0.0795334j 0.00372563-0.0659099j -0.0718879-0.093136j 0.00101843-0.0954617j 0.0553949+0.0690766j -0.108656+0.108795j -0.0467679+0.00200784j -0.0346268-0.0705132j 0.0133884+0.046504j -0.190515+0.0469864j 0.12798-0.161517j -0.0983505+0.036561j 
-0.00326086+0.0863846j -0.0416738+0.000234902j -0.0273806-0.120742j -0.176097+0.0922915j 0.0232664+0.102289j 0.0302668+0.0388588j -0.0720613+0.0383983j 0.0645647+0.106337j 0.0905566-0.0310249j 0.00763686+0.0960482j -0.0821666-0.0101199j -0.200897-0.0883261j -0.05918+0.148718j 0.0422572+0.00684146j 0.000477253+1.50921e-16j -0.0284852+0.109534j -0.080082+0.0637602j -0.119665-0.305435j -0.141449+0.132283j 0.0353574-0.167308j 0.0118145-0.0433246j -0.00425099-0.0429664j 0.0162863+0.0361855j 0.0983582+0.0533858j -0.0671932+0.00725747j 0.0882371+0.0258623j 0.00363505+0.0676458j -0.0475459+0.0593821j -0.0799204-0.0827537j 0.0316129+0.00611838j 0.0194744-0.132706j 0.0630696-0.0217347j 0.0793657-0.0379669j 0.0513052+0.0569471j 0.00327082+0.0799784j 0.0021587+0.076131j -0.0583308-0.0420004j -0.0776304+0.157811j 0.184984+0.17437j 0.0211064+0.0318414j 
0.0217693-0.0481596j -0.00651536-0.00752832j -0.0413018+0.0527022j -0.0103424-0.0216205j 0.0420488-0.070897j 0.0123633+0.00884437j 0.0043311-0.0562893j -0.0767632+0.0539123j 0.0540616-0.0101683j -0.0471179-0.183143j 0.0655521-0.141243j -0.0699367+0.198853j -0.0405808-0.0285436j 0.0619547+0.160373j -0.0284852-0.109534j -0.00911809+2.84668e-15j -0.192066+0.002172j 0.0809041+0.178923j 0.167492+0.119937j 0.0387166+0.131321j 0.0149962+0.0588119j -0.0833574+0.126548j -0.108134-0.0370074j 0.0538571+0.138988j -0.107823+0.0866968j 0.112064+0.17908j 0.09122+0.159659j -0.0141463-0.0341203j 0.159145-0.0265749j 0.0369265+0.0204192j -0.105713-0.0265698j 0.0670694+0.0482659j -0.0119802+0.00858954j -0.0938734-0.0810585j 0.0239452+0.0847678j -0.0191771-0.0134029j -0.0301206+0.0303856j -0.0862895+0.0537396j 0.0626414-0.0854754j -0.00512394+0.0634281j 
0.00505514+0.0374817j 0.0410346+0.00628079j -0.00156202-0.0424538j -0.0219687-0.00863733j -0.00446262+0.0795775j 0.0149598-0.00693989j -0.00486985+0.0502175j -0.0414333+0.0428492j 0.0283448-0.0449028j 0.0157827+0.263163j -0.111377+0.189392j -0.0026185-0.0883342j -0.0745833+0.174066j 0.0686163+0.103632j -0.080082-0.0637602j -0.192066-0.002172j 0.588374+1.05714e-14j 0.0780264+0.0848559j 0.0947242+0.0654165j 0.157588-0.0289572j 0.0417505+0.0215381j 0.0432325-0.0115365j 0.0139984-0.0267728j 0.0101336+0.0654021j -0.0717575+0.0120567j 0.0173255+0.0175673j -0.0809364+0.0617137j 0.0462694+0.0334949j 0.010983+0.0240639j 0.0153428-0.00987229j 0.0151674-0.0347527j 0.0145828+0.0191045j 0.0442885+0.00953029j -0.0377352+0.00362825j -0.0241707+0.01482j -0.011738-0.00983386j 0.0295825+0.0282963j -0.0293826+0.0540889j 0.0577554+0.0268582j -0.00578217+0.0333202j 
-0.0131524+0.0385584j -0.00334909-0.0176174j -0.0509368-0.0830661j 0.0963167-0.0938814j -0.06787-0.0274814j 0.0242256+0.00462871j -0.0941075-0.055934j -0.121563-0.0489581j 0.122747+0.0576835j -0.183643+0.0620443j -0.20897-0.0302923j -0.0237631-0.0535783j -0.108547+0.0112672j -0.142185+0.0193725j 0.0300441-0.326661j -0.0279787+0.194361j -0.0513631+0.103201j -0.0268507+0.00777015j 0.023168+0.0231j -0.163335-0.340914j -0.11627-0.0262546j -0.0040862+0.0234424j -0.0333486-0.208676j 0.0379478+0.0725677j 0.153081-0.0694051j 0.0109904+0.0549569j -0.127613+0.0399023j -0.0130067+0.0619345j 0.0278438-0.0177197j 0.0515456-0.0176951j -0.0209505+0.0788539j -0.0172749-0.0184663j -0.0847475+0.123725j 0.0430667+0.0192392j 0.000799466+0.0380869j -0.0172217-0.0678077j 0.0894604-0.021677j 0.116033-0.11997j -0.0538138-0.0391891j -0.0401916+0.112496j 
-0.0308039-0.0309955j -0.00245464+0.0214898j 0.050096-0.0169078j 0.0637422-0.0456294j 0.021414-0.107543j -0.0259585-0.0786197j -0.0658098-0.0390768j -0.0368305-0.0426576j -0.0574777+0.0575028j -0.0415664+0.107363j 0.162667+0.110082j -0.0289291+0.0569729j -0.0117803+0.0117142j 0.0406686+0.178604j -0.193665-0.00063684j 0.0410737-0.20187j 0.0248715-0.112398j 0.00788664+0.0317517j 0.0246849-0.0229336j -0.181619-0.097828j -0.0339697-0.031807j 0.0122913-0.0667323j -0.227487-0.0770844j -0.0472725+0.0371766j 0.141187+0.0987914j -0.057672-0.0356462j -0.117629-0.0932123j 0.0833094+0.137458j -0.130971-0.0218923j 0.0750261+0.0832955j -0.0700464+0.063257j 0.0744621+0.0580316j -0.25761-0.122j 0.100602+0.0733562j -0.0150155+0.00117172j 0.0473685+0.0678287j -0.0337068+0.0176559j 0.219162+0.147287j -0.0844144+0.0622638j 0.0246133+0.0362861j 
0.00215373-0.0141803j -0.0112352+0.00826927j -0.0367864+0.00481634j -0.0640367+0.0663268j -0.04167-0.0402287j -0.00967943-0.0417908j 0.0133372-0.0270912j 0.142202-0.0464127j 0.0570188+0.119587j -0.00634185+0.20889j 0.0229855+0.104691j 0.183753-0.206749j 0.18261+0.0375686j -0.193208+0.022198j 0.0353574+0.167308j 0.0387166-0.131321j 0.157588+0.0289572j 0.0621306-0.372881j -0.0664719+0.195288j 0.00355435-8.32667e-17j -0.0136622-0.125794j 0.046021-0.0418069j -0.0665164-0.043791j -0.0275163+0.0147721j 0.0304105+0.0713801j 0.0218104+0.098387j 0.0878396-0.0105306j -0.01756-0.0677013j 0.0990122-0.175035j -0.0056335+0.0181319j -0.147142+0.0524107j 0.0175449-0.0271024j -0.0806334-0.00320353j 0.00578561-0.0733305j 0.0242729+0.00423187j 0.0246555-0.0111463j -0.0277181+0.0110598j 0.0415246-0.159396j -0.106096-0.187276j -0.00201459-0.136488j 
0.015414-0.00972612j -0.0137452+0.000576494j -0.0367335+0.00738703j -0.0219492-0.00188547j 0.00959652+0.145207j 0.0400426+0.0388972j -0.114548+0.0385383j 0.0178572+0.0398112j 0.0105245+0.0581559j 0.00879245+0.000510409j -0.00290096-0.00246399j -0.0432716-0.0014943j -0.0244837-0.0176598j 0.023716+0.0489771j -0.0135695+0.0428074j 0.0444941-0.0412796j 0.0467581+0.00454625j 0.11891+0.00826808j -0.0278965+0.037248j -0.0796989+0.0982798j 0.0277978+0.017943j -0.0470571-0.0615641j 0.0564676-0.168819j 0.15584+0.00122396j 0.0154796+0.0599358j -0.0059431+0.154771j 0.0272133+0.0249395j -0.130407-0.0510831j -0.0191307+0.0430488j 0.0903468+0.0924741j 0.195089+0.0725954j 0.00797852+0.265168j -0.175439-0.170372j 0.0214945-0.0578923j 0.0204328+0.0937071j -0.00598279+0.0682839j -0.00309678+0.218563j 0.058487+0.106174j -0.00570348-0.185614j 0.00990902-0.0979615j 
0.002921-0.02194j 0.00293213-0.000490418j -0.00179046-0.011189j 0.107219-0.045706j 0.0339837+0.00438211j 0.0257537+0.0308974j 0.00164567-0.0146029j -0.0266304+0.0476591j 0.0156032+0.0749393j -0.0407581-0.0422002j 0.0322937+0.0437713j -0.0118129+0.0649188j -0.0279564+0.0120802j 0.0451715+0.118688j -0.00425099+0.0429664j -0.0833574-0.126548j 0.0432325+0.0115365j 0.0104416+0.0213826j 0.0544255+0.0405233j 0.046021+0.0418069j -0.0729234+0.0262047j 0.0155212-1.94289e-16j -0.106443-0.0972308j 0.0188515+0.0378286j 0.0870158+0.0654036j -0.0212433-0.044039j 0.0783278+0.0117034j -0.0660964-0.0771136j 0.143621+0.057913j 0.0131072+0.0140777j -0.161591-0.0921445j 0.00317151-0.0665431j -0.0384529-0.137273j 0.105599+0.13818j 0.078925-0.0356247j -0.103729+0.0287005j -0.228768-0.382719j -0.037932-0.1331j -0.110297+0.0288381j -0.0145705-0.0316988j 
0.027921+0.0660921j 0.00687773-0.0159289j 0.00578308-0.0978948j 0.0119602-0.015437j 0.0682314+0.0247225j 0.00489897+0.0167326j 0.0662008-0.0129984j -0.134209-0.0064781j -0.0689689+0.00356203j -0.00199353+0.0702779j 0.0629048+0.0804178j 0.00456071+0.00277559j -0.231498+0.054641j -0.00820023+0.00403327j 0.0162863-0.0361855j -0.108134+0.0370074j 0.0139984+0.0267728j -0.0259733-0.209722j -0.114194+0.21131j -0.0665164+0.043791j -0.0441108+0.172461j -0.106443+0.0972308j -0.0547853-1.8735e-16j -0.0452304-0.0464415j 0.0279028-0.00179394j -0.111298-0.0361917j -0.0701926+0.0581405j -0.139562+0.00617767j 0.107587+0.0401636j -0.0237738-0.0265737j 0.0872217+0.0239155j -0.112977+0.204323j 0.0375219+0.0479408j 0.0135968-0.0232036j 0.0318329-0.0230787j -0.129529-0.00965403j 0.0894926-0.0297703j -0.00593892-0.0496538j -0.126369-0.0400497j -0.170708+0.17248j 
0.057403-0.00664239j 0.00299134+0.025731j -0.0652307-0.0317009j -0.00812448-0.0468272j 0.00194778+0.0367571j -0.00668739+0.0355301j -0.0132026+0.0414779j -0.0254694+0.0491173j -0.0263565+0.0353233j 0.02814+0.0255885j 0.0189591+0.00113469j 0.0473324+0.0131531j -0.0214976-0.0392542j -0.069962-0.038638j 0.0777443-0.0804998j 0.00955463-0.148752j -0.0100089-0.0654213j 0.00861541+0.0814364j -0.0556749+0.0227397j -0.0306855-0.00581096j 0.150615+0.0400351j 0.00659944-0.0417473j -0.0291658+0.057896j -0.12974+0.0409214j 0.0728362+0.0643071j -0.162011+0.0429916j -0.27494-0.119846j 0.0550573+0.0383676j 0.0104591-0.103385j -0.0442593+0.0489208j 0.0695112+0.0527939j -0.0158675+0.160905j 0.0577721+0.0670272j 0.0509273+0.00586055j -0.0661512+0.195759j 0.137244+0.144277j -0.0256789+0.047831j -0.200753+0.051736j 0.104506-0.0571548j 0.125274-0.075754j 
-0.0108886+0.0253909j 0.0180619-0.00509391j -0.0262237-0.0511131j 0.0520802-0.0536111j 0.0107527-0.0028573j 0.0359719-0.01043j -0.0249631+0.0443261j -0.00151807+0.0189299j 0.0542053-0.0204738j -0.0407124+0.0374987j -0.0314652-0.0027012j -0.0474692+0.0863694j 0.0334112-0.0388034j -0.0292443-0.126128j -0.0671932-0.00725747j -0.107823-0.0866968j -0.0717575-0.0120567j -0.166341-0.0241163j 0.0361945-0.168474j 0.0304105-0.0713801j 0.0455098-0.0419617j 0.0870158-0.0654036j 0.0279028+0.00179394j 0.0501191-0.0832382j 0.0214159-1.83881e-16j -0.166745-0.230956j -0.108491+0.0436265j 0.00819816+0.0102978j 0.0310485-0.00494356j 0.12535-0.0338568j 0.116896-0.185896j 0.22715-0.118287j 0.0381861+0.0354876j 0.0195207+0.0356966j 0.0860094-0.045655j -0.259932-0.0356496j 0.0282474-0.0326199j 0.0429377-0.102999j -0.102521-0.0426747j 0.0665659+0.0263088j 
0.0082102-0.0254805j 0.0133243+0.0118562j 0.0502463-0.00350208j 0.0153645+0.0219748j -0.0325933-0.00792242j 0.00469444+0.0112072j 0.0237583-0.0232221j 0.0545004-0.0580087j -0.061023-0.0260049j 0.0408127-0.0546043j -0.000394058-0.060936j 0.059673-0.000742994j 0.0131324+0.0661138j 0.0252937+0.165942j 0.0873369-0.0287562j 0.106102-0.182676j 0.0167371-0.0181288j 0.00655747+0.0556601j -0.0158252+0.0659263j 0.0185561-0.0990524j 0.0745069-0.135786j -0.0197804+0.0447152j -0.110045+0.03984j -0.167093+0.0132468j -0.159043+0.236326j -0.0736807+0.00242954j -0.0500573+0.0525117j 0.0799267-0.0414697j 0.0305697-0.199403j -0.00769675+0.0784294j -0.000939515-0.0854224j 0.0619904+0.0340711j 0.160474+0.021019j -0.0814568-0.206154j 0.0646888+0.126015j -0.150335+0.0165495j 0.0930496-0.0501307j 0.045865-0.0519801j -0.0286196+0.120245j -0.000742414+0.0264512j 
