0.00442755-0j 0.174824-0.227193j 0.060607+0.106826j 0.0462514+0.126712j -0.0707457-0.16075j 0.040962+0.312918j -0.111511+0.167334j 0.114923-0.126563j -0.0904834+0.0785879j 0.0104019+0.0588354j -0.0444783+0.0513502j -0.0721031+0.0579657j 0.0739911+0.0281505j -0.0420413+0.0816199j -0.00668515+0.034504j 0.0125906-0.00951014j 0.00728744+0.0337473j 0.00389368-0.0538652j -0.0785993-0.0859309j 0.022246+0.104672j 0.0289672+0.0900731j -0.00499674-0.0225686j 0.00371453+0.0596143j 0.0237889-0.00169042j 0.0378293+0.0370761j 0.000994674-0.00410765j 0.0210302-0.0597947j 0.0248965-0.0261214j -0.0585923+0.180478j 0.117504+0.202968j -0.0379695+0.186709j -0.0921575-0.0871946j 0.0262053+0.0553494j -0.00808578-0.0644921j -0.00294838-0.179524j -0.0633828+0.208303j 
-0.0721031-0.0579657j 0.0595611-0.0478808j -0.00584204-0.0137916j -0.0941015-0.00917839j 0.0235994-0.0359926j 0.00607742-0.000555333j -0.0138714-0.107014j 0.0898302-0.0961038j 0.0884783+0.221103j 0.0235778+0.0362501j -0.0193678-0.0497004j -0.0218465+7.49401e-16j 0.100438+0.0164969j -0.0923395+0.0824116j -0.0833866+0.0322873j -0.0646171+0.0930029j 0.141861+0.0582952j 0.0323908+0.0445398j -0.00914256+0.00811175j -0.0198212+0.0160309j -0.0221551+0.0656661j 0.000646775-0.00322569j 0.195648-0.0275699j -0.0318255-0.0422037j 0.0443998-0.0199922j 0.0827655+0.0417199j 0.0386222-0.0145455j -0.0230901-0.0235196j -0.0853413+0.169729j -0.00784523-0.0262921j 0.0908594+0.084499j 0.0243801+0.0222837j -0.121107+0.00448434j 0.0478735-0.129274j -0.174159-0.241107j -0.184732+0.070806j 
0.0739911-0.0281505j 0.0116609+0.0086154j -0.0282656+0.0295595j 0.0459897+0.0246405j 0.00583926+0.0939222j -0.120239-0.0454476j 0.0219439-0.0844936j 0.0893943+0.0540547j 0.0822155+0.174309j 0.0128728-0.0175688j -0.00463602+0.0424401j 0.100438-0.0164969j 0.108421-1.15186e-15j -0.0736588+0.150092j -0.0219125+0.0190273j 0.0532318-0.05734j 0.121154+0.100126j 0.0393257-0.0314152j -0.0558832-0.148875j 0.0470206+0.112628j 0.0172452+0.0332188j 0.00179126+0.00743107j 0.034671+0.0146637j 0.0114368+0.00351399j -0.00347373+0.0681866j 0.0334767-0.0118669j -0.0678015-0.125335j -0.145562-0.102179j -0.105341-0.0447988j 0.132347+0.129412j 0.104448+0.137331j -0.0310018-0.0585283j 0.0735481+0.0755249j 0.237204+0.0992425j -0.0280843+0.149693j 0.0161359+0.0728125j 
-0.0420413-0.0816199j 0.0250909+0.0406364j -0.0158456+0.0302818j -0.0375922-0.0568727j -0.0538436+0.0974026j -0.030283+0.0601076j 0.00583602+0.0853989j -0.086466+0.00887812j 0.0243345-0.0311797j -0.14408+0.0397431j -0.0163074+0.223668j -0.0923395-0.0824116j -0.0736588-0.150092j -0.1041-1.73472e-17j -0.112162-0.070982j 0.0739474-0.201195j 0.186702+0.302852j -0.123482+0.014794j 0.0490734+0.160867j 0.198904+0.0399209j 0.140544-0.10083j -0.0709548-0.0404606j 0.0118968+0.0736524j -0.0332105-0.125895j 0.128243-0.0859638j 0.0407791+0.130287j -0.000679896+0.21383j 0.0712389+0.0358402j -0.0471081+0.026916j -0.0268616+0.00784491j -0.0085384-0.187391j 0.00712475+0.0210445j 0.0741142-0.0942107j -0.117566+0.0676133j -0.0328942-0.183716j -0.111978-0.00468629j 
-0.00668515-0.034504j 0.0148078+0.0114661j 0.041484-0.0163092j -0.0355189-0.046005j -0.0341833+0.021369j -0.0494566+0.0344037j 0.0729255+0.098176j -0.115943-0.0756226j -0.00477492+0.0428206j -0.0470356-0.290967j -0.117058+0.291706j -0.0833866-0.0322873j -0.0219125-0.0190273j -0.112162+0.070982j -0.138673-3.88578e-16j -0.134326-0.0755778j 0.0199541+0.0944952j -0.262668-0.228758j -0.31973-0.224731j 0.0561597-0.0684526j 0.00565304+0.115796j -0.0150002+0.0174314j 0.0797025+0.00915609j -0.0405897+0.0230524j -0.0443488-0.0438313j -0.00609521-0.0445725j -0.0557981-0.0564809j -0.0194642-0.07427j -0.00816186+0.00700492j -0.0487813+0.0487239j -0.0108594-0.00838172j 0.0337905-0.00114451j 0.0509159+0.046795j -0.000166489+0.0736233j -0.0154289+0.105966j -0.0385917-0.041434j 
0.0125906+0.00951014j -0.0161959+0.0322991j -0.0768738+0.0158209j -0.0143997+0.0177925j 0.0172408-0.00829154j 0.000642277+0.0134903j -0.0362005-0.017789j -0.0589585-0.0507773j 0.0674038+0.182853j 0.0968929+0.134022j -0.038126-0.0216972j -0.0646171-0.0930029j 0.0532318+0.05734j 0.0739474+0.201195j -0.134326+0.0755778j 0.250185-4.78784e-16j 0.264988+0.0862065j 0.248779+0.133722j -0.21396-0.144509j 0.0226071-0.116829j 0.0027527+0.0597179j -0.0112346+0.0398658j -0.0570694-0.019445j 0.0165914+0.00657545j -0.0297718-0.0576428j -0.0373985-0.00757469j 0.0106181+0.0286658j 0.0561453+0.0588309j 0.0138781-0.0200482j 0.0156442-0.0171448j -0.026542+0.000205578j -0.0350664-0.0184593j -0.0293087+0.0050745j -0.0666993+0.0191781j 0.0275983+0.0604366j 0.0226635-0.0676192j 
0.00728744-0.0337473j 0.00194879-0.0256514j 0.0055132+0.0289713j -0.0180729+0.0433297j -0.00477152+0.00179308j 0.0528419-0.021929j -0.0948976+0.0508131j -0.0569676+0.148883j -0.00811327-0.0579016j -0.0952663-0.000718755j -0.105808+0.284562j 0.141861-0.0582952j 0.121154-0.100126j 0.186702-0.302852j 0.0199541-0.0944952j 0.264988-0.0862065j 0.326482-1.18169e-14j 0.0864093+0.0423106j 0.108052+0.0042961j 0.0588103+0.0784979j -0.016112+0.0210742j -0.0433726-0.00809075j 0.0650076-0.0807933j -0.0441874+0.0167025j -0.0730219+0.021348j 0.0481047+0.0459478j 0.0195346-0.0171937j -0.0235723+0.0309214j -0.024382+0.0622115j -0.0631523-0.0867953j 0.0598337+0.0338037j 0.0172275+0.00993404j 0.0390696-0.0139756j 0.108727-0.0482017j 0.0039612-0.0164151j -0.0504641+0.0939172j 
0.00389368+0.0538652j -0.0563014+0.028023j 0.00498188+0.0333053j 0.0075975-0.035904j 0.0411085-0.0196623j -0.0437629-0.00115358j -0.110625+0.176097j -0.0319982+0.131293j 0.0864008+0.0359545j 0.0421414+0.0403211j -0.0145022+0.0108973j 0.0323908-0.0445398j 0.0393257+0.0314152j -0.123482-0.014794j -0.262668+0.228758j 0.248779-0.133722j 0.0864093-0.0423106j 0.139388+9.08995e-15j -0.129487+0.034143j -0.0300159-0.010466j 0.0130737+0.00192521j -0.00383168+0.0547641j -0.126623+0.0457341j 0.0525341-0.0301228j 0.0915135-0.0168144j -0.0154682-0.0355171j -0.0247497+0.00974523j -0.0550862-0.108703j -0.0640463-0.0662869j 0.182093+0.0670092j 0.00883155-0.0686128j -0.00515505-0.00993625j -0.067863-0.0353764j -0.0381546+0.0823102j -0.0334983+0.00489413j 0.0375519-0.0873562j 
-0.0785993+0.0859309j -0.0364625+0.0637483j -0.00478678+0.0219559j 0.0124664-0.000160268j 0.0954828-0.130542j -0.0105683-0.0390669j -0.0699151+0.043794j 0.0499726+0.0318578j -0.138865+0.0497227j 0.00408948-0.0409432j 0.0131121-0.138583j -0.00914256-0.00811175j -0.0558832+0.148875j 0.0490734-0.160867j -0.31973+0.224731j -0.21396+0.144509j 0.108052-0.0042961j -0.129487-0.034143j -0.364117+2.74086e-15j 0.021127+0.0537841j -0.162789+0.06331j -0.0290489+0.0036582j 0.185101-0.0305488j -0.00374642-0.0074743j -0.031438+0.0536493j -0.0117604+0.0369067j -0.0330766-0.00802667j -0.0198342+0.0667767j 0.0323224-0.0360506j -0.0512624-0.00422027j 0.0800272+0.0175094j 0.0222508+0.000676107j -0.0482432-0.0127761j 0.0450425-0.056448j 0.0290916+0.0749486j -0.0237387+0.0352725j 
0.022246-0.104672j 0.0436729+0.0588315j 0.0141043-0.00128493j -0.0419323-0.0353723j -0.0347426-0.0122083j -0.039054+0.0197476j -0.0786238+0.395767j -0.207078+0.149446j -0.308942-0.183746j -0.0545119-0.180685j -0.0388563-0.0706342j -0.0198212-0.0160309j 0.0470206-0.112628j 0.198904-0.0399209j 0.0561597+0.0684526j 0.0226071+0.116829j 0.0588103-0.0784979j -0.0300159+0.010466j 0.021127-0.0537841j 0.183485+1.25386e-13j -0.0981062-0.0077293j -0.119868+0.165715j 0.107776+0.0464588j -0.0543104+0.07716j -0.130278-0.000822696j -0.0786967-0.196345j -0.0296357-0.0136623j 0.0644354+0.0971441j 0.0278609+0.0354374j 0.0566865+0.100447j -0.0872087+0.00849774j -0.044871-0.0490971j 0.0772085+0.0592793j -0.107128-0.0873442j 0.000337766-0.0307306j -0.0186998+0.0179748j 
0.0289672-0.0900731j -0.0231553-0.0489119j -0.00990821-0.0187553j 0.0665125+0.000402596j 0.00886489+0.012732j 0.0104147+0.0103825j -0.0348811-0.0483998j 0.102192+0.00539602j -0.0434127-0.0456259j -0.0263202+0.0268224j 0.05384-0.0377786j -0.0221551-0.0656661j 0.0172452-0.0332188j 0.140544+0.10083j 0.00565304-0.115796j 0.0027527-0.0597179j -0.016112-0.0210742j 0.0130737-0.00192521j -0.162789-0.06331j -0.0981062+0.0077293j 0.0414739-2.34361e-15j 0.027833-0.00767665j -0.100855+0.0736409j 0.0524988+0.0644643j 0.0889004+0.178962j -0.0321873-0.06061j 0.0512629+0.102913j 0.0411646+0.0600332j 0.044304-0.0210647j 0.151385+0.0653826j -0.104961-0.0896114j -0.0206185-0.0182002j 0.0505339-0.0107657j 0.0634536+0.0911385j 0.213229+0.178063j 0.152092+0.0482865j 
-0.00499674+0.0225686j -0.0307569+0.0407119j -0.000507866-0.0151755j -0.020384-0.042158j 0.0137123+0.0452036j -0.0124727-0.0159711j 0.0409169-0.0275248j 0.0076544-0.0318008j 0.09162-0.0369485j -0.00599388-0.0291328j -0.00750423+0.0344577j 0.000646775+0.00322569j 0.00179126-0.00743107j -0.0709548+0.0404606j -0.0150002-0.0174314j -0.0112346-0.0398658j -0.0433726+0.00809075j -0.00383168-0.0547641j -0.0290489-0.0036582j -0.119868-0.165715j 0.027833+0.00767665j -0.175979-1.11022e-16j -0.0351462-0.100613j -0.00348704+0.0399114j -0.0136057-0.151107j 0.034568+0.264699j -0.0603961-0.0226676j 0.20496+0.311899j 0.0116781-0.105219j -0.0274062+0.0199721j -0.0284584+0.310594j -0.297962-0.230725j 0.0592714+0.04709j -0.121258+0.0092127j 0.0349095+0.00784973j 0.0597028+0.0188982j 
0.00371453-0.0596143j -0.0366461-0.0328429j 0.017851-0.00831971j 0.0386097+0.0207637j 0.0364775+0.0231639j 0.0155042-0.0124465j -0.0556967+0.080136j 0.133476+0.106077j 0.0328411-0.0769121j -0.0858783-0.0251438j -0.0177953-0.082073j 0.195648+0.0275699j 0.034671-0.0146637j 0.0118968-0.0736524j 0.0797025-0.00915609j -0.0570694+0.019445j 0.0650076+0.0807933j -0.126623-0.0457341j 0.185101+0.0305488j 0.107776-0.0464588j -0.100855-0.0736409j -0.0351462+0.100613j 0.121097-2.66367e-15j 0.0435884-0.116394j -0.101097-0.0249247j -0.00787166+0.023865j -0.0194554-0.0483409j -0.162175+0.127979j -0.0771387-0.0950848j 0.142899+0.0594534j 0.114861+0.0403863j -0.00293299+0.0191058j -0.0393163+0.0934761j 0.204692-0.0332981j -0.0687158+0.104604j -0.0141706-0.0124153j 
0.0237889+0.00169042j -0.0471961-0.015944j 0.0246688-0.0333508j 0.05115-0.0468971j 0.00357165+0.0158798j 0.00806252-0.00139973j 0.00219428-0.0202088j 0.0167661-0.0131318j 0.0856511+0.0756173j 0.0452992+0.0379247j 0.0282797-0.0791597j -0.0318255+0.0422037j 0.0114368-0.00351399j -0.0332105+0.125895j -0.0405897-0.0230524j 0.0165914-0.00657545j -0.0441874-0.0167025j 0.0525341+0.0301228j -0.00374642+0.0074743j -0.0543104-0.07716j 0.0524988-0.0644643j -0.00348704-0.0399114j 0.0435884+0.116394j -0.00850144+1.71391e-15j 0.0306077-0.00474053j -0.263438-0.181898j -0.00420485+0.0639656j 0.042901+0.0650482j 0.0301341+0.0705025j 0.121923+0.0975363j -0.24616-0.196426j 0.114324+0.142991j 0.110866+0.0358325j -0.127522-0.0659714j 0.0229854-0.0585487j -0.0646667+0.0188687j 
0.0378293-0.0370761j -0.0198705+0.0309052j -0.000814336-0.00322766j 0.0796255-0.0524022j 0.0200549-0.0588198j -0.0166463-0.0561488j 0.00879819+0.0948482j 0.112458+0.0336452j -0.124579-0.0360813j 0.0287081+0.0796072j 0.0402787-0.286284j 0.0443998+0.0199922j -0.00347373-0.0681866j 0.128243+0.0859638j -0.0443488+0.0438313j -0.0297718+0.0576428j -0.0730219-0.021348j 0.0915135+0.0168144j -0.031438-0.0536493j -0.130278+0.000822696j 0.0889004-0.178962j -0.0136057+0.151107j -0.101097+0.0249247j 0.0306077+0.00474053j -0.0887119+2.60417e-14j 0.0555241-0.0156366j -0.166994+0.216943j -0.0842044+0.0343934j -0.00706344+0.0833249j -0.00573068-0.0261807j 0.175466-0.0872267j -0.0897155-0.107665j 0.1909-0.166353j 0.0431797+0.0405483j -0.0525301-0.185842j -0.132596+0.119118j 
0.000994674+0.00410765j 0.00600065-0.0292787j 0.014207-0.0193978j -0.0105896+0.0213361j 0.014211-0.02475j 0.0128489+0.00371226j 0.0187854-0.0160405j 0.0679751-0.0145393j -0.063282+0.0025833j -0.0129147+0.0131666j -0.022667+0.0302859j 0.0827655-0.0417199j 0.0334767+0.0118669j 0.0407791-0.130287j -0.00609521+0.0445725j -0.0373985+0.00757469j 0.0481047-0.0459478j -0.0154682+0.0355171j -0.0117604-0.0369067j -0.0786967+0.196345j -0.0321873+0.06061j 0.034568-0.264699j -0.00787166-0.023865j -0.263438+0.181898j 0.0555241+0.0156366j 0.0938114+1.31839e-15j -0.179938+0.0100776j -0.115491-0.343316j 0.0326747+0.066938j -0.063759-0.134472j -0.00991065-0.109194j 0.0276055-0.000968166j 0.202689-0.207048j -0.0158957+0.146528j 0.0583106-0.0197678j 0.0473421+0.0198772j 
0.0210302+0.0597947j -0.0488663+0.0337007j -0.0190056-0.020223j 0.0636445+0.0179509j 0.032262-0.00367784j -0.0105271+0.00408355j -0.0288397-0.0937843j 0.112308-0.0484327j 0.0248737+0.0242558j 0.00278522+0.0796758j -0.0590249+0.0862166j 0.0386222+0.0145455j -0.0678015+0.125335j -0.000679896-0.21383j -0.0557981+0.0564809j 0.0106181-0.0286658j 0.0195346+0.0171937j -0.0247497-0.00974523j -0.0330766+0.00802667j -0.0296357+0.0136623j 0.0512629-0.102913j -0.0603961+0.0226676j -0.0194554+0.0483409j -0.00420485-0.0639656j -0.166994-0.216943j -0.179938-0.0100776j -0.117652+1.93075e-15j 0.00399308+0.138621j 0.0391282+0.0170828j -0.028411+0.0443513j -0.0859068-0.00462152j -0.0879613-0.0034377j 0.275943-0.0152702j 0.0293429-0.0319338j 0.0505351-0.0681046j -0.00978235+0.158245j 
0.0248965+0.0261214j -0.0985609+0.0891232j 0.00655138+0.0529668j 0.0749163-0.0447699j 0.0346533-0.0965516j -0.0192812-0.0456977j -0.0506356+0.0654419j 0.0590136+0.00306246j -0.0563712-0.132043j 0.0243794+0.0798553j -0.0825024+0.00672974j -0.0230901+0.0235196j -0.145562+0.102179j 0.0712389-0.0358402j -0.0194642+0.07427j 0.0561453-0.0588309j -0.0235723-0.0309214j -0.0550862+0.108703j -0.0198342-0.0667767j 0.0644354-0.0971441j 0.0411646-0.0600332j 0.20496-0.311899j -0.162175-0.127979j 0.042901-0.0650482j -0.0842044-0.0343934j -0.115491+0.343316j 0.00399308-0.138621j -0.219795+9.2773e-15j -0.00200714-0.00461664j 0.0559223+0.0452389j -0.00512839+0.0413849j 0.0449487+0.113339j 0.0403428+0.00711252j 0.0937381-0.0986649j -0.0312059-0.0395598j -0.0699459+0.107418j 
-0.0585923-0.180478j 0.0700375-0.0116839j 0.0015162-0.0289156j -0.0981744-0.138686j -0.0560988+0.208562j -0.0679791+0.110079j 0.0732385-0.0238246j -0.117427-0.183277j 0.0578828-0.0729215j 0.0187939+0.00377048j -0.0962895+0.0542147j -0.0853413-0.169729j -0.105341+0.0447988j -0.0471081-0.026916j -0.00816186-0.00700492j 0.0138781+0.0200482j -0.024382-0.0622115j -0.0640463+0.0662869j 0.0323224+0.0360506j 0.0278609-0.0354374j 0.044304+0.0210647j 0.0116781+0.105219j -0.0771387+0.0950848j 0.0301341-0.0705025j -0.00706344-0.0833249j 0.0326747-0.066938j 0.0391282-0.0170828j -0.00200714+0.00461664j -0.137296+3.88578e-16j 0.149546+0.0210975j -0.0662611-0.0252627j -0.0470885-0.00915088j 0.0615225-0.00789522j 0.146327+0.054048j 0.0107772+0.021241j 0.0222005+0.102311j 
