-0.0204139-2.77556e-17j 0.185775+0.0224949j -0.0595966+0.0489833j -0.0381192-0.0950618j -0.0758346+0.062957j -0.0545918-0.00258174j 0.0304947-0.0460677j 0.0489779+0.0131636j 0.0583215-0.359958j 0.029459-0.0944663j 0.0516776+0.138543j -0.0171842-0.115741j -0.036884-0.0057512j 0.108532+0.142463j -0.086401+0.0474566j -0.0509645+0.00303421j -0.00125066-0.00736055j 0.116876-0.101382j 0.00449052+0.0151286j 0.0353006-0.0376886j -0.0122669+0.160445j -0.00592346-0.116579j 0.0807314-0.0539489j 0.156563-0.105823j -0.00548954+0.119843j -0.0138514+0.123508j -0.0273863-0.119389j -0.0612052+0.0751788j -0.00978634-0.178658j -0.0292915+0.0235132j -0.0972016+0.0239819j -0.00436709+0.136236j 0.060623+0.172209j 0.0486869+0.206919j 
-0.0171842+0.115741j 0.030904-0.073867j 0.0879319+0.13106j -0.0575219+0.126562j -0.184814-0.230671j -0.0295758+0.0213831j -0.109958+0.0870749j -0.0109199+0.0625336j 0.0137005-0.103365j -0.100671-0.145495j -0.0208242-0.318258j -0.0899041+1.11022e-15j 0.0379692+0.00767821j -0.0645779+0.266125j -0.0288268+0.0202076j 0.0860185-0.0450879j -0.0693664-0.0265161j -0.00302171+0.129327j 0.022975+0.00955804j 0.0728534+0.0918053j -0.00139071-0.0415999j -0.0979992-0.0215848j -0.0593752-0.0111943j -0.0811905-0.0247451j -0.0100926+0.0451297j -0.0419218+0.0747092j 0.0593946+0.0586651j -0.00138343-0.0410488j 0.00292451+0.0747421j -0.0166366-0.0510796j 0.0582016-0.00911279j 0.0566011+0.0454372j -0.103892-0.0161881j -0.0224668+0.0750054j 
-0.036884+0.0057512j -0.0065926+0.0101356j -0.0587257+0.034418j -0.0320926-0.0889635j 0.0290265+0.034386j -0.0542482-0.00273366j 0.0132698+0.083308j 0.0446884-0.0500017j 0.0628273-0.117973j -0.00535412-0.032702j 0.0101438+0.076301j 0.0379692-0.00767821j -0.0378301-5.82867e-15j -0.0312141+0.0567965j -0.0758243+0.000467033j 0.0679281+0.1792j -0.0826023+0.0358851j -0.000103497+0.0329373j 0.000425245+0.0326807j -0.0453535+0.168476j -0.0693808+0.022977j -0.0300185-0.0071036j -0.0126652+0.0291723j 0.168398+0.0230844j 0.0449239+0.0999233j -0.0675705+0.0830151j 0.0167311+0.201352j 0.218114-0.433447j -0.150541+0.100872j -0.0610807+0.179869j 0.156198-0.10673j 0.0866448-0.0784366j 0.095237-0.0286117j 0.009266-0.0420845j 
0.108532-0.142463j 0.094125-0.00171995j 0.0797649-0.0598459j -0.0120691+0.0371579j -0.0157837+0.185161j -0.00425813+0.0901183j 0.0415085-0.14681j -0.00820001+0.0817432j -0.00388172-0.128788j 0.229158+0.017747j -0.0873429+0.066924j -0.0645779-0.266125j -0.0312141-0.0567965j 0.105873+1.93942e-15j -0.0767858-0.0562616j 0.053773+0.0286471j -0.0236453+0.110717j 0.0695004-0.171749j 0.0356739-0.0212086j 0.00266049-0.0277347j -0.028565+0.000847667j 0.00375317+0.103774j -0.0714678+0.0637117j -0.177236+0.0470343j 0.0212105+0.117887j 0.0360168+0.0877633j 0.0579543+0.0397926j 0.141014-0.0671819j 0.0248742+0.0900176j 0.0206695-0.0125891j 0.143901-0.0764695j -0.123845+0.0654861j -0.0664576-0.00997867j 0.0675472-0.0709007j 
-0.086401-0.0474566j 0.10085+0.132958j 0.00556482+0.0374914j -0.0368862+0.0243234j 0.156375+0.0928965j -0.0885956-0.0186144j 0.0338238+0.0652968j 0.0322244-0.0674647j 0.150648+0.0742708j 0.210557+0.236831j 0.0552805+0.0893287j -0.0288268-0.0202076j -0.0758243-0.000467033j -0.0767858+0.0562616j 0.640328-3.00177e-14j 0.212619-0.0116832j -0.149423-0.0855293j 0.0125339-0.00821168j -0.0290221+0.0455129j -0.0481254-0.0588771j 0.00272215-0.10755j -0.033886-0.0589858j -0.0523613+0.015326j 0.0417786+0.027073j 0.0142175-0.0393344j -0.0441337+0.0307325j 0.000436572-0.016464j 0.0383275+0.114848j -0.0309552-0.0417731j -0.0430309+0.0592885j 0.00190997-0.0989333j 0.00773214+0.0305097j -0.00991406+0.0289959j -0.017686+0.0016949j 
-0.0509645-0.00303421j 0.0240693+0.0875115j -0.0829033-0.0439515j 0.0130669-0.0411406j 0.125395+0.049043j 0.0285043-0.0555619j 0.129434+0.0351066j 0.039288+0.00204257j -0.0119325+0.0158085j 0.0059483+0.0779565j 0.10755+0.116414j 0.0860185+0.0450879j 0.0679281-0.1792j 0.053773-0.0286471j 0.212619+0.0116832j 0.127751-3.51802e-15j -0.0591992+0.087786j 0.000515648+0.117602j -0.0335295-0.0913537j -0.031454+0.0995276j 0.0358309+0.153835j -0.115672+0.141443j 0.271858+0.0092589j -0.122582-0.0266209j -0.108898+0.0148736j 0.0814568+0.0674037j -0.0370345-0.101232j -0.0917569-0.171312j 0.116207+0.0933245j 0.0499459-0.0626565j 0.0246583+0.140971j 0.065259+0.056968j -0.089819+0.0346703j 0.000721088+0.0634547j 
-0.00125066+0.00736055j 0.0127384+0.0349833j 0.00123746-0.0246175j -0.0523506-0.0213239j -0.0703806-0.0514158j 0.0238197-0.033732j 0.0416079-0.0228801j -0.0115231-0.0143256j 0.0321454+0.023347j -0.0383184-0.118077j 0.0304855+0.0283959j -0.0693664+0.0265161j -0.0826023-0.0358851j -0.0236453-0.110717j -0.149423+0.0855293j -0.0591992-0.087786j -0.26176+2.77556e-16j -0.0156731-0.154385j 0.120642+0.0814004j -0.00947259+0.102192j -0.171627-0.249944j -0.163808-0.119288j -0.0377379-0.0378677j 0.00281888+0.0475855j -0.0154169-0.131951j 0.0805133+0.123246j -0.0377987-0.172366j 0.0385251+0.296159j 0.162348+0.0355116j 0.148694+0.202482j 0.122263-0.073509j 0.172296+0.101963j -0.0802028-0.112402j -0.053542+0.191785j 
0.116876+0.101382j -0.09376+0.0217829j 0.0241911+0.0641803j -0.0579172+0.0180151j 0.145625+0.0521902j 0.0362609+0.00127392j -0.108019+0.00355146j 0.0538225+0.0534102j -0.0335358-0.142917j 0.103907+0.107471j -0.169065-0.0256319j -0.00302171-0.129327j -0.000103497-0.0329373j 0.0695004+0.171749j 0.0125339+0.00821168j 0.000515648-0.117602j -0.0156731+0.154385j -0.184884-6.57807e-15j -0.00872832+0.127061j -0.10262-0.0230424j 0.0326039+0.00777902j 0.0309282-0.00787343j 0.106001+0.0816112j 0.231783+0.0147782j 0.0788814-0.0436974j 0.023676-0.146268j -0.0944804-0.161823j -0.0400763+0.141599j -0.00892606+0.0914519j 0.137237+0.0814039j -0.0613377+0.00411755j -0.149812-0.181772j 0.147279-0.0626849j -0.0485873-0.25242j 
0.00449052-0.0151286j -0.0613109+0.179368j -0.00851479-0.00753086j -0.0238178+0.0592627j 0.171484+0.0183267j -0.00359792+0.0482406j -0.0970284+0.0553573j 0.04563+0.0018733j -0.0329199-0.00590412j 0.110511+0.0234155j -0.0974689+0.0158666j 0.022975-0.00955804j 0.000425245-0.0326807j 0.0356739+0.0212086j -0.0290221-0.0455129j -0.0335295+0.0913537j 0.120642-0.0814004j -0.00872832-0.127061j -0.0204425-2.91434e-16j 0.0413273-0.0595265j 0.150123+0.042821j -0.185171+0.111248j 0.00567094+0.00152686j -0.117336+0.0539771j 0.010767+0.0246119j -0.0588956+0.0311291j 0.0212933+0.06477j 0.0700097-0.0290163j 0.00186423+0.0669736j -0.0412022-0.0783203j -0.0166367+0.0134705j 0.212816-0.169294j -0.0490851-0.148612j -0.211188+0.115704j 
0.0353006+0.0376886j 0.0284844-0.0265141j -0.0295933-0.0580154j 0.0219759-0.126636j -0.0395579-0.0324292j 0.0265675+0.0284175j 0.0835446-0.0565137j 0.0752436+0.0234011j 0.0516396-0.0206803j -0.0366478-0.000548021j 0.0245787-0.052563j 0.0728534-0.0918053j -0.0453535-0.168476j 0.00266049+0.0277347j -0.0481254+0.0588771j -0.031454-0.0995276j -0.00947259-0.102192j -0.10262+0.0230424j 0.0413273+0.0595265j -0.244961+1.59039e-14j -0.0380108+0.0717724j -0.20233+0.030771j 0.121965-0.0314144j -0.024124-0.0336851j 0.0876829-0.0572002j -0.0883435+0.106477j -0.0385588-0.111437j 0.0332424-0.0973965j -0.0323385+0.285141j -0.0410892+0.0862068j 0.22793-0.073867j -0.0670833-0.0214029j 0.0872298-0.0672698j -0.013031-0.0760784j 
-0.0122669-0.160445j 0.138034+0.0321346j -0.0108451-0.058227j 0.00443786-0.0364909j -0.0894607-0.0104704j 0.0168997-0.0114408j 0.0495136-0.0155731j -0.0385393-0.0187437j 0.0178015+0.0528105j -0.0269097-0.0558289j 0.0639809-0.0224863j -0.00139071+0.0415999j -0.0693808-0.022977j -0.028565-0.000847667j 0.00272215+0.10755j 0.0358309-0.153835j -0.171627+0.249944j 0.0326039-0.00777902j 0.150123-0.042821j -0.0380108-0.0717724j 0.229254+3.64292e-16j -0.0479231-0.00855059j -0.227635+0.0796835j 0.00173911-0.241173j -0.0271297+0.0488758j -0.075218+0.00160114j 0.0915139+0.00698115j -0.0939885-0.0385257j -0.0513067+0.221313j -0.0433567-0.191575j -0.189149+0.0830003j -0.0632782-0.0609315j -0.0164216-0.0451373j -0.0670841+0.00888379j 
-0.00592346+0.116579j -0.131418+0.0931218j 0.00315224+0.0922503j -0.0708807+0.0576506j 0.0447928-0.0249952j 0.00644485+0.00741842j -0.0492119+0.00155836j 0.0212286-0.00570143j 0.0142431+0.0176632j 0.0487593-0.0409967j -0.0491736+0.100741j -0.0979992+0.0215848j -0.0300185+0.0071036j 0.00375317-0.103774j -0.033886+0.0589858j -0.115672-0.141443j -0.163808+0.119288j 0.0309282+0.00787343j -0.185171-0.111248j -0.20233-0.030771j -0.0479231+0.00855059j 0.0460947+7.07767e-16j -0.0958973+0.162516j -0.00825859-0.00648342j 0.0978216-0.0185132j -0.002692+0.0198213j 0.0985349-0.24664j -0.0645019-0.312532j -0.00625988-0.0268784j -0.199562+0.0486607j -0.109141+0.0366326j 0.109337+0.0444927j -0.00374235+0.0967043j -0.0298821+0.0718579j 
0.0807314+0.0539489j -0.0106648+0.0313072j 0.0077368-0.000505078j 0.0130777-0.0237845j 0.0859671+0.0218032j 0.0441044+0.00141639j 0.130696-0.00430851j 0.029713+0.011811j -0.0570982-0.00790865j -0.00473562-0.0233573j 0.00360285+0.0657281j -0.0593752+0.0111943j -0.0126652-0.0291723j -0.0714678-0.0637117j -0.0523613-0.015326j 0.271858-0.0092589j -0.0377379+0.0378677j 0.106001-0.0816112j 0.00567094-0.00152686j 0.121965+0.0314144j -0.227635-0.0796835j -0.0958973-0.162516j 0.137137+4.996e-16j -0.160829+0.0406619j -0.0995699+0.0507956j 0.194439-0.0395407j 0.117721-0.004527j -0.0125604-0.0540953j 0.00185239-0.00366684j 0.303161+0.0913535j 0.0724737+0.0703347j 0.0334129+0.0196989j -0.11536-0.0887029j 0.0966257-0.0223084j 
0.156563+0.105823j 0.0640705+0.0324478j 0.0732441+0.0183443j 0.067569+0.0237408j 0.0385699-0.076394j 0.0357862+0.0274204j 0.0123134-0.0480402j 0.0358816+0.0129337j 0.0225773-0.0574051j 0.0346036-0.0698044j -0.007755+0.0479716j -0.0811905+0.0247451j 0.168398-0.0230844j -0.177236-0.0470343j 0.0417786-0.027073j -0.122582+0.0266209j 0.00281888-0.0475855j 0.231783-0.0147782j -0.117336-0.0539771j -0.024124+0.0336851j 0.00173911+0.241173j -0.00825859+0.00648342j -0.160829-0.0406619j -0.350521-2.07855e-14j 0.0358483-0.0451947j -0.0555165-0.0505788j -0.0453835-0.0773375j -0.115253-0.118647j -0.143663-0.0510807j -0.0439401-0.0605108j 0.206063+0.0144272j -0.05756+0.0154122j -0.0320615-0.08482j 0.105441+0.00493384j 
-0.00548954-0.119843j 0.105639+0.0155072j 0.0236157-0.0681982j 0.0139571-0.00463747j -0.0183806+0.0862125j -0.0580095-0.014637j 0.0486373-0.0614752j -0.00805007+0.0038711j 0.0223383+0.0198826j 0.0229232-0.0445096j 0.0414148+0.00664584j -0.0100926-0.0451297j 0.0449239-0.0999233j 0.0212105-0.117887j 0.0142175+0.0393344j -0.108898-0.0148736j -0.0154169+0.131951j 0.0788814+0.0436974j 0.010767-0.0246119j 0.0876829+0.0572002j -0.0271297-0.0488758j 0.0978216+0.0185132j -0.0995699-0.0507956j 0.0358483+0.0451947j 0.0990458+2.53877e-15j -0.0999187-0.015363j -0.0917263+0.0381412j 0.0865265+0.0307537j 0.0244601-0.035748j -0.156133+0.0112125j 0.279921-0.0887645j 0.142995-0.0516495j 0.0120406-0.0207175j -0.0734576+0.029188j 
-0.0138514-0.123508j 0.0425464-0.0154251j -0.0258897-0.116336j -0.002577-0.0464927j -0.0570661+0.142106j 0.0368042+0.0899449j 0.0613546-0.0698369j -0.0252619+0.015196j -0.00167984+0.0151208j -0.0275172-0.0766963j 0.0275369-0.144812j -0.0419218-0.0747092j -0.0675705-0.0830151j 0.0360168-0.0877633j -0.0441337-0.0307325j 0.0814568-0.0674037j 0.0805133-0.123246j 0.023676+0.146268j -0.0588956-0.0311291j -0.0883435-0.106477j -0.075218-0.00160114j -0.002692-0.0198213j 0.194439+0.0395407j -0.0555165+0.0505788j -0.0999187+0.015363j 0.0518285+5.25968e-15j 0.0550716-0.02346j 0.0100379-0.0184439j 0.0482577+0.0413352j -0.0896015-0.0213969j -0.170009+0.0488844j 0.16625-0.0836908j -0.0636372+0.0431211j -0.0969051+0.0100787j 
-0.0273863+0.119389j -0.0529313-0.0374607j -0.0339827-0.0438319j 0.0110681-0.0172944j -0.046434-0.036575j 0.0135787+0.00902088j -0.0352477+0.0366153j 0.00127833-0.00306078j 0.0196147-0.025666j 0.00410701+0.00728263j 0.00452885-0.0254982j 0.0593946-0.0586651j 0.0167311-0.201352j 0.0579543-0.0397926j 0.000436572+0.016464j -0.0370345+0.101232j -0.0377987+0.172366j -0.0944804+0.161823j 0.0212933-0.06477j -0.0385588+0.111437j 0.0915139-0.00698115j 0.0985349+0.24664j 0.117721+0.004527j -0.0453835+0.0773375j -0.0917263-0.0381412j 0.0550716+0.02346j -0.166288-1.76942e-15j 0.10868-0.0656759j 0.142334+0.0525586j -0.0458558-0.0229745j 0.120027+0.00325483j 0.0398409-0.0401221j 0.0122076-0.02417j -0.00641119-0.0516478j 
-0.0612052-0.0751788j -0.00652161-0.0309849j 0.0141109+0.0637126j -0.0274348+0.020542j -0.0362925+0.0939228j -0.0300501-0.0412514j 0.0267416+0.012977j -0.00931118-0.0213614j 0.0259911-0.0196239j 0.0537714+0.00287072j 0.035545+0.0690223j -0.00138343+0.0410488j 0.218114+0.433447j 0.141014+0.0671819j 0.0383275-0.114848j -0.0917569+0.171312j 0.0385251-0.296159j -0.0400763-0.141599j 0.0700097+0.0290163j 0.0332424+0.0973965j -0.0939885+0.0385257j -0.0645019+0.312532j -0.0125604+0.0540953j -0.115253+0.118647j 0.0865265-0.0307537j 0.0100379+0.0184439j 0.10868+0.0656759j -0.0912396+1.05471e-15j 0.103919-0.01507j 0.0322417+0.0187689j -0.0897632+0.0566692j -0.0399304-0.0189537j 0.0143713-0.0564249j -0.0576386-0.039914j 
-0.00978634+0.178658j -0.112859-0.0315988j -0.0194956+0.0662531j -0.049332+0.00353738j -0.0472201-0.0538213j -0.0230975+0.044311j 0.0420342+0.0722999j -0.00636997+0.0048557j -0.0107018+0.030348j 0.0336687-0.00906531j -0.00776471-0.0220953j 0.00292451-0.0747421j -0.150541-0.100872j 0.0248742-0.0900176j -0.0309552+0.0417731j 0.116207-0.0933245j 0.162348-0.0355116j -0.00892606-0.0914519j 0.00186423-0.0669736j -0.0323385-0.285141j -0.0513067-0.221313j -0.00625988+0.0268784j 0.00185239+0.00366684j -0.143663+0.0510807j 0.0244601+0.035748j 0.0482577-0.0413352j 0.142334-0.0525586j 0.103919+0.01507j 0.0426286+1.67921e-15j -0.0347064-0.0422539j 0.0565781-0.0341023j 0.00868851-0.0581687j 0.00780338-0.0596791j -0.0353878-0.047975j 
-0.0292915-0.0235132j -0.0852774-0.0588693j -0.0147853-0.0398872j -0.0238158+0.0011223j -0.0408349-0.0636632j 0.0116433+0.0353498j -0.0365808+0.0137586j -0.00907245-0.0127844j -0.0201332+0.014211j -0.02047+0.00374852j 0.0345719+0.029026j -0.0166366+0.0510796j -0.0610807-0.179869j 0.0206695+0.0125891j -0.0430309-0.0592885j 0.0499459+0.0626565j 0.148694-0.202482j 0.137237-0.0814039j -0.0412022+0.0783203j -0.0410892-0.0862068j -0.0433567+0.191575j -0.199562-0.0486607j 0.303161-0.0913535j -0.0439401+0.0605108j -0.156133-0.0112125j -0.0896015+0.0213969j -0.0458558+0.0229745j 0.0322417-0.0187689j -0.0347064+0.0422539j 0.0547431+3.60822e-16j -0.0435595+0.00717011j -0.00156683+0.0281687j 0.0221357+0.0533248j -0.13747-0.0360783j 
-0.0972016-0.0239819j 0.00113736-0.0162085j 0.0111896+0.0342351j -0.0343052-0.0415999j 0.0130988-0.0477629j -0.0983199-0.0825408j 0.00910244-0.0228966j 0.0177599-0.00962287j -0.00294572+0.0422337j 0.0145978+0.0693547j 0.088543+0.0643809j 0.0582016+0.00911279j 0.156198+0.10673j 0.143901+0.0764695j 0.00190997+0.0989333j 0.0246583-0.140971j 0.122263+0.073509j -0.0613377-0.00411755j -0.0166367-0.0134705j 0.22793+0.073867j -0.189149-0.0830003j -0.109141-0.0366326j 0.0724737-0.0703347j 0.206063-0.0144272j 0.279921+0.0887645j -0.170009-0.0488844j 0.120027-0.00325483j -0.0897632-0.0566692j 0.0565781+0.0341023j -0.0435595-0.00717011j 0.382249-2.63678e-16j 0.0841341+0.0050129j -0.0145216+0.0475076j -0.111207-0.0053206j 
