-0.103343-0.0220733j 0.00740602-0.0098239j 0.00563873+0.0210089j -0.0197235-0.068279j -0.00794396-0.0113633j -0.010587+0.0434145j 0.00664975+0.011616j -0.0137467+0.0427305j 0.000948693+0.00135755j -0.00105289-0.0166209j -0.00666705+0.064121j -0.00203337-0.0180526j -0.0313531-0.0258888j -0.0027502+0.0515693j -0.0278463+0.00521574j 0.00818353+0.00110262j 0.0166621-0.00716133j 0.0270557+0.0190328j -0.0353335+0.00562749j -0.00794636+0.00959568j 0.0295053+4.51307e-05j 0.00510057-0.0307921j 0.018505+0.00535037j 0.000989647-0.0587305j 0.0121266-0.014999j 0.0053397+0.000790097j 0.0211552-0.00884187j -0.0236388+0.0343218j -0.00860151+0.00274784j -0.00611571+0.0197406j 0.000418397-0.0034067j 0.00499387-0.0157423j 0.0190657+0.0059127j 0.00336458-0.00826609j 0.017477+0.0123007j 0.0155929-0.00770403j 0.0112619-0.0136401j 0.00824489+0.000920759j 0.0334895+0.00573326j 0.0233678-0.0134026j 0.040118+0.0155405j -0.0240864+0.00674966j 0.00287363-0.0146305j 0.00826135-0.0125516j 0.0133901+0.00436665j -0.0115768+0.0414389j -0.0099139-0.0160539j -0.0288175-0.0476373j -0.0272846-0.0332463j 0.00231288+0.00188381j -0.0195473-0.0375804j 0.00396444+0.00722946j -0.035738-0.0094682j -0.00601572+0.026323j 0.0276503-0.0204925j 0.0131807+0.00725621j -0.0205343-0.00657732j 0.0285252-0.0247685j -0.0666104-0.00941624j 0.0267662-0.0186956j -0.0483671-0.000858845j -0.143936+0.0601445j 0.0347826+0.0299898j -0.0501648+0.0353607j -0.0540214-0.00458902j -0.0422406+0.012077j 0.0486433+0.00486318j 0.0252496+0.0226268j 0.0269738-0.0317475j 0.0123259+0.00928721j -0.0410695-0.0318399j -0.012758-0.0193054j -0.0038736+0.00185121j -0.0239913-0.00227594j -0.0631963-0.0187279j 0.0838739+0.0072995j 0.00159205-0.0151325j 0.0813426-0.0157403j 0.0218288-0.0747783j 0.00564777-0.00957952j -0.00165863-0.0617428j 0.103509+0.0371935j -0.00391574-0.0953117j 0.0349369+0.0632803j 0.00141046-0.0643448j -0.0430567-0.0831393j -0.112354+0.0521966j 0.0561961-0.0882701j 0.120432-0.0143767j 0.0587794-0.19015j 0.25924+0.148197j -0.116165-0.198498j 
-0.0326012+0.0378185j -0.0321919-0.0194587j 0.0493703-0.0179609j 0.0349254+0.01133j 0.0875791-0.0344793j -0.0858247+0.084119j 0.0364548-0.0289357j 0.0350052-0.00751037j 0.139966-0.0613935j 0.02135-0.0779738j 0.0200939+0.0928601j -0.114386-0.0521681j -0.159504+0.116134j 0.0247482-0.0341565j -0.0768163+0.0356906j -0.0244743+0.122461j 0.131264+0.0726863j -0.0183843+0.0582102j 0.144312+0.00146478j -0.0877745+0.00828322j 0.0195105-0.0113623j -0.0461187-0.0157875j 0.0283966+0.101367j 0.00598633+0.193631j -0.0440537-0.0280996j 0.0766598-0.0818198j 0.0638276+0.0508912j -0.0347998-0.0541615j -0.0468714+0.0634493j -0.0679408+0.00918608j 0.042042+0.00754147j 0.0931334+0.0201632j -0.029431-0.147594j 0.0227109+0.0370989j 0.00253208+0.10599j -0.175763+0.0710919j -0.00743182+0.0280481j -0.147801-0.138356j 0.0753926-0.0173761j -0.0874565-0.11262j 0.0640026-0.0531439j 0.0885719+0.00180919j 0.0717583+0.027836j 0.0905853+0.00480369j -0.125365+0.00863335j 0.0993316-0.0508738j -0.0128569-0.0650127j -0.0523299+0.000896654j -0.0816048-0.0538375j -0.0192508+0.000879611j 0.0233103-0.0296951j 0.0566751+0.0443463j 0.0378953+0.0160591j -0.0233849-0.0812283j 0.0437896+0.0141191j 0.0113391+0.0844172j 0.0139587-0.0234456j 0.044205+0.0048746j -0.0220241-0.0188544j 0.0599576-0.0138598j -0.0697386-0.0260792j 0.0770561-0.034134j -0.103415-0.0812071j -0.0595572-0.0171854j 0.06226-0.0582676j -0.0782492-0.0195703j -0.0072826-0.0215505j 0.101926-0.125608j 0.00160837-0.0900869j -0.0159014-0.0693112j -0.0297487+0.0213001j 0.0679252-0.0299234j 0.0432475+0.139891j 0.0148258+0.0659482j 0.0551718-0.167552j 0.0292557-0.142769j 0.0105597-0.00355483j 0.00568944-0.0187165j 0.129184+0.0597913j -0.0614426-0.0628659j 0.0609124-0.00789485j -0.046767+0.0171195j -0.0075515-0.123529j -0.00759326-0.022859j 0.014335+0.0294381j -0.00147318+0.0129752j -0.0249317-0.0209679j 0.0157921-0.0028219j -0.0200538+0.0345826j -0.00118114-0.0256543j 0.0564604+0.0309333j -0.0163033-0.0185851j 
0.0168592-0.0333481j 0.0467635+0.0135667j 0.089689-0.0395093j 0.0653545-0.0297524j 0.156682-0.0292901j 0.00257187+0.0514083j -0.128125-0.0169739j 0.0690281+0.0661308j -0.0919948-0.0870272j -0.0805991-0.102981j 0.0766067+0.0147835j -0.0736276-0.0437631j -0.131196+0.089614j -0.0760976-0.132696j -0.100502+0.0503595j -0.0105835+0.0218413j -0.0350443+0.0451819j -0.0488485-0.00826471j -0.000381361+0.025181j -0.125407+0.0422964j 0.0436614-0.0253821j 0.0100506+0.0891154j 0.0850505+0.0115019j -0.071735+0.0221307j -0.0114184-0.0263629j -0.0796505-0.0503769j 0.0404097+0.0628393j 0.00934909+0.000909719j 0.025982+0.00736404j -0.080654+0.0388691j 0.0968847+0.100633j -0.0181092+0.0156207j -0.06294+0.0435725j 0.0524702-0.0694468j 0.104526-0.0950726j -0.187418+0.09085j 0.0446623+0.0160387j -0.0733735-0.0499954j 0.0377196-0.0242604j -0.16667-0.116059j 0.129157+0.143997j -0.0166137-0.0637501j -0.00127175-0.0285941j -0.026015+0.0642346j -0.162829-0.000846131j 0.0886869+0.0248156j -0.0926077+0.0651653j 0.00215383-0.0292259j 0.0951732-0.00132442j 0.0181763-0.0535506j -0.105193-0.0315552j 0.0464023-0.0716434j 0.121289-0.0326423j -0.109582-0.0120253j 0.0491288-0.090035j -0.136018-0.00376526j -0.0250718+0.0216226j 0.0303552-0.0616615j 0.0448917-0.0131976j 0.00251349-0.0452008j 0.0321544+0.0634956j -0.0729589-0.013245j -0.0312892-0.00175156j 0.0133889-0.0150732j -0.0140635+0.0242829j 0.0486802-0.0829375j 0.0978276+0.0234481j -0.056766+0.0522486j -0.0408246+0.0429743j 0.0120102-0.0403617j -0.0824156+0.0368646j -0.0190084+0.0203972j -0.0171662-0.0173556j -0.0444819-0.0897841j -0.0264677+0.059488j -0.00306302+0.0976511j -0.0248333+0.0541842j -0.0409217-0.0481851j -0.0636722-0.0754125j 0.0608972+0.00737541j -0.0218045+0.00290551j 0.00152198+0.0315622j 0.0338224+0.0310268j 0.0113962+0.0218298j -0.0591443-0.0192494j -0.00856674+0.0286806j -0.0116605+0.0136814j -0.00968383-0.00819995j 0.0390849-0.0314047j 0.0184892-0.00632861j -0.0127487-0.0221901j 0.007116+0.00652967j 
-0.00854985-0.0108166j 0.0751377-0.0349209j 0.0963708-0.0437352j 0.0612609+0.00303115j 0.0436997-0.0372339j -0.0114201+0.15095j -0.163597+0.0878086j 0.0824465+0.085125j 0.0801954-0.00969069j -0.00470547-0.072247j 0.116652-0.0878585j 0.0499822-0.0795j 0.0190731+0.0582676j 0.0386652+0.0900152j 0.0495083-0.0354744j 0.000147818+0.0487873j 0.0388063+0.0132012j 0.0362409+0.0928695j 0.139161-0.00626711j -0.102153-0.0155167j 0.0219092+0.0514224j 0.0181314-0.0768795j 0.128364-0.0436558j 0.0530423+0.0249263j -0.00857829+0.0329685j 0.0447916+0.0224536j -0.0100098-0.0162158j -0.0574051-0.0102249j 0.0266158-0.0532806j 0.00631261-0.126014j 0.00608865+0.0303795j 0.0475662-0.0904837j 0.0879157+0.00685154j -0.0333505-0.139203j -0.0254512+0.00267794j -0.0464956-0.0365016j -0.088336-0.11506j -0.0544383+0.0108119j -0.0103908+0.0120314j 0.0496301-0.0221738j 0.0654361+0.088739j -0.073078+0.0614566j 0.082459+0.00977318j 0.0191059+0.0226585j -0.0629594-0.00642359j 0.0540916+0.0744639j -0.0329716-0.0279917j 0.015214+0.00660815j -0.0196733+0.0189496j -0.00813526+0.00171974j -0.00415031-0.126858j -0.0415997+0.0293602j 0.0120181-0.0630543j 0.152967+0.0557546j -0.0284308+0.0272176j 0.0256047+0.025366j -0.0459058-0.0187414j -0.0475132+0.0163988j 0.0676313-0.0767255j 0.0164782-0.0915852j 0.051966-0.112425j 0.0164455+0.00168466j -0.0090387+0.0155456j 0.00454589-0.0472479j -0.0402817+0.105971j 0.0544328+0.101632j 0.0138067+0.0699662j -0.0686906+0.0301616j 0.0425361+0.0889227j -0.136161+0.0750418j -0.0110506-0.0465758j -0.010498-0.107365j -0.0226201+0.14533j -0.059711+0.00625617j -0.042013+0.117189j -0.00445843-0.0837619j -0.0244113+0.0833266j 0.0580089+0.0685139j -0.116987+0.0021216j 0.0464492-0.0327929j -0.0143616+0.0466354j 0.0021589-0.0245491j 0.0278316+0.13438j -0.0249612+0.0734953j -0.0908988+0.0632534j 0.0458924+0.0102474j 0.000523472+0.0261416j 0.0277699+0.0838294j -0.0171239-0.0381517j 0.0385358+0.0311973j -0.00533674-0.0393151j 0.0406879+0.0258541j 
0.0137913-0.0712468j 0.0552744-0.0207202j 0.0372411+0.0133793j 0.0665394+0.0245888j 0.0193362-0.00741641j 0.0296294-0.0672252j 0.105841+0.0429086j -0.129421+0.0463973j -0.00250377+0.0814305j -0.0697618+0.105598j 0.00365824+0.0237876j 0.0336897-0.0812785j -0.190057+0.047575j 0.118801+0.0649052j -0.0317828+0.146825j 0.0828946-0.114475j -0.0306035+0.0712243j 0.167503+0.0761094j 0.102993-0.0976736j 0.106965+0.0250968j -0.0608385-0.0384408j 0.000698774-0.0262934j -0.0329534-0.101621j -0.0844398+0.110226j -0.000220956+0.0045683j 0.064901-0.198892j 0.010509+0.0746803j -0.0670135+0.135851j -0.00696322+0.0508093j -0.0141188+0.0452664j -0.061449+0.183608j -0.0268355-0.146169j -0.0481448-0.0707897j 0.0671194+0.0847557j 0.0287983-0.172638j 0.0195346+0.0201508j -0.05352-0.0287763j 0.0638303+0.101913j 0.012088+0.129686j 0.0630695+0.0644898j -0.0146829-0.0110908j 0.0745965+0.0491627j 0.0533376-0.0580059j -0.0878904-0.0413988j -0.0421244+0.0231378j 0.0284735+0.166786j -0.104037+0.00379783j -0.0356147+0.0767688j 0.0222155+0.0518378j 0.0175036+0.0459035j 0.0484853+0.155196j -0.0138346-0.0655065j -0.0338639+0.0206956j -0.0187251-0.0246748j -0.0438725+0.0148756j 0.0343687+0.0193135j -0.00217803+0.0474501j 0.0398512-0.0562989j -0.0443162-0.117736j 0.00441163-0.0593133j 0.00972205-0.0595578j 0.00947302-0.0546701j -0.0228675+0.052452j 0.0310365+0.0412858j -0.047371-0.0396255j -0.0104505-0.0309275j -0.0384083+0.0201947j -0.0387633-0.0620037j 0.0450456-0.0253434j -0.0279173-0.0649507j 0.019758+0.0643267j -0.061007-0.0324687j -0.0151368-0.0107031j -0.00291851-0.0433301j 0.0167083-0.031289j 0.0340462-0.0304314j -0.0269292+0.0563374j 0.0462803-0.092323j 0.0433923-0.024007j 0.024104+0.00440769j -0.0194918-0.0486988j 0.0181285+0.0301841j 0.0172821-0.00725393j 0.0279594-0.0365298j -0.0129492+0.0466259j -0.0362256-0.0605956j -0.05112-0.0222646j -0.0414893+0.0262105j 0.00577193+0.00227198j -0.0306647+0.0194552j 0.01152+0.00530321j 0.0444795+0.0273012j 
-0.0193661-0.0270773j 0.0442012-0.0554119j 0.0867967-0.0149115j -0.0524471-0.028917j 0.0926095-0.0869841j 0.0101822-0.0302794j 0.0378118+0.0462341j 0.137254-0.0359578j 0.020012-0.0684548j -0.00295819+0.102256j -0.0536255+0.0898145j 0.00696251+0.00310801j -0.200672+0.180501j -0.138643+0.109246j 0.173651-0.00133856j 0.102094-0.0400601j 0.111912-0.130033j -0.139339+0.0354405j 0.0546533-0.0328629j 0.049403-0.109437j -0.145765+0.0667185j -0.00220254+0.0528974j -0.11033+0.060902j -0.0197337-0.0190816j -0.0257519+0.0399493j 0.0780331+0.00988055j -0.082034+0.077182j -0.064671+0.00880728j 0.0728692-0.0441296j 0.0510621-0.00227057j 0.109721-0.144319j 0.0602913-0.0224263j 0.0189826-0.150583j 0.0113552+0.0218406j 0.0734078+0.118582j 0.00869597+0.000595837j -0.0760888-0.0324591j 0.0409915-0.0560825j -0.116535+0.117444j -0.0198427+0.0657599j -0.0292542-0.126812j -0.0713183-0.0289887j -0.0698647+0.0111267j 0.121121-0.021941j -0.0320337+0.0225175j -0.135066-0.0924176j 0.0709134-0.00458437j -0.0809766+0.0128742j -0.108315-0.0935089j 0.0246505-0.0254318j -0.121779+0.0318761j 0.007963+0.0178676j 0.0647495+0.0286749j -0.0178893+0.0887862j 0.0682377-0.00362364j -0.0515339+0.0248304j -0.0166688-0.0700164j 0.0380566+0.00523893j 0.0220684-0.0917864j -0.0189676-0.0874349j 0.0270768+0.0795168j 0.00514652+0.0325541j 0.0644881-0.157109j 0.0398009-0.0658239j 0.00241587-0.00271195j 0.019107-0.0941067j 0.0083605-0.0134218j -0.0136015-0.00505008j 0.0278837-0.0280932j 0.0315956+0.0573929j -0.0193176+0.0874008j -0.0101237+0.0116249j -0.0100133-0.0351119j 0.00279409-0.124123j -0.0529885-0.0120219j 0.020263+0.042424j 0.000354604-0.0218471j -0.0248501-0.0124141j -0.024898-0.0192438j -0.000896393-0.00230936j 0.0116004-0.0222704j -0.0175965+0.000293513j 0.0424573+0.0152437j 0.00733662+0.00519703j 0.00669813-0.00308147j -0.0189025-0.0177241j 0.00233943-0.0155574j -0.0253336-0.0100384j 0.0121751-0.037029j -0.0131082+0.0353308j -0.00612669+0.00139368j -0.0202175-0.00856656j 
-0.0152235+0.0264577j -0.0383613+0.0351998j -0.00934096+0.0429878j -0.0099376+0.0224471j -0.0433724+0.0061856j -0.0363001+0.0523147j 0.014447+0.0260833j -0.0668111+0.0204535j 0.0289486+0.0903933j -0.0585325+0.0639914j 0.00283108-0.0547543j 0.0452736+0.0416903j -0.00880194-0.00106484j 0.00622336+0.091581j 0.034959+0.0279092j 0.0987325-0.0532206j 0.0569675+0.066923j 0.034148+0.0233785j 0.0518312+0.061596j -0.0180728+0.061411j 0.0230441+0.0567824j 0.0655483-0.0428554j 0.0581256+0.0230126j -0.0245053-0.0113552j -0.0697607+0.00899817j 0.00922069-0.0310836j 0.00104839-0.00581654j 0.0400298-0.00158848j -0.073547+0.0847732j -0.00535378-0.0545038j -0.0947253+0.0740858j 0.0164618+0.010547j 0.0608585-0.050379j 0.0518563+0.0115123j 0.0494991+0.033587j 0.0455413+0.154907j 0.111047-0.0263516j 0.0548095+0.0477911j -0.0480279-0.0280197j 0.0197217+0.0333016j -0.0142194-0.0220785j 0.014677+0.0505662j 0.0469372-0.0647473j -0.0401142-0.114612j 0.0364534+0.00878157j -0.0460188+0.0209065j -0.00910687+0.0370337j 0.0158413+0.0289599j 0.00653841-0.0285257j 0.0174237+0.03835j -0.00156796-0.0226609j 0.0843635+0.0114885j -0.0289249+0.0021829j 0.0346819-0.0386754j 0.0793877+0.0556232j 0.0259083+0.0232131j 0.0224468-0.000536489j -0.057635-0.0562776j -0.0279734-0.00360263j 0.0661151-0.0447325j -0.0362249+0.0664669j -0.130128+0.0106286j -0.0747866-0.0877447j 0.0291614-0.0192705j -0.0491582+0.0545571j -0.0266987+0.094058j 0.0870963-0.0362284j -0.0474336-0.0555542j -0.0246661+0.0765625j -0.0155092-0.00496072j -0.0410582-0.00939163j 0.0258384-0.0199924j -0.0581161+0.0101433j -0.0306414-0.0559913j -0.0470648+0.0234203j 0.0112494+0.00428623j 0.0792689-0.0648929j -0.00210367-0.0171835j 0.0519+0.0104609j 0.0285551+0.0175958j -0.0416771+0.0278878j 0.100183-0.013778j 0.00259407+0.00691816j 0.0292695+0.0220925j -0.0230131-0.0742287j 0.0444976+0.0285083j 0.00123723-0.00156982j 0.00999683-0.047958j -0.00900523+0.0216981j 0.0126957-0.0937866j 0.087855+0.078199j -0.0128789-0.049105j 
0.0790745-0.0167073j -0.117127+0.131234j -0.00283594+0.0276396j -0.0366755+0.0294489j -0.0268471-0.0287098j 0.0179279-0.0252752j -0.0107108+0.0650149j 0.0232583-0.00687435j -0.0118553+0.0863872j 0.0255092-0.0333455j -0.0433208+0.000734963j 0.000943628+0.0557691j 0.0761727+0.00600687j 0.0525284-0.0456029j 0.0350737-0.0550903j -0.0415511+0.01812j 0.00722265-0.0900906j -0.025908-0.00587844j 0.0361497-0.0573825j 0.0244888+0.00756811j -0.0402479+0.0132j -0.00327802+0.0175644j -0.0488134+0.00998541j -0.0319072+0.015997j 0.0432048-0.0169273j 0.0394751-0.0282868j -0.0165869+0.0378379j 0.0251977+0.0329339j 0.0476935+0.00398674j 0.0908939-0.0109088j -0.0518983-0.0119854j -0.0211648+0.0176414j 0.014095+0.0101871j -0.0282022-0.0272158j -0.0110027+0.0811172j -0.0484537+0.011654j -0.0396314-0.0175222j -0.00171624+0.0604214j 0.0921535-0.0280842j 0.0472948-0.074614j -0.0277212+0.091772j -0.0535147+0.0899756j -0.02014+0.0144235j -0.0231928+0.0290645j 0.0243153-0.00128999j -0.0767007+0.0208175j 0.0506346+0.012509j 0.019588-0.0413372j 0.00149503-0.0122302j 0.0242097+0.0541273j -0.0675628+0.0114314j 0.00855406+0.0209034j 0.0756164-0.0639021j -0.032788-0.0125527j 0.027367+0.00210053j 0.11286-0.0434038j 0.0525795+0.0933729j -0.0170748-0.0249742j 0.0166646-0.148093j 0.116127+0.0729371j -0.0355292-0.00455063j 0.0751816+0.0247926j 0.0356658+0.118013j 0.0207937-0.00472176j 0.0491574+0.00198316j -0.000492106-0.0517341j -0.00381457+0.0992758j 0.0492593-0.0670074j -0.00889545-0.0265638j -0.120775+0.027034j -0.130056-0.0184144j -0.00943195+0.0411388j -0.014821+0.099045j -0.070221+0.0108513j -0.0279039-0.0526619j -0.0800684+0.113574j 0.0544665+0.0717519j -0.0218323+0.0336818j -0.0602418-0.0399388j 0.0487395+0.0500399j 0.00299972-0.02268j -0.0205224+0.0495096j 0.0328951-0.1304j -0.0212426+0.0451416j 0.0329328+0.0256286j -0.00926392-0.0711029j 0.0284973-0.00780018j 0.0141275+0.0676604j -0.0485783-0.0019963j -0.0492552-0.00320907j 0.0111065-0.0257846j -0.0585418-0.0749742j 
0.136228-0.0725793j -0.0384691+0.0735655j -0.0139297+0.0337689j 0.0104734-0.00361752j -0.000830357+0.01072j -0.0248682-0.030836j 0.00143489+0.0414519j 0.0503657+0.0726898j 0.0345125+0.0582843j 0.0340475+0.0238816j -0.00144881-0.00228409j -0.0738609-0.0402903j -0.108919+0.0426321j -0.00552632-0.00965803j -0.0236018+0.000203218j 0.0280419-0.0184283j -0.0546436-0.0616299j 0.0838962+0.011022j -0.00358115+0.0128628j 0.0745731-0.0122311j -0.0550099-0.00761733j 0.00392124+0.0939959j -0.086563-0.0203249j 0.0279159+0.0632296j 0.0370573+0.0212815j 0.017715+0.00367177j 0.0245985-0.00833374j -0.0403815+0.0137519j -0.0378536-0.0245581j -0.0330018-0.046189j -0.00948758+0.0338583j -0.0175902-0.0420494j 0.0489408-0.00449237j -0.132929+0.0584536j 0.0701239+0.0258719j -0.0423622+0.0314814j 0.0125139+0.00834421j 0.0580314+0.0505821j 0.0676221-0.0248928j -0.0113602-0.0268303j -0.0603335-0.0184585j -0.0321599+0.0459096j -0.0156346-0.026176j 0.0124008-0.0130966j -0.0279605-0.00363223j 0.0048095+0.0169609j -0.0425532-0.00135818j 0.0238134+0.0575696j 0.0321313+0.0192468j -0.00431503+0.042878j 0.0176988+0.0840447j -0.0144528-0.0600643j 0.0626978+0.0336881j -0.04592+0.0235981j -0.00219164-0.0137996j 0.000779436-0.0381282j 0.0303971+0.0379726j 0.067511-0.0664187j 0.0097841+0.0442459j 0.0572513-0.0153308j 0.0294948+0.00737893j 0.0394973-0.0292142j -0.00582908+0.0620315j -0.0272428+0.0137725j 0.0276284-0.0031312j 0.0374642+0.00636859j 0.0376247+0.102001j 0.0483558-0.0774441j -0.148825-0.059118j -0.0074749+0.0863455j -0.0308036+0.0701217j 0.00770792+0.00789471j -0.000624673-0.053694j 0.00924067-0.0712568j -0.053571-0.0448079j 0.0361739+0.04029j 0.0319113+0.0872918j -0.0246969+0.0249959j 0.0354848-0.0337147j 0.0262742+0.0974011j 0.0445202+0.0334384j -0.133167+0.0747912j 0.0770502+0.0291074j 0.0297359-0.0211557j 0.0297462+0.00817266j 0.0645876-0.0569271j 0.0687582+0.000769768j -0.0102414+0.0137103j -0.0322359-0.0607959j -0.0532396+0.0337515j -0.112336-0.0922613j -0.0495227-0.00490087j 
0.0146282+0.00973099j -0.0840728+0.0120124j -0.0483703+0.000545906j 0.0350057-0.0191559j -0.00176052+0.0247307j -0.078775+0.0494122j 0.0107547-0.030148j -0.0645869+0.0684438j 0.0333716+0.0226515j -0.0285975+0.0262776j 0.0666787+0.00385835j -0.0234123-0.00820672j -0.0124491-0.0215407j 0.0548438+0.0200944j -0.0460783+0.0306373j 0.0283255-0.0138242j 0.0316646+0.0206433j 0.0119613+0.00130113j 0.0104512+0.0107997j 0.0570901+0.0448579j -0.0541756+0.0313466j -0.012691-0.125079j 0.0154009+0.00729657j -0.0490636-0.0489801j -0.0808079-0.0447689j -0.0305112+0.00150581j 0.0881369+0.0233j 0.0674675-0.0018965j -0.0136567+0.00335018j -0.0162202+0.0229471j -0.0745384+0.02048j -0.0241933-0.0497182j 0.00475126-0.0391097j -0.0334966+0.0476378j -0.0727534-0.0283295j -0.0397583+0.0957898j -0.00792801+0.0619893j -0.0247689-0.00703416j 0.012509+0.00515467j 0.0256056+0.00434684j 0.0353077-0.0391047j -0.0397113+0.000132327j 0.00641754+0.00459318j -0.011333-0.0748323j -0.018401+0.01247j 0.0434708-0.0343423j 0.0236734+0.0655451j -0.00445213-0.0702794j 0.0160777+0.028259j -0.0361142+0.0118028j -0.0966872-0.0115183j 0.0422058+0.0404043j -0.0492303-0.0254523j 0.0330881-0.0483227j 0.03517+0.082867j -0.0135378-0.0196563j 0.0178507+0.0537041j -0.0238247+5.50571e-05j -0.0212303+0.0453261j -0.0544161+0.128034j -0.0363824-0.0660424j -0.0927123-0.0123463j -0.0618452-0.0689874j -0.0339442-0.120074j -0.110274-0.0531402j -0.0276441+0.125074j 0.0147416+0.017354j -0.0144541-0.0261199j 0.0179285-0.00847322j 0.0779085+0.0169938j 0.0236995-0.0078512j 0.0110894+0.0445841j -0.0201372-0.0163775j -0.0333437-0.0527264j -0.0618719+0.0154622j 0.0576484+0.0445223j -0.0327666-0.0770714j 0.0413826+0.0822167j -0.0482893+0.0177347j 0.0369005+0.0230383j 0.034799-0.0542252j 0.0445236+0.11883j -0.025244-0.0463044j -0.0874113+0.0107339j 0.0205144+0.012493j -0.0149625-0.0628695j 0.0222418-0.0272727j 0.0627667-0.0224767j -0.00673811-0.066059j 0.0394404-0.069126j 0.00409339-0.000655761j -0.0971137-0.118213j 
-0.0758416+0.0750444j -0.0092101-0.0208575j 0.0287248-0.0442844j 0.0733862-0.021305j 0.0215704+0.0446203j 0.0221282+0.0616114j -0.0435932+0.0432573j -0.0545451+0.00402623j 0.136063-0.118243j -0.0366839+0.0281634j 0.108867+0.0298807j -0.0385545-0.0332833j -0.016724-0.0496314j -0.0174488+0.00169961j 0.00952646+0.0661835j -0.0237895-0.012145j -0.0907435-0.0155998j 0.125893-0.0444877j -0.00789363-0.0203159j 0.0552159-0.10917j -0.118256+0.0434751j -0.0281346-0.03979j -0.00707721-0.0394293j 0.0293908-0.0254962j -0.015612+0.0454347j 0.08885+0.026628j 0.101825-0.068545j 0.130473-0.0262279j -0.0173679-0.0567573j 0.083442-0.105215j -0.0356143+0.0500463j -0.107735-0.00720613j -0.0582471-0.0179133j -0.0322347-0.0809213j 0.00346993+0.087413j -0.0455483+0.002722j -0.105475-0.00835369j -0.031847-0.0088387j -0.066839-0.0499357j -0.0273399-0.0401143j -0.0335655+0.0154012j 0.0410504-0.00561839j -0.0269727+0.0149658j 0.1198-0.00932156j -0.0228561+0.00683367j -0.0382242+0.00383887j -0.00732837-0.0853805j -0.0316203+0.0339888j -0.0511834-0.0640274j 0.00885191+0.0600465j -0.00453481+0.0483138j 0.0876128-0.0361222j -0.0105107-0.0239542j -0.140069+0.103426j -0.0917048-0.0326392j -0.00634991-0.0628081j 0.0824433+0.00426842j -0.0609213+0.0306028j -0.033652-0.086535j 0.0132984+0.120794j 0.0409645-0.00463396j -0.00940144-0.0456484j -0.022165-0.0694001j 0.0531222+0.0738406j -0.101798-0.00654215j 0.047528+0.093272j -0.0649708+0.0785564j -0.0635329+0.0134269j -0.0316832+0.114933j 0.0412054+0.140111j 0.0881797-0.0571003j 0.0031705-0.0860608j -0.0366625+0.00408437j 0.0202819-0.0242977j -0.0165374+0.0625212j -0.00289334-0.0261802j -0.00916882-0.0547048j 0.000886163-0.0930878j -0.0355772-0.0669976j -0.0186705-0.086176j 0.0398455-0.0423569j 0.00110162+0.0654804j 0.0612473-0.0631373j -0.0470278+0.0448555j -0.0452918+0.0281228j -0.0169845-0.0567886j -0.00276776-0.0196901j -0.0307019-0.0338766j 0.0608438-0.0204241j -0.0261129+0.0786768j 0.0211906-0.0113762j -0.00758727-0.0584182j 
