-0.0097856-0.00825388j 0.0108664+0.00260929j -0.0258552-0.004672j -0.0013358+0.00227186j -0.00672805-0.00568894j -0.0195615+0.00935021j -0.0045082+0.0136141j -0.0187473-5.1734e-05j -0.00993841-0.0102732j -0.00824183-0.0200228j 0.00206126-0.00725134j -0.0216909-0.0184029j 0.0108402+0.00138481j -0.00627945-0.013321j 0.000581166-0.0285037j 0.0287769-0.0104067j 0.0121963+0.0104427j 0.017475-0.00521175j -0.00179236+0.000716908j 0.0112124-0.00225456j 0.0127669-0.00374452j 0.0072936-0.00274803j 0.00674706+0.00620301j 0.00380476+0.0086907j -0.0137244+0.00948752j -0.0213989+0.000926683j -0.0135134-0.004569j 0.00575809+0.00408518j 0.00446056+0.000176981j 0.0128903-0.00301885j -0.0213322-0.00345519j -0.00710094-0.00410994j 0.0073002-0.00385827j 0.0135723-0.00431131j 0.0184433-0.00407333j -0.00648996+0.00219568j 0.0206735+0.00138462j -0.0315703-0.0052381j 0.00505524+0.00882247j 0.0121634-0.00799934j -0.0699654-0.0294641j 0.0146025-0.0510052j -0.0186432+0.038466j 0.0158669-0.00176515j -0.0213232+0.00905728j -0.0334284+0.01732j -0.00967355+0.00611767j -0.00648114+0.00782065j -0.0107589-0.0138452j -0.00105823-0.00231724j -0.00891981-0.00382509j -0.00929767-0.00500287j 0.0199959+0.00649869j 0.0132281+0.00320687j -0.00651995-0.0170505j -0.01014+0.00449061j 0.00281105-0.00529687j -0.0120878+0.00157586j -0.00700462-0.00617595j -0.00564723+0.000386532j 0.00989628+0.00149091j 0.014277+0.0140377j -0.0259869+0.00152898j -0.012502-0.00662055j 0.0153157+0.00466482j -0.0256074-0.00811783j -0.0836038+0.00315285j 0.0744809-0.00317702j 0.203286+0.00156946j 
-0.00869389+0.00255583j 0.00068803-0.00261769j 0.0101655+0.0033347j 0.00786356+0.00618196j 0.00807616+0.0160655j 0.00550975-0.000693913j 0.00400485+0.0102984j 0.00516428-0.010014j 0.00180955+0.0447817j 0.00732682-0.0408512j 0.00854783-0.0367681j 0.00317253+0.014611j -0.0139321+0.01877j -0.0144923+0.0357925j 0.00860807+0.0276343j 0.00280237+0.0100692j -0.0178738-0.0146672j -0.0195418-0.0121718j 0.0267127+0.0109305j 0.00502541+0.0116069j -0.0414965+0.00160119j -0.00217683-0.00733898j 0.0229786+0.00480343j 0.00496687+0.00884629j -0.00354438-0.0136193j 0.0166056-0.00642838j 0.0128223+0.00981701j 0.000431247-0.0175494j -0.0186091-0.0177098j 0.0224456-0.016804j 0.0105247-0.00903061j 0.0160677-0.00751495j 0.034549+0.00156534j 0.0104675-0.0202247j -0.0359106+0.0104544j -0.0246796-0.00864421j -0.00527782+0.00340831j -0.00429657+0.00608996j -0.0465521-0.00422619j 0.0325439+0.00404133j -0.0163007-0.00527574j -0.0144942-0.000667565j -0.0018867+0.00893227j 0.0104596+0.00494451j -0.030512+0.00105527j -0.0113731+0.00751125j 0.0407948-0.000166163j -0.0125139-0.000104819j -0.000407106+0.0023165j -0.0258088+0.00236365j 0.00248143-0.00145144j 0.00343131+0.00843993j 0.00400868-0.000518242j -0.0261017-0.00769723j 0.000362623+0.00257136j -0.000128349-0.000518585j -0.0857852-0.00244902j -0.0041362-0.000116263j 0.0101975+0.00498567j 0.00578701+0.00129514j -0.00867211-0.00265383j 0.000360075+0.00033963j -0.00542721+0.00385672j -0.00368939+0.000981531j 0.0069703-0.00163427j -0.0272842-0.00203227j -0.0188374-0.00102651j -0.0214197+0.000233751j -0.0165016+0.000220477j 
0.00975764+0.00302858j 0.00198299+0.00119974j -0.00866469-0.00222569j 0.00134322+0.00192468j -0.0133294-0.0149308j -0.0126682-0.0278923j -0.0055409-0.00986487j 0.00306188+0.0346354j -0.0109591+0.0384616j -0.00343746-0.0342707j -8.7218e-05+0.014315j -0.000677558+0.0259806j 0.00706646-0.00649354j 0.0191602-0.0427792j -0.013057-0.0218943j 0.00803389-0.0105597j 0.000485978-0.00646643j 0.000227587+0.0110489j 0.00840227-0.014186j -0.00191997+0.00772012j 0.0143324+0.00448859j -0.0024561+0.00190938j -0.00195907+0.00718066j -0.00132233+0.000581874j -0.0026838-0.0257504j 0.000946912-0.0027573j 0.00210156+0.00673651j -0.00016752-0.0345765j 0.00799261+0.00864691j -0.00416241-0.0267155j 0.000774488-0.0311002j 0.00329598-0.0177516j -0.0129895+0.0147744j 0.00336295-0.00851058j 0.00546978-0.00152015j 0.0167652+0.00167695j 3.15656e-05-0.00794418j 9.39014e-05+0.00471542j -0.00588222-0.00865583j -0.0108625+0.00163428j 0.0130408+0.0101556j -0.00324188+0.00608803j 0.00502813-0.00909147j -0.0190685-0.0092315j 0.0154796-0.00121625j 0.000270277-0.00626789j -0.00281733+0.00369208j 0.0037386-0.00618545j -0.00258194+0.00346376j 0.00293158-0.00608225j 0.000949149-0.00313347j -0.00719405+0.000761689j -0.0373211+0.00126154j -0.0196804+0.00531949j -0.003852-0.00677043j 0.0402182-0.000957141j 0.059528-0.00297671j 0.0307953+0.00550133j -0.0227131+0.00507694j -0.0611186-0.000551353j 0.0279493-0.00334609j -0.0219743+0.00514497j 0.0124446-0.0056268j 0.00627431+0.00160905j -0.0063735-0.00182421j 0.0243938+0.000791395j 0.0471555+0.000422963j 0.0334094+0.000198497j 0.0368414+0.000654848j 
-0.00664831+0.00595719j -0.00127298-0.00160474j 0.000158527+0.00104609j 0.0113504+0.00509004j 0.0145524-0.0290661j -0.0119212+0.00957076j -0.0127765-0.00217583j 0.000513078-0.0406008j -0.00271971+0.0267605j -0.0104024+0.0477076j 0.0128811-0.0277165j 0.00171735-0.0117664j 0.0011269-0.0147147j 0.0015149-0.00438928j 0.0122246+0.0184318j 0.000508655-0.000979724j 0.0261484+0.00929541j -0.0317398-0.0306241j 0.00249457-0.00876758j 0.0272066+0.0114622j 0.0225838+0.0202697j 0.0178718+0.00673926j -0.0292709+0.00128142j -0.0174347-0.00924667j 0.0386368-0.0015588j -0.00327565-0.0115851j 0.0200696+0.000345267j -0.0358414+0.0036562j 0.00336435-0.00580667j 0.0175333+0.00287327j -0.0205799-0.0115776j 0.041859-0.00656736j -0.0124478+0.00967642j -0.00880593+0.00253276j -0.0262397+0.0137572j 0.0165606+0.0143469j -0.0248533+0.013217j -0.038503+0.0130814j -0.0382696-0.0289255j 0.0424278-0.00714301j 0.000831027-0.0141722j -0.0211687-0.0104165j 0.0151735+0.00402622j -0.00390416-0.00664332j -0.0100199+0.00318158j -0.01009+0.0135384j 0.03723-0.00179221j 0.043218+0.00188925j 0.0392684-0.00107889j -0.012933+0.00375014j 0.0329129+0.000410873j 0.0256043-0.00470218j 0.0249681+0.00209655j 0.00620958+0.00248728j -0.0419619-0.00590558j 0.0025055-0.00307797j 0.0299074-0.000342769j -0.0318709+0.000489363j 0.0602539+0.00433912j -0.001382-0.000728565j 0.0217437-0.000665775j -0.0370712+0.00395249j -0.0294365-0.00436354j -0.00280157-0.000454795j -0.0215285+0.0012668j -0.00237772+0.000514481j 0.0325965+0.00379718j 0.00136807-0.000386821j 0.0183846-0.000944475j 
-0.00423529-0.00280719j -0.00215926+0.00167661j 0.0108931-0.008899j -0.00222469-0.00792341j 0.0191604+0.0147994j 0.015214-0.0117372j -0.00948557+0.000855258j -0.00905414+0.0367932j 0.00542046+0.0124488j -0.00416713-0.0113181j 0.00343221+0.0153898j 0.00363939-0.0145202j -0.00314846-0.00336848j -0.00979279+0.0132867j 0.00933779+0.0150124j -0.0236631+0.00964568j 0.0178649-0.0032266j 0.00800636+0.024745j -0.00700097+0.00961449j 0.00127861-0.00216274j 0.0354998-0.0205407j 0.0163887-0.00281717j -0.00244555-0.00529599j -0.00587703+0.00831282j 0.00724749-0.00390413j -0.0194732+0.00445623j -0.0151056-0.00458614j 0.000123491-0.00735369j 0.00885676-0.0383906j -0.0110118-0.0111704j -0.0120141-0.000712831j -0.0313209+0.0273293j -0.0461221-0.0271895j -0.0197621-0.019739j 0.0198004+0.00688239j 0.0324097+0.00112691j -0.00658734+0.0122631j 0.00753824-0.0113083j 0.0705919+0.00107133j -0.0300323-0.00435552j 0.0121447-0.00662818j 0.012594-0.00359112j 0.0215116+0.00781074j -0.0192631+0.00698513j 0.0114391+0.000610723j -0.00839823-0.00671282j -0.00296239-0.0095922j 0.0124786-0.00133632j 0.0286713-0.0100007j 0.0306204+0.00344155j -0.0190902-0.00416774j -0.0226942+0.00367751j -0.00884438+0.00284614j 0.0390099-0.00299205j -0.00381007-0.00432862j -0.0368746+0.000388124j -0.0479792-0.00414991j -0.0209849-0.000751713j 0.0303869+0.00432468j -0.0172283-0.00248369j -0.0201676-0.00199989j -0.0489396+0.000879792j -0.0202754-0.00422125j 0.001921-0.00101601j -0.00167011-0.000966581j 0.0189608+0.000122103j 0.0122857+0.0034593j 0.0191062-0.000736904j 0.00621344-0.00108589j 
0.00286005+0.002327j 0.00777282-0.000885153j -0.0186234+0.00222861j 0.00346119-0.00388122j -0.0241072-9.0303e-05j -0.0232085+0.00978209j -0.00769906+0.0349332j 0.00780912-0.0351191j -0.011034+0.0110984j 0.000271127+0.0152502j 5.49109e-05-0.00335028j -0.0048172-0.0043611j 0.00901722-0.00877997j 0.00625955+0.0133921j -0.00127321-0.00394848j 0.0106084-0.00623255j -0.0127867+0.00421954j -0.0199176-0.0140599j 0.0343011+0.01107j 0.0204695-0.00442961j 0.0268513+0.0253281j 0.0159003-0.0212313j 0.0217419-0.00104876j 0.00212827-0.00371964j 0.037402-0.0152217j -0.0171538-0.0194336j 0.0524002+0.00788495j -0.00742955+0.00979673j -0.000251755-0.0343026j -0.00791432+0.00262614j -0.0122467+0.00595951j 0.0221299-0.00939903j -0.0253489-0.011487j 0.0100399-0.0175201j -0.0685669-0.0181382j -0.0498685-0.00347018j 0.0136222+0.0159367j 0.0549481-0.0112339j -0.0322874-0.00630739j -0.0323366+0.0168717j 0.0157152+0.01212j 0.0284054+0.00581379j 0.0728205-0.0120943j 0.013072+0.00166717j -0.0243871-0.00037715j 0.004978+0.00250201j 0.0294969-0.00768772j -0.0294501-0.00618888j -0.00546969+0.011386j 0.0357769+0.00153305j -0.00104443-0.000502043j 0.00596813+0.00313458j 0.0140511-0.0034463j -0.0250882+0.00988894j 0.0322926-0.00276207j 0.0409066+0.00391661j 0.0145826-0.00175051j 0.0573126+0.0113256j -0.0119419+0.00154688j -0.0389187-0.00166457j 0.0305678-0.00603541j -0.0182954+0.00568749j -0.0133115-0.00892893j 0.0296622-2.58502e-05j -0.0394816+0.000209239j 0.0651926+0.00192152j 0.0372291+1.90579e-05j 0.0628313+0.00064976j 0.0342004+0.000679925j 
0.00014685-0.0015087j 0.00231708+0.00107744j -0.00578639+0.00433495j -0.00541331-0.00842187j 0.0120324-0.0176359j -0.000525879+0.0193803j -0.00594755-0.00506107j -0.00123895-0.0158624j 0.000516987+0.0190684j 0.00678899+0.00871186j -0.00495433-0.0213397j -0.00517367-0.0231218j 0.00704819-0.0194504j -0.00960161+0.0037919j 0.0136583-0.000505495j -0.00115764+0.00997166j 0.0180693+0.0101009j 0.00403271-0.0031398j 0.000101927+0.0141732j 0.0162009+0.00533835j 0.019388-0.00645538j -0.00245349-0.0113222j 0.0198148-0.0107796j 0.00363291+0.00128414j 0.00669414+0.00217594j -0.0122317-0.00322976j 0.017111+0.00949751j 0.0147929-0.0183694j -0.00196643+0.0463808j -0.0123482-0.0014413j -0.00231297+0.00493711j -0.0224924-0.0178642j -0.024542-0.0153389j -0.00116998-0.0115937j -0.0235541+0.0013387j 0.00186301-0.00490746j 0.0050327-0.00123159j 0.0428568+0.00730341j 0.0276364-0.00708977j -0.0422421+0.0103464j 0.0310167-0.000399791j 0.0224852+0.000957141j 0.0604805-0.00640428j 0.00611958+0.00775954j 0.00972908-0.00144062j -0.00786811-0.00487911j -0.0154808-0.00791748j -0.0252344-0.000352099j 0.00198601-0.00311968j -0.0220524-0.00137676j 0.0385203+0.00602629j 0.0401601-0.00295771j 0.0333335-0.00233549j 0.00838618+0.00239487j -0.00932368-0.00432362j -0.0376197+0.00473721j -0.0330223-0.000178967j -0.00297383+0.0050277j -0.00778076-0.00143568j -0.0104507+0.000350947j 0.00357333-0.00280188j -0.0399406+0.00258701j -0.0191088-0.00847835j 0.0196757-3.4579e-05j -0.0235569+0.00155581j 0.0291612-4.44058e-06j 0.0363284+0.00152626j 0.0335228+4.6169e-05j 0.0311763-0.000750525j 
0.00415042-0.00106942j -0.00975776+0.00213714j 0.0149674-0.00112247j 0.0107604-0.00548963j 0.0102679-0.0322332j 0.0110217+0.025743j -0.00222559-0.0412257j -0.000169466+0.00791745j 0.00452854-0.0135216j 0.00505713+0.0461469j -0.0157125-0.0337361j 0.00430267-0.0017501j -0.0148452-0.0147112j -0.0110659-0.00820254j 0.00430801-0.00390643j 0.00168995-0.0040735j 0.00839142+0.0143342j 0.0410281+0.000113616j -0.0104151-0.00329272j -0.00838002+0.0127328j -0.0149668-0.0102999j -0.0306291+0.0215194j 0.033897-0.0205175j 0.000272719-0.0284173j -0.0152369-0.00542178j 0.0101276+0.0162885j 0.0379642+0.00183119j 0.0375184-0.0111094j -0.00134504-0.0312342j 0.00304627-0.028753j 0.00647141+6.41411e-05j -0.0258265-0.00312557j 0.0263639-0.00494806j -0.00213369-0.00285857j 0.0461329+0.00508029j 0.0506514-0.00560782j -0.000907234+0.0170504j -0.016493-0.00465618j 0.0101301-0.000636001j 0.00404399+0.0111848j 0.0329168+0.00231196j -0.0287996-5.98622e-05j -0.00316162+0.00836712j -0.00944102-0.0068232j 0.0160402-0.00630612j -0.0368136-0.00649872j -0.0233164+0.00185612j -0.0320607+0.00155331j 0.000940729-0.00984632j -0.00916305+0.00639538j 0.0017936+0.000765779j 0.00868033+0.00271331j 0.0728971-0.0035319j 0.000509071+0.00454118j 0.00864791+0.00239496j 0.0223854-0.0015364j -0.00135844-4.84069e-05j -0.0229416-0.0027565j -0.024613+0.00273412j -0.00574014+0.00177397j -0.0274553-0.00424691j 0.0104984+0.000820718j 0.0201116+0.00103277j -0.000481994+0.000247282j -0.0016148+0.000449948j -0.0285934+0.00156336j 0.0233287-0.000729619j -0.0224861+8.74901e-05j 0.0108173+0.00091768j 
0.00467889+0.00201417j -0.0042897+0.00136465j -0.0165366+0.0216931j -0.0221004+0.00151426j 0.0138916-0.0225127j -0.00706407+0.00610073j 0.0058352-0.0167881j -0.00601751-0.034627j 0.00225954+0.0239089j -6.93331e-05-0.0623291j -0.0080709-0.0366374j 0.00766268+0.0271776j -0.000932393-0.00388487j -0.00592503-0.0145528j -0.0100889-0.0151805j 0.0237738+0.0139402j 0.0230883-0.000832966j -0.000389474-0.00942189j -0.0346187+0.00517164j -0.0173949+0.0179765j -0.00317152-0.000347762j -0.025699+0.00940476j 0.00056435-0.000649919j 0.0103361-0.0183071j -0.025276+0.00762804j 0.024567+0.0111812j -0.0252356-0.00731512j 0.00986406+0.036714j 0.00197886-0.0239529j -0.019719+0.0225007j 0.0253193-0.00836402j -0.0111238+0.0110207j -0.0108048-0.00962657j -0.00455838+0.0185871j 0.00609636-0.00272851j 0.00813443+0.00175171j 0.0120798-0.00648287j 0.0536358+0.0156798j 0.00750007+0.0024758j -0.010547+0.00182062j 0.0112339+0.00524079j 0.0043479+0.0065087j 0.0224449-0.0109434j 0.00993561-0.00475978j 0.0503288+0.00389104j -0.0379383-0.0048874j -0.00354308+0.0015212j -0.0159764+0.00435465j -0.00269084-0.00525269j -0.0644161+0.0059091j 0.0142316-0.00301505j 0.00846958+6.36214e-05j -0.0216579+0.00257898j -0.0262827-0.00304826j -0.0227843-0.00709252j 0.00096341-0.000121281j 0.0229857-0.00378858j -0.000676312+0.00277284j 0.00464814+0.00179546j 0.000378355+0.00134753j 0.0157647+0.00246707j -0.0166985+0.00315041j -0.00852733-0.00347936j 0.00750373+0.00017563j -0.00973993-0.0006404j -0.000395864+0.000134041j 0.0231566-2.29865e-05j 0.0178896+0.000375935j 0.0294538-0.00062029j 
0.00689907+0.00230065j -0.00575227-0.000117049j 0.00549362-0.00366356j 0.012296+0.00489623j -0.00658565+0.00355644j 0.00733918+0.0192896j -0.00194782-0.00904916j 0.00654065-0.0300725j -0.00333274+0.0203408j -0.00536411+0.0025355j -0.0167493-0.0466286j 0.0240013+0.0326046j -0.0125261+0.0176834j 0.0132625+0.0275393j -0.0148199-0.00732285j 0.0114922-0.0208727j -0.00108849+0.0076716j -0.0135483-0.0104013j -0.0018414+0.0108995j -0.10533+0.014902j 0.0427493-0.0137292j 0.0201434-0.00940317j -0.0159945+0.000939035j 0.0239158+0.00316628j -0.0334402-0.00277606j 0.0348755+0.00535427j -0.0110747+0.00994754j -0.0102057-0.00727069j 0.0268588+0.0237784j -0.00827484+0.00146005j -0.0109073+0.0065071j 0.045017+0.0112616j -0.0176922+0.00114914j 0.00968981-0.00844451j 0.0232095+0.0105358j 0.0169564-0.0260266j 0.0179675+0.0150777j -0.000839924-0.0194273j -0.0236026+0.00554444j 0.0439207-0.00219186j -0.0270176+0.00206246j -0.0138315+0.0135304j -0.00749021+0.0229449j 0.0363285-0.0093897j 0.0255794-0.000154506j -0.0383158-0.00511074j 0.0195391+0.00614285j 0.000964464+3.14846e-05j 0.0328573+0.00322209j 0.0222706-1.31957e-05j -0.0371199+0.00552958j -0.0280805-0.00224296j 0.0351686-0.00377519j 0.0158582-0.00228325j 0.00494398+0.00302257j -0.0258239+0.000514944j 0.0137097+0.00335915j 0.0113528-0.00281299j -0.00887615-0.00271781j -0.0170592-0.000423946j -0.0196588-0.000523066j 0.0381958-0.00326768j 0.0431166+0.0055203j -0.023801+0.0021139j 0.00577475-0.000430598j -0.0312928+0.000189247j -0.000743916-0.00119584j -0.0366592-8.90837e-05j -0.00483637+0.00136492j 
0.0117488+0.000402025j -0.00374259+9.92803e-05j -0.00111143+0.0125628j -0.0182441+0.0068538j -0.00422386+0.0322864j 0.00492389+0.00290636j 0.00583829+0.0143384j -0.00903866-0.044054j -0.00112564-0.075802j -0.00503449-0.00308741j -0.00166729+0.00172185j 0.00401771+0.014289j -0.00369602+0.0174179j 0.00627167+0.0191703j -0.0136076-0.0040335j 0.00273922-0.00367147j 0.00339894-0.00572741j -0.0099999-0.00403319j -0.0420225+0.00429133j -0.0292682-0.0131202j 0.00504718-0.00725394j -8.94243e-05-0.00113329j -0.0307202+0.00798897j 0.0110515-0.0160486j -0.0235315+0.00454506j 0.0113882+0.0137384j -0.0404715-0.0015599j -0.0151031-0.0151244j 0.0017638-0.00895878j 0.00615932-0.0279392j 0.00210448-0.0289055j 0.00252324-0.0103504j -0.0208189+0.0161864j -0.00423629+0.0101542j 0.00203352-0.00895007j 0.0073577+0.00640761j 0.012493-0.000175807j 0.0359896-0.00697717j 0.0149135-0.00593263j 0.00527633-0.00903342j -0.00202991+0.00995881j 0.0104798+0.00932465j 0.026595-0.000758716j 0.0175614-0.00435628j -0.0227099-0.00713884j -0.0157764+0.000257354j 0.00200199-0.00287054j -0.0155705-0.00241282j -0.0192263-0.00568473j -0.0493428+0.00138609j -0.0105284-0.00890556j -0.0141139+0.00616096j -0.0283726-0.00252558j 0.0037909+0.00185264j -0.0076344-0.00596404j -0.0216055-0.000327828j -0.00283529+0.000833231j 0.010967+0.00232091j 0.0105147+0.00156249j -0.00648055-0.00298881j 0.00434974+0.000259625j -0.00274163-0.000117757j 0.0193852-0.00278742j 0.00795676+0.0011151j -0.00210853+0.00151779j 0.0138388+0.00199679j 0.0386226-1.29654e-05j 0.00616796-9.80046e-07j 0.0278557-9.09145e-05j 
-0.00789361+0.00225132j -0.000195191-0.00728907j 0.0295902-0.012189j 0.0119786+0.025817j 0.00898338+0.0118575j 0.00225412-0.00553966j -0.00205386-0.0144931j 0.0185051+0.0187479j -0.00498453+0.00234434j -0.00872905+0.00311405j 0.00260314-0.00435092j -0.00569164+0.00350469j 0.0143881+0.0325346j -0.0225723-0.0127555j 0.0104122+0.0164625j 0.00314118+0.00369744j 0.0253993-0.0161798j -0.036352-0.00671346j 0.0470349-0.0195365j -0.0290957-0.00302552j 0.0301241+0.00388062j -0.0467957-0.0115028j -0.0301952+0.0112303j -0.0596148+0.0186368j -0.0579319+0.0166017j 0.0404703-0.0148308j 0.0292999-0.00480577j -0.0338024-0.00241235j 0.0103378-0.00255897j 0.0536289+0.0134889j 0.0142786+0.00300815j 0.0408914+0.0159682j 0.0137969+0.0141908j -0.0181477-0.000502393j -0.00970308+0.0137349j 0.0441102+0.0291941j -0.0263217+0.00371791j -0.00479746+0.0155973j -0.0259406-0.0070441j -0.0139997-0.0133497j 0.00764091-0.0126279j -0.0111636+0.00796002j 0.0357925-0.00390333j -0.0243571+0.00347649j -0.00983282+0.0012463j 0.0160194+0.00836803j 0.0035831-0.0034894j -0.0608214-0.000397438j -0.0114297+0.00349753j 0.0344984+0.000453289j 0.01653+0.000304935j -0.00627315-0.000944693j -0.0179669+0.00307001j -0.0212998+0.0022095j -0.015673-0.0115522j -0.0216863+0.00448186j 0.000698265-0.00453746j -0.0542721+0.00639262j 0.00641441-0.000760395j 0.0319659+0.000781829j 0.00167936-0.000731303j -0.020891+0.00297097j -0.00564649-0.00919715j -0.0244356-0.000755323j 0.023826-0.000165738j -0.00889725-0.000172982j 0.114451+0.0037543j -0.0336615-0.000409543j 0.0854797-0.00121873j 
0.0228622-0.00452197j 0.0099702-0.00135321j -0.00274303-0.0106776j -0.0101889+0.0224171j -0.0395841-0.0142223j 0.00489414+0.0259666j 0.00436901-0.0642356j -0.0048655+0.0197888j 0.00322524-0.00999487j -0.00161195-0.00565322j 0.00685096-0.033005j -0.00964229-0.00511723j 0.0269809+0.0215366j 0.0181301-0.0243796j -0.00888237+0.00487792j -0.000417038-1.01486e-05j -0.0402828+0.0115151j -0.0433244+0.00466057j -0.0228745-0.0176412j -0.0597284-0.0110165j -0.0868537-0.00242773j 0.0302209-0.0368377j -0.0400769-0.0176136j 0.0278615+0.00753467j -0.0519345+0.0210731j -0.0161565-0.0142785j -0.0472564-0.013129j -0.013853-0.00794425j -0.0223442-0.0138734j 0.0438426-0.000529477j -0.0346314-0.00213586j -0.0298737+0.00317357j 0.0229499+0.00708239j -0.00231433+0.00589668j -0.0218447-0.000931643j -0.013606-0.0179537j -5.37514e-05+0.0106788j -0.00471576-0.00107326j 0.0322905-0.00239033j -0.018439-0.00522016j 0.00102052+0.0105212j 0.0292463+0.00297431j 0.0160958-0.0086612j 0.0552025-0.0014819j 0.0108178-0.00302341j 0.00115281-0.00559061j 0.0012047-0.00491918j 0.0128242-0.0100905j -0.0211711+0.0154703j 0.0301399+0.00329628j 0.0427188+0.00285468j 0.0409345+0.00126144j -0.00503369-0.00495757j 0.00531308+0.00288218j 0.00463129-0.00233739j 0.0260357+0.000695832j 0.0131201-0.00144021j 0.0270398-2.48393e-05j -0.0282486+0.00166795j -0.0418745+0.000908757j 0.00304562+0.00185332j 0.00626923-0.00266223j 0.022464-0.000401477j 0.0175282+0.00278918j -0.0161253-0.00218618j 0.0267406+0.00258763j -0.00601288-0.00288252j 0.0257645-0.000155824j -0.00388163+0.000936968j 
-0.0204769+0.00631187j 0.0017802+0.00454412j -0.017469+0.0296631j 9.97953e-05-0.00178339j -0.00784184-0.0305881j -0.010538-0.00589888j -0.0095293-0.00736757j -0.0146553-0.0305432j -0.00313979-0.00359074j -0.00420944+0.00319044j -0.00669428-0.0225446j 0.00662758+0.0105982j 0.00364795-0.0226869j 0.00347674-0.0218202j 0.0072912-0.00602582j -0.0156634+0.0148696j 0.0068491+0.00819942j 0.0127286-0.0106173j 0.0196732+0.006582j -0.0126585+0.00992561j 0.0223551-0.0141567j 0.0345368+0.00654454j 0.0158435+0.00733581j 0.0268082-0.00602646j 0.0179955-0.00127574j 0.00183985-0.0229038j -0.00789705+0.00691726j 0.0114183-0.0138665j 0.0139215-4.1202e-05j -0.027673-0.00221258j -0.00413425-0.000772836j 0.00476923+0.00897529j -0.0279982-0.0140715j 0.0120013+0.0222506j 0.0225429+0.0134102j -0.00549848+0.00724157j -0.0111736-0.0107802j -0.0255581+0.0173466j -0.00832327+0.00918803j 0.0235126+0.000670721j -0.0348795-0.0137794j -0.00801946-0.00790185j -0.0536936+0.00546608j -0.0222871-0.00833163j 0.0646819-0.00104888j 0.0290526+0.00357994j 0.0567823+0.00174663j -0.0536717+0.00466295j -0.010784-0.0014858j 0.0159393+0.00262406j 0.0247991+0.00128462j 0.0146587+0.000708302j -0.00840075+0.00264093j 0.0366881-0.0051858j 0.000683825+0.00312481j 0.0122036+0.00151449j -0.0271383-0.00142179j -0.0032567-0.00575259j 0.0196951-0.00138702j 0.0424352+0.00480831j 0.0113603+0.00562911j -0.0249839+0.00171422j -0.0352563+0.00446677j -0.00769184-0.00152673j -0.0116334+0.00161686j -0.0188928-0.000945196j -0.0569563+0.00235748j -0.00377881-0.000349415j -0.0419257-0.00162919j 
0.0269401+0.00394735j -0.0288568+0.00541466j -0.0172473-0.00442515j 0.0234539-0.0122675j -0.00865959+0.0073939j 0.0128181-0.00818062j -0.00138112+0.00921584j -0.000213867+0.023267j -0.00568448+0.0273147j -0.0160281+0.00864944j 0.00235679+0.00594026j 0.00516377+0.0253601j -0.0422975-0.0210306j 0.0383883+0.00643277j -0.0169963+0.00391341j -0.0223602-0.0281691j -0.0202793+0.00887413j 0.0200358+0.0206105j -0.0483025+0.00948973j -0.00269839-0.0038598j 0.000273598+0.0108305j 0.0250889+0.015021j -0.0077735-0.0256581j 0.0154945-0.00544981j 0.0216284-0.000420944j -0.0378766+0.0140515j -0.00269711-0.0130564j 0.00523213+0.0250112j 0.00544228+0.00171443j 0.00754763+0.0121268j -0.0390298-0.003769j 0.00228754-0.0161386j -0.0100897+0.0192532j -0.00160076-0.0140705j 0.0316628-0.0137378j 0.0380108-0.0182491j 0.0166574+0.0073122j -0.0184316-0.0131822j 0.036773-0.0272696j 0.0276539-0.0241427j -0.0102084+0.0014911j -0.0238003-0.00368922j -0.0153561+0.00719159j 0.0226316-0.00711613j -0.0780246-0.0011588j -0.0436199-0.0199369j 0.0259937-0.0036981j -0.0423247-0.00782241j -0.0497331-0.00226075j -0.0270983-0.00341188j 0.00259599+0.00393064j -0.00252364-0.006445j -0.0134462-0.00038279j 0.0576147+0.0118329j -0.00580509+0.00311958j -0.00705492-0.00294109j 0.0416633+0.00336965j 0.016198+0.00449951j -0.0160514+0.00285091j -0.0228019-0.00409105j -0.0265038-0.000986838j -0.0120374-0.00404066j 0.0512422-0.00360958j 0.00540351+0.0015122j 0.000560334-0.00143263j 0.00304335+0.00184163j 0.0548789+0.00100986j -0.00182569-0.00167547j 0.000485376+0.00120488j 
