0.00796235+0.0707462j 0.00277238-0.0257701j -0.123668+0.0192912j -0.175189-0.097271j 0.0350897-0.119097j 0.00196793-0.226528j -0.120188+0.15905j 0.0154859+0.0382552j -0.0399067+0.113251j -0.055534-0.105267j 0.150671+0.0607604j 0.0235492+0.00697546j -0.0744498-0.060627j -0.0167555+0.299266j -0.0601204+0.165617j -0.0575235-0.00605074j 0.124676+0.0171392j 0.0464277+0.0218074j -0.0684334+0.0251523j 0.081164-0.118776j -0.0874263+0.219635j 0.0785851+0.0247306j 0.187565+0.0391595j -0.0461603+0.266828j -0.101525+0.0786336j -0.0601652-0.115805j 
0.00498735-0.0515328j -0.0190994-0.0128056j 0.121743+0.0700922j -0.021664+0.0717371j -0.0252631+0.0396486j 0.0415084+0.07859j -0.000726567+0.00537607j -0.0134668-0.0449014j -0.0129936-0.0176988j 0.00792021+0.0548274j 0.00406112+0.0903408j 0.0281751-0.0300971j -0.0102346+0.0391036j 0.0305185-0.0644264j -0.0181739-0.0237183j -0.0112415+0.0381502j -0.0558115+0.0200151j 0.00169618-0.0822353j 0.00800753+0.0587766j 0.00686205+0.125031j 0.00766907-0.132662j -0.0328235+0.0596622j 0.030413-0.0638142j 0.0954407-0.0229259j 0.0373974-0.0258359j 0.00466339+0.0648508j 
-0.0215214+0.0442328j 0.0237018+0.0384404j -0.0419164-0.0955162j 0.00339877+0.0158524j 0.0380475+0.010324j -0.0937487-0.0647078j 0.0318608+0.0212475j -0.0299933+0.113204j -0.0241257-0.0117365j -0.0509641-0.000251176j 0.00555855-0.00226985j 0.00516533+0.0713809j -0.179472-0.00555873j -0.0520424-0.000407031j 0.0363575+0.00911156j -0.0472959-0.0538642j 0.00977741+0.0744759j 0.0391668+0.0885086j 0.0284242-0.0826561j 0.0235455-0.0451671j 0.00425807+0.103095j 0.187587-0.0650386j -0.116149+0.00473632j -0.0261877+0.0147512j -0.0295859+0.0323535j -0.0242749-0.044563j 
-0.0196146+0.0367115j 0.0234946+0.00847561j -0.0376497-0.0411912j 0.00232782-0.0234911j 0.0144208+0.000693824j -0.0305266-0.0457666j -0.00270297+0.0129577j -0.0301286-0.00819547j -0.0220132-0.00437918j 0.0173899-0.00628433j 0.00834032-0.0373609j -0.0256991+0.0320474j -0.0552018+0.000939443j -0.0489244+0.00130329j 0.0156556+0.000751777j -0.00182267-0.010522j 0.0214097-0.0122842j -0.00137609+0.042566j 0.0136098-0.0197199j 0.0495437+0.00798675j 0.00986781+0.0477998j 0.0426981-0.0216989j -0.0500483+0.00338699j -0.0205606-0.0106882j -0.00361214+0.0163443j -0.0067016-0.0127397j 
-0.0252833+0.033024j 0.0102398+0.0382514j 0.0158495-0.0944537j 0.0806106+0.0442435j -0.00453761-0.00231683j -0.0037948-0.0409842j 0.057979+0.0554654j -0.00521227+0.0447836j 0.0290152+0.0144148j 0.0149817-0.00325253j -0.0276171+0.0241443j -0.00564857+0.000657607j 0.00480586+0.0479451j 0.0362126+0.0331259j -0.0134675-0.0193993j -0.0610926-0.0196956j 0.00686631+0.0374582j 0.0853741+0.0494626j 0.0282835-0.0090789j 0.00634317-0.0691552j -0.0429499+0.0346504j -0.0269684-0.0210246j -0.0664818-0.0245163j 0.00951651-0.0408266j -0.0106358-0.00364249j -0.0125779-0.0214451j 
-0.0172475+0.0180264j 0.0143077+0.0035924j -0.0250042-0.035361j 0.00383853-0.0352342j -0.000984357-0.0121448j -0.0330044+0.0116127j -0.0176097+0.0227837j -0.0262959+0.0142303j 0.0219853-0.0156749j 0.0198373-0.0104497j 0.029923-0.00277529j -0.0143026-0.00561388j -0.0142535+0.0145278j -0.0238845+0.000798797j 0.0314317-0.00670146j 0.00122055+0.0167445j 0.00339953-0.00959842j 0.0172636+0.00443447j 0.0201192-0.0148064j 0.0450902+0.0443617j 0.00351412-0.0112386j 0.00153242+0.019632j -0.0360493+0.0128954j -0.0182405-0.0243463j 0.00955049-0.00623179j 0.00343299+0.00207659j 
0.0268343-0.00243594j 0.000556404-0.0133937j 0.0156123+0.0403076j -0.0419542-0.00935577j 0.00950121-0.04293j -0.0256365-0.0333251j -0.0551161+0.0104846j -0.0123856-0.00768964j -0.0130803+0.00893764j 0.00537867-0.0403655j -0.0177859+0.0367155j 0.00584098+0.0076771j -0.00245095-0.0497507j -0.0369398+0.023966j -0.0174037+0.0268005j 0.0190616-0.0255315j 0.026874-0.00990221j -0.0601907+0.0358084j -0.0106977-0.0152622j -0.0498943-0.0100094j -0.0155401+0.0302029j 0.0123286-0.0150526j 0.0664756+0.00733475j -0.0155887+0.0621221j -0.00394618+0.0181693j 0.0108152+0.00732177j 
-0.0225871-0.00240935j 0.00521655+0.0300296j -0.0204886+0.00436462j -0.00717779-0.0230774j -0.036473+0.0200673j 0.00909688-0.0159717j 0.00245855-0.00184358j -0.0282522-0.029158j 0.0319188+0.0117897j 0.032426+0.0281653j 0.0401364+0.00218055j -0.0181157-0.0143004j 0.0462257-0.00723732j 0.0266665+0.0275601j -0.0162509+0.00088069j 0.00445114-0.00620005j -0.00112327-0.00481761j 0.0078928-0.0309642j -0.0156753+0.0299424j -0.0231975-0.0422618j 0.0234188-0.0114959j -0.0347764-0.0201555j -0.018277+0.00257571j 0.0123071-0.0301486j -0.000925559+7.97902e-05j -0.00317157-0.00794793j 
-0.00925667+0.0302412j 0.0298055-0.0122534j 0.00937826+0.0133393j 0.00762984-0.00437153j 0.0160599+0.0161211j 0.0588388-0.00709443j 0.0280919-0.00932022j 0.026653-0.0421714j -0.0221301-0.015691j 0.0278703+0.0159876j 0.0271191+0.0205229j -0.0098868+0.00874311j 0.0634021+0.00638347j 0.0544913-0.050709j -0.0230193-0.0174214j 0.019289+0.0259211j -0.0166665-0.0140229j -0.0109744-0.0315779j -0.0250942+0.0733528j 0.0106307+0.0116106j 0.00958991-0.0117592j -0.0340351+0.00279099j 0.0100823-0.00159223j 0.00441668-0.0230765j 0.0251102-0.00337527j -0.00548701+0.0102401j 
-0.0265218-0.0116749j -0.0060057+0.00509286j 0.048472-0.04743j 0.0769529+0.0332646j -0.000968364+0.00574819j 0.0337084+0.0629438j 0.00211054+0.00429899j 0.0103184+0.0307577j 0.0250692-0.0025243j 0.0299403-0.00129432j -0.0223185+0.00201238j -0.00298504-0.0325851j 0.0630807+0.0165225j 0.0368087-0.0201971j -0.000304379-0.0467679j -0.00602746+0.018553j -0.0236386+0.00405432j 0.0501581-0.0421742j 0.00364844+0.0446229j -0.028818-0.00805756j 0.0161347-0.0519412j -0.0336438-0.0183799j -0.0301646-0.033233j 0.0344818-0.0450994j 0.0239109-0.0200539j -0.00562758+0.00534989j 
-0.0348674-0.065662j -0.0814194+0.0487279j 0.0908362+0.0944099j -0.0760507+0.102683j -0.0290078+0.0332184j 0.0347824+0.0336798j -0.00651426-0.0126002j -0.0269484-0.0504955j -0.0400264+0.00795961j -0.0245265+0.0123242j -0.00503716+0.0516347j 0.00471863-0.0328359j -0.0371193-0.0316631j -0.0232632+0.00565027j 0.0246715-0.0318131j 0.00618476+0.0215788j -0.00585562-0.0179912j 0.0101814-0.0877089j 0.0107468+0.0145936j -0.0098506+0.0428558j 0.0398678-0.0778549j -0.0585162+0.0387477j 0.0401079+0.00258195j 0.0709752+0.022576j -0.00427269-0.0139087j -0.0276835+0.0386982j 
0.0743676-0.0639607j -0.0444699-0.060479j -0.0595472+0.105873j -0.0733213-0.0932517j -0.0079293-0.000702985j 0.0206525+0.045262j -0.0143633-0.00886061j 0.0301485-0.0746042j -0.0316541-0.0196921j 0.0246967-0.0469668j 0.00569576+0.00931482j 0.0414257-0.018398j 0.0605358+0.0352874j -0.0297069-0.0101832j -0.00481712+0.0184632j 0.0336889+0.0783377j 0.0323044-0.0620131j -0.0597885-0.0340726j -0.0235687-0.0346332j 0.0126388+0.0299347j 0.0410499-0.0161216j -0.0108606+0.0273127j 0.0585002+0.0199738j -0.00647904+0.00946048j -0.018412+0.0216691j 0.0137748+0.0077322j 
