-0.00415405-0.0363862j -0.028178+0.0630554j -0.0456996-0.0114535j -0.0425538-0.0315598j 0.000221831+0.00521702j 0.00353772-0.0139494j -0.0323166-0.0834835j -0.0157015-0.0237212j -0.00338192-0.0373644j -0.00937345+0.00996658j 0.000286993+0.0303313j 0.0161363-0.0194493j 0.00505018+0.0291389j 0.0209312+0.021823j 0.0352877-0.0468505j -0.0150359-0.0052763j -0.00715075+0.049108j 0.0244165+0.031973j 0.0303642-0.0112441j -0.003007-0.00566916j 0.0022861+0.00176892j -0.0227655-0.0126336j -0.0161782-0.0127988j -0.0274677-0.00744089j 0.0178392-0.0328172j 0.00340664+0.0302931j -0.0149708+0.00295683j 0.0205191-0.0133924j -0.00149377-0.0167557j -0.0109713-0.0178441j -0.00116637-0.0180278j -0.00859549-0.0215007j 0.00841308-0.00371889j -0.00942781-0.0113869j -0.0226144-0.018863j -0.0235827-0.00839814j -0.00521262+0.00738412j -0.0105582+0.0279769j -0.0150056+0.0101461j 0.00104976+0.0101241j 0.023196+0.0103186j 0.00818999-0.0205375j 0.00441199-0.00792663j 0.0128391-0.0392483j 0.033957+0.00254148j -0.00532408+0.0155207j -0.0095896-0.00311324j -0.00923285-0.0099314j 0.0101058+0.0356204j -0.00643392-0.00791095j -0.0121145-0.0275898j 0.0106139-0.00977208j 0.00386514+0.0132547j -0.00730762-0.0148074j 0.0192663+0.0305188j 0.0397524+0.0285278j -0.00991892+0.0229486j 0.0218294+0.0246283j 0.0164968-0.0144855j -0.00662329+0.0234133j -0.027724+0.031714j 0.0146911+0.0213096j -0.0313732+0.0497053j 0.0083621-0.0101623j -0.0347685+0.0126294j -0.0103065-0.000693641j 0.0219278+0.00824117j 0.0183993-0.00261283j -0.0425795-0.0527278j -0.0261021-0.0650922j -0.00850051+0.0306596j -0.0813813+0.0934491j -0.027655+0.113725j -0.108012-0.0588415j 0.0701304-0.0484695j 0.0703597-0.00554371j -0.0231803+0.0278809j -0.0135056+0.061109j 0.0205726+0.00287785j -0.0148893-0.0666484j 0.0135129+0.0383085j 0.0513971-0.0630891j 0.0620547-0.0629599j 0.0674463-0.00592866j 0.00794502+0.0811484j 0.01174-0.0460294j -0.00195126-0.0137829j 0.138402-0.0296319j -0.0395749+0.115147j 0.124529-0.0341013j 0.107691-0.231035j -0.19921+0.135786j 
-0.0131297-0.00417388j -0.0205505+0.0103001j -0.0123817+0.0213966j -0.0326734-0.00582224j -0.0105936+0.0190601j 0.00106721+0.0280621j -0.0120991-0.0183901j -0.017081+0.00657985j 0.0399215-0.0169348j 0.0270969-0.0036684j 0.0180432-0.0394174j 0.0362091-0.0116543j 0.0192338-0.0381022j 0.0217881-0.0415995j 0.0237196+0.0192436j 0.0237294-0.0455511j -0.052025+0.0393823j -0.0484703+0.00527382j 0.0624023-0.0827511j -0.0108699-0.00334553j -0.0992024+0.0388281j -0.00812663-0.0200674j -0.0515789+0.0912823j -0.0418053-0.129366j 0.0277532-0.140104j -0.144854+0.133798j -0.0425806+0.228143j 0.0226012-0.0215684j -0.018714-0.0122103j 0.0755619+0.062864j -0.0388413+0.028814j -0.0676828+0.0438308j -0.00287743+0.00058635j -0.0448315-0.074027j -0.0213483+0.0722169j -0.0553096-0.033807j 0.117943+0.0738493j 0.0929458-0.0564279j -0.0792544+0.0371643j 0.0219583-0.0397147j 0.0164713-0.121874j -0.152647-0.106345j 0.0722613+0.0721245j 0.00920445-0.0346659j 0.042815+0.0955884j -0.00468162+0.0429778j -0.0489409+0.0101159j -0.0619482+0.118727j -0.00702513-0.0742544j 0.0521146+0.176589j -0.0021861+0.0311716j -0.00798469-0.0346512j 0.0302744+0.073378j -0.0811712-0.0331455j -0.0305481+0.0398937j 0.0172539+0.111996j -0.00457105-0.0100483j 0.0113778-0.0600647j -0.0326242-0.00427678j 0.0322875-0.0185856j 0.0124943+0.150109j -0.0941453+0.0125501j 0.115976-0.0714326j -0.0176577+0.0189591j 0.0474494-0.017581j 0.0214688-0.0554085j 0.0204456+0.0543768j -0.137909+0.0461834j 0.0110106-0.0242515j -0.0733671+0.0804888j 0.0591062+0.0544707j -0.0406619+0.00713405j -0.0610366+0.0868901j -0.106553+0.0586594j -0.064407-0.06232j -0.00942749+0.0181345j -0.00510224-0.0052419j -0.0100042+0.111975j 0.00134405-0.0272152j -0.0766317+0.0627135j -0.0312386-0.0197397j 0.0530431-0.0173234j 0.00162003-0.0584671j -0.0317629+0.00948654j 0.0166954+0.0277091j 0.0177617+0.0104267j -0.0618607-0.00414306j 0.0418999+0.0658755j -0.0626859+0.0658527j 0.0479201+0.0398328j 0.0798232-0.0858709j -0.0284666-0.00194021j 
0.00924001-0.0465886j -0.0252147-0.0272631j -0.0274228-0.0135423j 0.0226294+0.0119604j -0.0374722+0.00344932j 0.0198739-0.0128629j -0.00438668-0.0400518j 0.0289262-0.00235268j 0.012035-0.0157563j 0.0353491-0.0469758j 0.0107709+0.0365765j -0.00323927+0.0289684j -0.0256054+0.0093399j -0.0220926+0.024928j -0.0674033-0.0130056j -0.0113367-0.0556767j -0.015799-0.0233841j 0.0501914-0.0431454j 0.0854416+0.0272371j -0.0186233+0.0762823j 0.0459699+0.0536919j -0.0701391-0.0251077j 0.0067495-0.0995058j 0.048794-0.0359428j 0.0287756+0.0662188j 0.0620912+0.0513816j -0.0106717-0.050433j 0.0975573-0.107233j -0.0268651+0.0285251j 0.0628015+0.00669772j -0.0257854-0.0149938j -0.0649131+0.0465849j 0.0173136-0.0942838j -0.0640812+0.0110802j -0.0107183-0.018974j 0.050557+0.140895j -0.0558737-0.0714885j 0.134914+0.0582381j 0.0351173-0.0818875j -0.011029-0.0860641j -0.114154-0.0697233j -0.0171307-0.0113934j -0.0649465+0.000682352j 0.10951+0.0369941j 0.0148153-0.00966272j 0.0055638-0.0873938j 0.064869+0.00394489j -0.0105042+0.0510709j 0.00495291-0.0251474j 0.173538-0.0457809j -0.0932339+0.0935638j 0.0228801+0.0405113j -0.0515188+0.103229j 0.089316-0.00596321j 0.00340767-0.0351122j 0.00100346+0.00853012j -0.0578019-0.0659894j 0.0860598-0.0268401j -0.0375322+0.039547j 0.0464549-0.0375442j -0.0412365-0.019667j -0.0851773-0.0116535j 0.0629045+0.0989199j -0.00304755+0.00941413j -0.00948984-0.04113j -0.0631748-0.0428096j 0.0261817+0.0257245j -0.0407351+0.0457105j -0.137557-0.0964622j 0.0517218-0.0335521j -0.0207808-0.117011j 0.00410286-0.0100602j -0.0926351+0.0244944j 0.0725864+0.0703392j 0.00399519+0.0525618j -0.052306-0.0191052j -0.0156951+0.0223645j -0.0408017+0.0305045j -0.0581245+0.00419902j 0.0140898+0.0458474j 0.00691746+0.0351961j -0.0356261-0.000603399j 0.00250424+0.0313671j 0.00230487-0.00591453j 0.0218902+0.0192682j -0.0672689+0.0559347j -0.0202084-0.00241764j -0.0116702-0.0149124j 0.0805562+0.0230614j 0.00183162-0.0229251j -0.0305545+0.0523873j -0.00970702+0.0563589j 
0.0146763+0.0133231j -0.00294641-0.0148096j 0.0152347-0.00454098j 0.00892723-0.0175327j -0.0146614+0.0236262j 0.00319023-0.00433109j 0.00719306+0.000212977j -0.00525434+0.0169809j -0.00418069+0.0279382j 0.0409034+0.0216776j 0.00748174-0.0448055j 0.00144603+0.00379077j -0.0292571-0.0597494j 0.0371192-0.0651316j -0.00519191+0.00573657j -0.0210451-0.0159359j -0.0235772-0.033037j 0.0222204-0.00182154j 0.0112484-0.0421766j -0.0111546+0.0446095j -0.0405654+0.0446136j -0.0490617+0.0165509j -0.054537-0.052859j 0.0531658-0.233799j 0.0133606-0.137451j -0.170208-0.109644j 0.0826166+0.0914687j 0.00345936+0.0736051j -0.0456422-0.0916289j -0.0485024+0.0117525j 0.00136799+0.0963092j -0.00201398-0.0513578j 0.0229523-0.0345418j -0.065126+0.0878227j -0.0507877+0.144909j -0.080516-0.0950982j 0.093334-0.0472774j 0.0176523-0.133099j 0.054228+0.0724925j -0.0639698+0.101178j -0.111255-0.0544375j 0.0740939-0.0543193j -0.0175947+0.0518908j 0.048658-0.0944452j -0.0199584+0.0859455j 0.0452481+0.0512864j 0.0566989-0.0473319j -0.01673-0.104847j -0.0135878-0.0801195j 0.021238-0.0457059j -0.0224557+0.0327391j 0.0514244-0.0490923j -0.0542844-0.0446094j 0.0546869+0.0369959j 0.0910257+0.0528677j -0.071275-0.0648101j 0.0600704+0.0947916j 0.0531906+0.0147318j -0.0205815+0.107344j 0.0396546-0.0677452j -0.00654104+0.0825961j 0.0172353+0.0579856j 0.0255224+0.00950402j -0.0430417-0.0981208j 0.0395115+0.00786725j -0.0781872+0.0374357j 0.0769306+0.071497j 0.0511442-0.0136749j -0.0271803-0.00961007j 0.0714781-0.000304115j -0.0389311-0.165218j -6.83232e-05-0.0259834j -0.0201307+0.0189256j 0.099073+0.0463811j 0.0128767+0.0591932j 0.00135219-0.0615045j 0.00929062-0.0178039j 0.0364037-0.0478611j -0.0273073+0.0371938j 0.0330654-0.043033j 0.00907364+0.0234088j -0.0393092+0.0215424j -0.0394418+0.0409245j 0.010354+0.0346955j 0.0196918+0.00231428j -0.0108959-2.66699e-05j 0.00734129+0.00978024j -0.0241348-0.0156246j 0.0380364-0.0268016j -0.0561642-0.0263071j -0.0355441+0.0447213j 0.0234994-0.00887617j 
0.010713-0.0168513j 0.0101033-0.00945466j -0.0122072-0.00653397j 0.00457574-0.00712164j 0.00293953-0.00358915j -0.0175182-0.0196864j -0.0271494-0.0366982j 0.043585-0.0399081j -0.027716+0.0569537j 0.00688155-0.0300896j 0.0271505-0.0477797j 0.031022+0.0614315j -0.0118064-0.0841725j 0.0492745+0.0520164j -0.0851185-0.0383816j -0.050187-0.0691263j -0.0443978-0.0538708j -0.0927166+0.102509j 0.034598-0.0914098j 0.0287808-0.106192j 0.168448+0.0460142j 0.00509416+0.00488249j -0.0635535-0.0163646j -0.0163175-0.208715j 0.0517063+0.0207615j -0.147894+0.151271j -0.0609511+0.0621516j -0.154408+0.0659827j -0.112027-0.0789445j -0.142292-0.00666526j -0.0404637+0.145887j 0.0606655+0.0349413j 0.0832015-0.168101j 0.0444738-0.0110312j -0.157707+0.0868561j 0.0919164-0.012191j -0.059462-0.0392595j -0.0657885-0.119646j -0.0246656+0.0231976j -0.100046+0.0969866j 0.0341877-0.0684992j -0.0778547+0.0890666j 0.134288+0.0930192j 0.0321065-0.110145j -0.0263022+0.0693971j -0.0231771+0.0486388j -0.0219957+0.047946j -0.112188+0.0397134j -0.00889515+0.0622902j 0.019525-0.0917641j -0.00621767+0.0369055j -0.0610314-0.0328772j -0.052658+0.0673786j -0.0160784+0.0829625j -0.0475931+0.0534914j -0.00937626-0.0724272j 0.0352674-0.0880336j -0.0504531-0.0242503j -0.0915801+0.0787592j 0.0700299-0.030529j 0.0439872+0.0320658j -0.0796137+0.0691429j -0.0944652-0.000984682j -0.0101722-0.0628608j -0.0674148+0.0720992j 0.153372-0.0985287j -0.0942934+0.00726269j -0.0450569+0.0277893j -0.0347477+0.0162845j -0.0351813+0.00631837j -0.0529181+0.0649322j 0.0203973-0.0776776j 0.0260328-0.0542781j 0.0203282-0.0277906j -0.00145265+0.0362068j 0.0454392-0.00428754j -0.00609591+0.0109063j -0.0223428+0.0192124j -0.0130731-0.048952j 0.00465835+0.0103445j 0.0506426-0.0230428j -0.00704333+0.0103485j 0.0374862+0.013949j -0.0250492-0.0449228j 0.0214438-0.0133456j 0.0217901-0.0142467j 0.0160812-0.00414657j -0.0124208-0.00489823j 0.0326988+0.010703j -0.00811452+0.00917334j -0.00839437+0.0286114j -0.00268904+0.0122262j 
0.00317998+0.011918j -0.018756+0.000712219j -0.0139159+0.0139623j -0.00570045-0.0213481j 0.00587435+0.00608429j -0.0352936+0.0216028j -0.0215426-0.0214974j 0.00651711+0.00293209j 0.00299368-0.0377191j -0.00738176-0.0300765j -0.0321737-0.00226681j -0.0301768+0.00118849j -0.0615258+0.0411096j -0.0338061+0.00433801j -0.0220276-0.0226658j -0.0320535-0.0362023j -0.104318-0.0984363j -0.0155904+0.0679991j 0.0312247-0.0176521j -0.0666096-0.00637177j 0.106507-0.0131336j -0.100717+0.14965j 0.0518324-0.101745j 0.0558387+0.0308811j 0.0849382+0.0205507j 0.0459159-0.0271441j 0.0665362+0.00897864j -0.0548671-0.0339034j -0.0135711-0.0120866j 0.0254492-0.0379163j 0.042395+0.0517548j 0.18697+0.0892478j -0.0265278-0.059889j -0.0879838-0.0277862j -0.0553298-0.0968811j 0.0788737+0.0709987j -0.11662-0.0714725j 0.059053+0.0664297j 0.0486847-0.0172178j -0.00609977+0.114438j -0.0179649-0.0257364j -0.113762+0.0280604j -0.0605884-0.0362534j 0.0715794-0.0790845j -0.0192842+0.0859299j 0.0280612-0.0170139j 0.0663723+0.133624j -0.0444858+0.0127037j -0.0168639+0.0388173j 0.0664827+0.0230713j -0.018075-0.0725601j 0.110486-0.0832685j 0.0528377+0.0370743j 0.0213339-0.0541525j 0.0413644-0.0386188j -0.0502695-0.0649376j -0.0420462+0.0785155j 0.0597177+0.0726927j -0.064848-0.00271617j -0.0451818-0.0359393j 0.00881853+0.0182145j 0.035478+0.0459086j 0.00763008-0.0497249j -0.0807071+0.0197026j 0.0763272+0.10681j 0.0766352-0.0646187j 0.0290079-0.0249743j 0.0710558+0.0141379j 0.0413152-0.105184j -0.0274227-0.0380625j -0.0644163+0.0263678j 0.0529513-0.0225907j 0.0222054+0.0270484j -0.0661328+0.00433092j -0.086159-0.0722275j 0.0239111+0.0472185j -0.0152267+0.0105905j 0.00779045+0.0300464j 0.0350347-0.113322j 0.00904833+0.00921789j 0.0570752-0.000164572j -0.082338+0.0132561j -0.0442851+0.0471614j 0.0481995+0.00408633j 0.0315408+0.0315303j -0.0636483+0.0108799j -0.016542+0.00683743j -0.0367394+0.0169595j -0.00296612+0.00754413j -0.00957012+0.00853029j 0.0155605-0.00365718j 0.00123646+0.0145788j 
-0.0128941-0.00947266j -0.0179948+0.00763259j -0.0226924+0.00119941j -0.00934705+0.0049378j -0.0183001+0.0108142j -0.00963002-0.0050299j 0.00717782-0.0231645j -0.00482111-0.0244457j 0.0190713+0.118697j 0.111906+0.090993j 0.0403118+0.0645492j 0.0304619+0.00660647j -0.014809-0.0297131j -0.000249239-0.0783499j 0.0734112-0.0340003j 0.0405753-0.10879j 0.0319186+0.125417j 0.143306+0.0344255j -0.0191288+0.0936351j 0.175841-0.0296528j -0.00100165+0.0331957j 0.0723163-0.119026j -0.00190808+0.0168062j -0.0376128-0.0819923j -0.0152198-0.0996704j 0.056226+0.00601455j 0.0259943-0.02633j 0.0393452+0.00294723j -0.0244533-0.133501j -0.0255294-0.0242285j -0.0341121-0.0240516j -0.097775-0.171915j 0.0547203-0.152586j -0.0608526-0.0744775j -0.054662+0.0719867j -0.0919595-0.0846511j -0.103511+0.0281462j 0.081346+0.0065661j 0.0258973-0.0224827j -0.0768345+0.0551462j -0.029946+0.0690049j 0.063371-0.0235936j -0.00968992+0.0100016j 0.0345466+0.0758248j 0.011125-0.043914j -0.0740075+0.126422j 0.0874411+0.0128227j 0.0565207+0.0664413j 0.0489183+0.0641464j -0.0374514+0.0236794j 0.047311+0.0521243j 0.0363505+0.0513711j 0.0207178+0.0778575j 0.0633856-0.00352792j -0.209036-0.0568294j 0.0293683-0.085556j 0.0526635+0.0364999j 0.0703101-0.0355229j -0.00355542-0.0428689j -0.0308808+0.025801j -0.0458792+0.00706148j -0.000399595+0.0958753j 0.0508512+0.033145j -0.0370486-0.00460892j -0.107591-0.00621029j 0.0483401+0.0152418j -0.0717548+0.0494524j 0.047964+0.070522j -0.0931374-0.0495144j -0.0103016-0.0450455j 0.108739+0.0690439j 0.0540039+0.0107924j -0.136725+0.0354063j 0.0183119-0.0224869j -0.0771867-0.0311863j -0.0446495+0.0283819j 0.0119712-0.00522777j -0.0619014+0.0290995j 0.0492421+0.0145075j 0.0548832-0.0449494j -0.0509037+0.0362864j -0.0149797+0.0104004j 0.0376234-0.0355037j -0.016411+0.0233238j -0.0370719+0.0426343j -0.0414068-0.0123914j 0.00333348-0.103429j 0.0147501-0.00471697j 0.0123526+0.0457194j 0.0644466+0.00931282j 0.00396972-0.0223235j -0.0271175+0.0378159j 
0.00490253-0.0213896j 0.000615445-0.0193315j 0.00594395+0.00429209j -0.0211732+0.0169243j -0.0165028+0.0226766j -0.0305531+0.0151021j -0.0340497-0.0204553j -0.0124576+0.00458757j 0.00748503+0.0491144j -0.0343036-0.0564437j 0.0513811+0.0143493j 0.00227536+0.0739889j 0.0599912+0.0262656j -0.0171389+0.0182599j 0.0686948-0.0722952j -0.0645815-0.0555939j -0.00434439+0.123243j -0.0417951-0.0166667j 0.0931476+0.109662j 0.055356-0.0811448j 0.0485106-0.00281398j 0.0560263-0.0812201j -0.114816+0.0683999j 0.0228482+0.0629217j 0.0138749+0.0834896j 0.0699155+0.0344992j -0.0759864-0.0461847j 0.0452701+0.00407667j 0.0426474+0.0982219j 0.0186259+0.0808823j 0.0234388-0.0431829j 0.0181988+0.0525094j -0.108373+0.00267964j 0.0214711+0.00809693j -0.0387584+0.0316949j 0.0139878-0.0478587j 0.0559829-0.0828865j 0.00835735-0.112021j -0.0560249-0.0322996j -0.122182-0.0180854j -0.132353+0.00182904j 0.017139-0.0334228j 0.126359+0.064936j -0.0856922+0.0936928j -0.0578037+0.0111477j 0.0143859-0.0333186j -0.0152878+0.0847561j 0.0352387+0.0652103j -0.0152034-0.00301724j -0.0369488+0.0934306j 0.0752865+0.01576j -0.0909877+0.116749j -0.147401-0.0688553j -0.0429954+0.0185449j -0.0323932-0.0672428j 0.0310954-0.0138999j 0.0273308-0.0976656j -0.0856991+0.0749359j -0.0760075+0.0159558j -0.0047086-0.0116522j 0.103318-0.0404392j -0.0276101+0.0218544j 0.0259933-0.00806216j 0.072924+0.0253806j 0.0819665+0.0189394j 0.0569282-0.0416365j -0.0646629-0.0698666j 0.0041933-0.0693352j -0.0364356-0.00079329j 0.00250995-0.00354108j -0.139074+0.0187542j 0.0996145-0.0554244j 0.113984-0.0959742j 0.00617602+0.0694748j -0.0042925+0.0594555j -0.0566089-0.0760579j -0.053883+0.00870665j 0.0152332-0.0622895j -0.0151098-0.0184597j -0.0821631+0.094183j -0.00185773+0.0250624j -0.0133134-0.0017568j -0.0222942+0.00750948j -0.031584-0.00728415j 0.0400527-0.0293885j 0.0336665+0.0484046j -0.0795346+0.0509371j -0.00258755+0.0473371j -0.0106262-0.0214889j -0.112585+0.0658262j 0.0587479+0.0365503j 0.0530676-0.0463322j 
0.0134997+0.0217668j 0.00621368-0.0234417j 0.0192092-0.0106051j 0.0266669-0.0250978j 0.0180476-0.00183103j -0.0299992-0.046346j 0.022378+0.0182706j 0.00538076+0.0314329j -0.0296501-0.0269855j -0.0196777+0.0500141j 0.0317868+0.031676j -0.0699786-0.00429311j 0.00884347+0.0515999j -0.0565507+0.0348735j -0.0231053+0.0584231j 0.0708647-0.0380203j 0.029408-0.0340395j 0.0841701-0.013501j -0.0669816-0.0880015j -0.0144504+0.12025j -0.0645929+0.0913615j -0.0553787+0.0194856j 0.0285875+0.0352653j -0.0787004-0.0269309j -0.0250373-0.0672383j -0.0869652+0.00751449j 0.0731775+0.128209j -0.0536605+0.00651099j -0.0325139+0.0120453j -0.0536865-0.0492706j -0.0240271+0.0792892j -0.0174034-0.0706917j 0.114298+0.0509369j 0.00827499-0.0547614j 0.0466474-0.0120103j -2.19051e-05-0.0324027j -0.00924376+0.0652579j 0.0320899+0.0084716j -0.00151934-0.0185113j 0.00423301+0.0365344j 0.153408+0.023657j -0.0242923+0.0315944j -0.0139807+0.0298497j -0.017821-0.0636503j 0.111788-0.0842931j -0.0295146+0.0518913j 0.0525471+0.0365788j 0.0357209-0.0516106j 0.0304522-0.0375426j 0.000480533-0.00229757j -0.0631613+0.124606j -0.0555753+0.0838694j 0.0469297+0.0347644j 0.0394492+0.194445j 0.0522268-0.0889051j -0.0273856+0.0102851j -0.00286609+0.0233385j 0.0275226-0.0312301j 0.121058+0.0135613j -0.0682435+0.0471124j -0.0395828+0.0101541j -0.124471-0.00851253j -0.0523279-0.0221882j -0.00360006-0.0213627j 0.0512468+0.0948902j 0.0472574-0.0685665j -0.014374+0.0228022j -0.00334553+0.0442957j 0.0947569+0.0188006j -0.0717159-0.0179395j 0.0284518+0.0109225j 0.0186094+0.0130952j -0.0260726-0.0268828j 0.000714681-0.0430923j 0.0396613-0.0632937j 0.00607021+0.0556289j 0.0246757+0.0402836j -0.0114673+0.0381557j -0.0780133+0.0477854j 0.0174336+0.0107845j 0.0680073+0.000868951j 0.0217053+0.0128038j -0.00174325+0.0923388j 0.0319542+0.0124486j 0.0602266-0.0327807j 0.128623-0.0124474j -0.0210597+0.148839j 0.0152699-0.00363606j -0.0321598-0.00160223j -0.0290878+0.0183861j 0.0188823+0.000567871j -0.000305983-0.0427319j 
-0.0113042+0.00928943j 0.0329078+0.0455974j -0.00662814-0.0288133j -0.0440719-0.0160857j 0.0493595-0.0421354j 0.0285286+0.00915337j 0.00991113+0.026467j -0.0350055+0.0595861j 0.0769607-0.0699602j -0.0167097-0.0317034j -0.0386781+0.0250783j 0.0263776+0.00167876j 0.0630246+0.0303676j -0.0549227-0.0591413j 0.0665744-0.0748877j 0.00546633+0.0104098j -0.00722287+0.00336629j -0.0305116-0.0151411j 0.0826193-0.016624j 0.090659+0.0228678j 0.0866798+0.121951j -0.0571719-0.0312809j -0.0876851+0.0207101j 0.0486113-0.0257382j 0.0420164-0.0208486j -0.0546678+0.00164877j -0.0954147-0.0873471j 0.0536133-0.00790213j -0.049896+0.051441j 0.0294027+0.159986j 0.00948798-0.0315794j -0.00990005-0.053097j -0.100286-0.0231619j -0.0229256-0.0889143j -0.0781456+0.0149194j 0.0463936-0.0361807j 0.0888684-0.00913369j 0.0646973-0.105612j 0.0386376+0.0148692j -0.0393435+0.0695298j -0.0732042+0.0599813j 0.0842581-0.0901673j 0.102479-0.0945495j -0.124311+0.0279316j -0.0625813+0.0323758j 0.0320383+0.0663324j 0.129185+0.0349868j 0.0543884+0.0224431j -0.0536845-0.162976j 0.0180265+0.0592382j 0.0571579+0.0189075j 0.117868-0.0255376j -0.00952352-0.0311289j -0.108278+0.0196916j 0.0685037-0.0405669j 0.039887+0.114756j -0.0397543+0.0166758j 0.0242768+0.0495847j -0.0206853-0.04285j -0.0457967-0.000969355j -0.0936528+0.0844278j -0.112772+0.0264881j 0.140118-0.0252474j -0.01402+0.00862328j -0.0514787+0.0810805j -0.060797-0.0183907j 0.0212483-0.0455939j -0.0103263-0.00763149j 0.0729131+0.0293424j 0.0217766-0.111087j -0.019489-0.0362087j 0.0220836+0.0281073j 0.0710523+0.0324448j -0.0104486-0.0190482j 0.0399766-0.0278436j 0.0395703+0.0200842j 0.0211605+0.0540962j -0.0665567-0.0142939j -0.00778012-0.00745634j -0.0404652+0.0230819j 0.00616266+0.078729j -0.0228851+0.00255146j -0.0495794+0.0467819j 0.0662365+0.0329654j 0.0168262-0.022949j 0.0684102-0.0200026j 0.0670954+0.0618839j 0.0233015-0.0428021j -0.0806533-0.0142819j 0.0260203-0.0206936j 0.00803878-0.0431823j 0.00773206-0.00709691j 
0.0273575+0.00906777j 0.0157145+0.0109235j 0.00443262+0.00308936j 0.0299828-0.0107759j 0.0335599-0.0380303j 0.0421226+0.0257929j 0.0115246+0.0628067j -0.0100219+0.00254291j 0.0483337-0.00241339j -0.0123062-0.038625j -0.00749835-0.0414114j 0.0491683-0.0115768j 0.0303667-0.0350415j -0.000104046+0.0577739j -0.0332015+0.0307633j 0.0196094+0.0779515j -0.0111073-0.0441714j -0.114184+0.0222908j -0.00395255+0.0144429j 0.0730351-0.0895542j 0.0901633+0.0142226j 0.0155737-0.0322947j -0.0390897+0.00221087j 0.014763-0.056754j 0.0151452-0.0161355j 0.0314325+0.122296j -0.139341-0.124561j -0.0825097-0.0221224j 0.0728725+0.0367111j -0.0123458+0.0331488j -0.0879567+0.00948257j -0.0772676+0.00281532j -0.10606+0.0370609j 0.10438-0.044451j -0.101124+0.0320382j 0.0689781+0.0908881j 0.0624873+0.110312j -0.0113664+0.0320428j -0.0896526+0.0592566j 0.0704515-0.00957345j -0.0151863-0.0473527j -0.000709271+0.031509j 0.0636346-0.0134236j 0.00182931-0.0252645j 0.00282247-0.0180794j -0.000247901-0.0158141j -0.000254352-0.104076j -0.0251155-0.0361076j 0.0109293-0.0409276j 0.0334224-0.0827754j -0.0433716-0.000629423j 0.0247002-0.0981376j 0.0604069-0.0144304j -0.0250077-0.0845402j 0.00148158+0.139553j 0.114436+0.00786664j -0.035003-0.0177108j -0.0226414-0.0737251j 0.0572663-0.032941j 0.0387784-0.0283283j -0.102082-0.0158026j -0.0985691-0.116316j 0.00818114+0.0237003j -0.0314341-0.00389522j -0.0576214-0.0560955j -0.0192315-0.00731389j -0.033178-0.0369364j -0.00244853+0.0309405j 0.0351943+0.000573482j -0.0563002+0.127069j 0.0815048+0.0431707j -0.0843773+0.0656844j -0.0568845-0.0120804j -0.050792-0.13774j 0.0143358-0.054135j 0.00593382+0.0598643j 0.0878258-0.038632j 0.0282819+0.0829423j 0.00687677+0.0966831j 0.0581959-0.0837802j 0.000476475-0.0470202j 0.0367844+0.0175386j 0.040676-0.0197136j 0.00759722-0.0346016j -0.0031856-0.00886918j 0.0066777-0.00825024j 0.0227288+0.00627859j 0.012261-0.0247399j 0.0254561-0.00503525j 0.0485095-0.0377895j -0.040114+0.00109229j -0.0349755+0.0241738j 
