0.175276+0.132617j -0.0967606+0.137688j 0.18637-0.0314464j -0.0411263+0.140786j 0.065815+0.00573984j -0.2111+0.00900933j -0.00510159-0.0642579j 0.0680296-0.0832577j 0.0380533-0.140707j 0.0353253+0.0665254j -0.0288011+0.0433093j -0.101009-0.0166193j 0.0109568+0.0512036j -0.0848021+0.148298j -0.0290706-0.0419524j -0.0357959+0.0228712j 0.113897+0.07684j -0.0813779-0.0163793j -0.115611-0.00882854j -0.166344-0.0609667j -0.11602-0.0187666j -0.213843+0.0715932j 
-0.00191821-0.0202519j -0.00399656-0.0187248j 0.0401652+0.0036715j 0.0102313-0.031291j -0.0209256+0.00714097j 0.00569583+0.01492j -0.0295729+0.0107043j 0.0337514+0.0174445j -0.00558455-0.0112531j 0.0186371-0.0036952j 0.0161463-0.0397975j -0.0149672-0.0132736j -0.0278793+0.0237072j -0.0391951-0.000965881j -0.00427188-0.00127068j -0.0246387+0.0057782j 0.0464636-0.00475715j -0.00956407+0.00214303j 0.00424845+0.0112303j -0.0228523-0.00287946j -0.012692-0.0218148j -0.0250068+0.0128428j 
0.0167501-0.0255408j -0.0363721-0.0075597j -0.0206428-0.00298234j 0.0247863-0.0137572j 0.0120165+0.0229629j -0.0136282+0.0285876j 0.00597212+0.000737212j -0.0247528-0.0199569j 0.0055131-0.00734068j -0.00336528+0.00328054j 0.0128416+0.000715354j 0.0160249+0.00077657j -0.0347115+0.0279311j -0.0250334+0.0486376j 0.0165172+0.0093447j 0.0279148+0.0424181j -0.038384-0.011341j -0.00316437-0.022628j 0.013783-0.0219597j 0.0147763-0.0258822j -0.0101101-0.00872605j 0.0157966+0.000537439j 
-0.0481613-0.00587724j 0.00185173+0.0115707j -0.0107363+0.017984j 0.0299834+0.00844348j -0.00962261+0.00271842j 0.00106975+0.0249688j 0.00809424-0.0318551j -0.0548997-0.00980352j -0.00398804+0.00856422j -0.00869009-0.00165575j 0.0157738-0.0101529j -0.0135351+0.00979306j 0.00405763+0.0190455j 0.0032649+0.0469769j 0.0323353-0.00490468j 0.00307482-0.017373j -0.0702649+0.0141939j 0.00252479-0.00583504j -0.00198412-0.0176647j 0.00658056-0.00768951j -0.00312182+0.00668977j 0.0127662-0.0152949j 
-0.0256976+0.00984137j 0.0355701-0.000305186j -0.00319431-0.0127449j -0.0178753-0.00368895j 0.0197694+0.0167775j -0.0347509-0.0508536j 0.0184879+0.0193275j 0.0468802+0.0253221j 0.00707175+0.0392444j 0.0331675-0.0119968j 0.0339528-0.00639829j -0.0299675-0.0173109j -0.0115991-0.0819582j 0.0282281+0.0141404j 0.00656827+0.00986814j -0.0323307-0.00783602j -0.0284068-0.0209915j -0.0374137+0.0210933j -0.0296254+0.0568917j -0.0571241+0.00859159j 0.0348982+0.0403473j -0.0175252+0.0045408j 
-0.0104597-0.0142755j -0.0120074-0.018754j 0.00663776-0.000396997j 0.0193564-0.0139973j 0.0253086+0.000962628j 0.0242353-0.0414576j -0.000567737+0.005082j -0.0269237-0.0382353j -0.0302564+0.0450717j -0.0164418-0.0264786j -0.0467971+0.0392168j 0.0127112+0.00220026j 0.0371536-0.0629326j 0.0204961-0.0488296j -0.0258763+0.00937257j -0.0053125-0.0492236j 0.0249971+0.00713256j 0.0282286+0.0605407j 0.0242927+0.0375396j 0.0149689+0.0282029j -0.0129961+0.0301364j 0.00299085-0.0543784j 
0.0199454+0.00324394j 0.000834909+0.00511924j 0.0151391+0.0167193j -0.00956277+0.00767565j 0.0130837-0.0180675j -0.0108413-0.0272231j -0.0246667-0.0105573j 0.0103103-0.0107479j 0.00226464+0.0175843j -0.0254124+0.00216982j 0.0125631-0.0138342j 0.00795298-0.0150563j 0.0246705-0.0457743j 0.00671185+0.018962j -0.0149521+0.0354407j 0.0495632+0.00774484j -0.0401575-0.0257589j 0.0192449-0.010086j 0.0140583-0.00674213j 0.036575-0.0180626j 0.0438085-0.000852344j 0.0414292+0.0333344j 
-0.0508428-0.0192237j -0.0127432-0.0179922j -0.0558216-0.0280819j 0.0324919+0.0267469j -0.00390152+0.0219515j 0.082614-0.0282428j -0.0206661-0.0099619j -0.0324078-0.00273646j -0.0392325+0.0293184j 0.0115454-0.0397103j 0.0174936-0.0275477j -0.020145-0.0128329j 0.00811595+0.00946265j -0.00365346-0.0318201j 0.0325883-0.00460143j 0.0118959-0.0160561j -0.0206084-0.0114111j 0.0286826+0.0361819j 0.0304207+0.0234464j 0.0420998+0.003666j 0.000336241+0.00896516j 0.0479942-0.0399336j 
-0.00165478+0.0143487j -0.0224289-0.0245339j -0.0323105-0.00558139j 0.00216082+0.0157931j -0.000480555+0.00418021j -0.0472886+0.0104031j -0.0109255-0.00184334j -0.00904274-0.0190677j 0.0627571+0.00336714j -0.0193135-0.0234724j 0.0135993-0.00606765j 0.0328888+0.00871536j -0.072832+0.0272468j 0.0312762+0.022369j -0.0558954-0.0698379j 0.0561243-0.00470606j -0.0402964+0.0418253j -0.0257844+0.0179059j 0.064678+0.0821007j 0.00905819+0.0536144j 0.0356194+0.0140168j -0.032071-0.0185022j 
0.0248017-0.0128432j 0.0118542-0.0129887j 0.00843902+0.023439j -0.0440192-0.0365231j -0.00670021+0.0204967j -0.00983986-0.0142059j -0.037575-0.0038105j 0.0396635+0.0353443j 0.00248418-0.00164745j 0.00476674-0.0122433j -0.0144845+0.0174799j -0.0232584+0.0294037j -0.0431206+0.0232991j 0.0878331-0.0720086j -0.0634253-0.0195764j 0.0150425+0.00973548j 0.00575659-0.0799346j -0.0756624-0.0638719j 0.0528931-0.0289685j -0.0285179+0.00225935j 0.0337139+0.0183142j 0.0241611-0.00218065j 
0.00157184+0.00626475j -0.0351214+0.0033772j 0.00057749+0.0234335j 0.00970905+0.00179242j 0.000605759-0.015114j -0.0112776+0.00690422j 0.0117522+0.00204572j -0.011106+0.00788383j 0.0158231-0.0298577j -0.0192641+0.0118455j 0.00506035-0.0234684j 0.0198301-0.00813301j 0.0118829+0.0671558j 0.00662093+0.00085523j -0.0245474-0.0263161j 0.0337065-0.00909769j 0.0165402+0.0230025j 0.00652825+0.00524062j 0.0512927+0.00274808j 0.0315109-0.000727877j -0.00299993-0.00134918j -0.0329217+3.82692e-05j 
0.0122956+0.000867383j 0.00239152-0.0130888j -0.00689017+0.00307372j 0.0122424-0.0162615j -0.00177842+0.0182404j 0.00559682+0.00347272j 0.00211849-0.0229331j -0.00114067+0.00486586j -0.0023678-0.000957267j -0.0111512+0.00754587j -0.0131862+0.011478j -0.0139794+0.0287915j 0.00841722-0.009554j -0.000413739+0.0341332j 0.0219839-0.016781j -0.0061057-0.00753766j -0.00884489-0.0244523j -0.0295058-0.0375671j -0.0183767+0.0139993j -0.00906299-0.0265789j 0.00743429+0.00354522j 0.0217995+0.0213959j 
0.028308-0.0189948j 0.021107-0.0192135j 1.39086e-05+0.0107669j -0.0295435+0.00226864j -0.0299564+0.00882059j -0.0278152+0.0103137j -0.00316877+0.00421052j 0.0245024+0.00492792j -0.0364737+0.0226013j 0.00189826+0.0126551j -0.0427775-0.00354702j 0.0280653+0.0109536j -0.0384684-0.0037084j -0.0273089+0.0125778j -0.0426692+0.0126621j -0.0311394+0.00360328j 0.0569511-0.00212252j -0.0265768-0.0111545j 0.0105937-0.00430377j -0.0367609-0.00938174j -0.0359983-0.0109379j -0.0349958-0.0145536j 
-0.0938429-0.0100696j 0.0130906-0.0343806j -0.0542184+0.000274681j 0.0329044-0.0270068j 0.0321252-0.00691744j 0.0747869+0.00162117j 0.0246686-0.0110982j -0.0609917+0.0295915j -0.00317153+0.0273537j -0.00697094+0.0145229j 0.0561091-0.0263845j -0.0283617+0.0189716j 0.0291638+0.0277341j 0.00382711-0.0101093j 0.0973618-0.034933j -0.0527033-0.0622152j -0.054903-0.0266075j 0.0435212+0.0161643j 0.00237521+0.040534j 0.0516825+0.0364559j 0.0299659+0.0205211j 0.0304999-0.00814033j 
0.0022597-0.0149705j -0.0231718-0.0102753j 0.0129932-0.0185385j -0.0174392-0.00936504j -0.0267434-0.00901055j -0.0189423+0.00088113j 0.0033015-0.0222368j 0.0250356-0.00373101j 0.0107721-0.0153514j 0.0186718+0.0322131j -0.00620655+0.0106195j -0.0361919+0.0208885j -0.0243552+0.043702j -0.00146129+0.00931016j 0.0114094-0.041409j -0.050658-0.0273567j 0.00752781-0.0547952j -0.053967-0.0540871j 0.00926805+0.0183289j -0.026605-0.00928998j -0.0185915-0.00175081j -0.0189087+0.00479993j 
-0.000265597-9.91798e-05j 0.00184617-0.0144596j 0.0056024-0.00928279j 0.00098276+0.0135856j 0.00814921-0.00401464j 0.00646003+0.000391672j -0.000438761+0.00274326j 0.0045495+0.00937804j -0.0035471+0.0143844j 0.0102936-0.00771934j -0.0101167-0.00911315j -0.0181512+0.00658032j -0.0173722+0.00193356j 0.0213088-0.00685995j -0.00618012+0.00980628j -0.0196385-0.010227j -0.00796544-0.000928874j -0.0217879-0.00481707j 0.0135006+0.00784145j 0.00115098-0.000666288j 0.00543179+0.0104833j -0.00342238-0.00940223j 
-0.00956296+0.00341594j -0.0158605-0.0144118j 0.010395+0.00201669j -0.0115455+0.0162115j -0.00546205+0.0144088j 0.0247813+0.0021405j 0.0115363-0.00653881j 0.00945488+0.000741384j 0.00890771-0.0194981j -0.00141885-0.0283559j -0.0121562+0.0110667j -0.0112898-0.0025055j 0.000266794+0.000470274j 0.00155614-0.021896j 0.000774065-0.00514959j 0.0141944+0.0138956j 0.00809665+0.011835j 0.00876916+0.00382379j -0.0257423-0.00525252j 0.000563224+0.0152214j 0.000610905-0.0036075j 0.00220655+0.00396482j 
-0.0234741-0.00356812j 0.00626208+0.000703316j -0.00817525+0.000935581j 0.00484211-0.00554847j 0.00852756-0.0102378j 0.0175971+0.0222131j 0.00436511+0.00883626j -0.00637056-0.0173879j 0.00386184-0.00970676j 0.0260459+0.0202507j 0.00650234-0.00525075j -0.00218714-0.0242932j -0.00818466-0.00178829j -0.00933853+0.013022j 0.0210517+0.00641948j -0.0372128-0.0358777j -0.0178043+0.0238102j 0.00524091+0.0210163j -0.000371831-0.000287518j -0.00217039-0.00462679j 0.00373004-0.0112992j -0.00832239+0.00425728j 
-0.0059381+0.00249996j 0.0200295+0.0163687j -0.0119846+0.000764139j -0.00644363+0.0227196j -0.0125638+9.98119e-05j 0.0216818+0.00620242j -0.006868+0.00259935j -0.0067848+0.0233597j -0.0130028+0.00459976j -0.024592-0.000445806j -0.0177704-0.00223462j 0.0106307+0.00203869j 0.0227103+0.0161407j -0.00912106+0.00203177j -0.014178+0.0237217j 0.0173145-0.0313047j 0.0287575+0.0212891j -0.0182766-0.00328648j -0.0123579-0.000223206j 0.012437-0.0230324j -0.00388499-0.00364317j -0.0060531-0.00203677j 
-0.0303801+0.00920342j -0.013127+0.0259842j -0.0110498+0.011499j 0.0228308+0.0111021j 0.0246183+0.0137199j 0.0081822+0.00554861j -0.00287314-0.0106433j -0.0330339+0.00899676j -0.00870773+0.0163086j -0.0109984-0.0120957j -0.00256613+0.00364883j -0.00823046+0.0106067j 0.0131176+0.00814654j -0.00481495+0.0144928j 0.00310201-0.00352203j -0.0124249-0.00801649j 0.00634075+0.0139027j 0.0143492+0.0073027j -0.00976935+0.00404385j 0.00276709+0.00559484j -0.00339129-0.00987236j 0.0136931+0.00666374j 
0.0137016+0.0105552j 0.00755318-0.0100984j -0.00568834+0.000409589j 0.0117066+0.00976056j -0.00648193+0.00232344j -0.00781533+0.000409811j 0.0052447-0.00242965j -0.00201536-0.0145089j -0.00425245-0.00618865j 0.00569379-0.0354103j 0.00837276-0.0259657j -0.0122416-0.0109537j 0.0130486-0.0131102j -0.0178826+0.00797215j -0.0249611+0.0100341j 0.0133926+0.00522599j -0.00648133+0.0453422j 0.0139393+0.0146592j -0.0244596+0.0223225j 0.0227373+0.0248057j -0.0045539+0.00145258j -0.0152224-0.00152184j 
0.00185704-0.00695499j -0.0190519+0.0193506j 0.00487062-0.0170405j -0.00230203+0.00205641j -0.00897486-0.0124316j -6.23534e-05-0.00148061j -0.0030502-0.00774752j 0.0128351-0.00418051j 0.0172277-0.00450879j 0.00315881-0.00569126j -0.0160267+0.00688488j -0.00395525-0.00902851j 0.0207915+0.00493291j 0.00193739+0.0084162j -0.0204599-0.00532706j 0.0106109-0.00517726j 0.00304994-0.00047482j -0.00531315-0.00681707j -0.00746123-0.00469696j -0.00225775-8.12535e-05j -0.0024888-0.00439309j -0.0040758+0.00466844j 
0.022366+0.0159201j 0.0166922-0.0113896j -0.000850033+0.00260137j -0.00883614+0.00851294j 0.000144742+0.00139129j -0.0135816+0.0126862j -0.00517754+0.00412319j -0.0113215+0.00577893j 0.00750575+0.000431426j -0.0230508+0.001278j 0.011096+0.00213854j 0.0173767+0.0271076j 0.0139926+0.00700334j -0.0148438-0.00746067j -0.00471585+0.0141529j 0.0128745+0.00912565j -0.0140585-0.00623031j -0.0195865+0.00547904j 0.0103316+0.00365098j 0.0254409-0.00774468j 0.0120281+0.00446643j 0.00147357+0.00670892j 
0.0119306-0.0203094j -0.000166943-0.0088384j 0.00534343-0.0105867j 0.0118716+0.00868452j -0.00599486+0.0102341j 0.00965371-0.00908956j 0.00206907-0.00266562j 0.014048+0.0145243j -0.00719394+0.00555758j 0.00439583-0.00301296j 0.0116155+0.00486599j 0.00653446-0.0105235j 0.0192813-0.0294017j -0.0127291+0.00235599j -0.00726483+0.00135886j 0.0147368+0.00637743j -0.00407764-0.0290925j 0.0077546-0.00812581j -0.0217947+0.00265094j 0.000967956+0.00386857j 0.000202341+0.0245243j -0.00067999+0.00326093j 
0.000770269+0.0109053j 0.00266637+0.0112453j -0.0103912-0.0010829j 0.0273023+0.0113901j 0.00372886+0.0088225j -0.00254922-0.0261178j 0.00774867+0.0128899j -0.01459-0.0161467j -0.000833842+0.0136373j -0.0159551-0.0466678j -0.0163888+0.0101564j -0.0188452+0.00893072j 0.00188646-0.0169879j 0.027085-0.0140488j 0.0112723+0.0574761j 0.0127501+0.0391003j 0.00509954+0.0336405j 8.64108e-05+0.0248448j -0.00208009+0.000324919j 0.0197234-0.0107789j 0.00473934+0.00443241j 0.0216138-0.00576064j 
0.0239888+0.0109791j -0.0047741-0.0227712j 0.00133096-0.0113495j 0.00841969+0.0134057j 0.00284579-0.0226689j -0.00285502+0.0226179j 0.000293279-0.00856308j -0.0146264-0.0215319j 0.00502876-0.0188094j -0.0197103-0.00425875j -0.012098-0.0134881j 0.010723+0.0265705j -0.036497+0.0426895j 0.0332774-0.0230665j 0.00131887-0.0418422j 0.0182514-0.0205211j 0.0151603+0.0500115j 0.00285305+0.0370131j 0.0527563+0.0344577j 0.0046469+0.0287391j 0.0292489-0.00119393j -0.0119043+0.00575561j 
-0.020789-0.0284975j -0.00860845-0.0290638j -0.0160192-0.0161817j 0.00118339-0.000261089j -0.021523+0.0122384j 0.0178974-0.00259004j -0.0149816-0.00447306j -0.00564169-0.0170056j -0.0302413+0.0293606j 0.0387927+0.0173261j -0.00520305-0.0100755j -0.00381704-0.0176652j -0.0107952+0.0216546j -0.0275223-0.00417656j 0.00331898-0.0345538j -0.0328017-0.046087j -0.0021787-0.0189979j 7.75998e-05-0.00782836j -0.00331282+0.0102477j -0.00658877+0.0161039j -0.0056845-5.2548e-05j -0.0102258-0.00364664j 
0.0319143+0.0204948j 0.00565042+0.0169726j 0.0119566+0.00651143j -0.000319861+0.00337287j -0.0109054-0.00335304j -0.0367171+0.0243879j -0.00286496-0.0149474j 0.0164837-0.0205702j 0.012374-0.0257432j 0.00606941-0.000502009j -0.0117648+0.010539j -0.00559712+0.00932203j -0.0229647+0.0250798j -0.0499742+0.0448972j -0.013904-0.0277859j -0.00693477+0.0124458j 0.027113+0.0246129j -0.0249068-0.02005j -0.028755+0.00143886j -0.0439587-0.0124749j -0.0265581-0.00727304j -0.0626608+0.0100072j 
-0.00145388+0.0334659j 0.0451629-0.00166298j 0.0192296+0.0171331j -0.00456494-0.0171023j 0.00575696-0.0098582j 0.0259114-0.0223626j -0.00419288+0.00534705j 0.026059+0.0073793j -0.0203075+0.011317j 0.0192044+0.00505172j -0.0183523+0.0054902j -0.00908942+0.0019673j 0.0266787-0.0411474j -0.0248555+0.000962341j 0.00625728+0.00648809j -0.0284558+0.0109589j 0.00565226-0.0290707j -0.00390275-0.0340175j -0.0459483-0.00881818j -0.00575256-0.0204778j -0.0211598-0.0029412j 0.0154796-0.00514418j 
-0.0797698-0.00129286j 0.000401328-0.0102081j -0.0386232-0.00117278j 0.0364757-0.00805221j 0.0306181+0.001899j 0.0717095-0.013415j 0.00538003+0.00486281j -0.0639381+0.00761759j -0.0104447+0.0354629j 0.00869321+8.53267e-05j 0.0239759-0.00783824j -0.0106401-0.0117124j 0.0521918+0.00890597j 0.0256813-0.0188616j 0.0433044-0.0213439j -0.0166298-0.0584364j -0.0436614-0.00201676j 0.0414536+0.0220001j -0.00416153+0.0290462j 0.0569964+0.0315911j 0.0240944-0.00149324j 0.0674329-0.0101755j 
