0.502171+0.498116j 0.482949-0.521446j 0.135642+0.0132935j 0.0214989+0.0184663j 0.0736998+0.00932732j 0.0299856+0.00292714j -0.0314098-0.0430458j -0.0220618+0.0155856j 0.0349794-0.000790622j 0.0166019-0.0158067j -0.0189319-0.0215514j 0.0107049-0.0213574j 0.00918309+0.0123499j 0.0382022-0.0420378j 0.0186458-0.0160154j -0.00387822-0.0103097j -0.000660732+0.0260454j 0.0105053-0.00191911j -0.0108236+0.0243796j 0.0279335+0.00628483j -0.0118496+0.0017155j -0.00773781+0.00667164j -0.00919043-0.0148391j -0.0301335-0.00288846j 0.00223518-0.00974559j 0.0107525+0.00263416j 0.00396821-0.0145467j 0.0172508+0.00948668j -0.0260347+0.00485322j -0.000864411+0.00243678j 0.00935639+0.00378089j 0.0188275-0.0108459j -0.00308094-0.0407919j -0.00563382-0.00261254j 0.000944835-0.0109557j -0.000717155-8.71753e-05j 
0.00354879+0.0113737j -0.00793127+0.00357944j 0.00153258-0.000787452j 0.0265757-0.0334297j -0.0266541+0.0121125j 0.0681512+0.00467555j 0.0513556+0.00655727j 0.0991953-0.0229733j 0.104495-0.0185046j 0.0320237+0.00509603j -0.00526026+0.0138438j 0.0574451+0.0252316j -0.00921719+0.103605j -0.00744661+0.0193959j 0.0324616-0.0124362j 0.0364374-0.00609528j 0.0834804+0.00958879j 0.113471-0.0818779j -0.0935985-0.0276985j -0.138995+0.116414j 0.0480678-0.0501271j 0.0524407-0.092634j -0.0886453+0.0865718j -0.116562+0.13529j 0.0189843-0.101286j 0.00214662-0.0792051j 0.0260097+0.169162j 0.026283-0.0665786j -0.0526433-0.0584958j 0.123746+0.157581j -0.474771-0.211285j 0.0756646+0.118011j -0.00868882-0.0268369j 0.142225-0.122052j -0.205108-0.167931j 0.323222+0.150024j 
-0.00407333-0.0149796j -0.0219899+0.0185086j -0.0409632-0.00935349j 0.0109175-0.0363692j 0.0358437+0.00806508j 0.0287791+0.0256903j 0.00344889+0.0400404j 0.0376368-0.0138321j 0.0292726+0.022267j 0.00590047-0.0126181j 0.024557+0.0189032j 0.0172899-0.0152755j -0.0397782+0.00578373j 0.00630408-0.0177724j 0.0110067-0.0351888j 0.0148716+0.00307664j 0.0396616+0.0291979j 0.00602266+0.0190068j -0.0160534-0.0337938j -0.0705314+0.0234734j 0.0122103-0.0115915j -0.035696+0.0627646j 0.0186806-0.00905734j -0.02011+0.0431916j 0.0483421+0.154121j 0.0181585-0.0502021j -0.0835509-0.117823j -0.00152802-0.0766282j -0.0185239-0.0594283j -0.0578521-0.0161176j -0.0779238+0.116222j 0.0454189-0.0420692j -0.0232701-0.0506213j -0.0474003-0.0395j -0.0037108+0.0681983j 0.0838147-0.0420714j 
-0.000488145-0.0240158j 0.0213941-0.00821733j -0.000670257-0.00176834j 0.00198701-0.0305441j 0.00168757-0.0160673j -0.0221303+0.036696j 0.0334818-0.00791125j -0.0157001+0.0625044j 0.00263812-0.0424253j -0.0012114+0.0632091j -0.0843911-0.0405852j 0.00451936+0.0127436j -0.0228183-0.0129356j -0.000497773+0.0532502j -0.000508396-0.013474j 0.0152761-0.0217421j -0.0136363-0.0137981j 0.060554-0.074519j -0.05135-0.012439j 0.15738-0.0758979j 0.0145729+0.025818j 0.124446-0.224208j -0.0347185+0.0632348j -0.0284359-0.215748j -0.106205-0.453131j -0.0704234+0.134522j -0.0131062-0.0875324j -0.101655+0.0728907j 0.0910718+0.248559j 0.0153568+0.0318995j 0.00952155+0.0180154j 0.0298309+0.0917906j 0.0739687+0.200213j -0.0298135+0.0294979j -0.091492-0.0700614j -0.0424645-0.0536938j 
-0.0151924-0.00881134j 0.00415775-0.0178758j -0.0090701+0.00399107j 0.010856+0.00420524j 0.0160166+0.00362847j 0.020389+0.000529857j -0.0406678+0.0158475j 0.110746-0.0364205j 0.0348872+0.00904425j -0.0267609-0.00600969j 0.0226935+0.0580514j 0.0567534-0.00498753j 0.00416737+0.0579806j -0.0224679+0.00031851j -0.0261223-0.0386862j 0.047475-0.00986303j 0.0498022+0.00358874j 0.126327-0.103933j 0.180998-0.0298921j -0.139082+0.124596j 0.0455026-0.0966706j -0.00247783-0.0588419j 0.100967-0.203136j 0.139358-0.0778649j -0.0982229-0.0674043j -0.130747-0.237925j -0.21145-0.12939j 0.49418+0.070979j 0.046799+0.119644j -0.0252826-0.024243j 0.0461141+0.000797474j 0.183895-0.082815j 0.213802+0.133186j 0.0755052+0.00207001j 0.266027+0.110844j 0.126108+0.0487407j 
-0.00549343+0.0118263j -0.0173048+0.00735647j 0.0307176-0.0318468j -0.0362764+0.00791059j 0.00897981+0.0148327j -0.0850718+0.0147204j -0.104664+0.0202289j 0.0168175+0.00970121j 0.054587-0.0136827j 0.0151011+0.00609841j -0.00447487-0.00665301j 0.035612-0.0199638j 0.0462245+0.0226118j 0.00254134-0.00948001j 0.00842403-0.031707j -0.00950054+0.00541984j -0.0892758+0.0351177j -0.0527131+0.0326403j 0.284803-0.10494j 0.031011-0.0501508j 0.00111529+0.0228676j 0.0290858+0.0300424j -0.0884446-0.0789269j -0.154672-0.117903j 0.0217388+0.018141j -0.0733061+0.0885394j 0.533018-0.0179299j 0.190815+0.0524274j 0.0451152+0.0112347j -0.195014+0.272147j -0.106743+0.0975101j -0.172128-0.213373j 0.0283888+0.0277993j 0.245253+0.215865j 0.0473044+0.016678j -0.0755401-0.0240467j 
-0.0250762-0.0419918j -0.022925+0.0443087j 0.00651538+0.00629619j -0.00460644+0.00242422j -0.00127985+0.00316557j -0.02819-0.0378762j 0.000778911-0.00768147j -0.0315194+0.00175435j -0.0106802-0.00162285j 0.00137043-0.00559464j 0.0133437-0.00270981j -0.0167745+0.00378952j 0.0197315-0.00802739j 0.00608928-0.0144006j 0.00303859+0.0194825j -0.0213907-0.00481693j -0.0493233-0.0405686j -0.0255566+0.00529531j -0.0355742-0.0351341j 0.0226766-0.017991j -0.0228439-0.00926111j 0.00207411+0.0149399j -0.0819287-0.0922386j 0.0417565+0.0655929j -0.00925277-0.0665224j -0.054436-0.000295918j 0.0260178-0.081794j -0.073981+0.102954j -0.0433065+0.0101631j -0.00460883+0.0164052j 0.021039-0.0110623j 0.0184682+0.0165002j -0.0551563+0.0383311j 0.0285036+0.0176404j -0.0342807+0.0360809j -0.0423151+0.0318869j 
0.011875-0.000428228j -0.00666625+0.00752272j -0.0202503+0.0311916j 0.0255081-0.00356719j 0.0195918-0.0215978j 0.0316325+0.00617156j 0.00680844-0.00308349j 0.0870746-0.029324j -0.0112129+0.00640451j -0.0673795+0.00115758j 0.00718909+0.0649364j 0.0123792-0.000814032j -0.00362476+0.0247119j 0.00321901+0.0346487j -0.0323079-0.0178303j 0.0754648-0.0388359j 0.00710395+0.00889217j 0.247794-0.216686j 0.0441928-0.0168217j 0.183026-0.176473j -0.135051-0.0686385j -0.153322-0.303802j 0.041299-0.0099952j 0.0524488-0.0857487j 0.561224-0.0248441j -0.00258268+0.140666j 0.055357-0.053859j -0.0269001+0.0336659j 0.251876-0.00338154j 0.030783-0.0507182j -0.0106901-0.0346239j -0.00918528-0.0717951j -0.190806-0.0666455j -0.0579217-0.0547988j 0.166964+0.0553386j 0.0965533+0.0298189j 
0.00585888+0.0142711j -0.0214073+0.00502765j -0.0278043+0.0155144j -0.00638351-0.0122973j -0.0081482+0.00751882j 0.126372-0.0471318j 0.0389883-0.00518176j -0.0816504+0.0121467j -0.0211369+0.0155371j 0.0570248-0.0141244j -0.0125426-0.0427228j -0.00374387+0.0259501j -0.0363925+0.00215414j -0.0121051-0.037032j -0.00676188+0.0279174j -0.0149839+0.0109505j 0.33174-0.145099j -0.0611249+0.0453698j 0.138761-0.114358j 0.0957475+0.17489j -0.0504074-0.0088949j 0.0600685+0.0688724j 0.404645-0.173925j -0.341679+0.0218456j 0.0169494-0.0708047j -0.174751+0.160084j 0.0368325-0.0823766j -0.0669634+0.0570859j 0.0893762+0.224551j 0.0261844-0.0592713j -0.0108226-0.079236j -0.105148-0.0723291j 0.247705+0.057704j -0.145306-0.135214j -0.0327095-0.0110517j 0.0507491+0.00556124j 
0.017683+0.0118829j 0.0070752-0.0231862j -0.0206394+0.021875j -0.0186269-0.0416984j 0.0374815-0.00545972j -0.0553501-0.0336432j 0.00136788+0.0288887j -0.0264528+0.00756978j 0.00399355+0.00430453j 0.0154836-0.00681596j 0.0207204-0.00417203j -0.00976387+6.57455e-05j 0.0101639-0.00947939j 0.000178175-0.0191128j 0.00709672+0.0129436j -0.0679261-0.0458512j -0.0119354+0.0451122j -0.0432003+0.0296012j -0.00119443+0.00912894j -0.0562114-0.0599523j -0.0694278-0.112222j -0.0622773-0.0100507j -0.02885+0.00169411j 0.00479069+0.0362678j -0.0766497+0.144148j 0.00995489-0.0221913j 0.0227414-0.0340594j -0.0177453+0.00869992j 0.0158444-0.0190614j -0.00184431+0.000506561j 0.0146327+0.00742099j 0.0456425+0.0109685j 0.000852665-0.0423679j 0.039572+0.0186056j -0.0390918+0.041317j -0.0459758+0.0220373j 
-0.0345302-0.00959131j -0.00741332-0.0215103j -0.0103983+0.014059j -0.00331109-0.0337175j -0.00324284+0.0169483j 0.0476017-0.0363931j 0.0276016-0.0991358j 0.000661575-0.0176159j -0.00909932-0.024312j -0.00251115-0.0129115j -0.000355594-0.00393393j 0.0185488+0.0395666j -0.00413982+0.0554512j -0.00730768-0.0188955j -0.0187488-0.0256182j 0.0128275+0.000168378j 0.0604651+0.0236949j 0.00323383-0.0120807j -0.0569437+0.191611j -0.00307294+0.0188456j 0.00809121+0.00548147j 0.00401353-0.0373894j -0.0231782+0.282369j -0.161145+0.0292556j 0.0270836+0.0434996j 0.0591562+0.207969j -0.0908969+0.45943j 0.0375505+0.241522j 0.0823273-0.0153961j 0.107255+0.226129j 0.0313725-0.0250562j -0.169175-0.146166j 0.0672037+0.00719755j 0.0571544+0.0312362j 0.0365214-0.0055091j 0.0186811+0.0110053j 
-0.0068124-0.00683237j 0.00253146-0.00314412j -0.0431387+0.0190069j -0.0185266+0.0307015j 0.0286391-0.0105085j 0.168274-0.065707j -0.0585647+0.0564671j -0.0266457+0.0207956j 0.0131906+0.00639642j -0.0158084-0.0126206j -0.048971+0.0446298j 0.0181035-0.00344883j -0.00977451+0.0194168j 0.029656-0.00582752j -0.0504789+0.0231171j 0.323329-0.162231j -0.0815102+0.138658j -0.143126-0.108262j -0.00131488-0.000557784j 0.146288-0.142516j 0.464029-0.199024j -0.128541+0.151167j -0.000922195+0.064083j -0.056073-0.0240562j -0.0261967+0.162216j 0.00222092+0.0897586j -0.00766748-0.10262j 0.0175526+0.0295363j -0.128637-0.13356j -0.0734272-0.126824j -0.0379976-0.0382987j -0.159154-0.131709j -0.0769173+0.0325518j -0.15213-0.11886j 0.132057+0.00347093j 0.100717+0.00383462j 
0.0297261-0.00185085j 0.0144296+0.00781802j -0.0145834+0.0362023j -0.0187518-0.024644j 0.00930084+0.0153974j 0.0622838-0.120942j -0.0131352-0.0902515j 0.000925982-0.0397347j -0.0135563+0.00756609j -0.0415293-0.0357098j 0.000658167+0.0495563j 0.0067377+0.00734968j -0.00142628+0.0499684j 0.0259659-0.000176906j -0.0228619-0.0343427j 0.106424+0.0187418j -0.0161761-0.196351j 0.00127976-0.0694295j -0.0149694-0.0658165j -0.00848273+0.19543j 0.182252+0.0326557j 0.0612483+0.132474j -0.0548366-0.293309j 0.0441121+0.288761j 0.0889215-0.185182j -0.107816-0.187272j -0.0187424+0.128938j -0.042107+0.132824j -0.204716-0.117307j 0.028126+0.134863j 0.0666245-0.0190246j -0.0460345-0.0394299j -0.0836221+0.0409507j 0.0877122+0.049989j 0.0589778+0.00116429j 0.0122132+0.0175193j 
0.00680205+0.00268898j 0.0045101+0.0029049j -0.0039691-0.0533829j -0.0171613+0.000664967j 0.00267081-0.00675578j 0.0216464+0.215284j -0.0143197-0.0267095j 0.0438881+0.00437883j 0.00830906-0.00716511j -0.00796627+0.0145338j 0.00778712-0.021734j 0.00852077-0.000730714j 0.0138878-0.0145647j 0.00110005-0.0150846j -0.0080791+0.0197823j 0.031948+0.214051j -0.0203257-0.0449648j -0.0439085+0.163062j -0.0112587+0.00341097j 0.0551929+0.130905j 0.0693048+0.436408j 0.155253+0.266734j -0.0175572+0.112065j 0.0594124-0.118509j 0.0788279-0.036578j 0.0659182+0.12276j -0.0249298-0.0332393j 0.0780232-0.0614796j -0.097629+0.000983322j -0.0819427-0.0959759j -0.0568991+0.0161708j -0.125459-0.0339697j 0.0112736+0.0415651j -0.127629-0.0514266j 0.0346079-0.039227j 0.0335886-0.0346432j 
