0.00738723-0.0474821j -0.00381763+0.0866514j -0.00232136-0.246428j -0.00019341-0.0136332j 0.00595938+0.0912837j -0.00110997-0.00913048j -0.00658271-0.181822j -0.0093778-0.854478j 0.00902447-0.0990648j 0.012833+0.0117237j -0.0258868+0.122383j 0.0531878+0.0419504j -0.00812784-0.00641063j 0.0575303-0.0556741j 0.0143244-0.00156471j -0.0150326-0.00151606j 0.0353722+0.0806944j 0.0106378+0.018034j -0.106147+0.03568j -0.00899892-0.0516629j -0.114683-0.0840868j -0.03816+0.306848j 
-0.0191227+0.0158358j -0.00335609+0.0039805j -0.01532+0.0219661j -0.0182817+0.00571176j -0.00888831+0.000294393j -0.000226725-0.00158985j -0.0259182+0.0352227j -0.00678088+0.0212258j -0.000127341+0.00696561j -0.0051821-0.00156275j 0.00122987-0.0102491j -0.0034366-0.0024108j -0.0179346-0.0289562j -0.000687442-0.0359714j 0.025355-0.0190556j 0.0249893-0.0501744j 0.0481193+0.00907567j -0.0489905-0.0216838j 0.0200262-0.00984651j 0.0028112+0.0171776j 0.0101379+0.000647163j 0.0055596+0.00416047j 
-0.000642138-0.0043557j 0.023064+0.0259947j 0.0306352+0.0152181j -0.00328377+0.0122263j 0.00478479+0.0331054j -0.0221186-0.0396085j 0.00935235+0.0142656j -0.00522562-0.011036j -0.00138249+0.00732139j -0.0158007+0.00209959j -0.00663288-0.02366j -0.0248197+0.00272489j 0.0144773+0.0105055j 0.0119442+0.0134841j -0.0125621+0.0211355j -0.0257433-0.0146731j -0.014854-0.00106585j -0.0175024+0.0239034j -0.0207068-0.00184498j 0.00886043-0.0127411j -0.0265592-0.00512556j 0.00250846-0.0249761j 
0.0270285-0.0119011j 0.0354044-0.0322634j -0.00419231-0.00183709j 0.00345722+0.00335232j -0.00677206+0.00778963j -0.0200372+0.058305j -0.00795344+0.0354276j 0.000903602+0.00242231j 0.00881801-0.00455448j 0.00977961+0.00602891j -0.00190026+0.00967935j 0.011511+0.00313611j -0.016853-0.0296368j -0.00668385+0.0080815j 0.033546-0.016322j -0.00284416+0.033083j -0.00887629-0.00305084j 0.0336278+0.00502717j 0.00836213-0.00761773j 0.00708829+0.00551035j 0.00554386-9.68107e-05j 0.000507053+0.00262687j 
-0.0125446-0.0144874j -0.0207781-0.0106271j -0.0174495-0.0115459j 0.0132935+0.0128457j 0.0146893+0.0110006j 0.00132774+0.00739422j 0.0266842+0.0238945j 0.0182682+0.0125282j 0.000226444+0.00157456j -0.00433927+0.00424443j -0.0140203-0.0124449j -0.0171802+0.00759598j -0.0337834+0.00104295j -0.0286556+0.000841922j -0.0010548-0.0296126j -0.0560709-0.00318986j 0.00196409-0.039922j -0.000965471+0.0533145j -0.00869434-0.00154272j 0.0075299-0.00565282j 0.00136938-0.00049854j 0.000402233-0.00457086j 
0.00347166-0.00259189j 0.0161429-0.0162476j 0.00321792-0.00230347j 0.0161664-0.0296424j -0.00267747-0.0201449j -0.0111383+0.0224782j 0.00560597-0.0211039j 0.0108781-0.0164379j -0.0180304-0.00309781j -0.00402819-0.0127372j 0.0302989-0.00796683j -0.0254692-0.0309006j -0.00346698-0.00382823j -0.0356012-0.0427941j 0.00314521-0.00910321j -0.0117068+0.00820339j 0.0386356-0.031327j 0.0139064+0.00528511j -0.000890692+0.0266126j -0.022098-0.00954795j -0.0222405+0.00969221j -0.00827456-0.0143197j 
0.0196988+0.0244054j 0.0204204+0.0355726j 0.00404145-0.00435691j 0.00331723-0.00645774j 0.0105765+0.0265005j 0.0529275+0.0405006j 0.0257586-0.00168096j -0.00179341-0.00554646j -0.00727539+0.0150675j -0.0205661-0.00592698j -0.00268774-0.0124711j -0.0139975-0.000222813j -0.0183291+0.0284754j 0.0117964-0.0100118j -0.0282341-0.0233494j 0.039328-0.0068889j 0.0105389+0.0110671j -0.000229301-0.0388135j -0.0171086+0.00168312j -0.00220232-0.0174564j -0.00526723-0.000131182j -0.00280405-0.00235617j 
-0.0058333+0.010886j 0.0268591-0.00899934j -0.0123781+0.0135884j -0.0113604+0.0309517j 0.017939-0.0471816j 0.0228905-0.0414672j 0.00989052+0.0107463j 0.00766935+0.00202962j 0.00927534+0.0254236j -0.0231304+0.00604266j 0.026187+0.00794516j 0.0134366-0.0245418j -0.0482881-0.0599988j -0.0157455+0.0221064j 0.0558494-0.043204j 0.00757997-0.0215522j -0.0156876-0.00416564j -0.0289095-0.00313314j 0.000932678-0.00052723j 0.00369335-0.00224694j -0.00345249+0.00359054j 5.89632e-05-0.00969852j 
0.0143362-0.0199987j -0.0200069-0.0231667j 0.00635697+0.00271879j -0.000311539+0.0364731j 0.0208623+0.0450345j -0.0091363-0.000720507j 0.0168241-0.0332408j 0.00747376-0.0168965j -0.0149418+0.0523616j -0.0749875-0.00873586j -0.0179388-0.0559519j -0.0558025-0.00489194j 0.0158125-0.0232744j 0.0679179-0.0304211j 0.0344618+0.0197021j -0.00106197+0.00545003j 0.0191286+0.0490957j 0.00544196+0.00857429j -0.097933+0.0166175j 0.000357951-0.089754j -0.0695094-0.0051082j -0.0125612-0.0609629j 
0.0189835-0.00950764j 0.00880072+0.0165508j -0.01936-0.0138566j 0.0387593+0.0324756j -0.0375414-0.00645536j -0.0483309+0.000268605j 0.0106566-0.00484145j 0.00597771+0.00135717j 0.00736934+0.0254143j -0.0345165+0.00554017j -0.00271228-0.0312656j -0.027153-0.013898j -0.0756265+0.0701213j 0.0417335-0.000656795j -0.0611139-0.0678432j -0.035576+0.0152586j 0.00789199+0.0245199j 0.0261796+0.0426192j -0.0128741+0.00486253j -0.000252164-0.0158586j 0.000151637-0.00290168j -0.00286507-0.00352943j 
0.0241983-0.0123365j 0.0120272-0.00368408j -0.0069651+0.00546696j -0.0105728+0.0453171j 0.0073264-0.0460363j 0.00481999+0.0018328j -0.0166047+0.0164214j -0.0137349+0.0150802j 0.0347829-0.00942184j 0.0390407+0.0341674j -0.0997524-0.0253628j -0.0109677+0.0965737j 0.00629213-0.00575155j 0.00505888+0.0181107j 0.00194242+0.00888581j 0.00681688+0.00106137j -0.0232246+0.00212277j -0.00324357-0.0024542j 0.0163606-0.0181143j 0.0131342+0.0130902j 0.0200017-0.00371283j 0.00317726+0.00620974j 
-0.0200527+0.0144916j 0.00717229-0.00346131j -0.00529108+0.00217035j 0.00195891-0.0549439j 0.0209138-0.00626663j -0.00123297-0.00130481j -0.00938251+0.00498879j -0.00817986+0.00439943j 0.131211+0.0528216j -0.0392514+0.120832j -0.016949+0.00815533j -0.00806093+0.0112461j -2.97311e-05+0.00239029j 0.00154463-0.00185767j 0.00112374-0.00251387j 0.000204259+0.00125349j -0.00509882+0.0106975j 0.000484606+0.00112378j 0.000762963-0.000132116j -0.00044666-0.0132737j -0.00050219-0.00010322j -0.00335363-0.00946318j 
0.0290239+0.0189686j 0.00269907+0.00561965j -0.0080576-0.000985885j 0.0225926+0.0578694j -0.0388411+0.0415338j 0.00151827+0.00116398j 0.00803794-0.00362853j 0.0085445+0.0162213j -0.00515128+0.0577698j -0.065773-0.0309264j -0.0740581+0.140467j 0.152279+0.0411672j -0.00260541-0.00117845j 0.0688078-0.0536297j 0.0200275+0.000395337j 0.0118075-0.00658151j 0.0494923+0.0720271j 0.00580058+0.00102903j -0.0910581+0.0147429j -0.0203306-0.0836904j -0.0400741-0.0137711j -0.015658-0.0269414j 
-0.0271131-0.0112582j 0.0138077-9.74815e-05j -0.011836+0.00102799j -0.0593279+0.0176649j -0.0063735-0.0414302j -0.00211364-0.000631694j 0.00639856+0.0292458j 0.00634742+0.0308539j 0.0610445-0.198691j 0.206178+0.0343536j -0.00679112+0.0790556j 0.0838169+0.0244434j 0.00218068-0.00266677j 0.0189684-0.0157173j 0.00162138-0.0023388j 0.0079913-0.00648339j 0.0309286+0.0295079j 0.000819746-0.00257005j -0.0216599-0.00309334j -0.0170077-0.0157666j -0.0013845-0.00946217j -0.00604715+0.00573113j 
