1.00999+0.00245191j 0.0907621-0.0685671j -0.0569343-0.0768217j -0.019571+0.000361239j 0.0444186+0.01268j 0.0107152-0.0499252j -0.00363103+0.0531209j 0.0482159-0.00526881j 0.0279804-0.00155782j 0.00378537+0.00495009j -0.00672032-0.0185505j -0.0128072+0.00398963j -0.00108042-0.0068234j 0.00874488+0.0170539j 0.0371749-0.021302j 0.0178746+0.0266017j 0.00127304+0.000377717j -0.00828054+0.0275397j 0.0354659+0.0157536j -0.00371249-0.00270973j -0.015333+0.0250021j -0.0116936-0.00382481j 0.00625908-0.0145055j 0.000872818-0.00204283j 
-0.0170944+0.0112994j 0.00219236-0.0182041j -0.0247346+0.00715871j 0.039829+0.00982694j 0.0276019-0.0434419j 0.0863315-0.00815711j -0.0150682-0.0271927j 0.00535064-0.0752689j -0.0121716+0.0398658j 0.0725476-0.0680321j -0.0284796+0.0421986j 0.0972588-0.206175j 0.0470242+0.310765j 0.090488+0.128343j -0.132982+0.10367j 0.188996+0.246312j 0.129054+0.243996j 0.134066-0.0716885j -0.0388319+0.151662j 0.082005-0.215367j 0.177122+0.0477016j -0.0937186-0.0903159j -0.0486502-0.0673254j -0.0168794+0.0054842j 
-0.0411738+0.00405279j -0.0176487-0.00897533j -0.00958634+0.0196093j -0.0166007-0.045365j 0.0228332-0.0394723j -0.0138657-0.00501634j -0.0374018+0.010678j -0.00894155-0.00227605j -0.0189672-0.00538523j -0.0996381+0.107032j 0.167671-0.113397j 0.190253+0.0560776j 0.29243-0.13353j 0.0263269-0.000146679j 0.0715578-0.303026j -0.18203+0.116041j 0.100446-0.410974j -0.0914194-0.062659j -0.151684-0.215679j 0.0426333-0.0126291j 0.0537865+0.0503651j -0.0926398-0.0701926j 0.122357+0.0372136j -0.0507888-0.0184533j 
0.0246444-0.00434219j -0.0291483+0.00621096j -0.0186596+0.02957j -0.115738+0.0781339j 0.0286522+0.00973939j 0.00384067+0.0341848j 0.00981099+0.00523019j -0.0252614+0.0536697j 0.0078906-0.0274277j -0.255388+0.186387j 0.00273026-0.125965j 0.205006+0.198217j 0.485505-0.0973747j 0.180656-0.0736992j -0.182456+0.109776j -0.112558+0.264272j 0.0244713+0.209395j 0.0192693+0.0228671j 0.08922+0.0595576j -0.0465924+0.017754j 0.286653+0.129973j 0.00913415-0.00219658j 0.0947389+0.0682326j -0.033009-0.0343219j 
-0.0218327+0.00385212j -0.0104905+0.0261251j 0.0241293+0.00407617j 0.0186316+0.098016j -0.00788696-0.01849j 0.0663798-0.0424248j 0.0166061-0.0172893j -0.0260512-0.0012591j 0.0213941+0.0120878j -0.0812038+0.0390522j 0.0296661-0.0970663j -0.146886+0.247394j -0.108255-0.396935j -0.000644157-0.138384j -0.00171272-0.0141234j -0.218759-0.247452j -0.0511814+0.024789j 0.0190801+0.0107151j 0.0862887+0.0759469j -0.00823522-0.00996296j -0.143033+0.0254415j 0.0446073+0.0293049j -0.0920067+0.00685024j 0.0364225+0.0116665j 
-0.00879396-0.000248355j -0.0125403+0.000444002j 0.0103283+0.0127337j 0.00930542-0.0207194j 0.01728-0.00781476j 0.00337989-0.00395941j 0.0269173-0.00872497j -0.0119537+0.00392567j 0.010643+0.0277927j -0.00107434+0.00984709j -0.00280845+0.0198659j 0.0235387-0.0172261j 0.0141882+0.0342348j 0.0315365+0.0193262j 0.0253673-0.00598731j 0.0179989+0.0283668j -0.0338311-0.0301756j 0.0366982-0.0608567j -0.0167841-0.0195074j 0.0283861-0.122767j -0.00159959-0.0159816j -0.116518-0.097381j -0.0159959-0.00850643j -0.101015+0.129665j 
0.00912465-0.0110366j 0.0113281+0.00124164j -0.0102762-0.00185218j 0.007712-0.00187611j -0.0099643+0.00616935j 0.020367-0.0148816j 0.0277999-0.016764j -0.00163106-0.00149797j -0.0290494+0.0320525j 0.0258775-0.00565714j 0.0322972-0.00075427j 0.0269234-0.00730811j -0.00745973+0.0016589j 0.00819487+0.0205184j 0.0362876-0.01607j -0.000486835+0.00548755j 0.0235385-0.0299027j 0.0834239+0.0114767j -0.0886543-0.0169463j -0.0113455-0.0591961j -0.00821972+0.00769061j -0.0270754-0.0682543j 0.00745115-0.061431j 0.079868+0.0851808j 
-0.0149823+0.0108834j -0.00768885+0.0143916j 0.0286742-0.00582j -0.0139798+0.000902443j -0.00721144-0.0080675j -0.00767789-0.00200851j 0.00181282-0.0210769j 0.00893208+0.0134811j -0.00372894-0.0331059j -0.00332111-0.00430878j -0.0134463+0.0022671j -0.00410201+0.0137094j -0.00904134-0.0279145j -0.00485153-0.00137579j 0.00368638+0.0315083j -0.0163714-0.0165514j -0.0051479+0.0627714j 0.0517541+0.0443015j 0.0414362+0.0236035j -0.0427986+0.0242705j 0.0127249-0.00382076j 0.0485281-0.0278926j -0.0116124+0.0883458j 0.0463323-0.0316301j 
-0.00175666-0.00210219j -0.0046294+0.0146111j 0.0185535-0.0042037j 0.00672128-0.0124088j -0.00940617+0.0189965j 0.0192788-0.020526j -0.0210887+0.0403063j -0.0062172+0.00697823j -0.00467007+0.00406722j 0.00339884-0.00252674j -0.00685276+0.00302601j -0.00634199-0.00745186j -0.012698+0.0195845j 0.0117549-0.00116584j 0.00276363+0.0121614j 0.0296626+0.00560543j -0.00845622+0.0247685j 0.0150086-0.008717j 0.0232656+0.0189229j 0.0061591-0.0107549j 0.00931948-0.0493986j -0.0162507-0.0052003j -0.000646049+0.0246231j 0.00488482+0.0151565j 
-0.00164618-0.000220887j 0.000508518+0.0211774j -0.0188946+0.0154088j -0.0270536-0.00873332j -0.0303389-0.0148988j -0.00757454+0.0183929j -0.0163145+0.0372632j 0.00596855-0.00821716j -0.035311-0.00909176j -0.00144389-0.00999324j 0.00120637-0.0214068j -0.00621967-0.0109633j -0.00246943+0.00873144j 0.00452839-0.0298498j -0.0112754-0.00909732j -0.000398777-0.00176786j 0.00142363-0.000117341j -0.0177379-0.0188888j 0.00867202+0.010482j 0.0180808-0.0013505j -0.00316554+0.0058736j -0.0504607-0.0177277j -0.0172818+0.00578741j -0.0230304+0.0457937j 
-0.00172594-0.0212841j 0.0121714+0.00147401j -0.00211242-0.00777077j 0.00640109-0.00109618j 0.00375572-0.00587296j -0.0125825+0.0129501j 0.00219053-0.0149499j -0.0105215+0.0177766j -0.0182787-0.0229774j -0.0160021+0.00960046j 0.0228885-0.0052737j -0.0366998+0.0112537j -0.0216293-0.0146414j 0.0704215-0.00818622j -0.0881481+0.0113293j -0.0121493-0.00146781j 0.0292358+0.0381356j -0.0292084+0.00934744j 0.057813+0.0573816j 0.0552603+0.00174031j 0.00627335+0.0206739j 0.0174288+0.0557423j 0.0471205+0.0690135j -0.0187973+0.00884113j 
0.00799342+0.0039354j 0.0030381-0.00965058j -0.0164191+0.00639863j 0.014965-0.00973752j 0.0120782-0.0189657j 0.0105064-0.000681422j 0.0343853+0.00971162j -0.00260369-0.00314296j -0.00655839-0.0303609j 0.0207116-0.00222365j 0.0342625+0.00619936j 0.0226126-0.00169904j -0.0237394-0.0055668j 0.0571064+0.0127366j 0.0144435+0.00234279j 0.00817367+0.000991935j 0.00299289+0.00256927j -0.0547151+0.0133259j -0.00397205-0.0231781j 0.0189858-0.00464827j 0.00669913+0.00495131j 0.0666946+0.0447647j -0.0179485+0.0121409j 0.0248735+0.0265879j 
0.0246013-0.0175825j -0.00761248+0.00283947j 0.0103188-0.00279294j -0.0200653+0.00216385j -0.00151477+3.99011e-05j -0.0122368-0.00475506j -0.00766422-0.0057302j 0.00989052+0.0202783j 0.00540028-0.0214752j -0.0232418+0.00481898j -0.0201241+2.07768e-08j -0.0163699+0.0231436j 0.00104582-0.0387144j -0.00930022-0.01472j -0.00674167+0.0324499j -0.0391345-0.0186401j -0.0176051+0.0545996j 0.0262062+0.0122949j 0.043709+0.0177658j -0.0306478+0.0121518j 0.0124817+0.0376816j 0.0160269-0.0188636j -0.00726921+0.0573927j -0.00457174-0.0346099j 
-0.000292752+0.00734693j 0.0163533+0.0155872j -0.00356056+0.00138893j -0.00867375+0.00393554j 0.0276058-0.0224716j -0.00823229-0.0317759j 0.0263746+0.0154099j 0.0189525-0.0207032j 0.0122135-0.0175582j 0.0072713+0.00662968j -0.000950468+0.0125555j 0.0158121+0.00664442j 0.00921082+0.000599611j -0.0048858+0.00526583j -0.0228166+0.00268401j 0.00745104+0.017852j 0.0137595+0.000547912j 0.0323963+0.00679602j 0.0063508+0.022482j -0.0113231-0.0088056j -0.0175803-0.00822053j 0.00550479-0.00948486j 0.0107123-0.00166124j 0.00691358-0.0127306j 
-0.00265+0.0107195j 0.0046687+0.0214456j -0.0111617+0.0213063j 0.0215324+0.00243633j -0.0288173+0.0164506j 0.00305415-0.0100069j -0.0152147+0.0053446j -0.028027+0.00926693j -0.0062723+0.00364258j 0.00178227+0.0161975j 0.00276885+0.0252137j 0.0048023+0.00807526j -0.00034431-0.00336961j -0.00879468+0.0064543j 0.033662+0.00414178j -0.00850538-0.0108976j -0.0133473-0.00229899j 0.00719885+0.00491137j 0.0141658-0.00918212j -0.0113091+0.00102146j 0.0145922-0.00365521j 0.0246982-0.00103431j -0.0095542+0.0222811j 0.00620229-0.0261606j 
-0.00474831+0.00113163j -0.0166666-0.0234291j 0.0127091-0.0268719j 0.0188653-0.00567316j -0.0493652+0.00644253j -0.00576477-0.049891j -0.00524676+0.0586142j -0.0488413-0.0056103j -0.0282846-0.00891063j -0.00134333+0.00434308j -0.00225479-0.011066j 0.0147228+0.00152344j 0.00309477-0.00531315j 0.0123356+0.00440475j -0.00865304+0.00433087j -0.00557031+0.0064334j -0.000323938+0.00155737j -0.00121844+0.00166238j -0.00818827-0.00321743j -0.00399255+0.00296221j -0.0034071+0.0133386j 0.0110097+0.00144749j 0.00024327-0.00632218j 0.00612571-0.00181901j 
0.0234619-0.00289934j 0.00254324-0.00571548j -0.000713623-0.0104326j 0.00298628+0.0073189j -0.0161967+0.00397342j -0.0121652-0.0069234j -0.00643522+0.00770612j -0.0168241-0.0147342j -0.0114921+0.0118245j -0.00892345+0.000142246j -0.0200609-0.00512244j -0.0121157-0.00912523j 0.00535792+0.0199833j -0.000399833+0.00665796j -0.00880134-0.0189818j 0.00756529+0.00839619j 0.0143848-0.00997173j -0.00322173-0.0121946j -0.0201389+0.00718643j 0.0196422+0.00728014j -0.000872732-0.0176423j -0.0381705+0.00458818j 0.0192662-0.0113918j -0.0074047+0.00315868j 
-0.00821085-0.0197094j 0.00230091+0.00593984j -0.000915515-0.00909588j -0.0273304+0.0181366j -0.0026457-0.000381818j -0.0166706+0.00570468j 0.0118814+0.0163769j -0.00346539-0.0176383j 0.0145173-0.0200183j -0.0412922-0.00355907j -0.0813391+0.0168622j 0.015124+0.00812784j 0.0344011-0.0179657j -0.0341796+0.0495577j 0.0388113+0.0149895j 0.000142507+0.0150597j -0.044433+0.023343j 0.0102106-0.0116194j -0.0159359-0.0388137j -0.000523576+0.044801j 0.00128026-0.00969953j -0.0312923+0.00392811j -0.0107341+0.0224035j -9.71656e-05-0.017302j 
0.00306406+0.0128448j -0.013499-0.0131282j -0.0138869+0.0133398j -0.019555+0.00280036j 0.00839573+0.00273662j -0.0150391-0.0234682j -0.00907458-8.15798e-05j 0.0183898+0.0246585j -0.00850131-0.0038655j -0.0316241+0.0206592j 0.0256306-0.0254839j -0.048746+0.0441636j -0.00901865-0.0747174j 0.0156795-0.0361806j -0.0139552-0.00934073j -0.108367-0.0384616j 0.00468413+0.00408308j 0.00354386-0.00780695j 0.0120346+0.0121887j -0.00119596-0.017795j 0.0318356+0.100066j -0.0122031-0.0168325j 0.0247813+0.0338782j -0.0176933-0.00881094j 
-0.0111341-0.00563882j 0.018501+0.00815691j 0.00224427-0.0187502j 0.00760342+0.0018624j 0.0022219+0.0161735j -0.00207043-0.00334062j -0.00400116+0.0325735j 0.00526799+0.00486951j -0.00904777-0.0103007j 0.0106139-0.00185909j 0.0381207-0.0110431j -0.0333496+0.0106783j -0.00992054-0.0253196j -0.0152897+0.0581762j -0.0581109+0.0138313j -0.0135728-0.00872023j 0.0383197-0.00193373j 0.0131903+0.0232588j 0.014438+0.0190588j 0.0274695+0.0217978j 0.0118637+0.0304984j 0.0129856+0.0519194j 0.016547+0.00790758j 0.0106734+0.0269801j 
0.00193032+0.0100102j -0.00987608-0.0203056j -0.000909614-0.0175392j -0.00567702-0.0139071j 0.0356135+0.00701633j 0.0251176+0.00486079j -0.0157064+0.000708454j 0.028842+0.00917558j 0.0237689+0.00571251j 0.00188324-0.0186617j -0.0163966-0.0172559j -0.0152713-0.00854278j -0.00528507+0.0125895j 0.0186687-0.00066143j -0.0143218-0.0118694j 0.00617515+0.00557904j 0.0163394+0.00545626j -0.0181256+0.00591028j -0.0340333+0.00241094j 0.0118065+0.00210325j -0.00965069-0.0127475j -0.00664671+0.00744759j 0.0052062-0.0224243j -0.00125667+0.0193064j 
0.00354901+0.0118216j -0.012181-0.00872657j 0.0159472-0.019433j 0.00321498+0.00288091j -0.00742842-0.0204587j -0.0239774+0.0219331j 0.0134851-0.0416859j -0.01113-0.00709467j -0.0100639-0.000229077j -0.00838857-0.0174145j 0.0278545-0.0205944j -0.00383791-0.00610134j -0.00266579-0.0130247j -0.0116127+0.00123336j -0.026689+0.00607724j 0.0176591+0.000366125j 0.0124245-0.00475794j 0.00344739-0.00606402j 0.00795872+0.00885121j 0.00526181-0.00827586j 0.000143168+0.00766406j -0.0149571+0.0035496j -0.00609769-0.0207967j -0.00468372+0.0149397j 
-0.0208593-0.00159541j -0.00913238-0.00797114j -0.00710502+0.0059952j -0.000748167+0.00862861j -0.00377188-0.00970886j -0.0233795-0.00331732j 0.000247516-0.0178838j 0.000347093-0.0247628j -0.0126679+0.0190153j 0.00265927-0.00566462j -0.0096732-0.0223453j -0.0404769-0.0116464j -0.0165954+0.0318576j 0.0103666-0.0175001j 0.0104329-0.0465433j -0.0142597-0.00910255j 0.023121-0.0167462j -0.0274081-0.0125557j -0.0391241+0.00595287j 0.0190529-0.00100983j 0.0197268-0.0183492j -0.0406392-0.00324154j 0.0195558-0.0162582j -0.0067658+0.00537983j 
0.0189561+0.0177707j 0.00416218+0.0080331j 0.00382706-0.00198252j 0.0197688+0.0238165j 0.00128422+0.00816808j -0.0213031+0.00856155j 0.0078654+0.0138189j 0.00298428-0.0221845j -0.00405526+0.00562098j 0.0399742-0.0157315j 0.0173833+0.0256567j -0.0907045+0.0406739j -0.0472322+0.00202591j -0.0203023+0.0514594j -0.00468336+0.00751102j -0.0199849-0.0401656j 0.0351235+0.0181294j 0.0236155+0.0246783j 0.0031692+0.0377905j 0.0120925+0.0065635j 0.0218545-0.0253886j 0.0165539+0.0466529j -0.000681555-0.0249486j 0.0130142+0.0284726j 
-0.00447481-0.0153615j -0.0161983+0.0012638j 0.0167919-0.00626643j 0.0114306-0.00515149j 0.00486705-0.018505j -0.00808195-0.01571j 0.0049893+0.0105461j 0.0203033-0.0306825j -0.000154982+0.0104606j 0.0864961-0.0190819j 0.0443907-0.0315527j -0.0301485-0.00969683j -0.0240983+0.0531441j -0.0150104-0.0344756j 0.0185618+0.00871024j -0.00192999-0.0313326j -0.025045-0.0277021j -0.00478282+0.00047815j 0.0441236-0.009832j -0.0277559-0.00960183j 0.0106288-0.0274518j 0.0313365-0.0205113j 0.00168496-0.0209147j 0.00126981-0.00300123j 
0.00842705+0.00976882j -0.0182499-0.0109272j -0.00242204-0.0248271j -0.0315323+0.0365984j -0.00215-0.000165515j 0.0275035+0.046487j 0.0126757+0.0171126j 0.0232008-0.0101338j -0.0199611-0.00214771j 0.0103521+0.0467015j -0.0283897+0.0111509j 0.0473932-0.00741451j 0.0253528-0.0120886j 0.00828799+0.00930038j -0.00993193+0.00306669j -0.0196864+0.0202172j 0.00328579+0.0165947j 0.00406679+0.000767381j 0.00280254+0.00197775j 0.00327551+0.00782885j -0.00221274+0.0318708j 0.00217004+0.00288699j -0.00548464+0.0301506j 0.00756391-0.0113664j 
-0.00551736-0.00826047j 0.0182865+0.00996642j 0.0039386-0.0180221j 0.00731415+7.83328e-05j 0.00601773+0.00801642j 0.0138872+0.0312256j -0.0191733-0.0178382j 0.0157127+0.00093249j 0.00431744+0.0183498j 0.0429436-0.000897945j 0.0185003-0.0478496j -0.0194601-0.00762489j -0.0272095+0.0125888j -0.006046+0.037362j -0.0108603+0.00832835j -0.00250853-0.0245503j -0.0101449-0.00871381j 0.0136165+0.00394296j 0.00931151-0.00992296j -0.0102878+0.00280306j 0.0025025-0.021563j 0.0218622+0.00262092j 0.00228262-0.00753382j 0.00545284+0.00288888j 
0.00866121+0.00561194j 0.0209911+0.00300168j -0.00101853-0.0100074j -0.0186171-0.0131079j -0.000169423-0.00607273j -0.00414115-0.0380643j 0.00732377-0.0110751j 0.0137899-0.00907481j -0.0175501+0.00868603j -0.0506265+0.00292915j 0.0149649-0.0644911j -0.0114085-0.0845431j -0.0353861+0.0279122j -0.00254139+0.0028015j -0.0244918-0.0152296j 0.0797205-0.0162453j 0.0274594-0.00143334j -0.0292765-0.00436669j -0.0437816+0.00859865j 0.0224453+0.00707602j 0.00839999-0.0121708j -0.034496+0.00406858j 0.00331688-0.0112705j 0.00277799+0.00554178j 
-0.00802325-0.00781535j -0.0207118+0.0114218j 0.0176246+0.00125103j -0.00718057+0.0440516j 0.00377431+0.00997187j 0.024945-0.00531066j 0.0089584-0.00472161j 0.020391-0.00577328j -0.0135301+0.00901101j -0.0462649+0.0782577j 0.0300546+0.0913086j -0.0272734+0.00825207j -0.0608887-0.022875j -0.0311549+0.0151856j 0.0501195-0.00798811j 0.0360891-0.058927j 0.0211126-0.00436547j 0.020662+0.0171826j -0.0239368+0.0334519j 0.00616107-0.0105703j -0.00678637-0.00854717j 0.00488933+0.0281189j -0.00925091-0.0138812j 0.0054476+0.0145443j 
0.000699205+0.000494777j 0.013941-0.00102858j -0.00895758-0.00184964j 0.0115969+0.0358315j -0.00100154-0.00010759j -0.0185034-0.00891327j -0.0122719-0.00410627j -0.00583525-0.000729423j 0.00852228+0.00220459j 0.0502293+0.165996j -0.0362138+0.0153528j 0.0863962-0.0124582j 0.029635+0.0122125j -0.00141363+0.00537695j 0.0188617+0.0040224j -0.0185404+0.00862561j -0.0190041-0.0108845j 0.0122301-0.00159323j 0.00928993-0.0099917j -0.0121-0.00575184j 0.0049209+0.00479212j 0.00836701-0.00540454j 0.0120899+0.00757787j -0.00968382-0.00440406j 
