-0.114291+0.236726j -0.0195806-0.131824j -0.0304214+0.231327j -0.024103+0.0018997j 0.0066464+0.0209241j -0.0266186-0.0230539j -0.0065558+0.00366594j -0.00805861-0.0627419j 0.0308212+0.017409j -0.00370942+0.000744305j 0.0136347+0.00803686j -0.00836137-0.00114145j -0.000622394+0.00437662j -0.00168724-0.00279344j 0.0114045+0.0172425j 0.0146469+0.0153792j -0.00250962+0.000680192j 0.00514468+0.00242818j -1.40168e-05+0.0134022j 0.00162464-0.00122671j -0.0117295+0.0262571j 0.00556905-0.0095704j 0.0176202+0.0212293j -0.00501911+0.00647498j 
-0.248881-0.270622j -0.0846604-0.0354046j 0.0469711+0.015449j 0.00143763-0.0342395j 0.0131593+0.0410533j 0.0130806-0.0107296j -0.00653414+0.0153167j 0.00922117-0.00765448j 0.00766022-0.010301j 0.00494532+0.0110889j -0.0100113-0.00935614j -0.0088334+0.00580597j -0.00487835-4.18351e-05j 0.0132127+0.000745051j 0.0129507-0.0196578j 0.00570755+0.00201382j -0.00257103+0.000255345j 0.00243914+0.0056959j 0.00485229-0.0111501j 0.000162598+0.00179893j 0.00538971+0.00113817j -0.000621857+0.00444061j -0.00423766+0.00475438j -0.00260077+0.00249482j 
-0.163463-0.0619949j -0.131116-0.0267615j 0.343254+0.0514874j -0.00449162+3.29593e-05j 0.00820617-0.0133414j -0.0155507+0.00429166j 0.000882581-0.00822263j -0.0246195+0.0249269j 0.0303424-0.0294376j -0.00432913-0.00675672j 0.0109031+0.00570537j 0.0032433-0.00979715j 0.000905586-0.00210447j 0.00412088+0.0136077j 0.00649826+0.00410545j -0.00488871+0.0134838j -0.00017779-0.000670107j 0.00789722+0.0134994j 0.00452059-0.0112035j -0.00131061+0.00298037j 0.00328127+0.00360454j -0.0127957+0.0122347j -0.00722784-0.00656347j -0.0133516-0.000326445j 
0.00890252+0.0142236j 0.402233+0.146722j 0.116843-0.0408441j -0.00439159-0.0854215j -0.00445623-0.0357055j 0.0558382-0.00968746j 0.0534061-0.00652368j -0.0188899+0.0312633j 0.0230016-0.0304132j -0.0133025-0.00325484j -0.0036235+0.0238329j 0.00326121-0.00727128j -0.00593052+0.00439017j -0.00222142+0.0223835j -0.00871214+0.00223487j -0.0142989-0.0107923j -0.00075295-0.00261109j -0.0115744+0.01954j 0.00959328-0.0064395j -0.0138142+0.00501242j 0.0175064-0.00131898j -0.00937517-0.0103023j 0.0128783+0.00313727j 0.00515278+0.01365j 
-0.0381357+0.0684857j 0.115851-0.107893j -0.0762885-0.0388733j -0.0324797-0.0238006j -0.0045563-0.0153901j -0.0421418+0.0191387j -0.046092+0.00547708j 0.0244153-0.00313997j -0.0048366+0.00522015j -0.00354506-0.0053491j 0.00600163+0.0122501j -0.00526975+0.00892807j -0.018985+0.00886805j -0.01241+0.0209728j 0.00378963+0.000839488j 0.0108102+0.00433759j 0.00188662+0.000571019j 0.00166097-0.00227988j -0.0103562+0.00220042j -0.0268818-0.000903381j 0.0102959+0.00687564j 0.00121843-0.00365599j 0.0152761+0.00689302j 0.00725032+0.0100997j 
-0.0587831+0.0537842j -0.0196664-0.0335914j -0.00504029-0.187662j -0.0183009+0.00824679j -0.0131649+0.00295672j 0.030618-0.01788j 0.0314836-0.0083009j -0.0368464-0.00400547j 0.0363451+0.0309041j 0.000184987-0.00126147j 0.00495094+0.00199146j 0.00764564-0.0156148j 0.0265165-0.0114266j 0.0155932-0.00552511j -0.0037299+0.00450071j 0.00370592-0.011517j -0.000389829+0.00151075j -0.0156313+0.0116853j 0.00927274+0.000547906j 0.0333403+0.0034206j 0.00399179+0.0210067j 0.00519213-0.0146775j 0.00371971+0.0232658j -0.0129815+0.0107307j 
-0.0316446-0.0328183j -0.105021+0.426234j -0.0473186+0.131757j 0.00191105-0.0358557j 0.00395082-0.0293754j 0.00173314+0.0261003j -0.00131705+0.0210185j 0.0147897-0.0416677j -0.0325059+0.055594j -0.00646547+0.00192856j 0.0124498+0.00065073j -0.0146307-0.0198005j -0.00604845+0.0161789j 0.00886258-0.00612106j 0.00293031+0.00790599j -0.0151315-0.000926324j 0.000203322-0.00274962j 0.0139328+0.0238493j -0.00292762-0.00717542j -0.0114488+0.00845787j 0.008142+0.00424765j -0.0135004+0.00304456j 0.00622542+0.0154318j 0.00732326+0.0049727j 
0.0198184+0.00695988j 0.0690084-0.243421j 0.27427-0.0332628j -0.00362101+0.030718j -0.00784875+0.0106762j 0.0225887+0.030869j 0.0114364+0.0340349j 0.022343-0.0198373j -0.0495313+0.00678996j 0.00902663-0.0150351j -0.0107272+0.00403291j -0.0127151-0.00101918j 0.024552+0.0147263j -0.00920792+0.00454146j -0.00438691+0.00109204j -0.0154156-0.000867167j -0.00167232+0.0018657j 0.00412784+0.00748746j 0.00611044+0.00113778j 0.00634646+0.0227248j 0.0138237+0.0107743j -0.0198718-0.0111454j 0.00620558+0.0126918j 0.00559906+0.0151836j 
0.031094+0.0296692j -0.168427+0.0943931j 0.161215+0.102803j -0.0142653-0.0414832j 0.000645917-0.0255213j 0.0267925+0.0127028j 0.0270193+0.00778416j -0.0293696+0.0229336j 0.0294721-0.0370187j -0.00542797+0.00797827j 0.0161478+0.00797498j 0.00643757-0.0132256j -0.00474824-0.00666583j 0.015489-0.000116836j 0.00175518+0.00608896j -0.00318448+0.00666108j -0.000610884-0.000936834j 0.00377467+0.00702596j -0.000828212-0.0075783j 0.00489217-0.00617131j -0.0076488-0.00249407j 0.000216098+0.00966452j -0.00782216-0.000908117j -0.0125502-0.000331547j 
0.0221306-0.00603717j -0.270892-0.0205196j -0.080068-0.24149j 0.0711718-0.00227897j 0.0311136+0.0123699j -0.00222923-0.0388968j 0.0109399-0.0349411j -0.0103816+0.0145633j 0.00698648+0.00412842j -0.00225855-0.0175879j -0.0151097+0.00851259j -0.0165811+0.00813588j -0.00199982+0.0190761j -0.0238387+0.0122935j 0.00236665+0.002235j -0.00617691+0.0156095j 0.00204409+0.000436295j 0.00824566+0.000545946j -0.00150524-0.00547754j -0.0213303+0.0156193j 0.0137399+0.00106877j -0.0146514+0.00436862j 0.0134984+0.00836661j 0.00646017+0.0132238j 
0.0212967-0.030092j -0.0456015-0.111501j -0.103271-0.437988j -0.0293941-0.0578863j -0.00727887-0.0333861j 0.00807504+0.0236305j -0.0019378+0.0135666j 0.00783876+0.00396719j -0.0095861+0.009429j -0.000982628+0.0197054j 0.0103581+0.00333255j 0.0114699-0.00209088j -0.0147528-0.00819645j 0.0110924+0.00194155j -0.00181399-0.00776933j 0.0179143-0.0180218j 0.00164834+0.00199216j -0.0156626-0.00310798j -0.00253193+0.00922644j -0.0043024-0.014568j 0.00650625+0.00526194j 0.0141678-0.015493j 0.0137104+0.000802649j 0.00787279+0.00717231j 
0.0130294-0.0278168j 0.0139572+0.155481j -0.0367915+0.0252592j 0.038173-0.0456632j 0.0243904-0.0203137j -0.0499001-0.00255872j -0.0423445-0.0130408j 0.0266527+0.0138281j -0.0198924-0.0154906j 0.00688278+0.0170377j -0.00968458-0.00918992j -0.00684882-0.0154083j 0.0363612+0.0034259j 0.00714223-0.0197772j -0.000560257+0.0012395j -0.0111441-0.0141362j -0.00102482+0.00267556j 0.0055454+0.0133085j 0.00757603+0.00232835j 0.0325704+0.0131135j 0.0061182+0.00305482j -0.00811386-0.0159702j 0.000880958-0.00221012j 0.00239516+0.00316302j 
0.0252331-0.0162545j -0.0829947+0.0513416j 0.109547+0.134438j 0.0205915-0.0156356j 0.0083004-0.00689916j 0.0412427+0.00620779j 0.0382423+0.0123732j -0.00757538-0.0284307j -0.0164689+0.0351528j -0.00732517+0.0180471j 0.00983048-0.00878953j -0.000674008-0.00351513j -0.0219355+0.00159118j 0.00728511-0.00812476j 0.002004-0.000561952j -0.00495521-0.000771478j 0.000112191-0.00269989j 0.00651607+0.00383679j -0.00289476-0.00445039j -0.0162943-0.00934848j -0.00123245-0.00635937j 0.00222753+0.0072664j -0.00234436-0.00635177j 0.00669954-0.0124183j 
-0.00136334+0.00155986j 0.105116+0.0568256j 0.431204-0.149726j 0.0155196+0.0172031j 0.0214787+0.0118956j -0.0545098-0.0292641j -0.0419701-0.0233951j -0.0106059-0.0316801j 0.0194132+0.070066j -0.0102877+0.00670459j 0.00997138-0.00313953j 0.0181282-0.0111117j -0.0150912-0.00206778j 0.0142682-0.00669803j 0.000444397+0.00492013j -0.00849536-0.0160298j -0.00207197-0.000332387j 0.00153712+0.0167469j 0.000928082-0.000161038j -0.00766667-0.00946242j 0.00938727-0.00846152j -0.00936136-0.00441821j 0.010046-0.0117194j 0.00256717-0.0168522j 
0.0602779+0.0369276j -0.380557+0.0369474j 0.111373-0.0331042j 0.000530945-0.0357443j 0.0162697-0.0204861j -0.0149624+0.0125265j -0.00543065+0.00791582j -0.0136515+0.00618828j 0.0154572-0.0147668j -0.00138806+0.0043041j 0.0129709+0.0096638j -0.00181115-0.0120011j -0.00119617+0.00382912j 0.0135369-0.00429414j 0.00316698+0.00554877j -0.0023477+0.00772888j 0.000106585+0.000392623j 0.0117198+0.00637431j -0.00883946-0.0102092j 0.00297105+0.00283723j -0.000149942+0.00126795j -0.00463568+0.00767877j 0.000597886+0.0131714j -0.0098226+0.00859505j 
0.00144875-0.0580531j 0.077174+0.352161j 0.00211008-0.18784j -0.0660906+0.0409067j -0.0258682+0.0181741j -0.024628+0.0105658j -0.0316132+0.0126103j -0.000706459+0.00800434j 0.0277542-0.0148507j 0.00183705-0.0375599j 0.00085071+0.0132961j 0.0136499-0.00510401j -0.00136144-0.00571436j 0.00829289+0.0157752j -0.00273705-0.00347301j -0.00210639-0.00179831j -0.00138835-0.00168018j -0.0097499+0.00924628j 0.00672003-0.00547313j 0.000859761+0.00237674j 0.00012601-0.00641695j -0.0133057+0.0113665j -0.00788798+9.48599e-05j -0.0115055+0.00471427j 
