-0.0152754-0j 0.206564-0j -0.00341569-0j -0.000360045-0j -0.00432054-0j 0.0456799-0j -0.000881927-0j -0.000161017-0j 0.00680956-0j -2.4003e-05-0j -1.6002e-06-0j -0.0145146-0j 0.128393-0j -0.00313551-0j 0.0234412-0j -0.00404793-0j 0.0547387-0j -0.000905145-0j -9.54106e-05-0j -0.000809586-0j 0.00855953-0j -0.000134931-0j -2.46349e-05-0j 0.000902254-0j -2.8446e-06-0j -1.60275e-07-0j 
-0.000464487-0j -6.92417e-05-0j 0.00620669-0j -0.0586396-0j 0.0018517-0j -0.0260816-0j 0.000782769-0j 0.246568-0j 0.000204418-0j -0.00258985-0j 4.35817e-06-0j 0.0003914-0j 7.71851e-05-0j -0.00505272-0j 0.0243129-0j -0.00153851-0j -0.000229347-0j 0.0205582-0j -0.19423-0j -0.000637234-0j 0.00897561-0j -0.000161128-0j -0.0507543-0j -3.22068e-05-0j 0.000341377-0j -4.52344e-07-0j 
-0.000536344-0j 0.00725277-0j -0.00011993-0j -1.26417e-05-0j 0.00442801-0j -0.0468161-0j -0.0122721-0j -0.00224057-0j 0.305444-0j -0.00220336-0j -0.000373927-0j 0.000451949-0j -0.00399784-0j 9.76322e-05-0j -0.000729903-0j -0.00367907-0j 0.0497507-0j -0.000822665-0j -8.67165e-05-0j 0.00999045-0j -0.105626-0j 0.00536734-0j 0.000979937-0j -0.0734485-0j 0.000390341-0j 4.67076e-05-0j 
9.79225e-05-0j 1.45974e-05-0j -0.000643295-0j -0.000208044-0j -0.00122651-0j 0.00849331-0j 0.00722244-0j -0.0787998-0j -0.0162216-0j 0.336872-0j -0.00402598-0j -8.25143e-05-0j -1.6272e-05-0j 0.000523691-0j 0.000177534-0j 0.00101906-0j 0.000151913-0j -0.00669465-0j -0.00216507-0j -0.00587962-0j 0.0407151-0j 0.0127863-0j -0.139503-0j 0.00852112-0j -0.091651-0j 0.000632195-0j 
-7.99534e-06-0j -1.19187e-06-0j -1.78781e-06-0j -1.88452e-07-0j 0.000168414-0j 3.96956e-05-0j -0.0020343-0j -0.000371411-0j 0.0153281-0j -0.0682352-0j 0.397687-0j 6.73726e-06-0j 1.32861e-06-0j 1.45542e-06-0j 2.42569e-07-0j -0.000139929-0j -2.08594e-05-0j -3.12891e-05-0j -3.29816e-06-0j 0.00165608-0j 0.000390341-0j -0.012082-0j -0.00220587-0j 0.0507088-0j -0.0856972-0j -0.131217-0j 
0.00853317-0j 0.00127205-0j 0.00190808-0j 0.000201129-0j -0.184379-0j 0.000568878-0j 0.000492663-0j 8.99475e-05-0j 8.48034e-05-0j 1.34086e-05-0j 8.93906e-07-0j 0.00810817-0j 0.00159895-0j -0.133808-0j 0.000291927-0j 0.00226126-0j 0.000337089-0j 0.000505633-0j 5.32984e-05-0j -0.0345492-0j 0.000106597-0j 7.53753e-05-0j 1.37616e-05-0j 1.12363e-05-0j 1.58905e-06-0j 8.95329e-08-0j 
-0.00201129-0j 0.0271979-0j 0.013213-0j 0.00427313-0j -0.000568878-0j -0.176705-0j -0.000116122-0j 0.00126694-0j 0.000896603-0j 9.28516e-05-0j -2.10696e-07-0j -0.00191111-0j 0.0169053-0j 0.0121292-0j -0.184443-0j -0.000532984-0j 0.00720735-0j 0.0035014-0j 0.00113237-0j -0.000106597-0j -0.0331111-0j -1.77661e-05-0j 0.000193836-0j 0.000118798-0j 1.10038e-05-0j -2.11031e-08-0j 
-0.00246332-0j -0.000367209-0j 0.0333392-0j -5.80609e-05-0j 0.0098201-0j 0.00231462-0j -0.251264-0j 0.000757913-0j 0.00108409-0j 0.000229837-0j 2.31127e-05-0j -0.00234063-0j 0.027938-0j -0.000505633-0j -8.42722e-05-0j 0.00920049-0j 0.00137153-0j -0.124522-0j 0.000216858-0j 0.00381075-0j 0.000898202-0j -0.0583219-0j 0.000175922-0j 0.000192601-0j 3.41621e-05-0j 2.70508e-06-0j 
0.000449738-0j 6.70429e-05-0j -0.0060096-0j 0.0567776-0j -0.0017929-0j 0.0252534-0j -0.000757913-0j -0.238738-0j -0.000197927-0j 0.00250761-0j -4.21978e-06-0j 0.000427338-0j 8.42722e-05-0j -0.00551666-0j 0.0265453-0j -0.00167977-0j -0.000250406-0j 0.0224459-0j -0.212064-0j -0.000695745-0j 0.00979975-0j -0.000175922-0j -0.0554146-0j -3.5164e-05-0j 0.000372722-0j -4.93878e-07-0j 
0.000519312-0j -0.00702247-0j 0.000116122-0j 1.22403e-05-0j -0.0042874-0j 0.0453295-0j 0.0118824-0j 0.00216943-0j -0.295745-0j 0.00213339-0j 0.000362053-0j 0.000493447-0j -0.00436493-0j 0.000106597-0j -0.000796923-0j -0.00401688-0j 0.0543188-0j -0.000898202-0j -9.46788e-05-0j 0.0109078-0j -0.115325-0j 0.00586016-0j 0.00106991-0j -0.0801926-0j 0.000426182-0j 5.09963e-05-0j 
-9.4813e-05-0j -1.41339e-05-0j 0.000622867-0j 0.000201437-0j 0.00118756-0j -0.00822361-0j -0.0069931-0j 0.0762976-0j 0.0157065-0j -0.326175-0j 0.00389814-0j -9.00908e-05-0j -1.77661e-05-0j 0.000571776-0j 0.000193836-0j 0.00111263-0j 0.000165861-0j -0.00730935-0j -0.00236387-0j -0.00641949-0j 0.0444536-0j 0.0139603-0j -0.152313-0j 0.00930353-0j -0.100066-0j 0.000690243-0j 
7.74145e-06-0j 1.15403e-06-0j 1.73104e-06-0j 1.82468e-07-0j -0.000163066-0j -3.84351e-05-0j 0.0019697-0j 0.000359617-0j -0.0148414-0j 0.0660685-0j -0.385059-0j 7.35588e-06-0j 1.4506e-06-0j 1.58905e-06-0j 2.64842e-07-0j -0.000152778-0j -2.27747e-05-0j -3.41621e-05-0j -3.601e-06-0j 0.00180814-0j 0.000426182-0j -0.0131914-0j -0.00240841-0j 0.0553649-0j -0.093566-0j -0.143265-0j 
