0.0595101-0.101123j 0.122301-0.167472j -0.281181+0.200141j -0.191829+0.116658j -0.204765-0.155611j -0.392415-0.302946j 0.290203-0.0623472j 0.0250439+0.160477j 0.291412-0.131373j 0.548419-0.328782j -0.016539-0.492786j 0.546087-0.00956719j 0.0265569+0.937898j 0.777952+1.71258j 2.26783-0.73419j 0.187404+0.082027j -0.190901-0.148294j -0.437054-0.0874867j -0.272859-0.120675j 0.30366+0.444712j -0.406077-0.620397j -0.115663+0.0572041j 0.521784-0.186497j -0.0292715-0.358477j 0.384964-0.299888j 0.374397-0.522465j -0.0475724+0.312651j 0.00638191+0.400033j 0.220984+0.591954j 0.116303+0.18356j -0.00311126-0.519562j -0.183028-0.143707j 0.596614+0.152909j 0.40884-1.06207j -1.14931-0.94235j -3.06407+1.5795j -1.44543-2.3719j -0.0286929+0.13692j -0.0761047+0.0255901j -0.22734-0.124088j 0.266175-0.0302005j -0.0364215-0.0240921j -0.0057507-0.0373862j -0.244471+0.367716j 0.00526021+0.0276247j 0.182576+0.328455j -0.145214-0.135328j -0.0250323+0.252499j -0.377188+0.329828j -0.143012-0.0245237j 0.0630088+0.495934j -0.462523-0.348447j -0.3434+0.14313j -0.381561+0.191987j -0.469876-0.106366j -0.0296176-0.160323j -0.111565+0.246992j -0.137468+0.288597j -0.698331-0.0135072j 0.491239-0.238402j 0.194307+0.133276j 0.587301-0.659829j 0.231895+0.150385j -0.428218+0.639953j -0.0530876+0.0223234j -0.0123207+0.684973j -0.0313635+0.562529j 0.0191866+0.250698j -0.0233726-0.453136j 0.557906+0.523918j 0.211283+0.227681j -0.188295-0.0572602j -0.755585-0.255503j -0.149702-0.182675j 0.278847+0.289946j 0.692555-0.0724885j -0.00390192+0.451987j 0.13919-0.0495333j -0.739042+0.259449j 0.211167-0.0640788j -0.222268+0.157762j -0.0237905-0.206518j -0.488323+0.314993j 0.314593-0.300039j -0.207669-0.11981j 0.0559734+0.629576j 0.2801-0.88151j -0.448203-0.468751j 1.72853+0.359662j 0.281905+0.589801j -1.23361+1.6121j 1.16947+0.973497j -0.323179-3.49424j -0.0183099-1.15356j -4.11428+0.194679j 
0.11742-0.322491j 0.0358665+0.902974j -0.265152+0.130628j 0.741647+0.0300133j 0.133085+0.0983971j -0.126752-0.244619j 1.54168-0.877876j 0.991872+0.603486j 0.727745-0.87281j -1.59821-0.528085j -1.00511+0.64326j 0.800053+0.46996j 0.0160832-0.278896j -0.0262629-0.786603j -0.861959-0.390932j 0.488356-0.449065j 0.399428-0.854687j 0.0960676+0.227309j 1.14415+0.357806j -0.683606+0.743493j -0.288522-0.905577j 0.359202+0.0175744j 0.984079-0.878551j -0.940149+0.285082j 0.956429-0.126419j -0.515973-0.0754287j -0.614849+1.47016j 0.815383+1.63791j 1.73782+0.349613j 0.849223-0.330162j -0.216311+0.0727747j -0.755517+0.204549j -0.0672156-0.749093j 0.363466+0.562384j 1.55636+0.0885688j 0.669183+1.66117j -0.59662+0.0655961j 0.946742+0.308543j 0.395518-0.531921j -0.228926+0.795326j -0.277043-0.388188j 0.204124-0.0882939j 0.100023+0.262881j -0.746335+0.511425j 0.995567+0.319445j 0.0224803+0.541335j -0.136289+0.264298j -1.92382+0.310728j -0.184591+0.120407j 0.514844-0.710665j -0.177639+0.366946j 1.01041-1.59882j -0.444734-0.329252j -0.744271+0.0417395j 0.388733-1.45749j -0.000340677+0.430686j -0.297833+0.617547j -0.809634-0.617987j -1.10687-0.855913j -0.17705+0.0913926j -0.355864-0.281647j 0.925825-0.588665j -0.905758+0.158889j 1.39076+0.811373j 0.338342-0.00391366j 1.26576-0.553059j 0.615543+0.928404j 0.378827-0.240299j -0.095228-0.95522j 1.7563+0.889192j -0.589552-1.49876j 0.461157+1.26381j -2.09346-0.890076j -0.0430463-0.815986j 0.748409+0.219174j -1.82452+0.221767j 1.60471+0.0297028j -0.264256-0.646238j -1.50445+0.144022j 0.298586+0.975631j -0.589136-0.413358j 2.05561-0.362703j -0.9334-1.31437j -0.101433-0.720004j 0.693739-0.733792j -1.38909-0.961084j 0.0784585+0.873454j -0.655869+0.318338j -0.962498-0.578884j -0.873653+0.0954948j 0.268886-0.158026j 0.79164-1.14761j -0.900147-0.451527j 0.346448-0.290568j -0.548794+6.05175e-05j 
-0.166352+0.155575j 0.277214+0.0262974j 0.323532+0.787826j -0.536569+0.217153j 0.406762-0.991669j 0.38109+0.510322j 1.13041-0.0708791j 0.357502+0.463277j 0.1018+0.526483j -0.194032+0.458242j -0.833175+0.575583j 0.8368+0.976434j 1.01338+0.32374j 0.153273+0.11173j -0.0590967+0.690942j -0.40894+0.204049j -0.358453-0.483836j -0.446459+0.892237j -0.729673-0.0108239j 0.180955+0.788253j 0.0246839+1.02917j -0.587407-1.25758j 1.3346+0.99543j 0.117784-0.718026j 0.756112+0.488202j -0.382421+0.72116j 2.37767-0.740943j -1.40871-1.02566j 0.156553+1.02269j -0.985497+0.817005j 0.597115+0.659429j 0.619231+1.16985j -0.740547-2.13318j 1.5009+0.657255j -1.40241+0.760682j -0.388023-0.491006j 0.193873+0.441273j -0.234854-0.478797j -0.364598+0.0785634j -0.766095+0.0176082j 0.118875-0.42763j -0.0217138-0.193346j 0.127547-0.308898j 0.806693+0.125475j -0.438783-0.884146j 0.575717+0.498862j 0.592532-0.0393399j 1.34187+0.355362j 1.01214-0.796472j -0.56312-0.845678j 0.174395-1.06949j -2.41551-0.402528j -0.785782-0.630513j -3.6805-0.0654191j -1.26402-0.104157j -0.544135-0.188566j -1.242+0.780031j -0.378688-0.728572j -0.700882+0.169593j 0.728344-1.25785j 0.868182+0.242484j 0.0558219+0.08j 1.43211-0.0621009j -1.7417-1.78792j -1.02689+0.477775j -2.94248-0.720984j -3.12101+0.400286j -0.850376+1.08281j 1.25556+0.643487j -2.02339+1.31239j -0.0418276-1.19781j -0.0988532-1.18071j 3.52362+0.591399j -1.11275-0.613813j 0.437935-0.462867j -1.67341-0.763928j -2.15395-0.801466j -1.13613-0.745543j 0.701234+1.74605j -1.67972+0.0098924j -0.698712+0.649675j -1.8658-0.383124j 0.934684-0.266316j -0.0199059+0.147877j -1.45281-1.63536j -0.826001+0.0246429j -0.715994+0.737762j -0.120335-0.365511j -0.417346-0.307367j -2.17619-0.581442j 0.319174+0.845826j 0.83784+0.963106j 0.486235-0.328506j -0.487253+0.724792j 0.734708+0.279969j 
-0.140247-0.038391j 0.268156-0.0234824j -0.457096+1.14315j -0.163505-0.50763j -0.0469357+0.754331j 0.433467+0.536454j -0.322506-0.887836j -0.637908+0.464712j 1.61412+0.0354173j 0.363008-0.701124j -0.730998+0.498188j 0.275971-0.53044j -0.930483+1.2708j -0.986392+0.238277j -0.477587+0.547077j -0.472619+0.0502083j -0.302141-0.610993j -1.16225+1.08982j -0.0671817-0.546689j 0.556241+0.670728j 0.16804+0.63511j 0.279982+0.478294j -0.933878-0.0909902j 1.0966-1.35794j 0.76181-0.285238j 0.227472+0.40879j -1.63174+0.150753j 1.14883+0.511877j -1.01918+1.31365j 0.920154+1.10697j 2.0537-1.2353j 0.327193+0.232967j -0.111705-1.00173j -0.216371+0.405025j -0.0162146-1.13077j 0.310863-0.986906j -0.027016+0.486348j -0.12505-0.607863j -0.390919-0.0604002j -0.692892-0.146222j 0.19016-0.370434j -0.581146-0.161563j 0.437755-0.60642j 0.268192+0.463157j 0.101122-1.08537j 0.691974+0.773886j 0.53159+0.523057j 1.48064+0.654885j 0.853537+0.0992342j -0.771115-0.436254j 0.756398-0.383065j -2.42456+1.16776j -0.710093-0.402191j -0.566636+1.18974j 0.568732+0.585535j 0.424302-0.331293j 0.701094-1.22635j 0.595512-0.582855j -1.03031-0.86786j 3.73492-0.21624j 0.0687817+0.871821j 1.26537-0.132914j -0.226069+0.81507j -3.22383+0.813129j 0.948338+1.38052j -2.25376+0.23011j -1.44797-0.471723j 1.20838-0.372593j 2.0636-0.840673j -2.72968-0.536908j -0.169323-0.707359j 0.428017-0.294655j 2.05738-1.41672j 0.341333+0.689633j 0.0472516-0.488411j -1.77987-0.566029j -1.18993-1.01796j -0.0479624-1.21339j 2.20411+1.00865j -1.41703+1.22618j -0.832588-0.964064j -1.11038-0.030329j -0.652736+0.0802336j 0.0693225-0.550134j 0.462184-0.84339j -1.01432+1.37287j 0.487949+0.571737j -0.442996-0.178902j -0.808819+0.331656j -1.23187+0.0314661j -0.0590321-0.0814692j -0.0982944+0.361468j 0.475146+0.317107j -0.71015+0.290376j 0.489802+0.504349j 
-0.0448548+0.0557936j -0.34668+0.0311453j -0.17843-0.5029j -0.595068-0.19131j 0.637895+0.61045j -0.889716+0.196585j 0.0575272-1.58512j -0.687118-0.0745002j 0.239494+1.77264j 0.958767+0.219576j -1.24819+0.622407j -0.896306-0.106672j -0.0719231-0.597149j 0.269013+0.25154j 0.127041-0.0131887j -0.0449888-0.0155742j 0.287816+0.127337j -0.164011-0.506902j -0.520996+0.0487232j -0.555456-0.801818j -0.0745743+0.334914j 0.874638+0.352945j 0.614501-2.20574j 0.693335+0.0946967j 1.43267+1.94178j 0.146233-0.0615236j 0.905111-0.0505603j -1.31463+1.75296j -0.819853-1.39191j -0.0551808-1.934j 0.270977-0.125885j -1.04194+0.208254j 0.664907-1.24108j -0.471149-0.159319j 0.276273+0.361713j -0.238829+0.118223j 0.128216-0.0305091j -0.11702+0.142377j 0.043485+0.0604981j -0.00427942-0.122849j 0.125905+0.0895347j 0.183042-0.121429j -0.0427597+0.249663j -0.337762-0.545838j -0.287982+0.0591193j -0.533308-0.0964847j 0.134907+0.184985j -0.24705-0.919517j -0.142413+0.170191j 0.788545+0.380372j -0.166019+0.0282205j -0.689689+0.539807j 0.389317+0.974663j -0.314856+1.0714j 0.267958-1.62795j 0.483075-0.0315358j -0.263203+0.142807j -1.2119-1.12762j 0.0801469-0.306975j -0.3068-0.883473j -0.117206+0.440777j -0.301716+0.3378j 2.3386+0.649077j 0.167582-0.445592j 2.42724+1.74825j -0.88497+1.94851j -0.568184-1.35171j 2.46345-1.52054j -1.60467+0.163766j -1.07708+0.194998j 0.407855+0.166395j 0.176157+0.180914j -0.75624+1.32398j 1.29367-0.489186j -0.47955-0.624787j 0.125954-0.20448j 0.30186-0.200456j -0.539164-0.435211j -0.20501-1.38228j 0.358488-0.723818j -0.75948+0.0117438j -0.156581-0.0958037j 0.573298-0.0381881j 0.253578-0.320884j 0.185826-0.770478j 0.227323-0.0832739j -0.49402-0.0616822j -0.224361-0.33804j 0.0991279-0.420903j -0.071869-0.463874j 0.24582+0.0498904j 0.11026+0.0283307j -0.0158229-0.0450159j 0.161352+0.00681503j 0.00509216-0.183493j 
-0.131524+0.322558j -0.690157-0.332408j -0.596846-0.948098j -0.0967825-0.432296j -0.715136-0.423991j 0.615977+0.715196j -1.54827+0.356423j 0.815818+0.399659j 0.945656-1.14354j 0.547878-0.691086j 0.0905783-0.208098j 0.690135-0.0791323j -0.342177-1.59176j 0.104017+0.0614211j 0.53497+0.106427j -0.0754522+0.222745j 0.247749+1.0791j 0.03638-0.91113j -0.0270785+0.276905j -0.199212+1.01917j 1.97587+1.33797j 0.220283+0.18188j -0.309832-1.48597j -1.32261-0.772936j 0.941174-0.338729j -0.423075+0.578591j 1.39812-0.0738243j 0.613944+0.420007j 0.0590739+1.47209j -1.32543-0.323603j -0.0635713-1.05057j 0.119478-0.060188j 0.347458-1.52136j 0.488137-0.67703j 1.5064+0.898783j -0.232776+0.485613j 0.6047-0.0608445j -0.624795+0.577898j 0.145819+0.404868j 0.715536-0.475487j 0.12706+0.623951j 0.161263-0.0132162j -0.190939+0.366415j -2.12755+0.453555j 0.415975-0.0404941j -0.581311+0.685274j 0.192532-0.524643j -0.938249+0.701008j -1.09949-1.60413j -0.100212+0.616334j -1.9224-0.252866j 1.5801+0.412395j 0.76349+2.02922j 1.98543-0.357666j 2.1084-0.484651j 0.833231-1.04973j -0.367016-0.29128j 0.0792939-0.786606j 1.42379-0.91726j -2.57466-0.493604j 0.0483796+0.971724j -0.0818771+1.18162j 0.0475422+0.940501j 4.21667-0.391993j -1.94636-0.538094j 1.89926-1.49506j 2.3116+0.0249212j -0.489233+1.59411j -0.881512-1.06728j 2.56948-0.0179944j 1.12973+0.361956j 0.443194-0.42692j -3.73882-0.60884j -0.130851+0.467527j -0.13439-1.49832j 1.54445-0.542425j 0.0678248-0.146005j 0.049537+0.796458j 0.442107-0.205858j 0.257215+0.0296438j -0.68757+0.545345j 2.34008+1.26216j -0.525936-0.447897j 0.970677-0.372515j 0.912956-0.248005j 1.77602-0.428635j -0.0447376+0.732651j -0.0671976-1.39017j 0.257594-0.425056j 0.160569-0.11378j 0.454483-0.0114679j -0.0873036-0.451659j -0.3845+0.321989j 0.704012-0.0631221j 0.0161349-0.726349j 
0.147744-0.185451j 0.0345401+0.0882057j -0.72944+0.0442837j 0.91469-0.777325j 0.273152+0.612122j 0.0932315+0.343934j -0.153988-0.583876j 0.543866-0.12608j 1.4678+0.27655j -0.876136+0.286844j 0.0280595-1.43813j -0.677233-0.910075j -0.673926+0.536563j -0.183508+0.0372483j -0.294182-0.342929j -0.0283874-0.291267j 0.4542-0.655473j -1.21257-0.93418j 1.33554-0.16774j 0.624507-1.57304j -0.00194693+0.50294j -0.341352+0.00555419j 0.592152+0.927329j -0.825232+0.187823j 0.843995-1.2683j -0.647044-0.843313j 3.06576+0.501673j -1.52386+0.694273j -1.0677+0.219919j -1.66042+0.936488j -0.264559+1.34339j 0.459936-1.21755j -0.0509753+0.857872j -0.914194-0.17686j -0.299381-0.549446j 0.222519-0.331234j -0.421912-0.0789996j 0.642533-0.339799j -0.0338134-0.409552j -0.712018-0.423884j 0.433101-0.320458j 0.329214-1.42479j 0.848718+0.534347j 2.45145-1.44586j 0.143507+0.150395j 0.110208-0.980892j -1.17685+0.77955j 2.27393-1.59493j 0.255716+0.143981j 0.196064+0.802025j 0.277965+0.0983202j -2.98699+0.153331j -0.837907-0.656504j -2.90373+0.634331j -0.427164+1.66084j -1.62603+0.331424j 0.17852+0.150334j 1.28922-0.818145j -1.40519+0.370736j 3.25185-1.33641j 0.774479-1.05546j 0.225333-1.42028j 0.212093+1.32349j -2.35085+0.639265j -0.283128-1.2379j -2.64297-0.525075j -3.33778+0.249794j -2.15271-0.35852j 0.285137-1.50099j -2.90818+1.51011j -0.00467149+0.440449j -0.44748-0.233505j 0.847957+1.21552j 0.0369805-0.803315j -1.61279-0.907757j -0.466244-0.655147j -0.785158+0.228886j -1.98092-0.402035j 1.20962-0.0354748j -2.38286+0.446795j 0.845974-0.910656j -2.09571+0.384889j 1.14409-0.500786j -0.61344+0.0622654j -0.269289+0.350534j -1.82686-0.406405j 0.094303-0.215466j -0.37725+0.893129j -0.346574+0.00144572j -0.725739+0.111736j 0.129825-0.00609168j 0.256675+0.448954j 0.429511-0.162453j -0.594668-0.0697242j -0.128097+0.528978j 
0.525266-0.00122398j -0.0401873+0.44797j 0.0160861+0.0199624j -0.946571+0.422798j -0.929848-0.636209j -1.25954+0.717622j -1.24417-1.04478j -1.06326+0.701148j -1.61683-0.767797j 0.03263+0.162525j 0.387483+0.143359j -0.794162-0.214106j -0.111241-0.212693j 0.552662-1.44335j -0.428892-0.788578j 0.27431+0.0844144j 0.540144-1.27663j -0.993538+0.124869j -0.251031+0.404112j 0.697386+0.759348j -0.531336+0.335988j -0.789376+0.161848j 1.13644-0.460095j 0.905382-0.637114j 0.0754664-1.6688j -0.266736+0.200994j 1.34637+0.928444j 1.29891-0.457338j -0.406459-0.329459j 1.40453+0.552336j 0.124893+1.0137j 0.778939+0.37108j -1.07404-0.778479j -1.26369+0.261096j -0.187293+0.328952j 0.392886+1.14797j -0.766717-0.270723j 0.694347+0.0197846j 0.158776-0.355644j -1.10407+0.888914j -0.107072-0.787197j -0.597594-0.654071j 0.562607-0.276892j -1.07719-0.372504j 1.07715+0.25429j -0.235537+1.243j -0.706575+0.309693j -0.179956+1.05742j -1.30997+0.119669j -0.804113-0.438728j -0.0672779+1.47475j -2.75246+0.641849j -0.547046+1.34073j -0.90856+0.404162j -1.44439+0.0690939j -1.48651-0.549765j -0.631518-0.151151j -0.783469+0.827014j 1.59261+0.412043j 1.9199-0.933j 1.11943-1.49232j -0.546698+1.30288j 0.641204+0.817059j -1.39159+1.13401j -0.348087-0.144453j -0.371715+1.16112j -1.05049-0.663909j -0.239992+0.391147j 0.162121-0.419695j -1.65333+0.23953j 0.628686+0.960129j -0.322305+0.181642j 0.352259+0.0189949j -0.827196+0.865688j 0.378759+0.531744j 0.873522-0.641525j 0.457393+0.310169j 0.441183+0.471266j 0.388055+1.58542j 0.695681-0.235475j 0.168239+0.593521j -0.510007-1.75156j 0.100722+0.404056j -0.196325-0.721497j -1.06581-0.292536j -0.949498-0.27865j -0.472518+0.271583j -0.806035+0.502177j -0.577331-0.0734991j -1.09026-0.433613j -0.240523+0.0821627j 0.492617-0.373926j -0.481699-0.612393j -0.268569-0.253228j -0.627743+0.499069j 
0.274643+0.206884j 1.69903+0.888444j 0.265614-0.19823j -0.857934+0.641484j 0.332616-0.246718j 0.546321-0.196194j -0.291178-0.0636593j -1.05293+0.194507j -0.285189+0.390484j 0.456844-0.487679j -0.177755+0.0607077j 0.103051-1.87028j 0.670052+0.950089j 0.448828-0.533543j 0.156578-0.0164773j -0.214124+0.689443j -0.451578-1.16991j 2.27235-0.39619j 0.0604489-1.5123j -0.507107+0.602196j 0.461539-0.1603j 0.307884+0.458696j 0.745183+0.0245236j -2.02052+0.624806j 0.41862-0.384517j -0.921428-0.343285j 0.35461+0.178913j -0.147339+0.257157j 0.965717+0.529837j -1.86386+0.0322436j 1.05695-1.88496j -0.09561+0.244952j -0.0387309+0.648541j -1.52058-0.667115j -0.314641-0.0276112j 0.899222+0.156511j 0.270281-0.220456j -0.223606-0.018306j -0.0233718+0.201113j -0.452193+0.171366j -0.212319-0.753026j 0.553671+0.630649j -0.698645-0.10441j 1.7071-1.06034j 2.01477-0.97289j -0.204141-1.11971j 0.0364507+1.37728j 0.19847+0.728952j -0.0898673-1.21916j -0.470512-0.134497j -0.813289-0.182051j -0.859705+0.841669j 0.0451672+0.365226j 0.229203-0.0665163j 0.290829-0.639578j -1.91251-0.55645j -0.153522-0.786348j 0.177216-0.272083j -1.32737-0.622651j 1.79373-0.102708j 0.922558-0.808505j 1.0632-1.32856j 0.357885+0.225509j -1.42908+1.48723j -0.450894+0.0625311j -0.0895809+1.0042j 0.260729+0.159977j -0.109981+0.575496j 0.352903+0.0670707j -0.25044-0.744789j 0.16305-0.194422j -1.36577-1.70346j 0.963493+0.335285j -0.394833+0.244262j -0.0986635+0.667956j -0.108043-0.544593j -2.08167+0.969953j 0.841076+0.311702j -0.0805999+0.434931j -0.891628-0.364468j 0.210761+0.247199j -1.3289+0.873197j 0.234541-0.227309j -0.299132-0.317774j -0.553696+0.304083j 0.225188+0.576356j -0.0862993+0.118036j -0.597393+0.183761j -0.248819-0.484357j 0.301299+0.0463088j 0.492983-0.0976263j 0.134912-0.395155j -0.340986+0.12839j 0.0644041-0.116661j -0.15701+0.0649322j 
-0.115638+0.319027j 0.445204+0.637668j -0.819869+0.556415j -0.337438+0.351769j 0.840955-0.893992j 0.468185+1.5199j -0.209589-0.0867794j 0.446709-0.563613j 0.796087+1.27029j -1.33322-0.110387j -0.0197654-0.508728j -0.00189106+0.0727893j 0.608298-0.00997302j 0.473135-0.323176j 0.0491843-0.442057j 0.0327213+0.147112j -0.202694-0.511873j 0.142787-0.142074j -0.460025+2.19519j -1.41741+0.970118j -0.371745+0.748302j 0.378568+0.393368j -1.06519+0.00691511j 0.31271-1.01597j -2.06501-0.524494j 0.531106-2.1299j -0.569409-1.75696j 1.97147+0.556299j -0.857311-0.609554j -1.43315-0.977689j -1.10147+0.437489j 0.52902-0.182375j 0.342704-0.198729j -0.0410512+0.115811j -0.413482+0.0698786j 0.0101955+0.516378j -0.29263-0.28539j 0.593218+0.138863j 0.068296-0.244009j -0.190529+0.0674876j 0.133814-0.23744j 2.04735-0.210905j -0.376201+1.31241j -0.230771-0.695183j -0.828626+1.3359j -0.870232+0.382825j -0.436631-0.53082j 0.250387+0.00797648j 1.5794+1.67757j -0.291376-0.0786148j 1.59171-0.77228j -1.67611+0.577864j -0.838293+0.407763j 0.0757375+0.647951j 1.16526-0.49775j 0.358985-0.172454j 0.0502033-1.17891j 0.0544673-0.887746j -1.18624-0.099568j 0.21318-1.09j 0.366077+0.483013j 0.55491-0.993425j 1.67576-0.428182j -0.795574-0.0644606j -0.532126+1.52059j -1.17509+0.930595j -0.0577374+0.61833j 1.02737+1.23708j 0.333961+0.0132971j -0.169539-1.08273j -1.01041+0.927707j -0.169709+0.44751j 1.26255+0.394844j -0.27186-1.30464j 0.598142-0.672159j 0.947443+1.14713j 0.287619+0.191275j -1.60977-0.996195j -0.594323+1.18196j -0.847582-0.478905j 0.391426-0.0621114j -1.09609+0.0650076j 0.692812+0.359099j -0.0736906+0.201767j -0.325344+0.31031j -0.0641874-0.409352j -0.297086+0.154662j -0.012254+0.0811758j -0.253293-0.00941021j -0.617922-0.555209j -0.227245+0.13863j 0.12312+0.0913747j -0.0644706-0.34025j -0.0886262-0.23827j -0.407999+0.157509j 
-0.318403-0.254007j 0.0122324+0.269472j -0.0458747+0.0149584j 0.40838-0.225438j 0.28988+0.109927j -0.914889-0.286702j -0.780573-0.0181787j 0.871898-0.2438j 0.0479366+0.12477j 0.634845+1.04406j -0.127805-0.352155j 0.240402+0.77205j 0.36729+0.0726337j 0.100003+0.0479698j -0.0275189+0.19968j -0.132868-0.0973418j -0.385205-0.197971j 0.128327+0.594396j 0.0187772-0.515175j -0.923474+0.582415j -1.05115+1.10002j 0.125537+4.15697j 0.62061+1.64053j -0.186357+1.04498j 2.03246-0.0347622j 1.27478+0.335421j 0.946468-0.49614j 2.45834-1.27557j 0.529703-0.875662j -0.572528-0.0486981j 0.887442-0.228972j -0.156206-0.0204763j 0.454529+0.333715j 0.724136+0.559267j 0.1469+0.140111j -0.220267+0.173478j 0.150368+0.164793j -0.397451-0.111933j -0.122186+0.111367j 0.265739+0.701918j -0.457436-0.0922489j -0.803616+0.79055j -0.323069-0.649572j -1.96583+0.500048j 1.12009-0.386122j -0.888749+0.898516j -0.838762+1.33377j 0.851396-1.94893j 0.0140468-0.157559j 1.45914+2.85193j -0.0105585-0.224084j 1.61355-2.00657j -0.903712-0.230699j 1.00712-0.944937j -0.750676-0.314831j -0.396337+0.462099j 0.556007+0.0833288j -0.619209+0.881904j 0.0138799+0.676173j -2.18399+1.12229j -0.231999-0.637273j -0.695474-0.324989j -0.53856+0.531379j 1.87284-1.52767j -0.469768-0.0967046j 0.544501-0.476831j 0.279662-1.62968j 0.140458+0.313975j -2.40305-0.225357j 0.217196+0.791852j -0.117784-0.612668j -0.65404+0.038958j -2.49183+0.876247j -1.05631+0.507801j 1.2373-0.320641j 0.0531473+0.588057j 0.235848+0.936809j 0.703133+0.759951j -0.408259+1.35291j 0.974097-0.827551j -0.342458+0.214026j 0.948491+0.16429j -0.27299-0.0650616j 0.50386+0.412769j 0.471792-0.0198128j 0.827914+0.306706j 0.0579377+0.202349j 0.780057-0.583186j 0.127323+0.221433j 0.629258+0.0121671j -0.347704-0.0995647j -0.262106-0.381928j -0.278141+0.0153712j 0.308566+0.164289j 0.181792-0.220466j 
0.0176501-1.13652j -0.65732-0.00916979j 0.300887-0.283423j 0.486416+0.280011j 0.220812-1.78311j 0.317444+1.51046j -0.0454011-0.0230466j 0.383865-1.09016j 0.353893-0.419663j 1.39567+0.616817j 1.3091-0.919683j -0.706852+0.39875j -0.284882+0.768063j 0.103423+0.419647j -0.357303+0.258525j 0.568128-0.45635j -0.503675-0.0784801j 0.602427+1.58706j 0.710172-0.185473j -1.37+0.556016j -0.404952-0.00129751j 1.27312-2.03695j 0.850904-1.36472j -0.548172+0.00142507j 1.42133+0.601281j -0.684211-0.0282972j -0.130819+0.503086j 0.784577+0.64358j -1.06593-1.28992j -0.0985261+0.499444j 0.91171-0.870203j 0.423884-0.286366j -0.502349+1.48352j -0.00418076+1.03762j -0.127881-0.264115j -0.734302-0.194461j -0.0542103+0.4939j -0.0104232-0.198935j 0.0322604-0.0625436j 0.390292+1.11842j -0.696244-0.228844j -1.61523+1.89795j -0.406667-1.34283j -0.885698+0.267485j 0.80348+2.01322j -0.909352-0.587148j -0.838652-0.333333j -2.60815+1.6435j 0.655701+2.04741j -0.0879078-0.0775099j 1.77271-0.252803j 3.62685-1.72195j 0.0800317+0.143526j 1.88053-2.01217j 1.91788-0.816469j 0.918492-0.608508j -0.54741-0.358435j -0.114619-0.643625j 2.17445-0.510631j -3.05628+0.304831j -0.0481916+0.114853j -1.0673+1.4903j 1.27818+0.341419j 2.59716-0.229764j -0.906016+0.110593j 2.0691+1.62021j 2.54923-0.96591j 0.64162+1.26288j -1.17682-0.338504j 2.04914-0.257154j 1.05443-1.11963j 0.342469+0.94163j -3.53407-0.690401j -0.379201-0.497959j 0.811942-0.278407j -0.312725-0.786557j 1.86658-0.0299994j 0.327469+0.849855j -1.74035-0.245505j 1.02978-1.07208j -0.293477+0.625944j 1.48656+0.553033j -0.922021-0.457371j 0.00229542-0.00634504j 0.661994+0.374045j 1.11301+0.800561j 0.245102+0.0616169j 0.504131+0.114777j 0.406362+0.517603j 1.68895+0.368622j -0.905316-0.651146j -0.312545-0.471984j -0.265584-0.157174j 0.221777+0.59097j 0.54016-0.0820307j 
-0.487512-0.292495j -0.676173+0.48967j -0.200686-1.21057j -1.13049+1.27728j 1.40848-1.8838j -0.124513-0.10759j 1.3292-0.291984j -0.9731+0.921035j -0.243683-0.628661j 0.227015-0.185336j -0.113505-0.631832j 0.29798+0.495306j -0.720418-0.205707j -0.519946+0.514226j 0.31698+0.550214j -0.818235-0.780737j 0.535747+0.0120109j -0.306315-1.28282j -0.433621+0.31543j -1.40844-0.735405j 0.799604+0.160458j 0.157666+1.12325j -0.213758+2.52773j 1.49726+0.328831j 0.465456-1.57198j 0.445567+0.273478j -1.06865+0.827248j -0.339519+0.982023j -0.722191+1.71409j 0.0278325-0.593799j 0.0805114+0.125157j 0.41591-0.401834j 0.168983+0.417867j 0.102489+0.123492j 0.640499-0.304719j 0.100017-0.474858j 0.636104-0.00132857j -0.215089-0.928062j -0.558117-0.173905j 0.362389-0.658475j 0.307257+0.418826j 0.0654362+0.574419j -0.546804+0.108437j 1.21018-3.37238j 1.01434+0.296168j -2.195-1.77501j -0.245028+0.675532j -0.499338+0.808933j -0.965517+0.432686j -0.964665-0.222893j 0.0684514+1.01618j 0.0420563+1.29131j 1.77593-0.41106j 0.229116+0.668642j -1.22265-1.28259j 0.0833477+0.982106j 0.0290623+0.648672j -2.13807+0.513681j 0.735993+0.352481j 0.063144+0.271597j -0.985762-0.474188j -0.65269+1.07871j -0.254227+0.81222j -0.695715-1.52116j 0.011356+0.289839j -2.06968-0.382298j -1.03777-0.36511j -0.0995787+0.11613j 1.12657-0.174325j -0.945582+0.397338j -0.0394226-0.0369343j 0.433785+0.00646407j 0.527197-1.30512j -0.153292-0.344084j -0.219432+0.290185j -0.299891+0.366005j -0.18697-0.587391j -0.166267+0.185713j -0.403967-0.381068j -0.511461+0.0848398j 0.536728+0.249882j -0.349598+0.703j -0.252211-0.0507987j -0.348005+0.43939j -0.321816+0.721998j 0.360584+0.359079j -0.138434+0.29609j 0.431098+0.242234j -0.29462-0.238261j 0.134312-0.0230857j 0.353031-0.380917j -0.178475+0.0827517j 0.387922+0.408859j 0.241412-0.0999577j 0.145914-0.425442j 
