0.103441-0j 0.0154201-0j 0.0231301-0j 0.00243813-0j 0.0292575-0j 0.00689606-0j 0.00597217-0j 0.00109036-0j 0.001028-0j 0.000162542-0j 1.08361e-05-0j 0.098289-0j 0.0193828-0j 0.0212328-0j 0.00353881-0j 0.0274115-0j 0.00408626-0j 0.00612939-0j 0.000646095-0j 0.0054823-0j 0.00129219-0j 0.000913716-0j 0.000166821-0j 0.000136209-0j 1.92628e-05-0j 1.08534e-06-0j 
0.000896654-0j 0.000133665-0j -0.0119815-0j 0.113199-0j 0.000253612-0j -0.00357219-0j 5.17684e-05-0j 0.0163067-0j 8.91102e-06-0j -8.41974e-05-0j 9.39304e-08-0j 0.000851995-0j 0.000168016-0j -0.0109987-0j 0.052924-0j 0.00023761-0j 3.54208e-05-0j -0.00317506-0j 0.0299973-0j 4.7522e-05-0j -0.000669361-0j 7.92034e-06-0j 0.00249486-0j 1.18069e-06-0j -9.97824e-06-0j 9.408e-09-0j 
0.00146423-0j -0.0198002-0j 0.000327412-0j 3.45122e-05-0j -0.00583721-0j 0.0617152-0j -0.00246757-0j -0.000450514-0j 0.0289054-0j -0.000136618-0j -1.37385e-05-0j 0.0013913-0j -0.0123072-0j 0.000300556-0j -0.00224697-0j -0.0054689-0j 0.073954-0j -0.00122288-0j -0.000128903-0j -0.00226516-0j 0.023949-0j -0.000572758-0j -0.000104571-0j 0.00513537-0j -2.03065e-05-0j -1.60794e-06-0j 
-0.000327412-0j -4.88077e-05-0j 0.00215091-0j 0.000695611-0j 0.00270309-0j -0.0187183-0j -0.00749154-0j 0.0817358-0j -0.0041568-0j 0.0395166-0j -0.000228264-0j -0.000311105-0j -6.13507e-05-0j 0.00197448-0j 0.000669361-0j 0.00253253-0j 0.000377527-0j -0.0166373-0j -0.00538055-0j -0.00687705-0j 0.0476221-0j -0.00369467-0j 0.0403103-0j -0.00112714-0j 0.00789411-0j -3.21517e-05-0j 
3.45122e-05-0j 5.14478e-06-0j 7.71717e-06-0j 8.13461e-07-0j -0.000579622-0j -0.000136618-0j 0.00520934-0j 0.00095109-0j -0.0255589-0j 0.0505388-0j 0.0617459-0j 3.27933e-05-0j 6.46693e-06-0j 7.08417e-06-0j 1.18069e-06-0j -0.00054305-0j -8.09531e-05-0j -0.00012143-0j -1.27998e-05-0j 0.00478204-0j 0.00112714-0j -0.0227174-0j -0.00414761-0j 0.0423512-0j 0.034906-0j 0.0147653-0j 
0.00902306-0j -0.122015-0j 0.00201762-0j 0.000212675-0j 0.00255211-0j -0.0269827-0j 0.000520946-0j 9.51114e-05-0j -0.00402235-0j 1.41784e-05-0j 9.45224e-07-0j 0.00857365-0j -0.0758406-0j 0.00185212-0j -0.0138465-0j 0.00239108-0j -0.0323337-0j 0.000534661-0j 5.63582e-05-0j 0.000478216-0j -0.00505604-0j 7.97026e-05-0j 1.45516e-05-0j -0.000532954-0j 1.68028e-06-0j 9.46729e-08-0j 
-0.00285334-0j -0.000425351-0j 0.0187448-0j 0.00606214-0j 0.011375-0j -0.0787691-0j 0.00480854-0j -0.0524632-0j 0.00125574-0j -0.0078216-0j 2.67722e-05-0j -0.00271123-0j -0.000534661-0j 0.0172073-0j 0.00583337-0j 0.0106572-0j 0.00158869-0j -0.070012-0j -0.0226421-0j 0.00441412-0j -0.0305668-0j 0.00111613-0j -0.0121775-0j 0.000223097-0j -0.00116257-0j 3.13339e-06-0j 
0.000425351-0j 6.34076e-05-0j 9.51114e-05-0j 1.00256e-05-0j -0.00532765-0j -0.00125574-0j 0.0313725-0j 0.00572781-0j -0.0704626-0j -0.0498066-0j -0.0174878-0j 0.000404166-0j 7.97026e-05-0j 8.73098e-05-0j 1.45516e-05-0j -0.0049915-0j -0.000744088-0j -0.00111613-0j -0.000117651-0j 0.0287992-0j 0.00678803-0j -0.0626289-0j -0.0114344-0j -0.0417375-0j -0.0152801-0j -0.00309657-0j 
-0.00801992-0j -0.00119554-0j 0.108544-0j -0.000189031-0j -0.00226838-0j -0.000534661-0j 0.0280259-0j -8.45374e-05-0j -7.97026e-05-0j -1.26021e-05-0j -8.40139e-07-0j -0.00043125-0j 0.00514745-0j -9.31607e-05-0j -1.55268e-05-0j -0.00012027-0j -1.79288e-05-0j 0.00162777-0j -2.83479e-06-0j -2.4054e-05-0j -5.66958e-06-0j 0.000242653-0j -7.31939e-07-0j -5.97626e-07-0j -8.45171e-08-0j -4.762e-09-0j 
0.00146423-0j 0.000218275-0j -0.0195657-0j 0.184853-0j 0.000414147-0j -0.00583337-0j 8.45374e-05-0j 0.0266288-0j 1.45516e-05-0j -0.000137494-0j 1.53388e-07-0j 7.87352e-05-0j 1.55268e-05-0j -0.00101642-0j 0.00489085-0j 2.19582e-05-0j 3.27333e-06-0j -0.000293415-0j 0.00277213-0j 4.39164e-06-0j -6.18574e-05-0j 7.31939e-07-0j 0.000230557-0j 1.09111e-07-0j -9.22116e-07-0j 8.69418e-10-0j 
0.00239108-0j -0.0323337-0j 0.000534661-0j 5.63582e-05-0j -0.00953212-0j 0.100781-0j -0.00402952-0j -0.000735687-0j 0.0472022-0j -0.000223097-0j -2.24349e-05-0j 0.000128574-0j -0.00113734-0j 2.77752e-05-0j -0.000207648-0j -0.000505396-0j 0.00683428-0j -0.00011301-0j -1.19123e-05-0j -0.00020933-0j 0.00221319-0j -5.29301e-05-0j -9.66367e-06-0j 0.000474573-0j -1.87657e-06-0j -1.48594e-07-0j 
-0.000534661-0j -7.97026e-05-0j 0.00351242-0j 0.00113593-0j 0.00441412-0j -0.0305668-0j -0.0122336-0j 0.133474-0j -0.00678803-0j 0.0645303-0j -0.000372754-0j -2.875e-05-0j -5.66958e-06-0j 0.000182467-0j 6.18574e-05-0j 0.000234038-0j 3.48883e-05-0j -0.0015375-0j -0.000497231-0j -0.000635526-0j 0.00440088-0j -0.000341434-0j 0.00372518-0j -0.000104162-0j 0.000729516-0j -2.97123e-06-0j 
5.63582e-05-0j 8.40139e-06-0j 1.26021e-05-0j 1.32838e-06-0j -0.000946519-0j -0.000223097-0j 0.00850681-0j 0.00155312-0j -0.0417375-0j 0.0825296-0j 0.100831-0j 3.03052e-06-0j 5.97626e-07-0j 6.54667e-07-0j 1.09111e-07-0j -5.01847e-05-0j -7.48109e-06-0j -1.12216e-05-0j -1.18286e-06-0j 0.000441921-0j 0.000104162-0j -0.00209938-0j -0.000383292-0j 0.00391378-0j 0.00322575-0j 0.0013645-0j 
0.00672491-0j 0.00100249-0j -0.0910167-0j 0.000158508-0j 0.00190209-0j 0.000448327-0j -0.0235004-0j 7.08867e-05-0j 6.68327e-05-0j 1.05672e-05-0j 7.04478e-07-0j 0.00638996-0j -0.0762713-0j 0.00138039-0j 0.000230065-0j 0.00178208-0j 0.000265656-0j -0.0241191-0j 4.20039e-05-0j 0.000356415-0j 8.40079e-05-0j -0.00359546-0j 1.08454e-05-0j 8.85521e-06-0j 1.25232e-06-0j 7.056e-08-0j 
-0.00122779-0j -0.000183029-0j 0.0164064-0j -0.155004-0j -0.000347273-0j 0.00489143-0j -7.08867e-05-0j -0.0223289-0j -1.22019e-05-0j 0.000115292-0j -1.2862e-07-0j -0.00116664-0j -0.000230065-0j 0.0150606-0j -0.0724692-0j -0.000325361-0j -4.8502e-05-0j 0.00434762-0j -0.0410755-0j -6.50722e-05-0j 0.00091656-0j -1.08454e-05-0j -0.00341623-0j -1.61673e-06-0j 1.36633e-05-0j -1.28824e-08-0j 
-0.00200498-0j 0.0271126-0j -0.000448327-0j -4.72578e-05-0j 0.00799293-0j -0.0845071-0j 0.00337886-0j 0.000616892-0j -0.0395803-0j 0.000187072-0j 1.88122e-05-0j -0.00190512-0j 0.0168523-0j -0.000411553-0j 0.00307679-0j 0.00748861-0j -0.101266-0j 0.0016745-0j 0.000176508-0j 0.0031017-0j -0.0327935-0j 0.000784281-0j 0.00014319-0j -0.0070319-0j 2.78058e-05-0j 2.20176e-06-0j 
0.000448327-0j 6.68327e-05-0j -0.00294525-0j -0.000952505-0j -0.00370135-0j 0.0256311-0j 0.0102582-0j -0.111921-0j 0.00569193-0j -0.0541103-0j 0.000312564-0j 0.000425998-0j 8.40079e-05-0j -0.00270367-0j -0.00091656-0j -0.00346781-0j -0.000516951-0j 0.0227815-0j 0.00736763-0j 0.00941678-0j -0.0652092-0j 0.00505913-0j -0.0551972-0j 0.0015434-0j -0.0108095-0j 4.40256e-05-0j 
-4.72578e-05-0j -7.04478e-06-0j -1.05672e-05-0j -1.11388e-06-0j 0.00079368-0j 0.000187072-0j -0.00713318-0j -0.00130233-0j 0.034998-0j -0.0692032-0j -0.0845491-0j -4.49041e-05-0j -8.85521e-06-0j -9.70039e-06-0j -1.61673e-06-0j 0.000743602-0j 0.00011085-0j 0.000166274-0j 1.75269e-05-0j -0.00654807-0j -0.0015434-0j 0.0311071-0j 0.00567935-0j -0.0579917-0j -0.047797-0j -0.0202183-0j 
