-0.113946+0.611593j -0.831482-0.00873477j -0.101723-0.613329j 0.233621-0.066672j 0.174223+0.287023j 0.0750978+0.000329276j -0.1779+0.284004j -0.231605-0.0694277j 0.0204201+0.0721733j -0.0574659+0.0161233j -0.165425+0.0846153j -0.0915626-0.111156j 0.0877815+0.128139j 0.0796504+0.0101898j 0.0456938+0.120705j 0.0504549-0.120021j 0.0796347-0.00722255j 0.0936293-0.127732j -0.0916503+0.104552j -0.162112-0.0883931j -0.0585025-0.0177375j 0.0210081-0.0716239j 
-0.0810527-0.145087j -0.00770419-0.00368526j -0.162913-0.0282122j -0.0329033-0.0365508j -0.131705+0.0409473j 0.011276+0.00863995j 0.00668152+0.138293j 0.0463074+0.01683j 0.00420508+0.0251753j 0.0380514+0.0464599j 0.0378342-0.0510673j -0.0512744+0.017096j -0.0553106-0.0451303j 0.0688994+0.19095j -0.0482954+0.074657j 0.0539307-0.0684219j 0.202865+0.00146019j -0.0585891-0.0349841j -0.00258259-0.0552158j -0.0350555+0.0530082j 0.0563669+0.0218751j 0.0255865-0.00511364j 
0.0941396+0.0876936j -0.00704438-0.000780275j 0.0955132-0.00575262j -0.055357-0.0438173j -0.0799322+0.100779j -0.0120859-0.0768102j -0.0359276+0.035487j 0.0598072+0.0770854j 0.0196366+0.0975636j 0.0151639-0.0344884j 0.084859-0.0670811j -0.040582-0.0140145j -0.00798126+0.0965677j 0.0407902+0.159803j 0.0236101-0.0333681j 0.113278+0.0413622j 0.0967346-0.041312j -0.0402476-0.0529227j -0.0681297-0.087892j -0.0121812+0.133946j 0.0464255+0.0550429j 0.00943312-0.0265394j 
0.0235683+0.139842j 0.105595-0.0774431j -0.0295175-0.00836958j 0.0707993+0.048122j -0.0453105-0.162271j 0.0947065+0.110358j 0.0473059+0.0393264j -0.0657851-0.0409863j -0.166301+0.113698j 0.0940164+0.186843j -0.0199969-0.0181398j -0.0489228+0.117236j 0.021388+0.124871j 0.0914562+0.117912j 0.0796662-0.0648967j 0.168856+0.0163737j -0.0129369-0.0484747j -0.117797-0.0737138j 0.0438646-0.0127634j 0.0388151-0.064427j -0.0362037+0.148416j 0.0346704+0.11116j 
-0.0934953-0.0605276j -0.0322794+0.0682843j -0.000300321+0.020349j -0.0349615-0.0142537j 0.0449958-0.122637j -0.0652295+0.0625456j -0.144118+0.0233758j -0.0212979+0.0403729j 0.022215+0.198589j 0.133315-0.0453337j 0.0502876+0.0688671j 0.0817596+0.0792799j 0.078288+0.199406j 0.0916477-0.031047j 0.149876-0.0527327j 0.0929216+0.0145405j -0.102588-0.0867669j -0.0284192+0.0448961j -0.0926373-0.148062j -0.028299+0.021358j 0.0793621+0.0755907j 0.0397752-0.01198j 
-0.00242142+0.00371242j 0.0323617-0.0121631j 3.40558e-05-0.0220914j -0.00805858-0.00667589j -0.0175619+0.0322079j 0.0408027-0.0358256j -0.0109478+0.0651108j 0.123822+0.00897497j -0.0240096-0.00541922j -0.0141496+0.0374687j 0.0131809+0.00901794j -0.0135636-0.0777856j -0.0122009-0.0250284j -0.0466818-0.087154j -0.023158+0.00165262j -0.124779-0.0902256j -0.0560109-0.019801j -0.00491874+0.0752523j -0.0272505+0.0271401j -0.00921023-0.0443034j -0.0518007-0.140315j 0.0477515+0.0762806j 
0.00416775-0.0260049j -0.0241957+0.0548525j 0.0221534+0.043121j 0.00860694+0.0274826j 0.0156789+0.0170204j 0.0129923+0.0938101j 0.000288327-0.0590885j -0.0244513+0.0815821j 0.0154544+0.0254768j 0.0706774+0.0175269j -0.01031-0.00956453j -0.0484779+0.00725186j 0.0227129-0.053045j 0.0428459-0.0345685j -0.0529355-0.0133447j 0.0800359-0.0679405j 0.0234938+0.0115654j -0.0619715+0.0423907j 0.00322796+0.0539674j 0.010049-0.0629562j 0.10899-0.140546j -0.0607416+0.0487834j 
-0.0149363-0.0496j 0.0287042-0.00935135j 0.0186506+0.0245853j 0.00892813+0.0302498j 0.0778492+0.061113j 0.0665065+0.0371709j 0.0437516-0.0250346j 0.114726-0.0620499j 0.00604214+0.0178805j 0.0313589-0.021688j -0.0193899-0.0289244j -0.0576288+0.0681575j 0.0211566+0.0155286j 0.0137602+0.00857421j 0.0257888+0.0387814j 0.0251613-0.0051847j 0.0310807-0.043656j 0.0102655+0.0478176j 0.022277-0.0911703j -0.00986078+0.00649456j 0.00700513-0.0399476j -0.00498979-0.0223664j 
-0.032179-0.0269522j 0.00590194+0.0588453j 0.064404+0.0232538j -0.00203063-0.0054101j 0.0431489-0.0113923j 0.0539346+0.0173925j -0.0216684-0.0327668j -0.0125098-0.0239831j -0.0673528-0.0135645j -0.0768235+0.0156743j -0.0189251+0.0166041j 0.0113164+0.0286155j -0.096408-0.0157345j -0.0584477+0.00450142j -0.0944705-0.00634484j -0.0680972-0.0891652j 0.0355429-0.0482305j 0.0109727-0.0601566j 0.101926-0.0720365j -0.0654044+0.0222354j -0.0429714+0.0554702j 0.0930288-0.0268104j 
-0.028959+0.00381009j 0.00712978-0.0747026j 0.00639117-0.0407186j -0.0600829+0.0112162j 0.0395059-0.0146178j 0.0520434+0.0444218j -0.0224935-0.0329218j -0.0948774+0.0227424j -0.0184769+0.0292154j -0.00962574+0.0295257j 0.00207119-0.0368148j -0.000458679+0.0470911j 0.0761226-0.0109955j 0.00109621-0.00201289j 0.089217-0.0323462j -0.0364905-0.0494588j -0.0799319-0.0445041j 0.0562044-0.0286879j -0.125929-0.0752767j 0.0621954-0.0256197j 0.0231426-0.0143294j -0.00915778-0.0389325j 
-0.0331389-0.0563719j -0.00178776+0.0323561j 0.0337235+0.0682076j 0.044115-0.0195959j -0.0597025-0.0180468j -0.0407532-0.0110499j -0.028269+0.0108241j 0.0101238+0.0661198j -0.0144779-0.0245662j -0.0511766+0.0220421j -0.0447515+0.0513684j -0.0189819+0.00479709j 0.046449+0.00337601j -0.0551459-0.0565021j 0.0497902-0.000688337j -0.0159081+0.0667145j -0.0656799-0.0566104j 0.101661+0.116008j -0.125203-0.0645546j 0.00263057+0.0492758j -0.100597-0.0182953j 0.0262598+0.0264801j 
0.0776341+0.039064j 0.061934+0.00402249j -0.0384495-0.0189894j 0.0165979+0.0150335j -0.0345035+0.0139959j -0.012411+0.0715353j -0.00844374-0.0212095j -0.000406338+0.10982j 0.0100434-0.01397j -0.00556823-0.0405802j -0.0320038+0.0152139j -0.0385015+0.0361973j 0.0315244+0.0237278j -0.0138249-0.0319458j 0.03867+0.01505j -0.00324583+0.116938j -0.00929539-0.0181415j 0.112028+0.073318j -0.0243728-0.0603907j -0.0244007+0.0563538j -0.115142+0.00612829j 0.026388+0.00651369j 
-0.0369672+0.00776196j -0.0928586+0.0457359j 0.0162435-0.0127582j -0.0413302+0.0011559j -0.0111259+0.00262711j 0.0187286-0.0243546j -0.0163049+0.0375482j -0.00077879+0.0282209j -0.0120457+0.0041103j 0.00118756-0.0271236j 0.0157935-0.0440883j -0.0317723+0.0341383j 0.00408941+0.0168591j -0.0550288+0.0174628j 0.0980252+0.0132391j -0.0805193-0.024164j -0.0150054-0.0354209j 0.0601009+0.0112484j -0.00357166-0.0620118j -0.00341064-0.00688796j -0.0949213+0.0128269j 0.0663286-0.036656j 
0.0132768+0.00115901j 0.0235417-0.0392462j -0.00393626-0.0275536j -0.0308669+0.0164264j -0.0160328-0.0174185j -0.00974329-0.0441829j 0.00325347+0.0343185j -0.0290647+0.00912436j 0.00730235-0.0120143j -0.00276365+0.0593342j -0.0747219+0.0859171j -0.00733544+0.0889212j -0.0518775-0.00886534j -0.000420197-0.00910126j -0.102583+0.133623j 0.0542063-0.00206789j 0.0162003-0.0184041j -0.0184525+0.108095j 0.00856636-0.0781934j -0.0567739+0.0499528j -0.0242398-0.0540953j -0.0163523+0.0366579j 
-0.0465613-0.0101585j 0.0100821+0.0729536j 0.0569271+0.0335586j -0.0420436-0.00119796j -0.0224933+0.0130128j -0.0497086-0.0211361j 0.0323955+0.0391789j -0.0283784-0.0181403j -0.0118917+0.0554197j 0.0169379-0.0221455j -0.0207916+0.070122j -0.0225257+0.0706724j -0.00296529+0.00928184j -0.0150528-0.0215955j -0.107762+0.033848j 0.11105-0.0182741j 0.0101874-0.120929j 0.0607789+0.0339543j -0.0184024-0.0688917j 0.0106254+0.0760579j 0.0347064-0.0566457j -0.0126582-0.0114254j 
0.0048266+0.0172729j -0.0101428-0.000416891j 0.00530014-0.0173125j 0.0517519-0.111771j 0.0260165-0.0469276j -0.0092281+0.00048954j -0.0271329-0.0476762j -0.05065-0.110894j -0.00898847-0.0164655j -0.0137966+0.0473115j 0.0202613+0.0310506j -0.0788115+0.00157381j 0.0833329-0.0423244j -0.0625731-0.0139362j 0.0340904-0.00312497j 0.0385783+0.00443528j -0.0628307+0.0123661j 0.0847298+0.0436531j -0.077458-0.000360926j 0.0227567-0.0278814j -0.0134093-0.0475195j -0.0100285+0.0172366j 
-0.0537349-0.0107884j 0.0142043-0.09932j 0.0548608+0.00526467j 0.0387548-0.0691838j -0.0411684-0.00585012j -0.00590209+0.0426354j -0.0405106-0.00354014j 0.0199001+0.0776607j -0.020967-0.028414j -0.0133116+0.0070022j 0.0400694-0.0201137j -0.0946903-0.043684j 0.00611119+0.00132183j -0.046661+0.0199236j 0.0110764+0.00391771j -0.0119393+0.0023826j 0.0413504+0.0316127j -0.00822802+0.0010187j 0.101888-0.0177745j -0.0358077-0.0295238j 0.0112742+0.00978403j 0.0278047-0.0211862j 
0.0361736-0.0432871j 0.0969686+0.000496998j 0.0341208+0.0432387j 0.0039446-0.0595385j 0.00546012+0.000916748j -0.00750885-0.000362287j -0.00630135+0.000729632j -0.00412972-0.0590858j -0.00996741+0.0767661j 0.0443138+0.0164376j 0.0487709-0.0108375j -0.0552381-0.00538213j -0.00354724+0.0560314j -0.0458671+0.00332872j -0.00802426-0.0192881j -0.00996762+0.0188655j -0.0461315-0.00162611j -0.0039337-0.0558493j -0.0544916+0.00456868j 0.0481003+0.00853457j 0.0426412-0.0180824j -0.0112968-0.076595j 
0.10575-0.005584j -0.00343675-0.114749j -0.106551-0.000568927j -0.0110297+0.00642982j 0.00685986-0.00139307j 0.000502023-0.006406j 0.00607191+0.000727449j -0.011415-0.00726425j -0.0756747+0.0147494j -0.0213563-0.0566192j 0.00226245+0.0569219j -0.0336316-0.01365j -0.0765074-4.64975e-05j -0.0582442-0.122979j -0.0911911-0.110192j 0.0883903-0.113215j 0.0544528-0.12438j 0.0731887-0.00459362j 0.0368106-0.00986402j 0.00237072+0.0565221j 0.0235655-0.0569207j 0.0752125+0.0123368j 
0.0114869-0.00694819j 0.0343925-0.000123343j 0.010528+0.00682536j 0.0162508+0.0294567j 0.053556-0.0486414j 0.110946-8.72136e-06j -0.0549363-0.0480223j -0.0152574+0.0307933j 0.0125727+0.0207116j -0.0255361-0.0378977j 0.0621236-0.00924607j -0.0422127-0.098751j 0.0485993+0.0184738j -0.0683853+0.0204241j 0.0194531-0.0707671j 0.0177494+0.0705876j -0.0684674-0.0196844j 0.0478143-0.0214518j -0.0400713+0.0989366j 0.0626255+0.00632427j -0.0259265+0.0386349j 0.0124474-0.0211719j 
0.0569995-0.0350269j 0.00712916-0.0722201j -0.0468008+0.0120643j 0.0275862-0.0169656j -0.0327589+0.0397371j -0.0516187+0.0212442j 0.0246703+0.0131759j 0.0408649-0.0020335j -0.0115994+0.0115576j 0.0321619+0.0571735j 0.00838556-0.0748831j -0.0234816+0.0740032j 0.0633168-0.0350109j 0.0103726+0.12086j 0.109812+0.0183422j -0.104404-0.0330311j -0.0149117+0.0205864j 0.000754338-0.00533477j -0.025229-0.0741585j -0.0228003-0.0692834j 0.0150123+0.0189736j -0.0126477-0.0546079j 
0.00724784-0.0283939j -0.0188664-0.0408675j -0.0128686+0.000753395j -0.0279908-0.0164674j 0.00823195-0.0315922j 0.0159536-0.0404462j -0.0191308+0.0145713j -0.0273078-0.0217569j 0.0118087+0.037798j 0.0333458-0.0510726j 0.0494508+0.0549041j 0.00684348-0.083804j 0.000457174+0.108732j -0.0122856-0.0199693j -0.0517682-0.010154j 0.0769896+0.148191j 0.000630604-0.0071451j 0.0490956-0.00560158j -0.00302077+0.0925406j 0.0623396+0.0940602j -0.00593858+0.0621166j -0.00593395-0.0139799j 
-0.0139822-0.0125523j 0.0922499+0.0452181j 0.0342133+0.00734274j -0.00117573-0.0288247j -0.01727-0.0370556j -0.018946-0.0238451j -0.0109309-0.00203932j -0.0423035-0.00179787j -0.0651782-0.0381099j 0.0940755+0.0159011j 0.00432147-0.00846323j 0.00169404-0.0598962j -0.0562019+0.00550264j 0.0150473-0.0335877j 0.0834813-0.0254565j -0.0965194+0.0130894j 0.0546426+0.0195915j -0.00156207+0.0174578j 0.028797+0.0335957j -0.0179253-0.0455159j -0.00195686-0.0275189j 0.0114955+0.00548046j 
0.0362879-0.0192362j -0.0635007+0.0068948j -0.0754138+0.0394958j -0.000434247-0.109896j -0.0095822+0.0229413j 0.0128593+0.072601j -0.0345041-0.0137571j 0.0181861-0.0141853j -0.0241228+0.00567972j 0.115056+0.00527996j 0.0271974+0.0525745j 0.0262458-0.062476j -0.108689+0.0734132j 0.00916228-0.015883j 0.00758151+0.117456j -0.0408396+0.0155001j 0.013277-0.0294414j -0.034157+0.0232285j 0.0392541+0.0345654j 0.0298919+0.0124958j 0.00486871-0.0407144j -0.0108754-0.0133262j 
-0.0323224+0.0669674j 0.00420333+0.0298618j 0.0333339-0.0560439j 0.0109832-0.066267j -0.0300988-0.00957042j 0.0397593-0.0105794j -0.0580694+0.0185418j 0.0452839+0.0198495j -0.0256116+0.026115j 0.101619-0.0187999j 0.000991906+0.0454409j 0.128742-0.0691429j -0.0984174+0.116656j 0.0661922-0.0541651j 0.0201177+0.0668443j -0.0553917-0.000145726j 0.054461-0.0551706j -0.0490499+0.0028819j 0.0188292+0.00447774j 0.0433942+0.0481479j 0.0509927+0.0217847j 0.0128139-0.0257008j 
0.00814723+0.0411089j 0.00957333+0.0723553j -0.0293574-0.00431309j 0.0952958+0.0176249j 0.0191065-0.0344681j 0.0500121-0.0464273j -0.0402736-0.0121485j 0.0606512+0.00943445j -0.00604367+0.0396326j 0.0239281+0.010411j 0.0620799+0.0243658j -0.12416+0.0785866j 0.0553105+0.029298j -0.078599+0.0476261j -0.0367863+0.0510027j 0.0928376+0.0309102j 0.00209785+0.00202917j 0.0760695+0.0086595j 0.000769666-0.0459684j 0.00534921+0.0389616j -0.0115468-0.0286365j -0.0192316-0.0279384j 
0.0643687-0.0242152j 0.00423205-0.0580673j -0.0325306+0.0281995j 0.0127837-0.0243681j 0.0204859-0.0322237j 0.0524538-0.0175833j -0.0422465-0.0105368j 0.00229086-0.00575263j 0.0926183+0.0263274j -0.0437932-0.0591392j -0.0647721-0.02448j 0.101507+0.0710864j 0.0136547+0.0605153j 0.0365959+0.0478664j -0.0651832+0.0879465j -0.0946845+0.0071521j -0.0567399-0.00425699j -0.0945661+0.0175183j 0.0102568-0.0304111j -0.020727-0.0158491j -0.0783704-0.0140451j -0.065862+0.0132157j 
-0.0187385+0.0236577j -0.0272136-0.0100635j 0.0157498-0.0488145j 0.115086+0.0623991j 0.0430343+0.0232612j -0.066507+0.0366432j 0.077075-0.0621399j 0.00764181-0.0290113j 0.00532272-0.0225655j -0.0065797-0.0400101j 0.0102477+0.00380797j -0.0234344-0.0925458j -0.0104986+0.046217j -0.0307807-0.0420709j -0.0232288-0.00761551j -0.0266007+0.0400018j -0.0129123+0.00821823j -0.0226627+0.013845j 0.0579251+0.0677026j 0.0177816-0.0296904j -0.0311009-0.0215162j -0.00533382+0.0190803j 
0.0227078-0.0424698j -0.0233416-0.0544018j 0.00374524+0.0272697j 0.0245606+0.0816487j -0.000462374-0.0616901j 0.0151098-0.0933476j -0.0162367+0.0184022j -0.00862824+0.0266776j -0.0596522-0.0463545j 0.108771+0.143698j 0.0109969+0.0639979j 0.00433471-0.0519367j -0.0604172-0.0416817j 0.0244554-0.00988279j 0.0792463+0.06975j -0.0506432+0.0142227j 0.041646+0.0352119j 0.0228726+0.0539565j -0.0486691-0.00592093j -0.0103246+0.00977507j 0.0703938-0.0156726j 0.0146576-0.02411j 
0.000372466+0.0218985j 0.0318356+0.0115315j -0.00315326-0.00400266j -0.122734+0.0100649j 0.0127561+0.0642746j 0.0401916+0.0361527j 0.0172836+0.031446j 0.00778246-0.00722492j 0.0475352-0.0722905j -0.0501025+0.139864j -0.00922538+0.0457416j -0.025661-0.0244968j -0.00508577-0.0720294j -0.0552256+0.0203089j -0.123611+0.091359j -0.0238111-0.000794733j -0.0479456+0.087616j -0.0135393+0.0244628j -0.0133043+0.0771532j 0.0135394-0.0090428j -0.0149117-0.0360063j -0.0247605+0.00550622j 
