-0.00278612-0.0443777j -0.03137+0.0688562j 0.0662068+0.035716j -0.0299268-0.0192528j -0.00561371+0.00509426j -0.0142249-0.0113442j 0.0205029+0.0704326j 0.0161243+0.0540363j 0.0180203+0.0168639j 0.00393364-0.0265002j 0.0171345-0.00933573j 0.0177208+0.038476j -0.0227793-0.00446183j 0.00837777+0.0228425j -0.0210878-0.0161905j 0.0140028-0.0328834j -0.0585441+0.00580965j 0.0223837-0.0379307j -0.0138286+0.0239618j -0.0108154-0.0302931j 0.0329166+0.00886342j 0.0300126-0.000253104j 0.00510566+0.0111309j 0.0020143+0.00760314j -0.0139449+0.0434911j 0.000305047+0.0268592j -0.028725+0.0386537j -0.0239971-0.0301267j -0.00807712+0.00950456j 0.0271688-0.00923804j -0.0226956+0.000492842j -0.00231477-0.0171294j -0.00742006-0.0102351j 0.0136088+0.00674594j 0.0152596+0.0209864j 0.0237182+0.0237251j -0.00764801-0.012359j -0.0102224+0.0288851j -0.0103491-0.075615j 0.00292792-0.0179406j 0.00404952-0.00991687j -0.00260293-0.00719525j -0.00538286+0.0567934j 0.0118046-0.0115408j -0.0130268-0.00299047j 0.0181378-0.021718j 0.00926722+0.0037437j 0.0331545+0.013254j 0.0495972+0.032955j 0.0398045+0.00868613j -0.0100759-0.00484601j 0.0336906+0.000186742j -0.000927117+0.0859838j -0.022674+0.0358365j 0.0146623-0.099735j -0.000599931+0.05244j 0.00812021+0.0277365j 0.00921177-0.0260455j -0.0333841-0.0012731j -0.0101654+0.0145404j 0.00334944+0.0232491j 0.00662345+0.01046j 0.0210315-0.0979995j -0.0292027+0.000243987j -0.0622402-0.0607973j 0.0326327+0.00791675j 0.00133316-0.0714292j 0.00724431-0.0384432j -0.0857375-0.0747577j -0.0213638-0.00206076j 0.0204023-0.0917423j 0.0436025+0.00830398j -0.0343094+0.0859052j 0.0407081+0.0129048j -0.029902+0.0266929j 0.0736854-0.0435256j 0.00207514+0.0189103j 0.0806711-0.0814777j 0.124401+0.00359872j -0.0205711+0.0663525j -0.00353069+0.0682694j 0.0622163-0.0825289j -0.0418527+0.0438932j -0.0738744+0.0226284j 0.0384851+0.0875092j -0.0167279-0.0215426j -0.026698-0.0320669j 0.174656-0.041183j 0.0182986-0.115891j -0.120059+0.0401333j 0.122083-0.260285j -0.223897+0.159279j 
-0.013785-0.00773181j 0.00226655+0.009934j -0.0179887-0.00422109j -0.00224076+0.0138435j 0.00404359-0.0329575j -0.00681067+0.0191048j -0.0565342+0.0069832j 0.00190931-0.0218574j 0.0448128+0.0149741j 0.0175036+0.0343088j -0.0393062-0.0651985j 0.01411-0.0560305j -0.0553996+0.0125485j -0.0189432-0.00363276j -0.0396508+0.0789606j -0.00666417+0.0564768j 0.0142497+0.00247552j -0.0165463+0.0466622j -0.0554297-0.00790651j -0.0113264-0.0967051j -0.0462462-0.00235808j -0.0398758+0.0174261j -0.0229238-0.00375057j 0.0225642-0.007419j 0.0354927-0.0319231j -0.0447561-0.0556938j 0.0208544+0.0955852j 0.00475837+0.0223833j -0.00083024-0.0564677j 0.0694012+0.0819969j -0.00498327+0.0831281j 0.0955976+0.0503907j -0.087945-0.000794988j -0.0444682-0.0601543j 0.0346935+0.00263907j 0.0312635+0.001428j 0.0511402+0.0148012j 0.0308022+0.0155528j -0.0200731+0.0178554j 0.00794346-0.0193501j -0.0169741-0.0597591j 0.046072+0.106383j 0.0495829+0.0482221j -0.059137+0.00905121j -0.0120526+0.0172386j 0.0474013-0.00859036j -0.0131621-0.0744441j 0.101131+0.0306251j 0.0097284-0.0188464j 0.0565963-0.0179874j -0.0518484-0.0226775j 0.0722213-0.00776412j 0.0942088-0.0941682j 0.0674405-0.0849195j -0.108295+0.0515004j 0.0823564-0.00948765j 0.0399488-0.0114177j -0.0403521-0.0248692j -0.0447692+0.0103086j 0.0708799+0.00430525j -0.0164619+0.0433975j 0.0565801+0.0301968j -0.0793725+0.127741j 0.0227419-0.0446295j -0.0730793-0.0609529j -0.0200762-0.0182456j 0.128755+0.0510703j 0.025959+0.00887805j -0.0890874+0.010942j -0.13581-0.0471656j 0.0544893+0.076107j 0.0123538-0.0555723j -0.0107415-0.0103797j 0.12013-0.0839585j 0.0089349+0.113035j 0.0275952-0.00494644j -0.0312898+0.021254j 0.0704093+0.00208786j 0.0353438+0.0502335j 0.0297467-0.0210974j 0.0284526-0.0401146j 0.0690534+0.0225239j -0.037861+0.00554413j -0.00269578+0.0318573j -0.061623+0.0152799j -0.0138998-0.0281446j -0.0228848-0.00338551j 0.0644074-0.00242193j 0.0101242-0.0097799j -0.0408302+0.00925331j 0.0235937-0.0280347j -0.00572687-0.014163j 
-0.0123816-0.0381548j -0.00227198+0.0278995j 0.0456221+0.0143953j 0.0192339+0.0102956j 0.0164072+0.0073356j -0.0674539-0.0251647j -0.000308682+0.0344179j 0.0484935+0.0275534j -0.0469454+0.0396261j -0.0466761+0.0455926j 0.0284261+0.0292552j -0.0407221+0.0290347j -0.00162832+0.0343987j -0.00444781-0.0418356j -0.0657964-0.040591j 0.0367547-0.0151754j -0.0369005+0.00999451j 0.040701-0.0100964j -0.00450686-0.0340307j -0.0881233+0.0554676j -0.0353673+0.0170928j 0.0469067-0.0263653j -0.037876-0.0180243j -0.0558717+0.00682771j 0.0189243+0.017776j -0.0289731+0.0333008j 0.0460889-0.103992j -0.0492993+0.0219684j -0.044847+0.0325672j -0.0386853-0.00599082j 0.0039287-0.0873204j 0.0189829+0.00991519j 0.00279972-0.00263794j -0.00679323-0.0600575j -0.00226535-0.000334057j -0.0580418-0.0458106j -0.0145572+0.0535518j -0.00861712-0.043262j 0.0539977+0.0282229j 0.00131322+0.0692461j 0.0645843-0.0155941j 0.0491698+0.0449504j -0.0419873+0.000684082j 0.00388296+0.025166j -0.0515624+0.0282894j -0.00255579+0.0726287j 0.00498315-0.0124971j 0.0716943-0.00506584j -0.0376914-0.0054171j 0.0921144+0.0171038j 0.00832332-0.0389736j -0.0296903+0.0399901j 0.0793998+0.0178365j -0.0452806-0.00949737j -0.129968-0.0111747j 0.0445727-0.0262465j 0.163023+0.0333673j 0.0472466-0.0353675j 0.045005-0.078452j 0.0599093+0.00348933j 0.0255384-0.00547579j 0.0856251-0.0376777j -0.0566243+0.0797576j 0.125456-0.0788514j -0.181892+0.0337243j 0.0629919+0.0520221j 0.116111+0.0283919j -0.0492514-0.00368749j -0.139098+0.0426883j -0.128671-0.0201436j 0.0024814+0.0284964j 0.126874+0.00291257j -0.0139959-0.00858372j -0.0534623+0.0522096j -0.039688+0.11042j 0.00509029+0.057784j -0.174652-0.0305992j 0.146376+0.0326504j 0.21292-0.0558039j 0.0104013+0.0252323j 0.0492193+0.00543913j 0.0330599+0.0259209j 0.00501129+0.00378918j -0.00744387-0.00497852j -0.0494009+0.047293j 0.0125882-0.0356547j 0.0126728-0.00667978j 0.0981316-0.0082967j 0.0272132-0.0715501j -0.094097-0.00548949j 0.0415046-0.0643842j -0.0816779+0.0535519j 
-0.0305237-0.0194076j -0.0251518-0.00160619j 0.025033-0.00703567j -0.0507993+0.000194404j -0.00177793-0.0257904j 0.0350138-0.0245876j 0.0254638+0.0671596j -0.0263556+0.0111383j 0.0355001-0.0341482j 0.0370885-0.00283764j -0.00407884-0.0113024j 0.029613-0.00189273j 0.0116421+0.00789727j 0.0198839-0.0135932j 0.00350156+0.103346j -0.00529021-0.0786097j -0.118715-0.0365869j 0.0881355-0.039855j -0.0143086+0.0424624j 0.0382184-0.0357321j 0.0648117-0.0502516j 0.0102925+0.0529011j 0.0249365+0.0304044j 0.0391758+0.0121986j -0.0240262+0.0544145j 0.0149527-0.0420956j -0.149504+0.0533822j 0.0419193-0.00786461j 0.00477297-0.0253107j 0.0212342-0.000538941j -0.00486716-0.0396648j 0.00338445-0.012106j -0.00878609+0.021623j -0.0294397-0.0881301j -0.0369092+0.0267166j 0.0283239-0.0557317j 0.131362+0.0939937j -0.0922731-0.00521181j -0.033241-0.0713341j 0.0466076+0.0110389j -0.0604908-0.0360334j -0.050662+0.0517155j 0.0269347+0.0516636j -0.0102447-0.0208426j 0.0632302+0.0556941j -0.0138357+0.035901j 0.0027347-0.0557292j -0.0493931-0.0275921j 0.00456752-0.00524363j -0.00343809+0.0217187j 0.0457642+0.0220576j -0.0152818+0.0235646j 0.0305576+0.0519057j 0.0241031+0.012788j 0.0837241-0.0594239j 0.00933986-0.00456189j 0.013782-0.0362798j -0.0601748+0.0781451j 0.0109925+0.0081545j -0.124031-0.0153757j 0.0490974+0.0235149j -0.00234963+0.00603161j -0.0710874+0.0285351j -0.0169052-0.0460096j -0.0298036-0.0266553j -0.00280249+0.0542927j -0.0883718-0.00982525j -0.0148714-0.0474022j 0.0462206-0.0238606j 0.0979938-0.0324336j 0.0817392-0.0594805j 0.016415+0.00295665j 0.0172452+0.0445248j -0.0545512-0.104416j 0.0932353-0.0192066j 0.0634406-0.0142809j 0.113033-0.030929j -0.126955-0.0698716j -0.0273046-0.117478j 0.0351527+0.00796106j 0.00900944+0.0373882j -0.0251321+0.0405037j 0.0376906+0.0174994j -0.0228488+0.0539849j 0.00706293+0.0259755j -0.0790863+0.0450063j -0.0754721-0.0187129j 0.00789239+0.0345922j 0.00629388-0.0101754j 0.0334642-0.0337186j 0.0487554-0.0424441j -0.000240333+0.0107121j 
-0.00303573-0.00950411j -0.0105078+0.00446279j -0.00827278-0.0535618j -0.0447903+0.00337713j 0.0569688-0.0445625j 0.0427899-0.0209828j 0.0506273+0.0200614j -0.0203998+0.0359706j -0.0414413+0.013362j -0.0632332+0.133294j -0.0711343+0.0343238j 0.0316914-0.0732808j -0.0501125-0.0205828j 0.0404926-0.0964292j -0.0325385-0.0252146j 0.0087771-0.117225j 0.00565777-0.1056j 0.0431559+0.0207838j -0.0571026-0.0750076j -0.0129847+0.0162141j -0.0148276+0.0633429j -0.0289351+0.062606j 0.0423583-0.0750717j 0.0298689-0.0492226j 0.0885544+0.0262531j 0.0281634+0.0301718j -0.0340849-0.0683815j 0.0536477-0.0074704j 0.0341302-0.0605362j -0.0830135-0.0250432j -0.0323558-0.148888j 0.0159102+0.0953722j -0.0193126+0.00346509j 0.0544146-0.0186582j -0.0142185+0.0275466j 0.0540347+0.0286461j 0.0679972+0.02198j -0.137572-0.0774253j -0.0470723+0.00111461j 0.123607-0.0252172j 0.0211116-0.103847j -0.039187+0.0766011j -0.0777606-0.169291j 0.0824564+0.0731892j 0.012443-0.0503961j -0.0539716+0.0520467j -0.0273782-0.0782576j -0.00511108+0.0111387j 0.051936-0.0522582j -0.0195888+0.0531276j 0.0200353-0.0054281j -0.0975133-0.0349564j 0.0662329-0.0299725j 0.0148336-0.00623307j 0.0345033-0.0507338j 0.0413859+0.0188279j 0.0141052-0.00103038j 0.0960805-0.0875324j -0.0126593+0.0522809j 0.0771445-0.0848253j 0.0305332-0.0477303j -0.000989032+0.0196698j -0.0271667-0.00309502j 0.169669-0.106822j -0.0179004-0.0274261j -0.0152062+0.0700963j -0.00309752+0.114394j 0.0338701+0.0998937j -0.0578593+0.093862j 0.0428173-0.0371391j -0.0112134+0.0733082j 0.0410972-0.0550047j 0.0323509+0.0584839j 0.0133372+0.0454035j -0.0429335-0.0671262j -0.0430325+0.0266705j 0.0560689-0.021907j -0.0431618-0.0343936j -0.0701058-0.0143568j 0.0518237+0.00778342j -0.0854014+0.00613921j 0.0293288+0.000304912j -0.00387724+0.0548023j 0.0503254+0.0288109j -0.00595994-0.0362391j -0.0302538-0.0278719j -0.0377434-0.0739351j -0.0241843+0.0678518j -0.030736+0.0184279j 0.0581685-0.0137794j -0.0229287+0.0264638j 0.0534103-0.0174497j 
0.0261292+0.00441202j -0.00293337-0.0298256j -0.0473108+0.0383251j 0.0137586+0.00622135j 0.0342686-0.0172463j 0.0282787+0.0450566j -0.0232451+0.0542809j -0.0464719-0.0368346j 0.023933-0.0655014j -0.00236408+0.034054j -0.00568477+0.00648354j 0.0144561+0.00576732j 0.034362+0.026776j -0.0195678-0.0187219j -0.0116343+0.0298028j 0.00292086+0.010896j -0.0717621+0.0326387j -0.00734154-0.0780187j 0.0286047-0.00798417j 0.0291217+0.0109994j -0.00443487+0.0475368j 0.00418481+0.00973963j 0.0143167+0.0329819j -0.0287116-0.00831306j -0.00816946-0.00898673j 0.079138+0.0224878j -0.0593283+0.0483309j 0.0132942-0.00908505j 0.071799-0.000173923j -0.00652516+0.0213357j -0.0133994-0.0171644j 0.0832897+0.0220474j -0.000261125+0.0561809j -0.0302469+0.00874388j 0.0440461+0.00224193j 0.0506076-9.06929e-06j 0.0890563-0.0306045j 0.0123664-0.047979j 0.00606045+0.0896501j 0.064895-0.064929j -0.0778084-0.0575582j -0.042172+0.114701j 0.0166037+0.00639092j -0.0245105-0.00467718j 0.0292706-0.0614654j -0.0416748+0.0120659j -0.0279625-0.0326319j -0.0621883+0.0137301j -0.035112-0.020611j -0.00840675+0.00752372j 0.0627766-0.0181464j -0.0522781-0.00819359j -0.0669286-0.0208702j 0.0449989+0.0424917j 0.0405213+0.0823611j -0.0728637-0.000634967j 0.00523676-0.0165146j -0.114465+0.0492232j 0.00800287-0.0336952j -0.0478962-0.0763042j -0.0322573+0.0702297j 0.0474992-0.0406037j -0.0545711+0.0892874j 0.0385766-0.00644782j -0.078604-0.0104859j 0.0725789+0.0459431j 0.00227127+0.0913549j -0.00497002-0.156782j 0.132082-0.0371636j 0.0545698-0.0417415j 0.113797+0.00515489j -0.0277773+0.0479733j -0.0257908-0.206182j 0.0108145-0.0409049j 0.0366676+0.212926j -0.0608555+0.100411j -0.172754-0.0369877j -0.0123267+0.0623844j -0.0768972-0.0559147j 0.0173388-0.00126961j -0.0125902+0.0130207j -0.0247462+0.0404642j 0.0161432-0.022477j -0.050158-0.00138666j 0.0282604+0.00903677j -0.0313049+0.048014j 0.0202121+0.016296j -0.0541313-0.0371234j -0.111252+0.0556083j 0.108508+0.0507158j -0.124393+0.127512j 0.0456071+0.0200829j 
0.0246206+0.0474314j 0.0399791+0.0253747j -0.0665223+0.0199575j -0.0275669-0.0299982j 0.0270665+0.00279285j -0.0370131+0.0291193j -0.0338998-0.0202873j -0.0865514-0.071581j -0.011709-0.00479055j 0.0100909+0.0236464j -0.0784005+0.0129329j -0.0834992-0.0607947j -0.0117064+0.0517903j -0.0942103-0.0194087j -0.0178384+0.0596231j 0.0499553-0.0595246j 0.0501551+0.0265067j -0.0150062+0.0713171j 0.0107379+0.000991464j 0.04986+0.0973797j -0.00838894-0.0572071j -0.0710629-0.0179244j 0.0391467-0.00609312j -0.0540414+0.00277604j 0.0491029+0.0466438j 0.0641163-0.0329423j -0.116699+0.0519286j 0.0693758+0.0177214j 0.0760325+0.0204924j 0.0114475-0.0411223j 0.0206048+0.0322058j -0.0622522-0.00863445j 0.084359+0.0624489j 0.202499+0.0843256j 0.0592527+0.0197833j 0.116623+0.106051j -0.048064-0.0263434j -0.0458791+0.00675382j -0.00554023-0.0437982j -0.00597337-0.127489j 0.00292881-0.0136734j 0.0177152+0.0272549j 0.00125292+0.068444j 0.0178028-0.0241841j 0.0352147-0.0555099j -0.00718388-0.0623064j 0.0353495-0.0222621j -0.0414605+0.0782376j 0.0793236-0.0372782j -0.0626893-0.000623425j -0.0611165+0.0465959j -0.0607204-0.068945j 0.00228171+0.126052j -0.112101-0.0252279j 0.090615-0.112368j -0.00097407+0.128824j -0.0549493+0.0648416j 0.040987-0.156018j -0.0566857+0.115211j -0.0169041+0.0607768j 0.00979811-0.102121j 0.0529276+0.0341187j 0.0278483-0.0347691j -0.0396675+0.133813j 0.0227611-0.0897778j -0.0080377-0.124971j 0.217811+0.0311039j 0.175111+0.00815729j -0.0196535+0.0235785j -0.0689945-0.0212561j -0.0113952+0.00949321j -0.0786554+0.0228676j 0.0452448+0.0343773j 0.101589+0.021601j -0.0768317-0.0241717j 0.0147901+0.0423616j -0.0566626+0.00754341j 0.178848+0.00132908j 0.0252418+0.030124j -0.0994346+0.11816j -0.0939359-0.0248416j 0.0664632-0.0144196j -0.0410711+0.0704974j -0.0993637+0.00162553j 0.0128732+0.0136388j -0.0300358+0.0103296j 0.0456775-0.0461776j 0.0413523-0.0234304j -0.0905141+0.00638071j -0.0367756+0.0631091j -0.128717-0.0113391j -0.0395652+0.0185478j 
0.0118107-0.0078535j -0.0115345-0.00668223j 0.0292157-0.0111816j 0.00575464-0.0309571j 0.00302637-0.0374434j -0.0318149-0.0296305j 0.053828-0.0530615j 0.0672002+0.00814245j -0.0449248+0.152271j -0.0205319-0.0850461j -0.0186536+0.0162682j 0.0625183-0.101285j 0.0636131-0.0543538j 0.0321475+0.0220906j -0.0220004+0.0932693j -0.0456957-0.212505j 0.066995-0.114672j 0.0688528+0.154419j 0.00620891-0.176287j 0.0744186-0.016728j -0.0682027-0.185956j -0.0284775+0.156046j -0.0582527+0.0174137j -0.00590927+0.156277j 0.0691221+0.0504715j -0.0636547+0.147762j 0.0130138+0.111441j -0.0120968-0.0088978j -0.00176105-0.174328j -0.00353672-0.0024974j 0.114051+0.00234114j 0.0447251+0.070453j -0.0157698+0.203888j -0.0123921+0.1148j -0.0447209+0.0864554j 0.00344372-0.0443592j -0.0724867-0.0757971j -0.181674+0.0442101j -0.209002-0.00731207j 0.070833+0.0207393j -0.0136389-0.00292763j 0.102298-0.013437j -0.123722-0.0265428j 0.104323+0.0120823j 0.218145+0.0373752j -0.0459958-0.0157122j -0.0696524+0.0235421j -0.0674358-0.069998j 0.10259+0.00333223j 0.00615188+0.0639558j -0.144149+0.0194415j -0.136132+0.0227471j -0.00131883-0.0290287j -0.00806045+0.0161031j -0.01076+0.0425109j 0.0284515-0.0102882j 0.0684755-0.0339121j 0.144321+0.0187923j -0.0280225+0.0127145j 0.0228042-0.021167j 0.0588144+0.0391259j 0.0228762+0.0178754j 0.0206644+0.0303467j 0.011002-0.0267752j 0.0701153+0.0370543j 0.0292453+0.0207085j 0.036731-0.0227609j 0.0397214-0.061452j -0.0310829-0.0368773j -0.0237563-0.0106801j 0.0167361-0.0666674j 0.0311173+0.0376237j -0.0555926-0.0803203j 0.0228814-0.0165198j 0.0628871+0.052178j -0.0726333-0.0160223j -0.0392658+0.0288974j -0.0306389+0.0117163j 0.0347347-0.00988345j 0.0139961-0.00575784j 0.0731096-0.0199546j -0.00839284-0.013915j 0.0181039-0.0281798j 0.014777-0.0164744j 0.0275147+0.0108025j 0.026658-0.0154256j 0.00825237+0.0468501j -0.0143465-0.0138372j 0.00123452+0.0107541j 0.0173282-0.00853312j 0.0200227+0.00712798j 0.00337786+0.00190513j 
0.0186689-0.0205372j -0.0557059-0.00617808j 0.00735382-0.00856098j 0.04507+0.00266392j -0.0314167+0.0177383j -0.0281398-0.0218023j 0.0213708-0.00503373j 0.0153921-0.0157369j 0.00621229-0.033633j 0.0173111-0.0246967j -0.0359517-0.0139022j 0.00550977+0.0298224j -0.0151521-0.0605523j -0.0211383-0.000281976j 0.0477266-0.0456994j -0.0965697-0.0250971j 0.0468345-0.0302424j -0.0120655-0.0199128j -0.00845768+0.00420452j 0.136319-0.0501521j 0.025478+0.129562j -0.052211-0.00163834j -0.0293327-0.00905579j 0.0181964+0.0212204j -0.00627302+0.0546446j -0.0234132+0.0800647j 0.0467814+0.114232j -0.00965742-0.0507423j 0.08983-0.00284005j -0.0804741-0.0603086j -0.0207705-0.0107879j -0.0142966-0.151351j -0.0499473+0.0366756j -0.0151564+0.0181861j 0.0658214-0.0572986j 0.0756186+0.00550806j 0.0500908-0.0650716j 0.0118908+0.0139181j -0.0523164-0.0644637j -0.00445864-0.154985j -0.0670165-0.0695875j 0.0451137-0.0447457j 0.00105852-0.122399j 0.0663832+0.116462j 0.0187373-0.0604691j 0.0390914+0.00185541j -0.0954241-0.0158863j 0.0256339+0.0328757j -0.0142069+0.0480447j -0.0186167-0.0836465j -0.0282335+0.0019707j 0.0287721+0.045522j 0.0101744-0.0454239j -0.0359358-0.00330636j -0.0248168+0.0054663j 0.0267822+0.0600276j -0.136326-0.0653386j 0.0697062-0.0354767j 0.0855361-0.0744431j -0.0455376-0.0667457j -0.00907261+0.0370836j 0.0279821+0.00942252j 0.0840096-0.118931j -0.0516934+0.0378543j 0.0250769-0.0035475j 0.0743343+0.0258518j -0.0958161+0.0616544j -0.00603617+0.0192834j -0.0750589-0.10185j -0.0688427-0.0093067j -0.003493-0.0389876j -0.0846867+0.0623417j -0.065587+0.0762132j 0.067105+0.0252608j 0.0289925-0.00278458j 0.152426-0.0320854j -0.0125222+0.125013j 0.00130012-0.0830642j -0.029896-0.0323107j 0.0406466-0.0547594j 0.054225+0.015873j 0.0549844+0.0122183j -0.040032+0.0068641j -0.00248394+0.0386854j 0.0608891+0.023106j -0.0687124+0.084508j -0.0826069+0.0197539j 0.0615617-0.0101225j -0.0434429-0.0610414j -0.0362188+0.00209869j 0.0210387-0.00724411j -0.0510923+0.0625021j 
0.0267654+0.021336j 0.0102009-0.00126379j -0.0111033+0.0254254j 0.0176585-0.0197315j -0.0303286-0.0366696j -0.00584554+0.0535698j 0.017709-0.0048811j 0.0185492+0.0128625j -0.033451-0.0367684j -0.063432-0.0681561j 0.0255777-0.0126217j 0.0858557+0.0757096j 0.0158977-0.0677449j 0.0487192+0.124944j 0.0305487-0.118489j 0.0533617+0.0399267j -0.0765958-0.122881j 0.00265719+0.0851889j 0.0236939-0.0349883j -0.0316209-0.102694j 0.059606-0.00434755j 0.0185718+0.0131043j -0.000900267+0.0259503j 0.0302015+0.0637631j -0.0249401-0.0512111j 0.062834-0.0532984j 0.0413546-0.0538099j -0.000854111-0.0434245j 0.0318613+0.102831j 0.0615144-0.0629486j -0.00933281+0.03578j 0.0794436-0.0442874j 0.0726345+0.0272916j -0.102137+0.0719109j 0.0237654-0.00259519j 0.03245-0.0155044j -0.0718184+0.00295411j 0.00568709+0.0624475j -0.0940053-0.0277816j -0.0132593+0.0212563j 0.0367641-0.182957j -0.140346+0.08884j -0.130291+0.0561438j -0.062792-0.0095279j 0.0322211+0.0236843j -0.063825-0.02334j 0.118025-0.0182312j 0.0196324-0.0509894j 0.00510239+0.0272349j -0.00179159-0.0752161j 0.0288486+0.00284431j -0.0206101-0.02598j 0.109355-0.00191998j 0.0419246+0.130361j -0.0175533+0.0486346j 0.0682746+0.0237543j 0.0124076-0.00475614j 0.0596137-0.0511907j -0.114103+0.048632j 0.0423776-0.0657839j -0.220406+0.082715j -0.013676+0.0196701j -0.11429-0.125514j -0.149004-0.0630362j 0.0648932-0.0530723j -0.109432+0.0182412j -0.192314-0.0253397j 0.015495+0.0195543j 0.0866117+0.0611829j 0.061893+0.0152302j 0.0560323+0.137221j -0.0566753+0.0051995j -0.16297-0.0939903j 0.0308241+0.0355746j -0.0341786+0.057636j 0.0196194+0.0406548j 0.10091-0.0422086j -0.0969086+0.0574535j -0.0502912-0.0135422j -0.0241147+0.0231111j -0.0281439-0.0114325j 0.00337136+0.0123957j -0.113349-0.0340529j 0.0434597+0.0025237j -0.0174835+0.014372j 0.0383313-0.0388724j -0.061184+0.0591141j -0.0123549-0.0172649j 0.00968181+0.00233853j 0.017025-0.00420984j 0.00165065-0.014087j -0.00594053-0.00464571j 
0.00991835+0.0472017j 0.0382662+0.0125981j -0.0146309+0.0448689j -0.0885901-0.0399073j -0.0110864-0.0141544j 0.111327-0.0577727j 0.0467505+0.0731642j -0.0355841+0.0201523j -0.0405802-0.00187492j 0.0788368+0.0269379j 0.01953+0.0797901j 0.0316519-0.0335787j 0.0660919+0.0381086j -0.0352374+0.124392j 0.0269186+0.112704j -0.0316283-0.0112734j -0.0659331+0.0381397j 0.0350352-0.11799j -0.0317137+0.190805j 0.0228646+0.0174676j 0.000867901+0.0267846j 0.0447093-0.0793304j 0.0380191-0.0431904j -0.0190247+0.102444j -0.0487861+0.0186224j -0.00516284+0.0127218j 0.0450717-0.0552727j -0.0328213+0.0557254j 0.0945311-0.0820685j -0.0142211+0.0675021j -0.050803-0.0101651j -0.00171315+0.0285042j 0.00748488+0.00135428j 0.068897+0.0177588j 0.0224853+0.101536j 0.0899001+0.11725j -0.0264104-0.0556193j 0.0223192+0.0408479j -0.0246841-0.0524658j 0.0542442-0.102911j 0.0173448-0.010282j -0.010867+0.0678176j 0.0697016-0.0667661j 0.0671121-0.0130409j -0.0351449-0.00486152j -0.00122196-0.0311807j -0.0756818+0.0194302j 0.0258936-0.0591264j -0.0162534-0.053822j -0.00572627-0.0980227j 0.0409896-0.112617j -0.106303+0.0424132j -0.052389-0.053952j -0.0390462-0.125067j 0.0111661-0.0503949j 0.0425625+0.0652517j 0.0147866-0.115631j 0.00346478-0.0126704j -0.031555+0.054571j 0.0198863+0.132616j -0.0243235-0.0732124j 0.106347-0.0889897j -0.0767004-0.0418825j -0.0543557+0.191864j 0.00310415-0.0697107j -0.0641281-0.11057j -0.0541645+0.102205j -0.0534891+0.0547022j 0.0119634+0.0573506j -0.00189993+0.0289666j -0.00739652+0.0117143j 0.0179193-0.0160025j -0.0490269-0.0183296j 0.0625583+0.0566619j 0.0603057-0.0649207j -0.0768256+0.116527j -0.00744502+0.0207122j 0.0044857-0.0317093j 0.029997+0.000862017j 0.00194919+0.0108607j -0.00812597+0.00424934j -0.0658032-0.00410684j 0.0180948+0.000849683j 0.0196006-0.0480739j 0.0458503+0.0344343j 0.196696+0.0194507j -0.0590239+0.0883851j 0.0373793+0.0479594j 0.0556188-0.0386385j 0.115649-0.0463927j 0.0208476-0.0219781j 0.046108-0.0633419j 
