-0.263534-0.124008j -0.301462+0.192741j -0.161529-0.319714j 0.0321433+0.00835062j 0.44696+0.0783198j 0.11746+0.149749j -0.0845941+0.604999j 0.204204+0.0822944j 0.400324-0.0494235j -0.0704786-0.0707612j 0.0345499+0.203029j -4.89042e-05-0.137467j -0.22199+0.168203j -0.153554+0.0981941j 0.0123153+0.0598587j 0.0630838+0.0308471j -0.017718-0.0607877j -0.214599-0.0381819j 0.0390362+0.0805452j -0.00194383-0.00420718j 0.260491+0.0503148j -0.0324968-0.151616j -0.143187-0.258451j -0.156403+0.194188j 
-0.0757684-0.0891139j 0.0650797+0.00432466j -0.0149303-0.057332j -0.0347189+0.0848589j -0.0514061-0.00852509j -0.124696-0.0742487j -0.00935158+0.0822236j 0.0831545-0.0326625j -0.0196824-0.0299162j -0.0735175+0.079885j -0.0383023-0.18295j 0.0390928-0.0243175j 0.113478-0.0438794j -0.221561+0.0364618j 0.0768536+0.000894982j -0.109856+0.0865079j 0.292778-0.0920675j -0.0445267-9.37894e-05j 0.114411-0.0450023j 0.0249389-0.0518226j -0.0190308-0.00801653j -0.0123482+0.0879347j 0.0537935-0.1337j 0.0430244+0.115383j 
-0.01973-0.100445j 0.0141227-0.0321957j -0.03379+0.0203443j 0.0847493-0.0327867j 0.0217742+0.0157773j 0.00704508+0.122014j 0.0846535+0.0141277j -0.0611262-0.028133j 0.00289382+0.0781285j 0.162285+0.124727j -0.0643027+0.060833j 0.036913+0.129601j 0.0214584+0.143082j 0.0593974-0.0919732j -0.0275858+0.0666786j 0.05487-0.160497j 0.250123+0.0733514j 0.0115542-0.0160848j -0.0487618+0.119635j -0.014877-0.068135j 0.0746346+0.0996212j 0.0508393-0.0316507j -0.103404-0.00720215j 0.0571217-0.0367951j 
-0.115238+0.0173165j -0.0590221-0.0869666j -0.0705813+0.0946702j 0.0161581-0.0479413j -0.076925-0.0341648j 0.0891929+0.058229j -0.0664498+0.011282j -0.045934+0.0176666j 0.0183782-0.072923j -0.121037-0.194664j 0.14007-0.0414197j 0.0107822+0.0412409j -0.184848-0.0383086j 0.249284-0.100663j -0.10568+0.0338126j 0.0961978+0.0100114j -0.0711231+0.0210501j -0.016757+0.0147012j 0.0119509+0.108637j 0.0108114+0.117757j -0.0325719-0.127714j -0.072133-0.0212874j 0.120105+0.0339889j -0.0651515+0.0382656j 
0.0088611-0.0730757j 0.116026-0.0644391j -0.0630387-0.0976651j -0.087288-0.0188465j -0.00945523+0.0237778j 0.107227-0.0255086j -0.00246024-0.00780787j -0.0121296+0.11471j -0.0161471-0.0433077j -0.216238-0.0617492j -0.0933444-0.191823j 0.0847501-0.0728089j -0.0846099+0.0497185j 0.129354+0.0733441j -0.021968-0.0272823j 0.0944204+0.20035j -0.0160048+0.0278736j 0.0114836-0.00773962j 0.145898-0.0455049j 0.0978105-0.0166462j -0.0768015+0.0162641j -0.0326795+0.034898j 0.0241092-0.0529192j 0.0101873+0.0194701j 
0.0716711-0.0114514j -0.0576882+0.000465718j -0.0215654-0.0117021j 0.00272444-0.022979j -0.0236199-0.0366737j 0.0228703-0.00654115j -0.119658+0.0471385j -0.0425288+0.00177381j -0.0739882-0.118006j -0.00318918+0.0103034j -0.0162361-0.0242308j 0.0161335+0.00762671j -0.0333638+0.00919606j -0.0349048+0.0113912j -0.0448947-0.0110665j -0.00147656+0.0013479j -0.0108082+0.0120382j -0.00856134+0.143216j 0.00488416-0.0273011j 0.000600649+0.0540657j 0.0032454+0.00983013j 0.0235279-0.000707899j -0.00769095-0.0419223j -0.0113518-0.0715584j 
0.0517656-0.0738041j -0.0163073+0.0522772j -0.0455022+0.0109669j 0.0162792-0.00780727j 0.0184022-0.0402035j -0.0550651+0.00257492j 0.00956404+0.0689185j -0.0353383-0.0349513j -0.0457689+0.105596j -0.0262792-0.0143556j 0.044213-0.0294053j -0.0124788-0.00260648j 0.0353503-0.101686j 0.00558502-0.0495797j -0.0135388+0.0060003j -0.00436028+0.00566656j 0.0329535-0.0423438j 0.0842938-0.0526999j -0.017623+0.00404258j 0.0972734+0.00697845j 0.0830653+0.00762806j -0.0828842+0.0309888j -0.127798-0.0213567j -0.036873+0.0221106j 
0.0323075-0.0137996j -0.03721-0.0420914j 0.0590723-0.0376566j -0.0127901+0.0356045j -0.0039088+0.085691j -0.0334296+0.00838286j 0.0367854-0.00434713j -0.00493878-0.0487075j -0.027787-0.0565385j -0.00658773-0.00485336j 0.0272428-0.0103005j -0.00204117-0.0343338j 0.0376508-0.0545286j 0.0127019+0.00220951j 0.0373974+0.078533j -0.0203653-0.00248322j 0.0517043-0.0409608j 0.00425968-0.0100882j 0.053112-0.0154505j -0.117826+0.00553221j 0.0369808-0.0403878j 0.048958-0.0306178j 0.0682907-0.0118986j 0.0157493+0.0530955j 
0.0280775-0.0718082j 0.034374-0.0017702j 0.0041022+0.0410272j -0.0207825+0.0476738j -0.0343353-0.0381099j -0.0837313+0.0757979j 0.0338994+0.0193935j -0.0749363-0.00623995j 0.0699592-0.0185419j -0.00856284-0.0553774j 0.0167114+0.0618654j -0.0193084-0.040622j -0.0373415+0.0027001j -0.0127988+0.034679j 0.0034155+0.0636733j 0.00115469+0.0140825j -0.114464-0.0699225j 0.0256265-0.016713j -0.0117423+0.0162726j -0.0059786-0.0545532j -0.190429-0.0650984j 0.111959+0.025845j 0.0883498+0.000629106j 0.045197+0.0868525j 
0.000971283+0.0226318j 0.00106379-0.00481616j 0.0109314+0.0253332j -0.0230633+0.0409502j -0.0578364-0.0233391j 0.0540317-0.0529915j -0.0176218+0.00724575j 0.130307+0.107514j -0.0234023-0.0339449j -0.0147823-0.0143736j 0.0302263+0.0124043j -0.0212144-0.0268324j 0.0527161-0.0113097j 0.0241722-0.00723786j -0.0296117-0.0157082j -0.0238141+0.0297507j 0.00858956+0.0179356j -0.0230207-0.118643j -0.00798482+0.0710742j 0.00809529-0.106317j -0.0009275+0.0317162j -0.0222856+0.0458504j 0.00269666+0.037149j 0.0188915+0.053059j 
-0.0622496+0.0530428j -0.0446984+0.0557714j -0.044717-0.0469807j 0.000395724+0.0564463j 0.0938601+0.058197j 0.0301376+1.85674e-06j 0.0171024-0.0411383j 0.0281238+0.0576309j -0.0567641+0.0328517j -0.0131886-0.023417j 0.017929+0.00169977j -0.00464687-0.013j -0.0187914-0.033363j -0.0219044-0.0046414j -0.0338194+0.000606483j 0.00508891+0.010975j -0.0480526-0.0230677j -0.0504486+0.120056j 0.00331764-0.00166692j 0.0234175-0.00850819j -0.0217396+0.00793814j 0.0693571+0.0363186j 0.00176475+0.0200542j -0.0238081+0.0108497j 
0.0247159-0.0472743j -0.0148048+0.0174845j -0.00687019+0.00972479j -0.0380795-0.0591791j 0.0189178+0.0140666j 0.0653806-0.051332j 0.0247811-0.0155853j 0.0235523+0.0614434j 0.00164449+0.0539128j 0.0148556-0.0356601j -0.0299977+0.0754475j 0.00352805+0.0519326j -0.0165499-0.00469439j 0.0399616-0.04596j -0.0121755+7.15181e-05j 0.128226-0.0683718j -0.0276334-0.0656357j -0.0902678-0.0924998j -0.0092961+0.0171794j -0.00780356-0.0731316j -0.0754723-0.08623j 0.017318+0.0642775j 0.0638058+0.0693793j 0.0531768+0.063355j 
0.0102496-0.0717523j -0.0314824-0.0557572j 0.0426939-0.0522211j 0.042331+0.108865j 0.012692-0.0323929j -0.0134291+0.0981697j 0.0183752-0.00589649j -0.015274+0.0887327j -0.0365728+0.0124518j 0.0111871+0.0261249j -0.014955-0.0112171j 0.00676906+0.0938812j -0.0825054+0.0620332j -0.0700785-0.00980975j -0.0679506-0.0189118j 0.0476987-0.00224566j -0.0316978+0.0882727j -0.00570396+0.0565414j 0.00932339+0.0336948j 0.101841-0.0753612j 0.0382843+0.0349275j -0.00449224+0.0643412j -0.0712377+0.10275j -0.0618645-0.0486144j 
0.0122594-0.0950812j -0.0124444+0.0106641j -0.00240534-0.00242465j 0.110746+0.0438401j -0.0313723+0.0509035j -0.0160839+0.0149038j 0.0193011+0.00495522j 0.0470184-0.0652176j -0.0288413+0.0106763j -0.00802599+0.00697138j -0.0390657-0.00391747j -0.014713-0.00523402j -0.0462002+0.0860085j 0.021202+0.0521099j 0.0125688-0.0570444j 0.0128612+0.000287004j -0.00626846+0.0436459j -0.128888+0.0197007j -0.0192161+0.00080245j -0.0390475+0.0397604j -0.0511647-0.0117899j 0.0179177+0.0257742j 0.0685688+0.00885398j -0.0161755-0.0164243j 
0.0097877+0.018507j -0.0637009+0.0196106j 0.0023794-0.0589774j 0.00197189+0.00214463j -0.0152366-0.061974j -0.012927-0.0218157j -0.0325291-0.0476001j 0.0631544-0.0314305j 0.131656-0.0155637j 0.0273734-0.0123431j -0.046413-0.0170229j -0.0591881-0.059436j -0.0106624-0.000707901j 0.00491378+0.0716856j -0.0228484-0.0632083j -0.0206794+0.182725j -0.0453331-0.0230257j 0.0274383-0.0157132j -0.0431991+0.0102066j 0.0855902-0.00672116j -0.0494941-0.0228334j -0.00940115+0.0287073j -0.0333646+0.0143705j -0.0179609+0.0168808j 
0.000575212-0.0356677j -0.0256736+0.0204037j -0.024949-0.0206746j 0.0460329-0.0158396j -0.0575218+0.00138727j 0.0379292+0.00275067j 0.0380955-0.00178674j 0.0579931+0.000962423j 0.043659+0.0172315j 0.0767058+0.0940121j 0.0390548+0.035182j -0.060374+0.0757128j -0.00985013+0.0510794j -0.0731193-0.107353j 0.10032-0.0384348j -0.148984+0.0331678j 0.00311476+0.0592231j -0.152288-0.036299j 0.10043+0.0402072j -0.076636+0.105524j 0.0114828+0.0491959j -0.0625585-0.0715634j 0.039415-0.0326455j 0.0760201-0.094398j 
0.00929725-0.0197357j -0.00205474-0.0586557j 0.0635459+0.019585j -0.130204-0.01593j 0.0636804+0.02993j 0.0318453-0.0485636j 0.0127416-0.0218069j -0.0143469+0.0614774j -0.0022561+0.00363625j 0.0191484+0.0172916j 0.0351756+0.0159253j 0.0109207+0.030058j -0.0479442+0.0229127j -0.0858879-0.00865353j 0.0472447+0.0120696j -0.0302858-0.0171984j -0.0438866+0.0208475j 0.0180696+0.18172j 0.0244564-0.0634869j -0.00775277+0.0756461j -0.0105267+0.0001646j 0.0582063-0.0601958j 0.0488041-0.0185566j -0.0255649-0.0129086j 
0.0139747+0.0949436j 0.000645402-0.00280035j 0.0125097+0.00920177j 0.0279842+0.0101048j 0.0476981+0.0656511j -0.0190591+0.00603777j 0.0174469+0.0144986j -0.0335138-0.0496166j -0.110195+0.0439115j 0.0166154-0.0182637j -0.0680587+0.00939289j -0.0157651+0.0257575j -0.05133+0.0127128j 0.0387157+0.0402795j 0.0193261-0.000728473j 0.129772+0.0162809j -0.00691749-0.0462985j -0.0143157-0.000156772j -0.0150456-0.0558073j -0.0196394+0.0529258j -0.047894-0.0886979j 0.0149304-0.00195979j 0.0398627-0.00376557j 0.00664254+0.00885375j 
0.0127104+0.0748231j -0.0421588-0.0511834j 0.0325006-0.053305j 0.0377837+0.0158201j -0.0143008-0.0930279j -0.0195443-0.00418253j 0.00844229+0.0934343j 0.0127011+0.0319865j -0.038824+0.103876j 0.0556359-0.0453715j 0.0665147+0.105855j 0.00623041+0.0712303j 0.0334268-0.0268569j -0.0994976-0.079644j -0.00777877+0.0375782j 0.0128694+0.0446139j -0.033165-0.0822852j -0.0567122-0.0090261j 0.0705034-0.0177517j 0.0639548-0.0159593j -0.0832599-0.0603339j -0.00563185+0.0980855j 0.0169446-0.00414192j -0.0115755+0.0246801j 
-0.024849-0.0418116j -0.0094751-0.0126645j -0.0125361-0.021139j 0.00432956-0.0531997j -0.0231508+0.0531755j 0.0244883+0.0133521j 0.0656485+0.0576857j -0.016559+0.0176023j -0.0406948+0.0685077j 0.0579013-0.06459j 0.0698627-0.0596768j 0.0170125-0.0584486j 0.0776389-0.0899602j -0.0164053+0.0629098j -0.00856039-0.0120794j -0.0892359+0.0964671j 0.0231172-0.0752673j 0.124094+0.0657263j -0.00441109-0.00187765j 0.0438639+0.0459695j 0.0102973-0.00937592j 0.00257237-0.045312j -0.0293227-0.0759528j 0.015389+0.0357706j 
-0.0619948-0.0501435j 0.044734-0.0467239j 0.0443236+0.0563712j 0.0577726+0.0349306j 0.0263599-0.0567344j -0.0186373-0.0403104j -0.0306414+0.00128819j 0.0942392-0.0592658j -0.00222209+0.0557549j 0.0249326+0.00906945j -0.000800848+0.0205546j -0.0693329+0.0388805j -0.023129-0.0074326j -0.0254798-0.00724664j -0.000239751-0.00125531j 0.0524568+0.122433j -0.0489743+0.0214979j -0.00774192+0.009018j 0.0344534-0.00293302j 0.0203316-0.00330626j -0.0206302+0.0310854j 0.00380914-0.0116527j -0.0161294+0.00141154j 0.0127322-0.0234161j 
0.000341992+0.0230892j 0.00935745-0.0260086j 0.00128433+0.00292567j -0.0225486+0.032572j -0.12989+0.109187j -0.0165992-0.00711466j 0.0556448+0.0528281j 0.0573875-0.0233045j -0.0225086-0.0400934j 0.0201152-0.0537299j 0.00375894-0.0366512j -0.0199052-0.047895j 0.0038469+0.0305346j 0.00874603+0.105343j -0.00948213-0.0739533j -0.0249505+0.119085j -0.00606588+0.0160915j -0.0232803-0.0267854j -0.0286156+0.0165651j 0.0256219+0.00746881j -0.0520433-0.0101181j -0.0196627+0.0267324j 0.0301665-0.0143193j -0.0147614+0.0155532j 
0.0283086+0.0721942j -0.00304813+0.0406395j -0.0342816-0.000976694j -0.0698436-0.0166453j -0.0757927+0.00807142j -0.0339058+0.0199582j 0.0855494+0.0746412j -0.0327376+0.0387103j 0.0214223+0.0471978j -0.042259+0.0872401j -0.0870343-0.000315722j -0.112398+0.0274096j -0.190275+0.0665245j 0.0016507-0.0524459j 0.0146666+0.0158522j -0.027275-0.0137382j -0.113529+0.0707166j -0.00349569+0.0158369j -0.00109492+0.0630024j 0.0124991+0.0333854j -0.0387519-0.00238789j 0.0197569-0.0410237j -0.0151679+0.0609425j 0.00922455-0.0550474j 
0.0314796+0.0122742j -0.0592905-0.0377209j 0.0372894-0.0420718j 0.0277164-0.0585547j -0.003257+0.04689j -0.0360127-0.00533235j 0.0319987+0.00831551j -0.00391124-0.0859811j 0.0131156+0.0366691j -0.0166033+0.0535659j -0.069769-0.0102803j -0.0532413-0.0316125j 0.0343449+0.0382929j 0.117929+0.00511229j -0.0564854-0.0153028j -0.00147062-0.00665052j 0.0478795+0.0406103j 0.0223639-0.000705301j -0.0368407+0.07814j -0.010721+0.00228459j 0.0373347+0.0533684j 0.00215212-0.036019j -0.0273427-0.00965926j 0.00621057-0.00499825j 
0.0527734+0.0732177j 0.0446881+0.0104623j 0.0172669+0.051746j 0.0475936+0.101206j -0.0355935+0.036023j -0.00620735+0.0683351j 0.0541838+0.00171868j 0.0184688+0.0396213j -0.0159562-0.00787913j 0.0334776+0.0189216j 0.127602-0.0242142j 0.0840105+0.0287132j 0.083895-0.00888269j -0.0926149+0.00752946j 0.01725+0.00267603j -0.0847156-0.0493021j 0.0350517+0.0429843j 0.00522342+0.0069378j 0.0143827+0.00437618j -0.00603992-0.048135j 0.036787+0.101188j 0.0119148-0.00286925j -0.0429669-0.0310491j 0.0255187-0.0137653j 
0.070547+0.010039j 0.0203103-0.0113239j 0.0576607+0.000555031j 0.0735467-0.119809j -0.0411429-0.00238841j 0.12041+0.0452895j -0.0240909-0.00679821j -0.0229475+0.0361563j -0.0030731-0.0227863j 0.0118868-0.0716073j 0.00744991-0.040171j -0.0245951-0.00125828j 0.00294789-0.0121005j -0.000880255+0.052376j -0.00429828-0.0270409j 0.00965088+0.142655j -0.0115271-0.0150716j 0.00143931+0.00064544j 0.0453474-0.011645j 0.0328967+0.0131108j -0.0327861-0.0116495j -0.0166539+0.00802563j 0.0165727-0.0234551j 0.00245964+0.0103988j 
