-0.133461-0.112329j -0.203178+0.202804j 0.0378515-0.0648371j 0.0891476+0.261754j 0.187922-0.0644776j 0.329948-0.0962302j 0.00882752-0.00508895j -0.000982953-0.00334969j -0.0234988+0.005021j 0.188572-0.100504j 0.0639815-0.251419j -0.227614-0.292776j 0.421612+0.258298j -0.399132+0.0826266j 0.0283522-0.377199j -0.00419358-0.00978707j 0.0228902-0.0384345j -0.0695046+0.0322527j -0.0886399-0.00332079j 0.111727+0.0425658j 0.0135083+0.0397841j -0.150435+0.0134147j -0.126824+0.00562735j -0.0231201+0.070303j -0.0466015+0.0338543j 0.0797399+0.043819j -0.057451-0.0759836j 0.0478631+0.198544j -0.0975279-0.181188j 0.0177428+0.0399318j 0.0446336+0.0921792j 0.0319003+0.0228089j 0.042153-0.132951j -0.0578065+0.0744169j 0.0609715-0.000316369j -0.113011+0.138819j -0.144102+0.211198j -0.12976-0.0771456j 0.274853-0.0241633j 0.0820677+0.188554j 
-0.0322847-0.0824945j -0.0639052+0.00773129j -0.123505+0.0429059j 0.0543974+0.0775747j -0.0552481+0.0103948j 0.0134132+0.0460448j 0.0246192-0.00832341j 0.0210432-0.0457021j -0.0130166-0.00172954j -0.0616888-0.0425826j 0.00452072+0.0969326j -0.000118168+0.0613976j 0.0329533+0.102586j -0.0562087-0.0628418j -0.0753041+0.0276191j -0.0267354+0.0336341j 0.0254325+0.0852003j -0.0543009-0.0545949j -0.0802204-0.00384226j 0.0556866+0.0307924j 0.00291703+0.0282002j -0.10735+0.0152194j -0.0919+0.029289j 0.00495022+0.00119151j 0.0754397+0.0318374j 0.0375198-0.0590808j -0.046333+0.0586628j 0.0215501-0.00107402j 0.0128871-0.0840951j -0.00246665+0.0354929j 0.104903-0.207514j 0.0339603-0.179805j 0.0625799-0.0983276j -0.0348827+0.176082j 0.024758-0.167623j 0.0275083-0.189283j -0.00534261+0.00948512j 0.00658964-0.0593079j -0.179445-0.0923452j -0.0762381+0.0344338j 
-0.0374669+0.071833j -0.0401349+0.0366391j -0.0808019-0.0576189j -0.0481547+0.0717474j -0.101321-0.0349479j 0.00799681-0.00349823j 0.0158405+0.00398202j 0.0214612+0.0413978j -0.0431102-0.0512672j 0.0900551+0.0137784j -0.0468261+0.0327321j 0.018067+0.0651679j 0.0655372-0.00738121j 0.0018054-0.0580428j -0.00437711-0.0391024j -0.0200805+0.0285372j 0.00362016+0.0647597j 0.0178568-0.0570641j -0.0366249-0.0521007j -0.0170638+0.0854428j -0.0598985+0.0870291j 0.0360066-0.0476748j 0.0504094-0.0226008j 0.149217+0.103121j 0.0592219-0.0439933j -0.0711706-0.0464438j 0.061952+0.00653585j 0.0559267-0.0435886j -0.11253+0.0109553j 0.0854705+0.173046j -0.0502637-0.0466674j -0.129935-0.0819186j 0.0265755+0.0819904j -5.42738e-05-0.0048314j 0.10989+0.120635j -0.0300972+0.0521926j -0.147255+0.0452939j -0.138413-0.132265j -0.0806689-0.0802031j -0.0115127-0.107209j 
0.0499436-0.0121654j -0.0872119-0.0712045j 0.0561965-0.124435j -0.0639767-0.0381731j 0.00256312-0.0993378j 0.0258609+0.006875j -0.0439906-0.000560388j -0.0050364+0.00798665j -0.0187738+0.0829603j 0.0041428-0.043978j 0.0283562+0.0329714j 0.119926-0.0271018j 0.0856211-0.038103j -0.140168+0.0212969j -0.0042843+0.0950211j 0.0623612-0.00786101j 0.0595106-0.0709954j -0.0651268+0.0349363j -0.0139462+0.0307685j 0.11705-0.0345288j 0.101306-0.0199176j 0.00392838+0.0503872j -0.0422881+0.0207308j -0.0231278-0.0234114j -0.00936449+0.0620546j -0.035837+0.0518035j 0.0114834-0.0415157j -0.0714771-0.0330182j 0.0925289-0.0994482j -0.0772231+0.275048j 0.0541171-0.164477j 0.118102-0.149456j 0.0869708+0.0277495j 0.0232852-0.00721322j 0.0406778+0.0262613j 0.0140734+0.0101017j 0.163107+0.0139055j -0.0572822+0.0865725j -0.0120521+0.0674289j 0.00159398+0.0176028j 
-0.0612593+0.0643534j -0.00866175-0.0152377j 0.0317464-0.00756972j 0.023174+0.00268748j 0.0477156+0.0135858j -0.0485806+0.014943j 0.097888-0.0157163j 0.00396917-0.0435568j -0.0386798-0.0915346j 0.0478879-0.0869954j 0.0115294+0.00961479j -0.0854961-0.0220973j -0.0892052-0.0204194j 0.0202803-0.0459949j 0.0230563-0.00283481j -0.0282975+0.0323611j 0.0513267+0.0536208j -0.0385522+0.00969672j -0.093645-0.00803702j 0.100994-0.108077j -0.0296388-0.0515107j -0.017028-0.075848j -0.0770167+0.00373002j -0.10484+0.08499j -0.0764865-0.137299j -0.00941787-0.00070268j 0.00830142-0.0134626j 0.0968476+0.0626869j 0.00365453+0.0466342j -0.0428367-0.0422292j -0.117723-0.142764j 0.0304089-0.16475j -0.0468101-0.0730414j -0.0196269-0.14577j -0.107976-0.0468348j 0.0330346+0.00410543j 0.00247628+0.0448881j -0.0311423+0.0139794j -0.0842542-0.0330848j -0.100447+0.0564189j 
-0.062827-0.0640164j -0.00685989+0.0153984j 0.0488382+0.0141969j 0.0215305-0.00325448j 0.0482849+0.00821401j -0.0323467-0.00880601j 0.024336+0.00222732j 0.0243855+0.0431811j 0.0876789-0.0222622j 0.0509367+0.0852599j 0.0125912-0.0109898j -0.0494548-0.0742212j 0.0365924-0.0940187j 0.00953855+0.0414853j 0.0979975+0.0149974j -0.0997982-0.0546883j -0.0841977+0.0306562j 0.0335623+0.0144642j 0.0017415-0.045522j 0.0318037-0.0083694j 0.104077-0.0430519j 0.0197852-0.14942j 0.0484103-0.072601j -0.00386667-0.161666j -0.120295+0.138768j -0.0104934+0.000896863j -0.00570861-0.0167289j 0.0980322-0.0619793j -0.00260494+0.0526452j -0.0406785+0.0392524j -0.0802427+0.141193j 0.0878701+0.100614j 0.0736366+0.00490762j 0.0135374-0.079781j 0.030165-0.0483328j 0.105826+0.105462j -0.0946907+0.00785495j 0.0391522+0.010132j 0.0531256-0.052778j -0.0285524-0.0323287j 
0.050354+0.0109352j -0.0867216+0.0715699j -0.0258699+0.00816786j -0.0632004+0.037975j -0.0398491+0.092408j -0.0558279-0.125232j -0.00496375-0.094026j -0.141171-0.00694036j -0.0850753-0.0380472j 0.00270564+0.0454511j 0.0281695-0.032494j 0.012904+0.121811j 0.0188166+0.082905j -0.00515977-0.00712251j -0.0436209+0.000176805j 0.000562594-0.0152193j -0.0102136-0.0673882j 0.0598867+0.0861638j 0.161597-0.0138749j 0.0104959-0.0141812j -0.0378945+0.0303418j -0.0265336-0.0107328j -0.0862406+0.0317889j -0.0936459-0.16862j 0.0533388+0.164174j -0.0361672-0.0512161j -0.00199804-0.0437357j -0.0723149+0.0332759j -0.0917233-0.0949069j -0.0775383-0.280459j -0.00694396-0.0556156j 0.0254579-0.013323j 0.0420009+0.0190748j -0.00436777+0.051673j -0.100425-0.0199367j 0.11711+0.0278651j -0.0124195-0.0304343j 0.0669113+0.0361077j 0.0603062+0.0725402j 0.0629221+0.00784949j 
0.0384604+0.0727705j 0.036835+0.0367858j 0.00877494+0.00466236j 0.0490748+0.0698913j 0.105955+0.0103413j -0.0780622+0.0588141j 0.00318403-0.0399725j -0.00758516-0.0565445j 0.0656473+0.011108j -0.0922302+0.0169804j 0.0475459+0.0312163j -0.0666575+0.00290873j -0.0397883+0.0507961j -0.016351+0.0446569j -0.0141087+0.00556717j 0.00549388-0.105623j 0.0777934-0.0763818j -0.137332+0.132112j 0.145509+0.0442025j 0.0332111+0.0549278j 0.114562-0.124278j -0.00478546+0.0091795j 0.0275698-0.0853189j -0.142991+0.0488491j 0.0489166-0.0320304j 0.07044-0.0458908j 0.0615529+0.00905432j -0.055391-0.0445309j -0.107318-0.0141096j -0.0868705+0.17052j -0.0544787-0.0465577j 0.16805-0.0787156j 0.055347+0.0225466j 0.0380508+0.0486625j -0.0612094-0.0875446j 0.0248874+0.0825744j 0.0369107-0.0505168j 0.0203467+0.057314j -0.00330093+0.0633484j 0.0194651+0.0279897j 
-0.0320479+0.0803349j -0.0651466-0.00573957j -0.0107227+0.0458755j 0.0515929-0.0810692j -0.0471281-0.0331393j 0.124911+0.0407744j -0.0762666-0.0254295j -0.0502415+0.0691j -0.0312344+0.103018j -0.0600388+0.0449268j 0.00379659-0.0971091j 0.0591415-0.0215009j 0.0144925-0.0029791j 0.0257191+0.0438811j 0.0253837+0.00880591j -0.0748534-0.0319544j -0.183869+0.0888204j 0.000627132-0.0640493j -0.00758951-0.0103086j 0.031447+0.182679j -0.0226358-0.157015j 0.0343436+0.169094j -0.0617432-0.095881j -0.00133035-0.194111j 0.103454+0.215313j 0.033373+0.0608839j 0.0242227+0.0680548j 0.021806+0.00136471j -0.0129924-0.08362j -0.00144643-0.043497j 0.0777689-0.0275311j -0.00664956+0.0062163j 0.0914254+0.0296677j 0.107178+0.0155308j 0.000891504+0.0284542j 0.0548491-0.03369j -0.0812421+0.00290609j 0.0557831-0.0546944j 0.0288413-0.0861577j -0.0264323-0.0354116j 
-0.0898651-0.0366991j 0.0401849-0.100742j -0.0674572+0.0236666j 0.0241163+0.0142201j -0.0709099+0.0435005j 0.0390189-0.0164761j -0.0379295-0.0805449j -0.0738504+0.0398614j -0.102648+0.0258629j 0.0210086-0.0476988j 0.0100593-0.0420692j 0.0443894+0.0528494j -0.0180406+0.018883j -0.0206009-0.00263953j -0.0176426+0.00300635j 0.0185874-0.0748111j -0.0196965+0.00894555j -0.105463+0.0577409j 0.0816237+0.0338057j 0.0633558+0.130227j -0.136605-0.141016j 0.150069+0.133525j -0.0786945-0.0983152j -0.0364089+0.141581j 0.0595076-0.136533j 0.110627+0.00829999j 0.0900639+0.0274007j -0.0136488+0.0276098j -0.0790344+0.0474977j -0.00232441+0.0463564j -0.0319778-0.00132186j -0.00559195-0.024105j 0.0167459+0.0208647j 0.014625+0.012768j -0.00882718+0.0174806j -0.0025637+0.0137688j -6.50694e-05-0.0212903j 0.00257792+0.00769756j 0.00398558+0.00569656j 0.00214064+0.00105041j 
-0.0789559+0.0356137j 0.0232031+0.0797404j 0.0853206-0.0235489j -0.0607403-0.0881377j -0.00228134-0.0110816j 0.0438895-0.0497588j 0.0116443-0.0324866j 1.88417e-05-0.114361j -0.0161402-0.0102955j -0.0187357-0.0831714j 0.05636+0.0314756j -0.0085601+0.0180259j -0.0602662+0.000188328j -0.0877102+0.00700713j -0.0336712+0.0181591j 0.228768-0.17067j -0.0677729-0.204652j 0.0213092-0.0411569j 0.12724-0.0732424j -0.0297385-0.0701187j 0.00289308+0.152995j 0.0684063-0.0965644j -0.06757+0.0239773j 0.0187453+0.0822127j 0.0390768-0.0679784j -0.0338985+0.0290357j -0.0938069+0.0439932j -0.10435+0.0587992j -0.159321+0.0307295j -0.0128067+0.0226566j -0.0367032+0.00535035j 0.0220011-0.0236012j 0.012645+0.123283j -0.00279346+0.110583j -0.00396498-0.00958884j 0.00896075+0.0920378j -0.0159201-0.0882969j 0.0452757+0.0584429j 0.0602249+0.0129847j 0.010724-0.017265j 
-0.0369387+0.0627266j 0.09063+0.00099986j -0.0629234-0.117734j -0.0624149+0.0390518j -0.02146-0.0894343j -0.0211791+0.0263624j -0.00928991+0.0707529j 0.0404215+0.0510159j 0.00369355+0.0860163j -0.0176382-0.0112262j -0.0770479+0.0019258j 0.0558217-0.0619154j 0.0224399-0.0112407j 0.0100972-0.0217294j -0.00746904-0.00454508j -0.0819689+0.20409j 0.208334-0.0572749j 0.0712044+0.13791j 0.0784571+0.00883154j -0.0204834+0.0754774j 0.0693066-0.0471387j -0.135776+0.0542124j 0.147985-0.0748289j -0.0380445+0.0126481j 0.0258215-0.00635587j -0.0307221-0.127164j -0.0221986-0.142755j -0.0233063-0.0624056j -0.0305926-0.0389501j -0.0169409-0.00946009j -0.0143153-0.0149656j 0.0175956+0.0075683j -0.0394109-0.0143074j -0.033244-0.0139986j 0.00207601-0.00313724j -0.0312824+0.00101713j 0.0285952-0.00824538j -0.0175583+0.0188577j 0.00350266+0.0256262j 0.00792476+0.00177669j 
