-0.403316-0.530936j -0.321308+0.13753j -0.551498-0.00139855j 0.319027+0.143436j -0.410396+0.528283j -0.144883+0.23122j -0.174679-0.104165j 0.152329+0.163306j -0.120531-0.00145512j 0.152778-0.161495j 0.175502-0.101021j 0.142326+0.231829j 0.0611707+0.0456902j 0.0340681-0.0291052j -0.0847913+0.167612j -0.115623-0.0316947j 0.0713855+0.0598769j 0.0764825+0.00782839j -0.010445+0.0755694j 0.0599188+0.0572056j -0.093507-0.0397309j 0.0685937-0.0453808j -0.0317984-0.0894032j -0.0325791+0.0889369j -0.0680862-0.047132j 0.0953997-0.0399948j 0.0609107-0.0564036j 0.00995618+0.0741744j -0.0746243+0.00357629j -0.0761327+0.0576287j 0.113525-0.0294806j -0.0820851-0.168788j 0.0340487+0.029076j 0.0604057-0.0459394j 
0.0297556+0.026738j -0.0653967-0.047125j -0.0550275-0.0235851j -0.0365221+0.0258059j -0.116454+0.0582059j -0.0521747-0.00920419j -0.0861621+0.0750729j 0.00231999-0.00544395j 0.0570496+0.0168011j 0.0215305+0.0555527j -0.0311815-0.0909253j -0.0205328+0.0247756j 0.028967-0.0165101j -0.00382913+0.0354792j -0.0331673+0.0298782j 0.0460094+0.0331797j 0.0306139-0.113007j 0.0174045-0.0384115j -0.0575873+0.0950168j -0.0734739-0.0460233j 0.0102832-0.0495358j -0.0996967+0.0553686j 0.0740637+0.00832098j -0.00914892-0.0162476j -0.0108621-0.109341j -0.170041-0.0418523j 0.145306-0.171007j -0.0218395-0.0465357j 0.0195238+0.0861158j -0.0791707+0.116978j 0.063431-0.0333598j 0.0335469+0.059063j 0.063598-0.014796j 0.072397-0.0318144j 
-0.0208926-0.0172963j 0.0547911-0.00905942j 0.0916302+0.0835593j -0.0440233-0.0800809j -0.00685611+0.0573928j -0.026651+0.00536946j -0.0214751-0.0633242j 0.0163432+0.0111689j 0.0157608+0.113613j -0.0493617+0.0587265j 0.0193999+0.00925349j -0.0369986+0.0114359j -0.0254118-0.138035j 0.0845331+0.101663j 0.039105-0.000599726j -0.0213127-0.0177037j -0.0402676+0.0308649j 0.0429781-0.0495266j -0.118947+0.116637j -0.0892578+0.0266267j 0.0903421-0.0215204j -0.0292373+0.0869655j -0.0319779+0.0822597j 0.0856785+0.0162679j -0.0923913+0.118252j 0.0436926+0.0393849j 0.20937-0.256515j -0.0570483-0.0850929j 0.0547714-0.103095j -0.00997138-0.0309544j -0.0727541+0.0791072j -0.0541604-0.0011207j -0.0479156-0.153696j 0.163264-0.124969j 
-0.0475115+0.0292835j -0.0817944+0.0161049j -0.0618515+0.0109725j -0.0164225+0.0263927j 0.0550885+0.0831687j -0.00735502-0.0719799j -0.0258685+0.020629j 0.0565235+0.0238306j -0.00536778-0.0437533j -0.0607297-0.0764525j 0.125126-0.0275359j -0.0560532-0.0500308j 0.0124073-0.0224955j 0.0328659+0.0747481j -0.0497148-0.0566736j 0.0258961+0.0394202j -0.0294686+0.00786431j 0.0798738-0.0171304j -0.000915273+0.0762632j -0.0415763-0.0461952j -0.133328-0.0623214j -0.0459614-0.0593844j 0.0030348+0.0613739j -0.00330892+0.00689108j -0.108526+0.15254j 0.0321612+0.0893344j -0.186066-0.0260058j -0.106334-0.00592088j -0.0372072-0.0660303j -0.0286615-0.048882j -0.0269339+0.0322839j -0.0489861+0.0231383j 0.0246481-0.0805914j 0.081589-0.0234068j 
0.0540708-0.030816j -0.0675645+0.00507949j -0.00762459+0.035732j -0.0272267+0.03651j -0.0402694+0.178769j 0.00915545+0.0023334j 0.022415-0.0509771j 0.0432371-0.0235471j 0.0177945-0.0511538j -0.0711595+0.0115682j 0.10379-0.0299807j -0.0414161+0.0188023j -0.00720626+0.028393j -0.0165039-0.0237754j 0.00564534+0.00360047j -0.0180285+0.00778462j -0.00311657+0.0596939j 0.0028571+0.0115768j 0.0296259-0.103736j 0.0648145+0.0128353j 0.0294533+0.0132488j 0.0317728+0.0184056j -0.0660683+0.0152652j 0.0662261-0.00645426j 0.0821795+0.00619966j 0.138358-0.0584847j 0.0104002+0.12753j 0.0658276+0.0175577j -0.0238647-0.0715688j 0.0212001-0.0447252j -0.0325556+0.0310363j 0.0037267-0.0591214j -0.0316486+0.0145509j -0.0341908+0.0269751j 
0.0538097+0.000534143j 0.0357129-0.0242022j 0.0339613-0.0567933j -0.0081683+0.0236982j -0.037532-0.0503408j -0.0422445+0.0672705j 0.0202802-0.0260127j 0.0715627-0.0318964j 0.0710853+0.127748j 0.00360982+0.064463j -0.029692+0.0275733j -0.0319472+0.0711331j -0.0041739-0.0620496j 0.039572-0.00591292j 0.0737715+0.0939015j 0.0159598-0.070269j -0.0194211+0.0406492j -0.046955+0.00763606j -0.0287902-0.0231605j 0.0472858-0.0613918j 0.000230459-0.13971j -0.11376-0.236906j 0.0108275-0.0127435j -0.0710397+0.0315283j 0.0591307+0.0182506j -0.0328576-0.0649029j 0.029247+0.039311j -0.0283639-0.14041j 0.0385049+0.0687462j 0.00835565-0.021696j -0.011422+0.00677097j 0.0483917-0.0687358j -0.0349893+0.0206574j 0.0419991-0.0312624j 
0.0186496+0.0483038j -0.0633236+0.0594504j -0.134798+0.000707204j 0.0655219+0.0573336j 0.016918-0.050002j -0.00429184+0.0130011j 0.0247664-0.0117752j -0.0201615-0.017179j -0.0242928-0.000508643j -0.0189417+0.0170728j -0.0256191-0.0120527j 0.00523672+0.0132015j -0.0740884+0.012236j -0.0626195-0.0565288j 0.0173406-0.00189823j -0.0396948+0.0194757j -0.0096821+0.0194376j -0.0357748-0.0367681j -0.125921-0.0114376j 0.203009+0.166696j 0.124177+0.0187612j 0.108885+0.0709526j 0.0384931+0.0351249j 0.0378651-0.0363611j -0.105206+0.0663581j -0.122606+0.0176503j 0.201527-0.165747j 0.129703-0.0121372j 0.0349357-0.0386437j 0.00949975+0.0198956j 0.0389952+0.0190456j 0.0179019+0.00160736j -0.0604094+0.0566728j -0.0756985-0.00977569j 
0.0382716-0.0471817j -0.00706551-0.0242912j -0.0335233-0.0569796j 0.0348264+0.0244621j -0.0547638-0.00260955j -0.0336837-0.0727278j -0.0296898-0.0230578j -0.0042915+0.0665661j -0.0735103+0.126944j -0.0706819-0.0341898j 0.0165255+0.0259369j -0.0422739-0.067933j -0.0429958-0.0299931j 0.0326386+0.019784j -0.0498985-0.0685998j -0.0116814-0.0058992j 0.0070377+0.0181671j 0.037937-0.0675999j -0.0314579+0.144367j -0.0303961+0.038665j -0.03394+0.0662834j 0.0610257-0.0144386j 0.0724798+0.0323997j -0.0111189-0.00954376j -0.115453+0.235754j -0.00287818+0.14317j -0.0442694-0.0681626j -0.0301846+0.0243801j -0.0469119-0.00519262j -0.0214551-0.0381636j 0.0168376+0.0681582j -0.0725541+0.0970778j -0.0385536-0.00432106j 0.00319957-0.0621214j 
0.0389662+0.183328j -0.029144-0.0325783j 0.00921506+0.0390047j -0.0707562-0.00521526j -0.049493-0.0291449j -0.0405096-0.0180294j 0.107249+0.0314018j 0.0710569+0.00945474j -0.0202425-0.0550677j -0.0440135-0.0234317j 0.0214678+0.0493735j 0.00932313-0.00135358j 0.0307787+0.0253122j 0.0318083+0.0121291j -0.00292678-0.0605193j -0.0336348-0.0316694j 0.0181516+0.0408291j -0.0223221+0.0750551j 0.0645578-0.0156997j -0.0100817+0.123196j 0.137774+0.056556j 0.0795604-0.00610428j -0.0653915-0.00466096j 0.0658478+0.017434j 0.027148-0.0200001j 0.026511-0.0100245j -0.0647405+0.0100409j 0.0271968+0.101994j 0.00421413-0.0127953j -0.00311614-0.0579136j -0.0175012-0.0109768j -0.00487064+0.00358332j 0.0158259-0.0222051j 0.00704183+0.0271388j 
-0.0560442+0.0787469j -0.0192472-0.0232813j 0.0595293+0.0103741j -0.0781592-0.0139904j 0.0506768+0.0311146j -0.0528706+0.0506862j 0.123145+0.0249937j 0.0582406-0.0775751j 0.00380112-0.0426512j -0.0553798+0.0252314j -0.0249759-0.0211116j -0.00629732+0.0717129j -0.0818891-0.0223852j -0.0261789-0.0813881j 0.0497113+0.0230014j -0.0264586-0.0312996j -0.0287577+0.0495437j -0.0359968+0.065373j -0.105796+0.00504533j 0.19352-0.025962j 0.0306461-0.090406j -0.109769-0.152533j 0.00538193+0.00474774j -0.00524466+0.0612331j -0.0457163+0.0617293j -0.133688+0.0616366j 0.042141-0.0447227j 0.00273136-0.0781409j 0.078989+0.0162119j -0.0293966-0.00724452j 0.0252449-0.0390381j 0.0497702-0.0576492j -0.0331895+0.0758151j -0.0141979-0.0220325j 
-0.00727899-0.0532751j 0.0419014-0.0812481j 0.0917045-0.0830111j -0.0564884-0.0071466j -0.0200534+0.0170465j 0.0373695+0.0128675j -0.0186297+0.00665635j -0.0501512-0.0592159j 0.0161949-0.113492j 0.0147203-0.0106756j 0.0213795-0.0651548j 0.0262722+0.00692712j 0.164497+0.120568j -0.0439623+0.158446j -0.054031+0.000488546j 0.0719519+0.0758453j 0.00873733-0.0319766j -0.0541871-0.105069j 0.0609359-0.0804627j 0.207528+0.257843j -0.0462542+0.0397323j 0.0944159+0.120371j 0.0838222-0.0159853j -0.034058-0.0823713j 0.0288356+0.0868633j -0.086895-0.0187023j -0.0897203-0.0303225j 0.115658+0.115269j -0.043977-0.0518515j 0.0420324+0.0308811j 0.0217915-0.0161074j 0.0383425+0.000155083j 0.0851416-0.106421j -0.0230215+0.136778j 
0.117153+0.0591983j -0.0355218-0.0225767j 0.0552437-0.0217128j -0.0647693+0.048116j -0.0270273+0.0256589j -0.0210223-0.0229839j -0.0329842+0.0927546j -0.0221103+0.0552022j -0.0521774+0.0160146j 0.000698832-0.00601021j -0.0876488-0.0737663j -0.0498237+0.0113186j -0.0700726-0.0323135j -0.0645343-0.0143333j -0.0299472+0.064318j 0.0664677+0.0351376j -0.0763851-0.112542j 0.0150535-0.0895524j -0.0270219+0.042604j -0.145134-0.173614j -0.171399+0.0390623j -0.0143909+0.105903j 0.00908256-0.0172366j -0.0750509+0.00946922j -0.0954591-0.0577382j 0.0078008+0.0453245j 0.078126-0.0451224j -0.0571863-0.0989629j 0.020188+0.0398064j 0.030391+0.114861j 0.045374-0.0312618j 0.0334326+0.02481j 0.00405311+0.0351523j -0.0276018-0.0158148j 
-0.0826554-0.0952969j 0.0222188-0.0637959j -0.00563362-0.0765426j 0.00529526-0.0176179j -0.0115486+0.0136927j -0.0955897-0.0250899j 0.133504+0.0834445j 0.0696012+0.0315371j -0.130128-0.0210699j -0.0874621-0.00835264j -0.058866-0.0310853j -0.0505714+0.010945j -0.14499+0.083458j -0.146095-0.211161j -0.0487561-0.0114395j -0.0379519+0.0860549j -0.0129877+0.049637j 0.126923+0.146477j -0.135558+0.0573848j -0.0030706-0.174271j 0.137395+0.00198651j 0.00590165-0.027403j -0.00788402+0.0424479j 0.118447+0.0247761j -0.11181-0.0388732j 0.00187131+0.0563415j 0.000868121+0.0188298j -0.0104106+0.0501472j -0.00331127-0.0318841j -0.0883527+0.0289014j -0.026545-0.108132j 0.0268667+0.0378695j 0.0205146+0.132798j -0.0458993-0.0238778j 
-0.0747688+0.00917054j -0.000195185-0.0298652j -0.0239904-0.00901627j -0.00447589-0.0255094j -0.00333705-0.00223498j -0.0254618+0.0648247j 0.022864-0.166401j -0.0163186-0.0856581j -0.102652+0.0765805j -0.0319529+0.0904618j 0.0293914-0.0451047j -0.012209-0.00825523j -0.0813658-0.154852j 0.152347+0.0515064j -0.0657084-0.0749104j -0.0915466-0.116154j -0.0629234-0.120584j -0.066754-0.0136889j 0.200718-0.0247143j -0.132076+0.112773j -0.065739+0.0348704j 0.00928832+0.0170797j -0.172542+0.0562782j -0.0324629+0.0591125j -0.0787021-0.0132593j 0.0847918+0.121757j -0.00690147-0.0639302j -0.0248592-0.0755508j 0.141499+0.0481279j 0.028314-0.000631733j 0.102857+0.0372936j -0.0101122+0.0145518j -0.0484744-0.0149268j -0.000709603-0.0311461j 
