-0.0685527-0.0866495j -0.00509669-0.0349147j 0.00129781-0.0236761j 0.0399005-0.0948631j 0.0151827+0.0214792j 0.00194287+0.0438226j -0.00746445-0.0102121j 0.0445389-0.000660259j -0.0129688+0.0226836j -0.00723239+0.0454066j -0.0234205+0.0153237j -0.00284801+0.0326953j 0.00446004+0.0198406j 0.0140522-0.00790523j 0.0010516-0.0216998j -0.00784428-0.0159031j -0.0135745+0.0255336j -0.00887205+0.0159906j 0.0156114+0.0221462j -0.0127096+0.00858043j -0.01471-0.00196848j -0.0467624+0.0213548j 0.00207944-0.0204258j -0.00443152+0.017632j -0.00102946+0.0190418j -0.000563678-0.0264796j -0.0174996-0.0214029j 0.0010643-0.017695j -0.0141667+0.0089173j 0.00050844+0.00151114j 0.016538+0.00770021j -0.0166549-0.00187896j -0.00666251+0.037323j -0.0412671+0.0161942j 0.00783061+0.00307133j -0.0141182+0.0237048j 0.00815404-0.00350466j 0.00142165-0.0126778j -0.00465078-0.02424j -0.0220629-0.000688185j 0.00962727+0.0127268j -4.71048e-05+0.04138j 0.000992402-0.00157811j -0.0110937-0.0213396j -0.0045033+0.00461788j -0.0103583+0.0243922j -0.0102374+0.000693243j -0.0152138+0.000689203j -0.00411314+0.0124165j -0.0133924+0.000359346j -0.0142917+0.00653261j 0.0049492+0.0271737j -0.0184889+0.00116087j 0.0130411-0.0105718j 0.00387515-0.00173332j -0.00304611+0.00675743j -0.00740887+0.00610405j 0.000602423+0.0028422j 0.0358489+0.0125929j 0.00961616+0.0211668j -0.0178108+0.0109503j 0.0016984-0.00304853j -0.0222033+0.0165971j -0.0111846-0.0195064j -0.0310078+0.00938296j 0.0245355-0.0204293j -0.0106416-0.00315026j 0.0171613-0.0150071j 0.000705612+0.0150178j -0.00795058+0.0211943j 0.0178071+0.0156583j 0.0061424+0.0107776j -0.0194133-0.0107214j -0.00876687-0.00319464j -0.0578238-0.0118666j -0.0473453-0.00816329j -0.00763984-0.01624j -0.0127605+0.0720512j 0.00625752-0.060579j 0.033565-0.0615087j 0.0339097+0.0693857j 0.0248852+0.00178621j -0.0827667+0.03638j -0.0559771-0.0082347j 0.000725698-0.0128771j -0.05133-0.0186032j -0.00570334-0.097457j 0.134007+0.0187391j 0.0120725+0.0418199j -0.0217609-0.00102615j 0.00898606-0.00953263j 0.0327293-0.0247959j -0.146579-0.0832745j -0.0525235+0.00280937j -0.116847-0.129986j 
-0.0270245+0.00959932j -0.0514543-0.00607622j 0.0301671-0.0205907j 0.00819083-0.0227175j 0.00356126-0.0151523j 0.0032406-4.37875e-05j -0.0482092+0.0200559j -0.0451793+0.066353j -0.0951713+0.0153414j -0.0339217-0.0413653j 0.0970783-0.0202711j 0.00292612-0.0128331j 0.047596+0.0805298j -0.0312536-0.0701831j -0.00500034+0.0451495j 0.0468617-0.0717505j -0.00614417-0.00731835j 0.0141069-0.0382848j -0.0843908+0.0403924j 0.071176-0.022845j -0.0487746+0.00423679j -0.116295+0.0122348j 0.015748+0.00605702j -0.00345011-0.0714901j -0.0207774-0.0248936j 0.106964-0.0183148j 0.0430625+0.00113814j 0.116466-0.0353864j -0.0209154+0.0230027j 0.00982631+0.00403881j -0.0241267+0.0238678j 0.0936016+0.0205354j 0.00328428-0.0262393j -0.0676355+0.0963339j -0.0178266+0.0164099j -0.0841031+0.0193165j 0.000831947+0.100329j 0.00895471+0.0894984j -0.0736264-0.113729j 0.00811215-0.0255612j 0.0368732-0.0741679j -0.0366017-0.0983828j -0.0779965+0.0540647j 0.0467616+0.0388689j -0.0517223-0.00421087j 0.0460927-0.0232896j 0.0764687-0.0550647j 0.0323912+0.00481015j -0.0561145+0.00760533j 0.0710976-0.00448957j -0.0653982+0.0393172j -0.0524248+0.0194811j 0.12401+0.0265113j -0.00387172-0.00460709j 0.0419991+0.0391242j -0.0265727-0.0403932j 0.0746559-0.021919j 0.0461596+0.05011j -0.0206713-0.0021989j -0.0514345+0.0790733j 0.00334811-0.0336719j 0.00590633+0.0186233j 0.0216553+0.0884125j 0.0245706-0.0111396j -0.00405948-0.0322184j -0.0315152-0.0165908j -0.0152963+0.0702108j -0.0703075+0.013473j 0.0229566-0.0246313j -0.0213328-0.0956057j -0.00714481+0.0314123j -0.0600039+0.0764165j 0.0271604-0.0225081j 0.0211951+0.018206j -0.0877729-0.017739j -0.0179555+0.0190951j 0.0725163+0.0188261j -0.00421358-0.0192415j -0.0257953-0.0534j 0.00865195-0.0225038j -0.0512554-0.0223353j -0.0171446+0.00452402j 0.0037239-0.0379379j -0.0254491+0.00152371j 0.00659415+0.0275813j 0.057441+0.0176735j 0.00305348+0.0957471j -0.0392362-0.01554j 0.056969-0.0282272j -0.0229227+0.00780796j 0.0214009-0.0830615j 0.0163474-0.0117217j 0.00886078+0.00756784j -0.0449385+0.00227873j -0.00582226+0.0105549j 
0.0330724+0.0193039j -0.0392981+0.0168537j 0.0110832+0.000572372j -0.0443675+0.0659851j -0.0125999+0.00244609j -0.0123267-0.0739244j 0.0692896-0.00464521j -0.00325091-0.0668101j -0.00639479-0.0774917j -0.0188838+0.00768269j -0.02622+0.000976988j -0.00735062-0.015086j -0.0198926-0.0771603j 0.0318085-0.0338844j -0.0285444+0.0112074j -0.0107511-0.0216413j -0.0755593-0.0421855j 0.0293818-0.0415689j -0.0294586+0.0403281j 0.0403105+0.0316453j 0.0320484-0.0209842j -0.0100057-0.101161j -0.00829687+0.0562577j -0.0139216-0.0307103j -0.0319877+0.0868546j 0.0228351+0.108243j 0.00730603-0.0648172j 0.018142-0.0560666j 0.0425557-0.140393j 0.08485+0.0186801j 0.0606795+0.0315944j -0.00194792-0.124108j 0.101775+0.0341535j 0.104842-0.177627j -0.0673268+0.00933033j -0.0453776-0.131296j 0.119803+0.000934611j 0.0724074+0.0850294j 0.0648999-0.0604984j 0.264568-0.0193153j 0.0431293+0.126677j 0.105787-0.0183376j 0.0711821+0.058962j -0.192057+0.129882j 0.0271924+0.0494613j 0.0225675-0.00625713j -0.0393593+0.0468792j 0.0233216+0.0184152j -0.0260041+0.000666823j 0.0404987+0.0126043j -0.0484369+0.0190684j -0.0199865-0.0308113j 0.00927327-0.0194146j -0.00655364+0.0340783j 0.0522961-0.00723835j -0.0233009+0.00401406j 0.0405669-0.036383j -0.0725883+0.0281075j 0.0214933-0.0481323j -0.016085-0.0139739j -0.0539158+0.0612321j -0.0114508+0.0386422j -0.0349087+0.0640153j 0.0310548+0.0254809j -0.0212607+0.0302805j 0.0434107-0.0485357j -0.00764103+0.021172j 0.0546388-0.0403133j 0.0327214+0.0100802j 0.00372462-0.00679708j -0.0258502-0.0442839j 0.0238723+0.0337538j -0.0550142+0.0151604j -0.013167+0.00387435j -0.0292851-0.0703406j 0.00755015-0.0381305j 0.050784-0.0609047j 0.0458695-0.00776001j -0.0590647-0.0434625j -0.00670849+0.041026j 0.0341691-0.0212771j -0.0408408-0.0403494j -0.0136748+0.0353159j 0.0525152-0.0709458j -0.029291-0.0646611j 0.0290216-0.0290091j -0.0279805+0.0669821j -0.0141848-0.00574498j 0.0664445-0.0172333j -0.0289268+0.0625481j 0.00284396+0.0255488j -0.0189192+0.0593016j 0.00899887+0.0132833j 0.0163588+0.0342254j 0.0433282-0.0133613j 
0.0147509+0.0270614j -0.00778419+0.00190295j 0.0093773-0.043999j 0.0258549+0.000957714j -0.0259491-0.0107954j -0.00149956-0.0199251j 0.000355696+0.00265523j 0.0108778+0.0154825j -0.0247035+0.0156099j -0.0372591-0.0182212j -0.0102419-0.00479012j 0.00971456+0.00636018j 0.00921016+0.0701036j 0.00822523-0.0171585j 0.0252577+0.00334074j 0.0103029-0.0182714j 0.00771191-0.00852374j 0.0181794+0.0105879j -0.0297768-0.0126469j 0.0129411-0.0056051j -0.00731216-0.0265652j -0.0388083-0.00737197j 0.0105212+0.0432326j -0.0120394+0.0309221j 0.015615-0.0801032j -0.0923276-0.123849j 0.0698895+0.0619538j 0.080568+0.034117j 0.0645254+0.0997723j 0.00628831+0.0343375j -0.0602584-0.0645503j 0.113376-0.0974947j -0.141536+0.111234j -0.201323+0.116577j 0.0808447+0.014675j 0.0413614-0.0306993j 0.0338841+0.0476562j -0.101623+0.130549j -0.15269-0.10285j 0.0429355+0.0442179j -0.0433015-0.200443j -0.101221-0.111793j -0.0892883-0.103237j 0.0378001-0.0404385j 0.0209783+0.00677408j 0.0813835-0.0417336j 0.0179466-0.119153j 0.0474582-0.0147029j -0.0145292-0.04992j 0.0339219+0.047866j -0.0205467+0.0746962j -0.0355343+0.0404806j 0.00599446+0.111283j 0.0151958-0.0142487j -0.0761409+0.0308712j 0.0657619-0.0223777j 0.0321146+0.0334454j -0.00739793+0.0181564j 0.0499631+0.0121482j 0.0157817+0.0186338j 0.0275159-0.0527798j 0.0263068-0.038014j -0.0177374-0.0222956j -0.010983-0.0332303j 0.0042199+0.00584118j 0.021411+0.00540472j -0.0557704-0.0375938j 0.0440428-0.0153271j 0.0313564-0.00880291j 0.0338179-0.0215522j -0.0560306+0.0714911j -0.0412258-0.0612404j -0.0274923+0.00700083j 0.0116111-0.00499022j 0.0336444-0.00338322j 0.0201017+0.0128119j 0.00832819-0.0108552j -0.0386596-0.0182919j 0.0507141-0.0228921j 0.0553013+0.00714681j -0.0632193-0.0429043j 0.0137501+0.0152031j -0.00870297+0.022968j -0.000115201+0.0308661j -0.0283482+0.0223005j 0.0321905+0.0243802j 0.0479861-0.014598j 0.0507688+0.049656j 0.0148061-0.0213261j -0.00929491+0.0280509j 0.00888779-0.0336066j -0.0227888+0.0500386j -0.00201296-0.0116008j -0.0243758+0.0025514j 0.00816505+0.0139274j 
-0.0254673-0.0275169j -0.0275552-0.0475119j -0.0417663-0.0462459j -0.0240378-0.00605315j -0.00989579-0.0218615j -0.0411877-0.00941855j -0.0746813-0.0146414j 0.0540806-0.0471316j 0.00464635-0.00646697j -0.00781523-0.00697906j 0.0299829-0.0531073j -0.00378069+0.00923153j 0.0129964+0.0577271j 0.0246075-0.0486824j 0.0368304+0.0292479j 0.0128368+0.0133532j 0.0219713-0.0427053j -0.0663705-0.0297112j 0.0721864+0.0110375j 0.0443343-0.0291561j 0.00714637+0.038359j 0.0281803+0.0177439j -0.0482555+0.0729686j -0.0168425-0.0381042j -0.0286009+0.0459711j 0.0129548-0.0500346j 0.0178581-0.00175321j 0.0387223+0.0170895j -0.00784875+0.077026j 0.0865185+0.0987376j 0.123096-0.0904516j 0.0311905-0.0176999j 0.00504147-0.0145939j 0.0326422+0.119241j 0.000506796-0.0194523j -0.0475508+0.0161098j 0.197511-0.11866j 0.132511+0.0679j -0.174735+0.013183j -0.0316069-0.155087j -0.126941+0.0526081j 0.147184+0.129574j 0.0656083+0.103376j -0.112137+0.046418j -0.0612773+0.0823995j -0.0919505+0.0900459j -0.0663291+0.000319418j 0.0320944-0.0693003j 0.0318227+0.0298748j 0.0532171-0.0142176j -0.142502+0.0384668j 0.0521829+0.0331873j 0.0145861-0.014477j -0.0154541+0.0218861j 0.117883-0.0748367j -0.0473703-0.00840218j 0.0215242-0.0618638j -0.0599825+0.0956849j -0.00695424+0.0564891j -0.0390707+0.122421j -0.0918856+0.0457283j -0.0361814-0.0120443j 0.0382915+0.00696594j 0.016055-0.0622412j 0.0195927-0.0170278j -0.0320561+0.015937j -0.00135595-0.0167171j -0.0341871+0.0555517j -0.00110847-0.013251j -0.0266096-0.0155908j -0.0252512-0.0280733j -0.0342394+0.0105997j 0.0403928-0.0539904j 0.0838018-0.00233339j -0.0159298+0.00627179j 0.0122048+0.0106177j 0.0237853-0.071566j -0.0805776+0.0410129j -0.00867088-0.00341263j 0.00992424-0.0455116j -0.0179+0.0203909j -0.0262555-0.00885968j -0.0454806+0.0578654j -0.0241769-0.0192558j 0.0148353-0.0159799j 0.0698864+0.000432475j 0.0138721-0.01113j 0.0224749+0.012785j 0.00422929-0.0121777j -0.00674132+0.0511763j -0.051084-0.0402604j 0.00505915+0.0099267j -0.0378315+0.0291285j -0.0198542-0.0254875j -0.00234034-0.0163691j 
-0.0141316-0.0195717j 0.0341681+0.0282718j -0.0430072+0.0288323j -0.0113322-0.0476579j 0.00390147-0.0158791j 0.021923+0.00375383j 0.0356029-0.0364257j 0.0034205+0.0432041j 0.012343+0.0130262j -0.0258433-0.0237789j -0.0337422-0.0463138j 0.00772903+0.000277594j -0.0646889+0.0490012j 0.0514651+0.0523565j 0.0214248+0.0366817j 0.00300441+0.0160437j -0.000366702-0.0407844j -0.0107861-0.011485j 0.0476502-0.00300693j -0.0143656+0.0176055j -0.0326688-0.0139656j 0.0725874-0.0204257j -0.0598738-0.0611455j 0.00455453-0.0676443j 0.0576625+0.0608871j -0.0693785+0.0840764j -0.156308-0.0362144j -0.0157716-0.0267701j -0.180943-0.0234217j -0.0343894+0.0183502j -0.0215038-0.259998j -0.201218+0.014183j 0.137874+0.138328j 0.0269896+0.202237j 0.0524733+0.00103123j 0.0798769+0.087925j 0.0203812+0.113253j -0.059872-0.117093j -0.128791-0.0247099j 0.166218-0.152583j -0.062503+0.0396935j -0.0523319-0.0979845j -0.126678+0.0115893j 0.0663733-0.0111028j 0.103311-0.0668537j -0.00758716+0.000408881j 0.0127116+0.00948626j 0.0674727-0.0180504j 0.0614792+0.0142468j 0.0197263+0.0309158j -0.000559728-0.0798536j -0.101497+0.0298663j -0.19039-0.072155j 0.0648865-0.00658885j 0.0192853+0.0921074j -0.0291726-0.00407885j -0.0617872+0.0349459j -0.0111231+0.019285j -0.000750468+0.0797063j -0.0554784+0.0242881j -0.0260025-0.0430231j 0.0542383-0.0402074j -0.00568251-0.0213775j 0.0261673-0.0316163j -0.0624816-0.0747331j 0.0247869-0.00139453j -0.0197341-0.00430697j 0.0368742+0.0600703j 0.0335141-0.00900254j 0.00950006+0.0112457j 0.00755211-0.0206497j 0.0314912-0.0524263j 0.0143296-0.0515427j -0.0182161-0.0466096j 0.00957511+0.015424j 0.0384508+0.0272888j 0.0142558+0.0135285j 0.023234+0.00230155j 0.0411188+0.0244935j -0.0298458+0.0109836j 0.0470608+0.00721348j 0.0527296-0.0118652j -0.0210072-0.0314147j 0.0234285+0.0286051j -0.0206168+0.0621196j 0.0205608-0.0087743j -0.0106252-0.0257229j -0.0136059+0.0149249j -0.0429463+0.0506192j -0.0128112-0.000947593j -0.026094-0.000264492j -0.00087675+0.035982j -0.0252333-0.0544145j -0.0193361-0.0107739j -0.0339369+0.00465116j 
0.0402947-0.024362j 0.0311249+0.0804943j -0.0499371+0.0684175j -0.0110328-0.0282317j 0.0232278+0.00455126j 0.00086028+0.0155532j 0.00480877-0.00994702j -0.000482758+0.0393396j 0.0130245-0.00847952j -0.00810551+0.0114087j -0.0147618+0.0084832j -0.0617568-0.00250543j 0.0504155-0.0399572j -0.0149321-0.0476818j -0.0168383-0.0227171j -0.0136268-0.00680142j 0.0249184-0.0334451j -0.0391352-0.0294297j 0.0394811-0.00140364j -0.0245692-0.0077216j 0.0124552+0.0254635j 0.0623446+0.0583705j -0.0263855+0.0173544j 0.0108865+0.0162164j -0.0178696-0.0997264j -0.0925293-0.110023j 0.0247736-0.0111569j -0.0746737+0.0650593j 0.0838156-0.00026446j -0.0644082+0.0912688j 0.0080779-0.254257j 0.129089-0.0978951j -0.0743129+0.0700312j -0.0995026-0.16948j 0.000396545-0.089099j 0.107155+0.0293931j 0.0964294-0.00128915j -0.0952539+0.0567667j 0.050003+0.0431722j 0.0620065+0.13199j -0.0495813+0.0556494j -0.0338838+0.0777049j 0.0576002-0.0764616j -0.0343255+0.0455298j 0.0330299-0.00142218j -0.0427607+0.0842566j -0.0782753+0.0395358j -0.0625489-0.0542274j 0.0364459+0.0545492j -0.00972979-0.00219758j 0.0453102+0.00652828j 0.0504135+0.00135433j -0.0530073+0.00822042j 0.0193474-0.015805j -0.0531102-0.00346552j -0.0141385-0.00935625j -0.038954+0.0231557j -0.00478587+0.0342751j -0.00202326+0.0619128j -0.0443454+0.00167102j -0.0294819+0.00701925j 0.0588193-0.0016617j -0.0173724-0.0111394j -0.0155968+0.00129135j -0.0293035-0.0751598j 0.0100867-0.0161292j 0.022327-0.0106968j -0.0141102+0.035279j 0.018448-0.0184434j 0.00344917+0.00956083j 0.00763844-0.0317738j 0.0088178-0.0132997j 0.0416305-0.042937j 0.0104293-0.00803386j -0.00201354-0.0257626j 0.0352882+0.00380808j 0.00455143-0.0118444j -0.0224316+0.0186377j 0.0334345+0.00968895j 0.00219813+0.0202841j 0.0389147+0.022165j 0.0717733-0.0153797j -0.0495681-0.0301458j 0.030385-0.025018j -0.00180786+0.000290053j 0.0215072-0.0159153j 0.00947466+0.0106661j -0.0206209-0.00099536j -0.0473347+0.0600275j -0.00754824-0.00208866j -0.018314+0.0126368j 0.0150071+0.0329686j 0.00527449+0.0134152j 0.0303271-0.0169349j -0.0185001+0.0294733j 
-0.0197543+0.0007474j 0.0200584-0.0369524j -0.00401437-0.0721935j -0.0119875+0.00930607j -0.00226938+0.0330273j -0.0106686-0.00302293j 0.0253763+0.0560664j -0.036469-0.0232493j -0.0214364-0.0285544j -0.0155781-0.0226617j -0.0126136+0.00517336j -0.015374-0.0289577j 0.0067652+0.00190037j 0.0226113-0.0326903j -0.00501026-0.0300977j 0.0162303+0.0317182j 0.00460127-0.0147384j 0.00431968+0.0194983j 0.0136788-0.0418563j -0.0130022+0.0129028j -0.00377295-0.0064541j -0.000207661-0.0150719j -0.0358228+0.0132486j -0.0313678-0.00872609j 0.0384239+0.00144648j -0.0455455+0.0716436j -0.00614191+0.00374097j 0.0161142+0.00118255j 0.0905737-0.0106474j 0.0808956-0.0828355j -0.0417388+0.286849j -0.0752078-0.0719882j 0.0523994+0.0879991j -0.076554+0.080434j -0.050409+0.0358936j 0.00933525-0.0687913j -0.0402719-0.0443774j 0.0419595+0.0767767j -0.000541759-0.138299j 0.12176+0.0734809j 0.0953047+0.0119099j 0.0898578+0.0396749j 0.00998293-0.039647j -0.0844084-0.0597581j 0.0572707+0.0374048j 0.0465198-0.0396502j -0.000752691+0.00334798j -0.0117838+0.103418j -0.0130123-0.0142439j -0.0309809+0.0279636j -0.0266585-0.038346j 0.0092684-0.00848987j -0.073056-0.00833753j 0.0283923-0.00576734j 0.00919138-0.0304883j 0.018484+0.07753j 0.00245705+0.0152632j -0.0129236-0.0731861j 0.0144621-0.0558046j 0.0264182-0.0532159j -0.0330691+0.0369676j -0.0663831+0.033245j -0.0455736+0.0372275j -0.00900435+0.0682431j 0.0417888+0.0348426j 0.0512578-0.0305183j -0.0226587-0.0213792j 0.0322744-0.0294637j -0.0316976-0.0188852j 0.000460362+0.0116017j -0.0397946+0.0359283j 0.0657737-0.0373037j -0.0429345+0.01101j 0.0498383+0.00904212j 0.0212566-0.0237511j 0.0160904-0.0157698j -0.0384686-0.0345193j 0.0129622-0.00958582j -0.0335361+0.0417928j -0.0862182-0.00549793j 0.0398023+0.0423588j -0.0156038+0.0419519j -0.00639011-0.0247417j -0.0527162-0.0196478j -0.00542724+0.00962045j -0.00856347-0.00795612j 0.00338766-0.0827742j 0.0392848-0.00188837j -0.035621-0.0647759j -0.0136208+0.0107072j -0.0264038-0.0152674j -0.025373+0.0137767j -0.0167763-0.0283773j 0.00599615-0.0124125j -0.00973514-0.00296598j 
0.0238646-0.00820125j 0.00544019+0.0759452j 0.0105396+0.027697j 0.036196-0.0162839j 0.0297521+0.030281j -0.0237401+0.0200572j 0.0086763+0.00318966j -0.0355045-0.0267227j -0.018697-0.0217981j -0.00277777+0.0259247j -0.00951909+0.00533108j -0.00550517+0.00415788j 0.00272803-0.00980926j 0.0013458-0.0143856j 0.0319262-0.0224834j -0.00783448-0.000843323j 0.0162252+0.0153129j 0.0140215-0.0416554j -0.0661616+0.0307284j -0.0190407+0.013675j -0.00194052-0.0243301j -0.0300814+0.0205973j 0.0542943+0.0598724j -0.0217387+0.0303977j -0.0639845-0.0420009j -0.0494017-0.026018j 0.0772009-0.0535236j -0.0419807-0.0106704j 0.124024-0.206211j -0.0891814-0.113327j -0.0521722-0.108388j -0.156912-0.0432261j 0.0206044+0.188106j -0.121152-0.133348j 0.0236333-0.0524976j 0.0322861+0.0703691j 0.0235173-0.0963825j 0.0368107+0.0821293j -0.0536773+0.0426702j -0.00620634-0.0520377j 0.0223876+0.0113629j -0.0713113+0.0125633j 0.0169672-0.156005j -0.0678619+0.124595j 0.0673006-0.0080703j 0.0826192-0.0607252j -0.0867277+0.03433j -0.00377831-0.0313298j -0.00166106+0.0276154j 0.0538932-0.0686416j 0.10655+0.0320008j -0.0316118+0.0213285j -0.101887+0.0387795j 0.0267052+0.0242312j -0.0768022+0.0342281j 0.0106909+0.0197425j -0.0565466+0.0329647j 0.0685891-0.0119283j 0.0119625-0.0263189j 0.0534991+0.0535353j 0.0459011-0.0740964j 0.0491476-0.0272726j -0.0362017-0.0308857j -0.0146412-0.0248845j -0.0189551-0.019602j 0.0774023+0.0270723j -0.0456969+0.0428391j 0.0500073-0.0272154j -0.012523-0.0541245j -0.0249842-0.00128596j -0.0324317+0.0669864j -0.0334346+0.0289155j 0.0130404-0.0225101j -0.027501-0.0682307j -0.0412027+0.00500333j -0.0188189+0.00265857j -0.0106755-0.0146169j 0.00958768+0.00529602j 0.0521932-0.0643893j 0.0502818+0.0102558j -0.0371769-0.125463j 0.0583463-0.0392207j 0.018418-0.00895961j 0.00716715+0.0299664j -0.0413188+0.0124445j 0.0621003-0.0628173j -0.044087+0.0505916j -0.0231258-0.0456981j -0.00318347+0.0735132j -0.0880149+0.0153312j 0.0247154-0.0724239j 0.0328388-0.0199162j 0.00809624-0.0105729j 0.0115554+0.000304493j -0.0521102+0.0012482j 
-0.00753813+0.0115554j -0.0418044+0.00313955j -0.0147386+0.0411319j -0.0681685-0.094566j -0.0462848-0.0124029j 0.00901006+0.0101388j -0.0276542+0.0232353j -0.0268744-0.0130764j 0.0167316+0.0244722j -0.0131042-0.0156351j 0.0518625-0.00769702j -0.0288281-0.0529754j -0.0162458-0.00668863j 0.0299264-0.00647157j -0.00653685+0.0314625j 0.00687083-0.0325515j -0.0528968-0.00382922j -0.0255006-0.0454787j -0.00963182+0.0597826j 0.0712729+0.0276107j -0.0326768+0.0550077j 0.0133443-0.0029325j -0.0112772-0.0689318j 0.00605772-0.124672j 0.0414422+0.148894j 0.0546769+0.049666j -0.0555559+0.0654058j 0.10773+0.0637992j -0.11912-0.0646235j 0.12085+0.144112j 0.00717842-0.0941634j 0.109858-0.0149998j 0.0288405+0.0687367j -0.074836-0.0713437j -0.0423344-0.0221881j -0.0100567+0.00827817j 0.00629855+0.103068j -0.060958+0.00683006j 0.0195032-0.0557882j 0.0730496+0.131689j 0.0259487+0.151747j 0.165442+0.0564773j -0.0738633+0.0382185j 0.0491801+0.123939j -0.040958+0.0132619j -0.0811252-0.102918j 0.0370501+0.0232685j -0.0258988-0.0118032j 0.0384895+0.0394064j 0.0339919-0.0429564j -0.0749129-0.0235909j 0.0498545-0.0213765j -0.0134388-0.0874813j -0.0142032+0.0464556j 0.0587878-0.00488746j -0.01075-0.0310551j 0.00177565+0.0214435j -0.055597+0.0106887j -0.0230744+0.0769796j -0.0603457+0.00760191j -0.0169739-0.0306885j 0.00590666+0.0129893j -0.0124488-0.0165708j -0.0150082+0.0269157j 0.017234-0.0663399j -0.0148486+0.0416647j 0.0517582-0.00864746j -0.0660967+0.0218426j 0.00498919+0.0339108j 0.052396+0.0157663j 0.0197299-0.0808583j 0.0140822+0.010193j 0.0785379-0.0162586j -0.0558792+0.0675135j -0.0154383-0.00816949j 0.0114892+0.0099538j -0.0088425+0.0300645j -0.0190842+0.0206366j -0.11724-0.0273772j 0.00780768-0.015431j -0.0856214+0.0271684j 0.0104867+0.0362749j -0.0139522-0.0831081j -0.000742902-0.0679841j 0.00685133-0.0862428j 0.0127916+0.0261375j 0.010182+0.0483429j -0.0284835-0.0166024j 0.0114535+0.025602j 0.0899428-0.0274657j 0.0604591+0.0106911j 0.00159397-0.0285834j 0.0194372+0.0180783j -0.013636+0.0077638j 0.0397343-0.00036616j 
0.00898262-0.035742j 0.0402708-0.00493116j -0.050775-0.00349942j -0.067541-0.0470982j 0.0236809+0.0124849j -0.0354905-0.0327901j -0.00092738+0.0475878j 0.0197565-0.0111459j -0.00298379+0.0199525j -0.0216754+0.0315812j 0.00802379-0.0272411j -0.0144785+0.00875925j -0.0107168-0.00624356j -0.0277249-0.0425582j 0.0203957+0.00909069j -0.0260197-0.0131642j 0.01187-0.00643834j -0.00863184-0.0532049j 0.00944507+0.0696802j 0.0349511-0.0128958j 0.0233079-0.0209041j -0.0617221+0.00769235j -0.0726401+0.0408041j -0.0723699-0.00525562j 0.0543565+0.0459084j 0.0944142-0.0729914j 0.0928804-0.00872692j -0.0384809-0.0151747j -0.0614808+0.0464997j -0.157906-0.0406243j 0.0639975+0.0519602j 0.0993069+0.26052j 0.146603+0.00180497j 0.047389-0.110489j 0.024965-0.0418466j 0.0713661-0.0141282j 0.105029-0.0336551j -0.0503907+0.103455j -0.128965-0.0261666j -0.0736496+0.0358207j 0.101881-0.0203424j 0.0579157+0.0813419j -0.00115086-0.0021569j -0.070155+0.122811j -0.00658504+0.058704j -0.0232988-0.181486j -0.0575113-0.0435888j 0.112988-0.0699586j 0.0614751-0.0199677j 0.0461763-0.107243j -0.0688455+0.0643223j 0.0459326-0.0362123j -0.0620084+0.0241299j 0.0221212+0.00828083j -0.0866391-0.0399434j 0.0824335+0.0504368j 0.0727541+0.0668802j -0.0536734-0.0765425j 0.0544444-0.00260214j 0.0342615-0.0375821j -0.0170768-0.0692688j -0.0299385+0.00575241j -0.0702803-0.0618424j 0.0372757-0.00361034j -0.0362206+0.0272785j 0.121602-0.0103538j -0.0164442+0.0263057j 0.0470942-0.0651389j 0.00432487-0.0411078j -0.0721137-0.000572235j -0.0595447+0.0763717j 0.0549396-0.061518j -0.0013014-0.0165257j 0.0123875-0.0444455j 0.0295755-0.110213j -0.032048-0.0224694j -0.00517149-0.0337142j 0.0843961-0.0316009j -0.00433121-0.0534672j 0.00878945-0.0114497j 0.0357354-0.0420062j 0.0232098+0.0323994j -0.000674342-0.0568312j -0.00313758+0.0174668j -0.147534+0.068363j 0.0319091-0.124252j 0.0322968-0.0312842j -0.000374514-0.035219j -0.0451242-0.0278142j -0.113619+0.0668974j 0.0134331-0.0760099j -0.0437118+0.0214515j -0.0268417-0.0140279j 0.0214062-0.0234917j -0.0125683-0.00453313j 
