0.0534171+0.111153j 0.089084+0.0376497j 0.0250085+0.162929j -0.0733696-0.106254j -0.000167542+0.0184198j 0.0178609+0.0464666j 0.0960616+0.114509j -0.00597874-0.0690939j 0.0132775+0.0548212j 0.0448477+0.0454671j -0.0905011+0.0360067j 0.0360113-0.0301026j -0.0762517-0.172285j 0.17573+0.0222211j 0.0427428+0.16977j -0.0884842-0.155618j 0.0420976+0.149128j 0.142218+0.0115124j 
0.055762+0.00058934j -0.0239937-0.0133041j -0.0107664-0.00359547j 0.0655578+0.00619009j 0.0128484-0.017939j -0.0271361+0.014184j -0.0190806-0.0125145j 0.0401305+0.045859j 0.00182721-0.00734431j 0.0132222-0.00374199j 0.0285026+0.00549328j 0.0187276+0.0074127j 0.0562659+0.0291585j 0.0345539-0.0127589j -0.0299663+0.0155861j 0.0189908-0.0277975j -0.0445974-0.00512447j 0.00893878-0.0334183j 
-0.0159356+0.045523j -0.0386211-0.015055j 0.0352398-0.000941632j -0.0110061+0.0896637j -0.0302154-0.00272045j 0.030177-0.00420435j 0.0272906+0.00420214j -0.0239614-0.0234247j -0.00673847+0.0204161j -0.0177966+0.0423336j -0.0546149+0.0324212j 0.0436522-0.0461524j -0.0122387-0.00953203j 0.0104394+0.0704787j 0.019613+0.0938733j -0.00885086+0.0376492j -0.0153782+0.0361217j -0.0165337+0.0292884j 
0.0193079-0.0350655j 0.0324325+0.012796j 0.021697+0.0370331j 0.0155578-0.026959j -0.011853+0.0379621j -0.0309591+0.0641168j 0.0302802-0.00833084j 0.0270605-0.0347882j -0.0229192-0.0364251j 0.0137695-0.0165825j 0.00352299-0.0847317j -0.0480768+0.0332822j -0.0219411-0.134502j -0.00280354+0.000367265j -0.0447088-0.0230225j 0.0362871-0.0624653j -0.00192637-0.0398696j 0.0652364-0.035269j 
-0.00943793-0.0229224j 0.0101676+0.00413073j 0.0184988-0.0109724j 0.015738-0.0322438j -0.0363631-0.0001393j 0.0346725+0.027407j 0.000319508+0.0279043j -0.00340851-0.00480382j -0.0106152-0.00461327j 0.0236369+0.0166381j -0.00425994-0.0341007j -0.0207412-0.019402j -0.033723-0.0522091j -0.0316878+0.0144851j -0.0155422-0.0131344j -0.00757566-0.019272j 0.0191035-0.00437091j 0.0154856+0.00421321j 
-0.0186906-0.0880557j -0.0139163-0.0037116j -0.0232128+0.0370804j 0.0231731-0.0550905j -0.0339293+0.0113987j 0.0294326+0.0413272j -0.0248903-0.0328947j 0.0125847-0.0452926j -0.00586251-0.0138549j 0.00213169+0.00555035j -0.0346256-0.0346535j -0.0274316+0.0668732j -0.00110178-0.10934j 0.0224183+0.0152791j -0.0222755-0.00703616j 0.0138766-0.0272431j -0.000761229-0.0202626j 0.0340862+0.00538274j 
0.106435+0.059277j 0.0293798-0.0347457j 0.0333785+0.0718098j -0.0176381+0.0128171j 0.010662-0.0126198j 0.00219902+0.029147j 0.00800832+0.0264499j 0.0150409-0.0199901j -0.0332773+0.00642406j 0.0471274+0.0645293j 0.00382215+0.00921414j 0.0606511-0.0470664j 0.031428-0.0936993j 0.0446165-0.0181985j 0.0188218+0.109063j 0.00366885-0.0252432j 0.00102137+0.0160124j 0.0500937-0.00536137j 
0.00742479-0.0193318j 0.00436507-0.0334125j 0.00643804+0.00345243j 0.0153456+0.022111j -0.0235531-0.0179298j 0.0264724+0.0172251j -0.00294163-0.0203353j -0.00152457+0.00624005j -0.0109744+0.00549977j 0.0237564-0.011668j 0.0666276-0.0258613j 0.0013212-0.0185134j -0.029261-0.0580042j -0.0207648-0.0217102j -0.0120585-0.0294156j -0.00812609-0.0179449j 0.00179975+0.00211845j 0.00345527+0.00224948j 
0.0568846-0.0307628j 0.0225125+0.00274364j 0.00287417+0.0651764j -0.00264288-0.0552261j 0.0134877+0.0501171j -0.029551+0.0163934j 0.00140705-0.00983763j 0.00473812-0.0309753j 0.01013-0.0284336j 0.00481804+0.0401719j -0.00373117+0.00291871j 0.00292063+0.00216583j 0.0409951-0.0399543j 0.0119062-0.0518324j 0.0233195-0.00591184j 0.016218-0.0264397j 0.0275852-0.0254575j 0.0410076-0.000325622j 
-0.0890065-0.093805j 0.0344724+0.0711586j -0.0714513+0.00383403j 0.0281658-0.0705346j -0.00196331+0.0047107j -0.041227+0.0090594j -0.0486882-0.0639277j -0.00850739+0.0039688j 0.0321995-0.0283579j -0.0376018-0.0542853j -0.0185419-0.00394368j -0.0424456+0.117907j 0.0365307+0.0243574j 0.00309719-0.0617266j 0.0288506-0.095366j 0.0428276+0.0166251j 0.00811746-0.0836508j 0.00462734+0.00520103j 
-0.0484489-0.0944028j -0.0532973-0.00256537j -0.0598505-0.0513491j -0.032005+0.0294646j -0.00578263+0.00248713j 0.0172811+0.0113671j 0.044778-0.0323714j -0.0192681-0.0075006j 0.041661-0.00377807j -0.059469+0.00649587j 0.0243342+0.0470597j 0.0079143+0.0378569j 0.00781725-0.00419352j 0.000505714-0.0178579j 0.0149878-0.058168j 0.00945536+0.0345146j -0.0135108-0.00721459j -0.0190893+0.0117607j 
-0.049682-0.0625557j -0.0291024+0.0415518j -0.00451272-0.0362542j 0.000998364-0.0777199j 0.0126762+0.020343j 0.00551903+0.0334402j 0.0133673+0.0273339j 0.0165916+0.0193968j 0.0217752+0.0194722j -0.0225172-0.0371447j -0.0143164-0.0018114j -0.0073988+0.0452601j -0.00730767-0.042941j 0.00543887-0.00429002j -0.0180627-0.0386753j 0.0208878-0.0110068j 0.0048103-0.0161495j 0.0110277+0.00303448j 
-0.0189557+0.117772j 0.199094+0.0874375j 0.0119973-0.0195909j -0.0209069-0.00243696j -0.0685173-0.0830124j -0.0221249-0.0344605j -0.040678+0.0539073j -0.0666782+0.0163513j -0.0202637+0.00274658j 0.0792724+0.0117751j -0.0525239-0.0274745j -0.0273939+0.0290584j -0.0381379-0.00147783j 0.00644718-0.0157437j 0.0368812+0.0509378j -0.0603786-0.00102247j 0.0971964-0.0133444j -0.0262469+0.0320411j 
0.117198+0.131333j -0.0355843-0.00972716j -0.0184395-0.0100494j 0.0390235+0.078938j -0.0157029-0.0824603j -0.0374382-0.0379738j 0.0305916+0.0364454j 0.0674615+0.0257054j -0.00778859+0.0122142j -0.0280367+0.0190825j 0.0191221-0.0155116j 0.0299772-0.10616j 0.106392+0.0528099j -0.0312734+0.0232532j 0.00918865+0.0457242j 0.0457234-0.0308217j -0.0563299+0.0254063j 0.0368612-0.0551471j 
-0.0847869+0.063675j -0.0430747-0.0872135j 0.0496047-0.0675446j -0.0674419+0.0987123j 0.0593454-0.0149061j 0.0550073-0.04676j -0.0072941+0.0399729j -0.0659782+0.057859j -0.0174782+0.0390364j 0.0043281-0.0373291j 0.0314273+0.0562591j 0.0935346-0.0269267j -0.0561828+0.101215j -0.0220397-0.0308971j 0.0478148+0.0291477j -0.0293735+0.098891j -0.0146693+0.0553416j -0.0503115+0.0504156j 
